card_id,output,type,shape,unit_LMT,ast_sha256,value
Q04_CLASSICAL_STOCHASTIC_METRIC,output_mean,vector,2,"[0,0,0]",b7768a73f0f1a1ebaaccdeb9c2acb1b3ea43f5e8e2c05946bf2eefbb747e061e,"[0,-4]"
Q04_CLASSICAL_STOCHASTIC_METRIC,output_covariance,matrix,2x2,"[0,0,0]",7b1f9b9f79e160305a76251098e4da85ef83ce5eba005316697e35bdab7bb82a,"[[19,5],[5,5]]"
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,expectation_force,scalar,,"[1,0,-2]",16c6ec1cc2df9024ddf2f5de13a52c0bbf9586bb02a5dd8bb3b15dd25ff8b5a7,2.5
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,visibility_ratio,vector,3,"[0,0,0]",cacfc1afa38a86bd5c3779631dd0b9e1918581e093c2fbc6414e874751808194,"[1.0,0.8187307530779818,0.36787944117144233]"
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,phases,vector,4,"[0,0,0]",1189d7d94e824b267bf097823452aaf7e3dc20d58be41e94f72dcb8a043b4603,"[-0.5,-0.25,-0.25,-0.5]"
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,invariant_phase,scalar,,"[0,0,0]",b4dbff643bcf1f0c310642a255ef2e3c89d876f80fc17c2f64a40326ed75398c,-0.5
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,concurrence,scalar,,"[0,0,0]",054cdc6a1c59cb96a27afd794e9c8089c393bccda5d72288bf37982d79d8221b,0.24740395925452294
Q08_EMERGENT_SUPERFLUID_MEDIUM,fraction,vector,3,"[0,0,0]",06f39f46b80d7b6310f92b3be58d20c8c1ad407bdceeb92a3cad8a0fdd7e1477,"[0.6464466094067263,0.0,0.0]"
Q08_EMERGENT_SUPERFLUID_MEDIUM,extra_acceleration,vector,3,"[1,0,-2]",35958ad0c2248ebf6d44f49928889d4e32c52a52db14d3363f49a7322dabbce1,"[0.6464466094067263,0.0,0.0]"
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,omega_squared,vector,3,"[0,0,-2]",657ba38e3eae30d9b94abef6de1871f7e884189a1de0e7fbc1de14824eeab504,"[0.13009,0.5326677777777777,2.0426844444444443]"
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,omega,vector,3,"[0,0,-1]",c92f2b07aad12347bd28ce46eb6b05e6bbc9ea083eb94eeb7011d228519e9d60,"[0.360679913496718,0.729840926351611,1.4292251202817716]"
Q10_POLARIZATION_BIREFRINGENT_GRAVITY,response_rank,scalar,,"[0,0,0]",25bc1e8ab43bfaba6d793889ff75c51a5ad9f4db16e865e74cf3b4ec30bf9567,2
Q11_FINITE_OCCUPATION_COHERENCE,coherent_variance,scalar,,"[0,0,0]",70ced8de3e3ce0781751a0cd45e8382d9beef30e39ffc0438202de294207610d,4.0
Q11_FINITE_OCCUPATION_COHERENCE,thermal_variance,scalar,,"[0,0,0]",1695b34f94a0be9eb7c3f3e049d4a05bd9e14de642d6a575c21eadeb7023692c,20.0
Q11_FINITE_OCCUPATION_COHERENCE,squeezed_variance_ratio,scalar,,"[0,0,0]",3cdecb2f3bdcdd952ce4c94aed2d182162f10595ceb83ef1cb54951a57ae5ff4,0.44932896411722156
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,A,scalar,,"[0,0,-2]",15b5a2bb91a6d712449faf411c04e89abdbca4ef02f8acf2e148613f9b401c3d,0.75
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,B,scalar,,"[0,0,-2]",5224df11cbf393b053197a36448d59630c8895e09e86aee959ac6f0e0c78b98f,0.2
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,transfer_real,scalar,,"[0,0,0]",b497c67ac93fc43d6e906bb204ecc70667cd752d74e033cd4324f690472f274f,1.2448132780082988
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,transfer_imag,scalar,,"[0,0,0]",e415650a80ad05bccc72e3e175718bd7295f54787db47259e2efcf2b64ad7396,0.33195020746887965
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,phase,scalar,,"[0,0,0]",5cbb18c3cff5855ab4b848809342830266c6f963a9a668632b8b49c586415dd7,0.260602391747341
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,ringdown,vector,3,"[0,0,0]",cacfc1afa38a86bd5c3779631dd0b9e1918581e093c2fbc6414e874751808194,"[1.0,0.8187307530779818,0.36787944117144233]"
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,mean,scalar,,"[0,0,0]",6fc01d490dcbbec304d660d0d013ac5a59d6688fcecac668319df9784295f347,12.0
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,probabilities,vector,7,"[0,0,0]",86e7e53ec96ca700b16410332493a72602381ee597a299f4cfa366ccd4e9ee76,"[6.14421235332821e-06,7.373054823993851e-05,0.0004423832894396311,0.0017695331577585243,0.005308599473275573,0.012740638735861376,0.02548127747172275]"
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,balance_residuals,vector,6,"[0,0,-1]",ddcea3dc99afaa51b03143b9d871fbbc44d4374d3c1fcd1e280a5bb3341175ca,"[0.0,0.0,0.0,0.0,0.0,0.0]"
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,balance_max_abs,scalar,,"[0,0,-1]",6259c47ca78121ac1c9c8f9627e9a6f9adabff78736b589fa2d54fb52e7bccd2,0.0
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,ordinary_cumulants,vector,4,"[0,0,0]",61280cf1b76bb88dedf77626284794f3a3f8f1c7dd376b055db0500619c7897c,"[12.0,12.0,12.0,12.0]"
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,autocovariance,vector,3,"[0,0,0]",23c09f93af46e96b53e1458e46c1dbb2c16f19a2766cf329c8b44a19cf774e17,"[12.0,4.414553294057308,1.6240233988393524]"
Q14_POSTQUANTUM_CLASSICAL_QUANTUM_GRAVITY,Mdiag,matrix,2x2,"[0,0,0]",bc7ec5c311c72d2e12a13ac5a5e7d84b3646eeeefaf1d651d28fbcb2f038c7be,"[[2.0,1.0],[1.0,0.5]]"
Q14_POSTQUANTUM_CLASSICAL_QUANTUM_GRAVITY,determinant,scalar,,"[0,0,0]",07e4b91dad43d3561bcf0b45e4530750bc77837a7ea525070ac9e66a4e6f2f1b,0.0
Q14_POSTQUANTUM_CLASSICAL_QUANTUM_GRAVITY,bad_determinant,scalar,,"[0,0,0]",cf96e7be92c0d56c0c5d242c2e28cdce245f71cce7ce568cf2953c677f0b80de,-0.19999999999999996
Q15_KTM_CLASSICAL_CHANNEL_BOUNDARY,noise_cost,vector,4,"[0,0,0]",68546d369a15ee15d771f0960d4aae6f0a410085c756f030c7d93569207ed2ab,"[0.625,0.5,0.625,1.0625]"
Q15_KTM_CLASSICAL_CHANNEL_BOUNDARY,minimum_grid_cost,scalar,,"[0,0,0]",accb9e7628a2f2213eeaf8f20d77267a0702a1e2a8a6227ad4b9ae062c93b79f,0.5
Q15_KTM_CLASSICAL_CHANNEL_BOUNDARY,analytic_bound,scalar,,"[0,0,0]",35d5c6cb34491ad5878694b55cdd2f8a8c0800212fe6f0e486233f0179ce3de8,0.5
