#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:51:59 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:51:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/sample&-out=UGC,Kmag,e_Kmag,Dist,e_Dist,Ak,Kcor,KMag,e_KMag&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8m-1v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_276_59_sample:
#Name: J/ApJS/276/59/sample
#Title: Halpha velocity field parameters (Table 3) and photometric data and inverse Tully-Fisher inclinations (Table 4)
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	Kmag	(F5.2)	[8.62/11.93] 2MASS K band magnitude (4)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	[0.01/0.23] Uncertainty on the Kmag	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Dist	(F5.1)	[1.8/181.4] Distance (5)	[ucd=pos.distance]
#Column	e_Dist	(F4.1)	[2.5/2.5] Dist uncertainty	[ucd=stat.error;pos.distance]
#Column	Ak	(F5.2)	[-0.03/0.06] K-band extinction	[ucd=phys.absorption;em.IR.K]
#Column	Kcor	(F5.2)	[-0.1/0.01] K-correction	[ucd=arith.factor;phot.mag]
#Column	KMag	(F6.2)	[-26.07/-16.09] Absolute K band magnitude	[ucd=phys.magAbs;em.IR.K]
#Column	e_KMag	(F5.2)	[0.02/1.95] KMag uncertainty	[ucd=stat.error;phys.magAbs;em.IR.K]
UGC	Kmag	e_Kmag	Dist	e_Dist	Ak	Kcor	KMag	e_KMag
 4099	10.53	 0.03	 64.2	 2.5	 0.03	-0.04	-23.57	 0.13
 4107	10.14	 0.02	 48.9	 2.5	 0.01	-0.03	-23.35	 0.12
 4139	11.37	 0.10	 68.2	 2.5	 0.01	-0.04	-22.85	 0.25
 4189	10.66	 0.05	 66.9	 2.5	 0.01	-0.04	-23.52	 0.12
 4256	 9.52	 0.01	 74.2	 2.5	 0.02	-0.04	-24.89	 0.08
 4368	10.44	 0.07	 53.6	 2.5	 0.01	-0.03	-23.26	 0.23
 4397	 9.97	 0.02	 51.9	 2.5	 0.01	-0.03	-23.64	 0.13
 4445	11.02	 0.04	 93.7	 2.5	 0.03	-0.05	-23.91	 0.11
 4458	 8.88	 0.02	 68.6	 2.5	 0.01	-0.04	-25.35	 0.09
 4555	10.03	 0.04	 62.1	 2.5	 0.01	-0.03	-23.98	 0.12
 4622	11.14	 0.08	181.4	 2.5	 0.01	-0.10	-25.26	 0.14
 5180	 8.85	 0.01	 31.9	 2.5	 0.04	-0.01	-23.72	 0.19
 5277	10.09	 0.02	 51.7	 2.5	 0.06	-0.03	-23.57	 0.13
 5302	10.56	 0.02	 67.1	 2.5	 0.04	-0.04	-23.65	 0.08
 5544	 9.30	 0.07	 23.7	 2.5	 0.01	-0.01	-22.59	 0.36
 5577	11.16	 0.03	 34.5	 2.5	 0.01	-0.02	-21.55	 0.18
 5868	10.50	 0.03	105.6	 2.5	 0.01	-0.06	-24.69	 0.09
 6077	 9.21	 0.03	 28.5	 2.5	 0.01	-0.01	-23.09	 0.25
 6105	10.25	 0.03	103.6	 2.5	 0.02	-0.06	-24.91	 0.09
 6128	 9.60	 0.01	 26.2	 2.5	 0.01	-0.01	-22.51	 0.20
 6157	11.66	 0.13	 46.0	 2.5	 0.01	-0.02	-21.69	 0.36
 6249	11.66	 0.23	 18.7	 2.5	 0.00	-0.01	-19.71	 0.73
 6445	 8.95	 0.05	 25.1	 2.5	 0.01	-0.01	-23.06	 0.32
 6463	 9.58	 0.01	 41.5	 2.5	 0.01	-0.02	-23.54	 0.14
 6616	10.92	 0.05	 20.4	 2.5	 0.00	-0.01	-20.65	 0.34
 6641	10.78	 0.17	 53.1	 2.5	 0.01	-0.03	-22.89	 0.43
 6693	10.05	 0.02	 94.8	 2.5	 0.01	-0.06	-24.90	 0.07
 6813	10.09	 0.10	 18.1	 2.5	 0.00	-0.01	-21.21	 0.47
 6903	10.08	 0.05	 28.9	 2.5	 0.01	-0.01	-22.24	 0.19
 6918	 8.77	 0.01	 21.4	 2.5	 0.01	-0.01	-22.89	 0.25
 6995	10.14	 0.02	 24.9	 2.5	 0.01	-0.01	-21.87	 0.25
 7020	10.12	 0.02	 85.7	 2.5	 0.01	-0.05	-24.60	 0.06
 7025	 9.19	 0.01	 55.3	 2.5	 0.01	-0.03	-24.56	 0.10
 7163	 9.86	 0.03	 86.9	 2.5	 0.01	-0.05	-24.90	 0.11
 7169	 9.59	 0.01	 35.0	 2.5	 0.01	-0.02	-23.16	 0.16
 7244	11.77	 0.12	 68.4	 2.5	 0.01	-0.04	-22.45	 0.24
 7414	10.24	 0.04	  1.8	 2.5	 0.01	 0.00	-16.09	 1.95
 7416	10.20	 0.04	 97.4	 2.5	 0.01	-0.06	-24.81	 0.13
 7541	 9.89	 0.03	 24.8	 2.5	 0.01	-0.01	-22.10	 0.27
 7768	10.28	 0.05	 25.9	 2.5	 0.01	-0.01	-21.80	 0.29
 7861	 9.76	 0.01	  8.7	 2.5	 0.01	-0.01	-19.95	 0.56
 7917	 9.64	 0.01	 97.6	 2.5	 0.01	-0.06	-25.37	 0.05
 8099	 9.44	 0.02	 67.8	 2.5	 0.01	-0.04	-24.76	 0.10
 8196	 9.96	 0.02	117.1	 2.5	 0.01	-0.07	-25.46	 0.04
 8230	10.35	 0.03	101.6	 2.5	 0.01	-0.06	-24.75	 0.09
 8319	10.61	 0.02	105.5	 2.5	 0.01	-0.06	-24.57	 0.06
 8447	10.85	 0.03	 78.1	 2.5	 0.01	-0.04	-23.67	 0.11
 8573	 9.57	 0.02	 91.4	 2.5	 0.01	-0.06	-25.30	 0.07
 8611	10.44	 0.07	 41.8	 2.5	 0.01	-0.02	-22.70	 0.20
 8740	 9.46	 0.02	 92.0	 2.5	 0.01	-0.06	-25.42	 0.08
 8768	 9.83	 0.02	 59.5	 2.5	 0.02	-0.04	-24.10	 0.13
 8775	10.57	 0.06	 63.2	 2.5	 0.00	-0.03	-23.47	 0.19
 8909	11.42	 0.15	 27.1	 2.5	 0.01	-0.01	-20.76	 0.49
 9177	11.04	 0.07	128.3	 2.5	 0.01	-0.07	-24.58	 0.13
 9216	10.99	 0.03	 79.3	 2.5	 0.00	-0.04	-23.56	 0.10
 9317	11.36	 0.03	 62.8	 2.5	 0.01	-0.04	-22.67	 0.10
 9318	 9.16	 0.03	 53.0	 2.5	 0.01	-0.03	-24.50	 0.16
 9406	10.64	 0.03	 35.4	 2.5	 0.01	-0.02	-22.13	 0.18
 9505	 9.95	 0.01	 65.4	 2.5	 0.00	-0.04	-24.16	 0.09
 9544	10.30	 0.05	145.0	 2.5	 0.01	-0.08	-25.60	 0.12
 9564	 9.63	 0.06	 26.1	 2.5	 0.03	-0.02	-22.50	 0.31
 9569	11.32	 0.17	 38.0	 2.5	 0.01	-0.02	-21.61	 0.47
 9774	10.18	 0.02	 76.7	 2.5	 0.01	-0.04	-24.30	 0.08
 9823	10.16	 0.08	 78.6	 2.5	 0.01	-0.04	-24.37	 0.22
 9837	10.61	 0.10	 41.7	 2.5	 0.01	-0.02	-22.52	 0.29
 9896	10.59	 0.04	 92.8	 2.5	 0.01	-0.05	-24.31	 0.11
 9908	 9.51	 0.04	 27.7	 2.5	 0.02	-0.01	-22.74	 0.26
 9965	10.63	 0.03	 62.8	 2.5	 0.02	-0.04	-23.41	 0.09
10020	10.49	 0.23	 31.4	 2.5	 0.02	-0.02	-22.04	 0.62
10076	 9.87	 0.08	 68.0	 2.5	 0.02	-0.04	-24.35	 0.22
10104	10.60	 0.02	128.8	 2.5	 0.01	-0.08	-25.05	 0.04
10149	10.18	 0.02	121.6	 2.5	 0.01	-0.07	-25.33	 0.05
10269	 9.84	 0.01	145.3	 2.5	 0.01	-0.08	-26.07	 0.02
10436	10.94	 0.03	117.6	 2.5	 0.00	-0.07	-24.49	 0.07
10443	10.17	 0.03	 50.5	 2.5	 0.00	-0.03	-23.38	 0.14
10458	10.90	 0.02	 76.8	 2.5	 0.01	-0.04	-23.58	 0.07
10537	10.06	 0.02	 65.5	 2.5	 0.02	-0.04	-24.07	 0.10
10586	10.71	 0.03	126.1	 2.5	 0.01	-0.07	-24.88	 0.08
10897	 9.15	 0.02	 21.6	 2.5	 0.01	-0.01	-22.54	 0.26
11014	10.63	 0.01	 62.0	 2.5	 0.02	-0.04	-23.39	 0.09
11318	 9.91	 0.02	 82.1	 2.5	 0.02	-0.05	-24.72	 0.07
12158	10.70	 0.05	130.4	 2.5	 0.02	-0.07	-24.97	 0.13
12193	10.40	 0.02	133.8	 2.5	 0.02	-0.08	-25.33	 0.05
12213	11.93	 0.06	 40.7	 2.5	 0.03	-0.03	-21.18	 0.19
12270	10.32	 0.03	 26.2	 2.5	 0.01	-0.02	-21.80	 0.23
12303	10.40	 0.02	113.7	 2.5	 0.02	-0.06	-24.96	 0.05
12391	10.49	 0.04	 64.6	 2.5	 0.03	-0.04	-23.63	 0.14
12418	 9.34	 0.01	 58.0	 2.5	 0.02	-0.04	-24.53	 0.11
12438	10.64	 0.04	 60.5	 2.5	 0.02	-0.04	-23.33	 0.14
12586	 9.54	 0.03	 53.8	 2.5	 0.03	-0.04	-24.18	 0.15
12702	 9.05	 0.07	 31.7	 2.5	 0.01	-0.02	-23.48	 0.31
12760	 8.63	 0.01	 20.9	 2.5	 0.02	-0.01	-23.01	 0.27
12808	 8.87	 0.01	 50.7	 2.5	-0.03	 0.01	-24.62	 0.12

