#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:51:56 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:51:56	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/861/49/table2&-out=AGC,Name,Vhel,HIflux,e_HIflux,SNR,Dist,e_Dist,logMHI,e_logMHI,HI&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18610049
#Name: J/ApJ/861/49
#Title: ALFALFA extragalactic HI source catalog (Haynes+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/861/49	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/861/49	    IVOID of underlying data collection
#INFO	creator=Haynes M.P.	    First author or institution
#INFO	cites=bibcode:2018ApJ...861...49H	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/861/49	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18610049	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-11-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_861_49_table2:
#Name: J/ApJ/861/49/table2
#Title: ALFALFA extragalactic HI source catalog; corrected version (August 2019)
#Column	AGC	(A6)	[1/749512] UGC/AGC number (1)	[ucd=meta.id;meta.main]
#Column	Name	(A8)	Common name of the optical counterpart	[ucd=meta.id]
#Column	Vhel	(I5)	[-430/17823] Heliocentric velocity of the HI profile midpoint	[ucd=spect.dopplerVeloc;em.line.HI]
#Column	HIflux	(F6.2)	[-7.7/999.9] HI line flux density	[ucd=phot.flux]
#Column	e_HIflux	(F5.2)	[0.02/1.2] Uncertainty in HIflux	[ucd=stat.error]
#Column	SNR	(F5.1)	[1.2/964] Ratio of peak flux to rms noise	[ucd=instr.det.noise]
#Column	Dist	(F5.1)	[0.3/259.6] Adopted distance, where applicable	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F4.1)	[0/31] Uncertainty in Dist	[ucd=stat.error]
#Column	logMHI	(F5.2)	[3.7/11] log HI mass where distance has been adopted	[ucd=phys.mass]
#Column	e_logMHI	(F5.2)	[0.04/1.2] Uncertainty in logMHI	[ucd=stat.error]
#Column	HI	(I1)	[1/2] HI source code (2)	[ucd=meta.code]
AGC	Name	Vhel	HIflux	e_HIflux	SNR	Dist	e_Dist	logMHI	e_logMHI	HI
331082	433-016 	 6368	  2.72	 0.08	 21.4	 85.9	 2.3	 9.67	 0.05	1
331083	499-038 	 7469	  1.89	 0.11	  8.9	102.1	 2.2	 9.67	 0.05	1
104098	        	11443	  0.80	 0.07	  6.3	158.4	 2.3	 9.67	 0.06	1
331084	Eder Dw 	 6412	  1.24	 0.05	 13.1	 86.5	 2.3	 9.34	 0.05	1
012913	M+001018	 6343	  4.11	 0.10	 23.2	 81.7	15.1	 9.81	 0.17	1
012915	478-013 	 4378	 11.39	 0.14	 33.4	 61.9	 4.2	10.01	 0.07	1
012914	478-012 	 4342	 10.06	 0.43	 10.5	 61.9	 4.2	 9.96	 0.08	1
103246	        	12918	  1.49	 0.10	  8.1	179.6	 2.3	10.05	 0.05	1
748776	        	 6337	  0.65	 0.05	  8.7	 89.9	 2.3	 9.09	 0.06	1
105092	        	 5254	  0.55	 0.04	  9.3	 74.3	 2.6	 8.86	 0.06	1
102734	        	12560	  1.61	 0.08	 10.7	174.8	 2.3	10.06	 0.05	1
101873	        	12786	  1.34	 0.10	  7.3	177.6	 2.3	10.00	 0.06	1
103583	        	10074	  2.04	 0.08	 15.7	138.8	 2.4	 9.97	 0.05	1
102735	        	 2878	  1.79	 0.07	 13.8	 40.6	 2.4	 8.84	 0.07	1
331088	433-017 	 7928	  0.93	 0.10	  4.9	108.1	 2.2	 9.41	 0.07	2
012916	        	 6354	  1.84	 0.08	 12.6	 90.2	 2.3	 9.55	 0.05	1
012918	I5377   	 1050	  8.02	 0.06	 75.6	 12.8	 4.3	 8.49	 0.29	1
105298	        	 5485	  0.50	 0.05	  7.1	 77.6	 2.4	 8.85	 0.07	1
103584	        	 8350	  0.92	 0.07	 11.3	114.1	 2.3	 9.45	 0.06	1
105372	        	12109	  1.30	 0.08	  8.8	167.8	 2.3	 9.94	 0.05	1
101877	        	 5149	  2.97	 0.09	 19.8	 72.9	 2.5	 9.57	 0.05	1
103585	        	 9365	  1.31	 0.10	  9.2	128.6	 2.1	 9.71	 0.06	1
102980	        	 6819	  0.72	 0.04	 11.2	 92.6	 2.3	 9.16	 0.05	1
012919	N7810   	 5516	  4.24	 0.11	 21.1	 78.1	 2.2	 9.78	 0.05	1
012920	478-014 	 7613	  2.88	 0.10	 16.0	103.9	 2.2	 9.86	 0.05	1
331092	N7811   	 7687	  1.02	 0.09	  6.3	104.7	 2.2	 9.42	 0.06	2
331093	456-019 	 8248	  1.25	 0.08	  9.1	112.8	 2.2	 9.57	 0.05	1
103301	        	 4274	  1.19	 0.07	  8.7	 60.4	 2.3	 9.01	 0.06	1
105093	        	 5555	  1.01	 0.07	  8.6	 78.6	 2.3	 9.17	 0.06	1
103302	        	 9989	  1.23	 0.09	  7.7	137.8	 2.3	 9.74	 0.06	1
000001	I5378a  	 5839	  2.87	 0.09	 22.9	 82.8	 2.2	 9.67	 0.05	1
100002	408-013 	 5540	  1.29	 0.12	  7.0	 71.1	13.5	 9.19	 0.18	1
104574	        	 4852	  1.57	 0.09	  9.4	 68.7	 2.1	 9.24	 0.06	1
105094	        	 7998	  1.16	 0.08	  8.2	109.1	 2.2	 9.51	 0.06	1
100003	I5379   	 6297	  0.85	 0.08	  9.7	 89.3	 2.2	 9.20	 0.06	1
105442	        	17333	  1.74	 0.11	  8.9	242.5	 2.3	10.38	 0.05	1
000003	456-021 	 7883	  6.96	 0.15	 23.6	107.6	 2.3	10.28	 0.05	1
105095	        	 7143	  1.42	 0.08	 10.2	 96.9	 2.4	 9.50	 0.05	1
100005	Eder Dw 	  713	  0.93	 0.05	 14.4	 10.7	 2.3	 7.40	 0.19	1
100006	499-039 	 4947	  1.20	 0.06	 12.1	 68.9	 4.3	 9.13	 0.07	1
104575	        	10434	  1.43	 0.12	  6.8	144.4	 2.5	 9.85	 0.06	1
103478	        	12257	  0.86	 0.08	  6.7	170.0	 2.2	 9.77	 0.06	1
105096	        	 5201	  1.62	 0.09	 10.6	 73.6	 2.2	 9.32	 0.06	1
100835	382-020 	 7594	  1.01	 0.09	  6.6	103.4	 2.3	 9.41	 0.06	1
100008	Eder Dw 	 4842	  1.33	 0.05	 15.5	 68.5	 2.2	 9.17	 0.05	1
000004	408-014 	 8621	  1.66	 0.14	  6.8	118.0	 2.3	 9.74	 0.06	1
103031	        	 8162	  2.49	 0.10	 14.5	111.5	 2.2	 9.86	 0.05	1
101879	        	 5758	  0.36	 0.05	  4.4	 81.6	 2.1	 8.75	 0.08	2
102981	        	 4583	  0.53	 0.05	  6.5	 64.8	 2.2	 8.72	 0.07	1
104679	        	 6349	  1.06	 0.07	  8.6	 90.1	 2.3	 9.31	 0.06	1
103598	        	10056	  1.53	 0.10	 11.8	138.5	 2.2	 9.84	 0.05	1
748777	        	13800	  0.88	 0.07	  7.8	192.1	 2.4	 9.88	 0.06	1
000007	I5381   	11223	  3.99	 0.16	 10.9	155.2	 2.2	10.36	 0.05	1
000006	478-015 	 6561	  1.04	 0.11	  5.0	 88.8	 2.2	 9.29	 0.07	2
100011	478-016 	 7770	  0.42	 0.06	  5.4	106.1	 2.2	 9.05	 0.08	2
100010	499-040 	 4748	  0.92	 0.11	  4.7	 67.2	 2.3	 8.99	 0.07	2
000008	N7814   	 1050	 22.08	 0.14	 82.3	 13.2	 1.3	 8.96	 0.10	1
103303	        	 7123	  4.77	 0.09	 29.6	 96.8	 2.3	10.02	 0.05	1
103731	        	12800	  0.78	 0.08	  6.5	177.7	 2.3	 9.76	 0.06	1
100012	382-022 	 8001	  4.87	 0.10	 27.0	109.2	 2.5	10.14	 0.05	1
104229	        	 6409	  1.05	 0.07	  8.3	 86.9	 2.2	 9.27	 0.06	1
000012	499-041 	 6980	  2.90	 0.08	 20.6	 95.0	 2.4	 9.79	 0.05	1
000011	M+401014	 4445	  1.92	 0.08	 12.3	 62.8	 2.4	 9.25	 0.06	1
000010	408-015 	11941	  6.72	 0.12	 34.8	165.4	 2.1	10.64	 0.05	1
102553	        	 4544	  0.83	 0.06	  9.3	 64.3	 2.0	 8.91	 0.06	1
100014	408-016 	 6184	  3.34	 0.07	 31.5	 87.5	 2.4	 9.78	 0.05	1
104230	        	13019	  0.93	 0.09	  5.8	181.3	 2.3	 9.86	 0.06	1
000013	478-017 	 7749	  0.66	 0.09	  4.5	105.9	 2.2	 9.24	 0.08	2
100016	478-018 	 7517	  1.59	 0.10	  8.8	102.4	 2.3	 9.59	 0.05	1
000014	478-019 	 7247	  6.55	 0.12	 31.3	 98.6	 2.2	10.18	 0.05	1
103111	M+201016	 7889	  0.96	 0.09	  5.8	107.6	 2.2	 9.42	 0.06	2
104680	        	17349	  2.50	 0.11	 12.6	242.8	 2.4	10.54	 0.05	1
101132	        	 7859	  2.27	 0.06	 22.1	107.1	 2.3	 9.79	 0.05	1
000017	        	  876	  6.70	 0.07	 63.1	 20.3	 4.3	 8.81	 0.19	1
102898	        	 7945	  2.94	 0.09	 18.5	108.7	 2.3	 9.91	 0.05	1
103599	        	12076	  1.92	 0.13	  9.1	167.4	 2.3	10.10	 0.05	1
000015	M+101017	11566	  3.09	 0.15	 10.0	160.1	 2.1	10.27	 0.05	1
100020	456-027 	 6411	  2.70	 0.09	 16.5	 86.5	 2.3	 9.68	 0.05	1
105373	        	 8261	  1.69	 0.06	 23.2	112.9	 2.2	 9.71	 0.05	1
100783	        	 5011	  0.70	 0.06	  7.2	 68.9	 4.2	 8.89	 0.08	1
103733	        	 6504	  0.88	 0.07	  6.9	 87.8	 2.3	 9.20	 0.06	1
000016	N7816   	 5243	 11.66	 0.10	 61.2	 74.1	 2.4	10.18	 0.05	1
104212	        	 6356	  2.58	 0.07	 22.7	 86.2	 2.3	 9.65	 0.05	1
102736	        	 2936	  1.00	 0.05	 13.0	 41.4	 2.3	 8.61	 0.07	1
103300	        	11818	  1.08	 0.09	  6.4	163.7	 2.3	 9.83	 0.06	1
103085	        	 3010	  0.42	 0.04	  7.1	 42.3	 2.3	 8.25	 0.08	1
000019	N7817   	 2308	 14.89	 0.13	 60.6	 33.2	 4.2	 9.59	 0.12	1
101883	        	12378	  0.48	 0.06	  4.5	171.7	 2.2	 9.52	 0.07	2
000022	M+201018	 7749	  2.86	 0.12	 13.2	105.6	 2.2	 9.88	 0.05	1
000021	N7818   	 6198	  4.94	 0.10	 27.1	 87.7	 2.3	 9.95	 0.05	1
104524	        	12210	  0.53	 0.05	  6.5	169.9	 2.1	 9.56	 0.06	1
000023	433-021 	 7974	  2.12	 0.12	  9.8	108.8	 2.2	 9.77	 0.05	1
000024	478-020 	 4446	  5.17	 0.08	 35.5	 48.1	 9.1	 9.45	 0.17	1
000026	N7819   	 4955	 10.19	 0.09	 62.3	 42.1	 8.3	 9.63	 0.18	1
102899	        	11982	  3.03	 0.11	 15.6	166.4	 2.2	10.30	 0.05	1
000025	M+101020	 5072	  3.58	 0.11	 17.3	 78.7	15.2	 9.72	 0.17	1
101831	F538-2  	 2174	  2.65	 0.07	 22.4	 30.7	 2.1	 8.77	 0.07	1
100022	478-000 	 6498	  1.83	 0.09	 11.4	 87.9	 2.2	 9.52	 0.05	1
000027	408-020 	 3113	 13.61	 0.08	101.1	 44.5	 9.2	 9.80	 0.18	1
000030	        	 4766	  2.58	 0.12	 12.0	 68.7	 4.2	 9.46	 0.07	1
104279	        	 2256	  1.61	 0.06	 19.0	 31.8	 2.3	 8.59	 0.08	1
105040	        	 4231	  0.88	 0.08	  8.6	 59.7	 2.2	 8.87	 0.07	1
100784	        	 4841	  1.47	 0.07	 13.6	 68.8	 4.4	 9.22	 0.07	1
102900	F409-03 	12138	  0.96	 0.06	  9.8	168.6	 2.2	 9.81	 0.05	1
100024	        	 6227	  3.75	 0.09	 25.0	 88.1	 2.3	 9.84	 0.05	1
100025	478-021 	 7556	  1.05	 0.06	  9.8	103.1	 2.2	 9.42	 0.05	1
100838	        	12454	  2.56	 0.09	 17.0	172.8	 2.3	10.26	 0.05	1
102309	        	 3025	  0.46	 0.04	  8.1	 42.5	 2.3	 8.29	 0.07	1
104297	        	10370	  1.23	 0.10	  7.2	143.5	 2.5	 9.78	 0.06	1
104525	KAZ013  	12176	  2.19	 0.08	 18.7	169.4	 2.2	10.17	 0.05	1
000031	456-029 	 1034	  2.69	 0.06	 34.8	 12.7	 4.3	 8.01	 0.30	1
103735	        	 6255	  0.45	 0.03	 10.2	 88.5	 2.3	 8.92	 0.06	1
102737	        	12076	  1.21	 0.09	  7.8	167.8	 2.3	 9.90	 0.06	1
102572	KUG     	10988	  1.79	 0.07	 15.0	152.2	 2.3	 9.99	 0.05	1
105369	        	 9109	  1.57	 0.11	  8.2	125.0	 2.2	 9.76	 0.06	1
103337	        	 6262	  3.27	 0.20	 10.1	 88.8	 2.3	 9.78	 0.06	1
102738	        	 9119	  1.22	 0.07	  9.9	125.5	 2.3	 9.66	 0.05	1
102243	        	 6577	  3.06	 0.07	 26.5	 89.0	 2.2	 9.76	 0.05	1
102739	        	12168	  1.21	 0.09	  7.6	169.1	 2.3	 9.91	 0.06	1
000034	N7824   	 6139	  1.85	 0.12	  7.9	105.7	21.8	 9.69	 0.19	1
102740	        	 4883	  0.98	 0.07	  8.3	 69.1	 2.3	 9.04	 0.06	1
000035	        	 3100	  3.49	 0.05	 37.7	 43.4	 4.3	 9.19	 0.10	1
104298	        	 4865	  0.98	 0.05	 12.2	 68.8	 2.2	 9.04	 0.06	1
100870	        	10929	  2.23	 0.11	 12.5	151.1	 2.2	10.08	 0.05	1
000036	408-026 	 6288	  2.09	 0.14	  7.4	 94.6	20.3	 9.64	 0.19	1
102304	        	 8212	  1.31	 0.06	 12.2	112.2	 2.2	 9.59	 0.05	1
102554	        	11854	  1.68	 0.09	 11.0	164.5	 2.3	10.03	 0.05	1
101888	        	16000	  1.19	 0.13	  7.2	223.5	 2.3	10.15	 0.06	2
102555	        	 7432	  0.72	 0.06	  7.0	101.3	 2.2	 9.24	 0.06	1
101891	        	12471	  0.65	 0.08	  4.7	173.1	 2.4	 9.66	 0.07	2
102901	        	 6629	  0.58	 0.06	  6.7	 90.0	 2.1	 9.04	 0.07	1
101892	        	13634	  1.15	 0.12	  5.5	189.7	 2.2	 9.99	 0.06	2
000037	408-027 	 5627	  2.12	 0.14	  5.9	 79.5	 2.2	 9.50	 0.06	2
101893	        	12877	  0.64	 0.07	  4.8	178.9	 2.2	 9.68	 0.07	2
103003	        	 6288	  1.16	 0.07	  9.2	 89.0	 2.2	 9.34	 0.06	1
101808	vCS96   	 1952	  0.81	 0.06	  8.4	 27.6	 2.3	 8.16	 0.09	1
100035	499-049 	10417	  1.48	 0.08	 12.7	144.2	 2.1	 9.86	 0.05	1
000038	N7827   	 5294	  1.55	 0.09	  9.4	 74.7	 2.2	 9.31	 0.06	1
103737	        	 6229	  1.11	 0.09	  8.1	 88.1	 2.2	 9.31	 0.06	1
102741	        	 5024	  0.50	 0.04	  6.5	 71.1	 2.2	 8.78	 0.06	1
103009	        	 5330	  1.26	 0.08	  8.8	 75.3	 2.2	 9.23	 0.06	1
105376	        	 8023	  1.77	 0.08	 13.2	109.5	 2.2	 9.70	 0.05	1
104681	        	 6373	  0.99	 0.06	 10.2	 86.0	 2.1	 9.24	 0.06	1
105097	        	 6370	  1.60	 0.08	 11.6	 85.9	 2.4	 9.44	 0.05	1
000040	478-024 	 7522	  2.52	 0.11	 12.8	102.6	 2.2	 9.80	 0.05	1
105041	        	13365	  1.62	 0.11	  8.6	185.9	 2.3	10.12	 0.05	1
103124	        	 5445	  4.14	 0.10	 22.3	 77.1	 2.3	 9.76	 0.05	1
000041	M+401022	 6594	  4.21	 0.09	 25.0	 89.3	 2.3	 9.90	 0.05	1
103004	        	 5166	  1.65	 0.09	 11.0	 73.0	 2.2	 9.32	 0.06	1
000043	        	 5291	  1.93	 0.08	 13.3	 74.8	 2.2	 9.41	 0.05	1
100037	M+401023	 3182	  1.22	 0.05	 16.5	 44.8	 2.4	 8.76	 0.07	1
102742	        	12481	  1.60	 0.11	  7.9	173.6	 2.4	10.06	 0.05	1
101899	        	16299	  2.06	 0.11	 11.5	227.8	 2.2	10.40	 0.05	1
000042	        	 5483	  2.74	 0.07	 22.0	 77.5	 2.2	 9.59	 0.05	1
103005	        	 5125	  1.25	 0.11	 16.6	 72.4	 2.4	 9.19	 0.06	1
104217	        	 2639	  1.26	 0.07	 10.8	 37.0	 2.4	 8.61	 0.08	1
100941	2MFG85  	10955	  0.82	 0.08	  6.3	151.7	 2.2	 9.65	 0.06	2
105377	        	 8024	  1.18	 0.06	 10.8	109.5	 2.3	 9.52	 0.05	1
100038	408-029 	11549	  1.36	 0.15	  4.7	159.9	 2.3	 9.91	 0.07	2
105378	        	13181	  0.96	 0.09	  6.2	183.2	 2.3	 9.88	 0.06	1
103428	        	11989	  1.16	 0.08	  7.8	166.2	 2.3	 9.88	 0.05	1
000044	        	 6238	  1.15	 0.07	 10.8	 88.5	 2.3	 9.33	 0.06	1
105379	        	14130	  1.03	 0.08	  7.0	196.7	 2.3	 9.97	 0.06	1
101900	        	12209	  0.62	 0.06	  6.1	169.3	 2.5	 9.62	 0.06	2
101901	        	 8287	  0.62	 0.06	  6.1	113.3	 2.2	 9.27	 0.06	1
103304	        	 7771	  1.29	 0.10	  6.8	106.1	 2.2	 9.53	 0.06	1
100890	ADBS    	 4589	  2.61	 0.09	 16.1	 64.8	 2.3	 9.41	 0.06	1
000046	456-030a	 5461	  3.20	 0.12	 14.8	 77.3	 2.3	 9.65	 0.05	1
102557	        	 7527	  1.75	 0.10	 10.6	102.7	 2.3	 9.64	 0.05	1
103600	        	 7960	  1.40	 0.09	  8.3	108.6	 2.3	 9.59	 0.05	1
101904	        	 5324	  1.05	 0.10	  5.6	 75.3	 2.3	 9.15	 0.07	2
101903	        	13245	  1.40	 0.11	  7.2	184.1	 2.4	10.05	 0.06	1
748778	        	  258	  0.46	 0.04	  9.9	  6.5	 0.6	 6.66	 0.10	1
104576	        	 4885	  2.21	 0.08	 16.4	 68.9	 4.3	 9.39	 0.07	1
000049	N7834   	 5232	  4.20	 0.07	 37.4	 73.9	 2.3	 9.73	 0.05	1
000047	FGC  5  	  877	  4.76	 0.06	 50.6	 12.9	 2.4	 8.27	 0.17	1
000050	478-025 	 7556	  2.92	 0.10	 16.0	103.1	 2.4	 9.86	 0.05	1
105443	        	 5286	  0.59	 0.06	  6.0	 74.6	 2.2	 8.89	 0.07	1
101639	        	11086	  1.63	 0.10	  9.2	153.3	 2.4	 9.96	 0.05	1
000051	408-031 	 5367	  2.26	 0.09	 14.0	 95.9	19.3	 9.69	 0.18	1
104577	        	 4845	  1.67	 0.07	 13.7	 68.9	 4.3	 9.27	 0.07	1
105098	        	 5177	  1.03	 0.09	  6.7	 73.1	 2.2	 9.11	 0.06	1
000053	456-031 	 7890	  2.36	 0.08	 17.8	107.7	 2.2	 9.81	 0.05	1
100040	408-033 	 5278	  1.69	 0.11	  8.5	 77.6	14.2	 9.38	 0.17	1
000052	408-032 	 5257	  8.87	 0.11	 58.1	 71.5	14.1	10.03	 0.18	1
102622	        	10252	  3.38	 0.07	 28.2	141.6	 2.4	10.20	 0.05	1
103287	        	 5549	  0.51	 0.04	 10.5	 78.4	 2.3	 8.87	 0.06	1
