#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:18:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:18:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/182/12/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21820012
#Name: J/ApJS/182/12
#Title: ICM entropy profiles (ACCEPT) (Cavagnolo+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apjs/182/12	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/182/12	    IVOID of underlying data collection
#INFO	creator=Cavagnolo K.W.	    First author or institution
#INFO	cites=bibcode:2009ApJS..182...12C	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/182/12	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21820012	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_182_12_table1:
#Name: J/ApJS/182/12/table1
#Title: Summary of sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ObsID	(I5)	Chandra observation identifier	[ucd=meta.id;obs.param;obs]
#Column	RAJ2000	(A12)	Cluster Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Cluster Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Exp	(F5.1)	Exposure time	[ucd=time.duration;obs.exposure]
#Column	ACIS	(A2)	CCD location of cluster center	[ucd=meta.note]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	<kT>	(F5.2)	Average cluster temperature	[ucd=phys.temperature]
#Column	Notes	(a5)	Assigned note(s) (1)	[ucd=meta.note]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
recno	Name	ObsID	RAJ2000	DEJ2000	Exp	ACIS	z	<kT>	Notes	SimbadName	NED
      90	Abell 2029        	  891	15 10 56.139	+05 44 40.47	 19.8	S3	 0.0765	 7.38	     	Abell 2029             	NED
      91	Abell 2034        	 2204	15 10 12.498	+33 30 39.57	 53.9	I3	 0.1130	 7.15	f    	Abell 2034             	NED
      92	Abell 2052        	 5807	15 16 44.514	+07 01 17.02	127.0	S3	 0.0353	 2.98	d    	Abell 2052             	NED
      93	Abell 2052        	  890	15 16 44.514	+07 01 17.02	 36.8	S3	 0.0353	 2.98	d    	Abell 2052             	NED
      94	Abell 2063        	 4187	15 23 04.851	+08 36 20.16	  8.8	I3	 0.0351	 3.61	     	Abell 2063             	NED
      95	Abell 2063        	 6263	15 23 04.851	+08 36 20.16	 16.8	S3	 0.0351	 3.61	     	Abell 2063             	NED
      96	Abell 2065        	31821	15 22 29.517	+27 42 22.93	 27.7	I3	 0.0730	 5.75	     	Abell 2065             	NED
      97	Abell 2069        	 4965	15 24 11.376	+29 52 19.02	 55.4	I2	 0.1160	 6.50	     	Abell 2069             	NED
      98	Abell 2104        	  895	15 40 08.131	-03 18 15.02	 49.2	S3	 0.1554	 8.53	     	Abell 2104             	NED
      99	Abell 2107        	 4960	15 39 39.113	+21 46 57.66	 35.6	I3	 0.0411	 3.82	b    	Abell 2107             	NED
     100	Abell 2111        	  544	15 39 40.637	+34 25 28.01	 10.3	I3	 0.2300	 7.13	     	Abell 2111             	NED
     101	Abell 2124        	 3238	15 44 59.131	+36 06 34.11	 19.4	S3	 0.0658	 4.73	     	Abell 2124             	NED
     102	Abell 2125        	 2207	15 41 14.154	+66 15 57.20	 81.5	I3	 0.2465	 2.88	a    	Abell 2125             	NED
     103	Abell 2142        	 1196	15 58 20.880	+27 13 44.21	 11.4	S3	 0.0898	 8.24	     	Abell 2142             	NED
     104	Abell 2142        	 1228	15 58 20.880	+27 13 44.21	 12.1	S3	 0.0898	 8.24	     	Abell 2142             	NED
     105	Abell 2142        	 5005	15 58 20.880	+27 13 44.21	 44.6	I3	 0.0898	 8.24	     	Abell 2142             	NED
     106	Abell 2147        	 3211	16 02 17.025	+15 58 28.32	 17.9	I3	 0.0356	 4.09	     	Abell 2147             	NED
     107	Abell 2151        	 4996	16 04 35.887	+17 43 17.36	 21.8	I3	 0.0366	 2.90	e    	Abell 2151             	NED
     108	Abell 2163        	 1653	16 15 45.705	-06 09 00.62	 71.1	I1	 0.1695	19.20	     	Abell 2163             	NED
     109	Abell 2199        	  497	16 28 38.249	+39 33 04.28	 19.5	S3	 0.0300	 4.55	b    	Abell 2199             	NED
     110	Abell 2204        	  499	16 32 46.920	+05 34 32.86	 10.1	S3	 0.1524	 6.97	     	Abell 2204             	NED
     111	Abell 2204        	 6104	16 32 46.920	+05 34 32.86	  9.6	I3	 0.1524	 6.97	     	Abell 2204             	NED
     112	Abell 2204        	 7940	16 32 46.920	+05 34 32.86	 77.1	I3	 0.1524	 6.97	     	Abell 2204             	NED
     113	Abell 2218        	 1666	16 35 50.831	+66 12 42.31	 48.6	I0	 0.1713	 7.35	     	Abell 2218             	NED
     114	Abell 2219        	  896	16 40 20.112	+46 42 42.84	 42.3	S3	 0.2256	12.75	     	Abell 2219             	NED
     115	Abell 2244        	 4179	17 02 42.579	+34 03 37.34	 57.0	S3	 0.0967	 5.68	     	Abell 2244             	NED
     116	Abell 2255        	  894	17 12 42.935	+64 04 10.81	 39.4	I3	 0.0805	 6.12	a    	Abell 2255             	NED
     117	Abell 2256        	 1386	17 03 44.567	+78 38 11.51	 12.4	I3	 0.0579	 6.90	a    	Abell 2256             	NED
     118	Abell 2259        	 3245	17 20 08.299	+27 40 11.53	 10.0	I3	 0.1640	 5.18	     	Abell 2259             	NED
     119	Abell 2261        	 5007	17 22 27.254	+32 07 58.60	 24.3	I3	 0.2240	 7.63	     	Abell 2261             	NED
     120	Abell 2294        	 3246	17 24 10.149	+85 53 09.77	 10.0	I3	 0.1780	 9.98	     	Abell 2294             	NED
     121	Abell 2319        	 3231	19 21 09.638	+43 57 21.53	 14.4	I1	 0.0562	10.87	a    	Abell 2319             	NED
     122	Abell 2384        	 4202	21 52 21.178	-19 32 51.90	 31.5	I3	 0.0945	 4.75	     	Abell 2384             	NED
     123	Abell 2390        	 4193	21 53 36.825	+17 41 44.38	 95.1	S3	 0.2301	11.15	     	Abell 2390             	NED
     124	Abell 2409        	 3247	22 00 52.567	+20 58 06.55	 10.2	I3	 0.1479	 5.94	     	Abell 2409             	NED
     125	Abell 2420        	 8271	22 10 18.792	-12 10 13.35	  8.1	I3	 0.0846	 6.47	     	Abell 2420             	NED
     126	Abell 2462        	 4159	22 39 11.367	-17 20 28.33	 39.2	S3	 0.0737	 2.42	a,e  	Abell 2462             	NED
     127	Abell 2537        	 4962	23 08 22.313	-02 11 29.88	 36.2	S3	 0.2950	 8.40	     	Abell 2537             	NED
     128	Abell 2554        	 1696	23 12 19.622	-21 30 11.32	 19.9	S3	 0.1103	 5.29	     	Abell 2554             	NED
     129	Abell 2556        	 2226	23 13 01.413	-21 38 04.47	 19.9	S3	 0.0862	 3.50	     	Abell 2556             	NED
     130	Abell 2589        	 3210	23 23 57.315	+16 46 38.43	 13.7	S3	 0.0415	 3.65	     	Abell 2589             	NED
     131	Abell 2597        	  922	23 25 19.779	-12 07 27.63	 39.4	S3	 0.0854	 4.02	     	Abell 2597             	NED
     132	Abell 2626        	 3192	23 36 30.452	+21 08 47.36	 24.8	S3	 0.0573	 3.29	     	Abell 2626             	NED
     133	Abell 2631        	 3248	23 37 38.560	+00 16 05.02	  9.2	I3	 0.2779	 7.06	a    	Abell 2631             	NED
     134	Abell 2657        	 4941	23 44 57.253	+09 11 30.74	 16.1	I3	 0.0402	 3.77	     	Abell 2657             	NED
     135	Abell 2667        	 2214	23 51 39.395	-26 05 02.75	  9.6	S3	 0.2300	 6.75	     	Abell 2667             	NED
     136	Abell 2717        	 6974	00 03 12.968	-35 56 00.13	 19.8	I3	 0.0475	 1.69	e    	Abell 2717             	NED
     137	Abell 2744        	 2212	00 14 19.529	-30 23 30.24	 24.8	S3	 0.3080	 9.18	     	Abell 2744             	NED
     138	Abell 2744        	 7915	00 14 19.529	-30 23 30.24	 18.6	I3	 0.3080	 9.18	     	Abell 2744             	NED
     139	Abell 2744        	 8477	00 14 19.529	-30 23 30.24	 45.9	I3	 0.3080	 9.18	     	Abell 2744             	NED
     140	Abell 2744        	 8557	00 14 19.529	-30 23 30.24	 27.8	I3	 0.3080	 9.18	     	Abell 2744             	NED
     141	Abell 2813        	 9409	00 43 24.881	-20 37 25.08	 19.9	I3	 0.2924	 8.96	     	Abell 2813             	NED
     142	Abell 3084        	 9413	03 04 03.920	-36 56 27.17	 19.9	I3	 0.0977	 5.30	     	Abell 3084             	NED
     143	Abell 3088        	 9414	03 07 01.734	-28 39 55.47	 18.9	I3	 0.2534	 6.71	     	Abell 3088             	NED
     144	Abell 3112        	 2516	03 17 57.681	-44 14 17.16	 16.9	S3	 0.0720	 5.17	d    	Abell 3112             	NED
     145	Abell 3120        	 6951	03 21 56.464	-51 19 35.40	 26.8	I3	 0.0690	 4.40	     	Abell 3120             	NED
     146	Abell 3158        	 3201	03 42 54.675	-53 37 24.36	 24.8	I3	 0.0580	 4.94	     	Abell 3158             	NED
     147	Abell 3158        	 3712	03 42 54.675	-53 37 24.36	 30.9	I3	 0.0580	 4.94	     	Abell 3158             	NED
     148	Abell 3266        	  899	04 31 13.304	-61 27 12.59	 29.8	I1	 0.0590	 9.07	     	Abell 3266             	NED
     149	Abell 3364        	 9419	05 47 37.698	-31 52 23.61	 19.8	I3	 0.1483	 7.88	     	Abell 3364             	NED
     150	Abell 3376        	 3202	06 02 11.756	-39 56 59.07	 44.3	I3	 0.0456	 4.08	a    	Abell 3376             	NED
     151	Abell 3376        	 3450	06 02 11.756	-39 56 59.07	 19.8	I3	 0.0456	 4.08	a    	Abell 3376             	NED
     152	Abell 3391        	 4943	06 26 21.511	-53 41 44.81	 18.4	I3	 0.0560	 6.07	a,e  	Abell 3391             	NED
     153	Abell 3395        	 4944	06 26 48.463	-54 32 59.21	 21.9	I3	 0.0510	 5.13	a,e  	Abell 3395             	NED
     154	Abell 3528S       	 8268	12 54 40.897	-29 13 38.10	  8.1	I3	 0.0530	 5.44	     	NAME ACO 3528S         	NED
     155	Abell 3558        	 1646	13 27 56.854	-31 29 43.78	 14.4	S3	 0.0480	 6.60	e,f  	Abell 3558             	NED
     156	Abell 3562        	 4167	13 33 37.800	-31 40 12.04	 19.3	I2	 0.0490	 4.59	     	Abell 3562             	NED
     157	Abell 3571        	 4203	13 47 28.434	-32 51 52.45	 34.0	S3	 0.0391	 7.77	     	Abell 3571             	NED
     158	Abell 3581        	 1650	14 07 29.777	-27 01 05.88	  7.2	S3	 0.0218	 2.10	d    	Abell 3581             	NED
     159	Abell 3667        	 5751	20 12 41.231	-56 50 35.70	128.9	I3	 0.0556	 6.51	     	Abell 3667             	NED
     160	Abell 3667        	 5752	20 12 41.231	-56 50 35.70	 60.4	I3	 0.0556	 6.51	     	Abell 3667             	NED
     161	Abell 3667        	 5753	20 12 41.231	-56 50 35.70	103.6	I3	 0.0556	 6.51	     	Abell 3667             	NED
     162	Abell 3667        	  889	20 12 41.231	-56 50 35.70	 50.3	I2	 0.0556	 6.51	     	Abell 3667             	NED
     163	Abell 3822        	 8269	21 54 04.203	-57 52 02.71	  8.1	I3	 0.0759	 4.89	e    	Abell 3822             	NED
     164	Abell 3827        	 7920	22 01 53.200	-59 56 43.04	 45.6	S3	 0.0984	 8.05	     	Abell 3827             	NED
     165	Abell 3921        	 4973	22 49 57.829	-64 25 42.17	 29.4	I3	 0.0927	 5.69	     	Abell 3921             	NED
     166	Abell 4038        	 4992	23 47 43.180	-28 08 34.81	 33.5	I2	 0.0300	 3.11	     	Abell 4038             	NED
     167	Abell 4059        	 5785	23 57 01.065	-34 45 33.28	 92.1	S3	 0.0475	 4.69	     	Abell 4059             	NED
     168	Abell S0405       	 8272	03 51 32.815	-82 13 10.19	  7.9	I3	 0.0613	 4.11	     	Abell S0405            	NED
     169	Abell S0592       	 9420	06 38 48.610	-53 58 26.32	 19.9	I3	 0.2216	 9.08	     	Abell S0592            	NED
     170	AC 114            	 1562	22 58 48.316	-34 48 08.20	 72.5	S3	 0.3120	 7.53	     	ACCG 114               	NED
     171	AWM7              	  908	02 54 27.631	+41 34 47.07	 47.9	I3	 0.0172	 3.71	b    	AWM7                   	NED
     172	Centaurus         	 4190	12 48 49.267	-41 18 39.54	 34.3	S3	 0.0109	 3.96	b    	NAME CENTAURUS CLUSTER 	NED
     173	Centaurus         	 4191	12 48 49.267	-41 18 39.54	 34.0	S3	 0.0109	 3.96	b    	NAME CENTAURUS CLUSTER 	NED
     174	Centaurus         	 4954	12 48 49.267	-41 18 39.54	 89.1	S3	 0.0109	 3.96	b    	NAME CENTAURUS CLUSTER 	NED
     175	Centaurus         	 4955	12 48 49.267	-41 18 39.54	 44.7	S3	 0.0109	 3.96	b    	NAME CENTAURUS CLUSTER 	NED
