#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:22:15 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:22:15	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2bA/534/A109/mcxc&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	AName	(a54)	Alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	Cat	(a12)	Catalogue name	[ucd=meta.id;meta.table]
#Column	Sub-Cat	(a12)	Sub-catalogue name	[ucd=meta.id;meta.dataset]
#Column	Scale	(F6.3)	Scale	[ucd=instr.scale]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Cat1	(a12)	First overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat2	(a12)	Second overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat3	(a12)	Third overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat4	(a12)	Fourth overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	L500r1	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for first catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r2	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for second catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r3	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for third catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r4	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for fourth catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	MCXC	OName	AName	RAJ2000	DEJ2000	z	Cat	Sub-Cat	Scale	L500	M500	R500	Notes	Cat1	Cat2	Cat3	Cat4	L500r1	L500r2	L500r3	L500r4	Simbad
      26	J0018.5+1626	MACSJ0018.5+1626  	CL 0016+1609                                          	00 18 33.8	+16 26 17	 0.5456	MACS        	MACS_DIST   	 6.386	17.911453	 7.7847	 1.1477	                                          	EMSS_2004   	            	            	            	 0.593	      	      	      	Simbad
      27	J0019.0-2026	RXC J0019.0-2026  	S0026                                                 	00 19 03.9	-20 26 17	 0.2773	SGP         	SGP         	 4.215	 5.571336	 4.7634	 1.0807	                                          	            	            	            	            	      	      	      	      	Simbad
      28	J0019.6+2517	RXC J0019.6+2517  	                                                      	00 19 39.1	+25 17 27	 0.1353	NORAS/REFLEX	NORAS       	 2.397	 1.441768	 2.3266	 0.8951	                                          	            	            	            	            	      	      	      	      	Simbad
      29	J0020.1+0005	RXC J0020.1+0005  	                                                      	00 20 10.7	+00 05 30	 0.2124	NORAS/REFLEX	NORAS       	 3.458	 0.686609	 1.3975	 0.7352	                                          	            	            	            	            	      	      	      	      	Simbad
      30	J0020.5-4913	RXC J0020.5-4913  	A2764                                                 	00 20 34.1	-49 13 40	 0.0711	SGP         	SGP         	 1.356	 0.268194	 0.8730	 0.6595	                                          	            	            	            	            	      	      	      	      	Simbad
      31	J0020.6+2840	RXC J0020.6+2840  	A0021                                                 	00 20 40.9	+28 40 30	 0.0940	NORAS/REFLEX	NORAS       	 1.746	 1.434697	 2.3890	 0.9156	                                          	BCS         	            	            	            	 1.201	      	      	      	Simbad
      32	J0020.7-2542	RXCJ0020.7-2542   	A0022                                                 	00 20 42.8	-25 42 37	 0.1410	NORAS/REFLEX	REFLEX      	 2.482	 2.872451	 3.5275	 1.0263	                                          	SGP         	            	            	            	 0.912	      	      	      	Simbad
      33	J0021.5+2803	RXC J0021.5+2803  	IV Zw 015                                             	00 21 35.9	+28 03 05	 0.0948	NORAS/REFLEX	NORAS       	 1.759	 0.967910	 1.8782	 0.8448	                                          	BCS         	            	            	            	 0.956	      	      	      	Simbad
      34	J0022.0+0422	WARP J0022.0+0422 	GHO 00190.5+0405                                      	00 22 03.4	+04 22 38	 0.4070	WARPS       	WARPS       	 5.430	 0.581659	 1.0815	 0.6277	                                          	            	            	            	            	      	      	      	      	Simbad
      35	J0023.1+0421	WARP J0023.1+0421 	                                                      	00 23 06.0	+04 21 13	 0.4530	WARPS       	WARPS       	 5.781	 0.784758	 1.2496	 0.6469	                                          	            	            	            	            	      	      	      	      	Simbad
      36	J0024.0-1704	RXC J0024.0-1704  	A2768                                                 	00 24 03.6	-17 04 32	 0.1890	SGP         	SGP         	 3.156	 1.483752	 2.2757	 0.8722	                                          	            	            	            	            	      	      	      	      	Simbad
      37	J0024.5+3312	RXC J0024.5+3312  	                                                      	00 24 31.8	+33 12 31	 0.2260	NORAS/REFLEX	NORAS       	 3.626	 2.992847	 3.3939	 0.9834	                                          	            	            	            	            	      	      	      	      	Simbad
      38	J0025.4-1222	MACSJ0025.4-1222  	                                                      	00 25 29.4	-12 22 37	 0.5843	MACS        	MACS_DIST   	 6.603	 8.041877	 4.6232	 0.9500	                                          	            	            	            	            	      	      	      	      	Simbad
      39	J0025.5-3302	RXCJ0025.5-3302   	S0041                                                 	00 25 32.4	-33 02 50	 0.0491	NORAS/REFLEX	REFLEX      	 0.961	 0.494670	 1.2872	 0.7559	                                          	SGP         	            	            	            	 0.929	      	      	      	Simbad
      40	J0026.7+0501	WARP J0026.7+0501 	GHO 0024+0444                                         	00 26 47.8	+05 01 26	 0.2529	WARPS       	WARPSII     	 3.943	 0.325648	 0.8595	 0.6162	                                          	            	            	            	            	      	      	      	      	Simbad
      41	J0027.3-5015	RXCJ0027.3-5015   	A2777                                                 	00 27 21.3	-50 15 04	 0.1448	NORAS/REFLEX	REFLEX      	 2.538	 2.164603	 2.9603	 0.9668	                                          	            	            	            	            	      	      	      	      	Simbad
      42	J0027.8+2616	RXC J0027.8+2616  	RXJ0027.6+2616                                        	00 27 49.8	+26 16 26	 0.3668	NORAS/REFLEX	NORAS       	 5.091	 8.375561	 5.6843	 1.1083	                                          	eBCS        	            	            	            	 1.065	      	      	      	Simbad
      43	J0028.6-2338	RXCJ0028.6-2338   	A0042                                                 	00 28 39.3	-23 38 14	 0.1120	NORAS/REFLEX	REFLEX      	 2.037	 1.404549	 2.3285	 0.9024	                                          	SGP         	            	            	            	 0.965	      	      	      	Simbad
      44	J0029.0+0742	MS0026.4+0725     	                                                      	00 29 01.3	+07 42 12	 0.1700	EMSS        	EMSS_1994   	 2.898	 0.858176	 1.6530	 0.7892	                                          	            	            	            	            	      	      	      	      	Simbad
      45	J0029.8+1330	BVH2007 1         	                                                      	00 29 50.6	+13 30 14	 0.2510	400SD       	400SD_SER   	 3.922	 0.819400	 1.5110	 0.7442	                                          	            	            	            	            	      	      	      	      	Simbad
      46	J0030.5+2618	BVH2007 2         	VMF98 1                                               	00 30 33.6	+26 18 16	 0.5000	400SD       	400SD_SER   	 6.104	 2.790358	 2.6037	 0.8112	                                          	WARPSII     	160SD       	            	            	 0.934	 1.027	      	      	Simbad
      47	J0030.6-2410	RXC J0030.6-2410  	A0047                                                 	00 30 37.6	-24 10 53	 0.1382	SGP         	SGP         	 2.441	 0.805310	 1.6278	 0.7938	                                          	            	            	            	            	      	      	      	      	Simbad
      48	J0034.2-0204	RXC J0034.2-0204  	SH518                                                 	00 34 13.9	-02 04 31	 0.0822	SGP         	SGP         	 1.547	 1.230023	 2.1930	 0.8933	                                          	            	            	            	            	      	      	      	      	Simbad
      49	J0034.6-0208	RXCJ0034.6-0208   	                                                      	00 34 36.0	-02 08 24	 0.0812	NORAS/REFLEX	REFLEX      	 1.530	 1.253723	 2.2202	 0.8972	DL,two maxima/E-W                         	            	            	            	            	      	      	      	      	Simbad
      50	J0035.4-2015	MACSJ0035.4-2015  	                                                      	00 35 26.2	-20 15 46	 0.3520	MACS        	MACS_BRIGHT 	 4.958	11.900000	10.2000	 1.3500	                                          	            	            	            	            	      	      	      	      	Simbad
      51	J0035.9+8513	WARP J0035.9+8513 	                                                      	00 35 59.3	+85 13 17	 0.8317	WARPS       	WARPSII     	 7.606	 3.208750	 2.1397	 0.6659	                                          	            	            	            	            	      	      	      	      	Simbad
      52	J0036.5+2544	ZwCl193           	ZwCl193                                               	00 36 35.8	+25 44 38	 0.0341	BCS         	eBCS        	 0.679	 0.098812	 0.4869	 0.5493	                                          	            	            	            	            	      	      	      	      	Simbad
      53	J0037.0+0909	A68               	A0068                                                 	00 37 05.3	+09 09 11	 0.2546	BCS         	BCS         	 3.963	 7.857653	 5.9801	 1.1755	                                          	            	            	            	            	      	      	      	      	Simbad
      54	J0037.4-2831	RXC J0037.4-2831  	A2798                                                 	00 37 27.0	-28 31 52	 0.1050	SGP         	SGP         	 1.925	 0.545534	 1.3146	 0.7476	                                          	            	            	            	            	      	      	      	      	Simbad
      55	J0039.6+2114	RXC J0039.6+2114  	A0075                                                 	00 39 36.0	+21 14 20	 0.0619	NORAS/REFLEX	NORAS       	 1.193	 0.207666	 0.7517	 0.6292	b                                         	BCS         	            	            	            	 2.248	      	      	      	Simbad
      56	J0040.0+0649	A76               	A0076                                                 	00 40 00.5	+06 49 05	 0.0395	BCS         	BCS         	 0.782	 0.319960	 0.9933	 0.6954	                                          	            	            	            	            	      	      	      	      	Simbad
      57	J0040.1-5607	RXCJ0040.1-5607   	A2806                                                 	00 40 06.5	-56 07 00	 0.0277	NORAS/REFLEX	REFLEX      	 0.556	 0.072779	 0.4058	 0.5179	                                          	            	            	            	            	      	      	      	      	Simbad
      58	J0040.4+2933	RXC J0040.4+2933  	A0077                                                 	00 40 27.4	+29 33 34	 0.0712	NORAS/REFLEX	NORAS       	 1.358	 0.949621	 1.8872	 0.8527	                                          	BCS         	EMSS_1994   	            	            	 0.918	 1.520	      	      	Simbad
      59	J0041.1-2339	RX J0041.1-2339   	VMF98 2                                               	00 41 10.3	-23 39 33	 0.1120	160SD       	160SD       	 2.037	 0.052265	 0.3130	 0.4623	                                          	            	            	            	            	      	      	      	      	Simbad
      60	J0041.7+2124	RXC J0041.7+2124  	A0084                                                 	00 41 47.1	+21 24 50	 0.1014	NORAS/REFLEX	NORAS       	 1.867	 1.000012	 1.9071	 0.8473	                                          	BCS         	            	            	            	 1.377	      	      	      	Simbad
      61	J0041.8-0918	RXCJ0041.8-0918   	A0085                                                 	00 41 50.1	-09 18 07	 0.0555	NORAS/REFLEX	REFLEX      	 1.078	 5.100085	 5.3163	 1.2103	L,losStr                                  	SGP         	            	            	            	 0.945	      	      	      	Simbad
      62	J0042.1-2832	RXCJ0042.1-2832   	A2811                                                 	00 42 08.7	-28 32 09	 0.1082	NORAS/REFLEX	REFLEX      	 1.977	 2.734146	 3.5046	 1.0355	losStr                                    	SGP         	            	            	            	 0.927	      	      	      	Simbad
      63	J0043.4-2037	RXCJ0043.4-2037   	A2813                                                 	00 43 24.4	-20 37 17	 0.2924	NORAS/REFLEX	REFLEX      	 4.376	 6.907787	 5.3663	 1.1182	                                          	            	            	            	            	      	      	      	      	Simbad
      64	J0043.8+2424	ZwCl235           	ZwCl235                                               	00 43 52.1	+24 24 07	 0.0830	BCS         	BCS         	 1.561	 1.839590	 2.8014	 0.9690	                                          	            	            	            	            	      	      	      	      	Simbad
      65	J0045.3-2924	BVH2007 3         	                                                      	00 45 18.8	-29 24 02	 0.2570	400SD       	400SD_SER   	 3.990	 0.931133	 1.6259	 0.7609	                                          	            	            	            	            	      	      	      	      	Simbad
      66	J0045.7-2515	MS0043.3-2531     	                                                      	00 45 45.1	-25 15 42	 0.1120	EMSS        	EMSS_1994   	 2.037	 0.265261	 0.8427	 0.6431	                                          	            	            	            	            	      	      	      	      	Simbad
      67	J0046.3+8530	WARP J0046.3+8530 	                                                      	00 46 19.4	+85 30 57	 0.6241	WARPS       	WARPSII     	 6.807	 3.352002	 2.6212	 0.7739	                                          	            	            	            	            	      	      	      	      	Simbad
      68	J0048.6-2114	RXC J0048.6-2114  	A2824                                                 	00 48 38.0	-21 14 50	 0.0581	SGP         	SGP         	 1.125	 0.303458	 0.9497	 0.6811	                                          	            	            	            	            	      	      	      	      	Simbad
      69	J0049.4-2931	RXCJ0049.4-2931   	S0084                                                 	00 49 24.0	-29 31 28	 0.1084	NORAS/REFLEX	REFLEX      	 1.980	 1.438047	 2.3682	 0.9086	                                          	SGP         	            	            	            	 0.950	      	      	      	Simbad
      70	J0049.8+2426	A104              	A0104                                                 	00 49 48.5	+24 26 28	 0.0815	BCS         	BCS         	 1.536	 1.042960	 1.9841	 0.8641	                                          	            	            	            	            	      	      	      	      	Simbad
      71	J0050.9-0929	BVH2007 4         	VMF98 3                                               	00 50 59.3	-09 29 14	 0.1990	400SD       	400SD_SER   	 3.287	 0.581999	 1.2765	 0.7167	                                          	WARPSII     	160SD       	            	            	 0.884	 1.001	      	      	Simbad
      72	J0051.1-4833	RXC J0051.1-4833  	A2830                                                 	00 51 11.2	-48 33 35	 0.1873	SGP         	SGP         	 3.133	 2.036335	 2.7638	 0.9311	                                          	            	            	            	            	      	      	      	      	Simbad
      73	J0051.3-2831	RXC J0051.3-2831  	A2829                                                 	00 51 19.2	-28 31 10	 0.1125	SGP         	SGP         	 2.045	 0.706073	 1.5303	 0.7844	                                          	            	            	            	            	      	      	      	      	Simbad
      74	J0052.7-8015	RXCJ0052.7-8015   	A2837                                                 	00 52 44.9	-80 15 59	 0.1141	NORAS/REFLEX	REFLEX      	 2.071	 3.393306	 3.9812	 1.0783	                                          	            	            	            	            	      	      	      	      	Simbad
      75	J0054.0-2823	RX J0054.0-2823   	VMF98 4                                               	00 54 02.8	-28 23 58	 0.2920	160SD       	160SD       	 4.371	 0.414816	 0.9661	 0.6315	RDCS/WARP2                                	WARPSII     	            	            	            	 0.729	      	      	      	Simbad
      76	J0055.9+2622	A115              	A0115                                                 	00 55 59.8	+26 22 41	 0.1971	BCS         	BCS         	 3.262	 7.484993	 6.0676	 1.2059	                                          	            	            	            	            	      	      	      	      	Simbad
      77	J0056.0-3732	BVH2007 5         	Cl0053                                                	00 56 03.5	-37 32 43	 0.1630	400SD       	400SD_SER   	 2.800	 1.482321	 2.3188	 0.8857	                                          	SGP         	REFLEX      	            	            	 1.652	 1.682	      	      	Simbad
      78	J0056.3-0112	RXCJ0056.3-0112   	A0119                                                 	00 56 18.3	-01 13 00	 0.0442	NORAS/REFLEX	REFLEX      	 0.870	 1.437223	 2.4747	 0.9413	L,losStr                                  	SGP         	            	            	            	 0.960	      	      	      	Simbad
      79	J0056.9-2213	BVH2007 6         	VMF98 5                                               	00 56 55.0	-22 13 51	 0.1160	400SD       	400SD_SER   	 2.101	 0.128009	 0.5389	 0.5533	                                          	160SD       	            	            	            	 1.086	      	      	      	Simbad
      80	J0056.9-2740	RX J0056.9-2740   	VMF98 6,J1888.16                                      	00 56 56.1	-27 40 12	 0.5630	160SD       	160SD       	 6.486	 1.141141	 1.4312	 0.6481	RDCS                                      	            	            	            	            	      	      	      	      	Simbad
      81	J0057.4-2616	BVH2007 7         	VMF98 7, A0122                                        	00 57 24.7	-26 16 50	 0.1130	400SD       	400SD_SER   	 2.053	 0.861163	 1.7267	 0.8165	                                          	160SD       	            	            	            	 1.020	      	      	      	Simbad
      82	J0057.4+3012	WARP J0057.4+3012 	                                                      	00 57 29.6	+30 12 52	 0.1230	WARPS       	WARPSII     	 2.210	 0.059800	 0.3371	 0.4721	                                          	            	            	            	            	      	      	      	      	Simbad
