#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:46:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:46:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJS%2F172%2F599%2Ftable2&-out=AGC,OName,RAJ2000,DEJ2000,TT,Imagc,gamma,i,cz,r,Gnum&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21720599
#Name: J/ApJS/172/599
#Title: SFI++ II. A new I-band Tully-Fisher catalog (Springob+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2007ApJS..172..599S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/172/599	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21720599	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_172_599_table2:
#Name: J/ApJS/172/599/table2
#Title: *Parameters of non-template galaxies (from erratum)
#Column	AGC	(I6)	Entry number in the UGC or AGC (G1)	[ucd=meta.id;meta.main]
#Column	OName	(A8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TT	(I2)	Morphological type code T	[ucd=meta.code;src.morph]
#Column	Imagc	(F7.2)	Corrected I-band apparent magnitude	[ucd=phot.mag;em.opt.I]
#Column	gamma	(F6.2)	Extinction coefficient gamma (G3)	[ucd=stat.fit.param]
#Column	i	(F5.1)	Inclination	[ucd=src.orbital.inclination]
#Column	cz	(I6)	Velocity in the CMB frame (1)	[ucd=phys.veloc;pos.cmb]
#Column	r	(A1)	[O/H] Code indicating whether the spectroscopy is radio (H, HI spectroscopy) or optical (O)	[ucd=meta.ref;pos.frame]
#Column	Gnum	(I5)	Group number (G2)	[ucd=meta.id]
AGC	OName	RAJ2000	DEJ2000	TT	Imagc	gamma	i	cz	r	Gnum
    27	408-020 	00 04 29.1	+05 50 44	 5	  12.84	  0.61	 61.3	  2754	H	40948
    34	N7824   	00 05 06.2	+06 55 12	 2	  11.44	  1.22	 48.3	  5778	H	41014
    36	408-026 	00 05 13.8	+06 46 19	 1	  12.06	  1.00	 66.1	  5940	H	41014
 20034	193 G 18	00 05 28.2	-49 37 00	 3	  12.83	  1.18	 62.5	 10490	O	    0
 20033	193 G 19	00 05 28.2	-50 16 12	 5	  12.45	  1.29	 36.4	 10185	O	    0
    40	478-024 	00 05 48.4	+27 26 56	 3	  12.59	  1.00	 55.5	  7189	H	40808
    41	M+401022	00 05 56.0	+22 29 31	 5	  13.96	  0.90	 73.8	  6250	H	    0
400739	DC000363	00 06 22.5	-50 10 00	 3	  14.63	  1.00	 69.1	 10462	O	    0
    51	408-031 	00 06 40.3	+05 06 48	 4	  12.95	  1.00	 48.9	  5013	H	40545
100040	408-033 	00 06 47.7	+04 56 13	 4	  13.71	  0.78	 46.1	  4927	H	    0
    53	456-031 	00 06 50.3	+19 19 17	 4	  14.26	  0.94	 33.3	  7543	H	    0
 20073	193 G 26	00 06 52.7	-50 24 53	-2	  14.65	  0.99	 54.3	  9508	O	    0
100044	433-023 	00 07 11.7	+13 45 59	 3	  14.42	  0.51	 78.2	  5056	H	    0
    57	N   1   	00 07 15.9	+27 42 28	 3	  12.53	  1.00	 59.7	  4218	H	    0
    59	N   2   	00 07 17.1	+27 40 40	 2	  12.61	  1.00	 60.0	  7211	H	40808
    60	N7831   	00 07 19.5	+32 36 32	 3	  11.75	  1.00	 75.9	  4750	H	40309
    65	N7836   	00 08 01.6	+33 04 13	 3	  12.24	  1.00	 49.7	  4571	H	40218
    68	478-029 	00 08 10.2	+27 00 13	 3	  13.05	  1.00	 50.5	  8438	H	    0
    69	478-030 	00 08 10.9	+27 31 39	 5	  12.93	  0.96	 44.6	  4304	H	40232
 20097	N   7   	00 08 21.3	-29 55 03	 5	  12.54	  0.50	 79.6	  1212	H	    0
101097	        	00 08 23.9	+33 01 42	 5	  15.13	  0.50	 81.1	  4631	H	    0
 20098	N  10   	00 08 33.2	-33 51 29	 5	  11.15	  1.30	 57.7	  6535	H	    0
 20099	193 G 30	00 08 39.9	-50 37 05	 5	  14.11	  1.00	 76.4	  9837	O	    0
    77	N  13   	00 08 47.7	+33 25 57	 3	  11.29	  1.07	 83.1	  4489	H	40218
    76	M+401029	00 08 49.3	+24 32 24	 3	  14.35	  0.50	 76.2	  4238	H	40232
 20103	349 G 33	00 09 04.2	-32 54 54	 3	  12.71	  1.00	 77.7	  6552	O	    0
    79	478-032 	00 09 04.4	+25 37 05	 5	  13.52	  0.72	 44.8	  3999	H	40232
    86	N  22   	00 09 48.2	+27 49 55	 3	  12.42	  1.10	 47.2	  7980	H	40702
 20112	I1532   	00 09 51.4	-64 22 18	 5	  13.01	  0.50	 74.8	  1720	O	30012
    89	N  23   	00 09 53.3	+25 55 26	 3	  10.67	  1.23	 47.2	  4226	H	40232
 20114	N  24   	00 09 56.3	-24 57 53	 5	   9.73	  0.50	 77.0	   252	H	30011
    92	499-059 	00 10 01.9	+28 12 36	 3	  12.87	  1.00	 43.4	  7838	H	40702
101063	        	00 10 18.7	+29 08 17	 4	  15.79	  0.50	 78.8	  7719	H	    0
 20117	241 G 21	00 10 19.9	-46 25 05	 5	  11.69	  1.12	 74.9	  5793	O	    0
    94	N  26   	00 10 26.0	+25 49 55	 3	  12.05	  1.00	 50.8	  4253	H	40232
    95	499-062 	00 10 26.4	+28 59 16	 5	  13.26	  1.00	 78.7	  6705	H	    0
    96	N  27   	00 10 32.7	+28 59 47	 3	  12.26	  1.12	 66.4	  7517	H	    0
101121	n95     	00 10 34.4	+06 11 00	 3	  14.37	  1.00	 75.8	 12529	H	    0
    98	N  21   	00 10 40.8	+32 58 57	 3	  12.29	  1.00	 57.7	  4466	H	40218
   100	N  29   	00 10 47.0	+33 21 09	 4	  12.01	  1.00	 61.1	  4444	H	40218
 20127	349 G 38	00 11 12.7	-33 34 48	 3	  11.94	  1.24	 68.1	  7574	O	    0
   105	499-071 	00 11 14.3	+28 54 23	 0	  12.32	  1.12	 30.2	  7713	H	    0
   106	N  36   	00 11 22.4	+06 23 21	 3	  11.36	  1.22	 61.5	  5672	H	    0
101105	        	00 11 27.8	+27 47 25	 3	  14.21	  0.90	 75.4	  7068	H	    0
   108	499-072 	00 11 45.1	+28 29 56	 3	  13.16	  1.00	 61.6	  7709	H	40702
   111	433-033 	00 12 09.0	+12 02 42	 3	  13.48	  1.00	 71.5	  5996	H	    0
   113	478-041 	00 12 15.7	+22 19 16	 1	  12.49	  1.02	 66.5	  7288	H	    0
   139	382-035 	00 14 31.8	-00 44 16	 5	  12.53	  0.99	 65.6	  3604	H	    0
   140	N  52   	00 14 40.2	+18 34 55	 3	  11.51	  1.08	 80.4	  5051	H	40231
   148	456-048 	00 15 51.4	+16 05 22	 3	  11.97	  1.00	 82.1	  3858	H	    0
   149	433-039 	00 15 57.5	+14 04 34	 1	  13.67	  0.83	 72.5	  5122	H	    0
100921	        	00 16 01.1	+16 01 33	 3	  14.46	  0.91	 52.4	  8011	H	    0
   152	499-093 	00 16 28.5	+29 55 25	 5	  13.75	  0.69	 72.2	  4535	H	40363
   155	408-044 	00 16 44.2	+07 04 35	 3	  11.72	  1.00	 80.2	  3613	H	    0
   158	534-009 	00 17 05.1	+42 09 40	 3	  12.92	  1.00	 78.0	  4767	H	    0
 20206	539 G  5	00 17 09.0	-19 18 02	 3	  11.72	  1.00	 50.2	  2865	O	    0
   163	408-045 	00 17 19.2	+06 43 20	 5	  14.00	  0.74	 47.6	  5300	H	40335
400180	N  64   	00 17 30.3	-06 49 29	 4	  12.21	  1.08	 54.4	  6967	H	    0
   166	499-100 	00 17 35.8	+30 12 17	 5	  12.85	  1.00	 64.5	  4505	H	    0
   165	478-051 	00 17 41.8	+24 40 03	 2	  13.28	  1.00	 74.6	  5709	H	40724
   167	N  63   	00 17 45.5	+11 27 01	 3	  10.85	  0.50	 55.4	   803	H	30013
100146	478-052 	00 17 59.7	+24 33 45	 4	  12.93	  1.00	 45.5	  5460	H	    0
100151	456-055 	00 18 25.2	+18 31 02	 5	  13.79	  0.74	 43.7	  4878	H	    0
   179	478-053 	00 19 00.6	+23 28 34	 5	  13.50	  0.71	 59.2	  4122	H	40730
 20224	N  66   	00 19 04.8	-22 55 20	 3	  12.20	  1.12	 63.3	  7299	O	    0
 20226	473 G 11	00 19 09.3	-24 31 20	 5	  13.11	  1.01	 64.3	  9550	O	    0
 20236	150 G  1	00 20 05.9	-54 31 26	 5	  13.24	  1.00	 55.3	  8784	O	    0
   195	I  13   	00 20 20.1	+07 41 00	 4	  12.94	  1.00	 74.4	  5355	H	40335
   204	I1544   	00 21 17.5	+23 05 27	 5	  12.63	  1.00	 50.2	  5374	H	40724
   205	457-009 	00 21 20.7	+17 20 25	 3	  13.83	  0.73	 68.7	  4925	H	    0
100184	I1546   	00 21 28.9	+22 30 24	 4	  12.80	  1.00	 73.9	  5471	H	    0
   207	500-006 	00 21 31.1	+29 39 43	 3	  13.45	  1.00	 77.9	  6701	H	40629
100188	M+402010	00 21 33.6	+22 35 35	 4	  12.89	  1.00	 71.3	  6292	H	    0
   210	479-016 	00 22 05.0	+23 44 12	 3	  13.46	  0.73	 65.2	  4147	H	40730
   214	N  95   	00 22 13.6	+10 29 28	 5	  11.21	  1.18	 41.7	  5031	H	    0
   215	500-008 	00 22 26.4	+29 30 13	 2	  12.15	  1.08	 53.1	  6766	H	40629
 20273	539 G 12	00 22 57.1	-22 07 09	 3	  14.49	  0.78	 63.8	  7064	O	    0
   228	479-023 	00 23 56.6	+24 18 21	 4	  12.95	  1.00	 51.6	  5345	H	    0
   231	N 100   	00 24 02.6	+16 29 10	 5	  11.44	  0.50	 83.9	   495	H	    0
   234	500-017 	00 24 46.4	+29 33 35	 5	  13.68	  0.69	 65.2	  4343	H	40394
   238	500-018 	00 25 03.3	+31 20 39	 3	  12.13	  1.00	 77.7	  6484	H	40169
   240	409-011 	00 25 10.2	+06 29 26	 3	  12.83	  1.00	 61.0	  8330	H	41442
100229	409-012 	00 25 24.8	+06 42 22	 3	  13.85	  1.00	 51.6	  8594	H	    0
 20291	294 G  9	00 25 25.4	-41 36 10	 5	  14.06	  1.00	 76.5	  7794	O	    0
   244	479-027 	00 25 30.0	+24 48 39	 4	  13.11	  0.87	 60.9	  4218	H	40730
400228	M-102011	00 25 47.6	-02 17 04	 5	  12.03	  1.00	 81.4	  4984	H	    0
 20302	N 115   	00 26 46.7	-33 40 36	 5	  12.22	  0.50	 69.5	  1568	H	30019
   255	N 112   	00 26 48.7	+31 42 11	 3	  12.49	  1.00	 65.0	  5980	H	40169
   260	434-013 	00 27 02.9	+11 35 02	 5	  11.64	  0.72	 79.5	  1785	H	    0
   272	383-019 	00 27 49.8	-01 12 00	 5	  13.17	  0.71	 65.8	  3555	H	    0
100244	383-020 	00 27 52.1	+03 28 36	 3	  14.30	  0.50	 86.4	  1035	H	    0
   275	383-021 	00 27 58.6	+02 30 26	 3	  12.75	  0.98	 58.6	  4041	H	40177
   279	500-026 	00 28 15.3	+30 48 09	 3	  12.15	  1.00	 77.0	  5955	H	40169
   278	479-034 	00 28 21.2	+27 22 08	 4	  13.46	  1.00	 74.2	  9276	H	    0
   281	383-023 	00 28 22.1	+02 31 36	 5	  13.74	  0.57	 67.2	  3941	H	40177
   284	500-029 	00 28 34.4	+33 16 19	 5	  13.09	  0.96	 43.2	  4417	H	40410
100254	500-028 	00 28 34.6	+31 09 19	 3	  13.62	  0.96	 63.0	  5747	H	    0
   294	        	00 29 23.3	+31 22 55	 5	  14.35	  0.70	 87.7	  6016	H	40169
100269	434-016 	00 29 38.3	+11 36 01	 5	  13.70	  0.77	 48.2	  4861	H	    0
   299	500-035 	00 29 53.4	+31 23 35	 5	  13.24	  1.00	 57.9	  5987	H	40169
 20329	N 134   	00 30 21.1	-33 14 44	 5	   8.78	  1.01	 75.9	  1333	O	30019
 20336	410 G 16	00 30 46.8	-29 20 26	20	  13.37	  1.00	 54.2	  6960	O	    0
400257	M-102025	00 31 14.0	-07 50 27	 4	  12.48	  1.00	 57.2	  5784	H	    0
 20344	N 143   	00 31 16.0	-22 33 38	 3	  12.89	  1.00	 70.1	  7749	O	    0
   310	500-037 	00 31 17.8	+28 59 35	 5	  13.64	  0.69	 76.3	  4331	H	    0
 20349	539 G 14	00 31 28.5	-19 45 50	 5	  13.16	  1.00	 87.5	  6751	O	    0
400261	M-202040	00 31 35.5	-10 30 22	 4	  12.18	  1.00	 72.7	  3223	H	30020
400265	N 145   	00 31 45.3	-05 09 11	 5	  11.72	  1.00	 42.8	  3793	H	    0
400814	n95     	00 31 56.7	-10 15 08	 4	  14.34	  1.00	 77.1	 11371	O	    0
   319	500-041 	00 32 12.1	+31 40 53	 4	  13.04	  1.00	 62.0	  6024	H	40169
 20363	294 G 21	00 32 13.7	-41 22 57	 4	  11.98	  1.22	 66.8	  7577	O	    0
   320	M+002066	00 32 30.9	+02 34 26	 5	  14.33	  0.50	 80.3	  2029	H	    0
   321	479-037 	00 32 32.4	+23 23 40	 5	  13.92	  0.57	 74.0	  4331	H	    0
100293	500-042 	00 32 44.4	+30 45 02	 3	  13.03	  1.00	 62.8	  5798	H	40123
   323	434-021 	00 32 50.5	+11 44 10	 3	  12.94	  1.00	 77.6	  4573	H	40414
100295	500-043 	00 32 52.9	+30 39 03	 3	  13.37	  1.00	 59.3	  5734	H	    0
400274	M-202051	00 33 10.2	-13 08 46	 4	  12.95	  1.00	 59.0	  5856	H	    0
   327	409-033 	00 33 15.4	+07 54 17	 4	  13.66	  0.82	 66.3	  5052	H	40547
   329	383-035 	00 33 36.2	+02 40 50	 5	  13.03	  0.86	 58.6	  4043	H	40177
100303	479-040 	00 33 36.3	+23 24 05	 5	  13.60	  0.81	 63.2	  4849	H	    0
400279	N 151   	00 34 02.4	-09 42 20	 4	  10.30	  1.20	 56.3	  3408	O	    0
 20385	N 150   	00 34 15.7	-27 48 18	 5	  10.20	  1.00	 60.9	  1305	H	    0
400290	N 157   	00 34 46.6	-08 23 47	 5	   9.21	  1.00	 47.8	  1317	H	    0
   344	519-013 	00 34 51.2	+39 32 41	 5	  13.78	  0.89	 51.3	  5494	H	41241
   346	500-047 	00 34 56.0	+31 56 55	 4	  13.08	  1.00	 65.4	  5589	H	    0
   351	I  34   	00 35 36.5	+09 07 25	 1	  11.12	  1.21	 69.7	  4973	H	40359
   353	409-045 	00 35 39.4	+08 59 50	 5	  13.29	  0.92	 65.1	  4725	H	    0
   356	N 160   	00 36 04.0	+23 57 31	 1	  11.10	  1.21	 59.7	  4925	H	    0
   357	457-020 	00 36 10.1	+21 27 51	 4	  13.90	  1.00	 60.2	  8932	H	    0
   359	409-047 	00 36 10.6	+04 38 06	 3	  13.71	  0.72	 76.2	  4581	H	    0
400697	        	00 36 25.5	-57 00 29	 3	  13.89	  1.00	 90.0	  9778	O	    0
   364	457-022 	00 36 45.1	+21 33 59	 3	  12.29	  1.21	 71.6	  8581	H	    0
 20417	410 G 27	00 36 51.1	-28 22 30	 5	  12.68	  1.00	 61.4	  6882	O	    0
 20423	242 G 18	00 37 06.6	-46 38 35	 5	  12.51	  0.92	 53.2	  3343	O	    0
 20425	N 172   	00 37 14.3	-22 35 05	 6	  12.53	  0.74	 78.3	  2751	H	    0
   376	        	00 37 54.1	+32 41 20	 5	  14.48	  0.50	 78.8	  4508	H	    0
   379	M+102037	00 37 57.7	+05 08 52	 5	  14.22	  0.58	 83.6	  4883	H	40547
 20437	150 G 16	00 38 02.1	-53 37 42	 5	  13.82	  1.00	 78.5	  8224	O	    0
100364	500-058 	00 38 28.2	+29 37 30	 4	  13.44	  0.94	 64.0	  5333	H	40123
   388	M+502034	00 38 31.8	+30 17 22	 5	  13.57	  0.88	 63.7	  5089	H	40123
   393	M+302020	00 38 39.8	+17 24 09	 3	  13.12	  1.00	 67.1	  5095	H	    0
101075	        	00 38 40.5	+29 35 10	 1	  13.72	  0.79	 76.2	  4998	H	    0
101112	        	00 38 54.4	+07 27 27	 4	  15.33	  0.50	 74.4	  4898	H	    0
100381	479-052B	00 38 55.7	+26 57 58	 5	  14.29	  0.52	 79.9	  4858	H	    0
   399	I1564   	00 39 05.1	+06 01 15	 4	  13.00	  1.00	 62.4	  4914	H	40547
 20445	411 G  3	00 39 17.9	-27 20 55	 3	  12.49	  1.00	 63.8	  6599	O	    0
 20450	351 G  1	00 39 33.6	-35 48 19	 5	  14.46	  0.67	 82.2	  6199	H	    0
   420	N 200   	00 39 34.8	+02 53 14	 5	  11.46	  1.07	 59.0	  4807	H	40204
   418	409-059 	00 39 37.6	+08 57 55	 3	  12.44	  1.00	 79.2	  4094	H	40820
   422	409-060 	00 39 43.1	+09 00 18	 3	  12.80	  0.98	 42.7	  4097	H	40820
 20457	474 G 11	00 40 35.2	-25 26 32	 5	  14.38	  0.84	 63.5	  7119	O	    0
400334	M-202082	00 40 55.0	-13 46 31	 3	  12.75	  1.01	 54.9	  8145	O	    0
   433	500-067 	00 41 03.7	+31 43 59	 5	  12.10	  1.00	 80.6	  4343	H	40186
   438	N 214   	00 41 27.8	+25 30 00	 4	  10.97	  1.14	 43.8	  4211	H	40528
400343	N 217   	00 41 33.8	-10 01 18	 0	  10.64	  1.13	 78.8	  3651	O	    0
   444	519-019 	00 42 04.8	+36 48 16	 3	  12.18	  1.30	 41.7	 10345	H	    0
   443	500-071 	00 42 07.8	+33 24 22	 5	  14.20	  0.75	 69.1	  5936	H	40631
100917	        	00 42 11.7	+37 00 56	 3	  14.80	  1.00	 77.3	 10314	O	    0
 20471	540 G 16	00 42 14.7	-18 09 39	 5	  12.48	  0.50	 84.6	  1244	H	30033
   457	500-075 	00 42 53.3	+33 31 22	 4	  13.18	  1.00	 74.5	  5928	H	40631
   461	N 237   	00 43 27.8	-00 07 31	 5	  11.90	  1.00	 51.0	  3832	H	40177
 20489	474 G 19	00 43 45.0	-24 25 17	 5	  14.27	  0.80	 56.7	  6486	H	    0
400373	M-203006	00 45 08.9	-09 37 53	 4	  13.36	  1.00	 56.4	  5788	O	    0
 20506	411 G 10	00 45 51.8	-31 11 53	 3	  12.98	  1.00	 38.6	  5546	O	    0
 20510	243 G  1	00 46 06.7	-42 31 54	 3	  13.99	  0.98	 34.5	  7003	O	    0
 20511	I1582   	00 46 16.8	-24 16 42	 4	  13.59	  1.00	 73.7	 10290	O	    0
 20516	351 G  5	00 46 42.1	-35 47 48	 5	  13.55	  1.00	 40.2	  6780	H	    0
   483	480-002 	00 46 50.3	+26 28 34	 2	  14.09	  0.57	 73.3	  4633	H	    0
400382	540 G 21	00 46 56.3	-21 50 48	20	  13.30	  1.00	 59.4	  6132	O	    0
400846	M-203014	00 47 25.2	-09 51 10	 4	  14.20	  0.67	 76.7	  5439	O	    0
400390	M-203015	00 47 46.3	-09 50 05	 3	  11.89	  1.00	 79.5	  5448	O	    0
400387	UA 14   	00 47 46.6	-09 53 54	 3	  12.84	  0.50	 90.0	  1036	O	    0
400848	        	00 47 51.9	-09 38 46	 3	  14.63	  0.53	 42.8	  5742	O	    0
   490	N 251   	00 47 54.0	+19 35 48	 5	  11.29	  1.02	 51.7	  4225	H	    0
   493	N 257   	00 48 01.5	+08 17 48	 5	  11.25	  1.15	 54.4	  4939	H	40513
400393	N 259   	00 48 03.4	-02 46 35	 4	  10.90	  1.04	 78.4	  3714	H	30040
   507	384-010 	00 49 35.6	+01 06 54	 5	  11.98	  1.00	 84.8	  4948	H	40173
100592	384-011 	00 49 52.1	+00 57 47	 4	  13.18	  0.87	 74.7	  4290	H	    0
   510	458-006 	00 49 58.4	+21 43 11	 5	  13.06	  0.91	 77.5	  4208	H	    0
   512	410-012 	00 50 02.7	+07 55 06	 3	  13.36	  0.93	 55.7	  5047	H	40513
 20577	295 G 12	00 50 21.1	-41 14 33	 4	  12.72	  1.00	 53.9	  6792	O	    0
 20580	243 G  3	00 50 34.3	-43 03 53	 4	  14.48	  0.74	 44.4	  6719	O	    0
 20584	474 G 32	00 50 50.5	-26 29 23	 5	  14.88	  0.50	 72.8	  5237	O	    0
400421	        	00 50 53.5	-21 53 56	 3	  13.91	  1.18	 79.0	 18360	O	  114
400672	        	00 51 16.6	-21 56 03	 3	  15.52	  1.00	 76.0	 18463	O	  114
400673	        	00 51 22.2	-21 32 56	 3	  15.45	  1.00	 72.1	 17794	O	  114
400674	        	00 51 36.8	-21 28 05	 3	  16.65	  0.70	 90.0	 17699	O	  114
100734	FGC 200 	00 52 08.7	+14 30 11	 5	  15.82	  0.50	 85.0	  8783	H	    0
400443	        	00 52 18.2	-21 49 48	 3	  14.17	  1.09	 52.1	 17082	O	  114
   533	435-016 	00 52 28.0	+14 31 05	 5	  13.34	  0.97	 71.6	  5143	H	41066
   534	N 280   	00 52 30.2	+24 21 04	 3	  12.06	  1.30	 61.0	  9840	H	    0
101127	n96     	00 52 43.9	+14 43 45	 3	  14.67	  1.00	 79.9	 16447	H	    0
400453	        	00 52 55.8	-21 50 27	 3	  14.46	  1.00	 68.9	 16985	O	  114
   541	FGC 203 	00 53 09.3	+21 55 35	 5	  14.00	  0.98	 77.9	  6979	H	    0
 20620	474 G 38	00 53 19.0	-26 47 54	 3	  13.87	  1.00	 69.4	 10479	O	    0
