#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:46:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:46:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,RAJ2000,DEJ2000,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	RAJ2000	DEJ2000	Sabs	e_Sabs	SNR	HRV	Tel
 12915	478-013 	00 01 42.0	+23 29 46	 14.16	  1.60	 32.0	  4340	AOlf
331086	517-014 	00 01 58.5	+36 38 52	 -0.89	  0.11	  0.0	  9714	AOlf
 12916	        	00 02 03.1	+17 34 26	  2.14	  0.25	  8.8	  6347	AOlf
331088	433-017 	00 02 03.8	+12 31 50	  0.93	  0.13	  5.5	  7934	AOlf
 12918	I5377   	00 02 05.3	+16 35 25	  9.45	  1.01	 31.6	  1051	AOlf
 12919	N7810   	00 02 19.2	+12 58 17	  4.90	  0.56	  7.2	  5486	AOlf
 12920	478-014 	00 02 23.0	+27 12 38	  4.21	  0.53	 11.4	  7610	AOlf
400001	M-101024	00 02 34.7	-03 42 37	  3.72	  0.42	  9.8	  6463	Nanc
     1	I5378a  	00 02 37.6	+16 39 08	  2.57	  0.26	 27.1	  5836	AOlf
100002	408-013 	00 02 39.8	+08 44 13	  1.87	  0.31	  3.9	  5538	AOlf
100003	I5379   	00 02 40.6	+16 36 01	  0.82	  0.12	  4.9	  6281	AOlf
100920	        	00 02 40.6	+08 46 25	  1.12	  0.06	  9.3	 12082	AOG
     3	456-021 	00 02 46.3	+18 53 09	  7.85	  0.93	 12.5	  7886	AOlf
100006	499-039 	00 02 51.0	+31 29 15	  1.60	  0.20	  9.9	  4948	AOlf
     4	408-014 	00 02 56.9	+04 12 32	  1.52	  0.20	  5.3	  8631	AOlf
100009	456-022 	00 03 03.0	+18 52 22	  1.16	  0.18	  4.1	  7880	AOlf
     5	382-021 	00 03 05.6	-01 54 51	  5.32	  0.61	  6.4	  7288	AOlf
     6	478-015 	00 03 09.7	+21 57 35	  1.18	  0.15	  5.9	  6622	AOlf
     7	I5381   	00 03 11.2	+15 57 54	  5.13	  0.61	 13.4	 11231	AOlf
100011	478-016 	00 03 12.7	+25 10 33	  0.35	  0.05	  6.6	  7760	AOlf
     8	N7814   	00 03 14.8	+16 08 44	 24.39	  1.54	 10.4	  1051	GB140
100012	382-022 	00 03 17.1	+03 37 19	  5.25	  0.70	  4.5	  8004	AOlf
    10	408-015 	00 03 20.5	+08 37 07	  7.99	  0.94	 11.6	 11944	AOlf
    11	M+401014	00 03 21.5	+22 06 09	  2.14	  0.23	 13.3	  4465	AOlf
100014	408-016 	00 03 23.6	+05 42 15	  3.28	  0.34	 12.5	  6181	AOlf
100015	456-025 	00 03 27.9	+16 44 15	  0.32	  0.06	  4.4	  6295	AOlf
    13	478-017 	00 03 29.2	+27 21 05	  0.95	  0.12	  7.1	  7719	AOlf
100016	478-018 	00 03 33.9	+22 04 55	  1.64	  0.21	  5.6	  7514	AOlf
    14	478-019 	00 03 35.1	+23 12 01	  9.30	  1.08	 13.5	  7254	AOlf
100018	408-017 	00 03 37.6	+08 38 12	  1.54	  0.19	  6.5	 12039	AOlf
100019	433-019 	00 03 38.7	+11 29 53	  1.40	  0.17	  5.9	 17342	AOlf
    17	        	00 03 43.1	+15 13 05	  7.32	  1.64	 12.4	   877	AOlf
100020	456-027 	00 03 44.2	+16 11 31	  3.06	  0.33	  9.6	  6412	AOlf
    15	M+101017	00 03 44.7	+04 17 53	  3.88	  0.50	  6.2	 11563	AOlf
    16	N7816   	00 03 48.9	+07 28 43	 10.19	  1.20	 56.1	  5242	AOlf
101122	n95     	00 03 51.7	+10 59 28	  0.74	  0.06	  8.8	  7983	AOG
    19	N7817   	00 03 59.0	+20 45 07	 22.47	  1.40	 11.4	  2310	GB140
    21	N7818   	00 04 08.9	+07 22 44	  5.42	  0.54	 28.4	  6199	AOlf
    23	433-021 	00 04 13.0	+10 47 25	  2.30	  0.29	  7.5	  7975	AOlf
    24	478-020 	00 04 14.7	+22 35 16	  5.23	  0.55	 17.8	  4444	AOlf
    26	N7819   	00 04 24.5	+31 28 19	 12.18	  1.42	 28.7	  4955	AOlf
    25	M+101020	00 04 25.1	+06 10 40	  4.66	  0.55	 11.0	  5071	AOlf
100022	478-000 	00 04 27.1	+22 21 26	  2.32	  0.27	  9.1	  6492	AOlf
    27	408-020 	00 04 29.1	+05 50 44	 12.46	  1.50	 21.6	  3113	AOlf
    30	        	00 04 32.7	+33 33 33	  3.37	  0.46	  7.0	  4770	AOlf
100025	478-021 	00 04 44.7	+26 49 54	  1.24	  0.18	  5.9	  7583	AOlf
400054	M-301018	00 04 45.8	-16 01 44	  7.16	  0.81	 11.4	 10075	GB300
    31	456-029 	00 04 52.2	+17 11 32	  2.53	  0.30	 13.0	  1034	AOlf
    34	N7824   	00 05 06.2	+06 55 12	  2.67	  0.32	  8.1	  6137	AOlf
100030	478-023 	00 05 06.5	+22 11 24	  1.36	  0.18	  3.8	 14447	AOlf
    35	        	00 05 09.2	+06 15 34	  3.92	  0.77	  9.7	  3112	AOlf
    36	408-026 	00 05 13.8	+06 46 19	  2.96	  0.38	  8.3	  6299	AOlf
    37	N7825   	00 05 27.0	+05 10 35	  1.98	  0.25	  6.6	  5627	AOlf
100035	499-049 	00 05 29.1	+32 31 34	  1.30	  0.20	  5.7	 10421	AOlf
    40	478-024 	00 05 48.4	+27 26 56	  2.76	  0.31	 10.6	  7526	AOlf
    41	M+401022	00 05 56.0	+22 29 31	  4.72	  0.54	 16.8	  6597	AOlf
    42	        	00 06 06.4	+13 07 29	  2.16	  0.23	 14.1	  5483	AOlf
100038	408-029 	00 06 14.1	+08 53 14	  1.43	  0.18	  7.0	 11539	AOlf
100767	0003+250	00 06 17.4	+25 22 01	  0.65	  0.09	  7.5	 10295	AOlf
    44	        	00 06 19.1	+19 44 05	  0.84	  0.12	  6.5	  6232	AOlf
    46	456-030a	00 06 21.4	+17 25 47	  3.19	  0.38	  7.6	  5453	AOlf
    48	M+801021	00 06 37.3	+47 52 37	 13.30	  1.46	 16.4	  4312	GB300
    49	N7834   	00 06 37.8	+08 22 03	  3.93	  0.47	 11.7	  5229	AOlf
    47	FGC 26  	00 06 38.3	+17 17 03	  6.51	  0.82	 18.6	   880	AOlf
    50	478-025 	00 06 40.1	+26 09 14	  3.61	  0.41	  8.6	  7558	AOlf
    51	408-031 	00 06 40.3	+05 06 48	  2.56	  0.28	 13.4	  5371	AOlf
100040	408-033 	00 06 47.7	+04 56 13	  1.27	  0.16	  7.0	  5285	AOlf
    52	408-032 	00 06 49.5	+08 37 41	  7.26	  0.95	 16.7	  5254	AOlf
    53	456-031 	00 06 50.3	+19 19 17	  2.45	  0.28	  9.3	  7894	AOlf
100042	N7838   	00 06 53.9	+08 21 02	  0.98	  0.16	  4.1	 11525	AOlf
    56	433-022 	00 07 01.6	+14 06 22	  2.12	  0.23	 12.5	  5430	AOlf
100044	433-023 	00 07 11.7	+13 45 59	  2.92	  0.35	 10.0	  5412	AOlf
    57	N   1   	00 07 15.9	+27 42 28	 15.27	  1.75	 11.0	  4554	AOlf
    58	N   3   	00 07 16.7	+08 18 04	  1.38	  0.18	  6.1	  3961	AOlf
    59	N   2   	00 07 17.1	+27 40 40	  2.47	  0.27	 11.5	  7547	AOlf
    60	N7831   	00 07 19.5	+32 36 32	  7.65	  0.96	 14.7	  5074	AOlf
100046	478-028 	00 07 39.9	+25 35 18	  0.56	  0.08	  4.6	  7054	AOlf
    63	518-013 	00 07 50.8	+35 57 57	  1.98	  0.22	 15.6	   441	AOff
100049	456-032 	00 07 53.4	+20 24 41	  0.74	  0.11	  4.9	  7843	AOlf
    65	N7836   	00 08 01.6	+33 04 13	  1.50	  0.16	 10.4	  4894	AOlf
    66	408-036 	00 08 06.8	+09 43 03	  2.87	  0.36	 10.6	  6420	AOlf
    68	478-029 	00 08 10.2	+27 00 13	  3.48	  0.37	 10.1	  8775	AOlf
    69	478-030 	00 08 10.9	+27 31 39	  8.41	  0.87	 25.5	  4640	AOlf
    67	408-037 	00 08 14.7	+07 46 48	  2.63	  0.32	 10.2	 11826	AOlf
 20097	N   7   	00 08 21.3	-29 55 03	 16.10	  1.04	 15.7	  1497	GB140
101097	        	00 08 23.9	+33 01 42	  1.95	  0.16	 12.6	  4954	AOG
100055	456-033 	00 08 31.9	+18 09 45	  1.26	  0.14	 16.2	 12624	AOlf
 20098	N  10   	00 08 33.2	-33 51 29	  7.35	  0.79	  9.9	  6804	Nanc
    74	N  12   	00 08 44.7	+04 36 45	  3.77	  0.45	 15.1	  3934	AOlf
    75	N  14   	00 08 46.3	+15 48 59	 20.92	  3.16	 57.9	   863	AOlf
    77	N  13   	00 08 47.7	+33 25 57	  5.93	  0.80	 11.8	  4811	AOlf
    76	M+401029	00 08 49.3	+24 32 24	  4.76	  0.69	 11.2	  4580	AOlf
    82	N  15   	00 09 02.5	+21 37 26	  1.16	  0.16	  5.6	  6326	AOlf
    81	433-028 	00 09 04.3	+10 55 08	  6.20	  0.74	  7.5	  6674	AOlf
    79	478-032 	00 09 04.4	+25 37 05	  7.24	  0.81	 16.8	  4339	AOlf
100056	433-027 	00 09 04.5	+10 33 55	  1.43	  0.20	  5.2	 10883	AOlf
    85	549-021 	00 09 28.9	+47 21 21	  8.62	  1.19	  5.3	  5168	GB300
    86	N  22   	00 09 48.2	+27 49 55	  6.61	  0.87	 11.3	  8315	AOlf
100061	478-035 	00 09 51.3	+26 47 24	  2.00	  0.22	  8.6	 17233	AOlf
    88	408-039a	00 09 52.0	+04 40 28	  1.87	  0.24	  5.5	  3982	AOlf
    89	N  23   	00 09 53.3	+25 55 26	  9.64	  1.17	 18.3	  4565	AOlf
 20114	N  24   	00 09 56.3	-24 57 53	 64.70	  4.22	 17.9	   554	GB140
    90	        	00 10 01.7	+16 56 25	  1.20	  0.17	  7.5	   906	AOlf
    92	499-059 	00 10 01.9	+28 12 36	  4.69	  0.50	 19.2	  8172	AOlf
    91	499-058 	00 10 03.3	+28 08 59	  5.38	  0.61	 21.3	  8204	AOlf
    93	499-060 	00 10 16.8	+30 50 58	 12.14	  2.02	 21.9	  4955	AOlf
 20116	UA  3   	00 10 17.6	-18 15 54	  8.79	  0.92	 24.9	  1545	Nanc
101063	        	00 10 18.7	+29 08 17	  0.74	  0.06	  9.6	  8051	AOG
100064	433-030 	00 10 21.7	+12 08 29	  1.75	  0.26	  5.8	 11475	AOlf
    94	N  26   	00 10 26.0	+25 49 55	 11.90	  1.36	 33.1	  4592	AOlf
    95	499-062 	00 10 26.4	+28 59 16	  4.72	  0.69	  8.7	  7037	AOlf
    96	N  27   	00 10 32.7	+28 59 47	  5.62	  0.65	 12.4	  7849	AOlf
101121	n95     	00 10 34.4	+06 12 00	  1.29	  0.08	 10.5	 12886	AOG
100066	456-036 	00 10 38.7	+16 35 21	  1.52	  0.19	 10.4	 10434	AOlf
    99	M+201023	00 10 40.7	+13 42 34	 15.46	  2.81	 84.3	  1733	AOlf
    98	N  21   	00 10 40.8	+32 58 57	  6.02	  0.63	 16.1	  4788	AOlf
100068	518-017 	00 10 41.7	+35 51 08	  2.53	  0.32	  7.1	  6170	AOlf
   100	N  29   	00 10 47.0	+33 21 09	 11.96	  1.32	 24.8	  4765	AOlf
   101	478-037 	00 10 57.0	+25 33 36	  3.72	  0.43	 10.9	 10231	AOlf
   102	499-069 	00 11 01.1	+30 03 07	  2.69	  0.41	  4.5	  6794	AOlf
100072	382-030 	00 11 06.3	+02 40 40	  1.82	  0.25	  4.8	 12760	AOlf
100073	499-070 	00 11 11.1	+29 05 03	  2.27	  0.29	  5.8	  8138	AOlf
   105	499-071 	00 11 14.3	+28 54 23	  1.85	  0.26	  6.7	  8045	AOlf
   106	N  36   	00 11 22.4	+06 23 21	 12.12	  1.61	 26.9	  6029	AOlf
101105	        	00 11 27.8	+27 47 25	  2.22	  0.15	  9.2	  7403	AOG
100075	433-032 	00 11 31.4	+13 30 44	  1.11	  0.17	  4.6	 11464	AOlf
   107	        	00 11 38.1	+27 56 52	  1.93	  0.28	  5.3	  7445	AOlf
   108	499-072 	00 11 45.1	+28 29 56	  1.27	  0.14	  8.3	  8042	AOlf
   109	M+001037	00 11 49.4	-01 05 15	  2.35	  0.30	  7.9	  6236	AOlf
100078	478-038 	00 11 55.5	+23 01 27	  2.86	  0.33	  8.0	  7573	AOlf
   110	478-039 	00 12 01.3	+26 23 35	  3.19	  0.38	  9.4	  4512	AOlf
100079	478-040 	00 12 05.6	+24 59 13	  4.30	  0.47	  9.5	 10749	AOlf
   112	        	00 12 08.8	+41 45 12	  3.78	  0.49	 11.8	  5015	GB300
   111	433-033 	00 12 09.0	+12 02 42	  5.41	  0.61	 16.8	  6351	AOlf
100080	499-074 	00 12 09.3	+27 54 35	  3.05	  0.40	  6.2	  7504	AOlf
   113	478-041 	00 12 15.7	+22 19 16	  5.99	  0.70	 12.3	  7633	AOlf
   116	408-041 	00 12 38.3	+05 30 18	  6.73	  0.74	 18.1	  8480	AOlf
100086	N  41   	00 12 48.4	+22 01 20	  2.16	  0.27	  6.1	  5946	AOlf
   117	499-078 	00 12 54.4	+33 21 39	  8.89	  0.98	 16.7	  4754	AOlf
100089	456-038a	00 13 06.2	+18 30 23	  2.55	  0.25	 12.7	 12503	AOlf
   122	456-039 	00 13 17.6	+17 01 45	 21.97	  3.17	 57.4	   854	AOlf
   123	I   4   	00 13 27.0	+17 29 11	  2.32	  0.30	  6.6	  5003	AOlf
100726	K0011+15	00 13 39.2	+15 40 46	  3.11	  0.36	 17.1	  1943	AOlf
100090	499-081 	00 13 43.4	+30 11 40	  3.98	  0.50	  5.3	  7137	AOlf
   128	M+601019	00 13 50.8	+35 59 36	 12.06	  1.57	 12.1	  4537	AOlf
100093	499-082 	00 13 55.7	+28 45 48	  1.17	  0.15	  8.4	  6954	AOlf
100094	382-034 	00 13 56.4	+03 42 34	  0.93	  0.14	  5.8	 11849	AOlf
   127	M+401042	00 13 56.5	+26 58 03	  9.78	  1.13	 26.4	  4683	AOlf
100091	456-041 	00 13 56.9	+17 58 50	  0.57	  0.10	  8.3	  5355	AOlf
   132	433-036 	00 14 00.8	+12 57 50	  3.80	  0.46	 11.1	  1679	AOlf
 20156	N  45   	00 14 03.9	-23 10 54	241.65	 10.18	 52.7	   468	GB140
   135	        	00 14 12.9	+07 24 39	  2.99	  0.41	  9.3	  5836	AOlf
400160	N  47   	00 14 30.9	-07 10 05	  7.94	  0.97	  6.9	  5698	Nanc
   139	382-035 	00 14 31.8	-00 44 16	 19.40	  2.96	 15.9	  3956	AOlf
100099	433-037 	00 14 31.8	+10 46 28	  1.78	  0.22	  7.5	 11495	AOlf
   140	N  52   	00 14 40.2	+18 34 55	  6.01	  0.87	  9.5	  5400	AOlf
   142	408-042 	00 14 46.3	+05 12 51	  2.25	  0.30	  8.1	 12591	AOlf
100101	478-045 	00 14 54.8	+26 19 53	  3.81	  0.40	 14.2	  7359	AOlf
100103	456-043 	00 15 02.8	+16 50 13	  3.52	  0.37	 12.5	 17007	AOlf
100104	433-038 	00 15 05.5	+15 03 56	  0.46	  0.06	  6.8	  5376	AOlf
100109	456-045 	00 15 24.3	+18 46 24	  3.57	  0.36	 18.1	  5565	AOlf
   144	456-044 	00 15 26.9	+16 14 05	  0.44	  0.07	  4.6	  5620	AOlf
100111	478-046 	00 15 40.9	+25 06 44	  0.41	  0.07	  5.8	 20378	AOlf
   148	456-048 	00 15 51.4	+16 05 22	 10.13	  1.17	 13.4	  4209	AOlf
   149	433-039 	00 15 57.5	+14 04 34	  4.47	  0.53	 15.3	  5475	AOlf
   150	N  60   	00 15 58.2	-00 18 14	  6.10	  0.70	  9.5	 11812	AOlf
100921	        	00 16 01.1	+16 01 33	  1.03	  0.06	  9.6	  8362	AOG
   152	499-093 	00 16 28.5	+29 55 25	  5.64	  0.68	 13.3	  4863	AOlf
   154	        	00 16 41.2	+02 27 40	  1.95	  0.34	  5.6	  4110	AOlf
   155	408-044 	00 16 44.2	+07 04 35	 10.79	  1.27	 16.9	  3968	AOlf
100131	499-095 	00 16 48.9	+29 37 09	  0.30	  0.06	  4.1	  6894	AOlf
   160	M+601021	00 17 03.7	+34 29 58	  4.51	  0.53	 10.5	  4673	AOlf
   158	534-009 	00 17 05.1	+42 09 40	 11.97	  1.30	  9.8	  5059	GB300
100137	478-049 	00 17 09.1	+23 45 04	  2.61	  0.28	  8.6	 18048	AOlf
   161	        	00 17 10.0	+06 43 08	  2.50	  0.28	 13.1	  5681	AOlf
100138	518-022 	00 17 12.5	+35 53 01	  1.01	  0.15	  5.1	 11814	AOlf
   159	        	00 17 16.0	+17 31 21	  3.27	  0.39	 16.1	  1007	AOlf
   163	408-045 	00 17 19.2	+06 43 20	  4.20	  0.46	 10.7	  5654	AOlf
   164	456-053 	00 17 23.8	+18 05 02	  1.86	  0.23	  9.3	  5447	AOlf
100141	478-050 	00 17 30.2	+26 15 33	  1.37	  0.21	  5.7	  7448	AOlf
400180	N  64   	00 17 30.3	-06 49 29	  5.95	  0.73	  8.7	  7310	GB300
   166	499-100 	00 17 35.8	+30 12 17	 10.64	  1.35	 16.3	  4832	AOlf
   165	478-051 	00 17 41.8	+24 40 03	  4.96	  0.61	  7.0	  6047	AOlf
   167	N  63   	00 17 45.5	+11 27 01	  9.36	  1.01	 22.4	  1156	AOlf
100146	478-052 	00 17 59.7	+24 33 45	  3.48	  0.39	  8.6	  5799	AOlf
 20215	294 G  2	00 18 05.9	-37 42 37	  3.25	  0.37	  6.9	  6985	Nanc
   168	456-168 	00 18 10.6	+18 17 32	  2.52	  0.30	  7.0	  5512	AOlf
   169	456-054 	00 18 18.6	+19 23 34	  6.81	  0.85	  9.2	  5424	AOlf
   174	N  70   	00 18 22.5	+30 04 46	  2.23	  0.28	  8.3	  7166	AOlf
100151	456-055 	00 18 25.2	+18 31 02	  7.37	  0.73	 23.9	  5225	AOlf
   175	549-033 	00 18 26.9	+49 59 54	  7.09	  0.72	 22.1	  5282	GB300
100153	408-046 	00 18 38.1	+07 31 03	  0.82	  0.12	  4.7	 11874	AOlf
   181	456-056 	00 19 00.2	+19 23 52	  2.34	  0.32	  6.5	  5356	AOlf
   179	478-053 	00 19 00.6	+23 28 34	  6.70	  0.71	 23.4	  4462	AOlf
   180	433-044 	00 19 08.3	+15 44 58	  2.18	  0.27	  8.3	 10986	AOlf
100160	456-057 	00 19 26.1	+16 52 11	  0.54	  0.07	  7.7	  5447	AOlf
100727	K0017+18	00 19 35.7	+18 39 31	  3.91	  0.50	 21.3	  5287	AOlf
100764	FGC 6b  	00 19 44.6	+15 51 30	  0.59	  0.09	  6.1	 12114	AOlf
100728	FGC 6a  	00 19 45.6	+15 51 28	  0.96	  0.14	  8.6	 10842	AOlf
100162	457-003 	00 19 46.6	+18 21 34	  1.15	  0.16	  6.6	  5255	AOlf
   187	        	00 19 47.3	+09 10 00	  3.79	  0.45	  7.0	  5455	AOlf
   186	I1540   	00 19 48.7	+23 46 20	  0.96	  0.12	  9.5	  5822	AOlf
100163	457-004 	00 19 57.2	+19 58 51	  4.96	  0.51	 22.7	  7721	AOlf
   189	        	00 19 57.5	+15 05 31	  3.03	  0.37	  6.5	  7619	AOlf
100164	457-005 	00 19 58.3	+19 24 08	  1.66	  0.21	  6.0	  5311	AOlf
   188	457-006 	00 19 59.7	+20 00 17	  5.10	  0.63	  9.9	  7818	AOlf
100166	409-001B	00 20 04.3	+06 28 38	  1.89	  0.24	  5.2	 10260	AOlf
   191	434-001 	00 20 05.1	+10 52 45	 20.05	  0.52	 26.2	  1143	GB140
   195	I  13   	00 20 20.1	+07 42 00	  4.80	  0.56	  9.1	  5708	AOlf
   194	N  78b  	00 20 27.4	+00 49 59	  2.21	  0.33	  4.3	  5498	AOlf
   196	549-036 	00 20 34.3	+47 26 04	  5.46	  0.62	  9.6	  5148	GB300
100170	I1542   	00 20 41.0	+22 35 32	  2.94	  0.37	  7.7	  7365	AOlf
   197	457-007 	00 20 48.6	+20 01 52	  2.72	  0.29	 15.9	  7684	AOlf
100173	409-003 	00 20 49.3	+06 48 38	  2.07	  0.24	  6.8	 16437	AOlf
   199	        	00 20 51.8	+12 51 21	  4.69	  0.47	 21.2	  1803	AOlf
   198	I1543   	00 20 55.5	+21 51 57	  3.62	  0.37	 14.9	  5596	AOlf
   200	457-200 	00 20 58.4	+17 41 16	  1.73	  0.21	  9.4	  5235	AOlf
   201	409-201 	00 20 59.9	+07 37 18	  3.33	  0.42	 10.9	 11838	AOlf
