#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T20:11:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T20:11:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJ%2F809%2F146%2Ftable1&-out=NSA,RAJ2000,DEJ2000,Dist,e_Dist,Inc,Reff,e_Reff,MHI,e_MHI,Mstar,e_Mstar,Ref,SimbadName&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18090146
#Name: J/ApJ/809/146
#Title: SDSS-DR8 isolated low-mass galaxies (Bradford+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/809/146	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/809/146	    IVOID of underlying data collection
#INFO	creator=Bradford J.D.	    First author or institution
#INFO	cites=bibcode:2015ApJ...809..146B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/809/146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18090146	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_809_146_table1:
#Name: J/ApJ/809/146/table1
#Title: Isolated galaxy data sample
#Column	NSA	(I6)	[162/171138] NASA Sloan Atlas v0.1.2 identifier	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F6.2)	[13/246] Heliocentric luminosity distance	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	[1/4] Uncertainty in Dist	[ucd=stat.error]
#Column	Inc	(I2)	[8/90] Inclination Angle	[ucd=src.orbital.inclination;pos.posAng]
#Column	Reff	(F5.2)	[0.2/29.1] Effective radius at assumed distance	[ucd=pos.distance;phys.size.radius]
#Column	e_Reff	(F5.2)	[0.01/0.6] Uncertainty in reff	[ucd=stat.error]
#Column	MHI	(F6.3)	[0.01/59.1] HI Mass	[ucd=phys.mass]
#Column	e_MHI	(F6.3)	[0.004/28] Uncertainty in MHI	[ucd=stat.error]
#Column	Mstar	(F7.3)	[0.007/262.3] Stellar mass	[ucd=phys.mass]
#Column	e_Mstar	(F7.3)	[0.003/121] Uncertainty in Mstar	[ucd=stat.error]
#Column	Ref	(I1)	Source of HI observations (1)	[ucd=meta.bib]
#Column	SimbadName	(A24)	Simbad column added by the CDS	[ucd=meta.id]
NSA	RAJ2000	DEJ2000	Dist	e_Dist	Inc	Reff	e_Reff	MHI	e_MHI	Mstar	e_Mstar	Ref	SimbadName
  8349	00 53 46.63	+14 33 25.92	135.92	 2.14	71	 6.68	 0.11	 7.319	 1.880	  7.339	  3.380	2	SDSS J005346.61+143326.0
  8361	00 50 12.67	+14 41 05.68	182.71	 2.14	45	 3.47	 0.04	10.412	 1.639	  1.172	  0.540	2	SDSS J005012.65+144105.5
  8377	00 54 50.90	+15 16 41.31	170.77	 2.14	29	 4.45	 0.06	 7.608	 1.838	 26.104	 12.024	2	SDSS J005450.89+151641.2
  8383	00 55 32.62	+15 46 33.30	168.39	 2.14	37	 2.57	 0.03	12.776	 1.604	 17.064	  7.860	2	SDSS J005532.61+154632.9
  8407	01 00 40.56	+14 10 33.24	182.96	 2.14	75	 7.15	 0.08	 9.521	 3.430	 19.606	  9.031	2	SDSS J010040.55+141033.3
  8409	00 59 48.73	+14 43 24.54	183.35	 2.14	90	14.78	 0.17	25.414	 1.323	 31.963	 14.722	2	SDSS J005948.72+144324.6
  8413	00 58 55.46	+13 43 15.10	 69.71	 2.22	41	 0.46	 0.01	 0.650	 0.113	  0.227	  0.104	3	SDSS J005855.46+134315.0
  8432	01 02 00.41	+15 34 57.96	 60.61	 2.11	60	 1.76	 0.06	 1.067	 0.201	  0.641	  0.295	2	SDSS J010200.41+153457.8
  8460	01 07 14.25	+13 57 18.40	171.36	 2.14	60	12.75	 0.16	26.410	 4.356	113.496	 52.276	2	SDSS J010714.25+135718.4
  8470	01 03 58.75	+15 14 50.15	187.88	 2.14	50	 8.33	 0.10	15.838	 7.038	 54.065	 24.902	2	SDSS J010358.75+151450.1
  8485	01 08 57.62	+15 10 00.40	137.18	 2.14	27	14.17	 0.22	 7.792	 0.967	 11.279	  5.195	2	SDSS J010857.62+151000.4
  8554	01 16 05.36	+13 54 26.85	210.86	 2.14	32	 7.19	 0.07	13.522	 4.067	 13.741	  6.329	2	SDSS J011605.38+135426.8
  8559	01 15 58.88	+14 13 14.66	209.23	 2.14	72	 4.85	 0.05	23.619	 8.953	 18.833	  8.674	2	SDSS J011558.87+141314.6
  8562	01 15 46.89	+14 32 06.47	202.93	 2.14	35	 5.89	 0.06	12.586	 8.757	 58.508	 26.949	2	SDSS J011546.87+143206.4
  8666	01 25 23.69	+14 31 11.95	165.74	 2.14	74	15.36	 0.20	25.885	 3.094	160.733	 74.034	2	SDSS J012523.68+143111.9
  8668	01 25 04.60	+14 23 58.97	 73.91	 2.54	76	 3.20	 0.11	 4.443	 0.667	  1.067	  0.491	2	SDSS J012504.58+142358.9
  8703	01 18 01.18	+14 06 06.86	192.26	 2.14	66	28.78	 0.32	12.617	 2.604	 11.152	  5.137	2	SDSS J011801.17+140607.0
  8705	01 21 09.33	+15 41 41.17	 75.01	 2.36	51	 3.83	 0.12	 2.748	 0.412	  5.480	  2.524	2	SDSS J012109.32+154140.9
  8741	01 25 22.15	+14 50 19.40	 98.28	 2.14	73	 6.52	 0.14	17.994	 1.757	 63.215	 29.117	2	SDSS J012522.13+145019.4
  8755	01 36 48.49	+13 53 48.90	152.44	 2.14	63	 1.33	 0.02	 1.445	 0.282	  0.410	  0.189	1	SDSS J013648.47+135348.7
  8766	01 32 39.07	+14 04 49.96	102.71	 2.14	72	 6.33	 0.13	 3.829	 0.596	  2.438	  1.123	2	SDSS J013239.06+140450.0
  8773	01 31 26.60	+14 06 15.24	 57.77	 2.00	57	 0.73	 0.03	 0.267	 0.060	  0.301	  0.138	1	SDSS J013126.59+140615.1
  8774	01 31 26.64	+14 16 39.05	 64.05	 2.82	17	 6.06	 0.27	 5.369	 0.990	 21.890	 10.083	2	SDSS J013126.63+141639.0
  8816	01 36 24.39	+14 31 46.23	 40.59	 2.50	85	 1.63	 0.10	 0.360	 0.200	  0.526	  0.242	2	SDSS J013624.40+143146.2
  8933	02 01 12.12	+14 06 12.13	200.52	 2.14	84	 9.81	 0.10	19.557	 9.563	 20.926	  9.638	2	SDSS J020112.10+140612.1
  9014	02 11 29.39	+14 28 03.49	168.06	 2.14	55	 7.93	 0.10	 9.089	 1.233	  2.718	  1.252	2	SDSS J021129.41+142803.6
  9090	01 46 42.77	+14 03 54.08	153.80	 2.14	68	 5.62	 0.08	10.318	 2.008	  2.680	  1.234	2	SDSS J014642.74+140354.3
  9096	01 49 30.38	+14 55 17.41	171.72	 2.14	53	 5.15	 0.06	 7.402	 2.935	  1.893	  0.872	2	SDSS J014930.39+145517.3
  9189	01 57 15.18	+14 50 07.25	149.04	 2.14	74	 4.92	 0.07	 7.519	 3.978	 23.937	 11.025	2	SDSS J015715.18+145007.3
  9201	01 59 26.76	+14 29 29.74	212.74	 2.14	71	 5.04	 0.05	13.157	 4.621	 20.928	  9.639	2	SDSS J015926.75+142929.6
 11919	08 48 18.70	+01 15 47.55	 27.67	 2.04	78	 1.97	 0.14	 0.132	 0.042	  0.156	  0.072	3	SDSS J084818.68+011550.3
 11964	08 57 59.90	-00 24 35.73	 51.38	 1.93	90	 1.89	 0.07	 0.485	 0.083	  0.166	  0.076	1	SDSS J085759.85-002436.3
 12794	10 50 34.87	+66 02 43.20	 20.31	 2.54	74	 1.13	 0.14	 0.064	 0.095	  0.082	  0.038	1	SDSS J105035.24+660242.5
 13105	13 28 18.81	+67 37 55.03	 18.73	 2.43	63	 1.64	 0.21	 0.250	 0.153	  0.083	  0.038	1	SDSS J132818.98+673756.2
 13262	09 54 44.99	+01 36 34.41	 30.48	 1.89	77	 1.11	 0.07	 0.106	 0.203	  0.045	  0.021	1	SDSS J095444.98+013634.1
 13797	11 39 01.10	+01 20 11.12	 24.92	 1.86	60	 0.67	 0.05	 0.187	 0.058	  0.050	  0.023	1	SDSS J113901.12+012011.6
 16915	09 17 14.93	+04 08 01.30	 55.39	 2.18	68	 1.04	 0.04	 0.183	 0.053	  0.414	  0.191	1	SDSS J091714.93+040801.2
 16938	09 21 43.93	+04 22 26.60	 85.81	 1.50	25	 1.31	 0.02	 1.345	 0.281	  0.268	  0.124	2	SDSS J092143.92+042226.5
 16944	09 22 21.50	+04 03 40.21	 79.56	 1.29	40	 3.57	 0.06	 1.874	 0.251	  5.776	  2.661	2	SDSS J092221.49+040340.3
 16953	09 28 24.78	+03 56 17.13	136.95	 2.14	31	 3.56	 0.06	 3.471	 1.063	  3.866	  1.781	2	SDSS J092824.77+035617.1
 16993	09 35 52.52	+04 01 00.54	 81.05	 1.29	47	 3.61	 0.06	 3.610	 0.415	  4.761	  2.193	2	SDSS J093552.51+040100.4
 16999	09 38 18.71	+04 05 39.98	 97.80	 2.14	79	 5.21	 0.11	13.326	 1.367	 18.320	  8.438	2	SDSS J093818.71+040539.9
 17049	09 47 09.79	+04 17 01.86	136.82	 2.14	51	 4.05	 0.06	 5.596	 1.054	  4.908	  2.261	2	SDSS J094709.78+041701.7
 17054	09 55 36.46	+03 25 27.80	 55.83	 2.47	55	 0.90	 0.04	 0.494	 0.099	  0.084	  0.039	1	SDSS J095536.46+032527.2
 17078	09 48 16.23	+03 54 21.09	102.69	 2.14	75	 3.22	 0.07	 2.286	 1.205	 13.848	  6.378	2	SDSS J094816.22+035421.0
 17092	09 52 30.67	+04 50 46.05	191.06	 2.14	29	 9.62	 0.11	18.844	 1.841	 46.430	 21.386	2	SDSS J095230.66+045046.1
 17095	09 55 37.76	+04 28 35.73	 30.43	 1.86	69	 1.16	 0.07	 0.171	 0.118	  0.111	  0.051	2	SDSS J095537.75+042836.2
 17137	09 54 35.70	+04 23 05.90	 28.26	 1.89	58	 0.96	 0.06	 0.159	 0.048	  0.023	  0.011	3	SDSS J095435.70+042307.9
 17156	10 01 54.91	+04 27 40.65	209.49	 2.14	30	 4.53	 0.05	 8.956	 4.826	  1.706	  0.786	2	SDSS J100154.91+042740.8
 17212	10 08 16.04	+04 54 55.37	183.02	 2.14	81	10.45	 0.12	21.675	 5.785	 81.469	 37.524	2	SDSS J100816.02+045455.3
 17215	10 10 37.20	+05 09 02.16	 63.02	 2.64	49	 2.86	 0.12	 1.407	 0.321	  2.124	  0.978	2	SDSS J101037.19+050902.4
 17262	10 11 43.13	+05 03 13.39	 63.63	 2.68	52	 1.35	 0.06	 0.989	 0.263	  0.226	  0.104	2	SDSS J101143.11+050313.6
 17276	10 15 08.35	+05 14 35.93	 66.54	 2.61	44	 3.72	 0.15	 3.234	 0.549	  2.652	  1.221	2	SDSS J101508.36+051436.1
 17284	10 15 59.94	+04 57 17.12	138.05	 2.14	54	 2.43	 0.04	 7.780	 1.544	 23.662	 10.899	2	SDSS J101559.94+045717.1
 17290	10 16 13.98	+04 29 58.75	217.32	 2.14	13	 8.86	 0.09	 9.804	 3.240	 21.652	  9.973	2	SDSS J101613.97+042958.7
 17321	10 23 06.50	+04 08 04.40	212.55	 2.14	27	 7.53	 0.08	13.537	 3.215	 27.872	 12.838	2	SDSS J102306.49+040804.3
 17326	10 22 24.41	+03 59 50.38	 97.11	 2.14	60	 7.56	 0.17	12.665	 1.289	 61.259	 28.216	2	SDSS J102224.41+035950.4
 17343	10 22 31.19	+04 34 56.72	122.42	 2.14	55	 7.57	 0.13	 9.628	 2.799	 83.528	 38.473	2	SDSS J102231.19+043456.6
 17345	10 24 28.74	+04 40 47.18	197.69	 2.14	61	 9.79	 0.11	 9.564	 3.075	 48.377	 22.282	2	SDSS J102428.73+044047.1
 17351	10 26 08.78	+04 22 22.10	 97.01	 2.14	76	 5.07	 0.11	12.331	 1.247	 14.039	  6.466	2	SDSS J102608.77+042222.0
 17357	10 27 33.57	+04 28 00.30	 97.91	 2.14	37	 4.51	 0.10	 9.922	 1.042	 13.371	  6.159	2	SDSS J102733.56+042800.3
 17386	10 28 15.81	+04 24 23.18	 97.34	 2.14	62	 5.11	 0.11	 3.819	 0.774	  1.920	  0.884	2	SDSS J102815.79+042422.8
 17387	10 29 10.23	+05 08 22.84	173.84	 2.14	47	10.45	 0.13	16.300	 1.833	 45.959	 21.168	2	SDSS J102910.22+050822.8
 17393	10 30 04.79	+05 02 51.16	154.10	 2.14	68	 9.24	 0.13	13.866	 4.657	 31.087	 14.319	2	SDSS J103004.78+050251.1
 17395	10 30 44.39	+04 42 33.50	170.23	 2.14	47	 2.99	 0.04	22.613	 3.388	 16.742	  7.711	2	SDSS J103044.38+044233.4
 17402	10 31 28.62	+05 01 26.35	166.81	 2.14	90	 9.98	 0.13	 5.795	 6.240	 18.205	  8.385	2	SDSS J103128.62+050126.1
 17411	10 41 50.59	+04 19 50.89	114.61	 2.14	66	 6.94	 0.13	11.025	 1.234	 47.047	 21.670	2	SDSS J104150.58+041950.8
 17444	10 31 37.45	+04 01 07.09	128.11	 2.14	53	 4.07	 0.07	 4.552	 1.384	 22.977	 10.583	2	SDSS J103137.45+040107.0
 17465	10 34 55.35	+04 36 45.79	200.04	 2.14	20	18.56	 0.20	 8.383	 1.788	 12.264	  5.649	2	SDSS J103455.36+043645.7
 17474	10 36 30.62	+05 01 02.52	 60.03	 2.72	49	 0.76	 0.03	 0.532	 0.138	  0.105	  0.048	2	SDSS J103630.62+050102.3
 17478	10 38 07.11	+04 53 39.64	 93.29	 2.14	84	 7.85	 0.18	11.985	 1.259	 30.727	 14.153	2	SDSS J103807.09+045339.6
 17492	10 49 31.55	+04 00 26.71	 83.79	 1.54	63	 4.32	 0.08	 4.457	 0.464	  2.027	  0.934	2	SDSS J104931.51+040026.3
 17509	10 43 39.04	+04 58 13.74	 83.57	 1.46	62	 3.95	 0.07	 7.331	 0.625	 11.597	  5.342	2	SDSS J104339.02+045813.7
 17510	10 44 02.21	+04 39 46.85	113.65	 2.14	41	 4.46	 0.08	 5.485	 3.145	 31.654	 14.580	2	SDSS J104402.21+043946.8
 17524	10 53 24.65	+03 53 34.98	237.90	 2.14	48	12.80	 0.12	13.430	 2.313	112.565	 51.847	2	SDSS J105324.64+035335.0
 17561	10 48 11.91	+04 59 54.94	148.19	 2.14	14	 8.36	 0.12	12.730	 1.384	172.875	 79.626	2	SDSS J104811.90+045954.8
 17571	10 53 54.50	+05 42 53.35	188.39	 2.14	36	 5.77	 0.07	11.431	 1.850	 20.817	  9.588	2	SDSS J105354.48+054253.3
 17637	10 58 16.26	+04 35 00.91	 93.37	 2.14	56	 6.61	 0.15	 5.997	 0.749	 40.115	 18.477	2	SDSS J105816.25+043500.9
 17652	10 55 14.65	+04 49 23.66	109.67	 2.14	59	 1.69	 0.03	 5.971	 1.268	  8.358	  3.850	2	SDSS J105514.65+044923.6
 17681	10 58 17.24	+04 47 33.99	 67.43	 2.11	90	 4.58	 0.14	 1.564	 0.346	  3.578	  1.648	2	SDSS J105816.96+044731.9
 17699	11 03 18.92	+04 58 59.07	166.70	 2.14	90	 6.20	 0.08	10.000	 6.659	  7.514	  3.461	2	SDSS J110318.90+045858.9
 17750	11 09 08.20	+04 03 36.10	 66.83	 2.18	63	 0.93	 0.03	 0.585	 0.288	  0.164	  0.075	2	SDSS J110908.19+040336.0
 17789	11 04 15.82	+05 44 18.19	189.22	 2.14	83	 7.96	 0.09	14.002	 7.663	 16.906	  7.787	2	SDSS J110415.82+054418.1
 17791	11 03 17.84	+05 04 20.12	167.11	 2.14	62	 4.81	 0.06	 7.139	 2.540	 15.178	  6.991	2	SDSS J110317.84+050420.0
 17878	14 20 19.89	+03 56 01.42	 24.44	 1.71	54	 4.77	 0.33	 1.786	 0.527	 80.677	 37.160	2	SDSS J142019.88+035601.5
 17911	14 09 53.80	+04 34 35.48	162.65	 2.14	29	 7.00	 0.09	 9.080	 2.123	 32.047	 14.761	2	SDSS J140953.80+043435.4
 17955	14 20 56.55	+03 52 17.50	154.20	 2.14	16	 3.64	 0.05	 6.079	 1.276	 48.527	 22.352	2	SDSS J142056.54+035217.4
 18376	14 48 54.95	+04 19 57.82	119.09	 2.14	70	 3.70	 0.07	 8.184	 2.485	 13.830	  6.370	2	SDSS J144854.94+041957.7
 18385	14 53 09.11	+04 51 03.87	 93.28	 2.14	90	 7.42	 0.17	 4.184	 0.704	  0.937	  0.432	2	SDSS J145309.10+045103.9
 18826	15 24 26.72	+04 10 17.52	136.72	 2.14	20	 5.91	 0.09	 3.415	 0.657	  5.963	  2.746	2	SDSS J152426.71+041017.5
 18827	15 23 47.60	+04 04 03.91	204.10	 2.14	68	 8.02	 0.08	13.139	 4.357	  7.703	  3.548	2	SDSS J152347.60+040403.8
 22203	00 47 51.84	-11 10 29.52	 56.72	 1.82	75	 1.10	 0.04	 0.596	 0.697	  0.183	  0.084	1	SDSS J004751.85-111029.6
 22608	01 17 30.52	-09 17 48.84	 25.22	 1.89	71	 1.87	 0.14	 0.540	 0.215	  0.127	  0.059	1	SDSS J011730.51-091748.3
 22725	01 32 22.30	-08 38 02.41	 55.77	 1.57	62	 1.81	 0.05	 0.383	 0.671	  0.142	  0.065	1	SDSS J013222.30-083802.4
 23184	02 04 25.68	-10 09 37.97	 24.95	 2.04	61	 0.77	 0.06	 1.119	 0.398	  0.017	  0.008	1	SDSS J020425.59-100935.0
 24259	22 21 00.02	-09 38 30.66	 39.94	 1.89	84	 1.85	 0.09	 0.517	 0.358	  0.060	  0.028	1	SDSS J222100.04-093830.2
 24419	23 05 56.29	-10 02 56.57	 30.51	 2.18	53	 0.85	 0.06	 0.202	 0.209	  0.048	  0.022	1	SDSS J230556.26-100257.0
 24520	21 02 32.85	+09 33 49.29	 60.37	 2.36	55	 0.74	 0.03	 0.149	 0.035	  0.200	  0.092	1	SDSS J210232.84+093349.4
 24591	21 22 02.27	+09 53 10.78	 41.63	 1.57	37	 0.53	 0.02	 0.074	 0.017	  0.095	  0.044	3	SDSS J212202.26+095310.6
 24700	21 35 03.51	+10 57 37.38	 46.85	 1.79	75	 1.78	 0.07	 0.423	 0.071	  0.396	  0.182	1	SDSS J213503.55+105736.2
 24720	21 31 34.31	+11 39 14.34	 92.38	 2.77	86	 2.78	 0.08	 2.374	 0.318	  0.565	  0.260	1	SDSS J213134.29+113914.3
 25013	22 20 47.32	+14 14 04.64	 49.21	 2.32	43	 4.26	 0.20	 4.203	 0.823	  4.120	  1.898	2	SDSS J222047.32+141404.6
 25029	22 29 55.11	+14 25 15.72	108.84	 2.14	36	 3.69	 0.07	 1.977	 0.576	  1.349	  0.621	2	SDSS J222955.10+142515.5
 25030	22 29 38.59	+14 06 24.20	162.45	 2.14	64	 4.57	 0.06	 7.819	 2.264	  2.887	  1.330	2	SDSS J222938.58+140624.1
 25034	22 34 40.81	+14 39 37.86	106.58	 2.14	35	 3.51	 0.07	10.577	 1.189	  4.977	  2.292	2	SDSS J223440.79+143937.8
 25062	22 40 17.46	+14 29 56.90	 96.31	 2.14	78	 2.89	 0.06	 1.704	 0.712	  2.379	  1.096	2	SDSS J224017.44+142956.8
 25092	22 51 15.93	+14 49 14.12	 49.19	 2.29	71	 0.82	 0.04	 0.197	 0.050	  0.050	  0.023	1	SDSS J225115.95+144914.7
 25149	23 03 26.19	+13 06 19.01	 68.96	 2.00	65	 1.26	 0.04	 0.268	 0.045	  0.485	  0.223	1	SDSS J230326.18+130619.6
 25190	22 58 34.29	+15 10 22.01	138.92	 2.14	51	 3.77	 0.06	 7.563	 4.809	 50.894	 23.442	2	SDSS J225834.29+151022.0
