galaxy	radius_index	pressure_stratum	pressure_strength	log10_radius	log10_vrot	log10_v_classical	local_pressure_fraction	pressure_curvature	nonlocal_pressure_fraction	local_nonlocal_slope_difference	memory_pressure_fraction	local_memory_slope_difference	vrot_km_s	sigma_km_s	surface_density_msun_pc2	internal_vc_km_s	internal_vc_error_km_s	target_velocity_km_s	target_error_km_s	log10_target_velocity
ddo126	10	high	3.624328747625e-01	4.548448600085e-01	1.547897717563e+00	1.573750269000e+00	1.264323199076e-01	-1.381031746753e+00	9.203971913122e-02	-7.502687585176e-01	4.388278852920e-02	-1.800804039979e+00	3.531000000000e+01	7.560000000000e+00	2.250000000000e+00	3.777000000000e+01	1.850000000000e+00	3.830001564414e+01	3.191442418931e+00	1.583198951362e+00
ddo126	11	high	3.624328747625e-01	4.899584794248e-01	1.560743301055e+00	1.589210047085e+00	1.400751828627e-01	-1.645133690061e+01	1.024374635802e-01	-7.682775453972e-01	5.083572614056e-02	-1.821594721200e+00	3.637000000000e+01	8.050000000000e+00	1.740000000000e+00	3.879000000000e+01	2.470000000000e+00	3.830460616545e+01	2.789993341577e+00	1.583251001435e+00
ddo126	12	high	3.624328747625e-01	5.224442335063e-01	1.566083784168e+00	1.613803266249e+00	2.457731437484e-01	-4.457616756841e+01	1.034241748745e-01	-2.978037301486e+00	5.506991585799e-02	-3.989641306602e+00	3.682000000000e+01	8.050000000000e+00	1.290000000000e+00	3.922000000000e+01	3.060000000000e+00	3.767001314907e+01	2.789985269084e+00	1.575995771798e+00
ddo133	0	high	1.175185424079e-01	-7.212463990472e-01	9.969492484954e-01	8.602523883389e-01	-4.671483932393e-01	-1.263795282191e+00	-9.486205435773e-02	3.528379201920e-01	-4.671483932393e-01	0.000000000000e+00	9.930000000000e+00	1.020000000000e+01	4.960000000000e+00	1.019000000000e+01	2.000000000000e+00	5.577353836938e+00	1.329993553328e+00	7.464281977559e-01
ddo133	1	high	1.175185424079e-01	-4.317982759330e-01	1.224533062606e+00	1.238793944277e+00	6.787830465638e-02	-6.812458986526e-01	6.730642044501e-02	-1.730693505917e-03	-3.921027994362e-02	-3.240822429447e-01	1.677000000000e+01	9.640000000000e+00	6.010000000000e+00	1.714000000000e+01	3.190000000000e+00	1.290999525357e+01	1.689989583677e+00	1.110926082596e+00
ddo133	2	high	1.175185424079e-01	-2.518119729938e-01	1.307496037913e+00	1.324143953959e+00	7.968192798186e-02	2.288512021456e-01	7.147947141904e-02	-4.248213221877e-02	8.752137775909e-03	-3.673593029969e-01	2.030000000000e+01	8.920000000000e+00	5.930000000000e+00	2.084000000000e+01	2.690000000000e+00	2.117833782650e+01	1.579984225965e+00	1.325891871678e+00
ddo133	3	high	1.175185424079e-01	-1.249387366083e-01	1.387211800314e+00	1.392699555163e+00	2.559409034100e-02	1.387612870378e-01	6.265297905109e-02	2.833862813158e-01	1.313053193726e-02	-9.530780848913e-02	2.439000000000e+01	8.820000000000e+00	5.370000000000e+00	2.507000000000e+01	2.840000000000e+00	2.565633361755e+01	1.762642603185e+00	1.409194594228e+00
ddo133	4	high	1.175185424079e-01	-3.151705144606e-02	1.449478399187e+00	1.455320777968e+00	2.727036008486e-02	-1.263418889528e+00	7.054273351526e-02	4.149920225038e-01	1.228065788566e-02	-1.437546947218e-01	2.815000000000e+01	9.090000000000e+00	5.020000000000e+00	2.897000000000e+01	2.660000000000e+00	2.648666514938e+01	1.870540920887e+00	1.423027281121e+00
ddo133	5	high	1.175185424079e-01	4.921802267018e-02	1.501606922419e+00	1.511618052541e+00	4.718222115961e-02	-2.708717393264e+00	6.511395731779e-02	2.471177582390e-01	1.111694988808e-02	-4.970165135314e-01	3.174000000000e+01	8.550000000000e+00	5.210000000000e+00	3.266000000000e+01	2.400000000000e+00	2.848887207058e+01	1.853339094580e+00	1.454675255023e+00
ddo133	6	high	1.175185424079e-01	1.172712956558e-01	1.530071568837e+00	1.543861384867e+00	6.556422718081e-02	-5.694084289746e+00	6.183471322765e-02	-6.577309896230e-02	1.213869579291e-02	-9.422039459340e-01	3.389000000000e+01	8.070000000000e+00	5.150000000000e+00	3.494000000000e+01	2.520000000000e+00	3.190156588120e+01	1.693675631167e+00	1.503812000828e+00
ddo133	7	high	1.175185424079e-01	1.731862684123e-01	1.562411832950e+00	1.582739720818e+00	9.813510630723e-02	2.558477880554e+00	5.707648446430e-02	-8.995780054249e-01	1.387709068981e-02	-1.846059468828e+00	3.651000000000e+01	7.800000000000e+00	4.580000000000e+00	3.770000000000e+01	2.940000000000e+00	3.521331086703e+01	1.975562048124e+00	1.546706860733e+00
ddo133	8	high	1.175185424079e-01	2.253092817259e-01	1.586812269443e+00	1.591605788000e+00	2.232042367264e-02	9.432613883447e+00	4.527976767847e-02	7.130459950111e-01	1.177142145189e-02	-3.276192814117e-01	3.862000000000e+01	6.930000000000e+00	4.140000000000e+00	3.998000000000e+01	2.810000000000e+00	3.908001115983e+01	1.856656889636e+00	1.591954679066e+00
ddo133	9	high	1.175185424079e-01	2.718416065365e-01	1.607455023215e+00	1.606974190170e+00	-2.211868206582e-03	-3.839599458716e+00	5.875350952126e-02	1.614521566596e+00	1.371927610165e-02	4.218980842046e-01	4.050000000000e+01	7.870000000000e+00	3.650000000000e+00	4.204000000000e+01	2.900000000000e+00	4.150948464295e+01	1.442098508461e+00	1.618147341470e+00
ddo133	10	high	1.175185424079e-01	3.117538610558e-01	1.635383204047e+00	1.643827763431e+00	3.965469409136e-02	-7.478448351555e+00	5.844199770677e-02	5.448564863966e-01	1.277079546381e-02	-7.796683785342e-01	4.319000000000e+01	8.020000000000e+00	3.230000000000e+00	4.484000000000e+01	3.170000000000e+00	4.172999230995e+01	1.466678518455e+00	1.620448304679e+00
ddo133	11	high	1.175185424079e-01	3.502480183342e-01	1.645324001562e+00	1.654620257205e+00	4.374044153332e-02	-4.603483160962e+01	6.056154723905e-02	5.106858286888e-01	1.322721039759e-02	-9.263763631913e-01	4.419000000000e+01	8.020000000000e+00	2.860000000000e+00	4.602000000000e+01	3.540000000000e+00	4.247776352645e+01	1.590010521106e+00	1.628161642874e+00
ddo133	12	high	1.175185424079e-01	3.856062735983e-01	1.647285145025e+00	1.700192487540e+00	2.758942641049e-01	-1.433911271203e+01	6.522060606493e-02	-6.390141023167e+00	1.792242567320e-02	-7.824786653068e+00	4.439000000000e+01	8.060000000000e+00	2.550000000000e+00	4.640000000000e+01	3.430000000000e+00	4.361999695555e+01	1.706318117745e+00	1.639685630931e+00
ddo133	13	high	1.175185424079e-01	4.166405073383e-01	1.644733927447e+00	1.660899051626e+00	7.728409593874e-02	1.613787345773e+02	3.342185231991e-02	-2.763179603313e+00	1.125940813340e-02	-4.159341967188e+00	4.413000000000e+01	5.560000000000e+00	1.890000000000e+00	4.631000000000e+01	3.590000000000e+00	4.529111349987e+01	1.599991834663e+00	1.656012998115e+00
ddo133	14	high	1.175185424079e-01	4.471580313422e-01	1.669781615209e+00	1.550287570830e+00	-4.232177176196e-01	3.824416494571e+02	6.637867135218e-02	1.647143181523e+01	1.689562997281e-02	1.480667986761e+01	4.675000000000e+01	8.060000000000e+00	1.250000000000e+00	4.892000000000e+01	5.120000000000e+00	4.656335011985e+01	1.496105680037e+00	1.668044219198e+00
ddo168	0	high	3.335234284684e-01	-5.086383061657e-01	9.628426812012e-01	1.183779204063e+00	1.766132922875e+00	1.476401439617e+00	1.442705040201e+00	-1.491109155619e-01	1.766132922875e+00	0.000000000000e+00	9.180000000000e+00	1.352000000000e+01	1.643000000000e+01	1.147000000000e+01	4.400000000000e+00	6.499155287808e+00	2.732520398515e+00	8.128569139223e-01
ddo168	1	high	3.335234284684e-01	-2.006594505464e-01	1.176669932668e+00	1.243808268857e+00	3.623122830497e-01	-6.792411244545e-01	5.331302194057e-01	2.506282178011e-01	4.586343455707e-01	1.413260655150e-01	1.502000000000e+01	1.240000000000e+01	1.212000000000e+01	1.806000000000e+01	3.210000000000e+00	2.089308169679e+01	2.970779178968e+00	1.320002502460e+00
ddo168	2	high	3.335234284684e-01	-2.687214640030e-02	1.221674997071e+00	1.328228072849e+00	6.334511521190e-01	-3.198960817524e+00	8.371860371952e-01	3.366707525307e-01	4.325941918491e-01	-3.319149979631e-01	1.666000000000e+01	1.296000000000e+01	9.260000000000e+00	2.055000000000e+01	3.240000000000e+00	3.050250654855e+01	2.512515731541e+00	1.484335529035e+00
ddo168	3	high	3.335234284684e-01	9.691001300806e-02	1.389520465846e+00	1.488191150418e+00	5.752205509479e-01	-2.508235154613e-01	4.328344471264e-01	-5.808595908461e-01	2.244306115404e-01	-1.431036422856e+00	2.452000000000e+01	1.214000000000e+01	6.940000000000e+00	2.786000000000e+01	2.790000000000e+00	3.881663791754e+01	4.076673234081e+00	1.589017916496e+00
ddo168	4	high	3.335234284684e-01	1.931245983545e-01	1.508125536083e+00	1.540336951854e+00	1.599060976706e-01	3.369759028778e-01	1.813868950214e-01	2.229982578450e-01	1.025589139085e-01	-5.953374012349e-01	3.222000000000e+01	1.000000000000e+01	5.230000000000e+00	3.512000000000e+01	3.180000000000e+00	4.773829659358e+01	3.978337743672e+00	1.678866918374e+00
ddo168	5	high	3.335234284684e-01	2.741578492637e-01	1.587710965019e+00	1.618131421332e+00	1.503789139062e-01	-1.026033124206e+00	1.425859504139e-01	-1.052610818701e-01	8.480904306441e-02	-8.856650682042e-01	3.870000000000e+01	1.053000000000e+01	4.290000000000e+00	4.130000000000e+01	3.030000000000e+00	5.471331158751e+01	4.233337641881e+00	1.738093001757e+00
ddo168	6	high	3.335234284684e-01	3.404441148401e-01	1.649237472350e+00	1.666387841084e+00	8.218307511720e-02	3.701610664728e+00	7.841544704723e-02	-9.478496337803e-02	4.833874892399e-02	-8.514463633886e-01	4.459000000000e+01	8.890000000000e+00	3.650000000000e+00	4.696000000000e+01	3.590000000000e+00	6.045747649868e+01	4.263343976888e+00	1.781450015724e+00
ddo168	7	high	3.335234284684e-01	3.979400086720e-01	1.683947130752e+00	1.691802851449e+00	3.683927900910e-02	1.304365282423e-01	6.650703641314e-02	9.060582420483e-01	4.060903474296e-02	1.151289666642e-01	4.830000000000e+01	8.740000000000e+00	3.300000000000e+00	5.053000000000e+01	3.810000000000e+00	6.174002185249e+01	4.403353373937e+00	1.790566778862e+00
ddo168	8	high	3.335234284684e-01	4.487063199051e-01	1.705093610548e+00	1.716801031439e+00	5.539453689739e-02	-9.141501791365e+00	6.331977866565e-02	2.619766416844e-01	3.790000046364e-02	-5.782990647802e-01	5.071000000000e+01	8.820000000000e+00	2.810000000000e+00	5.286000000000e+01	3.640000000000e+00	6.070750702478e+01	4.062488791973e+00	1.783242398783e+00
ddo168	9	high	3.335234284684e-01	4.955443375464e-01	1.713154401837e+00	1.730554464970e+00	8.342817714341e-02	-2.192797079845e+00	5.750540536928e-02	-9.711925599680e-01	3.496571375885e-02	-1.815638554662e+00	5.166000000000e+01	8.440000000000e+00	2.370000000000e+00	5.380000000000e+01	3.950000000000e+00	6.043502651756e+01	5.370005133310e+00	1.781288717003e+00
ddo168	10	high	3.335234284684e-01	5.365584425715e-01	1.719414159703e+00	1.731009615435e+00	5.485049610534e-02	7.120956857736e+00	4.804192863920e-02	-3.129861189226e-01	2.978885862181e-02	-1.152069754590e+00	5.241000000000e+01	7.730000000000e+00	1.980000000000e+00	5.453000000000e+01	4.380000000000e+00	5.767003011896e+01	4.906658863237e+00	1.760950178227e+00
ddo168	11	high	3.335234284684e-01	5.740312677277e-01	1.726808682525e+00	1.735780811727e+00	4.218365678017e-02	5.054991683291e-01	5.145145104306e-02	4.064451902160e-01	3.186891959585e-02	-4.523595580551e-01	5.331000000000e+01	8.050000000000e+00	1.620000000000e+00	5.539000000000e+01	5.410000000000e+00	5.086002532553e+01	4.330021400736e+00	1.706376572095e+00
ddo47	0	low	5.618391283897e-02	-4.202164033832e-01	1.260786668655e+00	1.340353893456e+00	4.425618730892e-01	2.377558355889e+00	2.296775703437e-01	-7.218493796134e-01	4.425618730892e-01	0.000000000000e+00	1.823000000000e+01	9.900000000000e+00	4.290000000000e+00	1.824000000000e+01	3.220000000000e+00	1.847592005508e+01	4.105017473249e+00	1.266606074395e+00
ddo47	1	low	5.618391283897e-02	-1.191864077192e-01	1.429913697764e+00	1.432987350262e+00	1.425534485099e-02	1.472691466692e+00	1.477964236449e-02	6.114384682543e-03	7.146632901098e-02	6.671974522434e-01	2.691000000000e+01	7.880000000000e+00	3.800000000000e+00	2.692000000000e+01	2.610000000000e+00	1.926172618765e+01	2.266547751080e+00	1.284695204916e+00
ddo47	2	low	5.618391283897e-02	5.307844348342e-02	1.410270964252e+00	1.402880602934e+00	-3.346123413648e-02	-5.504582608177e-01	-3.423535870029e-03	2.829570647368e-01	5.339531866470e-02	8.181943574962e-01	2.572000000000e+01	8.380000000000e+00	3.660000000000e+00	2.575000000000e+01	3.790000000000e+00	2.022999339656e+01	2.619967311866e+00	1.305995741009e+00
ddo47	3	low	5.618391283897e-02	1.789769472932e-01	1.472171146692e+00	1.476209080752e+00	1.876934417867e-02	-1.554912782105e+00	1.253085227575e-02	-7.250757890699e-02	3.330631435543e-02	1.689575827881e-01	2.966000000000e+01	8.700000000000e+00	3.800000000000e+00	2.971000000000e+01	2.610000000000e+00	2.145306095365e+01	1.880003716611e+00	1.331489266704e+00
ddo47	4	low	5.618391283897e-02	2.764618041732e-01	1.436639631693e+00	1.445948682285e+00	4.380194357992e-02	8.155379389023e-01	2.402553730881e-02	-2.337181184611e-01	3.252818505164e-02	-1.332335913357e-01	2.733000000000e+01	7.950000000000e+00	3.900000000000e+00	2.745000000000e+01	2.500000000000e+00	2.336727582410e+01	1.991371517585e+00	1.368608084942e+00
ddo47	5	low	5.618391283897e-02	3.560258571931e-01	1.460597188898e+00	1.461338997550e+00	3.421996799172e-03	1.866084174939e+00	2.966634050244e-02	3.588624574493e-01	2.734728303437e-02	3.271519040681e-01	2.888000000000e+01	7.810000000000e+00	3.770000000000e+00	2.906000000000e+01	2.780000000000e+00	2.449999675048e+01	1.790011611020e+00	1.389166026762e+00
ddo47	6	low	5.618391283897e-02	4.232458739368e-01	1.540704783311e+00	1.539081267422e+00	-7.448686964231e-03	-1.084919160945e+00	2.659219492178e-02	6.853752983430e-01	1.688848697773e-02	4.900019308299e-01	3.473000000000e+01	7.740000000000e+00	3.980000000000e+00	3.497000000000e+01	2.330000000000e+00	2.988817746700e+01	1.822285898125e+00	1.475499433268e+00
ddo47	7	low	5.618391283897e-02	4.814426285023e-01	1.600428325732e+00	1.602704166046e+00	1.053574615982e-02	-6.072550468043e+00	2.612538111634e-02	3.976844327779e-01	1.261949591674e-02	5.315549994853e-02	3.985000000000e+01	7.890000000000e+00	3.870000000000e+00	4.017000000000e+01	2.390000000000e+00	3.672697071524e+01	1.979999618590e+00	1.564985108691e+00
ddo47	8	low	5.618391283897e-02	5.314789170423e-01	1.668758541751e+00	1.676860434064e+00	3.801537101007e-02	-7.942118362610e+00	2.368946106115e-02	-4.749733717791e-01	1.041147400743e-02	-9.152030188890e-01	4.664000000000e+01	8.100000000000e+00	3.440000000000e+00	4.702000000000e+01	2.370000000000e+00	4.407994128041e+01	1.679996166685e+00	1.644241007314e+00
ddo47	9	low	5.618391283897e-02	5.774917998372e-01	1.727947709545e+00	1.737331913113e+00	4.416325785384e-02	5.145024964817e+00	1.937636103422e-02	-1.143320823147e+00	8.786980716403e-03	-1.631766759309e+00	5.345000000000e+01	7.870000000000e+00	2.980000000000e+00	5.388000000000e+01	3.160000000000e+00	5.156524067365e+01	2.065195679138e+00	1.712357049100e+00
ddo47	10	low	5.618391283897e-02	6.190933306267e-01	1.762453482364e+00	1.764093841536e+00	7.582737599235e-03	6.055272011395e+00	1.614367475257e-02	5.235580411139e-01	7.180513349223e-03	-2.459867846859e-02	5.787000000000e+01	7.400000000000e+00	2.740000000000e+00	5.835000000000e+01	3.280000000000e+00	5.747390206720e+01	2.507822708456e+00	1.759470683626e+00
ddo47	11	low	5.618391283897e-02	6.570558528571e-01	1.779812863171e+00	1.782812558056e+00	1.390996108523e-02	-1.564902855936e+01	1.949710667664e-02	3.058911449423e-01	8.132562140817e-03	-3.163073431645e-01	6.023000000000e+01	8.140000000000e+00	2.490000000000e+00	6.076000000000e+01	3.030000000000e+00	6.012000377907e+01	2.189980710701e+00	1.779018999214e+00
ddo47	12	low	5.618391283897e-02	6.919651027674e-01	1.794278865721e+00	1.804539793944e+00	4.838755374547e-02	-1.882554307938e+01	1.880307268597e-02	-1.787955291953e+00	8.093267342811e-03	-2.435208596839e+00	6.227000000000e+01	8.010000000000e+00	2.110000000000e+00	6.293000000000e+01	3.540000000000e+00	6.325913441622e+01	2.133499658220e+00	1.801123245107e+00
ddo47	13	low	5.618391283897e-02	7.234556720352e-01	1.800717078282e+00	1.813423211349e+00	6.025972869317e-02	-4.246668836397e+00	1.914372718680e-02	-2.566049654012e+00	9.096137063847e-03	-3.193119753586e+00	6.320000000000e+01	8.000000000000e+00	1.660000000000e+00	6.399000000000e+01	5.170000000000e+00	6.321304757032e+01	2.275238430377e+00	1.800806728646e+00
ddo52	0	low	4.511440961450e-02	-3.467874862247e-01	1.070407321740e+00	1.112876575382e+00	2.160138103723e-01	-9.746154326819e-01	1.552060066657e-01	-1.776630381686e-01	2.160138103723e-01	0.000000000000e+00	1.176000000000e+01	6.880000000000e+00	3.180000000000e+00	1.176000000000e+01	3.140000000000e+00	1.550058351357e+01	7.912037941019e+00	1.190348047329e+00
ddo52	1	low	4.511440961450e-02	-4.575749056068e-02	1.299071260027e+00	1.304696976143e+00	2.624589331299e-02	1.903288266412e+00	5.554949689246e-03	-2.438185983679e-01	3.990246466713e-02	1.609267390907e-01	1.991000000000e+01	5.800000000000e+00	3.230000000000e+00	1.991000000000e+01	4.330000000000e+00	2.570942369319e+01	6.432352993088e+00	1.410092341533e+00
ddo52	2	low	4.511440961450e-02	1.303337684950e-01	1.455301771657e+00	1.447784954899e+00	-3.402393299115e-02	3.741652478850e-01	-1.290839157363e-02	4.988035805946e-01	8.695966373717e-03	1.009154269099e+00	2.853000000000e+01	5.870000000000e+00	2.890000000000e+00	2.853000000000e+01	3.020000000000e+00	3.240293775343e+01	3.534692968463e+00	1.510584386511e+00
ddo52	3	low	4.511440961450e-02	2.552725051033e-01	1.541828766781e+00	1.536822774352e+00	-2.278974666380e-02	-3.431170058104e+00	-7.999665880324e-03	2.774060843251e-01	1.868482273095e-03	4.624952923460e-01	3.482000000000e+01	8.040000000000e+00	2.390000000000e+00	3.482000000000e+01	2.730000000000e+00	3.931699476981e+01	3.578219994551e+00	1.594580314736e+00
ddo52	4	low	4.511440961450e-02	3.521825181114e-01	1.568905414983e+00	1.575948385784e+00	3.296579692099e-02	-1.599830462780e-01	2.282950365430e-03	-6.568125553346e-01	2.311202194711e-03	-6.562077823664e-01	3.706000000000e+01	8.010000000000e+00	2.190000000000e+00	3.707000000000e+01	3.470000000000e+00	4.568499094693e+01	3.966464735736e+00	1.659773543187e+00
ddo52	5	low	4.511440961450e-02	4.313637641590e-01	1.597585501752e+00	1.597603451623e+00	8.266562572513e-05	3.001357555303e+00	6.708155415554e-03	1.779107847827e-01	2.996258230669e-03	7.823716635689e-02	3.959000000000e+01	7.640000000000e+00	2.030000000000e+00	3.960000000000e+01	3.680000000000e+00	4.877059818436e+01	3.698249739314e+00	1.688158082362e+00
ddo52	6	low	4.511440961450e-02	4.983105537896e-01	1.637089273530e+00	1.634495957261e+00	-1.187163221686e-02	-3.577915104251e-01	9.710212349017e-03	6.339968987052e-01	2.054636065646e-03	4.091036275743e-01	4.336000000000e+01	8.000000000000e+00	2.090000000000e+00	4.339000000000e+01	3.260000000000e+00	5.110323911239e+01	3.290869827521e+00	1.708448428198e+00
ddo52	7	low	4.511440961450e-02	5.563025007673e-01	1.641077313325e+00	1.641103929561e+00	1.225798087288e-04	-3.718643051804e+00	1.270148119807e-02	3.869397375693e-01	1.476077532578e-03	4.163495983129e-02	4.376000000000e+01	7.890000000000e+00	2.140000000000e+00	4.382000000000e+01	4.360000000000e+00	5.586353827842e+01	3.142346572205e+00	1.747128439531e+00
ddo52	8	low	4.511440961450e-02	6.063813651106e-01	1.674769314015e+00	1.678174050476e+00	1.580295745810e-02	-6.698311274990e+00	1.458897372539e-02	-4.148149996925e-02	1.677048001954e-03	-4.826785539897e-01	4.729000000000e+01	8.090000000000e+00	2.040000000000e+00	4.743000000000e+01	4.400000000000e+00	5.816997145027e+01	3.715436854495e+00	1.764698850647e+00
ddo52	9	low	4.511440961450e-02	6.522463410033e-01	1.687885524849e+00	1.696344766020e+00	3.972498973425e-02	-9.144828186394e+00	1.677927958169e-02	-8.349295490580e-01	2.755067488081e-03	-1.345230995444e+00	4.874000000000e+01	8.080000000000e+00	1.830000000000e+00	4.906000000000e+01	4.900000000000e+00	6.076410982945e+01	4.194690521628e+00	1.783647140041e+00
ddo52	10	low	4.511440961450e-02	6.937269489236e-01	1.701395269014e+00	1.714130882989e+00	6.040368420225e-02	-1.081672204789e+01	1.838086287511e-02	-1.647572954227e+00	4.393906119494e-03	-2.195954308327e+00	5.028000000000e+01	8.030000000000e+00	1.560000000000e+00	5.091000000000e+01	6.340000000000e+00	6.116677148956e+01	4.535567185293e+00	1.786515558129e+00
ddo52	11	low	4.511440961450e-02	7.315887651867e-01	1.716086853775e+00	1.733065021123e+00	8.132522606695e-02	-1.292657361725e+01	1.974063439823e-02	-2.577114273255e+00	6.393309805481e-03	-3.135656268674e+00	5.201000000000e+01	8.040000000000e+00	1.210000000000e+00	5.320000000000e+01	4.460000000000e+00	6.031529549938e+01	5.025269030307e+00	1.780427459879e+00
