galaxy	team_release_kin	point_index	observed_speed_km_s	observed_speed_error_km_s
WALLABY J124257-011345	NGC 4636 Kin TR1	7	1.560000000000e+02	1.612451549660e+00
WALLABY J124257-011345	NGC 4636 Kin TR1	8	1.533000000000e+02	2.262741699797e+00
WALLABY J124257-011345	NGC 4636 Kin TR1	9	1.476000000000e+02	5.124451190128e+00
WALLABY J124257-011345	NGC 4636 Kin TR1	10	1.426000000000e+02	6.573431371818e+00
WALLABY J124317-003841	NGC 4636 Kin TR1	0	6.730000000000e+01	4.472135955000e+00
WALLABY J124317-003841	NGC 4636 Kin TR1	1	1.269000000000e+02	5.234500931321e+00
WALLABY J124317-003841	NGC 4636 Kin TR1	2	1.448000000000e+02	4.428317965097e+00
WALLABY J124317-003841	NGC 4636 Kin TR1	3	1.572000000000e+02	7.840918313565e+00
WALLABY J124317-003841	NGC 4636 Kin TR1	4	1.626000000000e+02	1.231665539016e+01
WALLABY J124317-003841	NGC 4636 Kin TR1	5	1.327000000000e+02	4.418144406875e+01
WALLABY J124433-021916	NGC 4636 Kin TR1	0	3.020000000000e+01	2.729468812791e+00
WALLABY J124433-021916	NGC 4636 Kin TR1	1	4.950000000000e+01	1.051712888577e+01
WALLABY J124433-021916	NGC 4636 Kin TR1	2	5.420000000000e+01	6.239390995923e+00
WALLABY J124433-021916	NGC 4636 Kin TR1	3	5.550000000000e+01	1.140175425099e+00
WALLABY J124433-021916	NGC 4636 Kin TR1	4	5.380000000000e+01	4.949747468306e+00
WALLABY J124433-021916	NGC 4636 Kin TR1	5	5.590000000000e+01	4.356604182158e+00
WALLABY J124433-021916	NGC 4636 Kin TR1	6	6.650000000000e+01	7.343704787095e+00
WALLABY J124433-021916	NGC 4636 Kin TR1	7	8.870000000000e+01	2.922071183253e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	0	9.780000000000e+01	3.976091045235e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	1	1.027000000000e+02	2.692582403567e+00
WALLABY J124508-002747	NGC 4636 Kin TR1	2	1.064000000000e+02	7.494664769021e+00
WALLABY J124508-002747	NGC 4636 Kin TR1	3	1.308000000000e+02	1.557241150240e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	4	1.532000000000e+02	1.489328707841e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	5	1.687000000000e+02	5.303772242470e+00
WALLABY J124508-002747	NGC 4636 Kin TR1	6	1.845000000000e+02	8.198780397108e+00
WALLABY J124508-002747	NGC 4636 Kin TR1	7	1.959000000000e+02	1.381918955656e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	8	1.983000000000e+02	1.296919426950e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	9	1.961000000000e+02	1.138463877336e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	10	1.932000000000e+02	1.274715654568e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	11	1.900000000000e+02	1.528823076749e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	12	1.874000000000e+02	1.751113931188e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	13	1.852000000000e+02	1.943733520830e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	14	1.843000000000e+02	2.012212712414e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	15	1.855000000000e+02	1.904652199222e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	16	1.851000000000e+02	1.963288058335e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	17	1.847000000000e+02	2.022003956475e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	18	1.880000000000e+02	1.712308383440e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	19	1.889000000000e+02	1.615549442140e+01
WALLABY J124508-002747	NGC 4636 Kin TR1	20	1.852000000000e+02	1.953509662121e+01
WALLABY J130305+035925	NGC 4808 Kin TR1	0	4.030000000000e+01	2.156965461012e+01
WALLABY J130305+035925	NGC 4808 Kin TR1	1	8.680000000000e+01	8.134494452638e+00
WALLABY J130305+035925	NGC 4808 Kin TR1	2	9.240000000000e+01	7.920227269466e+00
WALLABY J130305+035925	NGC 4808 Kin TR1	3	9.350000000000e+01	7.443117626371e+00
WALLABY J130305+035925	NGC 4808 Kin TR1	4	9.520000000000e+01	6.928924880528e+00
WALLABY J130305+035925	NGC 4808 Kin TR1	5	9.610000000000e+01	6.746851117373e+00
WALLABY J130515-165316	NGC5044 Kin TR3	0	5.520000000000e+01	2.247220505424e+00
WALLABY J130515-165316	NGC5044 Kin TR3	1	8.260000000000e+01	5.629387178015e+00
WALLABY J130515-165316	NGC5044 Kin TR3	2	9.270000000000e+01	3.087069808087e+00
WALLABY J130515-165316	NGC5044 Kin TR3	3	9.490000000000e+01	1.612451549660e+00
WALLABY J130515-165316	NGC5044 Kin TR3	4	9.680000000000e+01	1.565247584250e+00
WALLABY J130515-165316	NGC5044 Kin TR3	5	1.065000000000e+02	1.388128236151e+01
WALLABY J130739+062006	NGC 4808 Kin TR1	0	1.565000000000e+02	5.088624568584e+01
WALLABY J130739+062006	NGC 4808 Kin TR1	1	1.903000000000e+02	4.406472512112e+01
WALLABY J130739+062006	NGC 4808 Kin TR1	2	2.300000000000e+02	2.812205540141e+01
WALLABY J130739+062006	NGC 4808 Kin TR1	3	2.314000000000e+02	2.501859308594e+01
WALLABY J130739+062006	NGC 4808 Kin TR1	4	2.231000000000e+02	2.272641634750e+01
WALLABY J130739+062006	NGC 4808 Kin TR1	5	2.101000000000e+02	2.312098613814e+01
WALLABY J130854-163609	NGC5044 Kin TR3	0	2.900000000000e+01	4.310452412450e+00
WALLABY J130854-163609	NGC5044 Kin TR3	1	5.330000000000e+01	3.945883931390e+00
WALLABY J130854-163609	NGC5044 Kin TR3	2	8.020000000000e+01	1.500000000000e+00
WALLABY J130854-163609	NGC5044 Kin TR3	3	9.760000000000e+01	2.000000000000e+00
WALLABY J130854-163609	NGC5044 Kin TR3	4	1.075000000000e+02	4.016217125605e+00
WALLABY J130854-163609	NGC5044 Kin TR3	5	1.162000000000e+02	1.039471019317e+01
WALLABY J130854-163609	NGC5044 Kin TR3	6	1.237000000000e+02	1.806239186819e+01
WALLABY J130947-101916	NGC5044 Kin TR3	0	5.850000000000e+01	7.844743462982e+00
WALLABY J130947-101916	NGC5044 Kin TR3	1	5.910000000000e+01	3.065697310564e+01
WALLABY J130947-101916	NGC5044 Kin TR3	2	1.007000000000e+02	1.314001522069e+01
WALLABY J130947-101916	NGC5044 Kin TR3	3	1.145000000000e+02	1.477633242723e+01
WALLABY J130947-101916	NGC5044 Kin TR3	4	1.197000000000e+02	1.530522786501e+01
WALLABY J130947-101916	NGC5044 Kin TR3	5	1.182000000000e+02	1.564672489692e+01
WALLABY J130947-101916	NGC5044 Kin TR3	6	1.115000000000e+02	1.822580588067e+01
WALLABY J131035-214450	NGC5044 Kin TR3	0	5.780000000000e+01	1.838477631085e+00
WALLABY J131035-214450	NGC5044 Kin TR3	1	8.390000000000e+01	2.473863375371e+00
WALLABY J131035-214450	NGC5044 Kin TR3	2	9.950000000000e+01	4.468780594301e+00
WALLABY J131035-214450	NGC5044 Kin TR3	3	1.184000000000e+02	4.669047011972e+00
WALLABY J131035-214450	NGC5044 Kin TR3	4	1.296000000000e+02	7.049113419431e+00
WALLABY J131035-214450	NGC5044 Kin TR3	5	1.361000000000e+02	9.534149149242e+00
WALLABY J131706-161516	NGC5044 Kin TR3	0	9.900000000000e+01	5.701719039027e+01
WALLABY J131706-161516	NGC5044 Kin TR3	1	1.320000000000e+02	2.158379021395e+01
WALLABY J131706-161516	NGC5044 Kin TR3	2	1.254000000000e+02	2.012461179750e+00
WALLABY J131706-161516	NGC5044 Kin TR3	3	1.282000000000e+02	1.900000000000e+00
WALLABY J131706-161516	NGC5044 Kin TR3	4	1.337000000000e+02	2.024845673132e+00
WALLABY J131706-161516	NGC5044 Kin TR3	5	1.362000000000e+02	3.522782990762e+00
WALLABY J131706-161516	NGC5044 Kin TR3	6	1.336000000000e+02	5.348831648127e+00
WALLABY J132017-144841	NGC5044 Kin TR3	0	7.960000000000e+01	2.020890892651e+01
WALLABY J132017-144841	NGC5044 Kin TR3	1	1.052000000000e+02	2.341367122004e+01
WALLABY J132017-144841	NGC5044 Kin TR3	2	9.370000000000e+01	4.275511665286e+00
WALLABY J132017-144841	NGC5044 Kin TR3	3	9.790000000000e+01	8.736704184073e+00
WALLABY J132017-144841	NGC5044 Kin TR3	4	1.125000000000e+02	2.284731931759e+00
WALLABY J132017-144841	NGC5044 Kin TR3	5	1.352000000000e+02	2.162799112262e+01
WALLABY J132017-144841	NGC5044 Kin TR3	6	1.659000000000e+02	4.971699910493e+01
WALLABY J132148-131222	NGC5044 Kin TR3	0	1.156000000000e+02	2.933837077958e+01
WALLABY J132148-131222	NGC5044 Kin TR3	1	1.233000000000e+02	1.170982493464e+01
WALLABY J132148-131222	NGC5044 Kin TR3	2	1.241000000000e+02	2.801785145224e+00
WALLABY J132148-131222	NGC5044 Kin TR3	3	1.256000000000e+02	1.802775637732e+00
WALLABY J132148-131222	NGC5044 Kin TR3	4	1.278000000000e+02	3.801315561750e+00
WALLABY J132148-131222	NGC5044 Kin TR3	5	1.287000000000e+02	4.531004303684e+00
WALLABY J133314-160715	NGC5044 Kin TR3	0	1.038000000000e+02	7.712100881083e+01
WALLABY J133314-160715	NGC5044 Kin TR3	1	2.890000000000e+02	8.741853350406e+00
WALLABY J133314-160715	NGC5044 Kin TR3	2	3.429000000000e+02	2.280350850198e+01
WALLABY J133314-160715	NGC5044 Kin TR3	3	3.758000000000e+02	1.124144118874e+01
WALLABY J133314-160715	NGC5044 Kin TR3	4	3.581000000000e+02	8.980534505251e+00
WALLABY J133314-160715	NGC5044 Kin TR3	5	3.575000000000e+02	8.429116205155e+00
WALLABY J133314-160715	NGC5044 Kin TR3	6	3.512000000000e+02	6.887670143089e+00
WALLABY J133314-160715	NGC5044 Kin TR3	7	3.337000000000e+02	1.846780983225e+01
WALLABY J133348-244525	NGC5044 Kin TR3	0	9.920000000000e+01	3.262207841325e+01
WALLABY J133348-244525	NGC5044 Kin TR3	1	1.245000000000e+02	1.329661611088e+01
WALLABY J133348-244525	NGC5044 Kin TR3	2	1.217000000000e+02	5.142956348250e+00
WALLABY J133348-244525	NGC5044 Kin TR3	3	1.272000000000e+02	4.925444142410e+00
WALLABY J133348-244525	NGC5044 Kin TR3	4	1.273000000000e+02	5.412947441090e+00
WALLABY J133348-244525	NGC5044 Kin TR3	5	1.136000000000e+02	1.190378091196e+01
