#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:07:16 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:07:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/661/A11/tablec1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610011
#Name: J/A+A/661/A11
#Title: eFEDS. Masses of galaxy clusters and groups (Chui+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a11	    IVOID of underlying data collection
#INFO	creator=Chiu I.-N.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A..11C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610011	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A11_tablec1:
#Name: J/A+A/661/A11/tablec1
#Title: The estimates of the cluster true mass M500 of the eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A16)	eFEDS name (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	n_Name	(A1)	[*] * for clusters with 20.1<=f_cont_<0.3	[ucd=meta.note]
#Column	logM500R0.2A	(F6.3)	Mass M500 with the core in the weak-lensing mass calibration for R>0.2h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	logM500R0.2B	(F6.3)	Mass M500 without the core in the weak-lensing mass calibration for R>0.2h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	e_logM500R0.2B	(F6.3)	Error on logM500R-0.2B	[ucd=stat.error]
#Column	logM500R0.5A	(F6.3)	Mass M500 with the core in the weak-lensing mass calibration for R>0.5h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	logM500R0.5B	(F6.3)	Mass M500 without the core in the weak-lensing mass calibration for R>0.5h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	e_logM500R0.5B	(F6.3)	Error on logM500R-0.5B	[ucd=stat.error]
#Column	logM500Rzsp	(F6.3)	? Mass M500 estimated with spectroscopic redshifts and without the core in the weak-lensing calibration	[ucd=phys.mass]
#Column	e_logM500Rzsp	(F6.3)	? Error on logM500R-zsp	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from eFEDS main catalog (Brunner et al., 2022, Cat. J/A+A/661/A1) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from eFEDS main catalog (Brunner et al., 2022, Cat. J/A+A/661/A1) (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	n_Name	logM500R0.2A	logM500R0.2B	e_logM500R0.2B	logM500R0.5A	logM500R0.5B	e_logM500R0.5B	logM500Rzsp	e_logM500Rzsp	Simbad	_RA	_DE
      77	J084044.7+024108	 	14.054	14.135	 0.087	14.092	14.175	 0.091	      	      	Simbad	130.18622	+02.68590
      78	J084051.7+014122	 	14.199	14.122	 0.096	14.205	14.128	 0.098	14.099	 0.098	Simbad	130.21558	+01.68960
      79	J084102.1+044734	 	13.850	13.666	 0.111	13.851	13.669	 0.110	13.709	 0.109	Simbad	130.25897	+04.79314
      80	J084105.5+031639	 	14.073	14.077	 0.096	14.072	14.077	 0.097	      	      	Simbad	130.27306	+03.27778
      81	J084116.5+020700	*	13.838	13.936	 0.100	13.855	13.955	 0.102	      	      	Simbad	130.31914	+02.11687
      82	J084124.1-023350	 	13.572	13.630	 0.113	13.578	13.636	 0.113	      	      	Simbad	130.35081	-02.56410
      83	J084124.7+004636	 	13.926	13.933	 0.100	13.935	13.943	 0.101	13.927	 0.101	Simbad	130.35305	+00.77682
      84	J084129.0+002645	 	13.817	14.006	 0.097	13.821	14.013	 0.098	14.014	 0.098	Simbad	130.37094	+00.44604
      85	J084134.1+043503	 	14.060	14.093	 0.095	14.075	14.108	 0.097	      	      	Simbad	130.39231	+04.58449
      86	J084135.0+010150	 	14.245	14.201	 0.089	14.255	14.210	 0.091	      	      	Simbad	130.39590	+01.03060
      87	J084142.9+002841	 	13.672	13.657	 0.108	13.676	13.662	 0.107	13.652	 0.107	Simbad	130.42926	+00.47821
      88	J084146.3-021339	*	13.791	13.766	 0.112	13.805	13.780	 0.113	      	      	Simbad	130.44341	-02.22780
      89	J084146.5+045612	 	14.085	14.154	 0.090	14.102	14.173	 0.092	14.173	 0.092	Simbad	130.44364	+04.93699
      90	J084148.1+004911	 	12.869	12.995	 0.113	12.900	13.024	 0.111	13.088	 0.111	Simbad	130.45076	+00.81986
      91	J084151.3-003358	 	13.477	13.788	 0.114	13.482	13.791	 0.113	13.781	 0.113	Simbad	130.46414	-00.56613
      92	J084210.5+020558	 	13.591	13.773	 0.107	13.604	13.786	 0.108	      	      	Simbad	130.54390	+02.09973
      93	J084223.1+003340	 	14.176	14.214	 0.083	14.214	14.254	 0.087	      	      	Simbad	130.59641	+00.56137
      94	J084246.9-000917	 	14.245	14.234	 0.096	14.247	14.236	 0.097	14.242	 0.097	Simbad	130.69574	-00.15476
      95	J084255.6+042332	 	14.389	14.208	 0.091	14.400	14.215	 0.093	14.221	 0.092	Simbad	130.73161	+04.39255
      96	J084258.3-004037	 	13.796	13.910	 0.102	13.804	13.920	 0.103	      	      	Simbad	130.74332	-00.67721
      97	J084307.1+002839	 	14.005	13.943	 0.100	14.003	13.940	 0.100	13.949	 0.100	Simbad	130.77981	+00.47772
      98	J084324.2-001438	 	13.902	13.828	 0.107	13.909	13.834	 0.107	      	      	Simbad	130.85128	-00.24410
      99	J084346.2+010833	 	13.795	13.804	 0.110	13.803	13.812	 0.110	13.813	 0.110	Simbad	130.94257	+01.14256
     100	J084349.1+040404	 	13.823	13.642	 0.123	13.826	13.648	 0.122	      	      	Simbad	130.95457	+04.06796
     101	J084412.6-020514	 	14.436	14.350	 0.098	14.433	14.346	 0.099	      	      	Simbad	131.05284	-02.08746
     102	J084417.9+010415	 	14.210	14.072	 0.096	14.210	14.072	 0.096	14.082	 0.096	Simbad	131.07489	+01.07113
     103	J084434.3+031026	 	14.081	14.100	 0.092	14.103	14.122	 0.094	14.142	 0.093	Simbad	131.14292	+03.17400
     104	J084438.5+041946	 	14.028	14.053	 0.100	14.044	14.070	 0.102	      	      	Simbad	131.16045	+04.32966
     105	J084441.3+021701	 	14.332	14.299	 0.085	14.351	14.318	 0.088	14.315	 0.088	Simbad	131.17229	+02.28394
     106	J084454.0+010021	 	13.791	13.816	 0.106	13.797	13.822	 0.106	13.789	 0.107	Simbad	131.22533	+01.00592
     107	J084459.2-011902	 	14.235	14.318	 0.089	14.236	14.320	 0.090	      	      	Simbad	131.24728	-01.31740
     108	J084501.0+012728	 	14.153	14.164	 0.096	14.157	14.168	 0.097	14.170	 0.097	Simbad	131.25428	+01.45786
     109	J084528.6+032739	 	14.731	14.624	 0.089	14.717	14.608	 0.090	14.590	 0.091	Simbad	131.36942	+03.46099
     110	J084544.3-002914	 	13.586	13.724	 0.102	13.584	13.721	 0.102	13.713	 0.102	Simbad	131.43501	-00.48744
     111	J084545.2+005535	 	13.603	13.616	 0.112	13.612	13.625	 0.112	13.668	 0.111	Simbad	131.43850	+00.92652
     112	J084552.4+011714	 	14.071	14.095	 0.092	14.094	14.119	 0.095	14.102	 0.095	Simbad	131.46847	+01.28727
     113	J084558.1+012443	 	13.896	13.854	 0.107	13.904	13.861	 0.107	      	      	Simbad	131.49242	+01.41203
     114	J084559.7+031321	 	13.881	13.889	 0.103	13.890	13.898	 0.104	      	      	Simbad	131.49871	+03.22282
     115	J084630.7+024702	 	13.389	13.329	 0.128	13.404	13.346	 0.126	13.423	 0.125	Simbad	131.62804	+02.78402
     116	J084637.1-002256	 	14.184	14.251	 0.100	14.173	14.241	 0.101	14.176	 0.102	Simbad	131.65474	-00.38243
     117	J084640.3-010423	*	13.467	13.548	 0.121	13.478	13.558	 0.119	      	      	Simbad	131.66833	-01.07328
     118	J084645.6+014947	*	12.707	12.733	 0.122	12.750	12.776	 0.119	12.764	 0.119	Simbad	131.69026	+01.82984
     119	J084647.4+044607	 	14.261	14.127	 0.105	14.251	14.117	 0.105	      	      	Simbad	131.69738	+04.76889
     120	J084649.0+004946	 	13.726	13.777	 0.110	13.739	13.790	 0.111	13.799	 0.111	Simbad	131.70461	+00.82954
     121	J084655.7-003705	 	14.121	14.034	 0.098	14.126	14.038	 0.099	14.028	 0.100	Simbad	131.73241	-00.61811
     122	J084717.7+033421	 	13.304	13.378	 0.123	13.321	13.393	 0.122	      	      	Simbad	131.82399	+03.57263
     123	J084751.7+025522	 	13.670	13.730	 0.106	13.674	13.735	 0.106	13.754	 0.106	Simbad	131.96560	+02.92312
     124	J084759.1+014903	 	14.142	14.170	 0.090	14.159	14.187	 0.092	14.161	 0.093	Simbad	131.99657	+01.81783
     125	J084823.2+041205	 	14.272	14.311	 0.080	14.301	14.342	 0.083	      	      	Simbad	132.09695	+04.20162
     126	J084833.2-012216	 	14.543	14.503	 0.084	14.559	14.517	 0.086	      	      	Simbad	132.13867	-01.37117
     127	J084852.9+035939	 	14.214	14.106	 0.097	14.237	14.128	 0.099	14.139	 0.098	Simbad	132.22038	+03.99453
     128	J084905.3+021435	 	13.955	13.961	 0.101	13.965	13.971	 0.102	13.922	 0.104	Simbad	132.27229	+02.24334
     129	J084910.6+024117	 	14.107	14.210	 0.092	14.133	14.239	 0.095	      	      	Simbad	132.29423	+02.68826
     130	J084934.9+014437	 	14.269	14.169	 0.105	14.265	14.165	 0.105	14.162	 0.105	Simbad	132.39584	+01.74389
     131	J084939.6-005126	 	14.399	14.306	 0.089	14.417	14.322	 0.091	14.320	 0.091	Simbad	132.41530	-00.85728
     132	J084957.4+004524	 	14.359	14.249	 0.083	14.402	14.288	 0.086	      	      	Simbad	132.48944	+00.75672
     133	J085018.3+020018	 	13.963	14.007	 0.099	13.970	14.015	 0.100	      	      	Simbad	132.57644	+02.00533
     134	J085020.4+032819	 	13.981	14.062	 0.102	13.978	14.059	 0.102	14.044	 0.102	Simbad	132.58505	+03.47231
     135	J085022.2+001607	 	13.617	13.686	 0.119	13.621	13.688	 0.118	13.683	 0.118	Simbad	132.59283	+00.26870
     136	J085027.8+001503	 	14.351	14.259	 0.099	14.330	14.238	 0.099	14.233	 0.099	Simbad	132.61615	+00.25088
     137	J085030.5+003330	 	13.654	13.763	 0.108	13.653	13.762	 0.107	13.780	 0.107	Simbad	132.62727	+00.55847
     138	J085051.8+015331	 	13.740	13.649	 0.118	13.747	13.658	 0.117	13.664	 0.117	Simbad	132.71613	+01.89218
     139	J085056.4+005607	 	13.845	13.848	 0.102	13.847	13.851	 0.103	13.870	 0.102	Simbad	132.73548	+00.93537
     140	J085119.9+022951	 	14.194	14.237	 0.094	14.192	14.235	 0.095	      	      	Simbad	132.83326	+02.49782
     141	J085121.2+012856	 	13.893	13.865	 0.110	13.899	13.872	 0.110	13.840	 0.111	Simbad	132.83845	+01.48251
     142	J085128.4+011501	 	13.650	13.596	 0.112	13.655	13.602	 0.111	13.609	 0.111	Simbad	132.86857	+01.25056
     143	J085130.0-004609	 	14.156	14.053	 0.101	14.169	14.065	 0.102	      	      	Simbad	132.87518	-00.76934
     144	J085131.0+045239	 	14.149	14.231	 0.094	14.148	14.232	 0.096	14.222	 0.096	Simbad	132.87936	+04.87789
     145	J085138.2-003537	 	13.778	13.957	 0.099	13.787	13.970	 0.101	13.951	 0.101	Simbad	132.90971	-00.59376
     146	J085141.9+021438	 	13.180	13.224	 0.117	13.199	13.242	 0.115	13.252	 0.115	Simbad	132.92481	+02.24411
     147	J085204.5+012132	 	14.273	14.210	 0.098	14.274	14.211	 0.099	14.221	 0.099	Simbad	133.01883	+01.35908
     148	J085217.0-010131	 	14.612	14.626	 0.086	14.609	14.624	 0.088	14.618	 0.088	Simbad	133.07104	-01.02539
     149	J085230.6+002457	 	14.253	14.207	 0.099	14.242	14.196	 0.099	14.184	 0.100	Simbad	133.12761	+00.41591
     150	J085231.1-011230	 	14.173	14.163	 0.089	14.186	14.176	 0.091	      	      	Simbad	133.12980	-01.20836
     151	J085239.6+003240	 	14.067	13.965	 0.100	14.079	13.976	 0.101	13.979	 0.101	Simbad	133.16526	+00.54461
     152	J085256.8+052741	*	13.608	13.748	 0.112	13.613	13.754	 0.111	      	      	Simbad	133.23675	+05.46161
     153	J085327.2-002117	 	13.654	13.613	 0.110	13.658	13.617	 0.109	13.617	 0.109	Simbad	133.36350	-00.35490
     154	J085335.2+032214	 	13.867	13.835	 0.107	13.870	13.838	 0.107	13.846	 0.106	Simbad	133.39661	+03.37091
     155	J085340.5+022411	 	13.906	13.836	 0.107	13.901	13.832	 0.106	13.836	 0.106	Simbad	133.41910	+02.40324
     156	J085412.8-022123	 	14.431	14.486	 0.096	14.422	14.478	 0.097	      	      	Simbad	133.55386	-02.35666
     157	J085419.5-000925	 	14.346	14.196	 0.099	14.336	14.185	 0.099	14.213	 0.099	Simbad	133.58149	-00.15720
     158	J085433.0+004009	 	13.577	13.350	 0.112	13.587	13.362	 0.111	13.346	 0.111	Simbad	133.63765	+00.66932
     159	J085434.5-014038	 	13.930	14.059	 0.092	13.946	14.077	 0.094	      	      	Simbad	133.64399	-01.67747
     160	J085436.6+003835	 	13.926	14.005	 0.103	13.906	13.984	 0.103	13.965	 0.103	Simbad	133.65265	+00.64315
     161	J085438.5+001211	 	13.794	13.662	 0.115	13.793	13.663	 0.114	13.727	 0.113	Simbad	133.66093	+00.20321
     162	J085447.0-012132	 	14.334	14.319	 0.093	14.327	14.312	 0.094	14.320	 0.094	Simbad	133.69643	-01.35906
     163	J085508.9-003445	*	13.621	13.553	 0.105	13.627	13.560	 0.104	13.541	 0.104	Simbad	133.78756	-00.57931
