#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:07:18 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:07:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/890/148/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18900148
#Name: J/ApJ/890/148
#Title: Concentration-mass relation for XXL clusters (Umetsu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/890/148	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/890/148	    IVOID of underlying data collection
#INFO	creator=Umetsu K.	    First author or institution
#INFO	cites=bibcode:2020ApJ...890..148U	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/890/148	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18900148	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_890_148_table2:
#Name: J/ApJ/890/148/table2
#Title: Cluster properties and weak-lensing measurements
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	XLSSC	(I3)	[2/202] Identifier (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[30.42/38.51] X-ray cluster right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-6.21/-2.66] X-ray cluster declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	[0.03/1.04] Redshift	[ucd=src.redshift]
#Column	Cl	(I1)	[1/2] Object class (2)	[ucd=meta.code]
#Column	T300kpc	(F5.2)	[0.63/6.03]? X-ray temperature, T_300kpc_	[ucd=phys.temperature]
#Column	e_T300kpc	(F5.2)	[0.03/1.05]? T300kpc downwards uncertainty	[ucd=stat.error]
#Column	E_T300kpc	(F5.2)	[0.04/1.14]? T300kpc upwards uncertainty	[ucd=stat.error;stat.max]
#Column	c200	(F4.1)	[2/9.6] Concentration parameter c_200_=r_200_/r_s_ (section 4.1) (3)	[ucd=stat.param]
#Column	e_c200	(F4.1)	[1.2/5.6] C200 uncertainty	[ucd=stat.error]
#Column	c200Med	(F4.1)	[1.9/9.3] Median value of c200	[ucd=stat.median]
#Column	M200	(F5.2)	[0.07/9.64] Mass enclosed within a sphere of radius r_200_ (3)	[ucd=phys.mass]
#Column	e_M200	(F5.2)	[0.08/7.94] M200 uncertainty	[ucd=stat.error]
#Column	M200Med	(F5.2)	[0.07/9.45] Median value of M200	[ucd=phys.mass;stat.median]
#Column	M500	(F5.2)	[0.05/5.59] Mass, M_500_ (3)	[ucd=phys.mass]
#Column	e_M500	(F5.2)	[0.05/5.5] M500 uncertainty	[ucd=stat.error]
#Column	M500Med	(F5.2)	[0.05/5.53] Median value of M500	[ucd=phys.mass;stat.median]
#Column	M200MT	(F5.2)	[0.2/6.8]? Bias-corrected, weak-lensing-calibrated mass estimates, M_200,MT_ (4)	[ucd=phys.mass]
#Column	e_M200MT	(F5.2)	[0.1/2.2]? M200MT downwards uncertainty	[ucd=stat.error]
#Column	E_M200MT	(F5.2)	[0.19/3.4]? M200MT upwards uncertainty	[ucd=stat.error;stat.max]
#Column	M500MT	(F5.2)	[0.16/4.72]? Bias-corrected, weak-lensing-calibrated mass estimates, M_500,MT_ (4)	[ucd=phys.mass]
#Column	e_M500MT	(F5.2)	[0.08/1.35]? M500MT downwards uncertainty	[ucd=stat.error]
#Column	E_M500MT	(F5.2)	[0.14/1.92]? M500MT upwards uncertainty	[ucd=stat.error;stat.max]
#Column	S/N	(F4.1)	[-2.1/6] Signal-to-noise ratio based on the linear estimator (Equation (13))	[ucd=stat.snr]
#Column	SNRq	(F4.1)	[0.8/9.1] Signal-to-noise ratio based on the quadratic estimator (Equation (15))	[ucd=stat.snr]
#Column	R18	(I3)	Display data from XXL DR2 cat. (IX/52), Paper XXVIII	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	XLSSC	RAJ2000	DEJ2000	z	Cl	T300kpc	e_T300kpc	E_T300kpc	c200	e_c200	c200Med	M200	e_M200	M200Med	M500	e_M500	M500Med	M200MT	e_M200MT	E_M200MT	M500MT	e_M500MT	E_M500MT	S/N	SNRq	R18	Simbad
      18	 35	035.949	-02.858	 0.174	1	 1.26	 0.08	 0.08	 5.5	 5.0	 4.3	 0.11	 0.14	 0.10	 0.07	 0.10	 0.07	 0.47	 0.23	 0.38	 0.32	 0.15	 0.27	 0.0	 3.4	  0	Simbad
      19	 36	035.527	-03.054	 0.492	1	 3.53	 0.43	 0.53	 6.4	 5.3	 5.3	 0.52	 0.70	 0.41	 0.36	 0.50	 0.28	 1.63	 0.79	 1.33	 1.10	 0.54	 0.98	 0.5	 3.9	  0	Simbad
      20	 38	036.856	-04.190	 0.584	2	 1.67	 0.28	 0.30	 5.5	 5.0	 4.3	 0.09	 0.12	 0.09	 0.06	 0.08	 0.06	 0.60	 0.30	 0.52	 0.39	 0.20	 0.36	-0.3	 2.0	  1	Simbad
      21	 40	035.523	-04.547	 0.320	1	 1.95	 0.24	 0.26	 5.4	 5.1	 4.2	 0.78	 0.85	 0.66	 0.54	 0.58	 0.45	 1.06	 0.47	 0.80	 0.72	 0.33	 0.57	 2.1	 3.9	  1	Simbad
      22	 41	036.378	-04.239	 0.142	1	 1.68	 0.08	 0.22	 7.3	 5.1	 6.5	 2.47	 1.11	 2.45	 1.82	 0.76	 1.82	 1.94	 0.60	 0.92	 1.49	 0.45	 0.66	 2.9	 5.9	  1	Simbad
      23	 44	036.141	-04.236	 0.263	1	 1.21	 0.14	 0.11	 2.9	 2.6	 2.8	 2.07	 1.40	 2.00	 1.32	 0.81	 1.30	 1.20	 0.45	 0.79	 0.87	 0.32	 0.54	 3.6	 4.8	  1	Simbad
      24	 48	035.722	-03.473	 1.005	2	 2.72	 0.16	 0.18	 5.7	 5.1	 4.6	 1.04	 2.61	 2.52	 0.71	 1.78	 1.71	 1.28	 0.63	 1.12	 0.88	 0.44	 0.83	 1.1	 1.1	  0	Simbad
      25	 49	035.988	-04.588	 0.494	1	 2.13	 0.14	 0.12	 6.0	 5.1	 4.9	 1.90	 1.84	 1.73	 1.35	 1.29	 1.21	 1.42	 0.60	 1.03	 1.00	 0.43	 0.76	 1.3	 3.2	  1	Simbad
      26	 50	036.421	-03.189	 0.140	1	 3.07	 0.25	 0.26	 6.3	 5.3	 5.1	 1.10	 0.96	 1.04	 0.78	 0.68	 0.72	 1.65	 0.71	 1.14	 1.13	 0.49	 0.82	 1.0	 3.9	  0	Simbad
      27	 51	036.498	-02.825	 0.279	1	 1.34	 0.09	 0.09	 6.1	 5.2	 4.9	 0.22	 0.32	 0.19	 0.15	 0.22	 0.13	 0.60	 0.29	 0.49	 0.40	 0.20	 0.35	-0.3	 3.2	  0	Simbad
      28	 52	036.567	-02.666	 0.056	1	 0.63	 0.03	 0.04	 5.1	 4.9	 4.0	 0.12	 0.17	 0.12	 0.08	 0.11	 0.08	 0.23	 0.11	 0.19	 0.16	 0.08	 0.14	 0.8	 2.5	  0	Simbad
      29	 54	036.319	-05.887	 0.054	1	 1.54	 0.08	 0.09	 5.9	 5.2	 4.7	 0.60	 0.76	 0.48	 0.42	 0.54	 0.33	 0.77	 0.35	 0.60	 0.53	 0.25	 0.44	-0.3	 3.6	  1	Simbad
      30	 55	036.454	-05.896	 0.232	1	 3.15	 0.51	 0.32	 8.2	 5.4	 7.5	 3.19	 1.49	 3.20	 2.39	 1.07	 2.39	 2.92	 0.92	 1.37	 2.19	 0.69	 1.01	 3.1	 4.8	  1	Simbad
      31	 56	033.871	-04.682	 0.348	1	 2.99	 0.39	 0.50	 4.0	 4.0	 3.5	 0.93	 1.04	 0.79	 0.62	 0.68	 0.52	 1.56	 0.72	 1.21	 1.04	 0.48	 0.84	 1.6	 3.1	  1	Simbad
      32	 57	034.051	-04.242	 0.153	1	 2.05	 0.18	 0.26	 4.6	 4.6	 3.8	 0.41	 0.53	 0.34	 0.28	 0.36	 0.22	 0.97	 0.46	 0.78	 0.65	 0.31	 0.55	 1.8	 2.4	  1	Simbad
      33	 58	034.935	-04.889	 0.332	1	 2.19	 0.26	 0.27	 4.6	 4.6	 3.7	 0.19	 0.29	 0.18	 0.13	 0.19	 0.12	 0.95	 0.47	 0.79	 0.63	 0.32	 0.56	 1.4	 3.6	  1	Simbad
      34	 59	034.397	-05.223	 0.645	1	 2.92	 0.37	 0.49	 6.3	 5.4	 5.0	 0.33	 0.61	 0.40	 0.22	 0.40	 0.27	 1.37	 0.68	 1.19	 0.92	 0.47	 0.86	 0.2	 4.2	  1	Simbad
      35	 60	033.668	-04.553	 0.139	1	 4.70	 0.26	 0.26	 5.1	 4.3	 4.5	 3.45	 1.67	 3.38	 2.39	 1.04	 2.38	 3.66	 1.21	 1.76	 2.56	 0.80	 1.15	 3.8	 6.0	  1	Simbad
      36	 61	035.485	-05.758	 0.259	1	 1.93	 0.22	 0.29	 4.4	 4.5	 3.6	 0.29	 0.41	 0.25	 0.20	 0.28	 0.16	 0.90	 0.43	 0.74	 0.60	 0.29	 0.52	 1.4	 2.2	  1	Simbad
      37	 62	036.061	-02.721	 0.059	1	 0.77	 0.08	 0.12	 5.6	 5.1	 4.5	 0.24	 0.36	 0.22	 0.16	 0.24	 0.15	 0.34	 0.16	 0.29	 0.23	 0.11	 0.21	 1.3	 4.1	  0	Simbad
      38	 64	034.632	-05.017	 0.874	1	     	     	     	 4.6	 4.7	 3.7	 0.34	 0.72	 0.71	 0.23	 0.48	 0.48	     	     	     	     	     	     	 1.1	 2.1	  1	Simbad
      39	 65	034.245	-04.819	 0.435	2	     	     	     	 5.9	 5.2	 4.7	 0.09	 0.12	 0.09	 0.06	 0.08	 0.06	     	     	     	     	     	     	-1.3	 2.8	  1	Simbad
      40	 67	034.681	-05.549	 0.382	1	 1.22	 0.17	 0.13	 6.7	 5.4	 5.5	 0.43	 0.59	 0.34	 0.29	 0.42	 0.23	 0.63	 0.30	 0.53	 0.43	 0.21	 0.39	-0.1	 3.7	  1	Simbad
      41	 71	035.640	-04.967	 0.833	2	 2.18	 0.15	 0.13	 5.6	 5.1	 4.4	 0.25	 0.51	 0.51	 0.17	 0.35	 0.35	 0.95	 0.47	 0.82	 0.64	 0.32	 0.59	-0.2	 2.2	  1	Simbad
      42	 72	033.850	-03.726	 1.002	1	 2.00	 0.31	 0.27	 5.7	 5.1	 4.6	 1.32	 3.44	 3.26	 0.88	 2.31	 2.18	 1.01	 0.50	 0.94	 0.69	 0.35	 0.69	 1.4	 1.4	  1	Simbad
      43	 73	033.744	-03.506	 1.033	2	 1.72	 0.33	 0.41	 5.7	 5.1	 4.4	 1.08	 2.77	 2.70	 0.72	 1.84	 1.79	 0.94	 0.48	 0.91	 0.64	 0.34	 0.67	 1.4	 1.4	  0	Simbad
      44	 75	035.834	-05.454	 0.211	1	     	     	     	 5.8	 5.1	 4.6	 0.08	 0.10	 0.08	 0.06	 0.07	 0.05	     	     	     	     	     	     	-1.2	 2.4	  1	Simbad
      45	 76	033.682	-03.823	 0.750	1	     	     	     	 4.1	 4.2	 3.5	 3.26	 5.68	 2.90	 2.47	 4.11	 1.93	     	     	     	     	     	     	 1.3	 3.4	  1	Simbad
      46	 77	034.527	-03.656	 0.202	2	 1.53	 0.21	 0.28	 5.1	 4.8	 4.1	 0.36	 0.45	 0.29	 0.25	 0.31	 0.20	 0.73	 0.34	 0.59	 0.49	 0.24	 0.42	 1.4	 3.5	  0	Simbad
      47	 78	033.948	-04.842	 0.953	2	 2.63	 0.45	 0.41	 5.5	 5.1	 4.3	 0.21	 0.40	 0.41	 0.14	 0.27	 0.28	 1.11	 0.56	 0.97	 0.74	 0.38	 0.70	-1.4	 1.8	  1	Simbad
      48	 79	034.494	-04.868	 0.194	2	     	     	     	 5.5	 5.0	 4.4	 0.44	 0.54	 0.35	 0.30	 0.37	 0.24	     	     	     	     	     	     	 1.1	 2.6	  1	Simbad
      49	 80	034.597	-05.413	 0.646	2	 1.65	 0.25	 0.32	 4.7	 4.7	 3.7	 0.14	 0.22	 0.18	 0.09	 0.15	 0.12	 0.71	 0.35	 0.63	 0.47	 0.24	 0.45	 0.5	 3.4	  1	Simbad
      50	 82	032.714	-06.173	 0.427	1	 3.58	 0.50	 0.61	 4.6	 4.7	 3.7	 0.39	 0.69	 0.40	 0.27	 0.47	 0.26	 1.74	 0.87	 1.54	 1.17	 0.60	 1.10	 1.7	 3.1	  1	Simbad
      51	 85	032.870	-06.196	 0.428	1	 4.09	 0.69	 0.76	 5.5	 5.0	 4.4	 0.12	 0.19	 0.15	 0.08	 0.13	 0.10	 1.51	 0.78	 1.38	 0.99	 0.52	 0.95	-1.4	 2.6	  1	Simbad
      52	 86	032.809	-06.162	 0.424	1	 2.81	 0.49	 0.56	 5.2	 4.9	 4.1	 0.15	 0.23	 0.18	 0.10	 0.16	 0.12	 1.15	 0.58	 1.02	 0.76	 0.39	 0.72	 0.4	 3.3	  1	Simbad
      53	 87	037.720	-04.348	 0.141	1	 1.61	 0.11	 0.12	 4.5	 4.5	 3.8	 0.45	 0.55	 0.37	 0.30	 0.37	 0.25	 0.78	 0.36	 0.60	 0.53	 0.25	 0.43	 1.5	 3.7	  1	Simbad
      54	 88	037.611	-04.581	 0.295	1	 1.91	 0.24	 0.27	 4.6	 4.5	 3.7	 0.74	 0.81	 0.63	 0.50	 0.54	 0.42	 1.03	 0.46	 0.78	 0.69	 0.32	 0.55	 2.1	 3.7	  1	Simbad
      55	 89	037.127	-04.733	 0.609	1	 2.11	 0.39	 0.40	 6.2	 5.3	 5.0	 1.68	 2.06	 1.37	 1.22	 1.47	 0.97	 1.35	 0.61	 1.10	 0.95	 0.44	 0.81	 1.1	 2.7	  1	Simbad
      56	 90	037.121	-04.857	 0.141	1	 1.09	 0.07	 0.12	 5.5	 5.1	 4.4	 0.12	 0.17	 0.12	 0.08	 0.11	 0.08	 0.42	 0.20	 0.34	 0.28	 0.14	 0.25	-0.1	 2.3	  1	Simbad
      57	 91	037.926	-04.881	 0.186	1	 5.15	 0.31	 0.31	 8.9	 4.7	 8.3	 5.77	 1.66	 5.72	 4.44	 1.11	 4.42	 5.87	 1.37	 1.79	 4.60	 0.97	 1.22	 6.0	 9.1	  1	Simbad
      58	 95	031.962	-05.206	 0.138	1	 0.90	 0.08	 0.09	 6.9	 5.4	 5.8	 0.91	 0.83	 0.82	 0.66	 0.60	 0.59	 0.59	 0.25	 0.44	 0.42	 0.18	 0.33	 0.0	 3.9	  1	Simbad
      59	 96	030.973	-05.027	 0.520	1	 4.98	 0.86	 0.50	 5.3	 5.0	 4.2	 0.17	 0.28	 0.19	 0.11	 0.18	 0.13	 1.97	 1.02	 1.77	 1.30	 0.68	 1.24	 0.1	 1.1	  1	Simbad
      60	 97	033.342	-06.098	 0.697	1	 5.04	 0.95	 1.14	 5.7	 5.1	 4.4	 0.19	 0.34	 0.31	 0.12	 0.23	 0.21	 1.96	 1.01	 1.83	 1.31	 0.69	 1.30	-1.7	 3.4	  1	Simbad
      61	 98	033.115	-06.076	 0.297	1	 2.96	 0.59	 0.57	 4.4	 4.6	 3.6	 0.14	 0.21	 0.15	 0.10	 0.14	 0.10	 1.15	 0.58	 1.03	 0.76	 0.39	 0.71	 1.2	 3.4	  1	Simbad
      62	 99	033.220	-06.202	 0.391	1	 3.72	 0.54	 0.87	 5.6	 5.1	 4.4	 0.30	 0.56	 0.39	 0.20	 0.37	 0.27	 1.75	 0.89	 1.59	 1.18	 0.61	 1.14	 0.4	 1.9	  1	Simbad
      63	100	031.549	-06.193	 0.915	1	 5.60	 0.43	 0.51	 5.5	 5.0	 4.4	 0.48	 1.08	 1.07	 0.32	 0.73	 0.72	 2.64	 1.34	 2.37	 1.78	 0.92	 1.73	-0.8	 0.8	  1	Simbad
      64	101	032.193	-04.436	 0.756	1	 2.95	 0.39	 0.47	 4.4	 4.4	 3.7	 5.33	 7.94	 4.44	 3.90	 5.50	 3.02	 1.99	 0.91	 1.71	 1.44	 0.68	 1.29	 1.6	 3.0	  1	Simbad
      65	102	031.322	-04.652	 0.969	1	 3.87	 0.76	 0.81	 5.4	 5.0	 4.3	 0.45	 1.01	 1.00	 0.30	 0.68	 0.67	 1.73	 0.87	 1.59	 1.17	 0.60	 1.16	 0.1	 1.6	  1	Simbad
      66	103	036.886	-05.961	 0.233	1	 2.53	 0.34	 0.40	 6.2	 5.2	 5.0	 1.96	 1.44	 1.92	 1.39	 0.99	 1.36	 1.79	 0.70	 1.15	 1.27	 0.50	 0.83	 2.3	 4.6	  1	Simbad
      67	104	037.324	-05.895	 0.294	1	     	     	     	 6.4	 5.2	 5.3	 1.03	 1.04	 0.89	 0.74	 0.75	 0.62	     	     	     	     	     	     	 0.5	 3.0	  1	Simbad
      68	105	038.411	-05.506	 0.432	1	 6.01	 0.91	 0.79	 3.2	 3.4	 3.0	 1.29	 1.55	 1.07	 0.85	 0.94	 0.69	 2.99	 1.45	 2.50	 1.94	 0.94	 1.66	 2.5	 4.0	  1	Simbad
      69	106	031.351	-05.732	 0.300	1	 2.78	 0.17	 0.20	 2.1	 1.4	 2.1	 3.70	 2.31	 3.60	 2.19	 1.24	 2.15	 2.69	 0.97	 1.58	 1.81	 0.64	 1.01	 3.9	 5.4	  1	Simbad
      70	108	031.832	-04.827	 0.254	1	 2.34	 0.24	 0.31	 4.7	 4.7	 3.8	 0.14	 0.20	 0.14	 0.10	 0.14	 0.09	 0.94	 0.47	 0.79	 0.62	 0.31	 0.56	 1.2	 2.3	  1	Simbad
