#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/477/648/tablea1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74770648
#Name: J/MNRAS/477/648
#Title: Abell S1063 and MACS J1149.5+2223 photometry (Tortorelli+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/477/648	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/477/648	    IVOID of underlying data collection
#INFO	creator=Tortorelli L.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.477..648T	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/477/648	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74770648	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_477_648_tablea1:
#Name: J/MNRAS/477/648/tablea1
#Title: *Photometric catalog (produced 2017-07-21) for Abell S1063 (z=0.348)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I2)	Object ID number within the table	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	F814Wmag	(F5.2)	F814W total magnitude (AB)	[ucd=phot.mag;em.opt.I]
#Column	e_F814Wmag	(F5.2)	1{sigma} standard deviation error on F814W total magnitude	[ucd=stat.error]
#Column	Re	(F5.2)	Circularized effective radius	[ucd=phys.size.radius]
#Column	e_Re	(F5.2)	1{sigma} standard deviation error on circularized effective radius	[ucd=stat.error]
#Column	mue	(F5.2)	Mean surface brightness within effective radius (1)	[ucd=phot.mag.sb]
#Column	e_mue	(F5.2)	1{sigma} standard deviation error on mean surface brightness within effective radius	[ucd=stat.error]
#Column	n	(F4.1)	Sersic index	[ucd=stat.fit.param]
#Column	e_n	(F4.1)	1{sigma} standard deviation error on Sersic index	[ucd=stat.error]
recno	ID	RAJ2000	DEJ2000	F814Wmag	e_F814Wmag	Re	e_Re	mue	e_mue	n	e_n
      26	26	342.17961	-44.52304	21.22	 0.02	 0.85	 0.02	18.10	 0.08	 1.0	 0.1
      27	27	342.17967	-44.52853	23.07	 0.02	 2.43	 0.07	22.23	 0.09	 1.5	 0.1
      28	28	342.17999	-44.53568	23.42	 0.03	 1.44	 0.07	21.44	 0.14	 1.5	 0.1
      29	29	342.18109	-44.52920	22.61	 0.04	 0.74	 0.03	19.20	 0.14	 2.1	 0.1
      30	30	342.18200	-44.53857	22.81	 0.06	 1.09	 0.08	20.23	 0.22	 2.1	 0.2
      31	31	342.18205	-44.54034	21.40	 0.01	 1.14	 0.06	18.92	 0.12	 3.3	 0.1
      32	32	342.18254	-44.52687	21.78	 0.01	 0.72	 0.04	18.31	 0.12	 3.0	 0.1
      33	33	342.18293	-44.53046	20.31	 0.04	 0.80	 0.03	17.05	 0.12	 3.4	 0.2
      34	34	342.18294	-44.52492	22.82	 0.06	 1.32	 0.17	20.66	 0.34	 3.2	 0.4
      35	35	342.18307	-44.53310	22.18	 0.04	 0.43	 0.01	17.57	 0.08	 2.6	 0.2
      36	36	342.18320	-44.54385	22.58	 0.04	 1.75	 0.09	21.03	 0.16	 1.8	 0.1
      37	37	342.18328	-44.53083	17.26	 0.49	17.00	 1.60	20.65	 0.69	 1.4	 0.4
      38	38	342.18353	-44.53007	20.03	 0.02	 1.76	 0.11	18.50	 0.16	 3.2	 0.2
      39	39	342.18406	-44.52692	20.45	 0.02	 1.57	 0.13	18.67	 0.20	 3.3	 0.2
      40	40	342.18419	-44.52028	22.18	 0.04	 2.08	 0.14	21.01	 0.19	 1.4	 0.1
      41	41	342.18438	-44.53619	20.12	 0.01	 2.16	 0.15	19.03	 0.16	 3.3	 0.2
      42	42	342.18449	-44.54318	20.81	 0.01	 2.32	 0.14	19.87	 0.14	 4.6	 0.1
      43	43	342.18453	-44.52930	24.46	 0.07	 0.41	 0.02	19.75	 0.17	 1.2	 0.1
      44	44	342.18487	-44.54063	23.17	 0.05	 1.11	 0.08	20.63	 0.21	 2.3	 0.2
      45	45	342.18542	-44.51863	19.48	 0.02	 1.52	 0.16	17.62	 0.25	 5.5	 0.3
      46	46	342.18555	-44.53319	22.50	 0.02	 0.51	 0.02	18.28	 0.12	 3.8	 0.4
      47	47	342.18565	-44.53125	23.36	 0.08	 0.93	 0.09	20.44	 0.30	 1.8	 0.2
      48	48	342.18568	-44.53050	22.90	 0.01	 1.15	 0.06	20.44	 0.12	 2.9	 0.3
      49	49	342.18570	-44.52601	22.25	 0.01	 1.35	 0.06	20.14	 0.10	 3.6	 0.1
      50	50	342.18663	-44.53108	22.78	 0.03	 0.60	 0.01	18.90	 0.08	 1.7	 0.1
      51	51	342.18665	-44.52247	20.91	 0.02	 0.83	 0.04	17.75	 0.13	 3.9	 0.1
      52	52	342.18666	-44.54076	21.06	 0.01	 0.86	 0.04	17.96	 0.12	 3.2	 0.1
      53	53	342.18667	-44.52058	23.85	 0.15	 1.53	 0.24	22.01	 0.50	 1.2	 0.2
      54	54	342.18678	-44.52781	20.71	 0.01	 1.53	 0.05	18.88	 0.07	 5.3	 0.1
      55	55	342.18686	-44.53390	22.09	 0.01	 2.31	 0.11	21.15	 0.11	 2.6	 0.1
      56	56	342.18693	-44.53537	20.93	 0.01	 1.43	 0.05	18.94	 0.09	 2.7	 0.1
      57	57	342.18811	-44.53280	22.37	 0.03	 1.52	 0.07	20.51	 0.13	 1.7	 0.1
      58	58	342.18813	-44.52595	19.94	 0.03	 0.90	 0.07	16.95	 0.20	 4.1	 0.3
      59	59	342.18814	-44.52972	20.10	 0.02	 1.07	 0.05	17.48	 0.13	 3.0	 0.2
      60	60	342.18844	-44.51774	23.06	 0.10	 1.11	 0.13	20.53	 0.36	 1.2	 0.1
      61	61	342.18856	-44.52670	25.05	 0.05	 0.40	 0.07	20.30	 0.42	 0.9	 0.2
      62	62	342.18893	-44.54039	20.27	 0.07	 3.01	 0.30	19.90	 0.29	 3.2	 0.3
      63	63	342.18901	-44.51923	22.52	 0.09	 1.32	 0.13	20.36	 0.30	 1.4	 0.1
      64	64	342.18901	-44.52469	21.31	 0.12	 4.51	 1.40	21.82	 0.79	11.0	 1.6
      65	65	342.18907	-44.52643	24.46	 0.06	 0.72	 0.06	20.99	 0.23	 1.3	 0.1
      66	66	342.18916	-44.52367	23.59	 0.02	 0.61	 0.01	19.74	 0.05	 2.2	 0.1
      67	67	342.18916	-44.52953	20.40	 0.01	 1.20	 0.07	18.03	 0.13	 4.1	 0.2
      68	68	342.18934	-44.53692	21.91	 0.01	 1.47	 0.05	19.99	 0.08	 1.8	 0.1
      69	69	342.19002	-44.52411	22.59	 0.02	 0.76	 0.04	19.23	 0.13	 4.5	 0.2
      70	70	342.19019	-44.51651	24.84	 0.04	 0.55	 0.02	20.77	 0.13	 0.7	 0.1
      71	71	342.19134	-44.53432	21.18	 0.02	 0.53	 0.03	17.05	 0.15	 3.0	 0.2
      72	72	342.19156	-44.53334	21.72	 0.02	 0.68	 0.02	18.13	 0.08	 2.9	 0.1
      73	73	342.19186	-44.52965	22.11	 0.01	 0.84	 0.04	18.98	 0.11	 2.5	 0.2
      74	74	342.19269	-44.51977	22.97	 0.11	 0.76	 0.12	19.62	 0.44	 2.2	 0.4
      75	75	342.19281	-44.51495	21.72	 0.01	 2.73	 0.08	21.14	 0.06	 2.3	 0.1
      76	76	342.19293	-44.52205	22.22	 0.02	 1.64	 0.01	20.53	 0.03	 0.7	 0.1
      77	77	342.19326	-44.52412	24.37	 0.03	 0.82	 0.02	21.18	 0.09	 1.5	 0.1
      78	78	342.19330	-44.51782	19.77	 0.04	 0.93	 0.07	16.84	 0.20	 4.2	 0.2
      79	79	342.19330	-44.52643	20.43	 0.03	 0.96	 0.06	17.57	 0.16	 2.8	 0.2
      80	80	342.19368	-44.51851	22.24	 0.08	 1.08	 0.13	19.66	 0.34	 2.3	 0.2
      81	81	342.19420	-44.52210	22.46	 0.02	 1.59	 0.03	20.71	 0.06	 0.7	 0.1
      82	82	342.19461	-44.53227	23.38	 0.03	 0.42	 0.01	18.72	 0.06	 1.2	 0.1
      83	83	342.19530	-44.53490	22.72	 0.01	 1.68	 0.07	21.09	 0.10	 2.6	 0.1
      84	84	342.19543	-44.53245	22.53	 0.02	 1.52	 0.07	20.68	 0.13	 2.1	 0.1
      85	85	342.19552	-44.52599	19.01	 0.03	 3.27	 0.38	18.82	 0.29	 6.3	 0.4
      86	86	342.19669	-44.52909	22.85	 0.02	 1.36	 0.06	20.76	 0.11	 2.0	 0.1
      87	87	342.19727	-44.52327	20.39	 0.04	 1.15	 0.07	17.93	 0.17	 3.9	 0.3
      88	88	342.19821	-44.52740	22.50	 0.03	 1.57	 0.07	20.72	 0.12	 2.0	 0.1
      89	89	342.20017	-44.52722	22.34	 0.04	 1.58	 0.09	20.58	 0.17	 2.3	 0.2
      90	90	342.20029	-44.52520	20.38	 0.05	 1.96	 0.18	19.08	 0.25	 3.0	 0.3
      91	91	342.20084	-44.52722	23.72	 0.02	 1.01	 0.01	20.98	 0.04	 1.1	 0.1
      92	92	342.20123	-44.52405	23.35	 0.04	 1.01	 0.03	20.60	 0.09	 1.9	 0.1
      93	93	342.20137	-44.52076	21.96	 0.02	 0.78	 0.02	18.65	 0.07	 2.3	 0.1
      94	94	342.20418	-44.52524	20.55	 0.03	 1.32	 0.09	18.39	 0.17	 3.0	 0.2
      95	95	342.20490	-44.52587	23.46	 0.02	 1.34	 0.04	21.33	 0.08	 1.9	 0.2

