#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/773/86/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17730086
#Name: J/ApJ/773/86
#Title: Star-forming galaxies in ACO 2029 (Tyler+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/773/86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/773/86	    IVOID of underlying data collection
#INFO	creator=Tyler K.D.	    First author or institution
#INFO	cites=bibcode:2013ApJ...773...86T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/773/86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17730086	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_773_86_table1:
#Name: J/ApJ/773/86/table1
#Title: A2029 member list
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.06/0.09] Redshift	[ucd=src.redshift]
#Column	logL24	(F5.2)	[7.8/11.6]? Log 24{mu}m luminosity	[ucd=phys.luminosity;em.IR.15-30um]
#Column	logLHa	(F5.2)	[5.7/8.5]? Log H{alpha} luminosity	[ucd=phys.luminosity;em.line.Halpha]
#Column	logLFUV	(F5.2)	[8/10.3]? Log FUV luminosity	[ucd=phys.luminosity;em.UV]
#Column	SFRmin	(F6.3)	[0.01/10]? Minimum star formation rate (1)	[ucd=meta.id;meta.main]
#Column	SFRmax	(F6.3)	[0.03/10]? Maximum star formation rate (1)	[ucd=meta.id]
#Column	logM*	(F5.2)	[8.3/11.9]? Log stellar mass	[ucd=phys.mass]
#Column	Notes	(A3)	[0-4,] Additional note(s) (2)	[ucd=meta.note]
#Column	DR9	(A3)	Display the SDSS-DR9 photometric data (Cat. V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearsest object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	RAJ2000	DEJ2000	z	logL24	logLHa	logLFUV	SFRmin	SFRmax	logM*	Notes	DR9	Sloan	Simbad
      60	227.58568	+05.40484	 0.0837	     	     	     	      	      	 9.95	   	DR9	Sloan	Simbad
      61	227.56873	+05.40071	 0.0776	     	     	     	      	      	10.04	   	DR9	Sloan	Simbad
      62	227.55842	+05.41744	 0.0755	 8.41	 7.48	 9.28	 0.729	 0.729	 9.17	   	DR9	Sloan	Simbad
      63	227.72253	+05.69957	 0.0829	     	     	     	      	      	10.34	   	DR9	Sloan	Simbad
      64	227.74858	+05.71448	 0.0827	     	     	     	      	      	10.43	   	DR9	Sloan	Simbad
      65	227.78107	+05.54991	 0.0851	     	     	     	      	      	11.03	   	DR9	Sloan	Simbad
      66	227.71716	+05.65748	 0.0750	 8.47	     	     	      	      	10.74	2  	DR9	Sloan	Simbad
      67	227.81902	+05.57544	 0.0816	 8.52	     	     	      	      	10.79	2  	DR9	Sloan	Simbad
      68	227.77306	+05.73012	 0.0749	     	     	     	      	      	10.45	   	DR9	Sloan	Simbad
      69	227.76099	+05.70290	 0.0814	     	     	     	      	      	10.13	   	DR9	Sloan	Simbad
      70	227.73222	+05.33681	 0.0735	     	     	 8.96	 0.155	 0.229	10.37	   	DR9	Sloan	Simbad
      71	227.75472	+05.44936	 0.0759	     	     	     	      	      	10.36	   	DR9	Sloan	Simbad
      72	227.66001	+06.04092	 0.0818	     	     	     	      	      	10.06	   	DR9	Sloan	Simbad
      73	227.60605	+05.84112	 0.0746	 7.90	     	 8.53	      	      	11.08	2  	DR9	Sloan	Simbad
      74	227.70550	+05.94763	 0.0800	     	     	     	      	      	10.48	   	DR9	Sloan	Simbad
      75	227.65197	+06.02555	 0.0813	     	     	     	      	      	11.02	   	DR9	Sloan	Simbad
      76	227.77975	+06.14837	 0.0760	     	     	     	      	      	 9.96	   	DR9	Sloan	Simbad
      77	227.83188	+06.11717	 0.0844	     	     	     	      	      	10.54	   	DR9	Sloan	Simbad
      78	227.64620	+05.96013	 0.0763	     	     	     	      	      	10.27	   	DR9	Sloan	Simbad
      79	227.64195	+05.92991	 0.0787	 8.09	     	     	 0.051	 0.051	10.13	   	DR9	Sloan	Simbad
      80	227.68225	+05.97062	 0.0804	     	     	     	      	      	10.58	   	DR9	Sloan	Simbad
      81	227.66833	+05.95603	 0.0781	     	     	     	      	      	10.78	   	DR9	Sloan	Simbad
      82	227.56554	+05.89328	 0.0843	     	     	     	      	      	10.01	   	DR9	Sloan	Simbad
      83	227.63228	+06.00196	 0.0802	 8.09	     	     	      	      	10.80	2  	DR9	Sloan	Simbad
      84	227.67762	+05.99090	 0.0807	     	     	     	      	      	10.00	   	DR9	Sloan	Simbad
      85	227.60432	+06.00089	 0.0810	     	     	     	      	      	10.37	   	DR9	Sloan	Simbad
      86	227.57072	+05.94646	 0.0858	 8.23	     	 8.27	      	      	10.67	2  	DR9	Sloan	Simbad
      87	227.57712	+05.97472	 0.0758	 9.31	 7.17	     	 1.628	 1.628	10.31	   	DR9	Sloan	Simbad
      88	227.63263	+05.97786	 0.0734	 8.30	     	     	 0.083	 0.083	10.32	   	DR9	Sloan	Simbad
      89	227.64843	+05.99062	 0.0845	     	     	     	      	      	10.49	   	DR9	Sloan	Simbad
      90	227.59666	+06.03716	 0.0775	     	     	 8.23	      	      	10.81	2  	DR9	Sloan	Simbad
      91	227.62084	+06.07069	 0.0818	 8.20	 6.74	     	 0.180	 0.180	10.09	   	DR9	Sloan	Simbad
      92	227.74542	+06.11158	 0.0757	     	     	     	      	      	10.25	   	DR9	Sloan	Simbad
      93	227.71196	+06.20430	 0.0778	     	     	     	      	      	10.32	   	DR9	Sloan	Simbad
      94	227.67988	+06.19812	 0.0735	 8.86	 6.81	 8.60	 0.439	 0.439	10.20	   	DR9	Sloan	Simbad
      95	227.73306	+06.22593	 0.0854	 9.35	 7.66	 8.99	 2.407	 2.407	10.57	   	DR9	Sloan	Simbad
      96	227.74060	+06.26099	 0.0773	     	     	     	      	      	10.39	   	DR9	Sloan	Simbad
      97	227.81938	+06.12168	 0.0773	     	     	     	      	      	10.41	   	DR9	Sloan	Simbad
      98	227.79636	+06.23748	 0.0789	 8.82	 7.12	     	 0.547	 0.547	10.25	   	DR9	Sloan	Simbad
      99	227.79280	+06.20939	 0.0758	     	     	     	      	      	10.00	   	DR9	Sloan	Simbad
     100	227.85073	+06.18249	 0.0768	     	     	     	      	      	10.19	   	DR9	Sloan	Simbad
     101	227.84477	+06.21491	 0.0756	 9.47	 7.65	 9.58	 2.846	 2.846	10.21	   	DR9	Sloan	Simbad
     102	227.84240	+06.16999	 0.0793	 8.41	     	 8.53	      	      	10.84	2  	DR9	Sloan	Simbad
     103	227.87288	+06.19315	 0.0816	     	     	     	      	      	10.50	   	DR9	Sloan	Simbad
     104	227.90280	+06.18127	 0.0819	     	     	     	      	      	10.55	   	DR9	Sloan	Simbad
     105	227.89387	+06.12926	 0.0803	     	     	     	      	      	10.08	   	DR9	Sloan	Simbad
     106	227.94883	+06.12551	 0.0767	 8.17	     	 8.45	      	      	10.63	2  	DR9	Sloan	Simbad
     107	227.91850	+06.12105	 0.0770	 8.77	 6.93	 8.09	 0.423	 0.423	10.03	   	DR9	Sloan	Simbad
     108	227.88535	+06.08985	 0.0764	     	     	     	      	      	10.54	   	DR9	Sloan	Simbad
     109	227.96531	+06.08501	 0.0727	 8.38	 7.29	 9.17	 0.502	 0.502	 9.54	   	DR9	Sloan	Simbad
     110	228.00191	+06.06065	 0.0764	     	     	     	      	      	10.87	   	DR9	Sloan	Simbad
     111	228.01877	+06.04694	 0.0786	     	     	     	      	      	10.65	   	DR9	Sloan	Simbad
     112	227.83490	+06.06571	 0.0778	 8.31	     	 8.46	      	      	11.24	2  	DR9	Sloan	Simbad
     113	227.93133	+06.03433	 0.0780	 8.18	 6.25	 8.59	 0.100	 0.100	 9.86	   	DR9	Sloan	Simbad
     114	227.93239	+05.99304	 0.0823	     	     	     	      	      	10.05	   	DR9	Sloan	Simbad
     115	228.04575	+05.93041	 0.0831	 8.20	 6.77	 8.79	 0.187	 0.187	10.21	   	DR9	Sloan	Simbad
     116	227.92302	+05.93754	 0.0797	     	     	     	      	      	10.36	   	DR9	Sloan	Simbad
     117	227.97952	+05.79401	 0.0752	 8.71	 6.92	 8.39	 0.385	 0.385	 9.79	   	DR9	Sloan	Simbad
     118	227.90151	+05.91075	 0.0738	 9.14	 7.18	 8.59	 1.211	 1.211	 9.94	   	DR9	Sloan	Simbad
     119	227.92886	+05.88864	 0.0842	 8.96	 7.73	 9.03	 1.497	 1.497	 9.90	   	DR9	Sloan	Simbad
     120	227.84330	+05.81840	 0.0747	     	     	     	      	      	10.88	   	DR9	Sloan	Simbad
     121	227.84330	+05.59649	 0.0744	 8.32	 7.15	 9.07	 0.380	 0.380	 9.66	   	DR9	Sloan	Simbad
     122	227.87665	+05.78076	 0.0812	     	     	     	      	      	10.24	   	DR9	Sloan	Simbad
     123	227.85536	+05.80986	 0.0809	 9.51	 7.94	 9.51	 3.897	 3.897	10.29	   	DR9	Sloan	Simbad
     124	227.76585	+05.73397	 0.0766	     	     	     	      	      	 9.87	   	DR9	Sloan	Simbad
     125	227.83257	+05.74446	 0.0781	 8.10	     	     	      	      	10.58	2  	DR9	Sloan	Simbad
     126	227.81335	+05.62191	 0.0727	     	     	     	      	      	 9.99	   	DR9	Sloan	Simbad
     127	227.81887	+05.76454	 0.0792	     	     	     	      	      	10.02	   	DR9	Sloan	Simbad
     128	227.78601	+05.70892	 0.0770	     	     	     	      	      	10.11	   	DR9	Sloan	Simbad
     129	227.80807	+05.71738	 0.0824	     	     	     	      	      	10.31	   	DR9	Sloan	Simbad
     130	227.82795	+05.96236	 0.0756	     	     	     	      	      	10.45	   	DR9	Sloan	Simbad
     131	227.68846	+05.82576	 0.0795	     	     	     	      	      	10.06	   	DR9	Sloan	Simbad
     132	227.72708	+05.74286	 0.0712	     	     	     	      	      	10.38	   	DR9	Sloan	Simbad
     133	227.71703	+05.75302	 0.0748	     	     	     	      	      	10.46	   	DR9	Sloan	Simbad
     134	227.67692	+05.77815	 0.0773	     	     	 8.32	      	      	10.30	2  	DR9	Sloan	Simbad
     135	227.66637	+05.65528	 0.0768	     	     	 8.31	      	      	10.78	2  	DR9	Sloan	Simbad
     136	227.69510	+05.79456	 0.0747	     	     	     	      	      	10.26	   	DR9	Sloan	Simbad
     137	227.66165	+05.67442	 0.0829	 9.84	 8.42	10.23	 9.942	 9.942	10.10	   	DR9	Sloan	Simbad
     138	227.71261	+05.80086	 0.0745	 8.15	     	 8.28	      	      	10.73	2  	DR9	Sloan	Simbad
     139	227.67699	+05.71888	 0.0734	 8.49	     	 8.24	      	      	10.76	2  	DR9	Sloan	Simbad
     140	227.58159	+05.78652	 0.0788	 8.60	 6.57	 8.21	      	      	10.63	3  	DR9	Sloan	Simbad
     141	227.65660	+05.79133	 0.0770	     	     	     	      	      	10.33	   	DR9	Sloan	Simbad
     142	227.70674	+05.91435	 0.0781	 8.02	 6.03	     	 0.066	 0.066	10.41	   	DR9	Sloan	Simbad
     143	227.67057	+05.82075	 0.0731	     	     	     	      	      	10.17	   	DR9	Sloan	Simbad
     144	227.65935	+05.85382	 0.0683	     	     	     	      	      	10.40	   	DR9	Sloan	Simbad
     145	227.75953	+05.95716	 0.0758	     	     	     	      	      	10.18	   	DR9	Sloan	Simbad
     146	227.63683	+05.81661	 0.0763	     	     	     	      	      	10.43	   	DR9	Sloan	Simbad
     147	227.63374	+05.79965	 0.0814	     	     	     	      	      	10.43	   	DR9	Sloan	Simbad
     148	227.94299	+05.96042	 0.0783	 8.94	 6.69	     	 0.466	 0.466	10.78	   	DR9	Sloan	Simbad
     149	227.96780	+06.02986	 0.0818	     	     	     	      	      	10.97	   	DR9	Sloan	Simbad
     150	227.73321	+05.74151	 0.0736	     	     	     	      	      	10.91	   	DR9	Sloan	Simbad
     151	227.74604	+05.74389	 0.0894	 8.39	     	 8.43	 0.315	 0.315	10.74	   	DR9	Sloan	Simbad
     152	227.93505	+05.69678	 0.0710	     	     	     	      	      	10.59	   	DR9	Sloan	Simbad
     153	227.75793	+05.75349	 0.0670	     	     	     	      	      	10.35	   	DR9	Sloan	Simbad
     154	227.92306	+05.70375	 0.0805	     	     	     	      	      	10.43	   	DR9	Sloan	Simbad
     155	227.74490	+05.69188	 0.0727	 7.81	     	     	      	      	10.54	2  	DR9	Sloan	Simbad
     156	227.77995	+06.05731	 0.0797	 7.99	 6.68	 8.18	 0.140	 0.140	 9.75	   	DR9	Sloan	Simbad
     157	227.73624	+06.23590	 0.0805	     	     	     	      	      	 9.85	   	DR9	Sloan	Simbad
     158	227.59586	+06.02451	 0.0800	     	     	     	      	      	 9.98	   	DR9	Sloan	Simbad
     159	227.62095	+06.04671	 0.0825	     	     	     	      	      	 9.68	   	DR9	Sloan	Simbad
     160	227.74780	+06.10879	 0.0748	     	     	     	      	      	 9.68	   	DR9	Sloan	Simbad
     161	227.81655	+06.17326	 0.0800	     	     	     	      	      	 9.76	   	DR9	Sloan	Simbad
     162	227.85746	+06.13541	 0.0748	     	     	     	      	      	 9.68	   	DR9	Sloan	Simbad
     163	227.80342	+06.05505	 0.0779	     	     	     	      	      	 9.73	   	DR9	Sloan	Simbad
     164	227.98965	+06.08312	 0.0802	 8.35	 6.41	     	 0.145	 0.145	 9.78	   	DR9	Sloan	Simbad
     165	227.91680	+05.92202	 0.0778	     	     	     	      	      	 9.73	   	DR9	Sloan	Simbad
     166	227.89264	+05.79284	 0.0824	     	     	     	      	      	10.03	   	DR9	Sloan	Simbad
     167	227.89310	+05.88467	 0.0790	     	     	     	      	      	10.10	   	DR9	Sloan	Simbad
     168	227.93117	+05.67511	 0.0765	     	     	     	      	      	10.11	   	DR9	Sloan	Simbad
     169	227.81332	+05.87216	 0.0730	     	     	     	      	      	10.79	   	DR9	Sloan	Simbad
     170	227.82005	+05.75122	 0.0807	     	     	     	      	      	 9.75	   	DR9	Sloan	Simbad
     171	227.87088	+05.77137	 0.0714	 9.18	 7.46	 9.31	 1.588	 1.588	 9.95	   	DR9	Sloan	Simbad
     172	227.82122	+05.82829	 0.0726	     	     	     	      	      	 9.78	   	DR9	Sloan	Simbad
     173	227.84873	+05.88225	 0.0768	     	     	     	      	      	10.19	   	DR9	Sloan	Simbad
     174	227.85321	+05.63302	 0.0719	     	     	     	      	      	10.06	   	DR9	Sloan	Simbad
     175	227.68444	+05.65740	 0.0785	     	     	     	      	      	10.03	   	DR9	Sloan	Simbad
     176	227.78970	+05.86494	 0.0781	     	     	     	      	      	10.12	   	DR9	Sloan	Simbad
     177	227.71749	+05.74178	 0.0712	     	     	     	      	      	 9.93	   	DR9	Sloan	Simbad
     178	227.71786	+05.72144	 0.0801	     	     	     	      	      	10.25	   	DR9	Sloan	Simbad
     179	227.73503	+05.75156	 0.0795	     	     	 8.57	      	      	10.42	2  	DR9	Sloan	Simbad
     180	227.74461	+05.77080	 0.0747	     	     	 8.33	      	      	10.71	2  	DR9	Sloan	Simbad
     181	227.65863	+05.78836	 0.0771	     	     	     	      	      	 9.67	   	DR9	Sloan	Simbad
     182	227.75618	+05.86636	 0.0712	     	     	     	      	      	 9.72	   	DR9	Sloan	Simbad
     183	227.70525	+05.79009	 0.0758	     	     	     	      	      	 9.82	   	DR9	Sloan	Simbad
     184	227.71249	+05.84024	 0.0740	     	     	     	      	      	 9.75	   	DR9	Sloan	Simbad
     185	227.65503	+05.72521	 0.0774	     	     	     	      	      	 9.79	   	DR9	Sloan	Simbad
     186	227.74886	+06.01202	 0.0800	     	     	     	      	      	 9.79	   	DR9	Sloan	Simbad
     187	227.55183	+05.79831	 0.0805	     	     	     	      	      	 9.80	   	DR9	Sloan	Simbad
     188	227.64643	+05.89287	 0.0760	 8.45	 7.21	 8.97	 0.453	 0.453	 9.53	   	DR9	Sloan	Simbad
     189	227.58515	+05.94186	 0.0779	     	     	     	      	      	 9.64	   	DR9	Sloan	Simbad
     190	227.64512	+05.94755	 0.0776	     	 6.38	 8.46	 0.050	 0.078	 9.96	   	DR9	Sloan	Simbad
     191	227.76279	+06.04041	 0.0779	     	     	     	      	      	10.33	   	DR9	Sloan	Simbad
     192	227.89942	+05.90581	 0.0811	     	     	     	      	      	 9.67	   	DR9	Sloan	Simbad
     193	227.84075	+06.03515	 0.0785	     	     	     	      	      	10.36	   	DR9	Sloan	Simbad
     194	227.80282	+05.84784	 0.0786	     	     	     	      	      	 9.75	   	DR9	Sloan	Simbad
     195	227.70199	+05.89959	 0.0819	     	     	     	      	      	10.51	   	DR9	Sloan	Simbad
     196	227.79312	+05.81437	 0.0800	     	     	     	      	      	10.73	   	DR9	Sloan	Simbad
     197	227.64863	+05.61565	 0.0796	     	     	     	      	      	 9.52	   	DR9	Sloan	Simbad
