#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:12:05 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:12:05	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/229/20/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22290020
#Name: J/ApJS/229/20
#Title: MMT/Hectospec redshift survey for Abell 2029 (Sohn+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apjs/229/20	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/229/20	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2017ApJS..229...20S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/229/20	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22290020	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_229_20_table2:
#Name: J/ApJS/229/20/table2
#Title: A2029 spectroscopic members
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	[20452/26670] Spectroscopic redshift	[ucd=phys.veloc;pos.heliocentric]
#Column	e_cz	(I5)	[1/299] Uncertainty in cz	[ucd=stat.error]
#Column	r_cz	(A4)	Reference for cz (2)	[ucd=meta.ref;pos.frame]
#Column	sigma	(I3)	[6/945]? Central velocity dispersion within a rest-frame 3kpc aperture	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/962]? Uncertainty in sigma	[ucd=stat.error]
#Column	f_sigma	(A1)	[*] *: uncertainty is not available for sigma	[ucd=meta.code]
#Column	dn4000	(F6.2)	[0.1/4.3]? D_n_4000 index (1)	[ucd=phot.flux;arith.ratio]
#Column	T13	(I3)	Display data from Tyler+ 2013, J/ApJ/773/86, within 2"	[ucd=meta.ref.url]
#Column	DR9	(A3)	Display data from SDSS-DR9 photometric catalog (V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
recno	RAJ2000	DEJ2000	cz	e_cz	r_cz	sigma	e_sigma	f_sigma	dn4000	T13	DR9	Sloan
      31	227.776939	+05.737470	24633	   36	 T13	 21	 71	 	  1.54	  0	DR9	Sloan
      32	227.717858	+05.721447	23975	   18	 MMT	151	  9	 	  1.89	  1	DR9	Sloan
      33	227.704297	+05.733846	21919	   20	 T13	137	  7	 	  2.01	  1	DR9	Sloan
      34	227.712836	+05.716754	22181	   14	 T13	101	 11	 	  1.99	  1	DR9	Sloan
      35	227.714055	+05.714024	23054	   23	 MMT	 21	 37	 	  1.94	  0	DR9	Sloan
      36	227.778031	+05.727659	24108	   21	 T13	178	  8	 	  1.85	  1	DR9	Sloan
      37	227.748590	+05.714486	24750	   29	 T13	198	  8	 	  1.86	  1	DR9	Sloan
      38	227.760987	+05.702899	24366	   25	 T13	133	  9	 	  1.93	  1	DR9	Sloan
      39	227.769822	+05.717389	25546	   71	 MMT	202	 57	 	  1.95	  0	DR9	Sloan
      40	227.780006	+05.712316	24276	   21	 T13	 51	 17	 	  1.92	  1	DR9	Sloan
      41	227.695122	+05.794563	22386	   22	 T13	127	  6	 	  2.01	  1	DR9	Sloan
      42	227.693072	+05.798840	23745	   23	 T13	 54	 18	 	  1.80	  1	DR9	Sloan
      43	227.689597	+05.761984	23178	   55	 MMT	 74	 39	 	  2.48	  0	DR9	Sloan
      44	227.712637	+05.800867	22296	   23	 T13	209	  7	 	  1.91	  1	DR9	Sloan
      45	227.711906	+05.802839	22791	   58	 T13	 91	105	 	  1.38	  0	DR9	Sloan
      46	227.752958	+05.819182	25734	   23	 T13	 85	 17	 	  1.83	  1	DR9	Sloan
      47	227.705282	+05.790096	22702	   20	 MMT	 66	 19	 	  1.96	  1	DR9	Sloan
      48	227.745869	+05.818277	22080	   21	 T13	 45	 23	 	  1.28	  1	DR9	Sloan
      49	227.766094	+05.813073	22085	   49	 MMT	 36	130	 	  1.62	  0	DR9	Sloan
      50	227.789366	+05.796049	22246	   16	 T13	143	  7	 	  1.81	  1	DR9	Sloan
      51	227.792295	+05.796344	23013	   15	 T13	115	 10	 	  1.96	  1	DR9	Sloan
      52	227.790167	+05.754511	24186	   23	 T13	 65	 17	 	  2.00	  1	DR9	Sloan
      53	227.655041	+05.725204	23191	   24	 MMT	 89	 19	 	  2.21	  1	DR9	Sloan
      54	227.667414	+05.740278	20856	   22	 T13	177	 17	 	  1.16	  1	DR9	Sloan
      55	227.676988	+05.718882	21958	   21	 T13	231	  5	 	  2.06	  1	DR9	Sloan
      56	227.694560	+05.695429	22932	   16	 T13	126	 10	 	  2.03	  1	DR9	Sloan
      57	227.722525	+05.699576	24804	   28	 T13	153	  8	 	  1.93	  1	DR9	Sloan
      58	227.730497	+05.694237	23943	   15	 T13	 37	 13	 	  1.92	  1	DR9	Sloan
      59	227.736738	+05.676912	24439	   12	 T13	 38	 11	 	  1.15	  1	DR9	Sloan
      60	227.694392	+05.690502	23393	   24	 T13	 21	  0	 	  1.72	  1	DR9	Sloan
      61	227.697034	+05.678503	24293	   29	 T13	 21	113	 	  1.79	  1	DR9	Sloan
      62	227.744896	+05.691886	21742	   17	 T13	168	  5	 	  1.92	  1	DR9	Sloan
      63	227.765694	+05.687283	25285	   32	 T13	143	  5	 	  1.72	  1	DR9	Sloan
      64	227.767377	+05.687688	21743	    5	 T13	259	 57	 	  1.08	  1	DR9	Sloan
      65	227.776750	+05.689700	24185	   15	 T13	 52	 21	 	  1.18	  1	DR9	Sloan
      66	227.786009	+05.708915	23053	   23	 T13	 43	 30	 	  1.82	  1	DR9	Sloan
      67	227.808073	+05.717376	24617	   30	 T13	138	 17	 	  2.25	  1	DR9	Sloan
      68	227.816648	+05.696620	25033	   29	 T13	111	  7	 	  1.72	  1	DR9	Sloan
      69	227.819432	+05.722711	22145	   24	 T13	127	  5	 	  1.87	  1	DR9	Sloan
      70	227.768014	+05.677406	24994	   47	 MMT	 21	210	 	  1.73	  0	DR9	Sloan
      71	227.677171	+05.747531	23391	   35	 T13	164	  6	 	  1.82	  1	DR9	Sloan
      72	227.675964	+05.805156	21669	   30	 T13	 76	 10	 	  1.59	  1	DR9	Sloan
      73	227.656617	+05.791334	23034	   18	 T13	126	  6	 	  1.92	  1	DR9	Sloan
      74	227.670577	+05.820753	21890	   21	 T13	160	  7	 	  1.96	  1	DR9	Sloan
      75	227.672433	+05.820231	22820	   59	 T13	 78	 43	 	  1.67	  1	DR9	Sloan
      76	227.686506	+05.836255	23054	   24	 T13	125	 11	 	  1.66	  1	DR9	Sloan
      77	227.676928	+05.778149	23152	   21	 T13	 65	  8	 	  1.82	  1	DR9	Sloan
      78	227.658658	+05.788322	23024	   40	 MMT	 39	 77	 	  1.68	  1	DR9	Sloan
      79	227.654517	+05.755559	20855	   45	 T13	 34	122	 	  1.68	  1	DR9	Sloan
      80	227.658285	+05.756101	26132	   34	 T13	117	 20	 	  1.27	  1	DR9	Sloan
      81	227.661397	+05.776636	22564	   45	 T13	 64	 66	 	  1.49	  1	DR9	Sloan
      82	227.679889	+05.812976	23385	   17	 T13	 45	 20	 	  2.04	  1	DR9	Sloan
      83	227.678538	+05.741383	22249	   26	 T13	 85	 19	 	  1.78	  1	DR9	Sloan
      84	227.688477	+05.825774	23784	   33	 T13	105	 38	 	  1.87	  1	DR9	Sloan
      85	227.707440	+05.815711	23811	   24	 T13	249	  8	 	  1.99	  1	DR9	Sloan
      86	227.712532	+05.840239	22142	   18	 MMT	 91	 16	 	  1.77	  1	DR9	Sloan
      87	227.711262	+05.840753	23115	   26	 T13	 55	 26	 	  1.79	  1	DR9	Sloan
      88	227.718145	+05.821869	22810	   25	 T13	109	 17	 	  1.78	  1	DR9	Sloan
      89	227.722312	+05.833553	22138	   14	 T13	 83	  8	 	  1.64	  1	DR9	Sloan
      90	227.756252	+05.827165	21604	   34	 MMT	 23	244	 	  1.84	  0	DR9	Sloan
      91	227.792303	+05.823225	23024	    3	SDSS	192	  4	 	  1.84	  1	DR9	Sloan
      92	227.762751	+05.830590	24884	   17	 T13	167	  4	 	  1.92	  1	DR9	Sloan
      93	227.770122	+05.829326	25215	   19	 T13	213	  7	 	  1.97	  1	DR9	Sloan
      94	227.794366	+05.832441	22248	   14	 T13	 90	  5	 	  1.80	  1	DR9	Sloan
      95	227.797576	+05.812311	23028	   16	 T13	188	  5	 	  1.87	  1	DR9	Sloan
      96	227.793123	+05.814369	23945	    4	SDSS	208	  5	 	  2.01	  1	DR9	Sloan
      97	227.791039	+05.813705	23992	   24	 T13	139	  7	 	  1.95	  1	DR9	Sloan
      98	227.810618	+05.822241	23005	   19	 T13	101	  9	 	  1.82	  1	DR9	Sloan
      99	227.818872	+05.764542	23690	   23	 T13	109	 23	 	  1.99	  1	DR9	Sloan
     100	227.820061	+05.751223	24165	   24	 MMT	 21	  0	 	  1.93	  1	DR9	Sloan
     101	227.832568	+05.744460	23404	   19	 T13	194	  6	 	  2.00	  1	DR9	Sloan
     102	227.767220	+05.848005	24180	   37	 MMT	 34	 59	 	  1.95	  0	DR9	Sloan
     103	227.803834	+05.826025	23625	   33	 T13	 21	  0	 	  1.64	  1	DR9	Sloan
     104	227.817017	+05.775886	21980	    6	 T13	205	 47	 	  0.96	  1	DR9	Sloan
     105	227.836149	+05.771201	22169	   22	 T13	 32	 66	 	  1.70	  1	DR9	Sloan
     106	227.646261	+05.656846	24288	   31	 T13	189	  6	 	  1.93	  1	DR9	Sloan
     107	227.661659	+05.674413	24826	    8	 T13	 75	 12	 	  1.08	  1	DR9	Sloan
     108	227.658157	+05.672311	25457	   26	 T13	 38	 42	 	  1.69	  0	DR9	Sloan
     109	227.666369	+05.655278	22987	   20	 T13	244	  6	 	  2.02	  1	DR9	Sloan
     110	227.673884	+05.667212	23504	   17	 T13	 99	 11	 	  2.05	  1	DR9	Sloan
     111	227.680923	+05.676043	23171	   16	 T13	157	  6	 	  2.00	  1	DR9	Sloan
     112	227.682419	+05.671538	24336	    7	 T13	 46	 13	 	  1.10	  1	DR9	Sloan
     113	227.698109	+05.649094	25590	   14	 T13	114	  5	 	  1.77	  1	DR9	Sloan
     114	227.695092	+05.647554	22385	   17	 T13	 56	 20	 	  1.82	  1	DR9	Sloan
     115	227.707360	+05.655485	24235	   23	 T13	 76	 13	 	  1.94	  1	DR9	Sloan
     116	227.710364	+05.624756	23490	   27	 T13	 55	  8	 	  1.69	  1	DR9	Sloan
     117	227.717156	+05.657484	22438	   34	 T13	195	  5	 	  1.88	  1	DR9	Sloan
     118	227.717168	+05.624486	25187	   13	 MMT	136	  9	 	  2.10	  0	DR9	Sloan
     119	227.733444	+05.649088	25198	   15	 T13	 46	 15	 	  1.84	  1	DR9	Sloan
     120	227.733056	+05.631971	23389	   16	 T13	 51	 20	 	  1.81	  1	DR9	Sloan
     121	227.627433	+05.730344	23120	    8	 MMT	187	 52	 	  1.28	  0	DR9	Sloan
     122	227.633845	+05.714656	25190	   24	 T13	 38	 24	 	  1.73	  1	DR9	Sloan
     123	227.651992	+05.673718	22478	   45	 MMT	 21	  0	 	  2.17	  0	DR9	Sloan
     124	227.692369	+05.631109	23690	   23	 MMT	 21	213	 	  1.80	  0	DR9	Sloan
     125	227.723414	+05.630618	22615	   15	 MMT	 38	 25	 	  2.05	  0	DR9	Sloan
     126	227.740840	+05.645011	23626	   50	 MMT	105	 50	 	  4.25	  0	DR9	Sloan
     127	227.825090	+05.686826	20672	   25	 T13	 51	 22	 	  1.37	  1	DR9	Sloan
     128	227.754356	+05.632483	23716	   20	 T13	 67	 27	 	  1.77	  1	DR9	Sloan
     129	227.753609	+05.661349	24283	   29	 T13	221	  6	 	  1.93	  1	DR9	Sloan
     130	227.756037	+05.659424	25742	    8	 T13	140	 30	 	  1.19	  1	DR9	Sloan
     131	227.774337	+05.645055	21996	   15	 T13	131	  6	 	  1.99	  1	DR9	Sloan
     132	227.797515	+05.674171	20452	   27	 T13	 59	  5	 	  1.36	  1	DR9	Sloan
     133	227.799896	+05.653831	25232	   48	 T13	141	  7	 	  1.67	  1	DR9	Sloan
     134	227.810869	+05.646764	23991	   36	 T13	 64	 22	 	  1.83	  1	DR9	Sloan
     135	227.811962	+05.653905	23974	   20	 T13	100	  7	 	  1.52	  1	DR9	Sloan
     136	227.839657	+05.688951	21676	   14	 T13	106	  6	 	  1.86	  1	DR9	Sloan
     137	227.848807	+05.688612	24157	   31	 T13	128	 12	 	  1.82	  1	DR9	Sloan
     138	227.783092	+05.651746	22348	   19	 MMT	 31	 21	 	  1.79	  0	DR9	Sloan
     139	227.770054	+05.665314	24934	   47	 MMT	 71	 39	 	  2.11	  0	DR9	Sloan
     140	227.780648	+05.667330	24412	   31	 T13	 44	 33	 	  1.61	  1	DR9	Sloan
     141	227.809134	+05.676278	22174	   30	 T13	198	 34	 	  1.24	  1	DR9	Sloan
     142	227.661676	+05.843938	21565	   45	 T13	 66	 37	 	  1.53	  1	DR9	Sloan
     143	227.633755	+05.799654	24279	   29	 T13	 80	  8	 	  1.76	  1	DR9	Sloan
     144	227.636880	+05.816595	22850	   19	 T13	202	  8	 	  1.91	  1	DR9	Sloan
     145	227.651742	+05.834368	23672	   24	 T13	158	 12	 	  2.02	  1	DR9	Sloan
     146	227.683897	+05.839201	22407	   14	 T13	 37	 14	 	  1.74	  1	DR9	Sloan
     147	227.608901	+05.803152	22884	   29	 MMT	 34	 46	 	  1.68	  0	DR9	Sloan
     148	227.608175	+05.787685	24137	   35	 T13	 84	 36	 	  1.49	  1	DR9	Sloan
     149	227.610667	+05.765354	22708	   25	 T13	 34	 40	 	  1.75	  1	DR9	Sloan
     150	227.617569	+05.760380	25355	   14	 T13	107	 37	 	  1.15	  1	DR9	Sloan
     151	227.625593	+05.798384	23488	   25	 T13	 26	 16	 	  2.06	  1	DR9	Sloan
     152	227.639931	+05.783941	23162	   30	 MMT	 24	261	 	  1.87	  0	DR9	Sloan
     153	227.669984	+05.825590	21158	   45	 MMT	 21	595	 	  1.47	  0	DR9	Sloan
     154	227.639732	+05.780465	22385	   89	 T13	120	 80	 	  1.19	  0	DR9	Sloan
     155	227.779242	+05.865974	23886	   22	 T13	 73	 14	 	  1.76	  1	DR9	Sloan
     156	227.782420	+05.884611	23190	   20	 T13	216	  6	 	  2.03	  1	DR9	Sloan
     157	227.780254	+05.861809	22130	   16	 T13	 87	 12	 	  1.87	  1	DR9	Sloan
     158	227.789940	+05.875932	22623	   15	 T13	120	  7	 	  2.01	  1	DR9	Sloan
     159	227.789695	+05.864932	23398	   18	 MMT	 87	 19	 	  2.03	  1	DR9	Sloan
     160	227.804548	+05.886899	24256	   32	 T13	 21	 31	 	  1.28	  1	DR9	Sloan
     161	227.802822	+05.847831	23509	   22	 MMT	111	 12	 	  1.91	  1	DR9	Sloan
     162	227.813319	+05.872153	21853	    4	SDSS	134	  4	 	  1.87	  1	DR9	Sloan
     163	227.820690	+05.830397	21991	   20	 T13	150	  5	 	  1.83	  1	DR9	Sloan
     164	227.821229	+05.828284	21725	   17	 MMT	 74	 24	 	  1.84	  1	DR9	Sloan
     165	227.843308	+05.818397	22375	   22	 T13	223	 11	 	  2.01	  1	DR9	Sloan
     166	227.843719	+05.819566	22283	   21	 T13	 98	 18	 	  1.91	  1	DR9	Sloan
     167	227.842754	+05.779766	22393	   15	 T13	 98	  8	 	  1.96	  1	DR9	Sloan
     168	227.855363	+05.809864	24217	   22	 T13	 85	 16	 	  1.27	  1	DR9	Sloan
     169	227.865400	+05.762002	25043	   39	 T13	 64	 37	 	  1.88	  1	DR9	Sloan
     170	227.870862	+05.771371	21391	  299	 NED	   	   	 	      	  1	DR9	Sloan
     171	227.876647	+05.780759	24247	   39	 T13	125	  9	 	  2.02	  1	DR9	Sloan
     172	227.883034	+05.776400	23098	   19	 T13	109	  8	 	  1.98	  1	DR9	Sloan
     173	227.855773	+05.819063	23649	   14	 T13	146	 24	 	  1.23	  1	DR9	Sloan
     174	227.789292	+05.853369	22539	   34	 MMT	 57	 41	 	  1.85	  0	DR9	Sloan
     175	227.798561	+05.856072	22995	   33	 T13	 89	 38	 	  1.53	  1	DR9	Sloan
     176	227.828102	+05.832852	22134	   57	 T13	 25	 95	 	  1.51	  1	DR9	Sloan
     177	227.850318	+05.849399	24310	   67	 MMT	 40	 37	 	  1.77	  0	DR9	Sloan
     178	227.847890	+05.737445	21777	   47	 MMT	 21	 68	 	  1.75	  0	DR9	Sloan
     179	227.861332	+05.722963	23936	   37	 T13	 55	 28	 	  1.81	  1	DR9	Sloan
     180	227.876495	+05.774733	24338	   59	 MMT	 21	132	 	  1.43	  0	DR9	Sloan
     181	227.572279	+05.701190	23410	   22	 T13	168	  6	 	  1.95	  1	DR9	Sloan
     182	227.589637	+05.699049	23684	   18	 T13	 65	 16	 	  1.79	  1	DR9	Sloan
     183	227.585091	+05.648836	23115	   47	 T13	169	 32	 	  2.26	  1	DR9	Sloan
     184	227.595971	+05.641534	22994	   24	 T13	 25	 20	 	  1.85	  1	DR9	Sloan
     185	227.619685	+05.687598	23176	   29	 T13	 25	117	 	  1.72	  1	DR9	Sloan
     186	227.619569	+05.638179	23360	   31	 T13	185	  7	 	  1.92	  1	DR9	Sloan
     187	227.625827	+05.628843	21433	   12	 T13	132	  9	 	  1.92	  1	DR9	Sloan
     188	227.639849	+05.634512	22456	   16	 T13	126	  9	 	  1.91	  1	DR9	Sloan
     189	227.663275	+05.638679	23535	   17	 T13	105	 12	 	  1.90	  1	DR9	Sloan
     190	227.690907	+05.575876	22547	    8	 T13	 21	  0	 	  1.22	  1	DR9	Sloan
     191	227.693824	+05.591427	21843	   21	 T13	 43	 14	 	  1.40	  1	DR9	Sloan
     192	227.728639	+05.605657	23640	   20	 T13	227	 36	 	  1.19	  1	DR9	Sloan
     193	227.596297	+05.727552	23987	   19	 T13	 21	118	 	  1.76	  1	DR9	Sloan
     194	227.683950	+05.623856	22863	   15	 T13	 60	 16	 	  1.80	  1	DR9	Sloan
     195	227.626624	+05.602236	22859	   29	 T13	132	 22	 	  1.70	  1	DR9	Sloan
     196	227.648635	+05.615647	23844	   56	 T13	 59	 56	 	  1.54	  1	DR9	Sloan
     197	227.677171	+05.606128	22572	   33	 MMT	 40	 52	 	  1.69	  0	DR9	Sloan
     198	227.701603	+05.594896	22946	   27	 MMT	 21	291	 	  1.75	  0	DR9	Sloan
     199	227.729610	+05.558798	23742	   40	 T13	204	  6	 	  1.91	  1	DR9	Sloan
     200	227.804755	+05.605045	22052	   29	 T13	 63	  6	 	  1.73	  1	DR9	Sloan
     201	227.806493	+05.596623	23630	   31	 T13	127	  7	 	  2.04	  1	DR9	Sloan
     202	227.813364	+05.621901	21757	   27	 T13	 21	  0	 	  1.77	  1	DR9	Sloan
     203	227.819034	+05.575433	24442	   26	 T13	212	  7	 	  1.88	  1	DR9	Sloan
     204	227.857863	+05.630805	24722	   20	 T13	152	  5	 	  1.97	  1	DR9	Sloan
     205	227.853232	+05.633006	21473	   30	 MMT	 97	 55	 	  1.39	  1	DR9	Sloan
     206	227.840671	+05.626003	22579	   34	 T13	 39	 42	 	  1.60	  1	DR9	Sloan
     207	227.849207	+05.636170	24858	   22	 T13	 56	 26	 	  1.48	  1	DR9	Sloan
     208	227.883330	+05.718595	22187	   21	 T13	 47	 18	 	  1.82	  1	DR9	Sloan
     209	227.753103	+05.595902	23189	   38	 MMT	 23	226	 	  1.53	  0	DR9	Sloan
     210	227.757109	+05.577167	22092	    6	 MMT	279	 96	 	  1.31	  0	DR9	Sloan
     211	227.802383	+05.579439	24474	   20	 MMT	109	 78	 	  1.16	  0	DR9	Sloan
     212	227.843320	+05.596477	22293	   25	 T13	108	 32	 	  1.28	  1	DR9	Sloan
     213	227.815722	+05.565933	22609	   40	 T13	 28	 70	 	  1.51	  1	DR9	Sloan
     214	227.923065	+05.703750	24035	   29	 T13	138	 13	 	  1.91	  1	DR9	Sloan
     215	227.920228	+05.658655	23411	   21	 T13	125	  9	 	  1.85	  1	DR9	Sloan
     216	227.931186	+05.675103	22907	   13	 MMT	 52	 19	 	  1.93	  1	DR9	Sloan
     217	227.899213	+05.636867	23664	   39	 T13	 70	 53	 	  1.56	  1	DR9	Sloan
     218	227.906441	+05.632432	23609	   49	 T13	 30	 59	 	  1.56	  0	DR9	Sloan
     219	227.910235	+05.635249	22799	   23	 T13	 23	 45	 	  1.77	  1	DR9	Sloan
     220	227.692258	+05.960358	22090	   49	 MMT	 80	 39	 	  1.72	  0	DR9	Sloan
     221	227.705485	+05.947634	23918	   31	 T13	 97	  6	 	  1.83	  1	DR9	Sloan
     222	227.709671	+05.958480	24207	   75	 T13	 27	 79	 	  1.44	  1	DR9	Sloan
     223	227.759514	+05.957161	22701	   18	 T13	108	 22	 	  1.92	  1	DR9	Sloan
