#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:25:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:25:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/812/114/table3&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18120114
#Name: J/ApJ/812/114
#Title: Grism Lens-Amplified Survey from Space (GLASS). I. (Treu+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/812/114	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/812/114	    IVOID of underlying data collection
#INFO	creator=Treu T.	    First author or institution
#INFO	cites=bibcode:2015ApJ...812..114T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/812/114	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18120114	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-04-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_812_114_table3:
#Name: J/ApJ/812/114/table3
#Title: Redshift catalog for MACS J0717.5+3745
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A5)	[00036-92358] GLASS identifier (00036-02574 and 90082-92358) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F12.8)	[109.36/109.42] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F13.9)	[37.72/37.78] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F8.5)	[0/2.6]? GLASS redshift (2)	[ucd=src.redshift]
#Column	q_z	(F3.1)	[0/4]? Quaility of z (3)	[ucd=meta.code.qual;src.redshift]
#Column	f_z	(F3.1)	[0/1] Flag indicating multiple z solutions (4)	[ucd=meta.code]
#Column	Note	(a10)	Additional notes (5)	[ucd=meta.note]
#Column	SimbadName	(A30)	Simbad column added by the CDS	[ucd=meta.id]
recno	ID	RAJ2000	DEJ2000	z	q_z	f_z	Note	SimbadName
      33	00495	109.39478908	+37.759881741	 0.57400	2.0	0.0	          	[TSB2015] GLASS MACS0717-00495
      34	00537	109.37487565	+37.759636821	 0.65400	1.5	0.5	          	
      35	00579	109.39190573	+37.758381460	 1.17400	3.5	0.0	          	[TSB2015] GLASS MACS0717-00579
      36	00596	109.40731495	+37.758350207	 0.54750	3.5	0.0	          	[TSB2015] GLASS MACS0717-00596
      37	00597	109.40665271	+37.758628681	 0.54800	1.0	0.0	          	
      38	00624	109.38934793	+37.758029853	 0.57250	3.0	0.5	          	[TSB2015] GLASS MACS0717-00624
      39	00654	109.38003223	+37.757820625	 0.00000	3.0	0.0	star      	[TSB2015] GLASS MACS0717-00654
      40	00665	109.37395732	+37.756874241	        	0.0	0.0	          	
      41	00674	109.39572582	+37.757595904	 0.57400	3.0	0.5	          	[TSB2015] GLASS MACS0717-00674
      42	00680	109.37760248	+37.757223433	        	0.0	0.0	          	
      43	00682	109.41476188	+37.757313623	        	0.0	0.0	          	
      44	00697	109.40031741	+37.755031669	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00697
      45	00698	109.40063804	+37.754667889	        	0.0	0.0	          	
      46	00702	109.41300189	+37.757055115	 0.95000	3.0	1.0	          	[TSB2015] GLASS MACS0717-00702
      47	91715	109.39262211	+37.757907906	 1.35900	2.0	1.0	          	[TSB2015] GLASS MACS0717-91715
      48	00754	109.39399092	+37.755644706	        	0.0	0.0	          	
      49	00790	109.40450613	+37.756178821	 1.11900	2.0	1.0	          	[TSB2015] GLASS MACS0717-00790
      50	92099	109.38622806	+37.755585708	 0.82500	2.0	0.5	          	[TSB2015] GLASS MACS0717-92099
      51	00821	109.38613909	+37.755000262	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00821
      52	00823	109.38627448	+37.754725469	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00823
      53	00846	109.38360594	+37.755075190	 0.53950	2.5	0.0	          	[TSB2015] GLASS MACS0717-00846
      54	00850	109.40350959	+37.748329965	        	0.0	0.0	          	
      55	00896	109.37979016	+37.754372861	 0.73200	1.0	0.5	          	
      56	00902	109.38512517	+37.751816730	 1.71000	3.0	0.0	image 12.1	[TSB2015] GLASS MACS0717-00902
      57	00918	109.41070217	+37.753875760	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00918
      58	00923	109.40716028	+37.753834592	 1.85500	4.0	0.0	image  3.3	[TSB2015] GLASS MACS0717-00923
      59	00950	109.38969766	+37.755482880	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00950
      60	00977	109.41193229	+37.755555294	 0.56700	3.5	0.5	          	[TSB2015] GLASS MACS0717-00977
      61	91453	109.40759101	+37.751989830	 1.89000	2.0	1.0	          	[TSB2015] GLASS MACS0717-91453
      62	00987	109.40791249	+37.752732350	        	0.0	0.0	          	
      63	00998	109.40893004	+37.753031925	        	0.0	0.0	          	
      64	01002	109.36955824	+37.752739470	 0.64500	2.0	1.0	          	[TSB2015] GLASS MACS0717-01002
      65	01007	109.38880531	+37.752159290	 1.85300	3.5	0.0	image 14.1	[TSB2015] GLASS MACS0717-01007
      66	01009	109.38923300	+37.751423240	        	0.0	0.0	          	
      67	01029	109.37939637	+37.748975863	 1.27000	2.0	1.0	          	[TSB2015] GLASS MACS0717-01029
      68	01031	109.37782372	+37.753222815	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01031
      69	01036	109.36514250	+37.751562267	        	0.0	0.0	          	
      70	01060	109.38545361	+37.753125767	 1.44650	2.0	1.0	          	[TSB2015] GLASS MACS0717-01060
      71	01070	109.39571368	+37.752391145	 0.78000	1.0	0.5	          	
      72	01104	109.39021573	+37.752722259	 1.85500	2.0	1.0	          	[TSB2015] GLASS MACS0717-01104
      73	01126	109.36254970	+37.751185199	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01126
      74	01127	109.38414336	+37.751504012	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01127
      75	01131	109.38109741	+37.750439838	 1.85500	4.0	0.0	image  4.1	[TSB2015] GLASS MACS0717-01131
      76	91436	109.38090223	+37.750157473	 1.85550	4.0	0.0	          	[TSB2015] GLASS MACS0717-91436
      77	01137	109.38563826	+37.750687536	 2.54000	4.0	1.0	image 13.1	[TSB2015] GLASS MACS0717-01137
      78	01145	109.39162904	+37.750260706	        	0.0	0.0	          	
      79	01159	109.40463425	+37.746857225	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01159
      80	01208	109.38660387	+37.744796819	 0.55850	4.0	0.0	          	[TSB2015] GLASS MACS0717-01208
      81	01209	109.38653719	+37.744475875	 0.98050	2.0	1.0	          	[TSB2015] GLASS MACS0717-01209
      82	01212	109.38516605	+37.744394489	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01212
      83	01217	109.38310535	+37.747160149	        	0.0	0.0	          	
      84	01218	109.38461492	+37.742694883	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01218
      85	01219	109.38557616	+37.742423390	 0.49100	1.5	0.0	          	
      86	01221	109.38549712	+37.743019760	        	0.0	0.0	          	
      87	01234	109.40651632	+37.752583788	 0.22950	4.0	0.0	          	[TSB2015] GLASS MACS0717-01234
      88	01236	109.40264269	+37.751721370	 1.12900	4.0	0.0	          	[TSB2015] GLASS MACS0717-01236
      89	01253	109.38947494	+37.749155658	 0.61000	1.0	0.5	          	
      90	01254	109.39652480	+37.749523029	 1.29900	2.0	1.0	          	[TSB2015] GLASS MACS0717-01254
      91	01266	109.36779243	+37.748931288	 1.09800	1.0	1.0	          	
      92	90828	109.39882284	+37.743717046	 0.66100	2.0	0.0	          	[TSB2015] GLASS MACS0717-90828
      93	01303	109.39871229	+37.747180123	        	0.0	0.0	          	
      94	01305	109.39810217	+37.744944878	 0.52850	3.5	0.0	          	[TSB2015] GLASS MACS0717-01305
      95	01306	109.39930049	+37.745299974	        	0.0	0.0	          	
      96	01314	109.40435233	+37.750478120	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01314
      97	01318	109.38422665	+37.746033368	        	0.0	0.0	          	
      98	01330	109.36983296	+37.748148635	 1.08200	3.0	1.0	          	[TSB2015] GLASS MACS0717-01330
      99	01334	109.41150284	+37.747915805	 1.44600	3.0	0.0	          	[TSB2015] GLASS MACS0717-01334
     100	01335	109.41140058	+37.747614738	 2.23500	3.0	1.0	          	[TSB2015] GLASS MACS0717-01335
     101	01381	109.40584932	+37.751675948	        	0.0	0.0	          	
     102	91567	109.40521372	+37.752071025	 0.73450	2.5	0.5	          	[TSB2015] GLASS MACS0717-91567
     103	01402	109.37990296	+37.746847874	 0.92800	4.0	0.0	image  5.1	[TSB2015] GLASS MACS0717-01402
     104	01412	109.41441021	+37.747471682	 0.00000	3.0	0.0	star      	[TSB2015] GLASS MACS0717-01412
     105	01416	109.41548550	+37.747410327	 0.50950	3.5	0.0	          	[TSB2015] GLASS MACS0717-01416
     106	01456	109.41417013	+37.747061264	 0.57600	2.0	0.5	          	[TSB2015] GLASS MACS0717-01456
     107	01469	109.37303532	+37.745541752	 0.92050	2.0	0.5	          	[TSB2015] GLASS MACS0717-01469
     108	01471	109.37337688	+37.745575048	 1.38950	2.5	0.5	          	[TSB2015] GLASS MACS0717-01471
     109	01474	109.37399724	+37.746691329	 1.19200	3.0	0.0	          	[TSB2015] GLASS MACS0717-01474
     110	01475	109.37389151	+37.746463141	 0.41000	3.0	1.0	          	[TSB2015] GLASS MACS0717-01475
     111	01477	109.37393416	+37.746152213	 0.45000	3.0	0.0	          	[TSB2015] GLASS MACS0717-01477
     112	01494	109.40833067	+37.746470745	 0.61600	2.0	0.0	          	[TSB2015] GLASS MACS0717-01494
     113	01495	109.40790576	+37.746184230	        	0.0	0.0	          	
     114	01516	109.39200320	+37.745861518	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01516
     115	01540	109.38062157	+37.745527583	 1.11450	4.0	0.0	          	[TSB2015] GLASS MACS0717-01540
     116	01554	109.37967676	+37.745996548	 0.98700	1.0	0.0	          	
     117	01560	109.38574070	+37.745403993	        	0.0	0.0	          	
     118	01561	109.38580643	+37.744350373	 0.53100	1.0	1.0	          	
     119	01564	109.37769754	+37.745260349	 1.01400	2.5	0.5	          	[TSB2015] GLASS MACS0717-01564
     120	01567	109.38031681	+37.744679815	 1.17800	1.0	0.0	image 25.1	
     121	90950	109.38058683	+37.744365922	 1.26000	1.5	0.0	          	
     122	01588	109.37909753	+37.745315521	 1.36400	3.0	1.0	          	[TSB2015] GLASS MACS0717-01588
     123	01589	109.38470125	+37.743775057	 0.38500	3.0	0.0	          	[TSB2015] GLASS MACS0717-01589
     124	01592	109.38851344	+37.741125614	        	0.0	0.0	          	
     125	01599	109.38949522	+37.745102515	 0.75200	2.0	1.0	          	[TSB2015] GLASS MACS0717-01599
     126	01609	109.38008514	+37.745069352	 1.11300	4.0	0.0	          	[TSB2015] GLASS MACS0717-01609
     127	01634	109.41080962	+37.744467504	 1.18800	2.0	0.0	          	[TSB2015] GLASS MACS0717-01634
     128	01635	109.41067802	+37.744120854	 1.12900	2.5	0.5	          	[TSB2015] GLASS MACS0717-01635
     129	01636	109.37633775	+37.744600920	 1.85500	4.0	0.0	image  4.2	[TSB2015] GLASS MACS0717-01636
     130	01649	109.37090883	+37.744480955	 0.69350	2.0	1.0	          	[TSB2015] GLASS MACS0717-01649
     131	01651	109.41245912	+37.744271470	 0.62450	2.0	0.5	          	[TSB2015] GLASS MACS0717-01651
     132	01667	109.39002313	+37.743999671	 0.34000	2.0	0.0	          	[TSB2015] GLASS MACS0717-01667
     133	01676	109.40318462	+37.743785896	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01676
     134	01677	109.40249718	+37.743542166	        	0.0	0.0	          	
     135	01681	109.36980353	+37.745226464	 0.89650	4.0	0.0	          	[TSB2015] GLASS MACS0717-01681
     136	01685	109.37811904	+37.743953782	 0.95600	1.0	0.5	          	
     137	01690	109.37760875	+37.742895053	 1.71000	2.5	0.0	image 12.2	[TSB2015] GLASS MACS0717-01690
     138	01729	109.39011496	+37.743329473	 0.69900	4.0	0.0	          	[TSB2015] GLASS MACS0717-01729
     139	01733	109.41266196	+37.742824077	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01733
     140	01734	109.41323752	+37.743208563	        	0.0	0.0	          	
     141	01747	109.41428731	+37.743097454	 0.54000	2.0	1.0	          	[TSB2015] GLASS MACS0717-01747
     142	01750	109.41469156	+37.742748522	 1.01200	2.5	0.5	          	[TSB2015] GLASS MACS0717-01750
     143	01760	109.39351727	+37.742354698	 1.13550	3.0	1.0	          	[TSB2015] GLASS MACS0717-01760
     144	01761	109.39371967	+37.742233782	 1.12900	2.0	0.5	          	[TSB2015] GLASS MACS0717-01761
     145	01778	109.39933048	+37.740347162	 2.18000	3.0	0.0	          	[TSB2015] GLASS MACS0717-01778
     146	01779	109.39906365	+37.740125350	        	0.0	0.0	          	
     147	01780	109.40501109	+37.742733966	        	0.0	0.0	          	
     148	01785	109.40504546	+37.739713047	        	0.0	0.0	          	
     149	90657	109.38330213	+37.742939594	 1.25500	1.0	0.0	          	
     150	01795	109.39781907	+37.743494355	        	0.0	0.0	          	
     151	01799	109.41105422	+37.742824436	 0.75000	1.0	0.0	          	
     152	01823	109.38079988	+37.743416781	 1.43450	2.0	0.5	          	[TSB2015] GLASS MACS0717-01823
     153	01828	109.41403132	+37.742188673	 1.47100	3.5	0.0	          	[TSB2015] GLASS MACS0717-01828
     154	90817	109.41400945	+37.742322432	 1.47400	4.0	0.0	          	[TSB2015] GLASS MACS0717-90817
     155	01840	109.39443194	+37.740917021	        	0.0	0.0	          	
     156	01842	109.39502817	+37.741717895	        	0.0	0.0	          	
     157	01848	109.37249680	+37.741832883	 1.24000	2.0	1.0	          	[TSB2015] GLASS MACS0717-01848
     158	01886	109.41809504	+37.741627193	 1.79000	3.0	0.0	          	[TSB2015] GLASS MACS0717-01886
     159	01889	109.41105433	+37.740901992	 1.35000	2.0	0.0	          	[TSB2015] GLASS MACS0717-01889
     160	01890	109.40983723	+37.741258160	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01890
     161	01891	109.41008006	+37.741169950	        	0.0	0.0	          	
     162	01897	109.39854507	+37.741494278	 1.85500	4.0	0.0	image  3.1	[TSB2015] GLASS MACS0717-01897
     163	01903	109.40594081	+37.739225438	        	0.0	0.0	          	
     164	01906	109.37607135	+37.741502953	 0.85200	1.5	0.5	          	
     165	01944	109.38571453	+37.740465514	        	0.0	0.0	          	
     166	01952	109.38508334	+37.740004628	        	0.0	0.0	          	
     167	01963	109.38415933	+37.739405282	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-01963
     168	01973	109.39381652	+37.740088221	 1.62000	1.0	1.0	          	
     169	01976	109.41346249	+37.740001918	 1.60700	2.0	0.0	          	[TSB2015] GLASS MACS0717-01976
     170	01986	109.38929125	+37.740378232	 1.21250	2.0	1.0	          	[TSB2015] GLASS MACS0717-01986
     171	01990	109.37966043	+37.739710544	 1.84700	4.0	0.0	image 14.2	[TSB2015] GLASS MACS0717-01990
     172	02037	109.38966223	+37.738595250	        	0.0	0.0	          	
     173	02043	109.39445641	+37.739170552	 1.85700	4.0	0.0	image  3.2	[TSB2015] GLASS MACS0717-02043
     174	02046	109.39518645	+37.739082549	 0.54850	3.5	0.5	          	[TSB2015] GLASS MACS0717-02046
     175	02050	109.39343827	+37.737466717	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-02050
     176	02064	109.41301847	+37.738457929	 2.07850	3.5	0.0	          	[TSB2015] GLASS MACS0717-02064
     177	02086	109.38336169	+37.739822363	        	0.0	0.0	          	
     178	02113	109.37950018	+37.738196582	 1.76300	2.0	1.0	          	[TSB2015] GLASS MACS0717-02113
     179	02137	109.38851866	+37.737684383	        	0.0	0.0	          	
     180	02150	109.40982734	+37.736442216	 1.46700	4.0	0.5	          	[TSB2015] GLASS MACS0717-02150
     181	02175	109.38606160	+37.735851878	 1.12000	3.5	0.0	          	[TSB2015] GLASS MACS0717-02175
     182	02181	109.38129415	+37.736950830	 0.56400	2.5	0.5	          	[TSB2015] GLASS MACS0717-02181
     183	02184	109.38743371	+37.734863359	        	0.0	0.0	          	
     184	02186	109.39141913	+37.736428742	 0.75000	2.0	0.0	          	[TSB2015] GLASS MACS0717-02186
     185	02189	109.39064894	+37.735669365	 0.52750	4.0	0.0	          	[TSB2015] GLASS MACS0717-02189
     186	02190	109.38856520	+37.735193589	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-02190
     187	02195	109.37997259	+37.736672130	 1.22150	3.0	0.0	          	[TSB2015] GLASS MACS0717-02195
     188	02222	109.40159387	+37.736333509	 0.00000	3.0	0.0	star      	[TSB2015] GLASS MACS0717-02222
     189	02227	109.38276910	+37.733149386	 0.53150	2.0	0.0	          	[TSB2015] GLASS MACS0717-02227
     190	02228	109.38144983	+37.735425043	        	0.0	0.0	          	
     191	02230	109.39728982	+37.735980033	 0.55300	4.0	0.0	          	[TSB2015] GLASS MACS0717-02230
     192	02233	109.37460997	+37.736109998	        	0.0	0.0	          	
     193	02255	109.38325713	+37.734389450	 0.77000	2.0	1.0	          	[TSB2015] GLASS MACS0717-02255
     194	90378	109.39297587	+37.738647489	 1.74000	2.0	0.0	image 29.2	[TSB2015] GLASS MACS0717-90378
     195	02257	109.39319526	+37.737946700	        	0.0	0.0	          	
     196	02266	109.39291817	+37.735213842	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-02266
     197	02268	109.37838503	+37.735162092	 0.49500	2.0	1.0	          	[TSB2015] GLASS MACS0717-02268
     198	02269	109.37816811	+37.735470787	 0.45800	2.0	1.0	          	[TSB2015] GLASS MACS0717-02269
     199	02270	109.37838081	+37.735385253	 0.96300	1.0	0.5	          	
     200	02271	109.38457805	+37.735249348	 0.92350	4.0	0.0	          	[TSB2015] GLASS MACS0717-02271
     201	02278	109.40048212	+37.734735154	 0.00000	3.0	0.0	star      	[TSB2015] GLASS MACS0717-02278
     202	02279	109.40173041	+37.734903814	        	0.0	0.0	          	
     203	02280	109.40185857	+37.734056773	        	0.0	0.0	          	
     204	02289	109.38979088	+37.734915649	 1.14300	1.5	0.5	          	
     205	02295	109.37862911	+37.734500560	 2.11300	2.0	0.0	          	[TSB2015] GLASS MACS0717-02295
     206	02297	109.37572446	+37.734465046	 0.54850	3.5	0.0	          	[TSB2015] GLASS MACS0717-02297
     207	02300	109.39004454	+37.735447938	        	0.0	0.0	          	
     208	02302	109.39039537	+37.735755034	        	0.0	0.0	          	
     209	90293	109.39536225	+37.735087674	 0.89700	2.0	0.0	          	[TSB2015] GLASS MACS0717-90293
     210	02306	109.40642863	+37.734082853	        	0.0	0.0	          	
     211	02309	109.39304478	+37.734207767	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-02309
     212	02327	109.38031820	+37.733705527	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-02327
     213	02330	109.38636838	+37.731579352	 0.62850	2.0	0.5	          	[TSB2015] GLASS MACS0717-02330
     214	02332	109.38509624	+37.732376034	 0.99000	4.0	0.0	          	[TSB2015] GLASS MACS0717-02332
     215	02334	109.38477687	+37.733158570	 0.53400	3.0	0.0	          	[TSB2015] GLASS MACS0717-02334
     216	02335	109.38454594	+37.733260410	 0.72900	2.0	0.0	          	[TSB2015] GLASS MACS0717-02335
     217	02340	109.39767684	+37.733188388	        	0.0	0.0	          	
     218	02371	109.38313155	+37.733783012	 0.26300	3.0	1.0	          	[TSB2015] GLASS MACS0717-02371
     219	02375	109.40567178	+37.732848917	        	0.0	0.0	          	
     220	02376	109.40552004	+37.732786158	        	0.0	0.0	          	
     221	02385	109.39539217	+37.732455154	 0.47000	2.0	1.0	          	[TSB2015] GLASS MACS0717-02385
     222	02388	109.39363742	+37.730773824	        	0.0	0.0	          	
     223	02389	109.39516144	+37.731574345	        	0.0	0.0	          	
     224	90090	109.39429964	+37.731623378	 0.47300	3.0	1.0	          	[TSB2015] GLASS MACS0717-90090
     225	02402	109.38876595	+37.731792567	        	0.0	0.0	          	
     226	02408	109.39787780	+37.732715337	        	0.0	0.0	          	
     227	02420	109.40547474	+37.734821500	        	0.0	0.0	          	
     228	02432	109.38104340	+37.730730622	 0.54800	2.0	0.0	          	[TSB2015] GLASS MACS0717-02432
     229	02440	109.39108668	+37.731945499	 0.49500	2.0	1.0	          	[TSB2015] GLASS MACS0717-02440
     230	02445	109.38490951	+37.730808710	 0.49000	3.0	0.5	          	[TSB2015] GLASS MACS0717-02445
     231	02452	109.39157830	+37.730906845	 1.81500	3.0	0.0	          	[TSB2015] GLASS MACS0717-02452
     232	02472	109.37957093	+37.729844870	        	0.0	0.0	          	
     233	90082	109.39780260	+37.730023607	 0.47000	2.0	0.0	image 55.2	[TSB2015] GLASS MACS0717-90082
     234	02491	109.39477810	+37.729495825	        	0.0	0.0	          	
     235	02492	109.39435665	+37.729309447	        	0.0	0.0	          	
