#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:34:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:34:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/211/21/zspec&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22110021
#Name: J/ApJS/211/21
#Title: Spectroscopic redshifts of galaxies in MACS (Ebeling+, 2014)
#INFO	ivoid=ivo://cds.vizier/j/apjs/211/21	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/211/21	    IVOID of underlying data collection
#INFO	creator=Ebeling H.	    First author or institution
#INFO	cites=bibcode:2014ApJS..211...21E	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/211/21	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22110021	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-07-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_211_21_zspec:
#Name: J/ApJS/211/21/zspec
#Title: Combined table from original tables
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MACSg	(A19)	Galaxy identifier (JHHMMSS.ss+DDMMSS.s) <MACSg JHHHMMSS.ss+DDMMSS.s> in Simbad	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascention in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	e_z	(F7.4)	Uncertainty in z	[ucd=stat.error;src.redshift]
#Column	EmLT	(A3)	Spectral type (1)	[ucd=src.spType]
#Column	Inst	(A1)	Instrument (2)	[ucd=meta.id;instr]
#Column	CXO	(A3)	X-ray counterpart flag (XPS = Chandra X-ray point source)	[ucd=meta.code]
#Column	MACS	(A12)	Massive galaxy cluster name (<MCS JHHMM.m+DDMM> in SIMBAD)	[ucd=obs.field]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	MACSg	RAJ2000	DEJ2000	z	e_z	EmLT	Inst	CXO	MACS	Simbad
      28	J041606.67-240229.9	064.027802	-24.041647	 0.3974	 0.0010	A  	 	   	J0416.1-2403	Simbad
      29	J041607.09-240500.6	064.029549	-24.083506	 0.3970	 0.0003	A  	 	   	J0416.1-2403	Simbad
      30	J041607.62-240439.5	064.031761	-24.077639	 0.3963	 0.0003	A  	 	   	J0416.1-2403	Simbad
      31	J041608.05-240632.6	064.033562	-24.109066	 0.3988	 0.0003	A  	 	   	J0416.1-2403	Simbad
      32	J041608.28-240418.5	064.034485	-24.071817	 0.4008	 0.0005	A  	 	   	J0416.1-2403	Simbad
      33	J041609.10-240403.8	064.037910	-24.067717	 0.4002	 0.0003	A  	 	   	J0416.1-2403	Simbad
      34	J041609.57-240358.0	064.039864	-24.066126	 0.3950	 0.0003	A  	 	   	J0416.1-2403	Simbad
      35	J041609.75-240800.1	064.040619	-24.133347	 0.3430	 0.0003	A  	 	   	J0416.1-2403	Simbad
      36	J041609.85-240154.1	064.041046	-24.031696	 0.4004	 0.0010	A  	 	   	J0416.1-2403	Simbad
      37	J041610.15-240410.3	064.042274	-24.069517	 0.3996	 0.0003	A  	 	   	J0416.1-2403	Simbad
      38	J041610.72-240425.5	064.044655	-24.073748	 0.4031	 0.0010	A  	 	   	J0416.1-2403	Simbad
      39	J041611.92-240606.5	064.049667	-24.101814	 0.3926	 0.0003	A  	 	   	J0416.1-2403	Simbad
      40	J041612.16-240245.8	064.050652	-24.046053	 0.3865	 0.0003	A  	 	   	J0416.1-2403	Simbad
      41	J041613.62-240306.7	064.056763	-24.051849	 0.3923	 0.0003	A  	 	   	J0416.1-2403	Simbad
      42	J041613.89-240453.2	064.057869	-24.081430	 0.3533	 0.0003	E  	 	   	J0416.1-2403	Simbad
      43	J041614.50-240212.1	064.060402	-24.036692	 0.4020	 0.0010	A  	 	   	J0416.1-2403	Simbad
      44	J041614.74-240451.9	064.061424	-24.081091	 0.3118	 0.0003	A  	 	   	J0416.1-2403	Simbad
      45	J041614.82-240722.7	064.061752	-24.122969	 0.3947	 0.0005	A  	 	   	J0416.1-2403	Simbad
      46	J041615.74-240324.7	064.065582	-24.056871	 0.3121	 0.0003	A  	 	   	J0416.1-2403	Simbad
      47	J041616.00-240101.4	064.066681	-24.017044	 0.2754	 0.0005	A  	 	   	J0416.1-2403	Simbad
      48	J041617.33-240323.0	064.072220	-24.056387	 0.4058	 0.0010	A  	 	   	J0416.1-2403	Simbad
      49	J041618.47-240101.7	064.076942	-24.017134	 0.3896	 0.0010	A  	 	   	J0416.1-2403	Simbad
      50	J041618.57-240605.8	064.077370	-24.101603	 0.3574	 0.0003	A  	 	   	J0416.1-2403	Simbad
      51	J041618.61-240309.5	064.077530	-24.052631	 0.3897	 0.0003	A  	 	   	J0416.1-2403	Simbad
      52	J041618.93-240522.6	064.078880	-24.089603	 0.2806	 0.0003	A  	 	   	J0416.1-2403	Simbad
      53	J041619.68-240302.8	064.082001	-24.050776	 0.4000	 0.0003	A  	 	   	J0416.1-2403	Simbad
      54	J041619.90-240114.1	064.082909	-24.020586	 0.4004	 0.0010	A  	 	   	J0416.1-2403	Simbad
      55	J041620.61-240511.8	064.085861	-24.086599	 0.3991	 0.0005	A  	 	   	J0416.1-2403	Simbad
      56	J041620.79-240238.0	064.086617	-24.043892	 0.3918	 0.0005	A  	 	   	J0416.1-2403	Simbad
      57	J041621.48-240404.3	064.089478	-24.067869	 0.3984	 0.0003	A  	 	   	J0416.1-2403	Simbad
      58	J041622.19-240224.8	064.092445	-24.040228	 0.3890	 0.0003	A  	 	   	J0416.1-2403	Simbad
      59	J041622.92-240514.3	064.095512	-24.087299	 0.3972	 0.0003	A  	 	   	J0416.1-2403	Simbad
      60	J041623.10-240137.7	064.096245	-24.027149	 0.3898	 0.0010	E  	 	   	J0416.1-2403	Simbad
      61	J041624.38-240150.1	064.101585	-24.030592	 0.4012	 0.0010	A  	 	   	J0416.1-2403	Simbad
      62	J041625.01-240601.7	064.104195	-24.100464	 0.3960	 0.0003	A  	 	   	J0416.1-2403	Simbad
      63	J041625.13-240252.3	064.104713	-24.047850	 0.3981	 0.0003	A  	 	   	J0416.1-2403	Simbad
      64	J041626.26-240648.3	064.109436	-24.113405	 0.4123	 0.0005	A  	 	   	J0416.1-2403	Simbad
      65	J041549.35-240512.6	064.117012	-24.078077	 0.4003	 0.0003	A  	 	   	J0416.1-2403	Simbad
      66	J071639.04+374808.3	109.162666	+37.802311	 0.3498	 0.0003	A  	D	   	J0717.5+3745	Simbad
      67	J071641.52+374855.3	109.172997	+37.815361	 0.8555	 0.0003	A  	D	   	J0717.5+3745	Simbad
      68	J071642.04+374852.6	109.175163	+37.814610	 0.3349	 0.0003	A  	D	   	J0717.5+3745	Simbad
      69	J071644.13+374601.5	109.183876	+37.767078	 0.3349	 0.0003	A  	D	   	J0717.5+3745	Simbad
      70	J071644.50+374921.0	109.185417	+37.822498	 0.3351	 0.0003	E  	D	   	J0717.5+3745	Simbad
      71	J071644.58+374542.2	109.185753	+37.761719	 0.2603	 0.0003	A  	D	   	J0717.5+3745	Simbad
      72	J071644.81+374734.5	109.186707	+37.792919	 0.4610	 0.0003	A  	D	   	J0717.5+3745	Simbad
      73	J071644.93+374900.8	109.187210	+37.816891	 0.3358	 0.0003	E+A	D	   	J0717.5+3745	Simbad
      74	J071645.64+374123.5	109.190170	+37.689861	 0.5426	 0.0003	A  	D	   	J0717.5+3745	Simbad
      75	J071645.96+374622.3	109.191498	+37.772861	 0.6130	 0.0003	E  	D	   	J0717.5+3745	Simbad
      76	J071647.05+374008.1	109.196045	+37.668911	 0.5382	 0.0003	E  	D	   	J0717.5+3745	Simbad
      77	J071647.34+374107.7	109.197250	+37.685471	 0.5436	 0.0003	A  	D	   	J0717.5+3745	Simbad
      78	J071647.59+374007.7	109.198288	+37.668800	 0.3665	 0.0003	E  	D	   	J0717.5+3745	Simbad
      79	J071647.91+374652.6	109.199623	+37.781281	 0.4611	 0.0003	E  	D	   	J0717.5+3745	Simbad
      80	J071648.22+374540.5	109.200920	+37.761250	 0.4023	 0.0003	E  	D	   	J0717.5+3745	Simbad
      81	J071649.25+375121.7	109.205208	+37.856030	 0.5137	 0.0005	E  	D	   	J0717.5+3745	Simbad
      82	J071649.35+374018.2	109.205627	+37.671719	 0.5433	 0.0003	A  	D	   	J0717.5+3745	Simbad
      83	J071649.45+374544.4	109.206039	+37.762329	 0.5150	 0.0003	E  	D	   	J0717.5+3745	Simbad
      84	J071650.86+374618.5	109.211914	+37.771801	 0.3352	 0.0005	E  	D	   	J0717.5+3745	Simbad
      85	J071651.01+374206.9	109.212540	+37.701920	 0.3343	 0.0003	A  	D	   	J0717.5+3745	Simbad
      86	J071651.24+375102.1	109.213493	+37.850578	 0.7245	 0.0010	E  	D	   	J0717.5+3745	Simbad
      87	J071651.40+375235.1	109.214165	+37.876419	 0.4200	 0.0005	E  	D	   	J0717.5+3745	Simbad
      88	J071652.54+374125.5	109.218918	+37.690418	 0.3479	 0.0003	A  	D	   	J0717.5+3745	Simbad
      89	J071652.98+374713.2	109.220749	+37.786999	 0.5161	 0.0003	E  	D	   	J0717.5+3745	Simbad
      90	J071653.50+374704.1	109.222916	+37.784470	 0.5152	 0.0003	E  	D	   	J0717.5+3745	Simbad
      91	J071654.07+374152.3	109.225288	+37.697861	 0.3462	 0.0003	A  	D	   	J0717.5+3745	Simbad
      92	J071654.29+374603.6	109.226212	+37.767670	 0.2606	 0.0003	A  	D	   	J0717.5+3745	Simbad
      93	J071654.89+374707.4	109.228706	+37.785389	 0.3398	 0.0003	E  	D	   	J0717.5+3745	Simbad
      94	J071655.04+374200.2	109.229332	+37.700050	 0.5468	 0.0003	E  	D	   	J0717.5+3745	Simbad
      95	J071655.34+374027.2	109.230583	+37.674221	 0.4903	 0.0010	E  	D	   	J0717.5+3745	Simbad
      96	J071655.52+374129.2	109.231331	+37.691441	 0.2399	 0.0005	E  	D	   	J0717.5+3745	Simbad
      97	J071657.21+374006.5	109.238373	+37.668468	 0.3451	 0.0003	A  	D	   	J0717.5+3745	Simbad
      98	J071657.36+374140.9	109.238998	+37.694691	 0.3189	 0.0003	E  	D	   	J0717.5+3745	Simbad
      99	J071657.89+373935.2	109.241211	+37.659779	 0.2634	 0.0010	E  	D	   	J0717.5+3745	Simbad
     100	J071657.95+374601.5	109.241455	+37.767078	 0.4192	 0.0003	E  	D	   	J0717.5+3745	Simbad
     101	J071658.04+374836.1	109.241837	+37.810032	 0.6104	 0.0003	A  	D	   	J0717.5+3745	Simbad
     102	J071658.35+374523.3	109.243126	+37.756470	 0.4193	 0.0003	A  	D	   	J0717.5+3745	Simbad
     103	J071658.81+375202.3	109.245041	+37.867310	 0.8102	 0.0010	E  	D	   	J0717.5+3745	Simbad
     104	J071658.86+374150.0	109.245247	+37.697220	 0.3458	 0.0003	A  	D	   	J0717.5+3745	Simbad
     105	J071659.13+375416.7	109.246376	+37.904640	 0.4177	 0.0003	A  	D	   	J0717.5+3745	Simbad
     106	J071659.34+374120.3	109.247253	+37.688969	 0.3454	 0.0003	A  	D	   	J0717.5+3745	Simbad
     107	J071700.08+374715.3	109.250336	+37.787579	 0.5412	 0.0003	A  	D	   	J0717.5+3745	Simbad
     108	J071700.25+374822.2	109.251045	+37.806171	 0.4207	 0.0003	E  	D	   	J0717.5+3745	Simbad
     109	J071700.47+375416.9	109.251961	+37.904690	 0.7142	 0.0003	E  	D	   	J0717.5+3745	Simbad
     110	J071701.83+374053.9	109.257622	+37.681641	 0.7182	 0.0003	E  	D	   	J0717.5+3745	Simbad
     111	J071701.88+375218.4	109.257835	+37.871780	 0.5543	 0.0010	E  	D	   	J0717.5+3745	Simbad
     112	J071702.69+374257.2	109.261208	+37.715889	 0.3472	 0.0003	A  	D	   	J0717.5+3745	Simbad
     113	J071702.90+373752.6	109.262085	+37.631279	 0.6953	 0.0010	E  	D	   	J0717.5+3745	Simbad
     114	J071702.98+373722.9	109.262413	+37.623039	 0.4597	 0.0003	E  	D	   	J0717.5+3745	Simbad
     115	J071702.98+374228.0	109.262413	+37.707779	 0.3500	 0.0003	A  	D	   	J0717.5+3745	Simbad
     116	J071703.19+374709.8	109.263290	+37.786060	 0.5525	 0.0003	A  	D	   	J0717.5+3745	Simbad
     117	J071703.61+373634.5	109.265045	+37.609581	 0.3879	 0.0003	A  	D	   	J0717.5+3745	Simbad
     118	J071703.65+374154.9	109.265205	+37.698582	 0.3539	 0.0003	E  	D	   	J0717.5+3745	Simbad
     119	J071703.97+373623.1	109.266541	+37.606411	 0.4977	 0.0003	E  	D	   	J0717.5+3745	Simbad
     120	J071704.32+374659.5	109.267998	+37.783199	 0.5512	 0.0005	A  	D	   	J0717.5+3745	Simbad
     121	J071704.34+374929.4	109.268082	+37.824829	 0.4936	 0.0003	A  	D	   	J0717.5+3745	Simbad
     122	J071704.56+373812.8	109.268997	+37.636890	 0.6751	 0.0010	E  	D	   	J0717.5+3745	Simbad
     123	J071704.64+373742.9	109.269333	+37.628578	 0.4605	 0.0005	E  	D	   	J0717.5+3745	Simbad
     124	J071704.65+373628.5	109.269379	+37.607922	 0.4310	 0.0003	A  	D	   	J0717.5+3745	Simbad
     125	J071705.50+373550.0	109.272919	+37.597221	 0.4314	 0.0005	E  	D	   	J0717.5+3745	Simbad
     126	J071706.32+374251.0	109.276337	+37.714169	 0.3506	 0.0003	A  	D	   	J0717.5+3745	Simbad
     127	J071706.54+374347.8	109.277252	+37.729950	 0.4214	 0.0003	A  	D	   	J0717.5+3745	Simbad
     128	J071706.96+373949.2	109.278999	+37.663670	 0.5407	 0.0003	E  	D	   	J0717.5+3745	Simbad
     129	J071707.07+373632.9	109.279457	+37.609138	 0.3395	 0.0003	A  	D	   	J0717.5+3745	Simbad
     130	J071707.19+374036.9	109.279961	+37.676922	 0.3840	 0.0005	E  	D	   	J0717.5+3745	Simbad
     131	J071707.23+373421.4	109.280128	+37.572609	 0.5433	 0.0003	A  	D	   	J0717.5+3745	Simbad
     132	J071707.68+375303.3	109.281998	+37.884251	 0.7235	 0.0003	E  	D	   	J0717.5+3745	Simbad
     133	J071707.73+373554.0	109.282211	+37.598331	 0.3903	 0.0003	A  	D	   	J0717.5+3745	Simbad
     134	J071707.80+373535.6	109.282501	+37.593220	 0.7510	 0.0005	A  	D	   	J0717.5+3745	Simbad
     135	J071708.05+374323.1	109.283539	+37.723080	 0.7066	 0.0003	E  	D	   	J0717.5+3745	Simbad
     136	J071708.16+374732.1	109.283997	+37.792252	 0.7204	 0.0010	E  	D	   	J0717.5+3745	Simbad
     137	J071708.22+374000.6	109.284241	+37.666840	 0.4925	 0.0003	E  	D	   	J0717.5+3745	Simbad
     138	J071708.26+373721.0	109.284416	+37.622501	 0.5462	 0.0005	E  	D	   	J0717.5+3745	Simbad
     139	J071708.29+374558.0	109.284538	+37.766109	 0.5424	 0.0003	E  	D	   	J0717.5+3745	Simbad
     140	J071708.40+373407.7	109.285004	+37.568810	 0.4421	 0.0003	E  	D	   	J0717.5+3745	Simbad
     141	J071708.61+373601.2	109.285873	+37.600330	 0.5420	 0.0003	E  	D	   	J0717.5+3745	Simbad
     142	J071708.64+375242.5	109.286003	+37.878471	 0.6084	 0.0003	E  	D	   	J0717.5+3745	Simbad
     143	J071709.33+373415.1	109.288872	+37.570862	 0.5440	 0.0003	A  	D	   	J0717.5+3745	Simbad
     144	J071709.38+374710.0	109.289085	+37.786110	 0.7047	 0.0003	E  	D	   	J0717.5+3745	Simbad
     145	J071709.65+374111.1	109.290207	+37.686420	 0.3857	 0.0003	E  	D	   	J0717.5+3745	Simbad
     146	J071709.71+374312.2	109.290466	+37.720051	 0.6598	 0.0010	E  	D	   	J0717.5+3745	Simbad
     147	J071709.78+374153.1	109.290749	+37.698078	 0.3464	 0.0003	E  	D	   	J0717.5+3745	Simbad
     148	J071709.80+374721.4	109.290833	+37.789280	 0.6662	 0.0003	E  	D	   	J0717.5+3745	Simbad
     149	J071710.00+373437.5	109.291664	+37.577080	 0.5473	 0.0003	E  	D	   	J0717.5+3745	Simbad
     150	J071710.23+373708.0	109.292625	+37.618889	 0.8117	 0.0003	E  	D	   	J0717.5+3745	Simbad
     151	J071710.38+374035.8	109.293251	+37.676609	 0.3864	 0.0003	A  	D	   	J0717.5+3745	Simbad
     152	J071710.39+373621.4	109.293297	+37.605949	 2.0963	 0.0010	E  	D	   	J0717.5+3745	Simbad
     153	J071710.44+373802.5	109.293503	+37.634029	 0.3880	 0.0005	E  	D	   	J0717.5+3745	Simbad
     154	J071710.44+373928.3	109.293510	+37.657848	 0.3864	 0.0003	E  	D	   	J0717.5+3745	Simbad
     155	J071710.60+373555.8	109.294167	+37.598831	 0.3497	 0.0003	E  	D	   	J0717.5+3745	Simbad
     156	J071710.62+374209.7	109.294250	+37.702690	 0.3458	 0.0005	E  	D	   	J0717.5+3745	Simbad
     157	J071710.63+373827.6	109.294289	+37.640999	 0.3890	 0.0003	A  	D	   	J0717.5+3745	Simbad
     158	J071710.66+373859.5	109.294418	+37.649860	 0.3510	 0.0003	A  	D	   	J0717.5+3745	Simbad
     159	J071711.11+373907.8	109.296295	+37.652168	 0.4885	 0.0003	E  	D	   	J0717.5+3745	Simbad
     160	J071711.22+374439.6	109.296753	+37.744339	 0.5445	 0.0003	E  	D	   	J0717.5+3745	Simbad
     161	J071711.60+373513.8	109.298332	+37.587170	 0.6755	 0.0003	E  	D	   	J0717.5+3745	Simbad
     162	J071711.75+373808.9	109.298958	+37.635811	 0.3872	 0.0003	A  	D	   	J0717.5+3745	Simbad
     163	J071712.24+374249.1	109.301003	+37.713638	 0.5443	 0.0005	A  	D	   	J0717.5+3745	Simbad
     164	J071712.26+373522.8	109.301086	+37.589668	 0.5579	 0.0003	A  	D	   	J0717.5+3745	Simbad
     165	J071712.42+373352.0	109.301750	+37.564449	 0.5422	 0.0003	A  	D	   	J0717.5+3745	Simbad
     166	J071712.46+373810.4	109.301918	+37.636219	 0.3869	 0.0003	A  	D	   	J0717.5+3745	Simbad
     167	J071712.47+373815.8	109.301956	+37.637718	 0.6591	 0.0010	E  	D	   	J0717.5+3745	Simbad
     168	J071712.55+374701.3	109.302292	+37.783699	 0.5527	 0.0003	A  	D	   	J0717.5+3745	Simbad
     169	J071712.65+373745.4	109.302711	+37.629280	 0.3900	 0.0003	A  	D	   	J0717.5+3745	Simbad
     170	J071712.77+374626.3	109.303207	+37.773972	 0.4601	 0.0005	E  	D	   	J0717.5+3745	Simbad
     171	J071712.77+373823.6	109.303207	+37.639889	 0.3841	 0.0003	E  	D	   	J0717.5+3745	Simbad
     172	J071712.78+375327.3	109.303253	+37.890911	 0.5872	 0.0003	E  	D	   	J0717.5+3745	Simbad
     173	J071712.88+373439.5	109.303665	+37.577641	 0.5579	 0.0003	E  	D	   	J0717.5+3745	Simbad
     174	J071712.90+373829.0	109.303749	+37.641392	 0.4925	 0.0003	A  	D	   	J0717.5+3745	Simbad
     175	J071712.97+373828.9	109.304039	+37.641361	 0.4924	 0.0003	A  	D	   	J0717.5+3745	Simbad
     176	J071713.20+373809.1	109.305000	+37.635860	 0.3894	 0.0003	A  	D	   	J0717.5+3745	Simbad
     177	J071713.21+374031.1	109.305038	+37.675301	 0.4962	 0.0003	E  	D	   	J0717.5+3745	Simbad
     178	J071713.32+374725.9	109.305496	+37.790531	 0.5416	 0.0003	A  	D	   	J0717.5+3745	Simbad
     179	J071713.35+373640.8	109.305626	+37.611328	 0.7154	 0.0003	E  	D	   	J0717.5+3745	Simbad
     180	J071713.39+374144.6	109.305794	+37.695721	 0.6602	 0.0003	E  	D	   	J0717.5+3745	Simbad
     181	J071713.55+373836.4	109.306458	+37.643440	 0.3881	 0.0003	A  	D	   	J0717.5+3745	Simbad
     182	J071713.56+374840.3	109.306503	+37.811199	 0.6002	 0.0003	E  	D	   	J0717.5+3745	Simbad
     183	J071713.59+374443.2	109.306625	+37.745331	 0.4544	 0.0003	E  	D	   	J0717.5+3745	Simbad
     184	J071713.96+373709.5	109.308151	+37.619301	 0.2850	 0.0003	E  	D	   	J0717.5+3745	Simbad
     185	J071714.03+373615.6	109.308456	+37.604328	 0.3472	 0.0003	E  	D	   	J0717.5+3745	Simbad
     186	J071714.38+374434.8	109.309914	+37.743000	 1.0119	 0.0010	E  	D	   	J0717.5+3745	Simbad
     187	J071714.63+374115.9	109.310959	+37.687752	 0.6590	 0.0003	E  	D	   	J0717.5+3745	Simbad
     188	J071714.78+374512.3	109.311584	+37.753422	 0.3192	 0.0003	A  	D	   	J0717.5+3745	Simbad
     189	J071714.90+373546.8	109.312080	+37.596329	 0.4612	 0.0003	E  	D	   	J0717.5+3745	Simbad
     190	J071715.00+373816.7	109.312500	+37.637970	 0.4928	 0.0003	A  	D	   	J0717.5+3745	Simbad
     191	J071715.06+374509.5	109.312752	+37.752640	 0.5476	 0.0005	E  	D	   	J0717.5+3745	Simbad
