#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:30 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/477/648/tablea2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74770648
#Name: J/MNRAS/477/648
#Title: Abell S1063 and MACS J1149.5+2223 photometry (Tortorelli+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/477/648	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/477/648	    IVOID of underlying data collection
#INFO	creator=Tortorelli L.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.477..648T	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/477/648	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74770648	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_477_648_tablea2:
#Name: J/MNRAS/477/648/tablea2
#Title: *Photometric catalog (produced 2017-07-21) for MACSJ1149.5+2223 (z=0.542)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I2)	Object ID number within the table	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	F814Wmag	(F5.2)	F814W total magnitude (AB)	[ucd=phot.mag;em.opt.I]
#Column	e_F814Wmag	(F5.2)	1{sigma} standard deviation error on F814W total magnitude	[ucd=stat.error]
#Column	Re	(F5.2)	Circularized effective radius	[ucd=phys.size.radius]
#Column	e_Re	(F5.2)	1{sigma} standard deviation error on circularized effective radius	[ucd=stat.error]
#Column	mue	(F5.2)	Mean surface brightness within effective radius (1)	[ucd=phot.mag.sb]
#Column	e_mue	(F5.2)	1{sigma} standard deviation error on mean surface brightness within effective radius	[ucd=stat.error]
#Column	n	(F4.1)	Sersic index	[ucd=stat.fit.param]
#Column	e_n	(F4.1)	1{sigma} standard deviation error on Sersic index	[ucd=stat.error]
recno	ID	RAJ2000	DEJ2000	F814Wmag	e_F814Wmag	Re	e_Re	mue	e_mue	n	e_n
      26	26	177.39752	+22.39953	20.65	 0.10	 7.70	 1.20	21.23	 0.44	 6.8	 0.7
      27	27	177.39762	+22.40288	22.78	 0.07	 1.55	 0.18	19.87	 0.32	 2.2	 0.3
      28	28	177.39779	+22.39545	20.53	 0.06	 2.40	 0.51	18.57	 0.53	 3.5	 0.4
      29	29	177.39792	+22.40394	23.07	 0.07	 1.48	 0.19	20.07	 0.35	 1.6	 0.2
      30	30	177.39795	+22.40105	20.23	 0.06	 2.51	 0.37	18.38	 0.38	 4.4	 0.4
      31	31	177.39846	+22.40536	22.50	 0.06	 1.37	 0.15	19.32	 0.30	 2.7	 0.4
      32	32	177.39855	+22.38979	22.10	 0.03	 0.86	 0.06	17.91	 0.19	 1.6	 0.2
      33	33	177.39860	+22.39808	21.54	 0.08	 4.06	 0.53	20.73	 0.37	 7.1	 0.6
      34	34	177.39869	+22.39230	21.17	 0.03	 1.40	 0.15	18.05	 0.25	 3.1	 0.3
      35	35	177.39874	+22.39853	17.83	 0.10	35.60	 5.30	21.73	 0.42	 3.4	 0.2
      36	36	177.39886	+22.40181	21.62	 0.02	 1.24	 0.08	18.24	 0.16	 3.6	 0.1
      37	37	177.39919	+22.40090	23.77	 0.10	 1.84	 0.26	21.24	 0.41	 3.4	 0.2
      38	38	177.39965	+22.39961	22.09	 0.02	 1.16	 0.06	18.55	 0.13	 2.7	 0.2
      39	39	177.39982	+22.39726	20.26	 0.09	 4.41	 1.00	19.63	 0.58	 5.8	 0.6
      40	40	177.40020	+22.39441	23.11	 0.17	 1.83	 0.50	20.56	 0.76	 2.9	 0.8
      41	41	177.40040	+22.39821	22.63	 0.10	 0.46	 0.09	17.09	 0.50	 3.8	 1.5
      42	42	177.40078	+22.39625	22.75	 0.08	 0.68	 0.09	18.06	 0.37	 2.6	 0.6
      43	43	177.40080	+22.39377	23.55	 0.08	 0.72	 0.09	18.97	 0.35	 1.9	 0.5
      44	44	177.40103	+22.39788	20.45	 0.07	 1.67	 0.26	17.71	 0.41	 5.0	 0.7
      45	45	177.40121	+22.40033	20.55	 0.02	 1.32	 0.11	17.30	 0.21	 4.2	 0.4
      46	46	177.40173	+22.39880	22.72	 0.06	 0.60	 0.07	17.76	 0.30	 3.1	 0.6
      47	47	177.40225	+22.39975	21.27	 0.02	 1.42	 0.09	18.17	 0.16	 2.7	 0.2
      48	48	177.40239	+22.39803	23.36	 0.06	 1.25	 0.09	19.99	 0.22	 1.5	 0.2
      49	49	177.40262	+22.39618	20.90	 0.10	 5.83	 1.00	20.87	 0.49	 5.9	 0.9
      50	50	177.40288	+22.40201	22.64	 0.05	 2.46	 0.28	20.74	 0.30	 4.1	 0.3
      51	51	177.40306	+22.40439	21.49	 0.02	 1.15	 0.08	17.93	 0.17	 3.8	 0.3
      52	52	177.40358	+22.39638	19.86	 0.02	 2.85	 0.28	18.28	 0.24	 3.0	 0.2
      53	53	177.40366	+22.39194	21.26	 0.04	 1.03	 0.09	17.48	 0.23	 3.8	 0.5
      54	54	177.40369	+22.38911	20.97	 0.03	 2.39	 0.22	19.01	 0.24	 3.9	 0.3
      55	55	177.40372	+22.40458	20.66	 0.03	 2.16	 0.21	18.48	 0.24	 3.9	 0.3
      56	56	177.40401	+22.40213	22.80	 0.05	 1.93	 0.18	20.38	 0.26	 4.2	 0.3
      57	57	177.40403	+22.40302	21.84	 0.02	 2.83	 0.08	20.25	 0.08	 0.9	 0.1
      58	58	177.40516	+22.39977	22.76	 0.03	 1.00	 0.11	18.91	 0.27	 2.9	 0.4
      59	59	177.40536	+22.39165	23.17	 0.05	 1.46	 0.13	20.14	 0.24	 2.8	 0.3
      60	60	177.40544	+22.39787	20.57	 0.01	 2.13	 0.18	18.36	 0.20	 4.4	 0.2
      61	61	177.40629	+22.40540	22.52	 0.02	 0.89	 0.04	18.41	 0.14	 0.6	 0.1
      62	62	177.40646	+22.38958	19.02	 0.02	 6.59	 0.34	19.26	 0.13	 3.4	 0.1
      63	63	177.40663	+22.39555	22.26	 0.05	 0.97	 0.12	18.33	 0.32	 1.8	 0.3
      64	64	177.40690	+22.39582	21.62	 0.05	 1.65	 0.24	18.85	 0.37	 2.9	 0.4
      65	65	177.40726	+22.39144	23.27	 0.11	 1.41	 0.21	20.16	 0.44	 2.4	 0.5
      66	66	177.40738	+22.39479	23.71	 0.14	 1.40	 0.19	20.58	 0.43	 0.9	 0.5
      67	67	177.40747	+22.39912	23.00	 0.03	 1.19	 0.13	19.53	 0.26	 1.9	 0.3
      68	68	177.40752	+22.40305	19.77	 0.03	 2.51	 0.22	17.92	 0.23	 4.4	 0.2

