#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:20 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/489/99/j2248pr&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74890099
#Name: J/MNRAS/489/99
#Title: ASTRODEEP Frontier Fields Catalogues (Bradac+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/489/99	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/489/99	    IVOID of underlying data collection
#INFO	creator=Bradac M.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.489...99B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/489/99	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74890099	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-05-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_489_99_j2248pr:
#Name: J/MNRAS/489/99/j2248pr
#Title: RXC J2248.7-4431 properties catalog
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I6)	Catalogue identification number, rxj2248-NNNNNN in j2248ph.dat file (IDcat)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension (J2000) (alpha_j2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Right ascension (J2000) (delta_j2000)	[ucd=pos.eq.dec;meta.main]
#Column	zbest	(F7.4)	Reference (median) photo-z value except when a match with a publicly available high-quality spectroscopic source is found within 1 arcsec (ZBEST)	[ucd=src.redshift;pos.heliocentric]
#Column	zphEAZY	(F5.2)	EAZY photometric redshift (ZPHOT_EAZY)	[ucd=src.redshift.phot]
#Column	e_zphEAZY	(F6.3)	? EAZY photometric redshift lower error (ZPHOT_EAZY_L95)	[ucd=stat.error]
#Column	E_zphEAZY	(F6.3)	? EAZY photometric redshift upper error (ZPHOT_EAZY_U95)	[ucd=stat.error;stat.max]
#Column	zphOAR	(F7.4)	OAR photometric redshift (ZPHOT_OAR)	[ucd=src.redshift.phot]
#Column	zsp	(F7.4)	? Spectroscopic redshift (ZSPEC)	[ucd=src.redshift]
#Column	Magnif	(F10.6)	Median magnification from all the models with version 4 data (MAGNIF)	[ucd=meta.version]
#Column	chi2Neb	(D12.5)	chi^2^ of the SED fitting with stellar plus nebular models at redshift fixed to ZBEST (chi2_NEB)	[ucd=stat.fit.chi2;stat.fit]
#Column	MstarNeb	(F9.3)	Stellar mass estimated from stellar plus nebular fits (MASS_NEB)	[ucd=phys.mass]
#Column	e_MstarNeb	(F7.4)	Lower uncertainty on MstarNeb (MASS_MIN_NEB)	[ucd=stat.error]
#Column	E_MstarNeb	(D12.5)	[] Upper uncertainty on MstarNeb (MASS_MAX_NEB)	[ucd=stat.error;stat.max]
#Column	SFRNeb	(F8.1)	Star-formation rate estimated from the stellar plus nebular fits (SFR_NEB)	[ucd=phys.SFR]
#Column	e_SFRNeb	(I7)	Lower uncertainty on SFRNbeb (SFR_MIN_NEB)	[ucd=stat.error]
#Column	E_SFRNeb	(F7.3)	[] Upper uncertainty on SFRNbeb (SFR_MAX_NEB)	[ucd=stat.error;stat.max]
recno	ID	RAJ2000	DEJ2000	zbest	zphEAZY	e_zphEAZY	E_zphEAZY	zphOAR	zsp	Magnif	chi2Neb	MstarNeb	e_MstarNeb	E_MstarNeb	SFRNeb	e_SFRNeb	E_SFRNeb
      21	    37	342.183566	-44.552883	 4.2700	 4.27	 3.803	 4.493	 4.3500	       	  1.645558	 1.52600e+00	    0.156	 4.2700	 1.00000e+00	    10.9	6563669	 -4.763
      22	    38	342.184576	-44.552837	 4.7600	 4.76	 4.672	 4.831	 4.9200	       	  1.635369	 1.40300e+00	    2.083	 4.7600	 9.99980e-01	    19.2	5886679	 -3.424
      23	    39	342.183008	-44.552657	 2.3600	 2.36	 0.105	 2.568	 2.5700	       	  1.594326	 1.86890e+00	    0.439	 2.3600	 9.99980e-01	    23.2	2039607	  0.792
      24	    40	342.176585	-44.552625	 0.4100	 0.41	 0.270	 0.444	 0.4200	       	  1.091166	 2.38010e+00	    0.316	 0.4100	 9.99990e-01	     0.0	5102900	 -5.915
      25	    42	342.174130	-44.552193	 0.2900	 0.29	 0.124	 0.409	 3.2100	       	  1.000000	 2.43350e+00	    0.004	 0.2900	 1.00000e+00	     0.0	5675190	 -6.029
      26	    43	342.182356	-44.552173	 2.1700	 2.17	 1.878	 2.550	 2.2000	       	  1.619845	 7.75430e-01	    1.068	 2.1700	 7.75430e-01	     1.5	 459761	 -3.127
      27	    44	342.182869	-44.552152	 2.8900	 2.89	 2.529	 2.948	 2.6900	       	  1.648139	 1.43840e+00	    3.457	 2.8900	 1.00000e+00	     1.8	5483242	 -3.355
      28	    45	342.202395	-44.551784	 6.9100	 6.91	 6.644	 7.244	 6.5501	       	  1.388162	 7.07940e+00	    0.460	 6.9100	 9.99990e-01	    28.0	6491322	 -3.714
      29	    46	342.184840	-44.551944	 0.4300	 0.43	 0.410	 0.552	 0.4700	       	  1.090054	 3.11940e+00	    0.077	 0.4300	 1.00000e+00	     0.2	 695773	 -4.055
      30	    47	342.201965	-44.551732	 6.9500	 6.95	 6.898	 7.165	10.0001	       	  1.397679	 2.33990e+01	    4.159	 6.9500	 1.00000e+00	   254.9	2971499	 -1.312
      31	    48	342.179148	-44.551746	 2.9800	 2.98	 0.790	 3.847	 2.7700	       	  1.807264	 3.43470e-01	    0.946	 2.9800	 3.43470e-01	     0.0	5328660	 -4.748
      32	    49	342.201346	-44.551590	 6.8000	 6.80	 6.449	 6.966	 6.9001	       	  1.412703	 1.67970e+00	   32.970	 6.8000	 1.00000e+00	     4.5	3997624	 -0.942
      33	    50	342.172349	-44.551873	 0.0900	 0.09	 0.036	 0.414	 0.0900	       	  1.000000	 1.90620e+00	    0.015	 0.0900	 9.99980e-01	     0.0	5211602	 -8.895
      34	    51	342.200634	-44.551425	 6.7800	 6.78	 2.199	 7.023	 7.1001	       	  1.430584	 8.63750e-01	   15.210	 6.7800	 8.63750e-01	  1559.0	2617696	  5.376
      35	    52	342.181219	-44.551834	 2.8400	 2.84	 0.258	 2.969	 2.9200	       	  1.741792	 1.81560e+00	    7.380	 2.8400	 1.00000e+00	     8.7	4005728	 -2.309
      36	    53	342.176914	-44.551911	 0.3500	 0.35	 0.249	 0.449	 0.3200	       	  1.003154	 2.42780e+00	    0.738	 0.3500	 9.99990e-01	     0.0	5148941	 -4.934
      37	    55	342.174731	-44.551126	 2.7600	 2.76	 2.521	 2.840	 0.0300	       	  1.941989	 1.43940e+00	    1.085	 2.7600	 9.99980e-01	     4.1	5540839	 -0.524
      38	    56	342.204424	-44.550917	 5.3900	 5.39	 5.248	 5.459	 6.8501	       	  1.352814	 8.16930e+01	    0.975	 5.3900	 1.00000e+00	    87.1	3196468	 -2.526
      39	    59	342.197001	-44.551065	 6.9100	 6.91	 6.534	 7.197	 6.7101	       	  1.469466	 1.93990e+00	    0.305	 6.9100	 9.99980e-01	    16.9	6424122	 -4.246
      40	    60	342.174380	-44.551077	 0.0400	 0.04	 0.013	 0.460	 2.0100	       	  1.000000	 1.06320e+01	    0.001	 0.0400	 9.99990e-01	     0.0	7238795	-10.088
      41	    61	342.194687	-44.550863	 0.3800	 0.38	 0.038	 0.520	 0.1300	       	  1.029165	 6.75750e-01	    0.005	 0.3800	 6.75750e-01	     0.1	1660968	 -4.617
      42	    70	342.160785	-44.550763	10.5400	10.54	10.110	11.027	10.0001	       	  2.659579	 1.00000e+30	    0.000	10.5400	 1.00000e+30	     0.0	      0	  0.000
      43	    71	342.198299	-44.550644	12.0000	12.00	 2.521	11.999	 7.4301	       	  1.500441	 1.00000e+30	    0.000	12.0000	 1.00000e+30	     0.0	      0	  0.000
      44	    72	342.192798	-44.550645	 6.3100	 6.31	 0.820	 7.206	 6.2700	       	  1.531719	 1.07050e+00	    0.257	 6.3100	 9.99980e-01	    14.3	2888686	 -4.427
      45	    75	342.197463	-44.550596	 6.0500	 6.05	 4.810	 6.273	 5.1200	       	  1.470240	 3.35500e+00	   14.450	 6.0500	 9.99990e-01	     6.2	3788124	 -1.725
      46	    76	342.165181	-44.550812	 0.1300	 0.13	 0.049	 0.218	 0.0700	       	  1.000000	 4.17390e+00	    0.064	 0.1300	 1.00000e+00	     0.0	  38449	 -7.184
      47	    79	342.197427	-44.551051	 0.0500	 0.05	 0.012	 0.152	 0.0500	       	  1.000000	 3.49940e+00	    0.003	 0.0500	 1.00000e+00	     0.0	  13393	 -9.884
      48	    80	342.160113	-44.550594	 8.9200	 8.92	 7.628	 9.033	 8.5501	       	  2.644514	 1.06190e+01	    1.342	 8.9200	 9.99960e-01	   103.5	6625762	 -2.332
      49	    81	342.160063	-44.550435	 4.6800	 4.68	 4.466	 4.772	 6.8401	       	  2.521530	 4.13370e+01	    2.567	 4.6800	 1.00000e+00	    57.5	3581854	 -2.657
      50	    82	342.190290	-44.550449	 1.9700	 1.97	 1.263	 2.268	 1.8000	       	  1.481026	 1.60890e+00	    0.398	 1.9700	 1.00000e+00	     0.1	3695463	 -5.685
      51	    83	342.159900	-44.550446	 8.1000	 8.10	 8.053	 8.250	 8.0301	       	  2.645269	 6.17740e+00	    0.588	 8.1000	 1.00000e+00	    45.4	6625746	 -3.221
      52	    84	342.192953	-44.550545	 3.1500	 3.15	 0.419	 3.578	 0.5100	       	  1.482246	 6.63740e-01	    0.257	 3.1500	 6.63740e-01	     2.9	1300223	 -0.900
      53	    86	342.160369	-44.550751	 7.5700	 7.57	 7.389	 7.759	 7.4501	       	  2.596982	 2.20350e+01	    1.210	 7.5700	 1.00000e+00	    84.9	6558535	 -2.534
      54	    87	342.199414	-44.550417	 4.5800	 4.58	 3.077	 6.023	 4.1700	       	  1.465751	 1.40910e+00	   13.650	 4.5800	 1.00000e+00	     3.0	3704345	 -1.820
      55	    89	342.180772	-44.551238	 0.4300	 0.43	 0.253	 0.459	 0.3600	       	  1.113079	 1.15680e+00	    4.177	 0.4300	 1.00000e+00	     0.0	5143065	 -2.956
      56	    90	342.192427	-44.550402	 2.9800	 2.98	 1.850	 3.795	 2.6900	       	  1.488651	 3.97780e-01	    0.415	 2.9800	 3.97780e-01	     0.1	4792284	 -5.551
      57	    94	342.189621	-44.550410	 6.9000	 6.90	 6.513	 7.151	 6.7801	       	  1.618793	 2.50600e+00	    0.226	 6.9000	 9.99990e-01	    23.3	2638698	  1.360
      58	    96	342.203844	-44.550395	 1.0600	 1.06	 0.702	 4.741	 1.0300	       	  1.237879	 1.07550e+00	    0.091	 1.0600	 1.00000e+00	     0.1	6944757	 -4.635
      59	    97	342.189034	-44.550333	 1.9700	 1.97	 1.386	 2.053	 1.6400	       	  1.507540	 2.02040e+00	    0.068	 1.9700	 1.00000e+00	     7.0	2634999	  0.028
      60	    98	342.159808	-44.550311	 8.1000	 8.10	 8.052	 8.254	 8.0201	       	  2.664019	 6.45900e+00	    0.480	 8.1000	 9.99990e-01	    33.7	6558546	 -3.531
      61	   100	342.195967	-44.551015	 0.1400	 0.14	 0.087	 0.208	 0.1400	       	  1.000000	 2.45860e+00	    0.219	 0.1400	 1.00000e+00	     0.0	5215057	 -6.093
      62	   102	342.200663	-44.550446	 4.2300	 4.23	 3.818	 4.673	 4.4300	       	  1.423951	 2.80130e+00	   20.500	 4.2300	 1.00000e+00	     2.1	6877726	 -1.387
      63	   103	342.169182	-44.550092	 0.4300	 0.43	 0.214	 1.150	 0.5500	       	  1.148641	 6.68050e-01	    0.072	 0.4300	 6.68050e-01	     0.0	  12378	 -6.797
      64	   104	342.190776	-44.550232	 0.5100	 0.51	 0.237	 1.079	 0.3200	       	  1.145288	 6.97740e-01	    0.085	 0.5100	 6.97740e-01	     0.0	5120938	 -7.334
      65	   105	342.168345	-44.550456	 0.0700	 0.07	 0.017	 0.110	 0.5300	       	  1.000000	 1.31330e+01	    0.029	 0.0700	 1.00000e+00	     0.0	   5649	 -9.141
      66	   106	342.178787	-44.550470	 0.4200	 0.42	 0.057	 0.530	 0.4300	       	  1.102161	 3.45940e+00	    0.236	 0.4200	 1.00000e+00	     0.0	  38408	 -6.217
      67	   107	342.181334	-44.550043	 0.7400	 0.74	 0.298	 3.821	 0.5500	       	  1.400573	 5.78120e-01	    0.004	 0.7400	 5.78120e-01	     0.2	1910775	 -5.508
      68	   108	342.189198	-44.550242	 1.8000	 1.80	 1.786	 1.822	 1.6900	       	  1.514342	 3.61370e+00	    1.069	 1.8000	 9.99990e-01	     1.0	3796548	 -4.277
      69	   109	342.199240	-44.550200	 1.3800	 1.38	 1.083	 1.660	 1.4800	       	  1.380720	 5.31540e-01	    0.032	 1.3800	 5.31540e-01	     0.0	3749500	 -8.089
      70	   110	342.195889	-44.550088	 2.7600	 2.76	 2.405	 2.940	 2.4700	       	  1.445668	 1.44280e+00	    0.666	 2.7600	 9.99990e-01	     0.2	7182535	 -4.698
      71	   111	342.166361	-44.550083	 0.5400	 0.54	 0.447	 0.644	 0.6500	       	  1.308977	 1.04340e+00	    0.011	 0.5400	 1.00000e+00	     0.5	1928771	 -3.878
      72	   112	342.197938	-44.550300	 6.2000	 6.20	 5.800	 6.362	 5.2800	       	  1.483519	 5.53100e+00	   68.520	 6.2000	 9.99990e-01	    29.4	3788127	 -0.035
      73	   113	342.198834	-44.549957	 4.8200	 4.82	 4.495	 6.115	 5.0400	       	  1.541072	 1.13790e+00	   28.700	 4.8200	 1.00000e+00	  2941.0	2638456	  6.602
      74	   114	342.199188	-44.549995	 4.3200	 4.32	 3.017	 7.294	 2.6600	       	  1.525751	 1.00970e+00	    2.265	 4.3200	 1.00000e+00	   232.2	2633646	  3.844
      75	   116	342.159519	-44.550115	 7.3000	 7.30	 7.005	 8.139	 9.4701	       	  2.667397	 5.10550e+00	    0.560	 7.3000	 9.99990e-01	    57.7	2639106	  2.344
      76	   117	342.191182	-44.549998	 3.6900	 3.69	 2.871	 4.524	 3.6200	       	  1.568262	 3.01410e-01	    0.113	 3.6900	 3.01410e-01	    11.6	2577834	 -1.136
      77	   119	342.165163	-44.550692	 0.0100	 0.01	 0.010	 0.067	 0.0100	       	  1.000000	 1.00000e+30	    0.000	 0.0100	 1.00000e+30	     0.0	      0	  0.000
      78	   121	342.189417	-44.549879	 2.9400	 2.94	 1.566	 3.388	 2.5900	       	  1.590080	 3.14150e-01	    0.282	 2.9400	 3.14150e-01	     0.1	 181019	 -5.552
      79	   122	342.190779	-44.550343	 0.0200	 0.02	 0.011	 0.252	 0.0100	       	  1.000000	 1.00000e+30	    0.000	 0.0200	 1.00000e+30	     0.0	      0	  0.000
      80	   123	342.160463	-44.549935	 6.7800	 6.78	 6.501	 6.964	10.0001	       	  2.697940	 7.20140e+01	  152.400	 6.7800	 1.00000e+00	     3.2	3827832	  0.737
      81	   125	342.165750	-44.550325	 1.1480	 1.21	 1.158	 1.305	 1.0000	 1.1480	  1.825170	 1.86210e+00	   25.610	 1.1480	 9.99980e-01	     8.6	 155755	 -0.715
      82	   126	342.171543	-44.549916	 1.1700	 1.17	 0.419	 1.357	 1.2000	       	  1.839011	 1.08200e+00	    0.313	 1.1700	 1.00000e+00	     0.1	  89913	 -4.266
      83	   127	342.175108	-44.549882	 2.0300	 2.03	 1.518	 2.749	 2.0600	       	  2.004718	 6.63130e-01	    0.376	 2.0300	 6.63130e-01	     0.2	3711161	 -5.500
      84	   128	342.186368	-44.549742	 4.2700	 4.27	 3.553	 4.576	 4.0600	       	  1.727796	 5.94180e-01	    0.012	 4.2700	 5.94180e-01	     1.3	6817669	 -1.828
      85	   129	342.200167	-44.549842	 4.7900	 4.79	 4.631	 6.239	 2.9600	       	  1.490506	 3.49780e+00	   17.550	 4.7900	 9.99990e-01	  1799.0	2633656	  6.084
      86	   130	342.201881	-44.549748	 2.4500	 2.45	 1.510	 3.648	 2.5500	       	  1.385466	 3.62410e+00	    0.500	 2.4500	 1.00000e+00	     0.2	7183959	 -5.002
      87	   131	342.189889	-44.549751	 2.7500	 2.75	 2.735	 2.774	 2.0000	       	  1.571416	 3.67700e+00	    0.025	 2.7500	 9.99990e-01	     2.6	6817639	 -1.029
      88	   132	342.206808	-44.549705	 6.9800	 6.98	 6.864	 7.315	 7.0501	       	  1.421631	 3.13730e+00	  200.100	 6.9800	 1.00000e+00	     8.5	3880998	  1.028
      89	   133	342.203148	-44.549607	 4.8600	 4.86	 3.613	 6.233	 4.7100	       	  1.410150	 7.54960e-01	   10.210	 4.8600	 7.54960e-01	     2.3	3698900	 -2.140
      90	   134	342.205668	-44.549796	 3.3000	 3.30	 0.254	 3.468	 0.3100	       	  1.384663	 2.84470e+00	    0.381	 3.3000	 9.99990e-01	     8.5	3585026	 -4.738
      91	   135	342.206990	-44.549696	 6.4300	 6.43	 4.138	 5.296	 5.1800	       	  1.403636	 3.22500e+00	  482.900	 6.4300	 1.00000e+00	   275.2	3838977	  2.118
      92	   136	342.200363	-44.549802	 2.7600	 2.76	 1.983	 2.931	 2.3900	       	  1.440297	 1.40800e+00	    0.568	 2.7600	 1.00000e+00	     0.4	 203671	 -3.062
      93	   137	342.190072	-44.549723	 2.5000	 2.50	 2.408	 2.762	 0.0100	       	  1.554152	 4.59210e+00	    0.062	 2.5000	 1.00000e+00	     1.0	5963234	 -6.112
      94	   139	342.189729	-44.549593	 2.7600	 2.76	 0.162	 2.951	 1.9100	       	  1.578513	 1.14430e+00	    0.009	 2.7600	 9.99970e-01	     0.5	6433639	 -6.962
      95	   141	342.206162	-44.549552	 6.9300	 6.93	 6.890	 7.104	 6.7801	       	  1.424447	 1.56210e+01	    1.106	 6.9300	 9.99990e-01	    77.6	6558523	 -2.618
      96	   144	342.204041	-44.551406	 0.3900	 0.39	 2.499	 3.990	 2.3700	       	  1.030297	 8.92330e-01	    0.002	 0.3900	 8.92330e-01	     0.1	1781368	 -4.992
      97	   159	342.194605	-44.550004	 0.4000	 0.40	 0.173	 0.414	 0.2500	       	  1.048216	 9.88220e-01	    0.050	 0.4000	 9.88220e-01	     0.1	 440948	 -5.033
      98	   163	342.196592	-44.549609	 4.3600	 4.36	 3.554	 4.732	 3.9500	       	  1.459728	 3.60450e+00	    8.212	 4.3600	 1.00000e+00	     0.8	6877546	 -2.397
      99	   164	342.172818	-44.549483	 2.9700	 2.97	 2.277	 3.184	 2.9100	       	  2.312381	 7.35350e-01	    0.635	 2.9700	 7.35350e-01	     0.5	 267803	 -2.739
     100	   165	342.201924	-44.549906	 5.9300	 5.93	 1.236	 6.396	 5.8900	       	  1.438723	 1.06790e+00	   34.250	 5.9300	 9.99960e-01	    14.6	3794218	 -0.789
     101	   166	342.194937	-44.546132	 0.3900	 0.39	 0.290	 0.446	 0.4600	       	  1.074193	 6.56300e-01	    1.345	 0.3900	 6.56300e-01	     7.8	1012968	  0.250
