#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:13:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:13:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/607/A30/m0717cla&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36070030
#Name: J/A+A/607/A30
#Title: ASTRODEEP Frontier Fields Catalogues (Di Criscienzo+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	creator=Di Criscienzo M.	    First author or institution
#INFO	cites=bibcode:2017A&A...607A..30D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/607/A30	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-jz/lda	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-03-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_607_A30_m0717cla:
#Name: J/A+A/607/A30/m0717cla
#Title: Photometric catalogue (magnitudes) of MACSJ-0717 cluster
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I6)	ID Source identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_B435	(A1)	[-] "-' for upper limit flag on B435	[ucd=meta.code.error]
#Column	B435	(F9.6)	? Magnitude in B435 band (AB)	[ucd=phot.mag;em.opt.B]
#Column	l_V606	(A1)	[-] "-' for upper limit flag on V606	[ucd=meta.code.error]
#Column	V606	(F9.6)	? Magnitude in V606 band (AB)	[ucd=phot.mag;em.opt.R]
#Column	l_I814	(A1)	[-] "-' for upper limit flag on I814	[ucd=meta.code.error]
#Column	I814	(F9.6)	? Magnitude in I814 band (AB)	[ucd=phot.mag;em.opt.I]
#Column	Y105	(D12.5)	? Magnitude in Y105 band (AB) (negative values are upper limit)	[ucd=phot.mag;em.IR.J]
#Column	l_J125	(A1)	[-] "-' for upper limit flag on J125	[ucd=meta.code.error]
#Column	J125	(F9.6)	? Magnitude in J125 band (AB)	[ucd=phot.mag;em.IR.J]
#Column	l_JH140	(A1)	[-] "-' for upper limit flag on JH140	[ucd=meta.code.error]
#Column	JH140	(F9.6)	? Magnitude in JH140 band (AB)	[ucd=phot.mag;em.IR.H]
#Column	l_H160	(A1)	[-] "-' for upper limit flag on H160	[ucd=meta.code.error]
#Column	H160	(F9.6)	? Magnitude in H160 band (AB)	[ucd=phot.mag;em.IR.H]
#Column	l_Ks	(A1)	[-] "-' for upper limit flag on Ks	[ucd=meta.code.error]
#Column	Ks	(F9.6)	? Magnitude in Ks band (AB)	[ucd=phot.mag;em.IR.K]
#Column	l_IRAC1	(A1)	[-] "-' for upper limit flag on IRAC1	[ucd=meta.code.error]
#Column	IRAC1	(F9.6)	? Magnitude in IRAC1 band (AB)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	l_IRAC2	(A1)	[-] "-' for upper limit flag on IRAC2	[ucd=meta.code.error]
#Column	IRAC2	(F9.6)	? Magnitude in IRAC2 band (AB)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_B435	(F9.6)	? Magnitude error on B435 band (AB)	[ucd=stat.error]
#Column	e_V606	(D12.5)	? Magnitude error on V606 band (AB)	[ucd=stat.error]
#Column	e_I814	(D12.5)	? Magnitude error on I814 band (AB)	[ucd=stat.error]
#Column	e_Y105	(D12.5)	? Magnitude error on Y105 band (AB)	[ucd=stat.error]
#Column	e_J125	(D12.5)	? Magnitude error on J125 band (AB)	[ucd=stat.error]
#Column	e_JH140	(D12.5)	? Magnitude error on JH140 band (AB)	[ucd=stat.error]
#Column	e_H160	(D12.5)	? Magnitude error on H160 band (AB)	[ucd=stat.error]
#Column	e_Ks	(D15.8)	? Magnitude error on Ks band (AB)	[ucd=stat.error]
#Column	e_IRAC1	(D15.8)	? Magnitude error on IRAC1 band (AB)	[ucd=stat.error]
#Column	e_IRAC2	(F12.9)	? Magnitude error on IRAC2 band (AB)	[ucd=stat.error]
recno	ID	RAJ2000	DEJ2000	l_B435	B435	l_V606	V606	l_I814	I814	Y105	l_J125	J125	l_JH140	JH140	l_H160	H160	l_Ks	Ks	l_IRAC1	IRAC1	l_IRAC2	IRAC2	e_B435	e_V606	e_I814	e_Y105	e_J125	e_JH140	e_H160	e_Ks	e_IRAC1	e_IRAC2
      14	    14	109.388695	+37.721092	-	28.549200	 	27.575600	 	27.296400	 2.70353e+01	 	27.120500	 	26.965500	 	26.571100	-	24.242489	-	29.052597	 	25.833324	 1.086000	 3.78300e-01	 2.22000e-01	 1.35400e-01	 2.24200e-01	 1.73200e-01	 1.11500e-01	 1.08570000e+00	 1.08570000e+00	 0.659698400
      15	    15	109.390762	+37.721142	 	28.280500	 	27.747100	 	27.658300	 2.74100e+01	 	27.287500	 	26.779100	 	26.735400	 	26.371943	-	29.282776	 	25.386917	 0.408900	 2.19800e-01	 1.47100e-01	 1.18500e-01	 1.43400e-01	 9.37200e-02	 9.74000e-02	 9.35357200e-01	 1.08570000e+00	 0.372710800
      16	    16	109.385719	+37.721329	-	27.138700	-	27.311000	-	27.605600	 2.51307e+01	 	24.885800	 	24.615600	 	24.579100	-	23.724098	-	27.014717	-	27.034058	 1.086000	 1.08600e+00	 1.08600e+00	 1.49000e-01	 1.71100e-01	 1.31500e-01	 5.33000e-02	 1.08570000e+00	 1.08570000e+00	 1.085700000
      17	    17	109.391487	+37.721352	-	27.818200	-	27.975600	 	26.545700	 2.58351e+01	 	25.830700	 	25.204900	 	25.464000	-	24.399406	-	28.945963	 	25.438313	 1.086000	 1.08600e+00	 2.19100e-01	 1.15200e-01	 1.51700e-01	 8.81700e-02	 6.19000e-02	 1.08570000e+00	 1.08570000e+00	 0.482379400
      18	    18	109.391823	+37.721420	 	28.138700	 	27.416700	 	26.366000	 2.56889e+01	 	25.414900	 	25.336900	 	25.417300	-	24.300131	-	29.025436	 	26.144930	 0.715200	 3.18200e-01	 9.06000e-02	 4.89100e-02	 5.78600e-02	 4.88100e-02	 6.11000e-02	 1.08570000e+00	 1.08570000e+00	 0.870948400
      19	    19	109.385849	+37.721497	-	27.492700	-	27.665000	-	27.965200	 2.58226e+01	 	25.709100	 	25.396800	 	25.052600	-	23.570196	-	26.591621	-	26.712849	 1.086000	 1.08600e+00	 1.08600e+00	 2.38700e-01	 3.36400e-01	 2.28000e-01	 7.46000e-02	 1.08570000e+00	 1.08570000e+00	 1.085700000
      20	    20	109.390068	+37.721550	-	29.722000	-	29.901100	 	28.812200	 2.82045e+01	 	28.119200	 	27.794200	 	27.873700	 	26.203651	 	26.076574	-	28.970585	 1.086000	 1.08600e+00	 3.07200e-01	 1.21000e-01	 1.74100e-01	 1.13300e-01	 1.41900e-01	 7.63521500e-01	 4.09657800e-01	 1.085700000
      21	    21	109.392616	+37.721565	-	28.211900	 	27.308500	 	26.371600	 2.52756e+01	 	25.723000	 	25.391900	 	25.291700	 	25.951845	-	28.917694	-	28.718760	 1.086000	 4.23300e-01	 1.29900e-01	 8.36300e-02	 1.59300e-01	 1.21900e-01	 7.27400e-01	 7.13228300e-01	 1.08570000e+00	 1.085700000
      22	    22	109.386116	+37.721600	-	29.580200	 	28.992800	 	28.385900	 2.77543e+01	 	27.691900	 	27.296500	 	27.438900	-	24.384735	 	25.021523	-	28.147160	 1.086000	 5.43300e-01	 2.33900e-01	 1.18400e-01	 2.07100e-01	 1.05700e-01	 2.27100e-01	 1.08570000e+00	 5.34168000e-01	 1.085700000
      23	    23	109.382317	+37.726070	 	23.371200	 	22.119700	 	21.263200	 2.15853e+01	 	20.448600	 	20.281600	 	20.068000	 	19.570696	 	19.560196	 	19.588800	 0.024000	 7.47600e-03	 2.27700e-03	 2.40300e-03	 1.10200e-03	 9.65200e-04	 7.00000e-04	 4.22236600e-03	 1.16772200e-02	 0.011227260
      24	    24	109.390701	+37.721756	 	29.170800	 	29.316400	 	28.785500	 2.86194e+01	 	28.440700	 	28.708700	 	28.564400	-	24.532387	-	28.932598	 	25.148275	 0.603200	 5.82000e-01	 2.69500e-01	 1.57300e-01	 1.79400e-01	 2.26300e-01	 2.14700e-01	 1.08570000e+00	 1.08570000e+00	 0.380438800
      25	    25	109.383995	+37.722385	 	26.549500	 	25.440800	 	23.966000	 2.32643e+01	 	 0.632800	 	22.865500	 	22.999500	 	22.787491	 	23.047253	 	22.761009	 0.199800	 6.63300e-02	 1.28400e-02	 7.06300e-03	 1.08600e+00	 8.57800e-03	 1.54000e-02	 5.14217600e-02	 1.30227000e-01	 0.095688780
      26	    26	109.398941	+37.727604	 	24.541700	 	23.095800	 	22.547200	 2.20154e+01	 	21.883700	 	21.787000	 	21.747200	 	21.744137	 	22.490358	 	22.979160	 0.076770	 1.82300e-02	 7.80400e-03	 3.28500e-03	 4.12400e-03	 3.60700e-03	 4.80000e-03	 3.75554400e-02	 2.23334900e-02	 0.047692400
      27	    27	109.390656	+37.722019	 	27.394600	 	26.996900	 	27.046700	 2.66306e+01	 	26.462800	 	26.364300	 	26.356000	-	24.351822	-	29.057955	 	24.659702	 0.200400	 1.20600e-01	 9.27600e-02	 4.26800e-02	 4.69100e-02	 4.55100e-02	 5.64000e-02	 1.08570000e+00	 1.08570000e+00	 0.216163900
      28	    28	109.393791	+37.722401	-	29.092300	 	28.133900	 	25.436500	 2.42420e+01	 	23.824900	 	23.757300	 	24.509700	 	25.394693	 	22.595301	 	23.046936	 1.086000	 4.04700e-01	 2.53800e-02	 8.88100e-03	 7.88100e-03	 7.61000e-03	 1.83000e-02	 4.29455700e-01	 1.91006400e-01	 0.204138800
      29	    29	109.383957	+37.723660	 	24.488800	 	24.001600	 	23.641800	 2.33913e+01	 	23.317900	 	23.338900	 	23.288100	 	23.357821	 	23.939264	 	23.894491	 0.044730	 2.61700e-02	 1.32600e-02	 7.15400e-03	 8.12700e-03	 9.32300e-03	 9.70000e-03	 9.11325000e-02	 8.26696100e-02	 0.109572200
      30	    30	109.388847	+37.723221	 	27.601500	 	26.286800	 	25.405300	 2.48221e+01	 	24.594600	 	24.500400	 	24.373400	 	24.423653	 	25.476341	 	25.352377	 0.460900	 1.19400e-01	 4.00500e-02	 1.56700e-02	 1.86700e-02	 1.58500e-02	 1.57000e-02	 2.05285100e-01	 3.54104300e-01	 0.439089900
      31	    31	109.387283	+37.722630	 	29.627700	-	30.126500	 	29.818400	 3.02270e+01	 	29.205800	 	28.967400	 	28.429200	-	24.549999	-	29.379498	-	28.995832	 0.805000	 1.08600e+00	 6.24600e-01	 6.55500e-01	 4.35000e-01	 2.76500e-01	 2.21900e-01	 1.08570000e+00	 1.08570000e+00	 1.085700000
      32	    32	109.391769	+37.722664	-	28.379400	-	28.550600	 	28.389800	 2.78501e+01	 	27.191900	 	26.838800	 	26.541000	 	26.056873	-	29.106174	 	25.209900	 1.086000	 1.08600e+00	 7.25100e-01	 3.12100e-01	 2.57300e-01	 1.71900e-01	 1.33600e-01	 7.70608600e-01	 1.08570000e+00	 0.324283500
      33	    33	109.387634	+37.723061	-	28.830600	 	26.961200	 	25.699100	 2.51684e+01	 	25.000200	 	24.910600	 	24.803200	 	24.622093	 	24.966349	-	28.501200	 1.086000	 1.67500e-01	 3.96500e-02	 1.70500e-02	 1.90100e-02	 1.83000e-02	 1.96000e-02	 2.18449700e-01	 2.65176000e-01	 1.085700000
      34	    34	109.389313	+37.722733	 	28.850100	 	28.651500	 	27.813500	 2.73348e+01	 	27.227200	 	27.049000	 	27.172200	-	24.424992	 	25.150032	-	28.687611	 0.577500	 4.14700e-01	 1.45200e-01	 6.24300e-02	 6.44800e-02	 6.55800e-02	 9.44000e-02	 1.08570000e+00	 2.68192800e-01	 1.085700000
      35	    35	109.394485	+37.722725	-	26.543300	-	26.655300	-	26.977000	 2.51159e+01	 	24.438500	 	24.093400	 	24.199100	-	24.342381	 	22.723486	 	23.288496	 1.086000	 1.08600e+00	 1.08600e+00	 2.10100e-01	 1.64600e-01	 1.09100e-01	 9.68000e-02	 1.08570000e+00	 4.83719500e-02	 0.077530940
      36	    36	109.388435	+37.723171	-	28.752300	 	26.769200	 	26.024700	 2.56376e+01	 	25.340100	 	25.295300	 	25.175000	 	25.843561	 	25.940285	-	28.720922	 1.086000	 1.52200e-01	 5.82900e-02	 2.76200e-02	 2.78300e-02	 2.74400e-02	 3.10000e-02	 7.04954700e-01	 4.91561800e-01	 1.085700000
      37	    37	109.393028	+37.724686	 	23.337400	 	22.491400	 	22.153100	 2.19612e+01	 	21.857000	 	21.812500	 	21.756400	 	21.744387	 	22.803102	 	23.315132	 0.019370	 8.26700e-03	 3.90100e-03	 2.17100e-03	 2.13800e-03	 2.56600e-03	 2.60000e-03	 2.76299800e-02	 6.95505700e-02	 0.117816100
      38	    38	109.389755	+37.723698	-	28.410000	 	26.437100	 	25.507600	 2.49318e+01	 	24.713400	 	24.634300	 	24.611900	 	24.482437	 	25.301010	 	24.321283	 1.086000	 1.53200e-01	 4.90500e-02	 1.92300e-02	 2.17100e-02	 1.98300e-02	 2.49000e-02	 2.72310300e-01	 4.41228400e-01	 0.223012400
      39	    39	109.395073	+37.722980	 	25.950200	 	25.562800	 	25.451400	 2.51371e+01	 	24.847100	 	24.601100	-	23.867700	-	24.079866	 	24.546501	 	26.311756	 0.187500	 1.17200e-01	 7.61000e-02	 7.26800e-02	 8.19300e-02	 5.49700e-02	 1.08600e+00	 1.08570000e+00	 1.91385500e-01	 0.989254800
      40	    40	109.398773	+37.726082	 	24.331900	 	22.108900	 	20.973900	 2.03630e+01	 	20.087300	 	19.930600	 	19.796000	 	19.541515	 	19.974102	 	20.142151	 0.059230	 7.55400e-03	 1.77100e-03	 8.48900e-04	 7.77600e-04	 7.76800e-04	 5.00000e-04	 2.90349900e-03	 1.34780500e-02	 0.012744160
      41	    41	109.390457	+37.722927	 	28.146300	 	27.251200	 	27.179300	 2.73546e+01	 	27.567800	 	27.297800	 	27.337000	 	26.307575	 	24.768127	 	24.297045	 0.314400	 1.22600e-01	 8.19800e-02	 6.41000e-02	 9.77500e-02	 8.25400e-02	 1.02000e-01	 8.58961900e-01	 1.32673200e-01	 0.125073400
      42	    42	109.390923	+37.722992	 	28.899800	 	28.147800	 	27.188700	 2.68508e+01	 	26.751500	 	26.693800	 	26.587400	-	24.420578	 	26.526518	 	24.998339	 0.703800	 3.05000e-01	 9.54400e-02	 4.63600e-02	 5.86500e-02	 5.45900e-02	 6.50000e-02	 1.08570000e+00	 6.73807900e-01	 0.241190900
      43	    43	109.392212	+37.723007	 	28.942100	 	28.680600	 	28.000500	 2.77800e+01	 	27.424200	 	27.375000	 	27.238800	-	24.409382	-	28.988747	-	28.783394	 0.676000	 4.56200e-01	 1.85300e-01	 1.01300e-01	 1.16600e-01	 9.49400e-02	 1.11200e-01	 1.08570000e+00	 1.08570000e+00	 1.085700000
      44	    44	109.383591	+37.723392	 	26.844300	 	26.316200	 	25.614700	 2.49527e+01	 	24.696800	 	24.644100	 	24.671600	 	25.004259	-	29.241617	 	26.320311	 0.262600	 1.46000e-01	 5.86800e-02	 2.22000e-02	 2.38600e-02	 2.23900e-02	 2.79000e-02	 3.42838400e-01	 1.08570000e+00	 0.854278400
      45	    45	109.389404	+37.723286	 	27.030100	 	26.782800	 	26.675200	 2.66895e+01	 	26.006100	 	25.807500	 	25.346100	 	25.789957	-	28.774738	-	28.597984	 0.187900	 1.28000e-01	 8.65000e-02	 5.83000e-02	 3.89000e-02	 3.51500e-02	 2.85000e-02	 6.45550600e-01	 1.08570000e+00	 1.085700000
      46	    46	109.392197	+37.725037	 	24.810400	 	23.026600	 	22.180300	 2.18140e+01	 	21.603700	 	21.513000	 	21.378600	 	21.160254	 	21.530231	 	21.807076	 0.071490	 1.28900e-02	 4.06800e-03	 1.91300e-03	 1.58700e-03	 1.96400e-03	 1.50000e-03	 1.09669800e-02	 1.85514400e-02	 0.021907000
      47	    47	109.387459	+37.723251	-	28.953900	 	28.962600	 	27.705000	 2.69678e+01	 	26.775000	 	26.616300	 	26.492700	 	25.358141	-	28.736599	-	28.428631	 1.086000	 9.44000e-01	 2.26100e-01	 8.06200e-02	 1.05000e-01	 8.00200e-02	 1.08400e-01	 4.15364600e-01	 1.08570000e+00	 1.085700000
      48	    48	109.393631	+37.723648	 	27.446200	 	26.689100	 	26.053400	 2.58077e+01	 	25.678800	 	25.646400	 	25.548200	-	24.184345	 	25.342897	-	28.462208	 0.295800	 1.29200e-01	 5.36600e-02	 2.90500e-02	 3.67100e-02	 3.39100e-02	 4.93000e-02	 1.08570000e+00	 3.79939700e-01	 1.085700000
