#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/871/129/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18710129
#Name: J/ApJ/871/129
#Title: A redshift catalog of the galaxy cluster A2029 (Sohn+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/871/129	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/871/129	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2019ApJ...871..129S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/871/129	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18710129	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-07-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_871_129_table1:
#Name: J/ApJ/871/129/table1
#Title: The redshift galaxy catalog of A2029
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	objID	(I19)	Object identifier from SDSS (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	[227/229] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[5.1/6.5] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	rmag	(F5.2)	[13.5/22.5] Composite model r band magnitude (G1)	[ucd=phot.mag;em.opt.R]
#Column	z	(F8.5)	[0.004/6.4] Redshift	[ucd=src.redshift]
#Column	e_z	(F8.5)	[1e-05/1]? Error in z	[ucd=stat.error;src.redshift]
#Column	r_z	(A3)	Reference code(s) for z (2)	[ucd=meta.ref;pos.frame]
#Column	Mm	(A1)	[N/Y] Membership determined based on the caustics (Y)es (1054 occurrences); or (N)o	[ucd=meta.code.member]
#Column	T13	(I3)	Display data from Tyler+, 2013, J/ApJ/773/86 if any	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS DR12 or DR7 data for this object	[ucd=meta.ref.url]
#Column	SimbadName	(A24)	Simbad column added by the CDS	[ucd=meta.id]
recno	objID	RAJ2000	DEJ2000	rmag	z	e_z	r_z	Mm	T13	Sloan	SimbadName
      47	1237658780557771127	227.699795	+05.757562	17.41	 0.07574	 0.00007	2,3	Y	  1	Sloan	SDSS J151047.95+054527.2
      48	1237658780557771429	227.700858	+05.775381	20.64	 0.07913	 0.00014	1  	Y	  0	Sloan	SDSS J151048.20+054631.3
      49	1237658780557836328	227.717509	+05.741784	17.96	 0.07103	 0.00004	1,2	N	  1	Sloan	SDSS J151052.20+054430.4
      50	1237658780557836344	227.710599	+05.760976	18.98	 0.08196	 0.00009	2  	Y	  1	Sloan	SDSS J151050.54+054539.5
      51	1237658780557836358	227.708765	+05.746913	19.56	 0.07064	 0.00009	2  	N	  1	Sloan	SDSS J151050.10+054448.8
      52	1237658780557836650	227.754692	+05.795860	17.88	 0.07991	 0.00006	2  	Y	  1	Sloan	SDSS J151101.12+054745.0
      53	1237658780557836805	227.702147	+05.744921	20.17	 0.38827	 0.00007	1  	N	  0	Sloan	SDSS J151048.51+054441.7
      54	1237658780557836806	227.704789	+05.769446	20.09	 0.07364	 0.00016	1  	N	  0	Sloan	SDSS J151049.14+054610.0
      55	1237658780557836827	227.713252	+05.788892	19.25	 0.17166	 0.00006	2  	N	  0	Sloan	SDSS J151051.18+054720.0
      56	1237658780557836831	227.715743	+05.778881	19.77	 0.08015	 0.00011	2  	Y	  1	Sloan	SDSS J151051.77+054643.9
      57	1237658780557836864	227.739638	+05.801346	20.13	 0.07563	 0.00013	1  	Y	  0	Sloan	SDSS J151057.51+054804.8
      58	1237658780557836879	227.745328	+05.806815	19.90	 0.07790	 0.00002	2  	Y	  1	Sloan	SDSS J151058.87+054824.5
      59	1237658780557837103	227.704340	+05.781346	19.57	 0.38136	 0.00013	1  	N	  0	Sloan	SDSS J151049.04+054652.8
      60	1237658780557837114	227.710939	+05.775290	20.56	 0.32358	 0.00016	1  	N	  0	Sloan	SDSS J151050.62+054631.0
      61	1237662268074033194	227.773031	+05.730126	16.99	 0.07483	 0.00008	2  	Y	  1	Sloan	SDSS J151105.52+054348.4
      62	1237662268074033212	227.782062	+05.755438	20.96	 0.45307	 0.00008	1  	N	  0	Sloan	SDSS J151107.69+054519.5
      63	1237662268074033388	227.761628	+05.802167	18.06	 0.07437	 0.00005	2  	Y	  1	Sloan	SDSS J151102.79+054807.8
      64	1237662268074033392	227.762666	+05.797332	17.73	 0.08974	 0.00007	2  	N	  1	Sloan	SDSS J151103.03+054750.3
      65	1237662268074033393	227.761734	+05.796471	19.44	 0.24812	 0.00002	2  	N	  0	Sloan	SDSS J151102.81+054747.2
      66	1237662268074033394	227.765067	+05.795884	19.73	 0.09006	 0.00006	1  	N	  0	Sloan	SDSS J151103.61+054745.1
      67	1237662268074033414	227.765850	+05.733974	18.35	 0.07647	 0.00009	2  	Y	  1	Sloan	SDSS J151103.80+054402.3
      68	1237662268074033841	227.780020	+05.743106	19.60	 0.36199	 0.00006	2  	N	  0	Sloan	SDSS J151107.20+054435.1
      69	1237662268074033842	227.779090	+05.742805	20.69	 0.36120	 0.00021	1  	N	  0	Sloan	SDSS J151106.98+054434.0
      70	1237662268074034004	227.770761	+05.737997	19.92	 0.07423	 0.00014	2  	Y	  1	Sloan	SDSS J151104.98+054416.7
      71	1237662268074034016	227.773808	+05.744911	19.41	 0.08011	 0.00013	2  	Y	  1	Sloan	SDSS J151105.71+054441.6
      72	1237662268074034026	227.776939	+05.737470	19.84	 0.08217	 0.00012	2  	Y	  0	Sloan	SDSS J151106.46+054414.8
      73	1237662268074034038	227.781590	+05.765576	19.96	 0.09413	 0.00009	1  	N	  0	Sloan	SDSS J151107.58+054556.0
      74	1237655744020021359	227.717858	+05.721447	17.76	 0.07997	 0.00006	1,2	Y	  1	Sloan	SDSS J151052.28+054317.2
      75	1237655744020021371	227.721795	+05.718330	20.65	 0.54760	 0.00009	1  	N	  0	Sloan	SDSS J151053.23+054305.9
      76	1237655744020021671	227.704297	+05.733846	17.39	 0.07311	 0.00007	2,3	Y	  1	Sloan	SDSS J151049.03+054401.8
      77	1237655744020021673	227.706003	+05.731466	20.79	 0.06987	 0.00023	1  	N	  0	Sloan	SDSS J151049.44+054353.2
      78	1237655744020021683	227.703782	+05.724293	19.66	 0.26571	 0.00010	2  	N	  0	Sloan	SDSS J151048.90+054327.4
      79	1237655744020021694	227.712836	+05.716754	18.21	 0.07399	 0.00005	2  	Y	  1	Sloan	SDSS J151051.08+054300.3
      80	1237655744020021695	227.714055	+05.714024	19.43	 0.07690	 0.00008	1  	Y	  0	Sloan	SDSS J151051.37+054250.4
      81	1237655744020021700	227.714213	+05.707996	16.82	 0.06876	 0.00005	2  	N	  1	Sloan	SDSS J151051.41+054228.7
      82	1237655744020021701	227.712749	+05.708572	19.05	 0.22778	 0.00009	2  	N	  0	Sloan	SDSS J151051.05+054230.8
      83	1237655744020022308	227.713001	+05.726224	20.45	 0.26561	 0.00016	1  	N	  0	Sloan	SDSS J151051.12+054334.4
      84	1237655744020022350	227.728293	+05.717965	20.75	 0.07117	 0.00014	1  	N	  0	Sloan	SDSS J151054.79+054304.6
      85	1237655744020022389	227.735575	+05.714674	19.49	 0.06772	 0.00013	2  	N	  1	Sloan	SDSS J151056.53+054252.8
      86	1237655744020022393	227.736101	+05.704279	20.70	 0.45234	 0.00003	1  	N	  0	Sloan	SDSS J151056.66+054215.4
      87	1237655744020086828	227.778031	+05.727659	17.57	 0.08042	 0.00007	2,3	Y	  1	Sloan	SDSS J151106.72+054339.5
      88	1237655744020086981	227.748590	+05.714486	17.32	 0.08256	 0.00010	2,3	Y	  1	Sloan	SDSS J151059.66+054252.1
      89	1237655744020086997	227.760987	+05.702899	18.05	 0.08099	 0.00008	2  	Y	  1	Sloan	SDSS J151102.63+054210.4
      90	1237655744020087012	227.769822	+05.717389	20.64	 0.08521	 0.00024	1  	Y	  0	Sloan	SDSS J151104.75+054302.5
      91	1237655744020087266	227.780006	+05.712316	18.37	 0.08098	 0.00007	2  	Y	  1	Sloan	SDSS J151107.20+054244.3
      92	1237655744020087447	227.747111	+05.699626	20.43	 0.54819	 0.00012	1  	N	  0	Sloan	SDSS J151059.30+054158.6
      93	1237655744020087473	227.754457	+05.704468	21.95	 0.51279	        	4  	N	  0	Sloan	SDSS J151101.06+054216.0
      94	1237655744020087530	227.770273	+05.702104	20.46	 0.53367	 0.00012	1  	N	  0	Sloan	SDSS J151104.86+054207.5
      95	1237655744020087548	227.776187	+05.711221	20.00	 0.09039	 0.00013	1  	N	  0	Sloan	SDSS J151106.28+054240.3
      96	1237658780557771121	227.695122	+05.794563	17.66	 0.07469	 0.00005	2,3	Y	  1	Sloan	SDSS J151046.82+054740.4
      97	1237658780557771412	227.693072	+05.798840	18.71	 0.07921	 0.00008	2  	Y	  1	Sloan	SDSS J151046.33+054755.8
      98	1237658780557771413	227.689597	+05.761984	20.27	 0.07731	 0.00019	1  	Y	  0	Sloan	SDSS J151045.50+054543.1
      99	1237658780557771679	227.693156	+05.791682	19.75	 0.31978	 0.00013	2  	N	  0	Sloan	SDSS J151046.35+054730.0
     100	1237658780557836518	227.712637	+05.800867	16.33	 0.07437	 0.00008	2,3	Y	  1	Sloan	SDSS J151051.03+054803.1
     101	1237658780557836519	227.711906	+05.802839	19.52	 0.07602	 0.00020	2  	Y	  0	Sloan	SDSS J151050.85+054810.2
     102	1237658780557836728	227.738090	+05.809223	18.39	 0.18058	 0.00007	1,2	N	  0	Sloan	SDSS J151057.14+054833.2
     103	1237658780557836755	227.737984	+05.822500	20.47	 0.54645	 0.00023	1  	N	  0	Sloan	SDSS J151057.11+054921.0
     104	1237658780557836761	227.752958	+05.819182	18.59	 0.08584	 0.00008	2  	Y	  1	Sloan	SDSS J151100.70+054909.0
     105	1237658780557836762	227.751901	+05.822463	19.70	 0.54630	 0.00043	3  	N	  0	Sloan	SDSS J151100.45+054920.8
     106	1237658780557836803	227.705282	+05.790096	18.59	 0.07572	 0.00005	1,2	Y	  1	Sloan	SDSS J151049.26+054724.3
     107	1237658780557836876	227.745869	+05.818277	18.13	 0.07365	 0.00007	2  	Y	  1	Sloan	SDSS J151059.00+054905.7
     108	1237662268074033205	227.791715	+05.786649	19.07	 0.22089	 0.00009	2  	N	  0	Sloan	SDSS J151110.01+054711.9
     109	1237662268074033206	227.794656	+05.786409	20.65	 0.21986	 0.00011	1  	N	  0	Sloan	SDSS J151110.71+054711.0
     110	1237662268074033404	227.766094	+05.813073	18.10	 0.07367	 0.00017	1  	Y	  0	Sloan	SDSS J151103.86+054847.0
     111	1237662268074033464	227.789366	+05.796049	17.19	 0.07421	 0.00006	2,3	Y	  1	Sloan	SDSS J151109.44+054745.7
     112	1237662268074033465	227.792295	+05.796344	17.75	 0.07677	 0.00005	2  	Y	  1	Sloan	SDSS J151110.15+054746.8
     113	1237662268074033484	227.790167	+05.754511	18.55	 0.08068	 0.00008	2  	Y	  1	Sloan	SDSS J151109.64+054516.2
     114	1237662268074033754	227.798241	+05.785469	18.32	 0.22161	 0.00012	2  	N	  0	Sloan	SDSS J151111.57+054707.6
     115	1237662268074033955	227.766498	+05.820190	19.60	 0.17116	 0.00009	2  	N	  0	Sloan	SDSS J151103.95+054912.6
     116	1237662268074034078	227.787319	+05.741128	20.03	 0.55506	 0.00009	3  	N	  0	Sloan	SDSS J151108.95+054428.0
     117	1237662268074034098	227.793995	+05.775828	20.39	 0.54605	 0.00016	3  	N	  0	Sloan	SDSS J151110.55+054632.9
     118	1237662268074034103	227.793002	+05.748977	21.28	 0.84418	        	4  	N	  0	Sloan	SDSS J151110.32+054456.3
     119	1237662268074034151	227.803687	+05.758689	20.11	 0.39531	 0.00009	1  	N	  0	Sloan	SDSS J151112.88+054531.2
     120	1237655744020021314	227.687419	+05.702932	20.16	 0.57095	 0.00008	3  	N	  0	Sloan	SDSS J151044.98+054210.5
     121	1237655744020021558	227.655041	+05.725204	18.59	 0.07726	 0.00006	1,2	Y	  1	Sloan	SDSS J151037.20+054330.7
     122	1237655744020021596	227.667414	+05.740278	18.01	 0.06957	 0.00007	2  	Y	  1	Sloan	SDSS J151040.17+054425.0
     123	1237655744020021617	227.676988	+05.718882	16.20	 0.07325	 0.00007	2,3	Y	  1	Sloan	SDSS J151042.47+054307.9
     124	1237655744020021654	227.694560	+05.695429	17.97	 0.07650	 0.00006	2  	Y	  1	Sloan	SDSS J151046.69+054143.5
     125	1237655744020021655	227.692251	+05.696843	19.98	 0.07705	 0.00013	1  	Y	  0	Sloan	SDSS J151046.14+054148.6
     126	1237655744020021721	227.722525	+05.699576	17.56	 0.08274	 0.00010	2,3	Y	  1	Sloan	SDSS J151053.40+054158.4
     127	1237655744020021725	227.730497	+05.694237	18.10	 0.07987	 0.00005	2  	Y	  1	Sloan	SDSS J151055.31+054139.2
     128	1237655744020021737	227.736738	+05.676912	17.31	 0.08152	 0.00004	2,3	Y	  1	Sloan	SDSS J151056.81+054036.8
     129	1237655744020021782	227.690215	+05.723018	17.00	 0.09445	 0.00012	2,3	N	  0	Sloan	SDSS J151045.65+054322.8
     130	1237655744020021849	227.725403	+05.686814	20.28	 0.08031	 0.00016	1  	Y	  0	Sloan	SDSS J151054.09+054112.5
     131	1237655744020022107	227.657817	+05.740759	20.76	 0.55303	 0.00023	1  	N	  0	Sloan	SDSS J151037.87+054426.7
     132	1237655744020022157	227.670153	+05.729532	20.05	 0.39240	 0.00031	1  	N	  0	Sloan	SDSS J151040.83+054346.3
     133	1237655744020022249	227.694392	+05.690502	19.53	 0.07803	 0.00008	2  	Y	  1	Sloan	SDSS J151046.65+054125.8
     134	1237655744020022262	227.697034	+05.678503	19.06	 0.08103	 0.00010	2  	Y	  1	Sloan	SDSS J151047.28+054042.6
     135	1237655744020022265	227.701317	+05.694346	19.39	 0.22789	 0.00011	2  	N	  0	Sloan	SDSS J151048.31+054139.6
     136	1237655744020022329	227.720135	+05.669773	19.43	 0.10833	 0.00007	2  	N	  0	Sloan	SDSS J151052.83+054011.1
     137	1237655744020022330	227.720859	+05.668670	20.76	 0.22124	 0.00012	1  	N	  0	Sloan	SDSS J151053.00+054007.2
     138	1237655744020022356	227.726353	+05.672854	20.70	 0.55055	 0.00012	1  	N	  0	Sloan	SDSS J151054.32+054022.2
     139	1237655744020022602	227.737410	+05.691005	21.27	 0.55050	        	4  	N	  0	Sloan	SDSS J151056.97+054127.6
     140	1237655744020086833	227.776165	+05.704518	20.22	 0.57333	 0.00012	1  	N	  0	Sloan	SDSS J151106.27+054216.2
     141	1237655744020086978	227.744896	+05.691886	16.73	 0.07253	 0.00006	2,3	Y	  1	Sloan	SDSS J151058.77+054130.7
     142	1237655744020087006	227.765694	+05.687283	16.46	 0.08434	 0.00011	2,3	Y	  1	Sloan	SDSS J151103.76+054114.2
     143	1237655744020087007	227.767377	+05.687688	19.81	 0.07253	 0.00002	2  	Y	  1	Sloan	SDSS J151104.17+054115.6
     144	1237655744020087024	227.776750	+05.689700	16.92	 0.08067	 0.00005	2,3	Y	  1	Sloan	SDSS J151106.42+054122.9
     145	1237655744020087030	227.786009	+05.708915	17.86	 0.07676	 0.00007	2  	Y	  1	Sloan	SDSS J151108.64+054232.0
     146	1237655744020087085	227.808073	+05.717376	17.47	 0.08211	 0.00010	2  	Y	  1	Sloan	SDSS J151113.93+054302.5
     147	1237655744020087098	227.816648	+05.696620	16.44	 0.08350	 0.00010	2,3	Y	  1	Sloan	SDSS J151115.99+054147.8
     148	1237655744020087100	227.816359	+05.699312	20.09	 0.27342	 0.00003	1  	N	  0	Sloan	SDSS J151115.92+054157.5
     149	1237655744020087116	227.819432	+05.722711	17.09	 0.07387	 0.00008	2,3	Y	  1	Sloan	SDSS J151116.66+054321.7
     150	1237655744020087271	227.800811	+05.701424	18.54	 0.17344	 0.00009	1,2	N	  0	Sloan	SDSS J151112.19+054205.1
     151	1237655744020087347	227.769965	+05.696737	20.51	 0.20526	 0.00002	1  	N	  0	Sloan	SDSS J151104.79+054148.2
     152	1237655744020087476	227.754642	+05.677981	19.90	 0.11943	 0.00017	1  	N	  0	Sloan	SDSS J151101.11+054040.7
     153	1237655744020087504	227.762877	+05.695412	19.67	 0.27329	 0.00021	1  	N	  0	Sloan	SDSS J151103.09+054143.4
     154	1237655744020087529	227.768014	+05.677406	20.24	 0.08337	 0.00016	1  	Y	  0	Sloan	SDSS J151104.32+054038.6
     155	1237655744020087605	227.793695	+05.706139	20.83	 0.08203	 0.00018	1  	Y	  0	Sloan	SDSS J151110.48+054222.0
     156	1237655744020087657	227.813039	+05.719788	19.86	 0.25200	 0.00005	2  	N	  0	Sloan	SDSS J151115.12+054311.2
     157	1237655744020087944	227.760335	+05.679543	20.96	 0.55993	 0.00018	1  	N	  0	Sloan	SDSS J151102.48+054046.3
     158	1237658780557770830	227.677171	+05.747531	16.70	 0.07803	 0.00012	2,3	Y	  1	Sloan	SDSS J151042.52+054451.1
     159	1237658780557770995	227.675964	+05.805156	17.79	 0.07228	 0.00010	2  	Y	  1	Sloan	SDSS J151042.23+054818.5
     160	1237658780557771094	227.656617	+05.791334	17.31	 0.07684	 0.00006	2,3	Y	  1	Sloan	SDSS J151037.58+054728.8
     161	1237658780557771105	227.670577	+05.820753	17.67	 0.07302	 0.00007	2,3	Y	  1	Sloan	SDSS J151040.93+054914.7
     162	1237658780557771107	227.669267	+05.822720	20.09	 0.32295	 0.00026	1  	N	  0	Sloan	SDSS J151040.62+054921.7
     163	1237658780557771108	227.672433	+05.820231	19.83	 0.07612	 0.00020	2  	Y	  1	Sloan	SDSS J151041.38+054912.8
     164	1237658780557771111	227.686506	+05.836255	16.77	 0.07690	 0.00008	2,3	Y	  1	Sloan	SDSS J151044.76+055010.5
     165	1237658780557771163	227.676928	+05.778149	17.24	 0.07723	 0.00007	2,3	Y	  1	Sloan	SDSS J151042.46+054641.3
