#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:25:46 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:25:46	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/224/33/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22240033
#Name: J/ApJS/224/33
#Title: CLASH-VLT: the FF cluster MACS J0416.1-2403 (Balestra+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	creator=Balestra I.	    First author or institution
#INFO	cites=bibcode:2016ApJS..224...33B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/224/33	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22240033	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-09-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_224_33_table2:
#Name: J/ApJS/224/33/table2
#Title: CLASH-VLT spectroscopic redshift catalog of MACS J0416.1-2403
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A16)	CLASHVLT identifier (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	[63.8/64.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[-24.3/-23.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0/4.2] Spectroscopic redshift	[ucd=src.redshift]
#Column	q_z	(I1)	[2/9] Quality flag on z (1)	[ucd=meta.code.qual;src.redshift]
#Column	r_z	(I1)	[1/5] Reference code for z (2)	[ucd=meta.ref;pos.frame]
#Column	Rmag	(F5.2)	[15.2/25.7]? Subaru/Suprime Cam Kron R-band AB magnitude	[ucd=phot.mag;em.opt.R]
#Column	f_ID	(A3)	Flag(s) on ID (3)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	RAJ2000	DEJ2000	z	q_z	r_z	Rmag	f_ID	Simbad
      72	J041603.0-241522	064.012409	-24.256286	 0.3030	3	1	23.78	   	Simbad
      73	J041535.5-241514	063.897759	-24.253989	 0.2996	3	1	21.17	   	Simbad
      74	J041523.3-241514	063.847075	-24.254057	 0.5037	3	2	21.07	   	Simbad
      75	J041657.6-241516	064.240139	-24.254542	 0.5943	3	1	22.49	   	Simbad
      76	J041649.9-241516	064.207722	-24.254476	 0.3053	3	1	21.38	   	Simbad
      77	J041632.0-241516	064.133482	-24.254581	 0.4899	3	1	23.39	   	Simbad
      78	J041537.9-241513	063.907736	-24.253774	 0.2515	3	2	19.28	   	Simbad
      79	J041559.1-241519	063.996083	-24.255322	 0.3994	3	1	21.52	   	Simbad
      80	J041650.2-241506	064.209080	-24.251689	 0.3972	3	3	20.72	   	Simbad
      81	J041537.9-241511	063.907966	-24.253187	 0.2509	3	1	19.18	R  	Simbad
      82	J041605.4-241446	064.022472	-24.246122	 0.0000	3	1	17.03	   	Simbad
      83	J041631.6-241514	064.131751	-24.254070	 0.5583	3	1	22.35	   	Simbad
      84	J041556.2-241507	063.984240	-24.252030	 0.4652	3	1	20.60	   	Simbad
      85	J041530.5-241503	063.877284	-24.251106	 0.3140	3	1	19.75	   	Simbad
      86	J041549.6-241507	063.956470	-24.252023	 0.1132	2	1	21.63	   	Simbad
      87	J041634.8-241518	064.145094	-24.255086	 0.4626	3	2	23.98	   	Simbad
      88	J041523.6-241513	063.848539	-24.253769	 0.6794	3	1	21.97	   	Simbad
      89	J041654.2-241515	064.225977	-24.254275	 0.4067	3	1	22.60	   	Simbad
      90	J041514.8-241510	063.811730	-24.252819	 0.6910	9	1	23.16	   	Simbad
      91	J041552.6-241518	063.969226	-24.255078	 0.3553	2	1	23.92	   	Simbad
      92	J041558.7-241512	063.994679	-24.253513	 0.7165	3	3	21.37	   	Simbad
      93	J041624.8-241459	064.103322	-24.249869	 0.5077	3	1	20.92	   	Simbad
      94	J041603.3-241513	064.013712	-24.253882	 0.2752	3	1	22.01	   	Simbad
      95	J041540.9-241458	063.920620	-24.249550	 0.3944	3	1	20.27	   	Simbad
      96	J041658.9-241511	064.245280	-24.253148	 0.3048	3	1	22.00	   	Simbad
      97	J041615.7-241514	064.065577	-24.253945	 3.3190	2	1	23.94	   	Simbad
      98	J041610.0-241515	064.041672	-24.254227	 0.3937	9	2	23.87	   	Simbad
      99	J041624.5-241511	064.102264	-24.253195	 0.2979	3	1	22.47	   	Simbad
     100	J041634.3-241509	064.142880	-24.252742	 0.9214	3	1	21.92	   	Simbad
     101	J041515.6-241437	063.814967	-24.243773	 0.4180	3	1	19.41	   	Simbad
     102	J041619.0-241514	064.079239	-24.253897	 0.3876	3	1	23.98	   	Simbad
     103	J041529.3-241512	063.872025	-24.253462	 0.4770	3	1	23.66	   	Simbad
     104	J041540.8-241508	063.919841	-24.252281	 0.4202	3	1	21.98	   	Simbad
     105	J041604.7-241511	064.019437	-24.253143	 0.4664	9	1	24.51	   	Simbad
     106	J041553.4-241503	063.972411	-24.251100	 0.5501	9	1	24.01	   	Simbad
     107	J041541.4-241511	063.922635	-24.253229	 0.5675	3	1	23.86	   	Simbad
     108	J041516.8-241503	063.820017	-24.251109	 0.2921	2	1	22.91	   	Simbad
     109	J041650.9-241510	064.212087	-24.252885	 0.3054	3	1	23.46	   	Simbad
     110	J041533.4-241453	063.889037	-24.248311	 0.5589	3	2	20.80	   	Simbad
     111	J041647.7-241507	064.198785	-24.252060	 0.5963	3	1	22.87	   	Simbad
     112	J041619.4-241507	064.080889	-24.252196	 0.4057	3	1	23.13	   	Simbad
     113	J041600.5-241505	064.002285	-24.251642	 0.4222	2	1	23.47	   	Simbad
     114	J041618.9-241505	064.078586	-24.251397	 0.4062	3	1	21.80	   	Simbad
     115	J041525.8-241507	063.857532	-24.252097	 0.5027	2	1	22.71	   	Simbad
     116	J041653.3-241501	064.222205	-24.250535	 0.3054	3	2	22.00	   	Simbad
     117	J041557.0-241506	063.987315	-24.251925	 2.7151	3	1	23.25	   	Simbad
     118	J041632.5-241506	064.135244	-24.251762	 0.3509	3	1	22.76	   	Simbad
     119	J041558.9-241458	063.995261	-24.249632	 0.4651	2	1	21.85	   	Simbad
     120	J041530.3-241502	063.876400	-24.250635	 0.3165	3	1	21.60	   	Simbad
     121	J041524.0-241455	063.849972	-24.248621	 0.0593	3	1	20.14	   	Simbad
     122	J041523.0-241341	063.845982	-24.228307	 0.2520	3	1	19.07	   	Simbad
     123	J041637.0-241456	064.154296	-24.249026	 0.7905	3	1	23.26	   	Simbad
     124	J041540.9-241502	063.920616	-24.250569	 0.3958	2	3	22.91	   	Simbad
     125	J041526.5-241503	063.860329	-24.251046	 0.3563	3	1	22.44	   	Simbad
     126	J041638.3-241438	064.159553	-24.244087	 0.3055	3	1	19.19	   	Simbad
     127	J041637.5-241459	064.156382	-24.249823	 0.3032	3	1	22.53	   	Simbad
     128	J041607.7-241459	064.032089	-24.249991	 0.3060	3	1	23.34	   	Simbad
     129	J041537.8-241504	063.907385	-24.251120	 0.7022	9	2	24.25	   	Simbad
     130	J041607.8-241455	064.032583	-24.248652	 0.6379	3	1	22.39	   	Simbad
     131	J041529.3-241457	063.872079	-24.249273	 0.6360	9	3	22.61	   	Simbad
     132	J041545.4-241454	063.939255	-24.248521	 0.3951	3	1	21.42	   	Simbad
     133	J041647.4-241454	064.197370	-24.248532	 0.7334	3	1	21.84	   	Simbad
     134	J041703.3-241456	064.263846	-24.248908	 0.3640	3	2	21.74	   	Simbad
     135	J041536.7-241445	063.902717	-24.245924	 0.4330	3	2	20.49	   	Simbad
     136	J041655.3-241457	064.230228	-24.249215	 0.6302	3	1	22.13	   	Simbad
     137	J041705.2-241457	064.271718	-24.249421	 0.6645	3	1	22.69	   	Simbad
     138	J041551.1-241456	063.962986	-24.248982	 0.2999	3	1	22.88	   	Simbad
     139	J041632.9-241500	064.136920	-24.250022	 0.5602	3	1	23.45	   	Simbad
     140	J041642.8-241449	064.178466	-24.247081	 0.5943	3	1	21.20	   	Simbad
     141	J041659.1-241447	064.246193	-24.246423	 0.3049	3	1	20.49	   	Simbad
     142	J041558.6-241455	063.994213	-24.248866	 0.5403	3	1	22.86	   	Simbad
     143	J041605.2-241443	064.021511	-24.245522	 0.4007	3	3	20.93	   	Simbad
     144	J041659.2-241449	064.246719	-24.247097	 0.2982	3	1	21.08	   	Simbad
     145	J041657.3-241456	064.238726	-24.248953	 0.3061	2	1	22.97	   	Simbad
     146	J041654.7-241457	064.228095	-24.249245	 0.3427	3	1	23.46	   	Simbad
     147	J041638.0-241444	064.158345	-24.245749	 0.3081	3	1	20.08	   	Simbad
     148	J041551.7-241450	063.965239	-24.247497	 0.4196	3	1	21.80	   	Simbad
     149	J041618.4-241456	064.076793	-24.249016	 0.3910	9	1	24.17	   	Simbad
     150	J041649.5-241444	064.206258	-24.245662	 0.1693	3	1	20.26	   	Simbad
     151	J041528.8-241347	063.869796	-24.229956	 0.3854	3	2	19.81	R  	Simbad
     152	J041532.6-241453	063.886025	-24.248065	 0.4672	3	2	21.94	R  	Simbad
     153	J041631.8-241447	064.132629	-24.246641	 0.6245	9	1	23.34	   	Simbad
     154	J041610.6-241452	064.044248	-24.247979	 0.3051	3	3	21.92	   	Simbad
     155	J041532.9-241452	063.887124	-24.248027	 0.3127	3	1	22.47	   	Simbad
     156	J041553.6-241457	063.973374	-24.249193	 0.4654	3	1	23.85	   	Simbad
     157	J041622.5-241446	064.093774	-24.246120	 0.5084	3	1	21.74	   	Simbad
     158	J041625.6-241455	064.106504	-24.248717	 0.5879	3	1	23.41	   	Simbad
     159	J041555.9-241456	063.983034	-24.249087	 0.2970	3	2	23.87	   	Simbad
     160	J041546.0-241454	063.941508	-24.248431	 0.4329	3	1	23.64	   	Simbad
     161	J041651.9-241438	064.216427	-24.244064	 0.5367	2	1	21.61	   	Simbad
     162	J041609.3-241425	064.038857	-24.240290	 0.2079	3	1	20.83	   	Simbad
     163	J041530.5-241452	063.876954	-24.248048	 0.3514	3	1	22.21	   	Simbad
     164	J041642.0-241452	064.175100	-24.247857	 0.5889	3	2	23.64	   	Simbad
     165	J041549.2-241447	063.954896	-24.246446	 0.5925	3	1	20.95	   	Simbad
     166	J041637.4-241443	064.156008	-24.245426	 0.2693	3	1	21.61	   	Simbad
     167	J041655.4-241450	064.230660	-24.247414	 0.4070	3	1	22.13	   	Simbad
     168	J041548.6-241449	063.952460	-24.247037	 0.5714	3	1	22.73	   	Simbad
     169	J041531.2-241448	063.879931	-24.246719	 0.4655	3	1	21.53	   	Simbad
     170	J041607.3-241450	064.030221	-24.247259	 0.4634	3	1	22.31	   	Simbad
     171	J041702.8-241449	064.261562	-24.247094	 0.2987	3	1	23.39	   	Simbad
     172	J041547.5-241450	063.947722	-24.247499	 0.6361	3	1	23.26	   	Simbad
     173	J041626.0-241406	064.108299	-24.235194	 0.2985	3	1	19.28	   	Simbad
     174	J041624.7-241449	064.102763	-24.247179	 0.3856	3	1	22.90	   	Simbad
     175	J041614.2-241446	064.059290	-24.246275	 0.7119	3	1	23.47	   	Simbad
     176	J041636.0-241441	064.150114	-24.244796	 0.3040	3	1	20.11	   	Simbad
     177	J041613.4-241443	064.055735	-24.245490	 0.4062	3	1	21.08	   	Simbad
     178	J041658.4-241444	064.243366	-24.245572	 0.3089	3	2	22.04	   	Simbad
     179	J041700.3-241423	064.251135	-24.239756	 0.3061	3	1	19.34	   	Simbad
     180	J041600.8-241449	064.003255	-24.247202	 2.5516	2	1	24.18	   	Simbad
     181	J041616.4-241445	064.068414	-24.245884	 0.3944	2	1	22.88	   	Simbad
     182	J041705.1-241443	064.271194	-24.245404	 0.4359	2	1	22.88	   	Simbad
     183	J041612.0-241445	064.050041	-24.245898	 0.7943	3	1	22.50	   	Simbad
     184	J041655.5-241436	064.231089	-24.243417	 0.3030	3	1	20.88	   	Simbad
     185	J041612.2-241440	064.051016	-24.244671	 0.2150	3	1	21.52	   	Simbad
     186	J041543.3-241447	063.930319	-24.246568	 0.4038	3	1	23.81	   	Simbad
     187	J041701.5-241443	064.256343	-24.245436	 0.4328	3	1	22.58	   	Simbad
     188	J041528.8-241423	063.869932	-24.239960	 0.3846	3	2	21.61	   	Simbad
     189	J041622.4-241417	064.093298	-24.238325	 0.5602	3	1	19.71	   	Simbad
     190	J041619.2-241410	064.079838	-24.236260	 0.3879	3	1	19.27	R  	Simbad
     191	J041626.5-241444	064.110291	-24.245640	 0.5871	3	1	22.49	   	Simbad
     192	J041555.4-241445	063.981034	-24.245888	 0.5462	3	1	23.28	   	Simbad
     193	J041522.9-241427	063.845321	-24.240966	 0.3825	3	1	20.47	   	Simbad
     194	J041635.1-241429	064.146132	-24.241616	 0.3503	3	1	22.46	   	Simbad
     195	J041601.2-241441	064.004910	-24.244921	 0.6879	3	1	23.03	   	Simbad
     196	J041604.5-241442	064.018677	-24.245139	 0.7189	3	1	22.21	   	Simbad
     197	J041525.6-241443	063.856482	-24.245459	 0.5870	2	2	23.36	   	Simbad
     198	J041518.0-241443	063.824860	-24.245382	 0.3818	2	1	23.07	   	Simbad
     199	J041701.5-241438	064.256336	-24.244138	 0.1149	3	1	21.38	   	Simbad
     200	J041524.3-241441	063.851191	-24.244728	 0.5033	3	1	23.39	   	Simbad
     201	J041622.2-241439	064.092309	-24.244191	 0.4871	3	2	23.17	   	Simbad
     202	J041549.4-241442	063.955858	-24.245010	 0.5371	3	1	22.75	   	Simbad
     203	J041531.4-241442	063.880902	-24.245014	 0.4634	2	2	22.92	   	Simbad
     204	J041621.5-241443	064.089508	-24.245513	 0.3146	3	1	23.76	   	Simbad
     205	J041533.3-241437	063.888712	-24.243844	 0.2710	2	2	22.63	   	Simbad
     206	J041529.1-241440	063.871381	-24.244565	 0.4670	2	1	22.54	   	Simbad
     207	J041658.4-241442	064.243427	-24.245165	 0.6777	2	2	23.75	   	Simbad
     208	J041543.7-241441	063.931908	-24.244880	 0.4190	2	1	23.53	   	Simbad
     209	J041626.5-241442	064.110233	-24.245085	 0.3621	9	1	24.53	   	Simbad
     210	J041659.8-241427	064.249065	-24.240873	 0.3027	3	1	21.67	   	Simbad
     211	J041616.5-241435	064.068742	-24.243071	 0.2345	3	1	22.72	   	Simbad
     212	J041545.3-241436	063.938544	-24.243428	 0.4188	3	1	22.07	   	Simbad
     213	J041547.9-241422	063.949734	-24.239534	 0.0000	3	1	18.30	   	Simbad
     214	J041643.7-241437	064.181900	-24.243757	 0.6865	3	1	23.15	   	Simbad
     215	J041654.1-241435	064.225500	-24.243252	 0.4233	3	2	23.61	   	Simbad
     216	J041522.6-241433	063.844129	-24.242630	 0.5388	3	2	22.19	   	Simbad
     217	J041609.4-241412	064.038988	-24.236714	 0.3951	3	1	19.86	   	Simbad
     218	J041605.3-241432	064.022175	-24.242489	 0.6393	3	1	22.95	   	Simbad
     219	J041627.7-241435	064.115617	-24.243271	 0.6687	3	1	24.10	   	Simbad
     220	J041549.5-241435	063.956214	-24.243130	 0.3963	3	1	21.93	   	Simbad
     221	J041539.5-241437	063.914532	-24.243880	 0.3642	9	1	23.74	   	Simbad
     222	J041517.3-241438	063.822076	-24.243928	 0.6924	9	1	23.73	   	Simbad
     223	J041527.1-241438	063.863065	-24.244101	 0.6355	9	1	24.13	   	Simbad
     224	J041620.2-241433	064.084284	-24.242537	 0.4846	3	1	22.46	   	Simbad
     225	J041605.7-241433	064.023563	-24.242501	 0.3303	2	1	22.99	   	Simbad
     226	J041560.0-241424	063.999800	-24.240161	 0.2851	3	1	19.80	   	Simbad
     227	J041626.3-241428	064.109663	-24.241135	 0.4672	3	1	20.92	   	Simbad
     228	J041551.6-241431	063.964959	-24.242196	 0.4553	3	1	22.32	   	Simbad
     229	J041605.2-241434	064.021536	-24.242878	 0.7598	3	1	23.32	   	Simbad
     230	J041548.3-241434	063.951283	-24.242852	 0.4650	3	1	23.13	   	Simbad
     231	J041608.0-241435	064.033441	-24.243255	 0.3900	3	1	23.49	   	Simbad
     232	J041626.3-241436	064.109598	-24.243387	 0.5860	9	1	22.97	   	Simbad
     233	J041537.3-241433	063.905339	-24.242668	 0.2522	3	1	22.98	   	Simbad
     234	J041623.7-241437	064.098580	-24.243764	 2.4171	2	1	24.44	   	Simbad
     235	J041649.4-241423	064.205972	-24.239937	 0.4341	3	1	22.00	   	Simbad
     236	J041558.6-241432	063.994331	-24.242475	 0.6471	3	1	23.55	   	Simbad
     237	J041515.1-241425	063.812840	-24.240555	 0.4201	3	1	21.70	   	Simbad
     238	J041627.5-241432	064.114769	-24.242309	 0.4664	2	1	21.68	   	Simbad
     239	J041700.2-241431	064.250812	-24.242063	 0.4356	3	1	22.99	   	Simbad
     240	J041558.6-241425	063.994295	-24.240348	 0.7181	3	1	21.17	   	Simbad
     241	J041634.7-241426	064.144728	-24.240677	 0.3864	3	1	21.15	   	Simbad
     242	J041617.6-241429	064.073185	-24.241618	 0.4858	2	1	22.72	   	Simbad
     243	J041639.0-241432	064.162658	-24.242278	 0.3075	2	1	23.55	   	Simbad
     244	J041630.2-241433	064.125966	-24.242739	 0.5367	3	1	22.84	   	Simbad
     245	J041635.2-241435	064.146593	-24.243088	 0.3495	3	1	24.22	   	Simbad
     246	J041533.8-241406	063.890788	-24.235255	 0.3914	3	2	21.10	   	Simbad
     247	J041656.0-241426	064.233169	-24.240787	 0.3073	3	2	21.35	   	Simbad
     248	J041613.4-241432	064.055846	-24.242303	 0.3849	3	2	23.59	   	Simbad
     249	J041619.1-241433	064.079587	-24.242768	 0.3921	3	1	24.05	   	Simbad
     250	J041641.4-241413	064.172526	-24.236996	 0.4324	3	1	20.75	   	Simbad
     251	J041557.8-241430	063.990730	-24.241817	 0.5699	3	2	22.66	   	Simbad
     252	J041619.7-241428	064.081926	-24.241226	 0.4849	2	1	22.86	   	Simbad
     253	J041601.7-241429	064.007133	-24.241550	 0.3059	3	1	22.80	   	Simbad
