#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/872/192/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720192
#Name: J/ApJ/872/192
#Title: A spectroscopic census of A2029 members (Sohn+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..192S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/192	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720192	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_872_192_table1:
#Name: J/ApJ/872/192/table1
#Title: Physical properties of the spectroscopic members of A2029
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	SDSS	(A19)	SDSS name (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id;meta.main]
#Column	objID	(I19)	SDSS object identifier	[ucd=meta.id]
#Column	RAJ2000	(F10.6)	[226.15/229.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[4.1/7.4] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.069/0.09] Spectroscopic redshift	[ucd=src.redshift]
#Column	e_z	(F7.4)	[0/0.001]? Uncertainty in z	[ucd=stat.error;src.redshift]
#Column	logM*	(F6.2)	[7/11.9]? log stellar mass	[ucd=phys.mass]
#Column	e_logM*	(F5.2)	[0/0.6] Uncertainty in logM*	[ucd=stat.error]
#Column	Dn4000	(F5.2)	[0.1/4.9]? The D_n_4000 spectroscopic index	[ucd=spect.index]
#Column	e_Dn4000	(F5.2)	[0/3.8]? Uncertainty in Dn4000	[ucd=stat.error]
#Column	sigma	(I3)	[7/983]? Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/873]? Uncertainty in sigma	[ucd=stat.error]
#Column	Class	(A1)	Spectral type code (1)	[ucd=meta.code.class]
#Column	E+A?	(A1)	[NY] An E+A galaxy?	[ucd=meta.code]
#Column	T13	(I3)	Display data from Tyler+, 2013, J/ApJ/773/86 within 3"	[ucd=meta.ref.url]
#Column	S17	(I3)	Display data from Sohn+, 2017, J/ApJS/229/20 within 3"	[ucd=meta.ref.url]
#Column	PapI	(I3)	Display data from Sohn+, 2019, J/ApJ/871/129	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS DR14 or DR7 data for this object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	SDSS	objID	RAJ2000	DEJ2000	z	e_z	logM*	e_logM*	Dn4000	e_Dn4000	sigma	e_sigma	Class	E+A?	T13	S17	PapI	Sloan	Simbad
      34	J151105.71+054441.6	1237662268074034016	227.773808	+05.744911	 0.0801	 0.0001	  8.76	 0.09	 1.62	 0.10	 22	   	N	N	  1	  1	  1	Sloan	Simbad
      35	J151106.46+054414.8	1237662268074034026	227.776939	+05.737470	 0.0822	 0.0001	  9.03	 0.12	 1.54	 0.08	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
      36	J151052.28+054317.2	1237655744020021359	227.717858	+05.721447	 0.0800	 0.0001	 10.18	 0.06	 1.89	 0.04	149	  8	N	N	  1	  1	  1	Sloan	Simbad
      37	J151049.03+054401.8	1237655744020021671	227.704297	+05.733846	 0.0731	 0.0001	 10.48	 0.04	 1.89	 0.05	122	  9	N	N	  1	  1	  1	Sloan	Simbad
      38	J151051.08+054300.3	1237655744020021694	227.712836	+05.716754	 0.0740	 0.0000	  9.80	 0.15	 1.99	 0.06	108	 10	N	N	  1	  1	  1	Sloan	Simbad
      39	J151051.37+054250.4	1237655744020021695	227.714055	+05.714024	 0.0769	 0.0001	  9.41	 0.17	 1.94	 0.11	 22	   	N	N	  0	  1	  1	Sloan	Simbad
      40	J151106.72+054339.5	1237655744020086828	227.778031	+05.727659	 0.0804	 0.0001	      	 0.00	 1.98	 0.04	174	  5	N	N	  1	  1	  1	Sloan	Simbad
      41	J151059.66+054252.1	1237655744020086981	227.748590	+05.714486	 0.0826	 0.0001	 10.43	 0.14	 1.81	 0.04	165	  9	N	N	  1	  1	  1	Sloan	Simbad
      42	J151102.63+054210.4	1237655744020086997	227.760987	+05.702899	 0.0810	 0.0001	 10.06	 0.14	 2.04	 0.04	135	  7	N	N	  1	  1	  1	Sloan	Simbad
      43	J151104.75+054302.6	1237655744020087012	227.769822	+05.717389	 0.0852	 0.0002	  8.72	 0.22	 1.95	 0.28	334	 95	N	N	  0	  1	  1	Sloan	Simbad
      44	J151107.20+054244.3	1237655744020087266	227.780006	+05.712316	 0.0810	 0.0001	  9.80	 0.17	 1.92	 0.06	 55	 17	N	N	  1	  1	  1	Sloan	Simbad
      45	J151046.82+054740.4	1237658780557771121	227.695122	+05.794563	 0.0747	 0.0000	 10.28	 0.09	 1.97	 0.04	140	  6	N	N	  1	  1	  1	Sloan	Simbad
      46	J151046.33+054755.8	1237658780557771412	227.693072	+05.798840	 0.0792	 0.0001	  9.42	 0.16	 1.80	 0.05	 69	 15	N	N	  1	  1	  1	Sloan	Simbad
      47	J151045.50+054543.1	1237658780557771413	227.689597	+05.761984	 0.0773	 0.0002	  8.66	 0.23	 2.48	 0.37	 56	 64	N	N	  0	  1	  1	Sloan	Simbad
      48	J151051.03+054803.1	1237658780557836518	227.712637	+05.800867	 0.0744	 0.0001	 10.65	 0.16	 1.99	 0.05	233	 10	N	N	  1	  1	  1	Sloan	Simbad
      49	J151050.85+054810.2	1237658780557836519	227.711906	+05.802839	 0.0760	 0.0002	  8.37	 0.48	 1.38	 0.12	202	 67	N	N	  0	  1	  1	Sloan	Simbad
      50	J151100.71+054909.0	1237658780557836761	227.752958	+05.819182	 0.0858	 0.0001	  9.46	 0.10	 1.83	 0.05	 94	 14	N	N	  1	  1	  1	Sloan	Simbad
      51	J151049.26+054724.3	1237658780557836803	227.705282	+05.790096	 0.0757	 0.0001	  9.70	 0.15	 1.79	 0.05	 38	 33	N	N	  1	  1	  1	Sloan	Simbad
      52	J151059.00+054905.8	1237658780557836876	227.745869	+05.818277	 0.0737	 0.0001	  9.38	 0.14	 1.28	 0.03	 71	 28	N	N	  1	  1	  1	Sloan	Simbad
      53	J151103.86+054847.0	1237662268074033404	227.766094	+05.813073	 0.0737	 0.0002	  9.97	 0.17	 1.62	 0.18	 77	 54	N	N	  0	  1	  1	Sloan	Simbad
      54	J151109.44+054745.7	1237662268074033464	227.789366	+05.796049	 0.0742	 0.0001	 10.23	 0.15	 1.86	 0.04	160	  5	N	N	  1	  1	  1	Sloan	Simbad
      55	J151110.15+054746.8	1237662268074033465	227.792295	+05.796344	 0.0768	 0.0001	 10.09	 0.12	 1.96	 0.05	131	  8	N	N	  1	  1	  1	Sloan	Simbad
      56	J151109.64+054516.2	1237662268074033484	227.790167	+05.754511	 0.0807	 0.0001	  9.62	 0.09	 2.00	 0.07	 66	 16	N	N	  1	  1	  1	Sloan	Simbad
      57	J151037.21+054330.7	1237655744020021558	227.655041	+05.725204	 0.0773	 0.0001	  9.42	 0.08	 1.90	 0.06	 75	 16	N	N	  1	  1	  1	Sloan	Simbad
      58	J151040.17+054425.0	1237655744020021596	227.667414	+05.740278	 0.0696	 0.0001	  9.35	 0.10	 1.16	 0.02	120	 19	S	N	  1	  1	  1	Sloan	Simbad
      59	J151042.47+054307.9	1237655744020021617	227.676988	+05.718882	 0.0732	 0.0001	 10.86	 0.06	 2.06	 0.05	250	  9	N	N	  1	  1	  1	Sloan	Simbad
      60	J151046.69+054143.5	1237655744020021654	227.694560	+05.695429	 0.0765	 0.0001	 10.03	 0.11	 2.03	 0.05	129	  9	N	N	  1	  1	  1	Sloan	Simbad
      61	J151046.14+054148.6	1237655744020021655	227.692251	+05.696843	 0.0771	 0.0001	  8.95	 0.16	 2.81	 0.45	 26	822	N	N	  0	  0	  1	Sloan	Simbad
      62	J151053.40+054158.4	1237655744020021721	227.722525	+05.699576	 0.0827	 0.0001	 10.37	 0.14	 1.94	 0.05	152	 10	N	N	  1	  1	  1	Sloan	Simbad
      63	J151055.31+054139.2	1237655744020021725	227.730497	+05.694237	 0.0799	 0.0001	 10.02	 0.13	 1.92	 0.06	 57	 13	N	N	  1	  1	  1	Sloan	Simbad
      64	J151056.81+054036.8	1237655744020021737	227.736738	+05.676912	 0.0815	 0.0000	  9.37	 0.07	 1.14	 0.02	308	 24	S	N	  1	  1	  1	Sloan	Simbad
      65	J151054.09+054112.5	1237655744020021849	227.725403	+05.686814	 0.0803	 0.0002	  8.53	 0.18	 1.19	 0.11	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
      66	J151046.65+054125.8	1237655744020022249	227.694392	+05.690502	 0.0780	 0.0001	  9.17	 0.14	 1.72	 0.07	 22	   	N	N	  1	  1	  1	Sloan	Simbad
      67	J151047.28+054042.6	1237655744020022262	227.697034	+05.678503	 0.0810	 0.0001	  9.61	 0.15	 1.79	 0.08	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
      68	J151058.77+054130.7	1237655744020086978	227.744896	+05.691886	 0.0725	 0.0001	 10.50	 0.16	 2.02	 0.05	168	  9	N	N	  1	  1	  1	Sloan	Simbad
      69	J151103.76+054114.2	1237655744020087006	227.765694	+05.687283	 0.0843	 0.0001	 11.01	 0.04	 1.72	 0.04	165	 10	N	N	  1	  1	  1	Sloan	Simbad
      70	J151104.17+054115.6	1237655744020087007	227.767377	+05.687688	 0.0725	 0.0000	  8.32	 0.16	 1.08	 0.03	678	106	S	N	  1	  1	  1	Sloan	Simbad
      71	J151106.42+054122.9	1237655744020087024	227.776750	+05.689700	 0.0807	 0.0001	 10.05	 0.07	 1.16	 0.02	428	 17	A	N	  1	  1	  1	Sloan	Simbad
      72	J151108.64+054232.0	1237655744020087030	227.786009	+05.708915	 0.0768	 0.0001	 10.10	 0.09	 1.84	 0.05	 66	 12	N	N	  1	  1	  1	Sloan	Simbad
      73	J151113.93+054302.5	1237655744020087085	227.808073	+05.717376	 0.0821	 0.0001	 10.29	 0.12	 2.25	 0.13	129	 18	N	N	  1	  1	  1	Sloan	Simbad
      74	J151115.99+054147.8	1237655744020087098	227.816648	+05.696620	 0.0835	 0.0001	 10.64	 0.13	 1.67	 0.04	125	  9	A	N	  1	  1	  1	Sloan	Simbad
      75	J151116.66+054321.7	1237655744020087116	227.819432	+05.722711	 0.0739	 0.0001	 10.57	 0.05	 1.86	 0.04	153	  8	N	N	  1	  1	  1	Sloan	Simbad
      76	J151104.32+054038.6	1237655744020087529	227.768014	+05.677406	 0.0834	 0.0002	  8.88	 0.16	 1.73	 0.17	 22	   	N	N	  0	  1	  1	Sloan	Simbad
      77	J151110.48+054222.1	1237655744020087605	227.793695	+05.706139	 0.0820	 0.0002	  8.90	 0.17	 1.18	 0.10	724	298	N	N	  0	  0	  1	Sloan	Simbad
      78	J151042.52+054451.1	1237658780557770830	227.677171	+05.747531	 0.0780	 0.0001	 10.38	 0.05	 1.81	 0.04	218	  9	N	N	  1	  1	  1	Sloan	Simbad
      79	J151042.23+054818.5	1237658780557770995	227.675964	+05.805156	 0.0723	 0.0001	  9.86	 0.14	 1.59	 0.05	 72	 16	N	N	  1	  1	  1	Sloan	Simbad
      80	J151037.58+054728.8	1237658780557771094	227.656617	+05.791334	 0.0768	 0.0001	 10.46	 0.09	 2.02	 0.08	 97	 15	N	N	  1	  1	  1	Sloan	Simbad
      81	J151040.93+054914.7	1237658780557771105	227.670577	+05.820753	 0.0730	 0.0001	 10.21	 0.11	 2.21	 0.11	157	 15	N	N	  1	  1	  1	Sloan	Simbad
      82	J151041.38+054912.8	1237658780557771108	227.672433	+05.820231	 0.0761	 0.0002	  7.74	 0.45	 1.67	 0.14	 70	 53	N	N	  1	  1	  1	Sloan	Simbad
      83	J151044.76+055010.5	1237658780557771111	227.686506	+05.836255	 0.0769	 0.0001	 10.28	 0.16	 1.77	 0.04	151	  8	A	N	  1	  1	  1	Sloan	Simbad
      84	J151042.46+054641.3	1237658780557771163	227.676928	+05.778149	 0.0772	 0.0001	 10.00	 0.11	 1.94	 0.10	 49	 31	N	N	  1	  1	  1	Sloan	Simbad
      85	J151038.07+054717.9	1237658780557771354	227.658658	+05.788322	 0.0771	 0.0001	 10.06	 0.10	 1.61	 0.07	 23	   	N	N	  1	  1	  1	Sloan	Simbad
      86	J151037.08+054520.0	1237658780557771358	227.654517	+05.755559	 0.0696	 0.0002	  9.12	 0.27	 1.68	 0.13	 22	   	N	N	  1	  1	  1	Sloan	Simbad
      87	J151037.98+054521.9	1237658780557771362	227.658285	+05.756101	 0.0872	 0.0001	  9.21	 0.12	 1.27	 0.03	 39	 56	N	Y	  1	  1	  1	Sloan	Simbad
      88	J151038.73+054635.8	1237658780557771365	227.661397	+05.776636	 0.0753	 0.0002	  8.65	 0.34	 1.49	 0.11	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
      89	J151043.17+054846.7	1237658780557771388	227.679889	+05.812976	 0.0780	 0.0001	  9.23	 0.16	 2.04	 0.07	 53	 16	N	N	  1	  1	  1	Sloan	Simbad
      90	J151042.84+054428.9	1237658780557771399	227.678538	+05.741383	 0.0742	 0.0001	  8.97	 0.12	 1.78	 0.06	 83	 18	N	N	  1	  1	  1	Sloan	Simbad
      91	J151045.23+054932.7	1237658780557771408	227.688477	+05.825774	 0.0794	 0.0001	  9.60	 0.10	 1.73	 0.05	 47	 18	N	N	  1	  1	  1	Sloan	Simbad
      92	J151041.00+054655.5	1237658780557771647	227.670850	+05.782093	 0.0750	 0.0002	  9.19	 0.34	 1.82	 0.20	 22	   	N	N	  0	  0	  1	Sloan	Simbad
      93	J151049.78+054856.5	1237658780557836633	227.707440	+05.815711	 0.0794	 0.0001	 10.46	 0.12	 2.00	 0.04	260	  6	N	N	  1	  1	  1	Sloan	Simbad
      94	J151051.00+055024.8	1237658780557836815	227.712532	+05.840239	 0.0740	 0.0001	  9.85	 0.12	 1.62	 0.04	 50	 39	N	N	  1	  1	  1	Sloan	Simbad
      95	J151050.70+055026.7	1237658780557836816	227.711262	+05.840753	 0.0771	 0.0001	  9.44	 0.15	 1.79	 0.07	 68	 21	N	N	  1	  1	  1	Sloan	Simbad
      96	J151052.35+054918.7	1237658780557836829	227.718145	+05.821869	 0.0761	 0.0001	  9.89	 0.15	 1.78	 0.06	122	 17	N	N	  1	  1	  1	Sloan	Simbad
      97	J151053.35+055000.7	1237658780557836832	227.722312	+05.833553	 0.0738	 0.0000	  9.71	 0.09	 1.64	 0.04	 76	 12	N	N	  1	  1	  1	Sloan	Simbad
      98	J151101.55+055007.6	1237658780557837158	227.756468	+05.835467	 0.0782	 0.0002	  9.70	 0.03	 1.58	 0.14	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
      99	J151101.50+054937.8	1237658780557837159	227.756252	+05.827165	 0.0721	 0.0001	  9.65	 0.13	 1.84	 0.14	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     100	J151110.15+054923.6	1237662268074033220	227.792303	+05.823225	 0.0768	 0.0000	 10.81	 0.10	 1.84	 0.02	199	  4	N	N	  1	  1	  1	Sloan	Simbad
     101	J151103.06+054950.1	1237662268074033384	227.762751	+05.830590	 0.0830	 0.0001	 10.23	 0.10	 1.92	 0.04	232	  7	N	N	  1	  1	  1	Sloan	Simbad
     102	J151104.82+054945.5	1237662268074033410	227.770122	+05.829326	 0.0841	 0.0001	 10.45	 0.12	 1.97	 0.04	227	  6	N	N	  1	  1	  1	Sloan	Simbad
     103	J151110.64+054956.7	1237662268074033471	227.794366	+05.832441	 0.0742	 0.0000	 10.33	 0.10	 1.90	 0.04	 88	  6	N	N	  1	  1	  1	Sloan	Simbad
     104	J151111.41+054844.3	1237662268074033477	227.797576	+05.812311	 0.0768	 0.0001	 10.47	 0.12	 1.87	 0.03	190	  5	N	N	  1	  1	  1	Sloan	Simbad
     105	J151110.34+054851.7	1237662268074033478	227.793123	+05.814369	 0.0797	 0.0001	 10.92	 0.05	 2.03	 0.04	214	  5	N	N	  1	  1	  1	Sloan	Simbad
     106	J151109.84+054849.3	1237662268074033479	227.791039	+05.813705	 0.0800	 0.0001	 10.20	 0.16	 1.96	 0.04	143	  7	N	N	  1	  1	  1	Sloan	Simbad
     107	J151114.54+054920.0	1237662268074033516	227.810618	+05.822241	 0.0767	 0.0001	 10.38	 0.12	 1.82	 0.04	111	  8	N	N	  1	  1	  1	Sloan	Simbad
     108	J151116.52+054552.3	1237662268074033549	227.818872	+05.764542	 0.0790	 0.0001	  9.77	 0.07	 1.99	 0.09	 93	 19	N	N	  1	  1	  1	Sloan	Simbad
