#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:38:32 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:38:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/196/11/table3&-out=**&-out.max=unlimited&-c=227.7337%20%2B5.7444&-c.rm=110	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=227.733700+05.744400,rm=110.	
#Constraint -c.rm=110

#RESOURCE=yCat_21960011
#Name: J/ApJS/196/11
#Title: Bulge+disk decompositions of SDSS galaxies (Simard+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	creator=Simard L.	    First author or institution
#INFO	cites=bibcode:2011ApJS..196...11S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/196/11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21960011	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-04-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_196_11_table3:
#Name: J/ApJS/196/11/table3
#Title: SDSS structural parameters from pure Sersic decompositions
#Column	_r	(F8.4)	Distance from center (227.73370+05.74440)[FK5/J2000]	[ucd=pos.angDistance]
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	objID	(I18)	SDSS object identifier	[ucd=meta.id]
#Column	z	(F6.4)	? SDSS redshift (spectroscopic if available or photometric ("-1" in "Sp")	[ucd=src.redshift]
#Column	Sp	(I2)	[-2/6] SDSS SpecClass value (G1)	[ucd=meta.code.class]
#Column	Scale	(F7.3)	? Physical scale at redshift z	[ucd=instr.scale]
#Column	Vmax	(F10.3)	? Galaxy volume correction (Eq. 7)	[ucd=arith.factor]
#Column	gg2d	(F6.2)	? GIM2D pure Sersic model g-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_gg2d	(F6.2)	? Uncertainty in gg2d	[ucd=phot.mag;meta.modelled]
#Column	rg2d	(F6.2)	? GIM2D pure Sersic model r-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_rg2d	(F6.2)	? Uncertainty in rg2d	[ucd=phot.mag;meta.modelled]
#Column	gg2df	(F6.2)	? GIM2D pure Sersic model g-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	rg2df	(F6.2)	? GIM2D pure Sersic model r-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	dCol	(F6.2)	[-4.95,+5.73]? Delta fiber color (G2)	[ucd=phot.mag]
#Column	Rhlg	(F6.2)	? g-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rhlr	(F6.2)	? r-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rchl_g	(F7.2)	[-336,284] g-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	Rchl_r	(F7.2)	[-336,284] r-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	e	(F6.2)	? Galaxy ellipticiy (G3)	[ucd=src.ellipticity]
#Column	e_e	(F6.2)	? Uncertainty in e	[ucd=stat.error]
#Column	phi	(F7.2)	[-360,360] Galaxy position angle (G4)	[ucd=pos.posAng]
#Column	e_phi	(F6.2)	? Uncertainty in phi	[ucd=stat.error]
#Column	(dx)g	(F6.2)	[-42,32]? g-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)g	(F6.2)	? Uncertainty in (dx)g	[ucd=stat.error]
#Column	(dy)g	(F6.2)	[-38,30]? g-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)g	(F6.2)	? Uncertainty in (dy)g	[ucd=stat.error]
#Column	(dx)r	(F6.2)	[-31,30]? r-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)r	(F6.2)	? Uncertainty in (dx)r	[ucd=stat.error]
#Column	(dy)r	(F6.2)	[-38,30]? r-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)r	(F6.2)	? Uncertainty in (dy)r	[ucd=stat.error]
#Column	S2g	(F6.2)	[-89,98]? g-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	S2r	(F6.2)	[-75,99]? r-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	ggMag	(F6.2)	[-37,7]? Absolute, rest-frame g-band GIM2D galaxy magnitude (Eq. 3a)	[ucd=phys.magAbs]
#Column	e_ggMag	(F6.2)	? Uncertainty in ggMag	[ucd=stat.error;phot.mag]
#Column	rgMag	(F6.2)	[-36,6]? Absolute, rest-frame r-band GIM2D galaxy magnitude (Eq. 3b)	[ucd=phys.magAbs]
#Column	e_rgMag	(F6.2)	? Uncertainty in rgMag	[ucd=stat.error;phot.mag]
#Column	ng	(F6.2)	[0,8]? Galaxy Sersic index	[ucd=stat.fit.param]
#Column	e_ng	(F6.2)	? Uncertainty in ng	[ucd=stat.error]
#Column	All	(A3)	Display all results from the 3 models	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
#Column	DR7	(A3)	Details from the SDSS-DR7 catalog (II/294)	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (declination part)	[ucd=pos.eq.dec;meta.main]
_r	recno	objID	z	Sp	Scale	Vmax	gg2d	e_gg2d	rg2d	e_rg2d	gg2df	rg2df	dCol	Rhlg	Rhlr	Rchl_g	Rchl_r	e	e_e	phi	e_phi	(dx)g	e_(dx)g	(dy)g	e_(dy)g	(dx)r	e_(dx)r	(dy)r	e_(dy)r	S2g	S2r	ggMag	e_ggMag	rgMag	e_rgMag	ng	e_ng	All	Sloan	DR7	_RA	_DE
 91.9553	  104113	587726102026191142	0.0786	 2	  1.485	    39.816	 18.37	  0.03	 17.55	  0.02	 19.43	 18.56	  0.01	  3.01	  3.01	   2.16	   2.16	  0.57	  0.02	   7.38	  1.24	  0.48	  0.02	  0.43	  0.04	  0.40	  0.02	  0.28	  0.03	  0.02	  0.04	-19.73	  0.03	-20.42	  0.02	  1.66	  0.16	All	Sloan	DR7	227.15451	+04.32455
 95.0032	  104114	587726102026191161	0.0364	 2	  0.723	    24.383	 17.19	  0.01	 16.22	  0.01	 19.66	 18.68	 -0.12	  5.25	  5.25	   3.29	   3.29	  0.73	  0.01	 146.48	  0.32	  0.22	  0.01	  0.24	  0.02	  0.44	  0.08	 -0.21	  0.15	  0.13	  0.14	-19.10	  0.01	-19.97	  0.01	  0.88	  0.03	All	Sloan	DR7	227.16492	+04.26586
 94.7397	  104115	587726102026191187	0.1118	 2	  2.035	   108.109	 18.35	  0.03	 17.62	  0.02	 20.09	 19.31	 -0.03	  8.35	  8.35	   5.33	   5.33	  0.71	  0.01	  78.62	  0.67	  0.41	  0.04	  0.66	  0.02	  0.47	  0.05	  0.55	  0.03	  0.04	  0.03	-20.63	  0.03	-21.20	  0.02	  0.77	  0.07	All	Sloan	DR7	227.06963	+04.31065
 91.0574	  104116	587726102026191212	0.2270	-1	  3.638	   490.101	 19.01	  0.10	 17.58	  0.12	 20.60	 19.10	      	 17.27	 17.27	  14.16	  14.16	  0.40	  0.05	 101.45	  5.41	  0.48	  0.07	  0.18	  0.08	  0.35	  0.03	  0.45	  0.03	  0.04	  0.02	-22.16	  0.10	-23.05	  0.12	  7.54	  0.81	All	Sloan	DR7	227.15410	+04.34089
 90.2214	  104117	587726102026256421	0.2195	 2	  3.546	   761.321	 18.68	  0.06	 17.34	  0.05	 20.24	 18.86	  0.00	 14.57	 14.57	  13.12	  13.12	  0.24	  0.05	-104.45	 10.23	  0.55	  0.06	  0.25	  0.05	  0.16	  0.03	  0.57	  0.03	  0.02	  0.01	-22.36	  0.06	-23.17	  0.05	  7.77	  0.54	All	Sloan	DR7	227.24374	+04.32212
101.4671	  104118	587726102026256501	0.0337	 2	  0.672	    41.454	 16.57	  0.00	 15.72	  0.00	 19.09	 18.18	 -0.15	  5.34	  5.34	   3.22	   3.22	  0.79	  0.00	 155.51	  0.02	  1.04	  0.01	 -0.48	  0.00	  0.80	  0.02	  0.48	  0.02	  0.12	  0.13	-19.53	  0.00	-20.30	  0.00	  0.90	  0.02	All	Sloan	DR7	227.17828	+04.14637
100.2743	  104119	587726102026256559	0.1108	 2	  2.018	   163.713	 18.17	  0.03	 17.14	  0.03	 19.47	 18.36	  0.04	  5.79	  5.79	   3.94	   3.94	  0.64	  0.01	 123.12	  0.95	  0.56	  0.03	  0.55	  0.03	  0.51	  0.02	  0.56	  0.02	  0.05	  0.04	-20.90	  0.03	-21.66	  0.03	  3.02	  0.18	All	Sloan	DR7	227.22906	+04.15057
 98.9893	  104120	587726102026256575	0.0334	 2	  0.666	     4.330	 17.34	  0.07	 16.98	  0.07	 20.03	 19.62	 -0.05	  8.39	  8.39	   4.85	   4.85	  0.85	  0.00	  23.51	  0.39	  0.47	  0.05	  0.78	  0.02	  0.33	  0.08	  0.72	  0.17	  0.09	  0.05	-18.67	  0.07	-19.00	  0.07	  1.71	  0.15	All	Sloan	DR7	227.25303	+04.16560
 91.3097	  104121	587726102026322056	0.1740	-1	  2.954	   272.627	 18.90	  0.06	 17.77	  0.06	 19.97	 18.76	      	  4.95	  4.95	   4.20	   4.20	  0.34	  0.04	 157.64	  4.07	  0.28	  0.04	  0.30	  0.04	  0.38	  0.02	  0.56	  0.02	  0.09	  0.05	-21.42	  0.06	-22.14	  0.06	  4.46	  0.50	All	Sloan	DR7	227.32910	+04.27691
 94.2049	  104122	587726102026322079	0.0997	-1	  1.839	    45.595	 18.83	  0.03	 18.05	  0.03	 19.57	 18.70	      	  2.08	  2.08	   1.69	   1.69	  0.40	  0.04	 169.55	  3.15	  0.54	  0.04	  0.36	  0.04	  0.32	  0.02	  0.58	  0.03	  0.02	  0.02	-19.85	  0.03	-20.48	  0.03	  1.35	  0.18	All	Sloan	DR7	227.36480	+04.21793
 90.3199	  104123	587726102026322135	0.1295	 2	  2.309	   156.253	 18.40	  0.06	 17.43	  0.06	 19.64	 18.58	  0.06	  5.55	  5.55	   4.34	   4.34	  0.46	  0.03	 153.60	  2.37	  0.21	  0.03	  0.46	  0.03	  0.30	  0.02	  0.29	  0.02	  0.03	  0.04	-21.01	  0.06	-21.71	  0.06	  4.68	  0.52	All	Sloan	DR7	227.45167	+04.26552
 98.7405	  104124	587726102026322156	0.1529	-1	  2.656	   166.434	 19.03	  0.04	 17.88	  0.04	 20.12	 18.85	      	  6.46	  6.46	   3.85	   3.85	  0.81	  0.02	  44.46	  1.01	  0.47	  0.05	  0.58	  0.04	  0.38	  0.02	  0.42	  0.02	  0.04	  0.04	-20.93	  0.04	-21.75	  0.04	  3.30	  0.40	All	Sloan	DR7	227.46653	+04.12039
 96.6851	  104125	587726102026387511	0.1296	 2	  2.310	   146.197	 18.35	  0.05	 17.36	  0.07	 19.95	 18.89	  0.01	  8.67	  8.67	   7.53	   7.53	  0.27	  0.03	 123.66	  5.28	  0.37	  0.05	  0.37	  0.06	  0.20	  0.03	  0.34	  0.02	  0.06	  0.06	-21.03	  0.05	-21.79	  0.07	  4.18	  0.41	All	Sloan	DR7	227.51333	+04.14801
 97.0273	  104126	587726102026387613	0.0860	-1	  1.612	    39.078	 18.31	  0.05	 17.43	  0.04	 20.09	 19.13	      	  9.32	  9.32	   5.47	   5.47	  0.83	  0.01	 170.12	  0.76	  0.48	  0.04	  0.24	  0.11	  0.33	  0.03	  0.65	  0.06	  0.02	  0.02	-20.10	  0.05	-20.78	  0.04	  2.08	  0.18	All	Sloan	DR7	227.58691	+04.13390
 94.1521	  104127	587726102026387621	0.0926	 2	  1.723	   555.996	 16.68	  0.01	 15.68	  0.01	 18.50	 17.41	  0.06	  9.54	  9.54	   7.72	   7.72	  0.39	  0.01	 106.08	  0.66	  0.55	  0.01	  0.45	  0.01	  0.31	  0.01	  0.44	  0.01	  0.04	  0.04	-21.89	  0.01	-22.66	  0.01	  4.64	  0.08	All	Sloan	DR7	227.60481	+04.18046
 96.0755	  104128	587726102026387690	0.1293	 2	  2.307	   242.304	 18.02	  0.06	 16.97	  0.07	 19.48	 18.33	  0.07	  6.79	  6.79	   6.62	   6.62	  0.07	  0.03	  89.67	 13.46	  0.16	  0.03	  0.32	  0.03	  0.44	  0.02	  0.25	  0.02	  0.02	  0.02	-21.45	  0.06	-22.20	  0.07	  5.68	  0.51	All	Sloan	DR7	227.52894	+04.15619
 97.4821	  104129	587726102026387692	0.0983	 2	  1.817	   135.388	 17.89	  0.03	 17.00	  0.03	 19.45	 18.46	  0.00	  7.39	  7.39	   5.09	   5.09	  0.62	  0.01	 165.89	  0.83	  0.44	  0.02	  0.56	  0.02	  0.38	  0.02	  0.42	  0.03	  0.08	  0.05	-20.77	  0.03	-21.48	  0.03	  2.87	  0.18	All	Sloan	DR7	227.53350	+04.13199
 90.9262	  104130	587726102026387702	0.1348	 2	  2.389	   177.410	 18.34	  0.05	 17.50	  0.03	 19.82	 18.88	  0.02	  7.49	  7.49	   5.73	   5.73	  0.47	  0.03	  98.06	  2.06	  0.34	  0.04	  0.57	  0.04	  0.49	  0.03	  0.48	  0.03	  0.04	  0.08	-21.07	  0.05	-21.71	  0.03	  2.34	  0.17	All	Sloan	DR7	227.55204	+04.23981
 96.9854	  104131	587726102026387711	0.0771	 2	  1.460	    69.898	 17.50	  0.03	 17.02	  0.02	 19.85	 19.34	 -0.05	  6.14	  6.14	   5.83	   5.83	  0.10	  0.02	 -16.20	  6.90	  0.52	  0.06	  0.04	  0.04	  0.76	  0.05	  0.33	  0.05	  0.12	  0.13	-20.43	  0.03	-20.81	  0.02	  1.05	  0.05	All	Sloan	DR7	227.55474	+04.13784
