#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:13:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:13:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/607/A30/m1149cla&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36070030
#Name: J/A+A/607/A30
#Title: ASTRODEEP Frontier Fields Catalogues (Di Criscienzo+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	creator=Di Criscienzo M.	    First author or institution
#INFO	cites=bibcode:2017A&A...607A..30D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/607/A30	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-jz/lda	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-03-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_607_A30_m1149cla:
#Name: J/A+A/607/A30/m1149cla
#Title: Photometric catalogue (magnitudes) of MACSJ-1149 cluster
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I6)	ID Source identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_B435	(A1)	[-] "-' for upper limit flag on B435	[ucd=meta.code.error]
#Column	B435	(F9.6)	? Magnitude in B435 band (AB)	[ucd=phot.mag;em.opt.B]
#Column	l_V606	(A1)	[-] "-' for upper limit flag on V606	[ucd=meta.code.error]
#Column	V606	(F9.6)	? Magnitude in V606 band (AB)	[ucd=phot.mag;em.opt.R]
#Column	l_I814	(A1)	[-] "-' for upper limit flag on I814	[ucd=meta.code.error]
#Column	I814	(F9.6)	? Magnitude in I814 band (AB)	[ucd=phot.mag;em.opt.I]
#Column	Y105	(D12.5)	? Magnitude in Y105 band (AB) (negative values are upper limit)	[ucd=phot.mag;em.IR.J]
#Column	l_J125	(A1)	[-] "-' for upper limit flag on J125	[ucd=meta.code.error]
#Column	J125	(F9.6)	? Magnitude in J125 band (AB)	[ucd=phot.mag;em.IR.J]
#Column	l_JH140	(A1)	[-] "-' for upper limit flag on JH140	[ucd=meta.code.error]
#Column	JH140	(F9.6)	? Magnitude in JH140 band (AB)	[ucd=phot.mag;em.IR.H]
#Column	l_H160	(A1)	[-] "-' for upper limit flag on H160	[ucd=meta.code.error]
#Column	H160	(F9.6)	? Magnitude in H160 band (AB)	[ucd=phot.mag;em.IR.H]
#Column	l_Ks	(A1)	[-] "-' for upper limit flag on Ks	[ucd=meta.code.error]
#Column	Ks	(F9.6)	? Magnitude in Ks band (AB)	[ucd=phot.mag;em.IR.K]
#Column	l_IRAC1	(A1)	[-] "-' for upper limit flag on IRAC1	[ucd=meta.code.error]
#Column	IRAC1	(F9.6)	? Magnitude in IRAC1 band (AB)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	l_IRAC2	(A1)	[-] "-' for upper limit flag on IRAC2	[ucd=meta.code.error]
#Column	IRAC2	(F9.6)	? Magnitude in IRAC2 band (AB)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_B435	(F9.6)	? Magnitude error on B435 band (AB)	[ucd=stat.error]
#Column	e_V606	(D12.5)	? Magnitude error on V606 band (AB)	[ucd=stat.error]
#Column	e_I814	(D12.5)	? Magnitude error on I814 band (AB)	[ucd=stat.error]
#Column	e_Y105	(D12.5)	? Magnitude error on Y105 band (AB)	[ucd=stat.error]
#Column	e_J125	(D12.5)	? Magnitude error on J125 band (AB)	[ucd=stat.error]
#Column	e_JH140	(D12.5)	? Magnitude error on JH140 band (AB)	[ucd=stat.error]
#Column	e_H160	(D12.5)	? Magnitude error on H160 band (AB)	[ucd=stat.error]
#Column	e_Ks	(D15.8)	? Magnitude error on Ks band (AB)	[ucd=stat.error]
#Column	e_IRAC1	(D15.8)	? Magnitude error on IRAC1 band (AB)	[ucd=stat.error]
#Column	e_IRAC2	(F12.9)	? Magnitude error on IRAC2 band (AB)	[ucd=stat.error]
recno	ID	RAJ2000	DEJ2000	l_B435	B435	l_V606	V606	l_I814	I814	Y105	l_J125	J125	l_JH140	JH140	l_H160	H160	l_Ks	Ks	l_IRAC1	IRAC1	l_IRAC2	IRAC2	e_B435	e_V606	e_I814	e_Y105	e_J125	e_JH140	e_H160	e_Ks	e_IRAC1	e_IRAC2
      18	    18	177.391174	+22.374166	 	18.561300	 	18.529200	 	18.325700	 1.81735e+01	 	18.175700	 	         	 	17.897500	 	17.200235	 	16.466793	 	16.285423	 0.001148	 8.31000e-04	 3.30600e-04	 1.32000e-03	 6.23800e-04	            	 3.00000e-04	 3.62793500e-04	 6.66486000e-03	 0.004860737
      19	    19	177.381760	+22.370010	 	         	 	         	 	         	            	 	         	 	         	-	22.861600	-	24.424822	-	28.655003	-	28.860506	         	            	            	            	            	            	 1.08600e+00	 1.08570000e+00	 1.08570000e+00	 1.085700000
      20	    20	177.407669	+22.371773	 	24.513800	 	22.167700	 	20.743700	 2.02181e+01	 	19.908200	 	         	 	19.474400	 	19.078197	 	19.250654	 	19.654144	 0.048790	 4.66100e-03	 1.15600e-03	 7.61300e-03	 3.98700e-03	            	 3.90000e-03	 2.26100500e-03	 9.43490800e-03	 0.008239274
      21	    21	177.406174	+22.370274	 	26.737500	 	25.066000	 	24.147800	 2.38713e+01	 	23.638000	 	         	 	23.171300	 	23.973831	 	24.563921	 	24.900190	 0.234400	 3.71400e-02	 1.36400e-02	 1.19300e-01	 7.95100e-02	            	 6.67000e-02	 1.49102200e-01	 1.13813100e-01	 0.144345400
      22	    22	177.382080	+22.370424	 	         	 	         	 	         	 6.73700e-01	 	         	 	         	 	22.101400	 	22.575359	 	22.636259	 	22.984177	         	            	            	 1.08600e+00	            	            	 9.05000e-02	 4.28945300e-02	 2.43662800e-02	 0.028175960
      23	    23	177.407516	+22.370338	 	28.638600	 	27.183900	 	25.895900	 2.53375e+01	 	25.359800	 	         	 	25.066500	 	25.342907	 	24.642054	 	25.386059	 0.760200	 1.37900e-01	 3.77100e-02	 2.71800e-01	 2.10600e-01	            	 2.28000e-01	 4.04909300e-01	 1.09874700e-01	 0.207268300
      24	    24	177.399353	+22.371515	 	27.494900	-	28.070100	 	27.346700	 2.40425e+01	 	23.457200	 	         	 	22.518300	-	23.484938	-	26.218681	-	26.730867	 0.980400	 1.08600e+00	 4.87900e-01	 2.95100e-01	 4.94900e-02	            	 2.54500e-01	 1.08570000e+00	 1.08570000e+00	 1.085700000
      25	    25	177.406555	+22.370453	 	25.591500	 	25.586600	 	25.276700	 2.49462e+01	 	24.481700	 	         	 	24.445300	 	25.552591	 	24.609104	 	24.702927	 0.079200	 4.81100e-02	 2.84500e-02	 2.39800e-01	 1.32300e-01	            	 1.68200e-01	 5.40780600e-01	 1.16624100e-01	 0.116947100
      26	    26	177.397171	+22.372669	 	24.287900	 	22.403800	 	20.704800	 2.01066e+01	 	19.966800	 	         	 	19.880100	 	20.084169	 	20.612989	 	20.977074	 0.038020	 5.30000e-03	 1.09200e-03	 4.87000e-03	 1.05700e-03	            	 8.00000e-04	 3.63166900e-03	 1.44820400e-02	 0.011404340
      27	    27	177.402298	+22.370770	 	25.511500	 	25.285400	 	25.054400	 2.44273e+01	 	24.124200	 	         	 	23.498300	 	22.856934	 	23.902645	 	23.222891	 0.075100	 3.94500e-02	 2.53900e-02	 1.85200e-01	 1.04900e-01	            	 8.66400e-01	 5.01169900e-02	 5.63986300e-02	 0.028297520
      28	    28	177.385254	+22.370647	 	         	 	         	 	         	 1.01320e+00	 	24.721800	 	         	 	24.473900	 	24.884327	-	29.407076	 	25.285990	         	            	            	 1.08600e+00	 1.13900e-01	            	 1.35800e-01	 2.39538400e-01	 1.08570000e+00	 0.190288200
      29	    29	177.398849	+22.370733	-	27.503700	 	25.816200	 	24.758900	            	 	22.333800	 	         	 	24.261600	 	21.619318	-	23.950386	-	24.704264	 1.086000	 1.67400e-01	 5.37100e-02	            	 2.53600e-02	            	 5.28500e-01	 1.57491200e-02	 1.08570000e+00	 1.085700000
      30	    30	177.395737	+22.370785	 	25.933200	 	26.232900	 	25.913800	            	 	24.873800	 	         	 	25.035700	-	24.288277	-	29.207335	 	25.155626	 0.166900	 1.34600e-01	 8.35100e-02	            	 2.34500e-01	            	 1.03400e-01	 1.08570000e+00	 1.08570000e+00	 0.198367200
      31	    31	177.380920	+22.370819	 	         	 	         	 	         	 5.41100e-01	 	-0.219400	 	         	-	18.765500	 	22.386635	-	23.876486	-	24.432913	         	            	            	 1.08600e+00	 1.08600e+00	            	 1.08600e+00	 4.08599700e-02	 1.08570000e+00	 1.085700000
      32	    32	177.410736	+22.370977	 	27.623700	 	25.946300	 	24.734100	 2.44182e+01	 	24.148200	 	         	 	23.731200	 	23.748428	 	24.000044	 	24.148453	 0.327600	 4.95400e-02	 1.42500e-02	 1.24600e-01	 7.67200e-02	            	 1.11900e-01	 1.03749300e-01	 5.82233500e-02	 0.060835470
      33	    33	177.399048	+22.371037	-	27.467600	-	27.920900	 	26.667700	 2.86660e+00	 	24.618500	 	         	-	23.413700	-	23.868887	-	23.835274	-	24.594051	 1.086000	 1.08600e+00	 3.00400e-01	 1.08600e+00	 2.06400e-01	            	 1.08600e+00	 1.08570000e+00	 1.08570000e+00	 1.085700000
      34	    34	177.396759	+22.371172	 	27.145200	 	27.125800	 	26.824700	            	 	25.793000	 	         	 	25.531600	-	24.125597	-	28.715410	 	25.037611	 0.210400	 1.33600e-01	 8.67300e-02	            	 1.06100e-01	            	 1.27600e-01	 1.08570000e+00	 1.08570000e+00	 0.260265800
      35	    35	177.398575	+22.371107	 	28.510100	 	28.170500	 	27.705600	 2.00410e+00	 	26.208400	 	         	 	25.805100	-	24.417713	 	23.888823	 	22.772495	 0.951800	 4.59900e-01	 2.55600e-01	 1.08600e+00	 2.06300e-01	            	 1.42200e-01	 1.08570000e+00	 2.99357700e-01	 0.084930160
      36	    36	177.393356	+22.371172	 	27.128000	 	26.210300	 	25.834700	            	 	25.849800	 	         	 	24.948700	 	25.154037	 	25.362932	 	25.189903	 0.338400	 1.09200e-01	 6.13800e-02	            	 3.63700e-01	            	 1.37900e-01	 3.42925400e-01	 2.14215200e-01	 0.164703900
      37	    37	177.408981	+22.371712	 	24.481600	 	24.436800	 	23.696600	 2.30353e+01	 	22.922300	 	         	 	22.520000	 	22.530832	 	22.053989	 	22.326380	 0.034260	 2.09200e-02	 8.99700e-03	 5.64600e-02	 4.03200e-02	            	 6.86000e-02	 5.16493200e-02	 2.15335700e-02	 0.021765970
      38	    38	177.398849	+22.371771	 	26.059100	 	25.065000	 	24.108700	 2.34313e+01	 	23.501500	 	         	 	23.280300	-	24.057741	 	23.007149	 	23.377974	 0.095920	 2.67500e-02	 9.45900e-03	 6.03800e-02	 1.50000e-02	            	 2.11000e-02	 1.08570000e+00	 3.86085100e-02	 0.038320300
      39	    39	177.407104	+22.371557	 	24.964400	 	24.458100	 	24.249300	 2.41797e+01	 	23.750800	 	         	 	23.259000	 	23.234222	 	22.788546	 	23.506124	 0.036560	 1.55300e-02	 9.56000e-03	 1.08700e-01	 5.48500e-02	            	 8.21000e-02	 6.95706000e-02	 1.49120000e-01	 0.177404600
      40	    40	177.391098	+22.372171	 	 2.597700	 	         	 	         	 2.16974e+01	 	21.572600	 	         	 	21.225600	 	20.903347	 	20.995628	 	21.419895	 1.086000	            	            	 9.80400e-03	 6.22800e-03	            	 5.00000e-03	 8.88364000e-03	 1.34419300e-02	 0.012044110
      41	    41	177.399597	+22.371912	 	24.857600	 	24.961000	 	24.515200	 2.38077e+01	 	23.526300	 	         	 	23.152000	 	21.610065	 	24.018263	-	28.149780	 0.078660	 5.50000e-02	 3.09100e-02	 1.98700e-01	 4.20900e-02	            	 7.04000e-02	 1.98384800e-02	 3.03031500e-01	 1.085700000
      42	    42	177.409302	+22.371790	 	25.232500	 	25.227400	 	24.913100	 2.46027e+01	 	24.762500	 	         	 	24.343700	 	24.639767	 	23.878939	 	23.793661	 0.043140	 2.63400e-02	 1.55100e-02	 1.32100e-01	 1.24300e-01	            	 1.82900e-01	 2.16847600e-01	 9.88199100e-02	 0.072117720
      43	    43	177.390793	+22.371662	 	         	 	         	 	         	-3.11400e-01	 	26.464300	 	         	 	26.105500	-	24.306595	-	27.864786	-	28.428932	         	            	            	 1.08600e+00	 3.04700e-01	            	 2.65600e-01	 1.08570000e+00	 1.08570000e+00	 1.085700000
      44	    44	177.395798	+22.371876	 	29.497700	 	28.631700	 	28.348000	-2.59817e+01	 	27.779000	 	         	 	27.000600	-	24.419559	-	29.465815	 	25.698891	 1.011000	 2.97000e-01	 1.98600e-01	 1.08600e+00	 3.32900e-01	            	 2.80600e-01	 1.08570000e+00	 1.08570000e+00	 0.252537200
      45	    45	177.399231	+22.372303	-	28.178800	 	28.618700	-	28.772100	            	 	26.605400	 	         	 	25.072300	 	21.646933	 	24.706551	 	26.374474	 1.086000	 1.08000e+00	 1.08600e+00	            	 4.52700e-01	            	 1.45400e-01	 1.64685200e-02	 1.36133000e-01	 0.528066400
      46	    46	177.400131	+22.372238	-	29.224600	 	27.216700	 	26.109900	 2.55743e+01	 	25.654700	 	         	 	24.981500	 	20.981094	 	24.666828	 	24.304991	 1.086000	 1.19600e-01	 3.75600e-02	 2.67800e-01	 1.02800e-01	            	 1.90900e-01	 6.75438700e-03	 1.26681100e-01	 0.073440130
      47	    47	177.402832	+22.372393	 	25.820300	 	24.748300	 	24.178700	 2.40380e+01	 	23.880300	 	         	 	23.653900	 	23.767044	 	23.840981	 	23.882118	 0.056260	 1.57700e-02	 7.28000e-03	 6.92100e-02	 4.63700e-02	            	 1.04600e-01	 1.05283800e-01	 5.52382500e-02	 0.053203650
      48	    48	177.398041	+22.373215	 	27.377600	 	27.556000	 	25.862800	 2.43492e+01	 	23.834300	 	         	 	23.089800	 	23.519011	 	21.415361	 	21.168556	 0.317300	 2.42300e-01	 4.50800e-02	 7.70200e-02	 1.87400e-02	            	 1.42000e-02	 1.03421500e-01	 1.51786300e-02	 0.010234460
      49	    49	177.393280	+22.372667	 	28.129200	 	26.012000	 	25.298900	 2.48999e+01	 	25.200800	 	         	 	24.997500	 	24.185257	 	23.508064	 	23.381138	 0.528800	 5.29800e-02	 2.34200e-02	 9.88300e-02	 6.62000e-02	            	 9.36000e-02	 1.62830600e-01	 4.16796800e-02	 0.033993620
      50	    50	177.408646	+22.373413	 	24.167700	 	23.894000	 	23.207500	 2.31759e+01	 	23.117900	 	         	 	22.949000	 	22.962730	 	22.734756	 	23.281645	 0.023240	 1.17300e-02	 5.07800e-03	 5.55800e-02	 1.91800e-02	            	 2.77000e-02	 6.91218000e-02	 2.39780300e-02	 0.034909540
      51	    51	177.386078	+22.372742	 	         	 	         	 	         	 2.51774e+01	 	25.170700	 	         	 	24.782800	 	24.890484	 	24.727596	 	24.705894	         	            	            	 1.53900e-01	 1.34600e-01	            	 1.35100e-01	 2.80972200e-01	 1.35822200e-01	 0.116880300
      52	    52	177.413101	+22.372860	 	25.550700	 	24.700600	 	24.282400	 2.40796e+01	 	23.923500	 	         	 	23.795900	 	24.379889	 	24.140169	 	25.231850	 0.049190	 1.63500e-02	 8.51900e-03	 7.56200e-02	 3.79700e-02	            	 7.51000e-02	 1.71512100e-01	 6.58841400e-02	 0.172695900
      53	    53	177.407745	+22.373484	 	23.492600	 	23.335300	 	22.857400	 2.28110e+01	 	22.829000	 	         	 	22.755000	 	22.675016	 	22.529449	 	23.118582	 0.013900	 7.51800e-03	 3.67700e-03	 3.70900e-02	 1.43000e-02	            	 1.91000e-02	 4.92000900e-02	 1.96529800e-02	 0.027535950
      54	    54	177.391281	+22.372822	 	27.404300	 	25.610300	 	25.311000	 2.54524e+01	 	25.674300	 	         	 	25.555600	 	25.264147	-	28.028175	 	23.506115	 0.183100	 2.72900e-02	 1.60700e-02	 1.20800e-01	 1.19600e-01	            	 1.75900e-01	 2.76124100e-01	 1.08570000e+00	 0.086102000
      55	    55	177.402145	+22.372938	 	27.972000	 	27.193500	 	26.223100	 2.56540e+01	 	25.193900	 	         	 	24.664300	-	24.235283	 	25.633657	 	25.207249	 0.608400	 1.96400e-01	 6.97700e-02	 4.81100e-01	 2.57900e-01	            	 1.89100e-01	 1.08570000e+00	 3.18852100e-01	 0.201739000
      56	    56	177.411560	+22.373209	 	25.261100	 	25.287200	 	24.738900	 2.42274e+01	 	24.296000	 	         	 	24.131100	 	24.280993	 	23.599247	 	24.141842	 0.046340	 2.96700e-02	 1.47900e-02	 1.05400e-01	 7.41500e-02	            	 8.16000e-02	 1.74495200e-01	 3.80369900e-02	 0.066170050
