#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/514/497/tablea1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75140497
#Name: J/MNRAS/514/497
#Title: HST/MUSE study of galaxies in Abell 370 (Lagattuta+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/514/497	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/514/497	    IVOID of underlying data collection
#INFO	creator=Lagattuta D.J.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.514..497L	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/514/497	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bg-g2-fh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_514_497_tablea1:
#Name: J/MNRAS/514/497/tablea1
#Title: The Abell 370 Pilot-WINGS master data catalogue containing spectroscopic/photometric and spatial informations
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I5)	Numerical identifier from SExtractor for each galaxy (iden) (1)	[ucd=meta.id;meta.main]
#Column	IDfrom	(A7)	An indication of how the object was detected (idfrom) (2)	[ucd=src.class]
#Column	Field	(A4)	The data set containing the galaxy (Field) (3)	[ucd=src.class.starGalaxy]
#Column	RAJ2000	(F11.8)	Right Ascension aligned to Gaia DR2 world coordinate system (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.8)	Declination aligned to Gaia DR2 world coordinate system (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.5)	The measured redshift of each galaxy (z)	[ucd=src.redshift]
#Column	q_z	(I1)	An assessment of the reliability of the redshift measurement from low q_z = 1 to high q_z = 3 (zconf) (4)	[ucd=meta.code.qual;src.redshift]
#Column	F435Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F435W-band (F435W) (5)	[ucd=phot.mag;em.opt.B]
#Column	e_F435Wmag	(D16.9)	[]? The measured uncertainty of F435Wmag (F435W_err)	[ucd=stat.error]
#Column	F606Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F606W-band (F606W) (5)	[ucd=phot.mag;em.opt.R]
#Column	e_F606Wmag	(D16.9)	[]? The measured uncertainty of F606Wmag (F606W_err)	[ucd=stat.error]
#Column	F814Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F814W-band (F814W) (5)	[ucd=phot.mag;em.opt.I]
#Column	e_F814Wmag	(D16.9)	[]? The measured uncertainty of F814Wmag (F814W_err)	[ucd=stat.error]
#Column	F105Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F105W-band (F105W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F105Wmag	(D16.9)	[]? The measured uncertainty of F105Wmag (F105W_err)	[ucd=stat.error]
#Column	F125Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F125W-band (F125W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F125Wmag	(D16.9)	[]? The measured uncertainty of F125Wmag (F125W_err)	[ucd=stat.error]
#Column	F140Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F140W-band (F140W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F140Wmag	(D16.9)	[]? The measured uncertainty of F140Wmag (F140W_err)	[ucd=stat.error]
#Column	F160Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F60W-band (F160W) (5)	[ucd=phot.mag;em.IR.H]
#Column	e_F160Wmag	(D16.9)	[]? The measured uncertainty of F160Wmag (F160W_err)	[ucd=stat.error]
#Column	MULID	(a9)	If the object is part of a multiply-imaged system it gives a unique identifier for each image (MUL) (6)	[ucd=meta.id.assoc]
recno	ID	IDfrom	Field	RAJ2000	DEJ2000	z	q_z	F435Wmag	e_F435Wmag	F606Wmag	e_F606Wmag	F814Wmag	e_F814Wmag	F105Wmag	e_F105Wmag	F125Wmag	e_F125Wmag	F140Wmag	e_F140Wmag	F160Wmag	e_F160Wmag	MULID
      18	   27	PRIOR  	P10 	39.96314820	-1.61138780	0.37505	3	 34.976994	 1.997807730e+14	 23.044680	 1.718358500e-01	 22.619852	 8.713072000e-02	 22.574877	 4.345657800e-01	 22.441444	 1.690712600e-01	          	 1.085700000e+00	 22.380722	 1.604771800e-01	
      19	   30	MUSELET	P08 	39.94068930	-1.57008500	2.95008	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      20	   30	PRIOR  	P09 	39.97828240	-1.61903290	3.55291	3	          	 1.085700000e+00	 25.354408	 2.054088300e-01	 25.209423	 3.640581700e-01	 25.434597	 8.704991000e-01	 25.393303	 5.340963600e-01	          	 1.085700000e+00	 25.440836	 4.944372800e-01	
      21	   35	PRIOR  	P09 	39.97467950	-1.61769840	0.58407	3	 50.789620	 2.641411500e+20	 22.899920	 1.014092040e-01	 22.407385	 1.326142100e-01	 22.140644	 2.064436200e-01	 22.177526	 8.700713000e-02	 55.567196	 9.383564500e+21	 21.971436	 8.374455600e-02	
      22	   36	MUSELET	P01 	40.01330510	-1.56327160	3.04879	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      23	   36	MUSELET	P02 	39.99592445	-1.56532360	1.03335	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      24	   37	MUSELET	P05 	39.99577730	-1.58478700	2.94500	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      25	   39	MUSELET	P05 	39.99491100	-1.57727990	5.24528	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      26	   40	MUSELET	P01 	39.99980460	-1.57141520	3.12554	3	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      27	   40	MUSELET	P03 	39.98490970	-1.54674865	3.98604	3	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      28	   43	MUSELET	P01 	40.00099190	-1.56069960	3.40845	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      29	   43	PRIOR  	P07 	39.98793770	-1.60561100	0.47431	3	          	 1.085700000e+00	 24.041079	 1.768578400e-01	 23.608864	 2.370794900e-01	 23.643965	 4.760316300e-01	 23.708958	 2.514059200e-01	 52.981270	 6.954270000e+20	 23.546354	 3.768078000e-01	
      30	   44	MUSELET	P09 	39.97422800	-1.61709360	4.03948	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      31	   45	MUSELET	P04 	39.96577210	-1.54572000	0.79936	3	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      32	   47	PRIOR  	P07 	39.98714280	-1.60445890	0.37575	3	          	 1.085700000e+00	 22.593449	 1.096567500e-01	 21.671680	 1.004049400e-01	 21.253279	 1.394797700e-01	 21.039745	 4.261294400e-02	 47.395970	 6.461424100e+18	 20.790573	 1.164158300e-01	
      33	   48	PRIOR  	P07 	39.98536070	-1.60398190	1.30383	3	 36.235867	 5.766284200e+14	 22.893515	 1.492243400e-01	 22.482193	 1.985046700e-01	 22.130224	 2.954821600e-01	 22.095385	 1.183623200e-01	 46.057644	 2.133579910e+18	 21.851440	 1.161512960e-01	
      34	   49	MUSELET	P03 	39.97377450	-1.55580440	3.42888	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      35	   50	MUSELET	P09 	39.97561400	-1.60764740	4.59209	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      36	   51	MUSELET	P01 	40.01519150	-1.56467420	6.52500	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      37	   51	MUSELET	P05 	40.00174600	-1.58027430	4.96402	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      38	   52	MUSELET	P09 	39.97870230	-1.60195890	5.54254	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      39	   52	MUSELET	P10 	39.96081870	-1.60824850	1.20752	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      40	   56	MUSELET	P09 	39.97209440	-1.59846850	5.70000	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      41	   58	PRIOR  	P05 	39.99601720	-1.58945650	0.42041	3	 24.603554	 8.130284000e-02	 22.656618	 3.009887600e-02	 21.671010	 1.781090500e-02	 21.230766	 1.823281500e-01	 21.015436	 5.413113000e-02	          	 1.085700000e+00	 20.787281	 2.283118700e-01	
      42	   59	MUSELET	P01 	40.01329000	-1.57152980	4.76292	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      43	   59	MUSELET	P06 	39.95246500	-1.55289380	3.82300	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      44	   61	MUSELET	P04 	39.96160760	-1.54063810	0.37450	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      45	   61	MUSELET	P09 	39.98311040	-1.60679180	5.65532	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      46	   61	PRIOR  	P09 	39.97508170	-1.61598540	0.60468	3	 47.383780	 1.115333300e+19	 24.017544	 2.029523000e-01	 23.349098	 2.452004300e-01	 23.126434	 4.028801000e-01	 23.052080	 1.745656100e-01	 53.328766	 1.161179000e+21	 22.898617	 1.280119700e-01	
      47	   62	MUSELET	P04 	39.96767710	-1.54270360	3.34345	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      48	   62	MUSELET	P06 	39.96309540	-1.55557080	4.16880	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      49	   64	MUSELET	P01 	39.99737340	-1.56766290	0.64921	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      50	   65	MUSELET	P03 	39.97864000	-1.54410200	3.32600	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      51	   65	MUSELET	P06 	39.95628480	-1.55198290	6.13900	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      52	   66	MUSELET	P04 	39.96178620	-1.53939300	4.42766	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      53	   66	PRIOR  	P07 	39.98425190	-1.60353250	1.30477	3	 41.781525	 1.013588230e+17	 23.180582	 1.861441400e-01	 22.713339	 2.392520600e-01	 22.193668	 3.138270400e-01	 22.149070	 1.287599800e-01	          	 1.085700000e+00	 21.900888	 1.122731040e-01	
      54	   68	MUSELET	P01 	40.00653920	-1.56199350	3.72151	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      55	   69	MUSELET	P01 	40.01600080	-1.56532810	4.16614	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      56	   71	MUSELET	P06 	39.94677880	-1.55414330	4.83149	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      57	   71	MUSELET	P07 	39.99596580	-1.59372010	3.47345	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      58	   72	PRIOR  	P05 	39.99294390	-1.58846390	1.19503	3	 24.456250	 7.351708000e-02	 23.777100	 6.383283400e-02	 22.656350	 3.553715000e-02	 21.746254	 2.770011000e-01	 21.399710	 7.838182000e-02	 37.731310	 1.386669790e+15	 20.920040	 1.432446400e-01	
      59	   76	MUSELET	P03 	39.97395070	-1.54645180	4.21721	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      60	   77	PRIOR  	P01 	40.00588800	-1.57612560	1.03200	1	 43.313927	 3.107148390e+17	 24.029272	 2.133499400e-01	 23.995329	 3.920534800e-01	 24.026880	 9.218783000e-01	 24.083122	 5.529512000e-01	 52.923454	 9.455273600e+20	 24.229351	 6.626656700e-01	
      61	   77	MUSELET	P04 	39.96189720	-1.53778150	4.33829	3	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      62	   78	PRIOR  	P01 	40.01080300	-1.57649060	2.14075	2	 51.724564	 4.286532800e+20	 25.588495	 3.262665300e-01	 25.084417	 4.580320400e-01	 37.155087	 3.330234760e+14	 37.290860	 1.171461730e+15	 61.147625	 1.098579340e+24	 35.928074	 1.426053460e+14	
      63	   80	MUSELET	P07 	39.99100230	-1.58985240	4.90606	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      64	   81	MUSELET	P03 	39.98105320	-1.54790490	4.11691	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      65	   81	MUSELET	P07 	39.99576430	-1.59314060	4.88552	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      66	   83	MUSELET	P04 	39.96630940	-1.54622460	3.24700	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      67	   86	MUSELET	P03 	39.97909970	-1.54801100	4.81608	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      68	   86	PRIOR  	P07 	39.98551700	-1.60337920	1.30547	1	 37.300518	 1.588352990e+15	 24.830091	 4.498835200e-01	 24.321623	 5.958313300e-01	 24.450653	 1.673773000e+00	 24.073065	 7.816018000e-01	 47.199303	 6.309027400e+18	 23.742506	 2.088154100e-01	
      69	   88	MUSELET	P02 	39.99009590	-1.56931835	1.05913	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      70	   89	PRIOR  	P07 	39.99118140	-1.60275930	0.37235	3	 36.600567	 6.395872700e+14	 22.834717	 1.168997300e-01	 21.952232	 1.140370200e-01	 21.643572	 1.627970800e-01	 21.447397	 5.278939800e-02	          	 1.085700000e+00	 21.234789	 1.792232000e-01	
      71	   92	PRIOR  	P01 	40.01241640	-1.57492340	0.28592	3	 52.431200	 1.809487900e+21	 21.900932	 7.949904000e-02	 21.193916	 8.492079400e-02	 32.204067	 2.450546230e+13	          	 1.085700000e+00	          	 1.085700000e+00	 33.720250	 4.109633600e+13	
      72	   92	PRIOR  	P07 	39.98546330	-1.60327180	0.12800	1	 39.068226	 4.183065140e+15	 25.402600	 3.537625400e-01	 25.218798	 6.048485600e-01	 25.291653	 1.312234000e+00	 25.063938	 7.165141700e-01	          	 1.085700000e+00	 25.025043	 2.158380700e-01	
      73	   95	PRIOR  	P05 	39.99941530	-1.58446150	0.00024	3	 18.494802	 4.843746880e+08	 18.197266	 6.045419300e-03	 17.776340	 5.914442000e-03	 17.688204	 3.054250600e-02	 17.733528	 7.563918400e-03	          	 1.085700000e+00	 17.751770	 1.052133440e-01	
      74	   96	MUSELET	P02 	39.99667920	-1.55773320	6.25900	1	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      75	   96	PRIOR  	P09 	39.97054070	-1.61497030	0.37400	1	 46.282670	 3.346995310e+18	 25.447191	 4.048853200e-01	 24.663485	 4.819502800e-01	 24.596819	 9.224982000e-01	 24.450369	 4.621854700e-01	          	 3.776440800e+22	 24.292852	 1.872724400e-01	
      76	   98	PRIOR  	P08 	39.94626260	-1.58035580	1.45619	3	 24.909302	 4.774012800e-02	 24.827560	 5.523199600e-02	 24.466192	 5.395458300e-02	 23.962915	 6.423488000e-01	 23.761763	 2.848251500e-01	          	 1.085700000e+00	 23.612553	 4.482488600e-01	
      77	   98	PRIOR  	P10 	39.96287020	-1.60916720	0.37800	2	 25.327904	 1.329571800e-01	 23.624060	 5.548874300e-02	 22.672667	 3.402018500e-02	 22.334257	 4.228481700e-01	 22.096996	 1.440308400e-01	 46.845535	 5.534912900e+18	 21.923946	 1.476376400e-01	
      78	   99	PRIOR  	P01 	40.00737250	-1.57330910	0.53783	3	 44.926636	 3.057285810e+18	 21.643223	 1.136006000e-01	 20.962648	 1.192422000e-01	 20.698486	 1.778777200e-01	 20.587934	 5.624379600e-02	          	 2.411846000e+21	 20.393015	 2.506717700e-01	
      79	   99	PRIOR  	P07 	39.98664400	-1.60296470	1.99315	1	          	 1.085700000e+00	 24.826189	 2.140551700e-01	 24.738420	 3.782391000e-01	 24.701796	 9.948232000e-01	 24.581112	 5.514560000e-01	 50.069267	 3.363103700e+19	 23.886734	 1.218596850e-01	
      80	   99	PRIOR  	P09 	39.97880080	-1.61379910	0.37485	3	          	 1.085700000e+00	 22.522268	 1.356708300e-01	 21.622227	 1.390686000e-01	 21.196264	 1.658860600e-01	 20.979845	 4.999262000e-02	          	 1.085700000e+00	 20.748617	 7.005334000e-02	
      81	   99	PRIOR  	P10 	39.96539310	-1.60965460	0.37006	1	 33.931850	 5.771308200e+13	 24.606794	 3.761258000e-01	 22.803430	 6.970614000e-02	 21.909048	 2.085041300e-01	 21.584572	 6.213087000e-02	          	 1.085700000e+00	 21.213734	 6.929892000e-02	
      82	  101	PRIOR  	P03 	39.97661130	-1.55957165	0.37289	3	          	                	 22.952187	 7.428652000e-04	 22.497267	 8.127954000e-04	 22.350555	 5.267496500e-04	 22.200443	 4.753352600e-04	          	                	 22.017092	 5.215003600e-04	
      83	  103	PRIOR  	P01 	40.01109420	-1.57380140	0.38325	3	          	 1.085700000e+00	 22.969255	 1.227166800e-01	 22.434042	 1.502449400e-01	          	 1.085700000e+00	 31.522415	 1.648829350e+13	          	 1.085700000e+00	          	 1.085700000e+00	
      84	  105	PRIOR  	P09 	39.98166630	-1.61391060	0.36819	3	 45.260212	 2.241283120e+18	 22.141521	 8.921124000e-02	 21.158009	 8.017084000e-02	 20.705078	 9.920505400e-02	 20.450620	 2.797435000e-02	 51.000748	 1.932911400e+20	 20.206272	 1.309115300e-01	
      85	  106	PRIOR  	P06 	39.95128950	-1.56340570	0.36917	3	 22.785835	 5.527626700e-02	 21.095911	 2.394721100e-02	 20.270445	 1.472181800e-02	 19.964788	 1.870480800e-01	 19.720337	 4.691017400e-02	          	 1.085700000e+00	 19.458464	 2.907481500e-01	
      86	  106	PRIOR  	P09 	39.97780140	-1.61513720	4.36780	3	          	 1.085700000e+00	 26.805113	 5.641796000e-01	 25.775757	 5.743056000e-01	 25.761446	 1.178070500e+00	 25.583616	 6.568371000e-01	          	 1.085700000e+00	 25.673914	 2.160470500e-01	
