#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-29T00:01:48 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-29T00:01:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/777/97/table7&-out=SL2S,z,logMC,e_logMC,logMS,e_logMS,logMC2,e_logMC2,logMS2,e_logMS2&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17770097
#Name: J/ApJ/777/97
#Title: SL2S galaxy-scale lens sample. III. (Sonnenfeld+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/777/97	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/777/97	    IVOID of underlying data collection
#INFO	creator=Sonnenfeld A.	    First author or institution
#INFO	cites=bibcode:2013ApJ...777...97S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/777/97	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17770097	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_777_97_table7:
#Name: J/ApJ/777/97/table7
#Title: Stellar mass measurements
#Column	SL2S	(A14)	Lens name (G1)	[ucd=meta.id;meta.main]
#Column	z	(F6.3)	[0.2/0.8]? Lens redshift; discussed in Paper IV (2013ApJ...777...98S)	[ucd=src.redshift]
#Column	logMC	(F5.2)	[10.4/11.9]? Log stellar mass, Chabrier IMF	[ucd=phys.mass]
#Column	e_logMC	(F5.2)	[0.09/0.2]? Error on logMC	[ucd=stat.error]
#Column	logMS	(F5.2)	[10.6/11.8]? Log stellar mass, Salpeter IMF	[ucd=phys.mass]
#Column	e_logMS	(F5.2)	[0.06/0.2]? Error on logMS	[ucd=stat.error]
#Column	logMC2	(F5.2)	[10.6/12.1]? Log stellar mass, Chabrier IMF with NIR	[ucd=phys.mass]
#Column	e_logMC2	(F5.2)	[0.09/0.2]? Error on logMC2	[ucd=stat.error]
#Column	logMS2	(F5.2)	[10.9/12]? Log stellar mass, Salpeter IMF with NIR	[ucd=phys.mass]
#Column	e_logMS2	(F5.2)	[0.06/0.2]? Error on logMS2	[ucd=stat.error]
SL2S	z	logMC	e_logMC	logMS	e_logMS	logMC2	e_logMC2	logMS2	e_logMS2
J140156+554446	 0.464	11.59	 0.10	     	     	11.85	 0.10	     	
J140221+550534	 0.412	11.54	 0.10	     	     	11.79	 0.10	     	
J140454+520024	 0.456	11.85	 0.10	     	     	12.10	 0.10	     	
J140533+550231	      	     	     	     	     	     	     	     	
J140546+524311	 0.526	11.42	 0.11	     	     	11.67	 0.11	     	
J140614+520253	 0.480	11.68	 0.11	     	     	11.93	 0.11	     	
J140650+522619	 0.716	11.34	 0.15	     	     	11.60	 0.15	     	
J141137+565119	 0.322	11.04	 0.09	     	     	11.28	 0.09	     	
J141917+511729	      	     	     	     	     	     	     	     	
J142003+523137	 0.354	10.44	 0.10	     	     	10.69	 0.10	     	
J142031+525822	 0.380	11.31	 0.10	     	     	11.56	 0.09	     	
J142059+563007	 0.483	11.52	 0.10	     	     	11.76	 0.10	     	
J142321+572243	      	     	     	     	     	     	     	     	
J142731+551645	 0.511	10.97	 0.12	     	     	11.20	 0.12	     	
J220329+020518	 0.400	11.00	 0.09	11.05	 0.08	11.26	 0.10	11.31	 0.08
J220506+014703	 0.476	11.26	 0.11	11.29	 0.09	11.51	 0.10	11.53	 0.09
J220629+005728	 0.704	11.40	 0.15	11.56	 0.12	11.65	 0.15	11.81	 0.12
J221326-000946	 0.338	10.73	 0.09	10.67	 0.06	10.99	 0.10	10.92	 0.06
J221407-180712	 0.651	     	     	     	     	     	     	     	
J221852+014038	 0.564	11.52	 0.11	11.52	 0.09	11.79	 0.11	11.78	 0.09
J221929-001743	 0.289	11.32	 0.09	     	     	11.56	 0.09	     	
J222012+010606	 0.232	10.73	 0.10	10.72	 0.07	10.97	 0.09	10.96	 0.06
J222148+011542	 0.325	11.30	 0.09	11.31	 0.07	11.55	 0.09	11.56	 0.07
J222217+001202	 0.436	11.26	 0.10	     	     	11.50	 0.10	     	

