#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:59:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:59:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/488/3745/tablea1&-out=Name,zl,zs,Survey&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74883745
#Name: J/MNRAS/488/3745
#Title: Galaxy-scale strong gravitational lensing sample (Chen+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/488/3745	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/488/3745	    IVOID of underlying data collection
#INFO	creator=Chen Y.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.488.3745C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/488/3745	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74883745	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_488_3745_tablea1:
#Name: J/MNRAS/488/3745/tablea1
#Title: The selected galaxy-scale SGL systems
#Column	Name	(a18)	Lens name	[ucd=meta.id;meta.main]
#Column	zl	(F7.4)	Lens redshift	[ucd=src.redshift;pos.heliocentric]
#Column	zs	(F7.4)	Source redshift	[ucd=src.redshift;pos.heliocentric]
#Column	Survey	(a13)	Survey name (2)	[ucd=meta.id]
Name	zl	zs	Survey
SDSSJ0044+0113    	 0.1200	 0.1970	SLACS
SDSSJ0109+1500    	 0.2940	 0.5250	SLACS
SDSSJ0157-0056    	 0.5130	 0.9240	SLACS
SDSSJ0216-0813    	 0.3320	 0.5230	SLACS
SDSSJ0252+0039    	 0.2800	 0.9820	SLACS
SDSSJ0330-0020    	 0.3510	 1.0710	SLACS
SDSSJ0405-0455    	 0.0750	 0.8100	SLACS
SDSSJ0728+3835    	 0.2060	 0.6880	SLACS
SDSSJ0737+3216    	 0.3220	 0.5810	SLACS
SDSSJ0822+2652    	 0.2410	 0.5940	SLACS
SDSSJ0903+4116    	 0.4300	 1.0650	SLACS
SDSSJ0912+0029    	 0.1640	 0.3240	SLACS
SDSSJ0935-0003    	 0.3470	 0.4670	SLACS
SDSSJ0936+0913    	 0.1900	 0.5880	SLACS
SDSSJ0946+1006    	 0.2220	 0.6090	SLACS
SDSSJ0956+5100    	 0.2410	 0.4700	SLACS
SDSSJ0959+4416    	 0.2370	 0.5310	SLACS
SDSSJ0959+0410    	 0.1260	 0.5350	SLACS
SDSSJ1016+3859    	 0.1680	 0.4390	SLACS
SDSSJ1020+1122    	 0.2820	 0.5530	SLACS
SDSSJ1023+4230    	 0.1910	 0.6960	SLACS
SDSSJ1029+0420    	 0.1040	 0.6150	SLACS
SDSSJ1100+5329    	 0.3170	 0.8580	SLACS
SDSSJ1106+5228    	 0.0950	 0.4070	SLACS
SDSSJ1112+0826    	 0.2730	 0.6290	SLACS
SDSSJ1134+6027    	 0.1530	 0.4740	SLACS
SDSSJ1142+1001    	 0.2220	 0.5040	SLACS
SDSSJ1143-0144    	 0.1060	 0.4020	SLACS
SDSSJ1153+4612    	 0.1800	 0.8750	SLACS
SDSSJ1204+0358    	 0.1640	 0.6310	SLACS
SDSSJ1205+4910    	 0.2150	 0.4810	SLACS
SDSSJ1213+6708    	 0.1230	 0.6400	SLACS
SDSSJ1218+0830    	 0.1350	 0.7170	SLACS
SDSSJ1250+0523    	 0.2320	 0.7950	SLACS
SDSSJ1402+6321    	 0.2050	 0.4810	SLACS
SDSSJ1403+0006    	 0.1890	 0.4730	SLACS
SDSSJ1416+5136    	 0.2990	 0.8110	SLACS
SDSSJ1420+6019    	 0.0630	 0.5350	SLACS
SDSSJ1430+4105    	 0.2850	 0.5750	SLACS
SDSSJ1436-0000    	 0.2850	 0.8050	SLACS
SDSSJ1443+0304    	 0.1340	 0.4190	SLACS
SDSSJ1451-0239    	 0.1250	 0.5200	SLACS
SDSSJ1525+3327    	 0.3580	 0.7170	SLACS
SDSSJ1531-0105    	 0.1600	 0.7440	SLACS
SDSSJ1538+5817    	 0.1430	 0.5310	SLACS
SDSSJ1621+3931    	 0.2450	 0.6020	SLACS
SDSSJ1627-0053    	 0.2080	 0.5240	SLACS
SDSSJ1630+4520    	 0.2480	 0.7930	SLACS
SDSSJ1636+4707    	 0.2280	 0.6750	SLACS
SDSSJ2238-0754    	 0.1370	 0.7130	SLACS
SDSSJ2300+0022    	 0.2280	 0.4630	SLACS
SDSSJ2303+1422    	 0.1550	 0.5170	SLACS
SDSSJ2321-0939    	 0.0820	 0.5320	SLACS
SDSSJ2341+0000    	 0.1860	 0.8070	SLACS
SDSSJ0143-1006    	 0.2210	 1.1046	S4TM
SDSSJ0159-0006    	 0.1584	 0.7477	S4TM
SDSSJ0324+0045    	 0.3210	 0.9199	S4TM
SDSSJ0324-0110    	 0.4456	 0.6239	S4TM
SDSSJ0753+3416    	 0.1371	 0.9628	S4TM
SDSSJ0754+1927    	 0.1534	 0.7401	S4TM
SDSSJ0757+1956    	 0.1206	 0.8326	S4TM
SDSSJ0826+5630    	 0.1318	 1.2907	S4TM
SDSSJ0847+2348    	 0.1551	 0.5327	S4TM
SDSSJ0851+0505    	 0.1276	 0.6371	S4TM
SDSSJ0920+3028    	 0.2881	 0.3918	S4TM
SDSSJ0955+3014    	 0.3214	 0.4671	S4TM
SDSSJ0956+5539    	 0.1959	 0.8483	S4TM
SDSSJ1010+3124    	 0.1668	 0.4245	S4TM
SDSSJ1041+0112    	 0.1006	 0.2172	S4TM
SDSSJ1048+1313    	 0.1330	 0.6679	S4TM
SDSSJ1051+4439    	 0.1634	 0.5380	S4TM
SDSSJ1056+4141    	 0.1343	 0.8318	S4TM
SDSSJ1101+1523    	 0.1780	 0.5169	S4TM
SDSSJ1116+0729    	 0.1697	 0.6860	S4TM
SDSSJ1127+2312    	 0.1303	 0.3610	S4TM
SDSSJ1137+1818    	 0.1241	 0.4627	S4TM
SDSSJ1142+2509    	 0.1640	 0.6595	S4TM
SDSSJ1144+0436    	 0.1036	 0.2551	S4TM
SDSSJ1213+2930    	 0.0906	 0.5954	S4TM
SDSSJ1301+0834    	 0.0902	 0.5331	S4TM
SDSSJ1330+1750    	 0.2074	 0.3717	S4TM
SDSSJ1403+3309    	 0.0625	 0.7720	S4TM
SDSSJ1430+6104    	 0.1688	 0.6537	S4TM
SDSSJ1433+2835    	 0.0912	 0.4115	S4TM
SDSSJ1541+3642    	 0.1406	 0.7389	S4TM
SDSSJ1543+2202    	 0.2681	 0.3966	S4TM
SDSSJ1550+2020    	 0.1351	 0.3501	S4TM
SDSSJ1553+3004    	 0.1604	 0.5663	S4TM
SDSSJ1607+2147    	 0.2089	 0.4865	S4TM
SDSSJ1633+1441    	 0.1281	 0.5804	S4TM
SDSSJ2309-0039    	 0.2905	 1.0048	S4TM
SDSSJ2324+0105    	 0.1899	 0.2775	S4TM
SDSSJ0801+4727    	 0.4830	 1.5180	BELLS
SDSSJ1234-0241    	 0.4900	 1.0160	BELLS
SDSSJ1352+3216    	 0.4630	 1.0340	BELLS
SDSSJ1159-0007    	 0.5790	 1.3460	BELLS
SDSSJ1318-0104    	 0.6590	 1.3960	BELLS
SDSSJ1349+3612    	 0.4400	 0.8930	BELLS
SDSSJ1221+3806    	 0.5350	 1.2840	BELLS
SDSSJ0944-0147    	 0.5390	 1.1790	BELLS
SDSSJ1601+2138    	 0.5440	 1.4460	BELLS
SDSSJ1542+1629    	 0.3520	 1.0230	BELLS
SDSSJ0151+0049    	 0.5170	 1.3640	BELLS
SDSSJ1337+3620    	 0.5640	 1.1820	BELLS
SDSSJ2125+0411    	 0.3630	 0.9780	BELLS
SDSSJ1545+2748    	 0.5220	 1.2890	BELLS
SDSSJ1215+0047    	 0.6420	 1.2970	BELLS
SDSSJ0830+5116    	 0.5300	 1.3320	BELLS
SDSSJ1631+1854    	 0.4080	 1.0860	BELLS
SDSSJ2303+0037    	 0.4580	 0.9360	BELLS
SDSSJ0747+4448    	 0.4370	 0.8970	BELLS
SDSSJ2122+0409    	 0.6260	 1.4520	BELLS
SDSSJ0747+5055    	 0.4380	 0.8980	BELLS
SDSSJ0029+2544    	 0.5869	 2.4504	BELLS GALLERY
SDSSJ0201+3228    	 0.3957	 2.8209	BELLS GALLERY
SDSSJ0237-0641    	 0.4859	 2.2491	BELLS GALLERY
SDSSJ0742+3341    	 0.4936	 2.3633	BELLS GALLERY
SDSSJ0755+3445    	 0.7224	 2.6347	BELLS GALLERY
SDSSJ0856+2010    	 0.5074	 2.2335	BELLS GALLERY
SDSSJ0918+5104    	 0.5811	 2.4030	BELLS GALLERY
SDSSJ1110+2808    	 0.6073	 2.3999	BELLS GALLERY
SDSSJ1116+0915    	 0.5501	 2.4536	BELLS GALLERY
SDSSJ1141+2216    	 0.5858	 2.7624	BELLS GALLERY
SDSSJ1201+4743    	 0.5628	 2.1258	BELLS GALLERY
SDSSJ1226+5457    	 0.4980	 2.7322	BELLS GALLERY
SDSSJ2228+1205    	 0.5305	 2.8324	BELLS GALLERY
SDSSJ2342-0120    	 0.5270	 2.2649	BELLS GALLERY

