#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[*] Additional galaxy (G2)	[ucd=meta.code]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	Figure	(a11)	Figure number (2)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	Notes	(a99)	Additional notes (Arm classifications in table9)	[ucd=meta.note]
#Column	S10	(I3)	Galaxies in S4G catalog version 2 (2013-09) (Sheth et al. 2010, J/PASP/122/1397)	[ucd=meta.ref.url]
#Column	Opt	(I3)	Display the available optical data from Knapen et al. 2014, J/A+A/569/A91, within 30"	[ucd=meta.code]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	f_Name	P1T	P2T	Figure	Simbad	NED	LEDA	<T>	<F>	<Type>	Notes	S10	Opt	AC	_RA	_DE
      15	UGC 122   	 	Im: sp                                       	dIm sp                                       	II.1.0014  	Simbad	NED	LEDA	10.0	     	Im: sp                                                   	small companion                                                                                    	  1	  1	 	003.32375	+17.02939
      16	UGC 132   	 	IBm                                          	SABd:                                        	II.1.0015  	Simbad	NED	LEDA	 8.5	 0.75	SA\underline{B}d\underline{m}:                           	very subtle features                                                                               	  1	  1	 	003.50322	+12.96388
      17	NGC 45    	 	SA(s)dm                                      	SA(s)dm                                      	I.1.002    	Simbad	NED	LEDA	 8.0	 0.00	SA(s)dm                                                  	flocculent spiral; excellent case                                                                  	  1	  0	F	003.51662	-23.18209
      18	NGC 55    	 	SB(s)m sp                                    	SAB(s)m                                      	I.1.003    	Simbad	NED	LEDA	 9.0	 0.75	SA\underline{B}(s)m sp                                   	excellent case; strongly offset bar                                                                	  1	  0	 	003.72334	-39.19663
      19	NGC 59    	 	dE5,N                                        	dE4,N / Sph                                  	I.1.004    	Simbad	NED	LEDA	11.0	     	dE4-5,N / Sph                                            	excellent case                                                                                     	  1	  0	 	003.85469	-21.44436
      20	UGC 156   	 	IAB(s)m                                      	SA(s)m                                       	II.1.0016  	Simbad	NED	LEDA	 9.5	 0.25	S/I\underline{A}B(s)m                                    	large unusual case                                                                                 	  1	  1	 	004.20108	+12.35017
      21	NGC 63    	 	S\underline{A}B(s)0/a                        	SA(s)0/a                                     	II.1.0017  	Simbad	NED	LEDA	 0.0	 0.12	SA(s)0/a                                                 	multi-armed spiral                                                                                 	  1	  1	M	004.43969	+11.45036
      22	ESO 539-7 	 	SB(s)m                                       	SAB(s)m                                      	II.1.0018  	Simbad	NED	LEDA	 9.0	 0.75	SA\underline{B}(s)m                                      	flocculent spiral; excellent face-on case                                                          	  1	  1	F	004.70133	-19.00772
      23	UGC 191   	 	SA(s)dm                                      	SA(s)dm                                      	II.1.0019  	Simbad	NED	LEDA	 8.0	 0.00	SA(s)dm                                                  	                                                                                                   	  1	  1	 	005.02150	+10.87931
      24	ESO 150-5 	 	SA(s)cd:                                     	S\underline{A}B(s)dm                         	II.1.0020  	Simbad	NED	LEDA	 7.0	 0.12	SA(s)d:                                                  	flocculent spiral; subtle features                                                                 	  1	  0	F	005.60650	-53.64750
      25	NGC 100   	 	Scd sp                                       	Scd sp                                       	II.1.0021  	Simbad	NED	LEDA	 6.0	     	Scd sp                                                   	excellent edge-on                                                                                  	  1	  1	 	006.01182	+16.48639
      26	NGC 115   	 	S\underline{A}B(s)d                          	SAB(s)d                                      	II.1.0022  	Simbad	NED	LEDA	 7.0	 0.38	SAB(s)d                                                  	flocculent spiral                                                                                  	  1	  0	F	006.69282	-33.67710
      27	UGC 260   	 	SBd sp                                       	Sc sp pec / E(d)7-8                          	II.1.0023  	Simbad	NED	LEDA	 6.0	 1.00	SB:cd sp pec / E(d)7-8                                   	extraplanar material at one end?                                                                   	  1	  1	 	006.76213	+11.58381
      28	ESO 410-12	 	Sd: sp                                       	dIm sp                                       	II.1.0024  	Simbad	NED	LEDA	 8.5	     	Sd\underline{m}: sp                                      	                                                                                                   	  1	  0	 	007.07379	-27.98289
      29	UGC 290   	 	Im sp                                        	dIm sp                                       	II.1.0025  	Simbad	NED	LEDA	10.0	     	Im sp                                                    	                                                                                                   	  1	  1	 	007.28487	+15.89911
      30	NGC 131   	 	SAB(r\underline{s})b:                        	SAB(r\underline{s})cd:                       	II.1.0026  	Simbad	NED	LEDA	 4.5	 0.50	SAB(r\underline{s})b\underline{c}:                       	flocculent spiral                                                                                  	  1	  0	F	007.41050	-33.25972
      31	NGC 134   	 	S\underline{A}B(rs)bc                        	SA(rs)bc                                     	II.1.0027  	Simbad	NED	LEDA	 4.0	 0.12	SA(rs)bc                                                 	multi-armed spiral                                                                                 	  1	  0	M	007.59122	-33.24535
      32	UGC 313   	 	(R_1_')SB_a(s)b /Sph                         	(R_1_')SAB_a(s)bc / Sph                      	II.1.0028  	Simbad	NED	LEDA	 3.5	 0.75	(R_1_')SA\underline{B}_a_(s)\underline{b}c / Sph         	grand-design spiral; pseudoring in bright background disk                                          	  1	  1	G	007.85883	+06.20676
      33	ESO 79-3  	 	SB_x(s:)a spw                                	SAB_x0/a spw / E(d)5                         	II.1.0029  	Simbad	NED	LEDA	 0.5	 0.75	SA\underline{B}_x_(s:)0/\underline{a} spw / E(d)5        	warped disk overflows E                                                                            	  1	  0	 	008.00888	-64.25347
      34	UGC 320   	 	Sd: sp                                       	SABd sp                                      	II.1.0030  	Simbad	NED	LEDA	 7.0	 0.50	SAB:d: sp                                                	highly inclined but not edge-on                                                                    	  1	  1	 	008.12887	+02.57417
      35	IC 1553   	 	Sc: spw                                      	Scd spw / E5-6                               	II.1.0031  	Simbad	NED	LEDA	 5.5	     	S\underline{c}d: spw / E5-6                              	limited extent spw in thick disk; strong warping                                                   	  1	  0	 	008.16715	-25.60753
      36	ESO 410-18	 	SA(s)dm                                      	SA(s)m                                       	II.1.0032  	Simbad	NED	LEDA	 8.5	 0.00	SA(s)d\underline{m}                                      	flocculent spiral; face-on                                                                         	  1	  0	F	008.54654	-30.77414
      37	NGC 150   	 	SAB(r\underline{s})ab                        	S\underline{A}B(r\underline{s})ab            	II.1.0033  	Simbad	NED	LEDA	 2.0	 0.38	SAB(r\underline{s})ab                                    	grand-design spiral; m=4 pattern but not regular                                                   	  1	  0	G	008.56450	-27.80366
      38	NGC 148   	 	(L)S\underline{A}B(r,nl)0^+^                 	(L)SA(r,nd)0^+^                              	II.1.0034  	Simbad	NED	LEDA	-1.0	 0.12	(L)SA(r,nd)0^+^                                          	                                                                                                   	  1	  0	 	008.56455	-31.78599
      39	IC 1555   	 	SA(s)dm:                                     	SAd                                          	II.1.0035  	Simbad	NED	LEDA	 7.5	 0.00	SA(s:)\underline{d}m:                                    	subtle features                                                                                    	  1	  0	 	008.63643	-30.01794
      40	NGC 157   	 	SA(s)bc                                      	SA(s)c                                       	II.1.0036  	Simbad	NED	LEDA	 4.5	 0.00	SA(s)b\underline{c}                                      	grand-design spiral                                                                                	  1	  1	G	008.69480	-08.39649
      41	IC 1558   	 	SA(s)dm                                      	SA(s)dm                                      	II.1.0037  	Simbad	NED	LEDA	 8.0	 0.00	SA(s)dm                                                  	                                                                                                   	  1	  0	 	008.94371	-25.37222
      42	NGC 178   	 	Pec (merger)                                 	S pec                                        	II.1.0038  	Simbad	NED	LEDA	    	     	S pec (merger?)                                          	flocculent spiral                                                                                  	  1	  0	F	009.78497	-14.17285
      43	NGC 210   	 	(R_1_',R_2_'L)SAB(r'l,nr)ab                  	(R_1_'L2)SAB(r'l,nl)ab                       	II.1.0039  	Simbad	NED	LEDA	 2.0	 0.50	(R_1_',R_2_'L)SAB(r'l,nrl)ab                             	grand-design spiral                                                                                	  1	  0	G	010.14592	-13.87280
      44	ESO 79-5  	 	SB(s)m                                       	SA\underline{B}(s)m                          	II.1.0040  	Simbad	NED	LEDA	 9.0	 0.88	SB(s)m                                                   	flocculent spiral                                                                                  	  1	  0	F	010.18523	-63.44029
      45	NGC 216   	 	SA\underline{B}(s)dm                         	SAB(s)dm:                                    	II.1.0041  	Simbad	NED	LEDA	 8.0	 0.62	SAB(s)dm:                                                	                                                                                                   	  1	  1	 	010.36202	-21.04803
      46	PGC 2492  	 	SAB(\underline{r}s)d                         	SAB(r'l)dm                                   	II.1.0042  	Simbad	NED	LEDA	 7.5	 0.50	SAB(r'l)\underline{d}m                                   	flocculent spiral; face-on                                                                         	  1	  0	F	010.43983	-16.86081
      47	ESO 540-16	 	SB(s)dm sp                                   	SAB(s)d sp                                   	II.1.0043  	Simbad	NED	LEDA	 7.5	 0.75	SA\underline{B}(s)\underline{d}m sp                      	subtle features                                                                                    	  1	  0	 	010.56123	-18.16180
      48	IC 1574   	 	IBm sp?                                      	dIm                                          	I.1.165    	Simbad	NED	LEDA	10.0	 1.00	IB:m                                                     	large example                                                                                      	  1	  1	 	010.76592	-22.24689
      49	NGC 244   	 	(L)SA(rs:)m                                  	SA(s)m                                       	II.1.0044  	Simbad	NED	LEDA	 9.0	 0.00	(L)SA(r\underline{s})m:                                  	like N5474; m=1                                                                                    	  1	  0	 	011.44346	-15.59688
      50	PGC 2689  	 	IB(s)m                                       	SB(s)m                                       	II.1.0045  	Simbad	NED	LEDA	 9.5	 1.00	S/IB(s)m                                                 	almost face-on; arm vF                                                                             	  1	  0	 	011.51417	-11.50556
      51	UGC 477   	 	SB(s)d sp                                    	SB(s)d sp                                    	II.1.0046  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d sp                                                	excellent bar; highly inclined but not edge-on                                                     	  1	  1	 	011.55482	+19.48990
      52	IC 51     	 	PRG                                          	SA(s)b sp / SA0^o^ (PRG?)                    	II.1.0047  	Simbad	NED	LEDA	 3.0	 0.00	SA(s)b sp / SA0^o^ (PRG?)                                	SA0^o^ more face-on than extraplanar disk                                                          	  1	  0	 	011.60090	-13.44240
      53	ESO 411-13	 	SB(s)m: sp                                   	SB(s)m sp                                    	II.1.0048  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m: sp                                               	                                                                                                   	  1	  0	 	011.77625	-31.58167
      54	NGC 247   	 	SAB(s)d                                      	SA(s)dm                                      	I.1.005    	Simbad	NED	LEDA	 7.5	 0.25	S\underline{A}B(s)\underline{d}m                         	flocculent spiral; large, excellent case                                                           	  1	  0	F	011.78564	-20.76040
      55	NGC 254   	 	(R)SAB(l)0^+^                                	(RL)S\underline{A}B(l)0^+^                   	II.1.0049  	Simbad	NED	LEDA	-1.0	 0.38	(\underline{R}L)SAB(l)0^+^                               	                                                                                                   	  1	  0	 	011.86498	-31.42170
      56	NGC 253   	 	SB(\underline{r}s)bc sp                      	SB(\underline{r}s)bc                         	II.1.0050  	Simbad	NED	LEDA	 4.0	 1.00	SB(\underline{r}s)bc sp                                  	grand-design spiral; excellent case; bar may be flat                                               	  1	  0	G	011.88806	-25.28880
      57	NGC 255   	 	SB(rs)cd                                     	SB(rs)d                                      	II.1.0051  	Simbad	NED	LEDA	 6.5	 1.00	SB(rs)c\underline{d}                                     	flocculent spiral; short bar; large (rs); no bulge                                                 	  1	  0	F	011.94712	-11.46870
      58	PGC 2805  	 	SB(s)dm sp                                   	SB(s)m sp                                    	II.1.0052  	Simbad	NED	LEDA	 8.5	 1.00	SB(s)d\underline{m} sp                                   	                                                                                                   	  1	  1	 	011.94808	-09.89953
      59	ESO 540-31	 	Im                                           	dIm                                          	II.1.0053  	Simbad	NED	LEDA	10.0	     	Im                                                       	partly resolved; background problems                                                               	  1	  0	 	012.45542	-21.01611
      60	ESO 79-7  	 	SB(s)dm                                      	SB(s)dm                                      	II.1.0054  	Simbad	NED	LEDA	 8.0	 1.00	SB(s)dm                                                  	flocculent spiral; face-on; offset bar; like N3906                                                 	  1	  0	F	012.51717	-66.55275
      61	NGC 274   	 	(R)SA(l)0^-^                                 	(R)SA0^-^                                    	I.1.006    	Simbad	NED	LEDA	-3.0	 0.00	(R)SA(l:)0^-^                                            	(R) very subtle                                                                                    	  1	  1	 	012.75780	-07.05687
      62	NGC 275   	 	S pec                                        	SB(s)dm pec                                  	I.1.006    	Simbad	NED	LEDA	 8.0	     	Sdm pec                                                  	flocculent spiral                                                                                  	  1	  1	F	012.76708	-07.06447
      63	PGC 3062  	 	dIm /Sph                                     	Im: sp / Sph                                 	II.1.0055  	Simbad	NED	LEDA	10.0	     	Im: sp / Sph                                             	subtle features                                                                                    	  1	  1	 	013.07179	-03.96661
      64	NGC 289   	 	(R:,R'L)SA\underline{B}(rs,\underline{r}s)ab 	(R'L)SAB(rs,rs)a                             	II.1.0056  	Simbad	NED	LEDA	 1.5	 0.62	(R',R'L)SAB(rs,rs)\underline{a}b:                        	multi-armed spiral                                                                                 	  1	  0	M	013.17652	-31.20583
      65	ESO 411-26	 	SB(s)dm                                      	dIm                                          	II.1.0057  	Simbad	NED	LEDA	 9.0	 1.00	SB:(s:)m                                                 	flocculent spiral                                                                                  	  1	  0	F	013.18904	-31.71814
      66	IC 1596   	 	SA(rs)bc:                                    	SA(s)b:                                      	II.1.0058  	Simbad	NED	LEDA	 3.5	 0.00	SA(r\underline{s})\underline{b}c:                        	poorly resolved                                                                                    	  1	  1	 	013.67843	+21.52265
      67	NGC 300   	 	SA(s)dm                                      	SA(s)dm                                      	I.1.007    	Simbad	NED	LEDA	 8.0	 0.00	SA(s)dm                                                  	large extreme late-type spiral                                                                     	  1	  0	M	013.72283	-37.68438
      68	NGC 298   	 	SB(s)dm                                      	SB(s)dm                                      	II.1.0059  	Simbad	NED	LEDA	 8.0	 1.00	SB(s)dm                                                  	flocculent spiral; bar foreshortened and offset                                                    	  1	  1	F	013.75978	-07.33309
      69	ESO 541-4 	 	SAB(s)b                                      	SA(s)bc                                      	II.1.0060  	Simbad	NED	LEDA	 3.5	 0.25	S\underline{A}B(s)\underline{b}c                         	multi-armed spiral                                                                                 	  1	  0	M	014.74168	-18.74266
      70	ESO 541-5 	 	SB(s)m                                       	SB(s)m                                       	II.1.0061  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m                                                   	flocculent spiral                                                                                  	  1	  0	F	014.82546	-20.57897
      71	NGC 337   	 	SAB(s)cd: pec                                	SAB(rs)cd pec                                	I.1.008    	Simbad	NED	LEDA	 6.0	 0.50	SAB(r\underline{s})cd: pec                               	flocculent spiral                                                                                  	  1	  1	F	014.95871	-07.57796
      72	UGC 634   	 	dIAB(s)m ,N                                  	Im                                           	II.1.0062  	Simbad	NED	LEDA	10.0	 0.50	IAB:(s:)m                                                	                                                                                                   	  1	  1	 	015.35496	+07.62603
      73	PGC 3667  	*	SB(s)dm                                      	                                             	U0634 image	Simbad	NED	LEDA	 8.0	 1.00	SB(s)dm                                                  	                                                                                                   	  1	  1	 	015.35496	+07.62603
      74	NGC 337A  	 	SAB(s)m                                      	SAB(s)m                                      	II.1.0063  	Simbad	NED	LEDA	 9.0	 0.50	SAB(s)m                                                  	flocculent spiral                                                                                  	  1	  1	F	015.39161	-07.58854
      75	NGC 360   	 	SB(s)bc sp                                   	SA(s)bc                                      	II.1.0064  	Simbad	NED	LEDA	 4.0	 0.50	SAB(s)bc sp                                              	multi-armed spiral                                                                                 	  1	  0	M	015.71436	-65.60999
      76	IC 1613   	 	dIm                                          	dIm                                          	II.1.0065  	Simbad	NED	LEDA	10.0	     	dIm                                                      	fully resolved                                                                                     	  1	  0	 	016.19917	+02.11778
      77	PGC 3853  	 	(R')SB(\underline{r}s)cd                     	SA\underline{B}(rs)cd                        	II.1.0066  	Simbad	NED	LEDA	 6.0	 0.88	(R')SB(rs)cd                                             	multi-armed spiral; almost face-on; clear inner ring                                               	  1	  1	M	016.27032	-06.21238
      78	PGC 3855  	 	dSB0 ,N /Sph                                 	SBm: sp                                      	II.1.0067  	Simbad	NED	LEDA	 9.0	 1.00	SBm: sp                                                  	subtle features                                                                                    	  1	  1	 	016.28600	-06.27931
      79	NGC 406   	 	SAB(s)dm                                     	SAB(s)dm                                     	II.1.0068  	Simbad	NED	LEDA	 8.0	 0.50	SAB(s)dm                                                 	flocculent spiral                                                                                  	  1	  0	F	016.85442	-69.87924
      80	UGC 711   	 	Sm: sp                                       	Sdm sp                                       	II.1.0069  	Simbad	NED	LEDA	 8.5	     	Sd\underline{m}: sp                                      	very bright * near                                                                                 	  1	  1	 	017.15529	+01.64053
      81	PGC 4143  	 	dSAB0^o^ /Sph                                	dSA0^o^ / Sph                                	II.1.0070  	Simbad	NED	LEDA	11.0	     	dS0: /Sph                                                	could have broad oval                                                                              	  1	  1	 	017.42308	-02.26669
      82	NGC 428   	 	SAB(s)dm                                     	S\underline{A}B(s)dm                         	I.1.009    	Simbad	NED	LEDA	 8.0	 0.38	SAB(s)dm                                                 	flocculent spiral                                                                                  	  1	  1	F	018.23212	+00.98158
      83	NGC 450   	 	SAB(s)cd                                     	SAB(s)d                                      	II.1.0071  	Simbad	NED	LEDA	 6.5	 0.50	SAB(s)c\underline{d}                                     	flocculent spiral                                                                                  	  1	  1	F	018.87696	-00.86083
      84	UGC 807   	*	SA(s)b                                       	SA(s)b                                       	II.1.0071  	Simbad	NED	LEDA	 3.0	 0.00	SA(s)b                                                   	excellent grand design m=2 S                                                                       	  0	  0	 	018.89585	-00.84777
      85	NGC 470   	 	S\underline{A}B(r\underline{s})ab            	(R')SA(s)ab                                  	I.1.010    	Simbad	NED	LEDA	 2.0	 0.12	(R')SA(s)ab                                              	multi-armed spiral; excellent case; pseudobulge                                                    	  1	  1	M	019.93685	+03.40997
      86	NGC 473   	 	(L)SA(r)0^+^                                 	SA(r)0^+^                                    	II.1.0072  	Simbad	NED	LEDA	-1.0	 0.00	(L)SA(r)0^+^                                             	patchy (r)                                                                                         	  1	  1	 	019.97947	+16.54464
      87	NGC 474   	 	(R')SAB(l)0/a pec                            	(R')S\underline{A}B(s)0/a pec                	I.1.011    	Simbad	NED	LEDA	 0.0	 0.38	(R')SAB(r'l)0/a pec                                      	complex shells                                                                                     	  1	  1	 	020.02790	+03.41527
      88	UGC 866   	 	SAm: sp                                      	SAd                                          	II.1.0074  	Simbad	NED	LEDA	 8.0	 0.00	SAdm: sp                                                 	highly inclined but not edge-on; very subtle features                                              	  1	  1	 	020.02862	-00.20581
      89	UGC 882   	 	I\underline{A}B(s)m                          	Im                                           	II.1.0075  	Simbad	NED	LEDA	10.0	 0.25	I\underline{A}B:(s:)m                                    	                                                                                                   	  1	  1	 	020.23179	+06.57408
