#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_587_A160_tablea2:
#Name: J/A+A/587/A160/tablea2
#Title: Bar maximum gravitational torques and radii
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;meta.main]
#Column	Qb	(F6.3)	Bar maximum gravitational torque	[ucd=src.morph.param]
#Column	e_Qb1	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_Qb2	(F6.3)	? Uncertainty on the bar maximum gravitational torque associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	RQb	(F7.3)	Bar maximum gravitational torque radius	[ucd=phys.angSize;stat.max]
#Column	e_RQb1	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque radius associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_RQb2	(F6.3)	[]? Uncertainty on the bar maximum gravitational torque radius associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	Qbhcor	(F8.3)	? Bar maximum gravitational torque correcting for the dilution of the dark halo	[ucd=src.morph.param]
#Column	RQbhcor	(F8.3)	? Bar maximum gravitational torque radius correcting for the dilution of the dark halo	[ucd=phys.angSize;stat.max]
#Column	Qbbar	(F8.3)	? Bar-only maximum gravitational torque	[ucd=src.morph.param]
#Column	RQbbar	(F8.3)	? Bar-only maximum gravitational torque radius	[ucd=phys.angSize;stat.max]
#Column	Qbbarhcor	(F8.3)	? Bar-only maximum gravitational torque correcting also for the dilution of the dark halo	[ucd=src.morph.param]
#Column	RQbbarhcor	(F8.3)	? Bar-only maximum gravitational torque radius correcting also for the dilution of the dark halo	[ucd=phys.angSize;stat.max]
#Column	QbS08	(F8.3)	? Bar maximum gravitational torque using the relation from Speltincx et al. (2008MNRAS.383..317S) for the disk thickness estimation	[ucd=src.morph.param]
#Column	e_QbS081	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque associated with a thicker disk in the relation from Speltincx et al. (2008MNRAS.383..317S)	[ucd=stat.error]
#Column	e_QbS082	(F8.3)	? Uncertainty on the bar maximum gravitational torque associated with a thinner disk in the relation from Speltincx et al. (2008MNRAS.383..317S)	[ucd=stat.error]
#Column	QTrbar	(F8.3)	? Radial force profile evaluated at the end of the bar	[ucd=src.morph.param]
#Column	e_QTrbar1	(F8.3)	[]? Uncertainty on the evaluation of the radial force profile at the end of the bar associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_QTrbar2	(F8.3)	? Uncertainty on the evaluation of the radial force profile at the end of the bar associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	QThcorrbar	(F8.3)	? Halo-corrected radial force profile evaluated at the end of the bar	[ucd=src.morph.param]
recno	Galaxy	Qb	e_Qb1	e_Qb2	RQb	e_RQb1	e_RQb2	Qbhcor	RQbhcor	Qbbar	RQbbar	Qbbarhcor	RQbbarhcor	QbS08	e_QbS081	e_QbS082	QTrbar	e_QTrbar1	e_QTrbar2	QThcorrbar
      21	ESO418-009	 0.600	  -0.065	 0.029	  8.250	   0.000	 0.000	   0.467	   8.250	   0.488	   6.750	   0.393	   6.750	   0.542	  -0.077	   0.075	   0.431	  -0.037	   0.016	   0.318
      22	ESO420-009	 0.118	  -0.017	 0.008	  2.250	   0.000	 0.000	   0.101	   2.250	   0.125	   2.250	   0.107	   2.250	   0.100	  -0.019	   0.020	   0.075	  -0.021	   0.011	   0.059
      23	ESO422-005	 0.336	  -0.037	 0.017	  6.750	   0.000	 0.000	   0.176	   5.250	        	        	        	        	   0.306	  -0.043	   0.043	        	        	        	
      24	ESO440-046	 0.358	  -0.063	 0.031	  3.750	   0.000	 0.000	   0.269	   3.750	   0.394	   3.750	   0.296	   3.750	   0.340	  -0.073	   0.074	   0.146	  -0.033	   0.016	   0.092
      25	ESO441-017	 0.519	  -0.037	 0.017	  2.250	   0.000	 0.000	   0.513	   2.250	   0.495	   2.250	   0.489	   2.250	   0.465	  -0.045	   0.045	   0.247	  -0.013	   0.006	   0.238
      26	ESO443-069	 0.594	  -0.078	 0.033	  6.750	   0.000	 0.000	        	        	   0.551	   6.750	        	        	   0.535	  -0.050	   0.076	   0.399	  -0.041	   0.018	
      27	ESO443-085	 0.492	  -0.036	 0.017	  6.750	   0.000	 0.000	   0.387	   3.750	   0.460	   6.750	   0.370	   3.750	   0.482	  -0.042	   0.040	   0.338	  -0.033	   0.017	   0.175
      28	ESO445-089	 0.357	  -0.027	 0.014	  3.750	  -1.500	 0.000	   0.347	   3.750	   0.328	   2.250	   0.322	   2.250	   0.369	  -0.033	   0.029	   0.255	  -0.033	   0.016	   0.240
      29	ESO482-035	 0.545	  -0.045	 0.033	  9.750	   0.000	 1.500	   0.451	   9.750	   0.514	   9.750	   0.425	   9.750	   0.533	  -0.060	   0.066	   0.321	  -0.030	   0.018	   0.212
      30	ESO485-021	 0.522	  -0.048	 0.025	  8.250	   0.000	 0.000	   0.240	   8.250	   0.513	   8.250	   0.236	   8.250	   0.501	  -0.054	   0.059	   0.381	  -0.036	   0.017	   0.071
      31	ESO508-007	 0.327	  -0.026	 0.013	  3.750	   0.000	 0.000	   0.271	   3.750	   0.292	   3.750	   0.242	   3.750	   0.300	  -0.028	   0.031	   0.226	  -0.023	   0.012	   0.155
      32	ESO510-059	 0.845	  -0.120	 0.069	  9.750	   0.000	 0.000	   0.784	   9.750	   0.827	   9.750	   0.767	   9.750	   0.961	  -0.164	   0.180	   0.426	  -0.058	   0.028	   0.353
      33	ESO547-005	 0.383	  -0.045	 0.022	  6.750	   0.000	 0.000	   0.204	   5.250	   0.354	   6.750	   0.214	   2.250	   0.350	  -0.050	   0.053	   0.246	  -0.031	   0.015	   0.098
      34	ESO548-025	 0.694	  -0.062	 0.029	  9.750	  -1.500	 0.000	   0.396	   3.750	   0.665	   8.250	   0.388	   3.750	   0.649	  -0.069	   0.073	   0.435	  -0.042	   0.020	   0.123
      35	ESO548-032	 0.600	  -0.048	 0.023	  5.250	   0.000	 0.000	   0.426	   3.750	   0.559	   5.250	   0.403	   3.750	   0.586	  -0.057	   0.054	   0.407	  -0.042	   0.019	   0.189
      36	ESO549-018	 0.161	  -0.027	 0.013	 17.250	   0.000	 0.000	   0.118	  17.250	   0.170	  17.250	   0.124	  17.250	   0.141	  -0.030	   0.031	   0.106	  -0.018	   0.008	   0.074
      37	ESO572-030	 0.627	  -0.059	 0.029	  8.250	   0.000	 0.000	   0.396	   8.250	   0.555	   8.250	   0.352	   6.750	   0.622	  -0.069	   0.070	   0.436	  -0.037	   0.016	   0.204
      38	ESO576-001	 0.328	  -0.039	 0.008	  2.250	   0.000	 0.000	   0.315	   2.250	   0.326	   2.250	   0.312	   2.250	   0.322	  -0.020	   0.025	   0.178	  -0.038	   0.007	   0.118
      39	ESO576-032	 0.423	  -0.032	 0.017	  5.250	   0.000	 0.000	        	        	   0.406	   5.250	        	        	   0.366	  -0.031	   0.035	   0.311	  -0.033	   0.016	
      40	ESO576-050	 0.565	  -0.043	 0.019	  3.750	   0.000	 0.000	   0.546	   3.750	   0.522	   3.750	   0.505	   3.750	   0.566	  -0.051	   0.055	   0.382	  -0.039	   0.018	   0.345
      41	ESO580-022	 0.233	  -0.027	 0.012	  9.750	   0.000	 0.000	   0.188	   9.750	   0.197	   9.750	   0.159	   9.750	   0.212	  -0.010	   0.029	   0.187	  -0.019	   0.009	   0.138
      42	ESO602-030	 0.278	  -0.029	 0.013	  3.750	   0.000	 0.000	   0.233	   3.750	   0.249	   3.750	   0.209	   3.750	   0.246	  -0.033	   0.034	   0.209	  -0.023	   0.011	   0.157
      43	IC0163    	 0.487	  -0.040	 0.019	  8.250	   0.000	 0.000	   0.440	   8.250	   0.328	   3.750	   0.315	   3.750	   0.448	  -0.046	   0.047	   0.487	  -0.040	   0.019	   0.434
      44	IC0167    	 0.471	  -0.073	 0.077	  6.750	   0.000	 0.000	   0.451	   6.750	   0.455	   2.250	   0.449	   2.250	   0.471	  -0.073	   0.077	   0.236	  -0.043	   0.038	   0.214
      45	IC0600    	 0.530	  -0.036	 0.018	  3.750	   0.000	 0.000	   0.484	   3.750	        	        	        	        	   0.568	  -0.041	   0.034	        	        	        	
      46	IC0718    	 0.466	  -0.035	 0.014	  3.750	   0.000	 0.000	   0.375	   3.750	   0.441	   3.750	   0.355	   3.750	   0.435	  -0.046	   0.039	   0.390	  -0.038	   0.017	   0.282
      47	IC0749    	 0.446	  -0.045	 0.022	  5.250	   0.000	 0.000	   0.403	   5.250	   0.440	   5.250	   0.397	   5.250	   0.396	  -0.047	   0.053	   0.317	  -0.028	   0.012	   0.209
      48	IC0758    	 0.588	  -0.069	 0.028	  6.750	   0.000	 0.000	   0.540	   6.750	   0.554	   6.750	   0.509	   6.750	   0.535	  -0.064	   0.070	   0.307	  -0.027	   0.012	   0.265
      49	IC0769    	 0.245	  -0.017	 0.013	  6.750	   0.000	 1.500	   0.223	   3.750	   0.220	   3.750	   0.206	   3.750	   0.237	  -0.018	   0.026	   0.231	  -0.019	   0.013	   0.179
      50	IC0776    	 0.359	  -0.043	 0.021	  9.750	  -1.500	 0.000	   0.248	   5.250	   0.287	   5.250	   0.211	   5.250	   0.349	  -0.049	   0.049	   0.349	  -0.049	   0.024	   0.189
      51	IC0797    	 0.434	  -0.065	 0.024	 11.250	   0.000	 0.000	   0.370	  11.250	   0.385	  11.250	   0.328	  11.250	   0.393	  -0.062	   0.061	   0.360	  -0.057	   0.027	   0.300
      52	IC0800    	 0.622	  -0.052	 0.024	  8.250	   0.000	 0.000	        	        	   0.608	   8.250	        	        	   0.578	  -0.061	   0.060	   0.300	  -0.024	   0.010	
      53	IC0863    	 0.300	  -0.027	 0.018	  6.750	  -1.500	 0.000	   0.288	   5.250	   0.258	   5.250	   0.250	   5.250	   0.272	  -0.029	   0.037	   0.250	  -0.022	   0.013	   0.234
      54	IC1014    	 0.356	  -0.025	 0.018	  8.250	  -4.500	 0.000	   0.316	   3.750	   0.335	   8.250	   0.306	   3.750	   0.328	  -0.018	   0.044	   0.185	  -0.016	   0.007	   0.125
      55	IC1067    	 0.328	  -0.048	 0.033	 14.250	   0.000	 1.500	   0.224	  12.750	   0.318	  14.250	   0.218	  12.750	   0.304	  -0.061	   0.069	   0.203	  -0.022	   0.013	   0.117
      56	IC1125    	 0.322	  -0.016	 0.007	  5.250	  -1.500	 0.000	   0.304	   3.750	   0.287	   3.750	   0.271	   3.750	   0.300	  -0.020	   0.019	   0.299	  -0.022	   0.010	   0.259
      57	IC1438    	 0.178	  -0.086	 0.014	 20.250	   1.500	 0.000	        	        	   0.159	  20.250	        	        	   0.205	  -0.044	   0.040	   0.158	  -0.068	   0.010	
      58	IC1447    	 0.082	  -0.065	 0.048	  6.750	   0.000	 0.000	   0.072	   6.750	   0.051	   6.750	   0.045	   6.750	   0.078	  -0.016	   0.018	   0.080	  -0.010	   0.007	   0.068
      59	IC1892    	 0.328	  -0.035	 0.016	 14.250	   0.000	 0.000	        	        	   0.309	  14.250	        	        	   0.347	  -0.040	   0.032	   0.289	  -0.032	   0.015	   0.158
      60	IC1914    	 0.237	  -0.016	 0.007	  6.750	   0.000	 0.000	   0.183	   6.750	   0.228	   6.750	   0.176	   6.750	   0.266	  -0.017	   0.015	   0.157	  -0.009	   0.009	   0.074
      61	IC1933    	 0.204	  -0.019	 0.009	  5.250	   0.000	 0.000	   0.188	   5.250	   0.208	   5.250	   0.191	   5.250	   0.188	  -0.026	   0.022	   0.158	  -0.025	   0.012	   0.111
      62	IC1953    	 0.501	  -0.072	 0.026	 17.250	   0.000	 0.000	   0.472	  17.250	   0.409	  14.250	   0.394	  12.750	   0.450	  -0.084	   0.081	   0.463	  -0.065	   0.030	   0.430
      63	IC1954    	 0.466	  -0.032	 0.019	  3.750	  -1.500	 0.000	   0.459	   3.750	   0.440	   2.250	   0.435	   2.250	   0.421	  -0.031	   0.033	   0.338	  -0.040	   0.019	   0.319
      64	IC1993    	 0.079	  -0.005	 0.004	 15.750	   0.000	 0.000	   0.068	  15.750	   0.051	  15.750	   0.045	  14.250	   0.077	  -0.007	   0.008	   0.075	  -0.004	   0.003	   0.063
      65	IC2007    	 0.665	  -0.126	 0.035	  8.250	   0.000	 0.000	   0.617	   8.250	   0.649	   8.250	   0.602	  15.750	   0.535	  -0.057	   0.084	   0.324	  -0.023	   0.010	   0.279
      66	IC2035    	 0.104	  -0.013	 0.004	  3.750	  -1.500	 0.000	   0.051	   0.750	        	        	        	        	   0.096	  -0.006	   0.015	   0.079	  -0.019	   0.003	
      67	IC2051    	 0.265	  -0.037	 0.023	 21.750	   0.000	 0.000	   0.233	  21.750	   0.220	  20.250	   0.196	  20.250	   0.233	  -0.049	   0.050	   0.225	  -0.025	   0.015	   0.188
      68	IC3021    	 0.195	  -0.059	 0.013	  3.750	   0.000	 0.000	   0.111	   3.750	   0.199	   3.750	   0.113	   3.750	   0.204	  -0.036	   0.043	   0.074	  -0.017	   0.004	   0.029
      69	IC3059    	 0.415	  -0.054	 0.028	  6.750	   0.000	 0.000	   0.031	   6.750	   0.371	   6.750	   0.028	   3.750	   0.387	  -0.059	   0.067	   0.260	  -0.035	   0.017	   0.011
      70	IC3102    	 0.132	  -0.038	 0.005	 29.250	   3.000	 0.000	   0.098	  11.250	   0.109	  12.750	   0.094	   9.750	   0.129	  -0.019	   0.014	   0.132	  -0.039	   0.005	   0.074
      71	IC3115    	 0.457	  -0.049	 0.027	  5.250	  -1.500	 0.000	   0.381	   3.750	   0.473	   5.250	   0.391	   3.750	   0.436	  -0.053	   0.064	   0.119	  -0.009	   0.005	   0.081
      72	IC3259    	 0.513	  -0.063	 0.010	  3.750	   0.000	 0.000	   0.453	   3.750	   0.512	   3.750	   0.452	   3.750	   0.468	  -0.050	   0.050	   0.171	  -0.020	   0.009	   0.112
      73	IC3517    	 0.435	  -0.051	 0.025	  9.750	   0.000	 0.000	   0.309	   9.750	   0.417	   9.750	   0.296	   9.750	   0.401	  -0.059	   0.060	   0.182	  -0.015	   0.007	   0.108
      74	IC4214    	 0.169	  -0.074	 0.011	 27.750	   1.500	 0.000	   0.150	  27.750	   0.135	  26.250	   0.122	  26.250	   0.174	  -0.037	   0.033	   0.158	  -0.063	   0.009	   0.136
      75	IC4221    	 0.390	  -0.025	 0.011	  2.250	   0.000	 0.000	   0.387	   2.250	   0.382	   2.250	   0.380	   2.250	   0.344	  -0.028	   0.030	   0.185	  -0.009	   0.004	   0.178
      76	IC4237    	 0.448	  -0.073	 0.051	 11.250	   0.000	 0.000	   0.367	  11.250	   0.427	  11.250	   0.350	  11.250	   0.407	  -0.091	   0.104	   0.276	  -0.040	   0.028	   0.209
      77	IC4407    	 0.253	  -0.025	 0.012	  8.250	  -1.500	 0.000	   0.162	   5.250	   0.248	   8.250	   0.160	   5.250	   0.276	  -0.029	   0.027	   0.283	  -0.059	   0.016	   0.108
      78	IC4536    	 0.506	  -0.041	 0.019	  6.750	   0.000	 0.000	   0.417	   6.750	   0.480	   6.750	   0.395	   6.750	   0.460	  -0.048	   0.048	   0.322	  -0.037	   0.017	   0.195
      79	IC4901    	 0.127	  -0.022	 0.013	  9.750	  -1.500	 0.000	   0.125	   9.750	   0.150	   9.750	   0.148	   9.750	   0.127	  -0.025	   0.032	   0.070	  -0.007	   0.008	   0.069
      80	IC5007    	 0.601	  -0.041	 0.023	  3.750	  -1.500	 0.000	   0.568	   2.250	   0.571	   2.250	   0.545	   2.250	   0.542	  -0.044	   0.044	   0.337	  -0.022	   0.010	   0.278
      81	IC5069    	 0.382	  -0.028	 0.018	  8.250	   0.000	 0.000	   0.351	   8.250	   0.343	   8.250	   0.319	   6.750	   0.376	  -0.038	   0.036	   0.331	  -0.034	   0.022	   0.287
      82	IC5240    	 0.287	  -0.110	 0.016	 27.750	   0.000	 0.000	   0.235	  24.750	   0.271	  26.250	   0.224	  24.750	   0.255	  -0.055	   0.056	   0.203	  -0.068	   0.010	   0.145
      83	IC5273    	 0.290	  -0.033	 0.014	 12.750	   0.000	 0.000	   0.270	  12.750	   0.261	  12.750	   0.243	  12.750	   0.247	  -0.029	   0.031	   0.231	  -0.022	   0.009	   0.201
      84	IC5332    	 0.163	  -0.016	 0.009	  2.250	   0.000	 0.000	   0.160	   2.250	   0.170	   2.250	   0.167	   2.250	   0.170	  -0.019	   0.021	   0.041	  -0.004	   0.003	   0.039
      85	NGC0150   	 0.468	  -0.064	 0.042	 26.250	   0.000	 0.000	   0.392	  24.750	   0.371	  24.750	   0.319	  23.250	   0.444	  -0.088	   0.085	   0.445	  -0.059	   0.037	   0.361
      86	NGC0210   	 0.083	  -0.014	 0.008	 33.750	   1.500	 0.000	   0.078	  33.750	   0.078	  33.750	   0.074	  32.250	   0.098	  -0.016	   0.013	   0.064	  -0.008	   0.005	   0.048
      87	NGC0254   	 0.081	  -0.017	 0.003	 26.250	   0.000	 0.000	   0.067	  26.250	   0.049	  23.250	   0.042	  21.750	   0.082	  -0.009	   0.009	   0.081	  -0.017	   0.003	   0.066
