#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:14 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:14	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea3&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_587_A160_tablea3:
#Name: J/A+A/587/A160/tablea3
#Title: Bar intrinsic ellipticity and parameters from the Fourier dissection of bars
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;meta.main]
#Column	Ell	(F8.3)	? Bar intrinsic ellipticity	[ucd=src.ellipticity]
#Column	A2	(F6.3)	? Bar maximum normalized m=2 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA2	(F7.3)	? Bar maximum normalized m=2 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A4	(F8.3)	? Bar maximum normalized m=4 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA4	(F8.3)	? Bar maximum normalized m=4 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A6	(F8.3)	? Bar maximum normalized m=6 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA6	(F8.3)	? Bar maximum normalized m=6 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A8	(F8.3)	? Bar maximum normalized m=8 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA8	(F8.3)	? Bar maximum normalized m=8 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A2rbar	(F8.3)	? Normalized m=2 Fourier amplitude evaluated at the end of the bar	[ucd=src.var.amplitude]
recno	Galaxy	Ell	A2	RA2	A4	RA4	A6	RA6	A8	RA8	A2rbar
      32	ESO508-024	   0.421	 0.282	  5.250	   0.074	   6.750	        	        	        	        	   0.154
      33	ESO510-059	        	 0.782	 11.250	   0.451	   9.750	   0.298	  11.250	   0.242	  11.250	   0.608
      34	ESO541-004	        	 0.101	 15.750	        	        	        	        	        	        	   0.088
      35	ESO547-005	   0.429	 0.188	  8.250	        	        	        	        	        	        	   0.139
      36	ESO548-025	   0.732	 0.606	 12.750	   0.303	  14.250	   0.183	  14.250	   0.080	  17.250	   0.445
      37	ESO548-032	        	 0.388	  9.750	   0.122	   8.250	   0.099	  11.250	        	        	   0.329
      38	ESO549-018	   0.453	 0.220	 18.750	        	        	        	        	        	        	   0.187
      39	ESO572-018	   0.564	 0.782	 11.250	   0.173	  11.250	        	        	        	        	   0.083
      40	ESO572-030	        	 0.311	 12.750	        	        	        	        	        	        	   0.247
      41	ESO576-001	   0.611	 0.389	  3.750	   0.125	   8.250	        	        	        	        	   0.255
      42	ESO576-032	   0.679	 0.357	  6.750	   0.185	  14.250	        	        	        	        	   0.146
      43	ESO576-050	   0.696	 0.437	  8.250	   0.212	   8.250	   0.099	   9.750	   0.063	   8.250	   0.381
      44	ESO580-022	        	 0.196	 14.250	   0.098	  11.250	        	        	        	        	   0.191
      45	ESO602-030	   0.410	 0.180	  5.250	        	        	        	        	        	        	   0.136
      46	IC0163    	   0.591	 0.479	  9.750	   0.190	   9.750	   0.064	   8.250	        	        	   0.462
      47	IC0167    	   0.523	 0.385	  5.250	   0.189	   8.250	        	        	        	        	   0.211
      48	IC0600    	        	 0.355	  8.250	   0.101	   9.750	        	        	        	        	
      49	IC0718    	   0.636	 0.273	  8.250	   0.079	   9.750	        	        	        	        	   0.263
      50	IC0749    	   0.384	 0.318	  6.750	   0.126	   9.750	        	        	        	        	   0.140
      51	IC0758    	   0.713	 0.447	  8.250	   0.179	   8.250	   0.088	   9.750	   0.067	   8.250	   0.301
      52	IC0769    	   0.541	 0.294	  6.750	   0.094	   8.250	        	        	        	        	   0.238
      53	IC0797    	   0.625	 0.359	 14.250	   0.172	  15.750	        	        	        	        	   0.351
      54	IC0800    	   0.709	 0.457	 11.250	   0.158	  11.250	   0.122	  11.250	        	        	   0.349
      55	IC0863    	   0.524	 0.541	  8.250	   0.135	   8.250	        	        	        	        	   0.540
      56	IC1014    	   0.546	 0.294	  9.750	   0.119	   9.750	   0.083	  12.750	        	        	   0.133
      57	IC1067    	   0.618	 0.513	 11.250	   0.280	  14.250	   0.153	  14.250	   0.102	  15.750	   0.333
      58	IC1210    	        	 0.112	  3.750	        	        	        	        	        	        	   0.062
      59	IC1438    	   0.510	 0.838	 21.750	   0.430	  23.250	   0.227	  23.250	   0.130	  23.250	   0.692
      60	IC1447    	   0.179	 0.103	  6.750	   0.037	   6.750	        	        	        	        	   0.101
      61	IC1892    	   0.511	 0.427	 15.750	   0.199	  17.250	        	        	        	        	   0.368
      62	IC1914    	   0.298	 0.245	 14.250	        	        	        	        	        	        	   0.142
      63	IC1933    	   0.366	 0.184	  8.250	        	        	        	        	        	        	   0.130
      64	IC1953    	   0.729	 0.538	 11.250	   0.150	  12.750	        	        	        	        	   0.460
      65	IC1954    	   0.589	 0.358	  5.250	   0.108	   6.750	        	        	        	        	   0.268
      66	IC1993    	   0.267	 0.139	 15.750	   0.033	  17.250	        	        	        	        	   0.085
      67	IC2007    	   0.745	 0.563	 11.250	   0.318	  11.250	   0.216	  11.250	   0.126	  11.250	   0.374
      68	IC2035    	   0.269	 0.225	  3.750	        	        	        	        	        	        	   0.179
      69	IC2051    	   0.632	 0.384	 18.750	   0.148	  21.750	        	        	        	        	   0.226
      70	IC3021    	   0.340	 0.143	  3.750	   0.061	   5.250	        	        	        	        	   0.019
      71	IC3102    	   0.276	 0.318	 33.750	   0.104	  33.750	        	        	        	        	   0.290
      72	IC3115    	   0.706	 0.335	  8.250	   0.118	   9.750	        	        	        	        	   0.165
      73	IC3259    	   0.513	 0.327	  8.250	   0.102	   6.750	        	        	        	        	   0.158
      74	IC3517    	   0.371	 0.320	 12.750	   0.006	   2.250	        	        	        	        	   0.185
      75	IC4214    	   0.427	 0.752	 29.250	   0.332	  30.750	   0.159	  30.750	   0.078	  30.750	   0.700
      76	IC4221    	   0.516	 0.284	  5.250	   0.094	   6.750	        	        	        	        	   0.114
      77	IC4237    	   0.645	 0.376	 11.250	   0.249	  11.250	   0.124	  12.750	   0.076	  11.250	   0.172
      78	IC4407    	   0.381	 0.242	 12.750	        	        	        	        	        	        	   0.130
      79	IC4536    	   0.676	 0.338	 11.250	   0.211	  11.250	        	        	        	        	   0.284
      80	IC4901    	   0.387	 0.240	 11.250	   0.109	  11.250	        	        	        	        	   0.151
      81	IC5007    	        	 0.359	  6.750	   0.012	   2.250	        	        	        	        	   0.276
      82	IC5069    	   0.553	 0.374	 11.250	   0.040	   5.250	        	        	        	        	   0.409
      83	IC5240    	   0.622	 0.649	 21.750	   0.295	  26.250	   0.134	  26.250	        	        	   0.405
      84	IC5273    	   0.584	 0.317	 11.250	   0.087	  14.250	        	        	        	        	   0.177
      85	IC5332    	        	 0.132	  6.750	        	        	        	        	        	        	   0.070
      86	NGC0150   	   0.763	 0.696	 27.750	   0.319	  29.250	   0.186	  29.250	   0.151	  30.750	   0.680
      87	NGC0210   	        	 0.394	 38.250	   0.110	  32.250	        	        	        	        	   0.395
      88	NGC0254   	   0.257	 0.372	 27.750	   0.095	  27.750	        	        	        	        	   0.370
      89	NGC0255   	        	 0.242	 12.750	   0.073	  17.250	        	        	        	        	   0.229
      90	NGC0289   	   0.443	 0.353	 18.750	        	        	        	        	        	        	   0.223
      91	NGC0298   	   0.504	 0.290	  6.750	        	        	        	        	        	        	   0.266
      92	NGC0337A  	   0.462	 0.375	 20.250	        	        	        	        	        	        	   0.335
      93	NGC0428   	   0.466	 0.426	 32.250	   0.139	  30.750	        	        	        	        	   0.420
      94	NGC0450   	        	 0.333	  6.750	   0.117	   6.750	   0.068	   9.750	        	        	   0.163
      95	NGC0470   	   0.597	 0.436	 29.250	   0.175	  32.250	        	        	        	        	   0.413
      96	NGC0514   	   0.314	 0.207	 11.250	        	        	        	        	        	        	   0.040
      97	NGC0578   	   0.611	 0.410	 17.250	   0.099	  17.250	        	        	        	        	   0.363
      98	NGC0584   	   0.238	 0.277	 26.250	        	        	        	        	        	        	   0.275
      99	NGC0600   	   0.706	 0.727	  8.250	   0.385	   8.250	   0.231	   8.250	   0.120	   8.250	   0.368
     100	NGC0613   	   0.685	 0.903	 72.750	   0.606	  72.750	   0.343	  72.750	   0.179	  74.250	   0.868
     101	NGC0685   	   0.724	 0.440	  8.250	   0.147	   6.750	   0.098	   9.750	   0.061	   8.250	   0.383
     102	NGC0701   	   0.561	 0.489	  6.750	   0.152	   6.750	        	        	        	        	   0.262
     103	NGC0718   	   0.412	 0.481	 21.750	   0.143	  20.250	        	        	        	        	   0.470
     104	NGC0864   	   0.706	 0.545	 26.250	   0.215	  23.250	        	        	        	        	   0.478
     105	NGC0895   	        	 0.267	  6.750	   0.195	   6.750	   0.098	   6.750	        	        	   0.264
     106	NGC0918   	   0.403	 0.190	  5.250	   0.040	   6.750	        	        	        	        	   0.113
     107	NGC0936   	   0.514	 0.544	 36.750	   0.269	  38.250	   0.148	  38.250	   0.082	  38.250	   0.482
     108	NGC0941   	   0.508	 0.352	 20.250	   0.212	  21.750	        	        	        	        	   0.337
     109	NGC0986   	   0.674	 0.719	 32.250	   0.395	  36.750	   0.271	  35.250	   0.155	  30.750	   0.978
     110	NGC0991   	        	 0.199	 12.750	   0.080	  14.250	        	        	        	        	
     111	NGC1015   	   0.590	 0.749	 14.250	   0.449	  15.750	   0.308	  17.250	   0.203	  17.250	   0.341
     112	NGC1022   	   0.430	 0.400	 15.750	   0.132	  15.750	        	        	        	        	   0.367
     113	NGC1042   	   0.696	 0.346	 24.750	   0.239	  35.250	        	        	        	        	   0.306
     114	NGC1047   	        	 0.672	 21.750	   0.127	  18.750	        	        	        	        	   0.587
     115	NGC1073   	   0.743	 0.656	 21.750	   0.330	  24.750	   0.216	  24.750	   0.144	  23.250	   0.334
     116	NGC1079   	   0.547	 0.723	 42.750	   0.280	  42.750	   0.136	  41.250	   0.045	  45.750	   0.717
     117	NGC1090   	   0.559	 0.388	 23.250	   0.175	  29.250	        	        	        	        	   0.258
     118	NGC1097   	   0.549	 0.709	 74.250	   0.409	  77.250	   0.276	  78.750	   0.160	  78.750	   0.854
     119	NGC1179   	   0.587	 0.480	  5.250	   0.151	   5.250	   0.061	   5.250	        	        	   0.214
     120	NGC1187   	        	 0.251	 23.250	   0.146	  24.750	        	        	        	        	   0.302
     121	NGC1232   	   0.473	 0.295	  6.750	   0.063	   9.750	        	        	        	        	   0.229
     122	NGC1255   	   0.494	 0.310	 29.250	        	        	        	        	        	        	   0.270
     123	NGC1258   	   0.490	 0.250	 11.250	        	        	        	        	        	        	   0.249
     124	NGC1291   	   0.404	 0.503	 95.250	   0.174	  95.250	   0.075	  95.250	   0.053	  93.750	   0.493
     125	NGC1300   	   0.733	 0.603	 57.750	   0.352	  56.250	   0.235	  60.750	   0.124	  56.250	   0.560
     126	NGC1302   	   0.319	 0.288	 18.750	   0.077	  20.250	        	        	        	        	   0.237
     127	NGC1309   	   0.394	 0.299	 15.750	        	        	        	        	        	        	   0.286
     128	NGC1310   	   0.560	 0.248	  5.250	   0.064	   5.250	        	        	        	        	   0.100
     129	NGC1313   	   0.685	 0.387	 35.250	        	        	        	        	        	        	   0.382
     130	NGC1316C  	   0.470	 0.355	  8.250	   0.099	   8.250	        	        	        	        	   0.303
     131	NGC1326   	   0.500	 0.643	 38.250	   0.225	  38.250	   0.094	  38.250	   0.047	  38.250	   0.605
     132	NGC1326A  	        	 0.258	 14.250	        	        	        	        	        	        	   0.198
     133	NGC1338   	        	 0.446	  3.750	   0.160	   3.750	        	        	        	        	   0.349
     134	NGC1341   	   0.660	 0.539	  8.250	   0.185	   8.250	        	        	        	        	   0.466
     135	NGC1345   	   0.646	 0.699	  9.750	   0.306	   8.250	   0.159	   8.250	   0.097	   8.250	   0.626
     136	NGC1347   	   0.539	 0.109	  6.750	        	        	        	        	        	        	   0.081
     137	NGC1350   	   0.580	 0.679	 78.750	   0.176	  75.750	        	        	        	        	   0.679
     138	NGC1359   	   0.717	 0.848	 14.250	   0.412	  14.250	   0.193	  14.250	   0.144	  14.250	   0.831
     139	NGC1365   	   0.725	 0.728	 59.250	        	        	        	        	        	        	   1.051
     140	NGC1367   	   0.378	 0.355	 23.250	   0.102	  21.750	        	        	        	        	   0.295
     141	NGC1389   	        	 0.362	 21.750	   0.131	  30.750	        	        	        	        	   0.234
     142	NGC1398   	        	 0.467	 30.750	   0.255	  35.250	   0.168	  39.750	   0.111	  39.750	   0.437
     143	NGC1433   	   0.693	 0.560	 47.250	   0.317	  57.750	   0.230	  69.750	   0.130	  57.750	   0.563
     144	NGC1436   	   0.242	 0.122	  6.750	        	        	        	        	        	        	   0.056
     145	NGC1438   	   0.543	 0.451	 30.750	   0.148	  30.750	        	        	        	        	   0.437
     146	NGC1452   	   0.685	 0.892	 23.250	   0.564	  30.750	   0.413	  33.750	   0.313	  36.750	   0.615
     147	NGC1483   	        	 0.305	  8.250	   0.114	   8.250	        	        	        	        	   0.294
     148	NGC1493   	   0.621	 0.406	  9.750	   0.174	   9.750	        	        	        	        	   0.142
     149	NGC1512   	   0.620	 0.471	 47.250	   0.188	  47.250	        	        	        	        	   0.590
     150	NGC1533   	   0.365	 0.371	 20.250	   0.144	  20.250	   0.059	  23.250	        	        	   0.207
     151	NGC1556   	        	 0.474	 18.750	   0.261	  17.250	   0.108	  17.250	   0.087	  18.750	   0.468
     152	NGC1559   	   0.596	 0.361	  9.750	   0.166	  14.250	        	        	        	        	   0.126
     153	NGC1566   	   0.575	 0.329	 21.750	        	        	        	        	        	        	   0.077
     154	NGC1637   	   0.532	 0.367	 17.250	   0.146	  17.250	        	        	        	        	   0.314
     155	NGC1640   	   0.590	 0.511	 18.750	   0.272	  18.750	   0.147	  20.250	   0.091	  20.250	   0.490
     156	NGC1672   	   0.684	 0.937	 74.250	   0.501	  75.750	   0.296	  75.750	        	        	   0.854
     157	NGC1679   	   0.601	 0.473	 14.250	   0.194	  14.250	        	        	        	        	   0.432
     158	NGC1808   	        	 1.155	101.250	   0.624	 101.250	        	        	        	        	   0.808
     159	NGC1879   	   0.467	 0.309	 23.250	        	        	        	        	        	        	   0.358
     160	NGC2460   	   0.332	 0.147	  8.250	   0.037	   5.250	        	        	        	        	   0.168
     161	NGC2500   	   0.514	 0.238	 15.750	        	        	        	        	        	        	   0.193
     162	NGC2543   	   0.673	 0.690	 20.250	   0.345	  24.750	   0.167	  24.750	   0.094	  23.250	   0.590
     163	NGC2604   	   0.779	 0.662	  6.750	   0.316	   6.750	        	        	        	        	   0.544
     164	NGC2608   	   0.680	 0.513	 24.750	   0.269	  24.750	   0.202	  26.250	   0.132	  23.250	   0.512
     165	NGC2633   	   0.400	 0.681	 20.250	   0.337	  21.750	   0.185	  21.750	        	        	   0.498
     166	NGC2655   	   0.296	 0.312	 33.750	        	        	        	        	        	        	   0.297
     167	NGC2681   	   0.273	 0.244	 14.250	   0.079	  14.250	        	        	        	        	   0.239
     168	NGC2701   	   0.353	 0.188	  9.750	        	        	        	        	        	        	   0.186
     169	NGC2712   	   0.588	 0.442	 26.250	   0.207	  27.750	        	        	        	        	   0.442
     170	NGC2743   	   0.433	 0.197	  3.750	        	        	        	        	        	        	   0.164
     171	NGC2750   	        	 0.263	 14.250	        	        	        	        	        	        	   0.220
     172	NGC2780   	   0.758	 0.351	  5.250	   0.123	   8.250	        	        	        	        	   0.325
     173	NGC2787   	   0.489	 0.527	 36.750	   0.240	  38.250	   0.121	  38.250	   0.069	  38.250	   0.296
     174	NGC2798   	   0.488	 0.763	 15.750	   0.357	  15.750	   0.173	  15.750	   0.113	  15.750	   0.656
     175	NGC2805   	   0.226	 0.154	  8.250	        	        	        	        	        	        	   0.241
     176	NGC2854   	   0.427	 0.393	  9.750	   0.142	   9.750	   0.074	  11.250	        	        	   0.354
     177	NGC2859   	   0.498	 0.570	 39.750	   0.233	  38.250	   0.107	  38.250	   0.057	  41.250	   0.560
     178	NGC2893   	   0.411	 0.669	 12.750	   0.270	  12.750	   0.132	  14.250	   0.052	  12.750	   0.663
     179	NGC2894   	        	 0.472	 39.750	   0.243	  38.250	   0.141	  39.750	   0.121	  38.250	   0.436
     180	NGC2903   	   0.614	 0.459	 66.750	   0.312	  68.250	        	        	        	        	   0.449
     181	NGC2938   	   0.559	 0.570	 39.750	   0.061	   6.750	        	        	        	        	   0.268
     182	NGC2962   	   0.370	 0.514	 29.250	   0.173	  32.250	        	        	        	        	   0.485
     183	NGC2964   	   0.666	 0.446	 21.750	        	        	        	        	        	        	   0.440
     184	NGC2968   	   0.393	 0.596	 35.250	   0.282	  36.750	   0.152	  36.750	   0.079	  36.750	   0.531
     185	NGC2976   	        	 0.106	 17.250	        	        	        	        	        	        	   0.048
     186	NGC3049   	   0.638	 0.624	 24.750	   0.309	  24.750	   0.182	  27.750	   0.099	  29.250	   0.540
     187	NGC3055   	   0.299	 0.254	  6.750	   0.075	   6.750	        	        	        	        	   0.233
     188	NGC3061   	   0.506	 0.284	  6.750	        	        	        	        	        	        	   0.150
     189	NGC3066   	   0.520	 0.484	 12.750	   0.253	  12.750	        	        	        	        	   0.445
     190	NGC3147   	   0.304	 0.242	  5.250	        	        	        	        	        	        	   0.179
     191	NGC3155   	   0.490	 0.300	  6.750	   0.108	   8.250	   0.054	   6.750	        	        	   0.211
     192	NGC3166   	   0.532	 0.645	 35.250	   0.273	  35.250	   0.136	  33.750	   0.077	  35.250	   0.487
     193	NGC3185   	   0.510	 0.279	 23.250	   0.127	  23.250	        	        	        	        	   0.403
     194	NGC3190   	   0.609	 1.216	 72.750	   0.682	  72.750	   0.379	  72.750	   0.241	  72.750	   1.152
     195	NGC3246   	   0.340	 0.167	  8.250	        	        	        	        	        	        	   0.146
     196	NGC3266   	   0.334	 0.405	  9.750	   0.163	   9.750	   0.072	   9.750	   0.044	  11.250	   0.236
     197	NGC3287   	   0.563	 0.430	 20.250	   0.140	  24.750	        	        	        	        	   0.319
     198	NGC3306   	   0.098	 0.071	  6.750	   0.051	   8.250	        	        	        	        	   0.025
     199	NGC3319   	        	 0.643	 12.750	   0.281	  12.750	   0.139	  12.750	        	        	   0.148
     200	NGC3321   	   0.463	 0.151	  6.750	   0.075	   8.250	        	        	        	        	   0.115
     201	NGC3344   	   0.384	 0.196	 12.750	   0.047	  14.250	        	        	        	        	   0.075
     202	NGC3346   	   0.680	 0.429	  6.750	   0.181	   6.750	   0.079	   6.750	        	        	   0.229
     203	NGC3351   	   0.608	 0.513	 39.750	   0.249	  47.250	   0.141	  50.250	   0.082	  50.250	   0.317
     204	NGC3359   	   0.710	 0.665	 23.250	   0.321	  21.750	   0.213	  21.750	   0.225	  23.250	   0.267
     205	NGC3368   	   0.521	 0.787	 83.250	   0.301	  81.750	   0.128	  71.250	   0.087	  75.750	   0.767
     206	NGC3380   	   0.565	 0.853	 20.250	   0.370	  20.250	   0.193	  20.250	   0.100	  20.250	   0.784
     207	NGC3381   	   0.739	 0.473	  6.750	   0.208	   6.750	   0.117	   6.750	   0.054	   6.750	   0.526
     208	NGC3384   	        	 0.607	 21.750	   0.254	  29.250	   0.119	  30.750	   0.058	  29.250	   0.182
     209	NGC3433   	   0.314	 0.127	 12.750	        	        	        	        	        	        	   0.103
     210	NGC3443   	   0.411	 0.171	 18.750	   0.124	  20.250	        	        	        	        	   0.163
     211	NGC3447   	        	 0.306	 20.250	        	        	        	        	        	        	   0.299
     212	NGC3471   	   0.597	 0.571	  5.250	   0.170	   5.250	   0.063	   5.250	   0.029	   5.250	   0.414
     213	NGC3485   	   0.722	 0.386	 14.250	   0.186	  15.750	        	        	        	        	   0.351
     214	NGC3486   	   0.426	 0.158	 15.750	   0.056	  15.750	        	        	        	        	   0.156
     215	NGC3488   	   0.482	 0.264	  8.250	   0.070	   6.750	        	        	        	        	   0.247
     216	NGC3489   	   0.299	 0.488	 14.250	   0.149	  17.250	        	        	        	        	   0.467
     217	NGC3504   	   0.635	 1.086	 32.250	   0.605	  32.250	   0.354	  32.250	   0.245	  32.250	   0.973
     218	NGC3507   	   0.543	 0.454	 21.750	   0.110	  20.250	        	        	        	        	   0.342
     219	NGC3513   	   0.751	 0.487	 14.250	   0.229	  12.750	   0.150	  11.250	        	        	   0.138
     220	NGC3583   	   0.554	 0.842	 26.250	   0.359	  26.250	        	        	        	        	   0.482
