#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:29:01 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:29:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/582/A86/table3&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35820086
#Name: J/A+A/582/A86
#Title: Catalogue of features in the S4G (Herrera-Endoqui+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	creator=Herrera-Endoqui M.	    First author or institution
#INFO	cites=bibcode:2015A&A...582A..86H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/582/A86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35820086	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-04-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_582_A86_table3:
#Name: J/A+A/582/A86/table3
#Title: Properties of spiral arms in the S4G; corrected version sent by the author
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Class	(a24)	Morphological classification	[ucd=src.morph]
#Column	Type	(A1)	Type of arms (3)	[ucd=src.morph.type]
#Column	Segment	(A3)	Segment	[ucd=obs.field]
#Column	Pitchang	(F5.1)	Pitch angle	[ucd=src.morph.param]
#Column	ri	(F5.1)	Inner radius	[ucd=phys.angSize;src]
#Column	ro	(F5.1)	Outer radius	[ucd=phys.angSize;src]
#Column	Qual	(F4.1)	[1/2] Quality flag (4)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	Class	Type	Segment	Pitchang	ri	ro	Qual	Simbad	_RA	_DE
      27	ESO340-042	SB(s)_dm                	F	sp1	-31.8	 15.7	 46.7	 2.0	Simbad	308.73333	-40.62417
      28	ESO340-042	SB(s)_dm                	F	sp2	-46.4	 14.2	 24.9	 2.0	Simbad	308.73333	-40.62417
      29	ESO340-042	SB(s)_dm                	F	sp3	-22.8	 25.3	 44.5	 2.0	Simbad	308.73333	-40.62417
      30	ESO340-042	SB(s)_dm                	F	sp4	 -4.1	 45.2	 48.0	 2.0	Simbad	308.73333	-40.62417
      31	ESO342-050	SA(s)bc                 	M	sp1	-32.2	  9.8	 23.1	 1.0	Simbad	322.06275	-37.86130
      32	ESO342-050	SA(s)bc                 	M	sp2	-19.6	 22.7	 65.8	 1.0	Simbad	322.06275	-37.86130
      33	ESO342-050	SA(s)bc                 	M	sp3	-33.6	 15.3	 60.6	 1.0	Simbad	322.06275	-37.86130
      34	ESO342-050	SA(s)bc                 	M	sp4	-15.5	 19.0	 37.9	 1.0	Simbad	322.06275	-37.86130
      35	ESO355-026	SA(r)bc                 	M	sp1	-11.9	 12.8	 36.8	 2.0	Simbad	038.07295	-35.03018
      36	ESO355-026	SA(r)bc                 	M	sp2	-18.0	 10.6	 28.8	 2.0	Simbad	038.07295	-35.03018
      37	ESO355-026	SA(r)bc                 	M	sp3	-60.9	 14.5	 27.2	 2.0	Simbad	038.07295	-35.03018
      38	ESO355-026	SA(r)bc                 	M	sp4	-14.2	 28.5	 32.9	 2.0	Simbad	038.07295	-35.03018
      39	ESO404-027	SAB(s)_ab:              	G	sp1	 21.4	 18.2	 48.1	 1.0	Simbad	330.94928	-32.28502
      40	ESO404-027	SAB(s)_ab:              	G	sp2	  5.8	 49.1	 62.2	 1.0	Simbad	330.94928	-32.28502
      41	ESO404-027	SAB(s)_ab:              	G	sp3	 14.2	 21.9	 45.7	 1.0	Simbad	330.94928	-32.28502
      42	ESO407-009	SA(s)b_c                	M	sp1	-20.2	 17.9	 65.1	 2.0	Simbad	348.18712	-37.20792
      43	ESO407-009	SA(s)b_c                	M	sp2	 -7.7	 22.4	 31.3	 2.0	Simbad	348.18712	-37.20792
      44	ESO440-011	SB(rs)cd                	M	sp1	-42.2	 25.9	 63.6	 2.0	Simbad	177.18917	-28.29306
      45	ESO440-011	SB(rs)cd                	M	sp2	-15.1	 64.3	 80.2	 2.0	Simbad	177.18917	-28.29306
      46	ESO440-011	SB(rs)cd                	M	sp3	-19.0	 25.8	 44.8	 2.0	Simbad	177.18917	-28.29306
      47	ESO443-069	(R')SB(rs)dm            	M	sp1	 -8.3	 27.2	 34.1	 2.0	Simbad	196.72083	-28.55639
      48	ESO443-069	(R')SB(rs)dm            	M	sp2	-38.1	 20.0	 41.7	 2.0	Simbad	196.72083	-28.55639
      49	ESO443-069	(R')SB(rs)dm            	M	sp3	 -7.1	 43.1	 60.0	 2.0	Simbad	196.72083	-28.55639
      50	ESO443-069	(R')SB(rs)dm            	M	sp4	-26.7	 33.8	 55.1	 2.0	Simbad	196.72083	-28.55639
      51	ESO443-085	SB(s)d                  	M	sp1	-19.8	 17.1	 33.8	 2.0	Simbad	198.80910	-32.25391
      52	ESO443-085	SB(s)d                  	M	sp2	-17.9	 16.1	 31.6	 2.0	Simbad	198.80910	-32.25391
      53	ESO485-021	SAB(s)_cd               	G	sp1	 50.3	 24.4	 49.5	 2.0	Simbad	073.22083	-25.24667
      54	ESO485-021	SAB(s)_cd               	G	sp2	 13.0	 54.9	 73.7	 2.0	Simbad	073.22083	-25.24667
      55	ESO485-021	SAB(s)_cd               	G	sp3	 46.5	 24.4	 50.0	 2.0	Simbad	073.22083	-25.24667
      56	ESO485-021	SAB(s)_cd               	G	sp4	 12.6	 51.2	 72.6	 2.0	Simbad	073.22083	-25.24667
      57	ESO502-020	SA(s)d                  	F	sp1	  1.3	 14.4	 15.1	 2.0	Simbad	167.34167	-22.87583
      58	ESO502-020	SA(s)d                  	F	sp2	 14.9	 17.0	 26.2	 2.0	Simbad	167.34167	-22.87583
      59	ESO502-020	SA(s)d                  	F	sp3	 14.6	 12.3	 33.8	 2.0	Simbad	167.34167	-22.87583
      60	ESO504-028	SA(s)_cd                	F	sp1	-13.8	  8.7	 32.9	 2.0	Simbad	178.72668	-27.25139
      61	ESO504-028	SA(s)_cd                	F	sp3	-27.6	  7.4	 18.1	 2.0	Simbad	178.72668	-27.25139
      62	ESO504-028	SA(s)_cd                	F	sp4	-13.7	 18.2	 33.6	 2.0	Simbad	178.72668	-27.25139
      63	ESO508-007	SA_B(r_s)_dm            	F	sp1	 38.9	 22.0	 41.5	 2.0	Simbad	196.78083	-24.11222
      64	ESO508-024	SAB(rs)c                	G	sp2	-31.9	 16.1	 46.5	 1.0	Simbad	197.69140	-23.86573
      65	ESO508-024	SAB(rs)c                	G	sp3	-15.7	 49.9	 64.9	 1.0	Simbad	197.69140	-23.86573
      66	ESO508-024	SAB(rs)c                	G	sp4	-36.6	 12.2	 53.7	 1.0	Simbad	197.69140	-23.86573
      67	ESO509-026	S/Im:                   	G	sp1	 12.4	 14.1	 17.5	 2.0	Simbad	202.10208	-27.56944
      68	ESO509-026	S/Im:                   	G	sp2	 24.4	 11.8	 17.4	 2.0	Simbad	202.10208	-27.56944
      69	ESO510-059	SB(r_s)c                	G	sp1	 44.0	 23.3	 36.2	 2.0	Simbad	211.19310	-24.82704
      70	ESO510-059	SB(r_s)c                	G	sp2	  6.8	 38.2	 54.4	 2.0	Simbad	211.19310	-24.82704
      71	ESO510-059	SB(r_s)c                	G	sp3	 44.6	 23.2	 43.1	 2.0	Simbad	211.19310	-24.82704
      72	ESO510-059	SB(r_s)c                	G	sp4	 11.7	 43.6	 74.3	 2.0	Simbad	211.19310	-24.82704
      73	ESO532-022	SA_B(r_s)d              	F	sp1	 27.3	 19.4	 43.9	 2.0	Simbad	332.29583	-27.16750
      74	ESO532-022	SA_B(r_s)d              	F	sp2	 24.3	 19.8	 39.7	 2.0	Simbad	332.29583	-27.16750
      75	ESO533-028	SA(s)bc                 	M	sp1	 32.3	  8.0	 14.1	 2.0	Simbad	336.66403	-24.87156
      76	ESO533-028	SA(s)bc                 	M	sp2	 44.7	  8.0	 27.1	 2.0	Simbad	336.66403	-24.87156
      77	ESO533-028	SA(s)bc                 	M	sp3	  9.2	 16.4	 23.6	 2.0	Simbad	336.66403	-24.87156
      78	ESO533-028	SA(s)bc                 	M	sp4	 24.5	 11.8	 35.6	 2.0	Simbad	336.66403	-24.87156
      79	ESO541-004	S_AB(s)_bc              	M	sp1	  9.5	 15.8	 24.0	 2.0	Simbad	014.74164	-18.74271
      80	ESO541-004	S_AB(s)_bc              	M	sp2	 17.4	 25.0	 62.6	 2.0	Simbad	014.74164	-18.74271
      81	ESO541-004	S_AB(s)_bc              	M	sp3	  6.6	 17.2	 22.5	 2.0	Simbad	014.74164	-18.74271
      82	ESO541-004	S_AB(s)_bc              	M	sp4	 17.5	 22.5	 58.2	 2.0	Simbad	014.74164	-18.74271
      83	ESO541-004	S_AB(s)_bc              	M	sp5	 22.1	 27.7	 89.6	 2.0	Simbad	014.74164	-18.74271
      84	ESO549-018	(R_2'L)SAB(s)b          	G	sp1	-12.1	 22.1	 45.2	 1.0	Simbad	057.05860	-21.47442
      85	ESO549-018	(R_2'L)SAB(s)b          	G	sp2	-10.0	 22.6	 44.0	 1.0	Simbad	057.05860	-21.47442
      86	ESO576-001	S_AB(r)a                	G	sp1	  5.7	 12.1	 13.8	 2.0	Simbad	197.59892	-21.68418
      87	ESO576-001	S_AB(r)a                	G	sp2	 13.6	 15.6	 23.3	 2.0	Simbad	197.59892	-21.68418
      88	ESO576-001	S_AB(r)a                	G	sp3	 24.1	 15.8	 23.5	 2.0	Simbad	197.59892	-21.68418
      89	ESO576-001	S_AB(r)a                	G	sp4	  0.3	 23.8	 23.9	 2.0	Simbad	197.59892	-21.68418
      90	ESO576-003	SB(r_s)dm               	M	sp1	-37.6	 14.9	 27.2	 2.0	Simbad	197.64874	-21.74824
      91	ESO576-003	SB(r_s)dm               	M	sp2	-28.0	 15.7	 31.9	 2.0	Simbad	197.64874	-21.74824
      92	ESO576-003	SB(r_s)dm               	M	sp3	-19.6	 28.2	 48.0	 2.0	Simbad	197.64874	-21.74824
      93	ESO576-003	SB(r_s)dm               	M	sp4	-33.5	 22.9	 34.7	 2.0	Simbad	197.64874	-21.74824
      94	ESO576-003	SB(r_s)dm               	M	sp5	 -7.0	 35.4	 40.0	 2.0	Simbad	197.64874	-21.74824
      95	ESO576-050	SB(rs)c_dpec            	M	sp1	-19.0	 25.9	 79.4	 2.0	Simbad	201.17416	-19.69595
      96	ESO576-050	SB(rs)c_dpec            	M	sp2	-12.2	 31.0	 66.1	 2.0	Simbad	201.17416	-19.69595
      97	ESO580-030	SA(s)c                  	M	sp1	 21.7	  6.8	 36.9	 2.0	Simbad	221.89766	-18.07049
      98	ESO580-030	SA(s)c                  	M	sp2	 23.0	  6.8	 27.4	 2.0	Simbad	221.89766	-18.07049
      99	IC0163    	SB(s)d_m                	F	sp1	-47.4	 18.2	 29.6	 2.0	Simbad	027.31243	+20.71132
     100	IC0163    	SB(s)d_m                	F	sp2	-15.9	 30.8	 45.4	 2.0	Simbad	027.31243	+20.71132
     101	IC0163    	SB(s)d_m                	F	sp3	 -0.5	 19.2	 19.5	 2.0	Simbad	027.31243	+20.71132
     102	IC0163    	SB(s)d_m                	F	sp4	-32.2	 19.6	 49.1	 2.0	Simbad	027.31243	+20.71132
     103	IC0167    	SA_B(s)cd               	G	sp1	-53.9	 18.8	 67.7	 1.0	Simbad	027.78604	+21.91244
     104	IC0167    	SA_B(s)cd               	G	sp2	 -7.5	 71.9	 80.2	 1.0	Simbad	027.78604	+21.91244
     105	IC0167    	SA_B(s)cd               	G	sp3	-41.4	 14.8	 60.3	 1.0	Simbad	027.78604	+21.91244
     106	IC0167    	SA_B(s)cd               	G	sp4	 -8.1	 62.9	 69.6	 1.0	Simbad	027.78604	+21.91244
     107	IC0529    	S_AB(s)_cd              	M	sp1	 37.8	  8.5	 62.4	 2.0	Simbad	139.63661	+73.75932
     108	IC0529    	S_AB(s)_cd              	M	sp2	 12.4	 65.8	 89.6	 2.0	Simbad	139.63661	+73.75932
     109	IC0529    	S_AB(s)_cd              	M	sp3	 14.0	 21.0	 85.5	 2.0	Simbad	139.63661	+73.75932
     110	IC0529    	S_AB(s)_cd              	M	sp4	 22.4	 10.3	 75.4	 2.0	Simbad	139.63661	+73.75932
     111	IC0529    	S_AB(s)_cd              	M	sp5	 10.3	 43.7	 62.0	 2.0	Simbad	139.63661	+73.75932
     112	IC0718    	SB(s)m                  	F	sp1	-53.5	  9.4	 23.9	 2.0	Simbad	174.96984	+08.87449
     113	IC0749    	SB(rs)cd                	F	sp1	-28.7	 23.8	 42.5	 2.0	Simbad	179.64185	+42.73403
     114	IC0749    	SB(rs)cd                	F	sp2	-33.4	 19.7	 37.0	 2.0	Simbad	179.64185	+42.73403
     115	IC0749    	SB(rs)cd                	F	sp4	 10.4	 39.1	 48.4	 2.0	Simbad	179.64185	+42.73403
     116	IC0758    	(R')SB(s)dm             	F	sp1	 23.3	 16.5	 35.8	 2.0	Simbad	181.04948	+62.50536
     117	IC0758    	(R')SB(s)dm             	F	sp2	 32.4	 11.7	 29.8	 2.0	Simbad	181.04948	+62.50536
     118	IC0764    	SAB(s)b_c               	G	sp1	-15.6	 21.8	114.8	 1.0	Simbad	182.55913	-29.73681
     119	IC0764    	SAB(s)b_c               	G	sp2	-13.7	 21.8	118.5	 1.0	Simbad	182.55913	-29.73681
     120	IC0769    	SAB(s)_bc               	G	sp1	  5.0	 13.7	 15.3	 1.0	Simbad	183.13466	+12.12380
     121	IC0769    	SAB(s)_bc               	G	sp2	 23.6	 15.2	 34.3	 1.0	Simbad	183.13466	+12.12380
     122	IC0769    	SAB(s)_bc               	G	sp3	 -8.2	 29.6	 34.1	 1.0	Simbad	183.13466	+12.12380
     123	IC0769    	SAB(s)_bc               	G	sp4	 22.2	 30.0	 56.9	 1.0	Simbad	183.13466	+12.12380
     124	IC0769    	SAB(s)_bc               	G	sp5	 -0.3	 58.0	 58.4	 1.0	Simbad	183.13466	+12.12380
     125	IC0769    	SAB(s)_bc               	G	sp6	 14.9	 12.7	 27.2	 1.0	Simbad	183.13466	+12.12380
     126	IC0769    	SAB(s)_bc               	G	sp7	  0.7	 28.7	 29.2	 1.0	Simbad	183.13466	+12.12380
     127	IC0769    	SAB(s)_bc               	G	sp8	 25.2	 30.1	 64.8	 1.0	Simbad	183.13466	+12.12380
     128	IC0769    	SAB(s)_bc               	G	sp9	  4.0	 64.7	 68.2	 1.0	Simbad	183.13466	+12.12380
     129	IC0797    	SAB(s)dm:/Sph           	F	sp1	 25.7	 13.5	 23.6	 2.0	Simbad	187.97813	+15.12392
     130	IC0797    	SAB(s)dm:/Sph           	F	sp2	 10.9	 18.8	 22.9	 2.0	Simbad	187.97813	+15.12392
     131	IC0797    	SAB(s)dm:/Sph           	F	sp3	 20.3	 14.4	 28.9	 2.0	Simbad	187.97813	+15.12392
     132	IC1067    	SB(rbl)a_b              	M	sp1	 18.6	 22.3	 38.0	 2.0	Simbad	223.27182	+03.33176
     133	IC1067    	SB(rbl)a_b              	M	sp2	 18.3	 35.8	 53.2	 2.0	Simbad	223.27182	+03.33176
     134	IC1067    	SB(rbl)a_b              	M	sp3	 18.2	 19.1	 49.8	 2.0	Simbad	223.27182	+03.33176
     135	IC1067    	SB(rbl)a_b              	M	sp4	 23.2	 24.4	 46.4	 2.0	Simbad	223.27182	+03.33176
     136	IC1125    	SAB(s)dm                	F	sp1	  4.1	 20.4	 23.1	 2.0	Simbad	233.27333	-01.62829
     137	IC1125    	SAB(s)dm                	F	sp2	 50.9	  8.5	 27.8	 2.0	Simbad	233.27333	-01.62829
     138	IC1125    	SAB(s)dm                	F	sp3	 29.2	 15.1	 29.2	 2.0	Simbad	233.27333	-01.62829
     139	IC1151    	SB(s)d                  	G	sp1	 -6.6	 10.5	 12.7	 2.0	Simbad	239.63470	+17.44155
     140	IC1151    	SB(s)d                  	G	sp2	-49.6	 13.3	 53.4	 2.0	Simbad	239.63470	+17.44155
     141	IC1151    	SB(s)d                  	G	sp3	 -2.5	 53.7	 54.4	 2.0	Simbad	239.63470	+17.44155
     142	IC1151    	SB(s)d                  	G	sp4	-21.6	 12.7	 46.1	 2.0	Simbad	239.63470	+17.44155
     143	IC1158    	SAB(r)cd                	M	sp1	 11.8	 17.3	 43.9	 2.0	Simbad	240.39197	+01.70783
     144	IC1158    	SAB(r)cd                	M	sp2	 10.1	 22.2	 49.1	 2.0	Simbad	240.39197	+01.70783
     145	IC1447    	S_AB(s)bc               	M	sp1	-10.9	  8.2	 18.2	 2.0	Simbad	337.49915	-05.11993
     146	IC1447    	S_AB(s)bc               	M	sp2	-33.8	 18.7	 37.0	 2.0	Simbad	337.49915	-05.11993
     147	IC1447    	S_AB(s)bc               	M	sp3	 -9.8	 21.6	 34.7	 2.0	Simbad	337.49915	-05.11993
     148	IC1447    	S_AB(s)bc               	M	sp4	 -1.7	 35.0	 36.0	 2.0	Simbad	337.49915	-05.11993
     149	IC1447    	S_AB(s)bc               	M	sp5	 -9.8	 11.2	 27.9	 2.0	Simbad	337.49915	-05.11993
     150	IC1933    	S/IB(s)m:               	F	sp1	 21.8	 14.4	 34.8	 2.0	Simbad	051.41618	-52.78548
     151	IC1933    	S/IB(s)m:               	F	sp2	 13.2	 35.5	 50.8	 2.0	Simbad	051.41618	-52.78548
     152	IC1933    	S/IB(s)m:               	F	sp3	 51.0	 18.5	 56.2	 2.0	Simbad	051.41618	-52.78548
     153	IC1933    	S/IB(s)m:               	F	sp4	 28.7	 18.8	 49.4	 2.0	Simbad	051.41618	-52.78548
     154	IC1953    	SB(rs)c                 	F	sp1	 11.2	 30.5	 67.5	 2.0	Simbad	053.42452	-21.47862
     155	IC1953    	SB(rs)c                 	F	sp2	 10.8	 31.5	 60.3	 2.0	Simbad	053.42452	-21.47862
     156	IC1953    	SB(rs)c                 	F	sp3	 39.7	 34.3	 73.6	 2.0	Simbad	053.42452	-21.47862
     157	IC1954    	SB(r_s)cd               	M	sp1	-16.0	 17.9	 60.2	 2.0	Simbad	052.88080	-51.90487
     158	IC1954    	SB(r_s)cd               	M	sp2	 11.4	 52.5	 60.2	 2.0	Simbad	052.88080	-51.90487
     159	IC1954    	SB(r_s)cd               	M	sp3	-23.8	 16.0	 70.8	 2.0	Simbad	052.88080	-51.90487
     160	IC1954    	SB(r_s)cd               	M	sp4	  3.9	 62.9	 71.4	 2.0	Simbad	052.88080	-51.90487
     161	IC1993    	(R')SA(s)ab             	M	sp1	 14.8	 11.2	 50.9	 2.0	Simbad	056.77015	-33.70997
     162	IC1993    	(R')SA(s)ab             	M	sp2	 12.2	 13.7	 47.6	 2.0	Simbad	056.77015	-33.70997
     163	IC1993    	(R')SA(s)ab             	M	sp3	 18.6	 31.2	 51.6	 2.0	Simbad	056.77015	-33.70997
     164	IC2051    	SB(_rsbl)b              	M	sp1	 11.0	 43.1	 66.7	 2.0	Simbad	058.00319	-83.83072
     165	IC2051    	SB(_rsbl)b              	M	sp2	 20.0	 36.1	 64.8	 2.0	Simbad	058.00319	-83.83072
     166	IC2627    	(R')SA(s)bc             	G	sp1	 30.0	 10.1	 82.6	 2.0	Simbad	167.47245	-23.72588
     167	IC2627    	(R')SA(s)bc             	G	sp2	 24.5	  9.0	 28.4	 2.0	Simbad	167.47245	-23.72588
     168	IC2627    	(R')SA(s)bc             	G	sp3	 10.4	 28.8	 53.4	 2.0	Simbad	167.47245	-23.72588
     169	IC3115    	SB(s)cd                 	G	sp1	-14.8	 12.9	 20.8	 2.0	Simbad	184.49960	+06.65418
     170	IC3115    	SB(s)cd                 	G	sp2	-29.9	 22.7	 57.5	 2.0	Simbad	184.49960	+06.65418
     171	IC3115    	SB(s)cd                 	G	sp3	-11.2	 17.0	 25.4	 2.0	Simbad	184.49960	+06.65418
     172	IC3115    	SB(s)cd                 	G	sp4	-35.3	 26.2	 55.4	 2.0	Simbad	184.49960	+06.65418
     173	IC3115    	SB(s)cd                 	G	sp5	 -7.4	 55.3	 64.6	 2.0	Simbad	184.49960	+06.65418
     174	IC3115    	SB(s)cd                 	G	sp6	 -4.7	 58.7	 65.6	 2.0	Simbad	184.49960	+06.65418
     175	IC3391    	SAcpec/Sph              	F	sp1	-50.1	 13.1	 26.6	 2.0	Simbad	187.11366	+18.41530
     176	IC3391    	SAcpec/Sph              	F	sp2	-41.2	 17.8	 26.0	 2.0	Simbad	187.11366	+18.41530
     177	IC3391    	SAcpec/Sph              	F	sp3	 12.3	 19.2	 26.9	 2.0	Simbad	187.11366	+18.41530
     178	IC3391    	SAcpec/Sph              	F	sp4	-14.2	 19.5	 28.6	 2.0	Simbad	187.11366	+18.41530
