#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:29:00 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:29:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/582/A86/table2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35820086
#Name: J/A+A/582/A86
#Title: Catalogue of features in the S4G (Herrera-Endoqui+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	creator=Herrera-Endoqui M.	    First author or institution
#INFO	cites=bibcode:2015A&A...582A..86H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/582/A86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35820086	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-04-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_582_A86_table2:
#Name: J/A+A/582/A86/table2
#Title: Properties of bars, ring- and lens-structures in the S4G
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Class	(a27)	Morphological classification	[ucd=src.morph]
#Column	Type	(a5)	Type of feature (1)	[ucd=src.morph.type]
#Column	sma	(F5.1)	Semi-major axis	[ucd=phys.angSize;src]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	Ell	(F7.2)	? Ellipticity	[ucd=src.ellipticity]
#Column	smaEll	(F6.1)	? Semi-major axis from ellipticity	[ucd=phys.angSize;src]
#Column	dsma	(F6.1)	? Deprojected semi-major axis	[ucd=phys.angSize;src]
#Column	dPA	(I4)	? Deprojected position angle	[ucd=pos.posAng]
#Column	dEll	(F7.2)	? Deprojected ellipticity	[ucd=src.ellipticity]
#Column	dsmaEll	(F6.1)	? Deprojexted semi-major axis from Ell	[ucd=phys.angSize;src]
#Column	Qual	(I1)	[1/3] Quality flag (2)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	Class	Type	sma	PA	Ell	smaEll	dsma	dPA	dEll	dsmaEll	Qual	Simbad	_RA	_DE
      22	ESO119-016	(R')SAB(s)dm:              	R'   	 68.6	 30	   0.75	      	  71.7	  48	   0.36	      	3	Simbad	072.87167	-61.65083
      23	ESO120-012	IAB(s)m                    	bar  	 24.5	 96	       	      	      	    	       	      	3	Simbad	084.99577	-58.58549
      24	ESO145-025	SAB(s)d_m                  	bar  	 12.0	156	       	      	      	    	       	      	3	Simbad	328.52375	-57.61333
      25	ESO149-001	SB(s)d,sp                  	bar  	 17.0	 32	       	      	      	    	       	      	3	Simbad	356.95375	-57.07139
      26	ESO154-023	SB(s)_dm,sp                	bar  	 46.4	 36	       	      	      	    	       	      	3	Simbad	044.21000	-54.57139
      27	ESO187-035	SB(s)m                     	bar  	 22.1	116	       	      	      	    	       	      	3	Simbad	314.23454	-55.72047
      28	ESO187-051	SA_B(s)m                   	bar  	 12.3	 17	       	      	      	    	       	      	3	Simbad	316.88625	-54.95306
      29	ESO202-041	SA_B(rs_)m                 	bar  	 17.1	166	   0.71	  20.1	  17.6	 173	   0.59	  20.5	2	Simbad	069.23621	-52.17367
      30	ESO202-041	SA_B(rs_)m                 	rs_  	 25.3	173	   0.09	      	  34.4	 239	   0.27	      	3	Simbad	069.23621	-52.17367
      31	ESO234-043	SA_B(s)_dm:                	bar  	 18.7	 57	   0.68	  18.0	  22.3	  43	   0.66	  21.6	2	Simbad	308.05792	-48.52833
      32	ESO234-049	SA(r)cd,pec                	r    	  8.1	165	   0.58	      	   8.8	 165	   0.61	      	1	Simbad	308.82525	-49.86550
      33	ESO236-039	S/IABm:                    	bar  	 10.0	 93	   0.62	  10.7	  10.9	 119	   0.34	  11.9	2	Simbad	326.31125	-49.00861
      34	ESO237-052	SAB(s)_dm:                 	bar  	 14.7	 40	       	      	      	    	       	      	2	Simbad	334.44717	-49.25996
      35	ESO238-018	SA_B(s)dm                  	bar  	  6.9	138	   0.68	   5.1	   7.3	 135	   0.69	   5.5	1	Simbad	338.93246	-50.89069
      36	ESO245-005	S/IAB(s)m                  	bar  	 50.3	118	       	      	      	    	       	      	3	Simbad	026.26542	-43.59778
      37	ESO248-002	(L)SB(s)d                  	bar  	 25.8	 26	       	      	      	    	       	      	2	Simbad	046.27603	-45.96191
      38	ESO248-002	(L)SB(s)d                  	L    	 85.0	 13	   0.77	      	  85.8	 -10	   0.06	      	1	Simbad	046.27603	-45.96191
      39	ESO249-035	SB(s)d_m,sp                	bar  	 20.6	 96	       	      	      	    	       	      	3	Simbad	059.73458	-45.85917
      40	ESO285-048	SB(rs)d                    	bar  	 10.2	102	   0.75	  12.9	  13.2	 128	   0.59	  15.7	1	Simbad	311.16760	-45.97852
      41	ESO285-048	SB(rs)d                    	rs   	 21.3	 70	   0.64	      	  24.5	  39	   0.35	      	2	Simbad	311.16760	-45.97852
      42	ESO287-037	SAB(s)dm                   	bar  	 18.7	174	   0.40	  15.8	  20.2	 168	   0.43	  17.1	2	Simbad	323.63342	-44.31478
      43	ESO287-043	SA_B(s)m,sp                	bar  	 18.6	105	       	      	      	    	       	      	3	Simbad	324.55200	-43.93452
      44	ESO288-013	SA_B(s)dm                  	bar  	 15.9	 35	   0.62	  12.9	  16.2	  32	   0.62	  13.4	2	Simbad	327.94417	-43.12417
      45	ESO289-026	SAB(s)d                    	bar  	 26.9	118	   0.77	  25.3	  38.4	  96	   0.78	  37.2	2	Simbad	335.88846	-42.27458
      46	ESO289-048	SA_B(s)d,sp                	bar  	 17.2	153	       	      	      	    	       	      	3	Simbad	340.23694	-45.66030
      47	ESO298-015	SA_B(s)_dm                 	bar  	 14.0	 43	       	      	      	    	       	      	2	Simbad	032.66212	-40.91808
      48	ESO298-023	S/IABm:                    	bar  	 10.6	 51	       	      	      	    	       	      	3	Simbad	033.61458	-39.18583
      49	ESO302-021	SB(s)m,sp                  	bar  	 16.2	  5	       	      	      	    	       	      	3	Simbad	058.96908	-40.68442
      50	ESO305-009	SAB(s)dm                   	bar  	 41.4	107	       	      	      	    	       	      	3	Simbad	077.03175	-38.30931
      51	ESO305-017	IB(s)m:                    	bar  	 14.4	 52	       	      	      	    	       	      	3	Simbad	078.75196	-41.39267
      52	ESO340-009	SA_Bd:,sp                  	bar  	 25.2	100	       	      	      	    	       	      	2	Simbad	304.33548	-38.67368
      53	ESO340-017	SB(sl)d                    	bar  	 29.7	 98	   0.69	  31.3	  33.3	  78	   0.48	  34.0	2	Simbad	304.92367	-39.28860
      54	ESO340-017	SB(sl)d                    	sl   	 36.4	108	   0.51	      	  38.2	  75	   0.14	      	3	Simbad	304.92367	-39.28860
      55	ESO340-042	SB(s)_dm                   	bar  	  9.6	131	   0.64	   5.2	  13.0	 141	   0.73	   7.1	2	Simbad	308.73333	-40.62417
      56	ESO341-032	SAB(s)d_m,(cc)             	bar  	 11.0	111	       	      	      	    	       	      	2	Simbad	315.89000	-39.44639
      57	ESO347-008	SA_B(s)m                   	bar  	 12.5	 63	       	      	      	    	       	      	2	Simbad	350.20125	-41.73083
      58	ESO347-029	SAB(s)c:                   	bar  	 12.7	 93	       	      	      	    	       	      	3	Simbad	354.11346	-38.78244
      59	ESO355-026	SA(r)bc                    	r    	  7.6	159	   0.27	      	  10.2	 241	   0.25	      	1	Simbad	038.07295	-35.03018
      60	ESO357-007	SA_B(s)m,sp                	bar  	 17.6	125	       	      	      	    	       	      	3	Simbad	047.60146	-33.15617
      61	ESO357-012	SAB(s)_dm                  	bar  	 27.0	106	   0.54	  29.0	  30.9	  85	   0.54	  37.0	2	Simbad	049.22292	-35.54139
      62	ESO358-020	S/IA_B(s)m,(cc)            	bar  	 16.5	161	   0.71	  11.9	  16.5	 164	   0.49	  11.9	2	Simbad	053.73889	-32.63979
      63	ESO358-025	SA(l,r)0+[d]/Sph           	l    	 19.2	 58	   0.41	      	  19.4	  81	   0.07	      	1	Simbad	053.88806	-32.46487
      64	ESO358-025	SA(l,r)0+[d]/Sph           	r    	  4.1	 56	   0.37	      	   4.2	 129	   0.02	      	1	Simbad	053.88806	-32.46487
      65	ESO358-054	SAB(s)m                    	bar  	 19.6	110	   0.42	  17.7	  24.3	 137	   0.34	  20.8	2	Simbad	055.75875	-36.27333
      66	ESO359-003	SBm,sp                     	bar  	 18.1	124	       	      	      	    	       	      	2	Simbad	058.00379	-33.46761
      67	ESO359-031	IABm                       	bar  	 13.3	108	   0.37	  11.5	  14.5	 112	   0.40	  12.3	2	Simbad	063.29004	-34.42633
      68	ESO361-015	SAB(s)_dm                  	bar  	 11.9	 78	       	      	      	    	       	      	3	Simbad	072.98893	-33.17929
      69	ESO362-019	(R')SA_B(s)_dm             	bar  	 17.0	140	       	      	      	    	       	      	2	Simbad	080.26750	-36.95667
      70	ESO362-019	(R')SA_B(s)_dm             	R'   	 58.0	  1	   0.82	      	  58.0	   3	   0.43	      	3	Simbad	080.26750	-36.95667
      71	ESO399-025	(RL)E(nd)2                 	RL   	 44.7	156	   0.22	      	  48.9	  72	   0.09	      	3	Simbad	303.36547	-37.18882
      72	ESO400-025	SBd                        	bar  	 13.0	141	       	      	      	    	       	      	3	Simbad	306.90805	-32.95743
      73	ESO402-025	SB(s)m:                    	bar  	 12.4	 88	       	      	      	    	       	      	2	Simbad	320.56577	-36.62768
      74	ESO402-026	(R1R2L)SA(r,nl)ab          	nl   	  5.3	106	   0.47	      	   7.9	  22	   0.33	      	1	Simbad	320.63080	-36.68159
      75	ESO402-026	(R1R2L)SA(r,nl)ab          	r    	 18.4	 99	   0.57	      	  24.7	  42	   0.33	      	1	Simbad	320.63080	-36.68159
      76	ESO402-026	(R1R2L)SA(r,nl)ab          	R1R2L	 60.4	107	   0.59	      	  69.4	  27	   0.13	      	1	Simbad	320.63080	-36.68159
      77	ESO402-030	SA(rs)0o+[c]               	rs   	  5.5	136	   0.49	      	   5.5	 134	   0.18	      	1	Simbad	321.68521	-34.49904
      78	ESO403-031	SBdm:,pec                  	bar  	 11.6	174	   0.49	  10.5	  14.1	  20	   0.35	  12.0	2	Simbad	327.01833	-36.77389
      79	ESO404-003	SB(s)_cd                   	bar  	  9.6	 10	   0.74	   8.6	   9.6	  13	   0.50	   8.7	1	Simbad	328.16556	-36.50283
      80	ESO404-012	SAB(rs)b                   	bar  	 12.3	133	   0.66	  13.7	  12.5	 136	   0.61	  13.8	1	Simbad	329.28007	-34.58219
      81	ESO404-012	SAB(rs)b                   	rs   	 12.7	159	   0.17	      	  14.0	 181	   0.20	      	1	Simbad	329.28007	-34.58219
      82	ESO404-027	SAB(s)_ab:                 	bar  	 18.5	135	       	      	      	    	       	      	1	Simbad	330.94928	-32.28502
      83	ESO407-007	SA(rl)0/a:,sp/E(d)6-7      	rl   	 15.7	168	   0.82	      	  15.9	 185	   0.10	      	1	Simbad	347.41427	-36.42009
      84	ESO407-014	SA(_rs)a_b                 	_rs  	 12.4	 40	   0.62	      	  12.4	  40	   0.32	      	1	Simbad	349.41476	-34.79081
      85	ESO408-012	SAB(s)d_m                  	bar  	 13.2	112	       	      	      	    	       	      	3	Simbad	354.39237	-36.99600
      86	ESO411-013	SB(s)m:,sp                 	bar  	 13.3	 47	       	      	      	    	       	      	3	Simbad	011.77625	-31.58167
      87	ESO418-008	(R')SB(s)dm:               	bar  	  8.3	  9	       	      	      	    	       	      	2	Simbad	052.87774	-30.21337
      88	ESO418-008	(R')SB(s)dm:               	R'   	 24.3	149	   0.35	      	  26.2	 181	   0.18	      	1	Simbad	052.87774	-30.21337
      89	ESO418-009	SB(s)c_d                   	bar  	 11.8	 95	   0.77	  10.1	  12.3	  89	   0.74	  10.7	1	Simbad	052.98250	-31.33833
      90	ESO420-009	SAB(rs)_cd                 	bar  	  4.3	 48	   0.51	   3.6	   4.4	  57	   0.38	   3.6	2	Simbad	062.75249	-31.40782
      91	ESO420-009	SAB(rs)_cd                 	rs   	 11.6	104	   0.08	      	  14.9	 117	   0.28	      	1	Simbad	062.75249	-31.40782
      92	ESO422-005	SA_B(s)dm:                 	bar  	 14.8	 61	       	      	      	    	       	      	3	Simbad	073.02458	-28.59250
      93	ESO422-041	(R')SA(ls)d:               	ls   	 49.9	 85	   0.36	      	  50.5	  93	   0.24	      	1	Simbad	077.69582	-31.59701
      94	ESO422-041	(R')SA(ls)d:               	R'   	 75.8	 75	   0.23	      	  75.8	  74	   0.06	      	3	Simbad	077.69582	-31.59701
      95	ESO423-002	SB(s)d_m                   	bar  	 24.8	 13	       	      	      	    	       	      	3	Simbad	078.81813	-30.52645
      96	ESO438-017	SAB(s)d                    	bar  	 17.5	177	       	      	      	    	       	      	2	Simbad	169.32384	-27.82266
      97	ESO440-004	SAB(r'l)_dm                	bar  	 17.0	112	       	      	      	    	       	      	2	Simbad	176.42500	-28.36694
      98	ESO440-004	SAB(r'l)_dm                	r'l  	 34.0	 76	   0.19	      	  66.0	 -12	   0.49	      	3	Simbad	176.42500	-28.36694
      99	ESO440-011	SB(rs)cd                   	bar  	 15.0	  3	   0.71	   8.6	  15.5	 179	   0.70	   8.9	2	Simbad	177.18917	-28.29306
     100	ESO440-011	SB(rs)cd                   	rs   	 17.2	 31	   0.20	      	  17.2	  30	   0.12	      	2	Simbad	177.18917	-28.29306
     101	ESO440-044	IBm                        	bar  	 26.6	179	       	      	      	    	       	      	2	Simbad	180.69292	-29.09250
     102	ESO440-046	SA_B(s)dm                  	bar  	 10.7	160	   0.70	  10.4	  11.3	 153	   0.68	  11.4	1	Simbad	181.17157	-28.11629
     103	ESO440-049	SA(l)c:                    	l    	 16.5	151	   0.07	      	  20.9	 152	   0.26	      	1	Simbad	181.39178	-31.42348
     104	ESO441-011	SBm:,sp                    	bar  	 12.1	137	       	      	      	    	       	      	3	Simbad	182.35486	-28.80150
     105	ESO441-017	SB(s)dm                    	bar  	  6.0	 36	       	      	      	    	       	      	2	Simbad	182.78242	-31.12704
     106	ESO442-013	SA_B(s)c_d                 	bar  	  7.3	 33	       	      	      	    	       	      	3	Simbad	189.30542	-28.49333
     107	ESO443-069	(R')SB(rs)dm               	bar  	 11.8	178	   0.66	  14.8	  12.6	   1	   0.67	  15.8	1	Simbad	196.72083	-28.55639
     108	ESO443-069	(R')SB(rs)dm               	rs   	 20.4	 36	   0.22	      	  22.6	  36	   0.30	      	1	Simbad	196.72083	-28.55639
     109	ESO443-069	(R')SB(rs)dm               	R'   	 52.0	  9	   0.26	      	  57.0	 195	   0.32	      	3	Simbad	196.72083	-28.55639
     110	ESO443-079	SABm:,sp                   	bar  	 12.2	  0	       	      	      	    	       	      	3	Simbad	197.59500	-27.97639
     111	ESO443-085	SB(s)d                     	bar  	 17.5	 47	   0.78	  17.5	  18.1	  37	   0.61	  18.2	2	Simbad	198.80910	-32.25391
     112	ESO444-033	SAB(s)m:,sp                	bar  	  5.2	108	       	      	      	    	       	      	3	Simbad	201.51848	-32.12929
     113	ESO444-037	S/IB(s)m:,sp               	bar  	  5.5	120	   0.52	   5.9	   5.6	  81	   0.05	   6.0	3	Simbad	201.74875	-30.07417
     114	ESO445-089	SB(s)d                     	bar  	  9.4	135	   0.61	   8.2	   9.6	 139	   0.56	   8.5	1	Simbad	210.26680	-30.32726
     115	ESO462-031	SAB0o+:,pec                	bar  	 15.9	172	       	      	      	    	       	      	3	Simbad	307.96753	-30.79872
     116	ESO469-008	SABm,sp                    	bar  	 16.8	 59	       	      	      	    	       	      	3	Simbad	345.95917	-28.74333
     117	ESO479-004	SB(rs)d                    	bar  	 23.9	 31	   0.69	  24.8	  29.0	  11	   0.49	  26.3	2	Simbad	036.59083	-24.29222
     118	ESO479-004	SB(rs)d                    	rs   	 24.8	 53	   0.43	      	  26.5	 -11	   0.08	      	2	Simbad	036.59083	-24.29222
     119	ESO479-025	SBm:,sp,pec                	bar  	 14.6	 45	       	      	      	    	       	      	3	Simbad	040.52875	-24.13222
     120	ESO480-020	SBb_c:                     	bar  	  7.3	  3	       	      	      	    	       	      	3	Simbad	045.61808	-22.80158
     121	ESO481-014	Sdm,sp                     	bar  	 21.3	151	       	      	      	    	       	      	3	Simbad	048.41958	-25.19028
     122	ESO481-018	SA_B(rs_)c_d               	bar  	  9.7	 55	       	      	      	    	       	      	3	Simbad	049.63663	-25.83559
     123	ESO481-018	SA_B(rs_)c_d               	rs_  	 21.9	 47	   0.76	      	  22.8	  65	   0.36	      	3	Simbad	049.63663	-25.83559
     124	ESO482-005	SAB(s)d,sp                 	bar  	 15.9	 80	       	      	      	    	       	      	3	Simbad	053.25875	-24.13306
     125	ESO482-013	SB(s)m,sp                  	bar  	  9.7	 59	   0.85	   5.2	   9.9	  68	   0.67	   5.3	2	Simbad	054.22372	-24.91307
     126	ESO482-035	SB(rs)b_c,pec              	bar  	 18.5	 29	   0.73	  20.6	  21.5	  43	   0.68	  23.9	1	Simbad	055.31104	-23.83891
     127	ESO482-035	SB(rs)b_c,pec              	rs   	 20.1	 10	   0.33	      	  22.4	  60	   0.15	      	1	Simbad	055.31104	-23.83891
     128	ESO482-046	SAB(s)_dm,sp               	bar  	 13.7	 67	       	      	      	    	       	      	3	Simbad	057.42606	-26.99336
     129	ESO485-021	SAB(s)_cd                  	bar  	 23.8	113	   0.60	  23.4	  23.8	 113	   0.60	  23.5	2	Simbad	073.22083	-25.24667
     130	ESO501-080	SAB(s)d_m,sp               	bar  	 21.3	107	       	      	      	    	       	      	3	Simbad	160.65750	-23.93556
     131	ESO502-016	SAB(s)d_m,sp               	bar  	 11.1	 62	       	      	      	    	       	      	3	Simbad	166.30727	-26.62411
     132	ESO504-010	Sm                         	bar  	  8.3	 42	       	      	      	    	       	      	3	Simbad	175.76458	-23.43250
     133	ESO505-013	SAB(s)d                    	bar  	 14.6	144	   0.43	  12.5	  22.1	 136	   0.62	  19.0	2	Simbad	181.53667	-22.85056
     134	ESO505-023	SB(s)d_m:                  	bar  	 14.8	 26	       	      	      	    	       	      	3	Simbad	182.40000	-23.41361
     135	ESO506-029	SBdm                       	bar  	  8.0	142	       	      	      	    	       	      	2	Simbad	189.81792	-26.91111
     136	ESO507-065	(R')S/Im:                  	R'   	 22.5	 20	   0.72	      	  23.0	  32	   0.37	      	3	Simbad	195.27125	-26.09222
     137	ESO508-007	SA_B(rs_)_dm               	bar  	  7.0	 98	   0.54	   6.7	   8.7	 129	   0.47	   8.5	2	Simbad	196.78083	-24.11222
     138	ESO508-007	SA_B(rs_)_dm               	rs_  	 16.4	 55	   0.19	      	  26.2	  -3	   0.40	      	3	Simbad	196.78083	-24.11222
     139	ESO508-019	SB(s)m:,pec                	bar  	 34.3	 55	       	      	      	    	       	      	3	Simbad	197.46162	-24.24188
     140	ESO508-024	SAB(rs)c                   	bar  	 10.1	 56	   0.47	   6.5	  10.5	  49	   0.42	   6.8	2	Simbad	197.69140	-23.86573
     141	ESO508-024	SAB(rs)c                   	rs   	 17.9	 59	   0.30	      	  18.6	  46	   0.23	      	1	Simbad	197.69140	-23.86573
     142	ESO508-034	SABdm:                     	bar  	  9.7	174	       	      	      	    	       	      	2	Simbad	199.23917	-25.33750
     143	ESO508-051	(R'L)SAd:                  	R'L  	 43.7	 55	   0.48	      	  47.4	 136	   0.08	      	3	Simbad	200.12417	-26.08528
     144	ESO509-074	S(rs:,nd)_bc               	rs   	 21.2	136	   0.71	      	  24.1	  71	   0.15	      	3	Simbad	203.92236	-24.07384
     145	ESO510-058	(R')SAB(rs_)m              	bar  	 11.1	154	   0.34	  10.4	  12.9	 120	   0.20	  11.5	2	Simbad	211.15572	-24.83314
     146	ESO510-058	(R')SAB(rs_)m              	R'   	 27.1	 11	   0.48	      	  28.9	 210	   0.32	      	2	Simbad	211.15572	-24.83314
     147	ESO510-059	SB(rs_)c                   	bar  	 15.7	117	       	      	      	    	       	      	1	Simbad	211.19310	-24.82704
     148	ESO510-059	SB(rs_)c                   	rs_  	 17.2	127	   0.29	      	  24.7	 154	   0.45	      	3	Simbad	211.19310	-24.82704
     149	ESO532-022	SA_B(rs_)d                 	bar  	 13.5	 19	   0.79	  12.8	  19.0	  27	   0.84	  17.8	2	Simbad	332.29583	-27.16750
     150	ESO532-022	SA_B(rs_)d                 	rs_  	 16.6	151	   0.18	      	  20.8	 214	   0.22	      	3	Simbad	332.29583	-27.16750
     151	ESO539-007	SA_B(s)m                   	bar  	 14.8	143	       	      	      	    	       	      	3	Simbad	004.70133	-19.00772
