#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea1&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_587_A160_tablea1:
#Name: J/A+A/587/A160/tablea1
#Title: Fundamental properties of S4G galaxies: distance, mass distribution, velocities and stellar disk
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	rfp	(A3)	Display the Radial force profiles of this galaxy	[ucd=meta.ref.url]
#Column	rcdm	(A4)	Display the Rotation curve decomposition model of this galaxy	[ucd=meta.ref.url]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;src.class.starGalaxy;meta.main]
#Column	M*	(I12)	? Total stellar mass	[ucd=phys.mass]
#Column	Dist	(F7.3)	Distance to the galaxy	[ucd=pos.distance]
#Column	hz	(F6.3)	Disk scale-height	[ucd=phys.angSize;src]
#Column	e_hz1	(F7.3)	[] Uncertainty on the disk scale-height associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_hz2	(F7.3)	[] Uncertainty on the disk scale-height associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	Ropt	(F8.3)	? Estimated optical radius	[ucd=phys.angSize;em.opt]
#Column	VHI	(F8.3)	? Inclination-corrected HI maximum velocity	[ucd=spect.dopplerVeloc]
#Column	V36max	(F8.3)	? Maximum of the stellar contribution to the rotation curve	[ucd=phys.veloc.rotat]
#Column	e_V36max1	(F7.3)	[] Uncertainty on the maximum of the stellar contribution to the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36max2	(F6.3)	[] Uncertainty on the maximum of the stellar contribution to the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	V36maxRad	(F8.3)	? Radius of maximum velocity of the stellar component of the rotation curve	[ucd=phys.angSize]
#Column	e_V36maxRad1	(F8.3)	[]? Uncertainty on the radius of maximum velocity of the stellar component of the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36maxRad2	(F8.3)	[]? Uncertainty on the radius of maximum velocity of the stellar component of the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	V36Ropt	(F8.3)	? The stellar contribution to the rotation curve evaluated at the optical radius	[ucd=phys.veloc.rotat]
#Column	e_V36Ropt1	(F8.3)	[]? Uncertainty on the stellar contribution to the rotation curve evaluated at the optical radius associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36Ropt2	(F8.3)	[]? Uncertainty on the stellar contribution to the rotation curve evaluated at the optical radius associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	dRV36	(F8.3)	? Inner slope of the stellar component of the rotation curve	[ucd=arith.grad;phys.veloc]
#Column	e_dRV361	(F8.3)	[]? Uncertainty on the inner slope of the stellar component of the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_dRV362	(F8.3)	[]? Uncertainty on the inner slope of the stellar component of the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	ahalo	(F8.3)	? Halo core radius	[ucd=phys.size.radius]
#Column	Vinfhalo	(F8.3)	? Halo velocity amplitude, corrected to match the HI maximum velocity	[ucd=phys.veloc.dispersion]
#Column	Mh/M*	(F8.3)	? Stellar-to-halo mass ratio within the optical radius	[ucd=phys.mass;arith.ratio]
#Column	bar	(A1)	indicates bar informations in tables A2 and/or A3	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	rfp	rcdm	Galaxy	M*	Dist	hz	e_hz1	e_hz2	Ropt	VHI	V36max	e_V36max1	e_V36max2	V36maxRad	e_V36maxRad1	e_V36maxRad2	V36Ropt	e_V36Ropt1	e_V36Ropt2	dRV36	e_dRV361	e_dRV362	ahalo	Vinfhalo	Mh/M*	bar	Simbad	_RA	_DE
     321	rfp	rcdm	NGC1309   	 26485000192	 28.025	 2.573	  1.715	 -0.735	  43.913	 199.504	 166.659	 -6.013	 2.962	  35.250	   0.000	  -1.500	 155.154	  -3.645	   1.592	 235.922	 -36.410	  23.720	   8.521	 216.672	   0.877	*	Simbad	050.52732	-15.40007
     322	rfp	rcdm	NGC1310   	  6854889984	 21.960	 1.681	  1.345	 -0.420	  49.282	 117.629	  89.245	 -2.543	 0.863	  32.250	   1.500	   0.000	  85.628	  -1.434	   0.446	 148.177	 -24.480	  11.690	   5.814	 120.746	   1.190	*	Simbad	050.26430	-37.10169
     323	rfp	rcdm	NGC1313   	  2766939904	  3.951	 9.027	  7.221	 -2.257	 255.499	 177.084	  64.856	 -1.989	 0.957	 110.250	  87.000	  -1.500	  60.967	  -0.799	   0.217	  90.945	  -8.310	   2.910	   4.920	 235.556	   9.978	*	Simbad	049.56686	-66.49826
     324	rfp	rcdm	NGC1316C  	  1538160000	 16.900	 2.689	  8.067	 -0.538	  33.541	  21.893	  57.535	-10.490	 1.116	  18.750	   6.000	   0.000	  51.071	  -5.744	   0.406	  99.716	 -39.960	   7.320	        	        	        	*	Simbad	051.24360	-37.00941
     325	rfp	rcdm	NGC1325A  	  2910720000	 17.700	 3.583	  2.388	 -1.024	  60.574	  58.972	  56.130	 -1.971	 0.945	  44.250	   4.500	   0.000	  52.886	  -1.227	   0.528	  94.042	 -16.730	  11.710	   4.729	  34.842	   0.327	 	Simbad	051.20208	-21.33611
     326	rfp	rcdm	NGC1326   	 35563098112	 16.983	 9.591	 28.773	 -1.918	 119.984	 195.944	 190.810	-55.861	10.054	  15.750	  27.000	  -1.500	 133.261	 -13.525	   0.853	 577.907	-268.530	  55.500	  14.001	 249.630	   1.559	*	Simbad	050.98499	-36.46466
     327	rfp	rcdm	NGC1326A  	   783430016	 16.894	 2.157	  1.726	 -0.539	  65.030	  56.262	  32.681	 -1.000	 0.339	  39.750	   0.000	   0.000	  30.577	  -0.431	   0.132	  33.451	  -5.660	   2.900	   4.034	  59.109	   3.201	*	Simbad	051.28542	-36.36361
     328	rfp	rcdm	NGC1332   	 77090398208	 19.625	10.750	 10.750	 -5.375	 234.651	 140.812	 230.948	-31.896	28.116	  24.750	   9.000	  -4.500	 124.172	  -1.670	   0.674	 417.929	-101.860	 111.880	        	        	   0.384	 	Simbad	051.57217	-21.33537
     329	rfp	rcdm	NGC1338   	 12852899840	 34.722	 1.089	  0.871	 -0.272	  35.038	 146.957	 126.500	 -3.283	 1.109	  23.250	   0.000	   0.000	 120.745	  -1.865	   0.587	 296.934	 -52.370	  25.970	   6.911	 127.888	   0.646	*	Simbad	052.22731	-12.15335
     330	rfp	rcdm	NGC1341   	  4623810048	 16.900	 1.173	  0.938	 -0.293	  35.451	 114.627	 108.418	 -3.092	 1.102	  24.750	   1.500	   0.000	  95.843	  -1.315	   0.396	 309.329	 -49.300	  23.600	   2.921	  88.879	   0.578	*	Simbad	051.99346	-37.14996
     331	rfp	rcdm	NGC1345   	  1892349952	 18.100	 1.253	  1.002	 -0.313	  35.478	 110.828	  61.879	 -3.144	 1.262	  11.250	   1.500	   0.000	  52.536	  -0.624	   0.179	 278.575	 -50.000	  25.050	   2.664	 128.696	   4.630	*	Simbad	052.38206	-17.77834
     332	rfp	rcdm	NGC1347   	  2798980096	 24.431	 1.302	  1.042	 -0.326	  42.416	  82.242	  63.128	 -1.512	 0.510	  35.250	   1.500	   0.000	  60.394	  -1.007	   0.314	  63.664	 -10.540	   5.340	   4.883	  77.315	   1.146	*	Simbad	052.42412	-22.27892
     333	rfp	rcdm	NGC1350   	 66834399232	 20.938	12.810	 38.431	 -2.562	 163.406	 229.956	 162.546	-31.421	 3.164	  83.250	   6.000	   0.000	 139.781	 -15.573	   1.162	 231.432	-101.810	  19.150	  28.161	 360.304	   2.290	*	Simbad	052.78383	-33.62864
     334	rfp	rcdm	NGC1357   	 40738000896	 24.700	 9.371	 28.114	 -1.874	 151.111	 305.333	 138.293	-27.772	 3.331	  44.250	  34.500	  -1.500	 110.372	  -9.478	   0.601	 176.253	 -75.770	  13.690	  27.622	 520.179	   8.927	 	Simbad	053.32122	-13.66416
     335	rfp	rcdm	NGC1359   	  8260380160	 33.771	 2.590	  2.590	 -1.295	  63.750	 160.170	  82.369	 -3.774	 2.229	  44.250	   1.500	   0.000	  79.142	  -2.652	   1.500	 100.593	 -21.270	  21.150	  11.883	 212.543	   4.154	*	Simbad	053.44874	-19.49195
     336	rfp	rcdm	NGC1365   	 95060402176	 17.926	18.887	 12.591	 -5.396	 304.174	 229.882	 259.645	-35.179	24.412	  21.750	   7.500	  -3.000	 167.388	  -3.100	   1.298	 571.095	-115.510	  86.440	        	        	   1.189	*	Simbad	053.40191	-36.14066
     337	rfp	rcdm	NGC1366   	  9976989696	 18.120	 4.660	  4.660	 -2.330	  90.000	        	 130.512	-15.289	15.218	  14.250	   4.500	  -6.000	  79.423	  -1.435	   0.596	 531.240	-132.080	 147.990	        	        	        	 	Simbad	053.47357	-31.19411
     338	rfp	rcdm	NGC1367   	 54827700224	 23.250	 8.518	 25.555	 -1.704	 110.981	 263.633	 156.208	-25.960	 2.592	  59.250	  19.500	  -3.000	 140.748	 -14.970	   1.007	 185.952	 -75.170	  12.380	  18.470	 398.908	   3.366	*	Simbad	053.75563	-24.93311
     339	rfp	rcdm	NGC1385   	 13031700480	 14.950	 3.042	  2.433	 -0.760	  91.825	 115.593	 130.440	 -5.179	 1.798	  38.250	   1.500	   0.000	 109.355	  -1.230	   0.355	 194.755	 -27.800	  12.350	        	        	   0.157	 	Simbad	054.36801	-24.50128
     340	rfp	rcdm	NGC1389   	 14791100416	 17.685	 4.948	 14.844	 -0.990	  63.664	        	 144.426	-33.822	 4.222	  18.750	   9.000	  -1.500	 108.665	 -10.560	   0.660	 417.565	-178.510	  32.350	        	        	        	*	Simbad	054.29889	-35.74614
     341	rfp	rcdm	NGC1390   	   639734016	 16.764	 1.428	  4.283	 -0.286	  19.991	  89.603	  50.193	 -3.817	 2.570	  17.250	   0.000	  -1.500	  48.518	  -2.832	   1.558	  86.068	 -16.370	  16.820	   1.224	 230.564	   3.235	 	Simbad	054.46733	-19.00835
     342	rfp	rcdm	NGC1398   	135831003136	 21.033	13.663	 40.990	 -2.733	 174.852	 330.923	 226.890	-52.221	 8.176	  59.250	  12.000	 -33.000	 187.545	 -20.517	   1.489	 312.375	-138.680	  26.620	  34.246	 589.944	   2.836	*	Simbad	054.71721	-26.33784
     343	rfp	rcdm	NGC1411   	 15995599872	 15.500	 3.981	 11.943	 -0.796	  55.376	        	 170.040	-43.342	 6.435	  11.250	  25.500	   0.000	 134.171	 -13.628	   0.943	 969.306	-444.980	  89.560	        	        	        	 	Simbad	054.68689	-44.10062
     344	rfp	rcdm	NGC1425   	 28054300672	 21.261	 7.768	  5.179	 -2.220	 126.279	 197.930	 115.728	 -4.915	 2.305	  65.250	   1.500	  -1.500	 104.873	  -2.238	   0.960	 120.220	 -16.800	  10.070	  19.764	 304.088	   3.438	 	Simbad	055.54806	-29.89351
     345	rfp	rcdm	NGC1427A  	  1458809984	 16.400	 4.529	  4.529	 -2.265	  81.001	  69.179	  37.136	 -1.829	 1.051	  59.250	   1.500	  -4.500	  35.312	  -1.143	   0.576	  23.430	  -5.010	   5.490	   5.479	  76.661	   3.808	 	Simbad	055.03925	-35.62956
     346	rfp	rcdm	NGC1433   	 19815299072	  9.960	15.595	 46.785	 -3.119	 204.540	 163.565	 118.479	-21.198	 2.067	 107.250	  15.000	  -1.500	 106.649	 -12.322	   0.950	 373.302	-167.610	  32.380	  12.679	 201.286	   1.814	*	Simbad	055.50647	-47.22208
     347	rfp	rcdm	NGC1436   	 12823300096	 18.360	 6.229	  4.153	 -1.780	 117.840	 142.567	  98.929	 -4.845	 2.488	  57.750	   3.000	  -1.500	  82.026	  -1.428	   0.584	 110.520	 -19.040	  12.950	  12.678	 182.765	   2.712	*	Simbad	055.90452	-35.85299
     348	rfp	rcdm	NGC1438   	 16069399552	 28.860	 4.234	 12.702	 -0.847	  59.976	 168.599	 110.006	-17.036	 1.580	  45.750	   3.000	   0.000	 101.605	 -11.786	   0.888	 159.517	 -71.090	  13.640	  10.860	 221.409	   2.353	*	Simbad	056.32173	-23.00250
     349	rfp	rcdm	NGC1452   	 25234800640	 22.800	 6.926	 20.777	 -1.385	  97.925	 117.621	 134.568	-30.333	 5.268	  18.750	  39.000	  -1.500	 106.212	 -10.364	   0.675	 266.164	-117.620	  22.460	        	        	   0.304	*	Simbad	056.34294	-18.63362
     350	rfp	rcdm	NGC1473   	  2018370048	 18.017	 1.482	  1.186	 -0.371	  45.567	  83.522	  63.534	 -2.082	 0.765	  27.750	   3.000	   0.000	  55.269	  -0.700	   0.206	  78.731	 -12.650	   6.180	   3.716	  85.337	   1.722	 	Simbad	056.85478	-68.22042
     351	rfp	rcdm	NGC1482   	 23768399872	 19.600	 4.225	 12.676	 -0.845	  47.529	 133.023	 275.568	-85.851	12.751	   9.750	   4.500	   0.000	 170.627	 -17.230	   0.979	 722.209	-316.520	  61.430	        	        	        	 	Simbad	058.66220	-20.50245
     352	rfp	rcdm	NGC1483   	  3837070080	 20.720	 1.511	  1.209	 -0.378	  48.750	 108.320	  78.883	 -2.517	 0.890	  32.250	   1.500	   0.000	  66.933	  -0.815	   0.236	  92.539	 -15.190	   7.500	   4.951	 120.906	   2.172	*	Simbad	058.19837	-47.47752
     353	rfp	rcdm	NGC1493   	  4216969984	 11.300	 3.067	  2.454	 -0.767	  95.151	 280.181	  75.664	 -2.071	 0.683	  62.250	   0.000	   0.000	  69.850	  -1.031	   0.317	 162.555	 -25.460	  11.640	   5.165	 381.715	  20.247	*	Simbad	059.36409	-46.21074
     354	rfp	rcdm	NGC1494   	  3767040000	 15.217	 3.228	  2.582	 -0.807	  94.245	  99.908	  60.772	 -1.369	 0.452	  80.250	   0.000	   0.000	  58.989	  -1.018	   0.316	  49.387	  -6.420	   2.910	   7.149	 115.804	   2.507	 	Simbad	059.42792	-48.90750
     355	rfp	rcdm	NGC1510   	   537030976	 11.000	 2.710	  8.130	 -0.542	  33.478	 265.447	  53.143	-12.488	 1.781	   9.750	   7.500	   0.000	  42.561	  -4.523	   0.307	 306.049	-129.730	  24.440	   2.000	 391.686	  50.851	 	Simbad	060.88600	-43.40016
     356	rfp	rcdm	NGC1512   	 21527799808	 12.286	11.413	 34.238	 -2.283	 149.971	 173.232	 121.313	-21.308	 2.073	  90.750	   6.000	   0.000	 102.813	 -10.230	   0.635	 296.510	-128.850	  23.830	  12.052	 234.534	   2.467	*	Simbad	060.97617	-43.34885
     357	rfp	rcdm	NGC1533   	 37153501184	 18.380	 5.988	 17.965	 -1.198	  84.117	        	 191.651	-47.630	 8.625	  12.750	  46.500	   0.000	 150.469	 -14.777	   0.990	 676.593	-312.740	  64.020	        	        	        	*	Simbad	062.46605	-56.11844
     358	rfp	rcdm	NGC1546   	 15205499904	 13.400	 7.762	  5.174	 -2.218	 136.137	 145.683	 143.943	-11.737	 6.375	  29.250	   3.000	  -1.500	  93.158	  -1.272	   0.489	 207.440	 -30.090	  19.050	   9.498	 164.310	   1.940	 	Simbad	063.65226	-56.06081
     359	rfp	rcdm	NGC1553   	137088000000	 15.082	15.468	 46.405	 -3.094	 216.310	 123.173	 258.202	-69.345	 9.130	  44.250	  22.500	  -1.500	 173.617	 -14.977	   0.871	 314.721	-130.650	  22.410	        	        	        	 	Simbad	064.04361	-55.78014
     360	rfp	rcdm	NGC1556   	  1990669952	 18.690	 1.023	  0.818	 -0.256	  32.190	  81.493	  68.682	 -1.947	 0.719	  20.250	   1.500	   0.000	  64.212	  -0.948	   0.290	 145.452	 -22.880	  11.230	   2.687	  67.878	   0.819	*	Simbad	064.43681	-50.16446
     361	rfp	rcdm	NGC1559   	 24547100672	 15.681	 2.568	  2.054	 -0.642	  77.635	 152.671	 182.744	 -6.295	 2.193	  57.750	   0.000	  -1.500	 161.609	  -2.499	   0.747	 176.424	 -21.410	   9.010	        	        	        	*	Simbad	064.39909	-62.78369
     362	rfp	rcdm	NGC1566   	 38370701312	 12.234	11.330	 11.330	 -5.665	 268.676	 184.223	 169.777	-15.738	10.539	  57.750	   4.500	   0.000	 115.189	  -1.902	   0.852	 219.391	 -40.290	  29.510	  23.117	 236.226	   2.090	*	Simbad	065.00175	-54.93781
     363	rfp	rcdm	NGC1602   	  1555970048	 21.778	 2.014	  1.612	 -0.504	  76.896	  54.203	  55.166	 -1.504	 0.516	  53.250	   1.500	   0.000	  46.943	  -0.386	   0.112	  40.156	  -6.350	   3.070	        	        	   0.447	 	Simbad	066.97907	-55.05784
     364	rfp	rcdm	NGC1637   	  9772369920	 10.703	 6.305	  4.203	 -1.801	 105.789	 141.260	 106.405	 -3.782	 1.797	  84.750	   1.500	   0.000	  99.812	  -2.425	   1.040	 318.426	 -48.310	  29.870	   6.249	 151.099	   1.346	*	Simbad	070.36762	-02.85804
     365	rfp	rcdm	NGC1640   	 15170499584	 19.100	 4.887	 14.661	 -0.977	  64.050	 173.604	 121.884	-22.792	 2.245	  33.750	   3.000	   0.000	 107.567	 -11.904	   0.880	 331.150	-143.510	  26.490	   7.175	 214.122	   2.153	*	Simbad	070.56056	-20.43478
     366	rfp	rcdm	NGC1672   	 45814198272	 14.500	11.701	  7.800	 -3.343	 192.227	 287.540	 204.525	-29.580	20.301	  12.750	   3.000	  -1.500	 145.515	  -2.869	   1.181	 583.519	-117.320	  88.210	  20.407	 447.944	   3.897	*	Simbad	071.42730	-59.24741
     367	rfp	rcdm	NGC1679   	  3443500032	 12.729	 2.693	  2.155	 -0.673	  80.556	 111.007	  72.315	 -1.919	 0.645	  60.750	   0.000	   0.000	  66.687	  -1.016	   0.310	 123.229	 -18.710	   8.720	   5.036	 126.382	   2.376	*	Simbad	072.48160	-31.96551
     368	rfp	rcdm	NGC1688   	  4830589952	 15.450	 2.811	  2.249	 -0.703	  86.612	  87.965	  76.109	 -2.121	 0.729	  54.750	   1.500	   0.000	  69.064	  -1.019	   0.311	 191.390	 -31.940	  15.080	   6.850	  79.063	   0.835	 	Simbad	072.09912	-59.80031
     369	rfp	rcdm	NGC1703   	  9660499968	 17.400	 2.200	  1.760	 -0.550	  66.683	  75.441	 103.795	 -2.339	 0.762	  51.750	   0.000	   0.000	  99.355	  -1.515	   0.459	 293.167	 -47.310	  21.770	        	        	        	 	Simbad	073.21727	-59.74222
     370	rfp	rcdm	NGC1792   	 37239201792	 13.200	 3.347	  2.677	 -0.837	 106.545	 174.096	 199.202	 -6.487	 2.231	  66.750	   1.500	   0.000	 175.838	  -2.475	   0.752	 260.178	 -29.620	  11.370	        	        	        	 	Simbad	076.31022	-37.98075
     371	rfp	rcdm	NGC1800   	   549540992	  7.400	 1.667	  1.333	 -0.417	  45.771	  43.838	  48.067	 -1.887	 0.667	  24.750	   0.000	  -1.500	  40.884	  -0.564	   0.169	 174.159	 -24.690	  11.520	        	        	   0.201	 	Simbad	076.60724	-31.95422
     372	rfp	rcdm	NGC1808   	 41209700352	 11.550	13.110	 13.110	 -6.555	 219.750	 199.328	 244.542	-48.400	49.918	  14.250	   4.500	  -3.000	 143.755	  -4.492	   2.640	 802.166	-210.610	 256.880	        	        	   1.238	*	Simbad	076.92643	-37.51305
     373	rfp	rcdm	NGC1879   	  2890680064	 21.050	 2.508	  2.006	 -0.627	  76.505	  91.047	  51.556	 -1.481	 0.498	  47.250	   0.000	  -1.500	  48.369	  -0.743	   0.230	  43.479	  -6.840	   3.300	   7.935	 109.332	   3.412	*	Simbad	079.95125	-32.14222
     374	rfp	rcdm	NGC2104   	  1370880000	 14.125	 1.651	  1.321	 -0.413	  48.713	  79.450	  49.908	 -1.192	 0.388	  38.250	   0.000	   0.000	  47.853	  -0.777	   0.241	  74.966	 -10.820	   5.140	   2.953	  84.544	   2.357	 	Simbad	086.76988	-51.55295
     375	rfp	rcdm	NGC2460   	 54701600768	 31.900	 5.831	 17.493	 -1.166	  40.446	 225.746	 195.769	-46.016	 6.167	  20.250	  12.000	   0.000	 178.918	 -31.591	   2.627	 245.689	-104.260	  18.820	   8.950	 242.048	   0.794	*	Simbad	119.21779	+60.34938
     376	rfp	rcdm	NGC2500   	  2630269952	 10.100	 3.358	  2.686	 -0.839	  90.000	 102.688	  69.616	 -2.226	 0.783	  87.750	   0.000	   0.000	  69.616	  -2.226	   0.783	  97.765	 -15.370	   7.280	   3.931	 108.586	   1.578	*	Simbad	120.47177	+50.73710
     377	rfp	rcdm	NGC2537   	  1766040064	  7.940	 2.532	  2.026	 -0.633	  82.829	  77.754	  79.731	 -4.312	 1.581	  33.750	   0.000	   0.000	  54.522	  -0.459	   0.129	 159.308	 -25.170	  11.890	        	        	   1.387	 	Simbad	123.31101	+45.98979
     378	rfp	rcdm	NGC2541   	  2773319936	 12.354	 4.662	  3.730	 -1.166	 142.576	 110.438	  48.580	 -1.139	 0.376	 108.750	   1.500	   0.000	  46.018	  -0.731	   0.227	  48.722	  -6.540	   2.900	   7.786	 135.491	   6.386	 	Simbad	123.66697	+49.06144
     379	rfp	rcdm	NGC2543   	 26485000192	 33.640	 4.397	  2.932	 -1.256	  70.861	 173.515	 126.914	 -5.396	 6.368	  44.250	   0.000	 -36.000	 111.437	  -2.402	   1.021	 272.943	 -52.170	  38.260	  15.012	 216.883	   1.911	*	Simbad	123.24148	+36.25451
     380	rfp	rcdm	NGC2550   	 12387999744	 36.700	 1.660	  1.107	 -0.474	  27.595	 123.300	 115.441	 -3.423	 1.577	  26.250	   1.500	   0.000	 114.735	  -3.125	   1.427	 136.811	 -20.950	  13.880	   6.044	  70.147	   0.208	 	Simbad	126.14017	+74.01231
     381	rfp	rcdm	NGC2551   	 27352700928	 34.100	 3.508	 10.523	 -0.702	  42.277	 116.252	 169.604	-44.148	 6.663	   9.750	  10.500	   0.000	 130.594	 -14.207	   0.985	 460.444	-211.120	  42.710	        	        	        	 	Simbad	126.20956	+73.41200
     382	rfp	rcdm	NGC2552   	  1468930048	 11.867	 3.863	  3.091	 -0.966	 113.258	  89.997	  41.764	 -1.498	 0.529	  69.750	   1.500	   0.000	  37.749	  -0.596	   0.182	  44.621	  -7.630	   3.720	   4.764	 101.146	   6.285	 	Simbad	124.83158	+50.00578
     383	rfp	rcdm	NGC2604   	  8590140416	 30.634	 4.090	  4.090	 -2.045	  62.286	 124.805	  80.774	 -4.402	 2.548	  45.750	   1.500	  -1.500	  75.675	  -2.778	   1.398	 107.638	 -26.060	  28.500	   9.616	 142.977	   2.308	*	Simbad	128.34607	+29.53862
     384	rfp	rcdm	NGC2608   	 16788100096	 26.512	 3.793	  2.529	 -1.084	  61.121	 149.461	 120.958	 -4.787	 2.282	  44.250	   0.000	   0.000	 108.794	  -2.381	   0.991	 292.210	 -49.820	  33.320	  10.159	 167.671	   1.191	*	Simbad	128.82237	+28.47352
     385	rfp	rcdm	NGC2633   	 30761000960	 29.386	 4.155	  2.770	 -1.187	  69.615	 167.380	 232.054	-32.452	20.188	   6.750	   0.000	   0.000	 136.859	  -2.281	   0.905	 644.573	-117.460	  84.450	        	        	   0.665	*	Simbad	132.01936	+74.09879
     386	rfp	rcdm	NGC2655   	132434001920	 24.400	 8.035	 24.104	 -1.607	 103.121	 285.637	 264.625	-64.740	 9.750	  21.750	  22.500	  -1.500	 208.082	 -22.332	   1.579	 505.227	-223.280	  42.190	  20.703	 385.343	   1.187	*	Simbad	133.90721	+78.22308
     387	rfp	rcdm	NGC2681   	 28575899648	 15.250	 7.165	 21.496	 -1.433	  96.988	 126.011	 203.022	-61.104	11.215	  11.250	  15.000	  -1.500	 142.221	 -14.267	   0.992	1236.840	-590.050	 126.760	        	        	        	*	Simbad	133.38641	+51.31371
     388	rfp	rcdm	NGC2684   	 17298200576	 39.722	 1.807	  1.205	 -0.516	  28.105	 114.975	 124.914	 -7.997	 4.753	  26.250	   0.000	   0.000	 123.027	  -7.135	   4.110	 171.206	 -38.780	  43.480	        	        	        	 	Simbad	133.72522	+49.16042
     389	rfp	rcdm	NGC2685   	 11967399936	 13.475	 6.550	 19.650	 -1.310	  83.966	 175.981	 126.283	-30.910	 4.475	  18.750	  18.000	  -1.500	  94.145	  -9.167	   0.557	 495.900	-220.130	  42.010	   5.680	 214.753	   3.347	 	Simbad	133.89479	+58.73441
     390	rfp	rcdm	NGC2701   	 27861200896	 40.831	 3.057	  2.038	 -0.873	  54.322	 171.089	 131.831	 -4.056	 1.910	  44.250	   1.500	   0.000	 127.962	  -3.281	   1.486	 181.968	 -32.620	  22.620	  15.621	 198.556	   1.057	*	Simbad	134.77383	+53.77176
     391	rfp	rcdm	NGC2710   	 21281400832	 50.400	 3.099	  2.066	 -0.885	  51.908	 148.292	  96.067	 -2.969	 1.370	  44.250	   0.000	   0.000	  93.971	  -2.340	   1.032	  55.579	  -9.140	   6.220	  16.160	 185.824	   2.000	 	Simbad	134.95142	+55.70644
     392	rfp	rcdm	NGC2712   	 26915399680	 31.167	 3.971	  2.647	 -1.134	  63.935	 174.573	 135.735	 -5.098	 4.207	  45.750	   1.500	 -37.500	 123.925	  -2.787	   1.178	 297.461	 -55.910	  40.670	  13.623	 212.407	   1.321	*	Simbad	134.87691	+44.91400
     393	rfp	rcdm	NGC2731   	 15275700224	 41.000	 0.773	  0.618	 -0.193	  22.228	 130.986	 173.186	 -8.336	 3.121	  11.250	   0.000	   0.000	 140.727	  -1.906	   0.585	 227.755	 -31.850	  15.370	        	        	        	 	Simbad	135.53497	+08.30177
     394	rfp	rcdm	NGC2742   	 25882099712	 23.800	 2.716	  2.173	 -0.679	  85.136	 165.282	 132.223	 -3.118	 1.014	  69.750	   1.500	   0.000	 125.440	  -2.125	   0.653	 133.481	 -19.980	   8.890	  13.309	 181.116	   0.988	 	Simbad	136.88970	+60.47929
