#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T20:51:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T20:51:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FMNRAS%2F498%2F6013%2Ftablea1&-out=Name%2CSurvey%2Czl%2Czs%2C_RA%2C_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74986013
#Name: J/MNRAS/498/6013
#Title: Strong-lensing systems for dark energy models (Amante+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/mnras/498/6013	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/498/6013	    IVOID of underlying data collection
#INFO	creator=Amante M.H.	    First author or institution
#INFO	cites=bibcode:2020MNRAS.498.6013A	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/498/6013	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74986013	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_498_6013_tablea1:
#Name: J/MNRAS/498/6013/tablea1
#Title: Compilation of 204 strong-lensing measurements
#Column	Name	(a23)	System name	[ucd=meta.id;meta.main]
#Column	Survey	(a7)	Survey name	[ucd=meta.id]
#Column	zl	(F7.4)	Lens redshift	[ucd=src.redshift;pos.heliocentric]
#Column	zs	(F7.4)	Source redshift	[ucd=src.redshift;pos.heliocentric]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Survey	zl	zs	_RA	_DE
SDSSJ2303+0037         	BELLS  	 0.4580	 0.9360	345.89654	+00.61755
SDSSJ0008-0004         	SLACS  	 0.4400	 1.1920	002.01230	-00.06895
SDSSJ0029-055          	SLACS  	 0.2270	 0.9310	007.28241	-00.93072
SDSSJ0037-0942         	SLACS  	 0.1960	 0.6320	009.47173	-09.70560
SDSSJ0044+0113         	SLACS  	 0.1200	 0.1960	011.01208	+01.22017
SDSSJ0109+1500         	SLACS  	 0.2940	 0.5250	017.39056	+15.00903
SDSSJ0157-0056         	SLACS  	 0.5130	 0.9240	029.49557	-00.94057
SDSSJ0216-0813         	SLACS  	 0.3320	 0.5240	034.21894	-08.22925
SDSSJ0252+0039         	SLACS  	 0.2800	 0.9820	043.18840	+00.66621
SDSSJ0330-0020         	SLACS  	 0.3510	 1.0710	052.55056	-00.34774
SDSSJ0405-0455         	SLACS  	 0.0750	 0.8100	061.39757	-04.93122
SDSSJ0728+3835         	SLACS  	 0.2060	 0.6880	112.02068	+38.59049
SDSSJ0737+3216         	SLACS  	 0.3220	 0.5810	114.36854	+32.27183
SDSSJ0808+4706         	SLACS  	 0.2190	 1.0250	122.24497	+47.11076
SDSSJ0822+2652         	SLACS  	 0.2410	 0.5940	125.67633	+26.87877
SDSSJ0841+3824         	SLACS  	 0.1160	 0.6570	130.37002	+38.40381
SDSSJ0903+4116         	SLACS  	 0.4300	 1.0650	135.81327	+41.26921
SDSSJ0912+0029         	SLACS  	 0.1640	 0.3240	138.02212	+00.48367
SDSSJ0936+0913         	SLACS  	 0.1900	 0.5880	144.00318	+09.22661
SDSSJ0946+1006         	SLACS  	 0.2220	 0.6080	146.73617	+10.11470
SDSSJ0956+5100         	SLACS  	 0.2400	 0.4700	149.12410	+51.00175
SDSSJ0959+0410         	SLACS  	 0.1260	 0.5350	149.93362	+04.17140
SDSSJ1016+3859         	SLACS  	 0.1680	 0.4390	154.09527	+38.98425
SDSSJ1020+1122         	SLACS  	 0.2820	 0.5530	155.11059	+11.37810
SDSSJ1023+4230         	SLACS  	 0.1910	 0.6960	155.88436	+42.50051
SDSSJ1100+5329         	SLACS  	 0.3170	 0.8580	165.10158	+53.48712
SDSSJ1106+5228         	SLACS  	 0.0960	 0.4070	166.69230	+52.47710
SDSSJ1112+0826         	SLACS  	 0.2730	 0.6300	168.21082	+08.43622
SDSSJ1134+6027         	SLACS  	 0.1530	 0.4740	173.52459	+60.45364
SDSSJ1142+1001         	SLACS  	 0.2220	 0.5040	175.73893	+10.01996
SDSSJ1143-0144         	SLACS  	 0.1060	 0.4020	175.87349	-01.74166
SDSSJ1153+4612         	SLACS  	 0.1800	 0.8750	178.29495	+46.20146
SDSSJ1204+0358         	SLACS  	 0.1640	 0.6310	181.18362	+03.96844
SDSSJ1205+4910         	SLACS  	 0.2150	 0.4810	181.41838	+49.17480
SDSSJ1213+6708         	SLACS  	 0.1230	 0.6400	183.41913	+67.14132
SDSSJ1218+0830         	SLACS  	 0.1350	 0.7170	184.61122	+08.51399
SDSSJ1250+0523         	SLACS  	 0.2320	 0.7950	192.61776	+05.39697
SDSSJ1330-0148         	SLACS  	 0.0810	 0.7120	202.68970	-01.81155
SDSSJ1402+6321         	SLACS  	 0.2050	 0.4810	210.61758	+63.35925
SDSSJ1403+0006         	SLACS  	 0.1890	 0.4730	210.87286	+00.11150
SDSSJ1416+5136         	SLACS  	 0.2990	 0.8110	214.09306	+51.60842
SDSSJ1430+4105         	SLACS  	 0.2850	 0.5750	217.51704	+41.09921
SDSSJ1436-0000         	SLACS  	 0.2850	 0.8050	219.11473	-00.00811
SDSSJ1451-0239         	SLACS  	 0.1250	 0.5200	222.86747	-02.66013
SDSSJ1525+3327         	SLACS  	 0.3580	 0.7170	231.27787	+33.46317
SDSSJ1531-0105         	SLACS  	 0.1600	 0.7440	232.95864	-01.09604
SDSSJ1538+5817         	SLACS  	 0.1430	 0.5310	234.55389	+58.28600
SDSSJ1621+3931         	SLACS  	 0.2450	 0.6020	245.38745	+39.52907
SDSSJ1627-0053         	SLACS  	 0.2080	 0.5240	246.94352	-00.89932
SDSSJ1630+4520         	SLACS  	 0.2480	 0.7930	247.61733	+45.34340
SDSSJ1636+4707         	SLACS  	 0.2280	 0.6740	249.01089	+47.12484
SDSSJ2238-0754         	SLACS  	 0.1370	 0.7130	339.66751	-07.91556
SDSSJ2300+0022         	SLACS  	 0.2280	 0.4640	345.22146	+00.37721
SDSSJ2303+1422         	SLACS  	 0.1550	 0.5170	345.84053	+14.37165
SDSSJ2321-0939         	SLACS  	 0.0820	 0.5320	350.33723	-09.65287
SDSSJ2341+0000         	SLACS  	 0.1860	 0.8070	355.29821	+00.00518
Q0047-2808             	LSD    	 0.4850	 3.5950	012.42457	-27.87371
CFRS03-1077            	LSD    	 0.9380	 2.9410	         	
HST14176+5226          	LSD    	 0.8100	 3.3990	214.39958	+52.44611
HST15433               	LSD    	 0.4970	 2.0920	235.83708	+53.86444
SL2SJ021247-055552     	SL2S   	 0.7500	 2.7400	033.19583	-05.93111
SL2SJ021325-074355     	SL2S   	 0.7170	 3.4800	033.35217	-07.73189
SL2SJ021411-040502     	SL2S   	 0.6090	 1.8800	033.54683	-04.08409
SL2SJ021737-051329     	SL2S   	 0.6460	 1.8470	034.40478	-05.22487
SL2SJ021902-082934     	SL2S   	 0.3890	 2.1500	034.75833	-08.49278
SL2SJ022346-053418     	SL2S   	 0.4990	 1.4400	035.94225	-05.57179
SL2SJ022511-045433     	SL2S   	 0.2380	 1.1990	036.29601	-04.90933
SL2SJ022610-042011     	SL2S   	 0.4940	 1.2320	036.54167	-04.33639
SL2SJ023251-040823     	SL2S   	 0.3520	 2.3400	038.21250	-04.13972
SL2SJ084847-035103     	SL2S   	 0.6820	 1.5500	132.19583	-03.85083
SL2SJ084909-041226     	SL2S   	 0.7220	 1.5400	132.28750	-04.20722
SL2SJ084959-025142     	SL2S   	 0.2740	 2.0900	132.49583	-02.86167
SL2SJ085019-034710     	SL2S   	 0.3370	 3.2500	132.57917	-03.78611
SL2SJ085540-014730     	SL2S   	 0.3650	 3.3900	133.91667	-01.79167
SL2SJ085559-040917     	SL2S   	 0.4190	 2.9500	133.99967	-04.15493
SL2SJ090407-005952     	SL2S   	 0.6110	 2.3600	136.03321	-00.99801
SL2SJ095921+020638     	SL2S   	 0.5520	 3.3500	149.83750	+02.11056
SL2SJ135949+553550     	SL2S   	 0.7830	 2.7700	209.95417	+55.59722
SL2SJ140454+520024     	SL2S   	 0.4560	 1.5900	211.22692	+52.00686
SL2SJ140546+524311     	SL2S   	 0.5260	 3.0100	211.44167	+52.71972
SL2SJ140650+522619     	SL2S   	 0.7160	 1.4700	211.70833	+52.43861
SL2SJ141137+565119     	SL2S   	 0.3220	 1.4200	212.90417	+56.85528
SL2SJ142031+525822     	SL2S   	 0.3800	 0.9900	215.13287	+52.97286
SL2SJ142059+563007     	SL2S   	 0.4830	 3.1200	215.24583	+56.50194
SL2SJ220329+020518     	SL2S   	 0.4000	 2.1500	330.87096	+02.08858
SL2SJ220506+014703     	SL2S   	 0.4760	 2.5300	331.27883	+01.78436
SL2SJ221326-000946     	SL2S   	 0.3380	 3.4500	333.35833	-00.16278
SL2SJ221929-001743     	SL2S   	 0.2890	 1.0200	334.87083	-00.29528
SL2SJ222012+010606     	SL2S   	 0.2320	 1.0700	335.05000	+01.10167
SL2SJ222148+011542     	SL2S   	 0.3250	 2.3500	335.45000	+01.26167
SL2SJ222217+001202     	SL2S   	 0.4360	 1.3600	335.57083	+00.20056
SDSSJ002927.38+254401.7	BELLS  	 0.5869	 2.4504	007.36411	+25.73383
SDSSJ020121.39+322829.6	BELLS  	 0.3957	 2.8209	030.33915	+32.47491
SDSSJ023740.63-064112.9	BELLS  	 0.4859	 2.2491	039.41933	-06.68694
SDSSJ074249.68+334148.9	BELLS  	 0.4936	 2.3633	115.70702	+33.69694
SDSSJ075523.52+344539.5	BELLS  	 0.7224	 2.6347	118.84795	+34.76095
SDSSJ085621.59+201040.5	BELLS  	 0.5074	 2.2335	134.08996	+20.17793
SDSSJ091807.86+451856.7	BELLS  	 0.5238	 2.3440	139.53277	+45.31577
SDSSJ091859.21+510452.5	BELLS  	 0.5811	 2.4030	139.74670	+51.08123
SDSSJ111027.11+280838.4	BELLS  	 0.6073	 2.3999	167.61295	+28.14401
SDSSJ111634.55+091503.0	BELLS  	 0.5501	 2.4536	169.14399	+09.25084
SDSSJ114154.71+221628.8	BELLS  	 0.5858	 2.7624	175.47796	+22.27469
SDSSJ120159.02+474323.2	BELLS  	 0.5628	 2.1258	180.49593	+47.72311
SDSSJ122656.45+545739.0	BELLS  	 0.4980	 2.7322	186.73531	+54.96079
SDSSJ222825.76+120503.9	BELLS  	 0.5305	 2.8324	337.10736	+12.08443
SDSSJ234248.68-012032.5	BELLS  	 0.5270	 2.2649	355.70285	-01.34237
SL2SJ020457-110309     	SL2S   	 0.6090	 1.8900	031.23750	-11.05250
SL2SJ020524-093023     	SL2S   	 0.5570	 1.3300	031.35000	-09.50639
SL2SJ021801-080247     	SL2S   	 0.8840	 2.0600	034.50417	-08.04639
SL2SJ023307-043838     	SL2S   	 0.6710	 1.8700	038.27937	-04.64395
SDSSJ0143-1006         	SLACS  	 0.2210	 1.1046	025.98583	-10.10944
SDSSJ0159-0006         	SLACS  	 0.1584	 0.7477	029.87542	-00.10333
SDSSJ0324+0045         	SLACS  	 0.3210	 0.9199	051.06458	+00.75167
SDSSJ0324-0110         	SLACS  	 0.4456	 0.6239	051.22708	-01.17472
SDSSJ0753+3416         	SLACS  	 0.1371	 0.9628	118.44250	+34.27611
SDSSJ0754+1927         	SLACS  	 0.1534	 0.7401	118.61875	+19.45778
SDSSJ0757+1956         	SLACS  	 0.1206	 0.8326	119.45417	+19.93778
SDSSJ0826+5630         	SLACS  	 0.1318	 1.2907	126.66625	+56.51000
SDSSJ0847+2348         	SLACS  	 0.1551	 0.5327	131.86542	+23.80556
SDSSJ0851+0505         	SLACS  	 0.1276	 0.6371	132.92458	+05.08528
SDSSJ0920+3028         	SLACS  	 0.2881	 0.3918	140.20125	+30.47167
SDSSJ0955+3014         	SLACS  	 0.3214	 0.4671	148.98958	+30.24750
SDSSJ0956+5539         	SLACS  	 0.1959	 0.8483	149.22833	+55.66306
SDSSJ1010+3124         	SLACS  	 0.1668	 0.4245	152.61167	+31.40500
SDSSJ1031+3026         	SLACS  	 0.1671	 0.7469	157.83750	+30.44944
SDSSJ1040+3626         	SLACS  	 0.1225	 0.2846	160.24375	+36.44139
SDSSJ1041+0112         	SLACS  	 0.1006	 0.2172	160.34500	+01.20667
SDSSJ1048+1313         	SLACS  	 0.1330	 0.6679	162.03917	+13.23139
SDSSJ1051+4439         	SLACS  	 0.1634	 0.5380	162.78917	+44.65222
SDSSJ1056+4141         	SLACS  	 0.1343	 0.8318	164.24000	+41.68750
SDSSJ1101+1523         	SLACS  	 0.1780	 0.5169	165.30458	+15.39444
SDSSJ1116+0729         	SLACS  	 0.1697	 0.6860	169.17375	+07.49611
SDSSJ1127+2312         	SLACS  	 0.1303	 0.3610	171.91125	+23.21222
SDSSJ1137+1818         	SLACS  	 0.1241	 0.4627	174.36917	+18.30333
SDSSJ1142+2509         	SLACS  	 0.1640	 0.6595	175.65917	+25.15139
SDSSJ1144+0436         	SLACS  	 0.1036	 0.2551	176.16708	+04.61389
SDSSJ1213+2930         	SLACS  	 0.0906	 0.5954	183.26542	+29.50611
SDSSJ1301+0834         	SLACS  	 0.0902	 0.5331	195.36208	+08.57361
SDSSJ1330+1750         	SLACS  	 0.2074	 0.3717	202.63083	+17.84472
SDSSJ1403+3309         	SLACS  	 0.0625	 0.7720	210.79042	+33.15500
SDSSJ1430+6104         	SLACS  	 0.1688	 0.6537	217.64500	+61.06806
SDSSJ1433+2835         	SLACS  	 0.0912	 0.4115	218.46500	+28.58778
SDSSJ1541+3642         	SLACS  	 0.1406	 0.7389	235.34292	+36.70889
SDSSJ1543+2202         	SLACS  	 0.2681	 0.3966	235.91625	+22.03972
SDSSJ1550+2020         	SLACS  	 0.1351	 0.3501	237.54417	+20.33722
SDSSJ1553+3004         	SLACS  	 0.1604	 0.5663	238.31708	+30.07389
SDSSJ1607+2147         	SLACS  	 0.2089	 0.4865	241.91875	+21.78639
SDSSJ1633+1441         	SLACS  	 0.1281	 0.5804	248.43417	+14.69861
SDSSJ2309-0039         	SLACS  	 0.2905	 1.0048	347.44333	-00.65361
SDSSJ2324+0105         	SLACS  	 0.1899	 0.2775	351.11583	+01.09944
Q0142-100              	CASTLES	 0.4910	 2.7190	026.31915	-09.75480
MG0414+0534            	CASTLES	 0.9580	 2.6390	063.65708	+05.57833
B0712+472              	CASTLES	 0.4060	 1.3390	         	
HS0818+1227            	CASTLES	 0.3900	 3.1150	125.41226	+12.29166
B1030+074              	CASTLES	 0.5990	 1.5350	         	
HE1104-1805            	CASTLES	 0.7290	 2.3030	166.63910	-18.35662
B1608+656              	CASTLES	 0.6300	 1.3940	         	
HE2149-2745            	CASTLES	 0.6030	 2.0330	328.03106	-27.53048
MG1549+3047            	CASTLES	 0.1110	 1.1700	         	

