Name	LX_ce	LX_ce_ep	LX_ce_em	kT_X_ce	kT_X_ce_ep	kT_X_ce_em	M_gas	M_gas_ep	M_gas_em	Y_X	Y_X_ep	Y_X_em	Y_SZA	Y_SZA_ep	Y_SZA_em	Y_Pl	Y_Pl_ep	Y_Pl_em	L_K_BCG	L_K_BCG_ep	L_K_BCG_em	L_K_tot	L_K_tot_ep	L_K_tot_em	lambda	lambda_ep	lambda_em
Abell1682	4.99	2.00	2.00	6.46	2.98	1.49	0.84	0.04	0.04	5.18	2.36	2.36				8.71	0.41	0.41	1.04	0.00	0.00	19.56	1.83	2.15	118.56	4.51	4.51
Abell1689	15.81	0.55	0.55	9.71	0.64	0.51	1.31	0.05	0.05	12.81	0.95	0.95	27.55	2.27	2.21	17.72	0.47	0.47	0.74	0.00	0.00	23.07	2.31	2.51	163.62	4.13	4.13
Abell1763	15.20	1.56	1.56	7.67	1.64	1.32	1.61	0.09	0.09	11.08	2.56	2.56				20.23	0.43	0.43	1.17	0.01	0.01	21.86	3.70	3.18	172.16	5.30	5.30
Abell1835	22.22	0.79	0.79	10.16	0.68	0.55	1.43	0.07	0.07	13.84	1.03	1.03	22.26	1.60	1.67	19.51	0.71	0.71	1.29	0.00	0.00	21.42	3.15	2.75	134.55	4.89	4.89
Abell1914	17.08	1.36	1.36	10.06	1.47	1.22	1.11	0.07	0.07	12.54	2.17	2.17	21.10	2.71	2.48	12.06	0.30	0.30	0.96	0.00	0.00	13.37	1.43	1.71	110.67	3.61	3.61
ZwCl1454.8+2233	6.66	0.27	0.27	4.74	0.42	0.34	0.54	0.08	0.08	3.10	0.36	0.36	2.39	0.49	0.52	6.21	0.60	0.60	1.25	0.01	0.01	6.64	1.71	2.15	48.09	3.23	3.23
Abell2009	6.05	0.63	0.63	7.44	1.56	1.16	0.69	0.05	0.05	4.72	1.03	1.03	5.02	0.78	0.80	4.44	0.38	0.38	0.74	0.00	0.00	9.51	1.78	1.91	73.70	3.21	3.21
RXCJ1504.1-0248	16.65	1.86	1.86	9.55	2.23	1.52	1.06	0.08	0.08	11.26	3.49	3.49	12.17	1.26	1.22	11.35	0.65	0.65	0.97	0.00	0.00	10.31	1.40	1.56	61.06	3.79	3.79
Abell2111	5.93	2.76	2.76	7.21	2.28	1.52	0.68	0.08	0.08	5.49	2.12	2.12	5.58	0.76	0.71	8.98	0.52	0.52	0.64	0.00	0.00	15.31	1.53	1.80	138.66	4.96	4.96
Abell2204	15.84	0.66	0.66	13.38	1.15	0.76	1.23	0.08	0.08	11.79	1.02	1.02	17.71	1.77	1.72	17.15	0.39	0.39	0.65	0.00	0.00	19.69	1.50	1.27			
Abell2219	32.91	2.60	2.60	10.13	0.83	0.70	1.68	0.11	0.11	17.90	1.67	1.67	18.42	1.37	1.37	30.27	0.46	0.46	1.04	0.01	0.01	21.72	2.07	1.83	169.10	5.10	5.10
RXJ1720.1+2638	9.63	0.57	0.57	7.14	0.91	0.73	0.71	0.07	0.07	6.60	1.00	1.00				8.60	0.31	0.31	1.01	0.00	0.00	9.77	2.11	1.36	63.89	2.97	2.97
Abell2261	13.04	1.12	1.12	7.50	1.30	1.09	1.23	0.06	0.06	8.12	1.19	1.19	12.36	1.52	1.60	13.56	0.48	0.48	1.78	0.01	0.01	26.60	2.38	3.64	142.94	4.89	4.89
RXCJ2102.1-2431	4.62	0.12	0.12	5.32	0.46	0.37	0.46	0.05	0.05	2.29	0.18	0.18				4.00	0.36	0.36	1.04	0.01	0.01	7.77	0.87	0.87			
RXJ2129.6+0005	10.65	0.65	0.65	5.94	0.75	0.61	0.67	0.10	0.10	5.47	0.95	0.95	5.73	0.69	0.89	5.76	0.48	0.48	1.28	0.01	0.01	7.53	1.60	1.81	71.30	3.97	3.97
Abell2390	25.43	1.16	1.16	10.79	0.95	0.84	1.66	0.09	0.09	16.91	1.57	1.57	16.36	3.15	3.07	24.07	0.52	0.52	0.75	0.00	0.00	17.44	2.02	1.98	121.10	4.89	4.89
Abell2537	6.63	0.72	0.72	9.93	3.73	2.44	0.83	0.08	0.08	6.30	2.30	2.30	8.00	0.88	0.86	9.77	0.63	0.63	1.02	0.01	0.01	19.48	2.65	2.80	146.22	5.08	5.08
Abell2552	13.46	1.77	1.77	9.69	2.75	1.94	1.00	0.10	0.10	9.22	2.89	2.89	9.09	1.19	1.19	11.66	0.63	0.63	0.63	0.00	0.00	19.51	4.15	4.55	148.78	6.27	6.27
Abell2631	14.41	1.02	1.02	6.91	1.18	0.87	0.97	0.12	0.12	6.69	1.21	1.21	5.22	0.70	0.83	11.95	0.57	0.57	0.85	0.01	0.01	13.75	2.31	2.58	114.80	4.79	4.79
