left,right,distinguishable_in_binary_basis,minimal_declared_witness,all_declared_witnesses,warning
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,True,mean_response,mean_response|dispersion|extra_polarization|birefringence|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q07_ENTANGLEMENT_MEDIATED_GRAVITY,True,dispersion,dispersion|extra_polarization|birefringence|gaussian_power,"a differing flag is a test target, not evidence that either model is true"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q08_EMERGENT_SUPERFLUID_MEDIUM,True,extra_polarization,extra_polarization|birefringence|entangling_channel|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,True,extra_polarization,extra_polarization|birefringence|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,False,NONE,,binary signature collision; compare continuous transfer and probability laws
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q11_FINITE_OCCUPATION_COHERENCE,True,mean_response,mean_response|dispersion|extra_polarization|birefringence|third_cumulant|fourth_cumulant|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,extra_polarization,extra_polarization|birefringence|fourth_cumulant|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,dispersion,dispersion|extra_polarization|birefringence|third_cumulant|fourth_cumulant|entangling_channel|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q04_CLASSICAL_STOCHASTIC_METRIC,True,mean_response,mean_response|third_cumulant|fourth_cumulant|state_conditioning|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q05_SEMICLASSICAL_EXPECTATION_SOURCE,True,gaussian_power,gaussian_power|third_cumulant|fourth_cumulant|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,True,mean_response,mean_response|third_cumulant|fourth_cumulant|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q07_ENTANGLEMENT_MEDIATED_GRAVITY,True,gaussian_power,gaussian_power|third_cumulant|fourth_cumulant|entangling_channel,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q08_EMERGENT_SUPERFLUID_MEDIUM,True,dispersion,dispersion|third_cumulant|fourth_cumulant|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,True,dispersion,dispersion|third_cumulant|fourth_cumulant|state_conditioning|entangling_channel,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,True,dispersion,dispersion|extra_polarization|birefringence|third_cumulant|fourth_cumulant|entangling_channel,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q11_FINITE_OCCUPATION_COHERENCE,True,mean_response,mean_response|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,dispersion,dispersion|third_cumulant|entangling_channel|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q03_DISCRETE_GRAVITY_IMPULSES,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,decoherence,decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q04_CLASSICAL_STOCHASTIC_METRIC,Q05_SEMICLASSICAL_EXPECTATION_SOURCE,True,mean_response,mean_response|gaussian_power|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q04_CLASSICAL_STOCHASTIC_METRIC,Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,True,state_conditioning,state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q04_CLASSICAL_STOCHASTIC_METRIC,Q07_ENTANGLEMENT_MEDIATED_GRAVITY,True,mean_response,mean_response|gaussian_power|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q04_CLASSICAL_STOCHASTIC_METRIC,Q08_EMERGENT_SUPERFLUID_MEDIUM,True,mean_response,mean_response|dispersion|state_conditioning|decoherence|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q04_CLASSICAL_STOCHASTIC_METRIC,Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,True,mean_response,mean_response|dispersion|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q04_CLASSICAL_STOCHASTIC_METRIC,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,True,mean_response,mean_response|dispersion|extra_polarization|birefringence|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q04_CLASSICAL_STOCHASTIC_METRIC,Q11_FINITE_OCCUPATION_COHERENCE,True,third_cumulant,third_cumulant|fourth_cumulant|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q04_CLASSICAL_STOCHASTIC_METRIC,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,mean_response,mean_response|dispersion|fourth_cumulant|state_conditioning|entangling_channel|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q04_CLASSICAL_STOCHASTIC_METRIC,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,mean_response,mean_response|third_cumulant|fourth_cumulant|state_conditioning|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,True,mean_response,mean_response|gaussian_power,"a differing flag is a test target, not evidence that either model is true"
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,Q07_ENTANGLEMENT_MEDIATED_GRAVITY,True,entangling_channel,entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,Q08_EMERGENT_SUPERFLUID_MEDIUM,True,dispersion,dispersion|gaussian_power|decoherence|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,True,dispersion,dispersion|gaussian_power|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,True,dispersion,dispersion|extra_polarization|birefringence|gaussian_power|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,Q11_FINITE_OCCUPATION_COHERENCE,True,mean_response,mean_response|gaussian_power|third_cumulant|fourth_cumulant,"a differing flag is a test target, not evidence that either model is true"
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,dispersion,dispersion|gaussian_power|fourth_cumulant|entangling_channel|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,gaussian_power,gaussian_power|third_cumulant|fourth_cumulant|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,Q07_ENTANGLEMENT_MEDIATED_GRAVITY,True,mean_response,mean_response|gaussian_power|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,Q08_EMERGENT_SUPERFLUID_MEDIUM,True,mean_response,mean_response|dispersion|decoherence|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,True,mean_response,mean_response|dispersion|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,True,mean_response,mean_response|dispersion|extra_polarization|birefringence|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,Q11_FINITE_OCCUPATION_COHERENCE,True,third_cumulant,third_cumulant|fourth_cumulant,"a differing flag is a test target, not evidence that either model is true"
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,mean_response,mean_response|dispersion|fourth_cumulant|entangling_channel|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,mean_response,mean_response|third_cumulant|fourth_cumulant|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,Q08_EMERGENT_SUPERFLUID_MEDIUM,True,dispersion,dispersion|gaussian_power|entangling_channel|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,True,dispersion,dispersion|gaussian_power|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,True,dispersion,dispersion|extra_polarization|birefringence|gaussian_power,"a differing flag is a test target, not evidence that either model is true"
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,Q11_FINITE_OCCUPATION_COHERENCE,True,mean_response,mean_response|gaussian_power|third_cumulant|fourth_cumulant|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,dispersion,dispersion|gaussian_power|fourth_cumulant|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,gaussian_power,gaussian_power|third_cumulant|fourth_cumulant|entangling_channel|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q08_EMERGENT_SUPERFLUID_MEDIUM,Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,True,state_conditioning,state_conditioning|entangling_channel|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q08_EMERGENT_SUPERFLUID_MEDIUM,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,True,extra_polarization,extra_polarization|birefringence|entangling_channel|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q08_EMERGENT_SUPERFLUID_MEDIUM,Q11_FINITE_OCCUPATION_COHERENCE,True,mean_response,mean_response|dispersion|third_cumulant|fourth_cumulant|decoherence|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q08_EMERGENT_SUPERFLUID_MEDIUM,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,fourth_cumulant,fourth_cumulant|entangling_channel|decoherence|memory_lag|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q08_EMERGENT_SUPERFLUID_MEDIUM,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,dispersion,dispersion|third_cumulant|fourth_cumulant|decoherence|memory_lag|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,True,extra_polarization,extra_polarization|birefringence|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,Q11_FINITE_OCCUPATION_COHERENCE,True,mean_response,mean_response|dispersion|third_cumulant|fourth_cumulant|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,fourth_cumulant,fourth_cumulant|state_conditioning|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,dispersion,dispersion|third_cumulant|fourth_cumulant|state_conditioning|entangling_channel|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q10_POLARIZATION_BIREFRINGENT_GRAVITY,Q11_FINITE_OCCUPATION_COHERENCE,True,mean_response,mean_response|dispersion|extra_polarization|birefringence|third_cumulant|fourth_cumulant|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q10_POLARIZATION_BIREFRINGENT_GRAVITY,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,extra_polarization,extra_polarization|birefringence|fourth_cumulant|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q10_POLARIZATION_BIREFRINGENT_GRAVITY,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,dispersion,dispersion|extra_polarization|birefringence|third_cumulant|fourth_cumulant|entangling_channel|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q11_FINITE_OCCUPATION_COHERENCE,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,mean_response,mean_response|dispersion|third_cumulant|entangling_channel|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q11_FINITE_OCCUPATION_COHERENCE,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,mean_response,mean_response|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,dispersion,dispersion|third_cumulant|entangling_channel,"a differing flag is a test target, not evidence that either model is true"
