#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:25:01 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:25:01	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/682/964/table4&-out=SDSS,zFG,zBG,Imag,AI,L(V555),Re,b/a,Mph,Mul,Lens,Name&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_16820964
#Name: J/ApJ/682/964
#Title: Sloan lens ACS survey. V. (Bolton+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/apj/682/964	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/682/964	    IVOID of underlying data collection
#INFO	creator=Bolton A.S.	    First author or institution
#INFO	cites=bibcode:2008ApJ...682..964B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/682/964	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.16820964	    Dataset identifier that can be used for citation
#INFO	publication_date=2009-11-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_682_964_table4:
#Name: J/ApJ/682/964/table4
#Title: SLACS HST-ACS target observational data
#Column	SDSS	(a18)	SDSS name (HHMMSS.ss+DDMMSS.s) (1)	[ucd=meta.id;meta.main]
#Column	zFG	(F7.4)	Foreground galaxy redshift (directly from SDSS database)	[ucd=src.redshift]
#Column	zBG	(F7.4)	Background galaxy redshift (measured as described in Bolton et al. 2004AJ....127.1860B)	[ucd=src.redshift]
#Column	Imag	(F5.2)	? HST-ACS I_814_ magnitude (2)	[ucd=phot.mag;em.opt.I]
#Column	AI	(F5.2)	I-band Galactic dust extinction values (4)	[ucd=phys.absorption]
#Column	L(V555)	(F5.1)	? Rest-frame luminosity in V555 band (5)	[ucd=phys.luminosity]
#Column	Re	(F5.2)	? Effective radius (6)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	? Ratio of minor to major axes for the de Vaucouleurs image models	[ucd=phys.angSize;arith.ratio]
#Column	Mph	(A1)	[ELU] Foreground-galaxy morphology code (8)	[ucd=meta.code;src.morph]
#Column	Mul	(A1)	[MS] Foreground-galaxy multiplicity code (9)	[ucd=meta.code.multip]
#Column	Lens	(A1)	[AXB] Lens status code (10)	[ucd=meta.code]
#Column	Name	(a10)	System name (JHHMM-DDMM), as in table5	[ucd=meta.id]
SDSS	zFG	zBG	Imag	AI	L(V555)	Re	b/a	Mph	Mul	Lens	Name
090319.52+313951.2	 0.2711	 0.5494	16.77	 0.04	150.0	 3.03	 0.67	E	S	B	J0903+3139
091053.11+052023.2	 0.2706	 1.0741	     	 0.08	     	     	     	E	M	B	J0910+0520
091205.31+002901.2	 0.1642	 0.3239	15.57	 0.05	156.4	 3.87	 0.67	E	S	A	J0912+0029
091244.31+413637.0	 0.0646	 0.1377	15.85	 0.04	 17.3	 1.24	 0.65	E	S	X	J0912+4136
092559.35+081411.8	 0.1345	 0.2251	17.66	 0.09	 15.6	 1.44	 0.83	E	S	X	J0925+0814
093425.13+603423.5	 0.1011	 0.2440	16.37	 0.06	 27.5	 1.65	 0.56	E	S	X	J0934+6034
093543.93-000334.8	 0.3475	 0.4670	16.75	 0.06	268.5	 4.24	 0.90	E	S	A	J0935-0003
093600.77+091335.8	 0.1897	 0.5880	16.52	 0.07	 90.5	 2.11	 0.81	E	S	A	J0936+0913
094656.68+100652.8	 0.2219	 0.6085	17.09	 0.05	 73.2	 2.35	 0.96	E	S	A	J0946+1006
095320.42+520543.7	 0.1315	 0.4673	17.26	 0.01	 20.1	 1.22	 0.88	E	S	X	J0953+5205
095519.72+010144.4	 0.1109	 0.3159	16.97	 0.05	 18.9	 1.09	 0.39	L	S	A	J0955+0101
095629.78+510006.6	 0.2405	 0.4699	16.68	 0.02	122.7	 2.19	 0.73	E	S	A	J0956+5100
095900.96+441639.4	 0.2369	 0.5315	16.90	 0.02	 97.6	 1.98	 0.87	E	S	A	J0959+4416
095944.07+041017.0	 0.1260	 0.5350	16.92	 0.05	 25.9	 1.39	 0.60	E	S	A	J0959+0410
101622.86+385903.3	 0.1679	 0.4394	16.71	 0.03	 56.7	 1.46	 0.85	E	S	A	J1016+3859
102026.54+112241.1	 0.2822	 0.5530	17.21	 0.06	110.5	 1.59	 0.79	E	S	A	J1020+1122
102332.26+423001.8	 0.1912	 0.6960	16.77	 0.03	 70.1	 1.77	 0.85	E	S	A	J1023+4230
102551.32-003517.5	 0.1589	 0.2764	15.41	 0.12	181.2	 4.94	 0.76	E	S	X	J1025-0035
102922.94+042001.8	 0.1045	 0.6154	16.13	 0.06	 36.7	 1.56	 0.52	E	S	A	J1029+0420
102927.53+611505.3	 0.1574	 0.2512	16.06	 0.02	 88.8	 2.73	 0.83	E	S	B	J1029+6115
103235.84+532234.9	 0.1334	 0.3290	17.05	 0.03	 25.5	 0.81	 0.44	L	S	A	J1032+5322
103904.22+051335.8	 0.0668	 0.3627	15.38	 0.05	 28.7	 2.40	 0.87	E	S	X	J1039+0513
103957.78+093351.0	 0.2212	 0.5612	     	 0.05	     	     	     	E	M	B	J1039+0933
104606.93+415116.1	 0.1025	 0.7584	16.61	 0.02	 22.0	 1.03	 0.36	L	S	X	J1046+4151
110024.39+532913.9	 0.3171	 0.8581	17.18	 0.02	143.6	 2.24	 0.58	E	S	A	J1100+5329
110308.21+532228.2	 0.1582	 0.7353	16.43	 0.02	 63.7	 1.95	 0.46	U	S	A	J1103+5322
110646.15+522837.8	 0.0955	 0.4069	15.52	 0.02	 51.4	 1.68	 0.63	E	S	A	J1106+5228
110817.70+025241.3	 0.1368	 0.3105	17.19	 0.08	 24.7	 1.17	 0.86	E	S	B	J1108+0252
111250.60+082610.4	 0.2730	 0.6295	17.22	 0.06	101.9	 1.50	 0.77	E	S	A	J1112+0826
111739.60+053414.0	 0.2285	 0.8230	17.11	 0.12	 81.4	 2.20	 0.72	E	S	B	J1117+0534
113405.89+602713.5	 0.1528	 0.4742	16.44	 0.02	 59.1	 2.02	 0.83	E	S	A	J1134+6027
113636.14+042625.0	 0.1282	 0.5341	16.97	 0.04	 25.4	 0.88	 0.81	E	S	X	J1136+0426
114052.69+564044.5	 0.0674	 0.2968	15.78	 0.02	 19.6	 1.92	 0.69	L	S	X	J1140+5640
114257.35+100111.8	 0.2218	 0.5039	17.10	 0.10	 75.8	 1.91	 0.89	E	S	A	J1142+1001
114329.64-014430.0	 0.1060	 0.4019	14.96	 0.03	108.5	 4.80	 0.80	E	S	A	J1143-0144
115208.97+005431.0	 0.1062	 0.1590	16.90	 0.04	 18.5	 0.86	 0.58	E	S	X	J1152+0054
115310.79+461205.3	 0.1797	 0.8751	17.20	 0.04	 41.9	 1.16	 0.90	E	S	A	J1153+4612
115510.06+623722.4	 0.3751	 0.6690	17.61	 0.03	141.3	 2.88	 0.77	E	S	X	J1155+6237
115905.46+544738.3	 0.0818	 0.2695	15.74	 0.02	 30.6	 1.90	 0.69	E	S	X	J1159+5447
120324.89+023301.1	 0.1644	 0.4380	16.59	 0.05	 61.2	 2.70	 0.50	L	S	X	J1203+0233
120444.07+035806.4	 0.1644	 0.6307	16.84	 0.04	 48.1	 1.47	 0.97	E	S	A	J1204+0358
120540.44+491029.4	 0.2150	 0.4808	16.56	 0.04	110.4	 2.59	 0.72	E	S	A	J1205+4910
121158.75+455036.6	 0.1110	 0.3170	15.63	 0.02	 63.6	 2.89	 0.75	E	S	X	J1211+4550
121340.58+670829.0	 0.1229	 0.6402	15.60	 0.03	 81.1	 3.23	 0.77	E	S	A	J1213+6708
121826.70+083050.3	 0.1350	 0.7172	15.74	 0.03	 87.2	 3.18	 0.72	E	S	A	J1218+0830
124426.03+011146.8	 0.0725	 0.5600	15.21	 0.03	 39.2	 2.83	 0.70	L	S	X	J1244+0111
125028.26+052349.1	 0.2318	 0.7953	16.70	 0.05	115.4	 1.81	 0.97	E	S	A	J1250+0523
125050.52-013531.7	 0.0871	 0.3526	15.14	 0.04	 61.7	 2.93	 0.72	U	S	A	J1250-0135
125135.71-020805.2	 0.2243	 0.7843	17.25	 0.04	 63.8	 2.61	 0.51	L	S	A	J1251-0208
125919.05+613408.6	 0.2334	 0.4488	16.85	 0.02	 98.9	 1.81	 0.79	E	S	A	J1259+6134
131326.70+050657.2	 0.1438	 0.3385	17.10	 0.06	 29.4	 0.86	 0.45	L	S	B	J1313+0506
133045.53-014841.6	 0.0808	 0.7115	16.99	 0.07	  9.8	 0.89	 0.46	E	S	B	J1330-0148
134308.25+602755.0	 0.1198	 0.3199	16.30	 0.03	 40.6	 2.07	 0.52	L	S	X	J1343+6027
134309.22+605209.7	 0.0343	 0.0880	13.64	 0.03	 35.8	 4.91	 0.49	E	S	X	J1343+6052
140228.21+632133.5	 0.2046	 0.4814	16.33	 0.03	122.1	 2.70	 0.77	E	S	A	J1402+6321
140329.49+000641.4	 0.1888	 0.4730	17.11	 0.08	 52.8	 1.46	 0.81	E	S	A	J1403+0006
141622.34+513630.4	 0.2987	 0.8111	17.57	 0.02	 87.5	 1.43	 0.76	E	S	A	J1416+5136
142015.85+601914.8	 0.0629	 0.5351	15.08	 0.03	 32.8	 2.06	 0.57	E	S	A	J1420+6019
143004.10+410557.1	 0.2850	 0.5753	16.87	 0.02	149.4	 2.55	 0.79	E	S	A	J1430+4105
143039.86+511530.9	 0.1337	 0.4503	16.33	 0.02	 48.9	 1.81	 0.68	L	S	X	J1430+5115
143213.34+631703.8	 0.1230	 0.6643	15.16	 0.03	122.5	 5.85	 0.96	L	S	A	J1432+6317
143609.50+493927.3	 0.1225	 0.3145	16.32	 0.04	 42.4	 2.13	 0.71	E	S	X	J1436+4939
143627.54-000029.2	 0.2852	 0.8049	17.24	 0.07	112.2	 2.24	 0.75	E	S	A	J1436-0000
144319.62+030408.2	 0.1338	 0.4187	17.06	 0.06	 26.1	 0.94	 0.62	E	S	A	J1443+0304
144858.24-011614.6	 0.1474	 0.7807	16.65	 0.10	 48.2	 1.39	 0.41	L	S	X	J1448-0116
145128.19-023936.4	 0.1254	 0.5203	16.09	 0.16	 61.0	 2.48	 0.98	E	S	A	J1451-0239
145218.94-005820.2	 0.1770	 0.5131	17.28	 0.08	 39.3	 0.85	 0.77	E	S	X	J1452-0058
151505.14+612848.3	 0.2421	 0.3800	17.31	 0.03	 70.3	 1.20	 0.66	E	S	X	J1515+6128
152009.08-003457.3	 0.1140	 0.3954	16.88	 0.11	 23.0	 1.61	 0.59	L	S	X	J1520-0034
152444.37-005209.1	 0.1524	 0.7323	17.39	 0.28	 31.0	 1.62	 0.82	E	S	X	J1524-0052
152506.70+332747.4	 0.3583	 0.7173	17.11	 0.04	204.0	 2.90	 0.61	E	S	A	J1525+3327
152524.63+011401.7	 0.1294	 0.6269	16.68	 0.09	 35.3	 1.59	 0.85	E	S	X	J1525+0114
153150.07-010545.7	 0.1596	 0.7439	16.08	 0.26	112.6	 2.50	 0.68	E	S	A	J1531-0105
153530.38-003852.3	 0.1613	 0.6585	16.81	 0.21	 55.9	 1.23	 0.60	E	S	X	J1535-0038
153711.26+412554.6	 0.1423	 0.6811	17.02	 0.04	 30.3	 2.07	 0.84	E	S	X	J1537+4125
153812.92+581709.8	 0.1428	 0.5312	16.66	 0.03	 42.0	 1.58	 0.82	E	S	A	J1538+5817
154100.77+413058.7	 0.1423	 0.5033	16.84	 0.05	 36.2	 1.15	 0.42	L	S	X	J1541+4130
154731.22+572000.0	 0.1883	 0.3958	16.25	 0.02	109.4	 2.53	 0.89	E	S	X	J1547+5720
155003.12+525846.7	 0.0491	 0.7396	15.23	 0.03	 17.1	 2.04	 0.75	E	S	B	J1550+5258
160453.49+335546.2	 0.0786	 0.3500	15.36	 0.05	 40.7	 2.59	 0.63	E	S	B	J1604+3355
161437.74+452253.3	 0.1779	 0.8113	16.83	 0.02	 56.9	 2.58	 0.90	E	S	B	J1614+4522
161843.10+435327.4	 0.1989	 0.6657	     	 0.03	     	     	     	E	M	A	J1618+4353
162132.99+393144.6	 0.2449	 0.6021	16.81	 0.01	113.2	 2.14	 0.73	E	S	A	J1621+3931
162746.45-005357.6	 0.2076	 0.5241	16.91	 0.18	 85.1	 1.98	 0.85	E	S	A	J1627-0053
163028.16+452036.3	 0.2479	 0.7933	16.79	 0.01	118.4	 1.96	 0.84	E	S	A	J1630+4520
163339.26-001256.2	 0.0702	 0.2060	15.81	 0.17	 23.9	 2.28	 0.52	U	S	X	J1633-0012
163602.62+470729.6	 0.2282	 0.6745	17.03	 0.04	 81.5	 1.68	 0.78	E	S	A	J1636+4707
170013.98+622109.7	 0.1228	 0.3584	16.52	 0.05	 35.3	 1.53	 0.72	E	S	X	J1700+6221
170216.76+332044.8	 0.1785	 0.4357	16.10	 0.04	113.2	 3.66	 0.78	E	S	B	J1702+3320
170603.69+330400.9	 0.1682	 0.7736	16.85	 0.04	 50.5	 1.38	 0.79	E	S	B	J1706+3304
171723.13+573948.2	 0.1144	 0.5748	16.02	 0.06	 48.9	 2.08	 0.77	E	S	X	J1717+5739
171837.40+642452.2	 0.0899	 0.7366	     	 0.06	     	     	     	E	M	A	J1718+6424
211112.27-003826.5	 0.1933	 0.4761	     	 0.15	     	     	     	E	M	B	J2111-0038
211949.65-074201.7	 0.1704	 0.5262	16.76	 0.40	 78.0	 1.91	 0.64	E	S	B	J2119-0742
212151.12+120312.9	 0.1434	 0.4862	16.92	 0.12	 36.3	 1.61	 0.59	L	S	B	J2121+1203
214154.68-000112.3	 0.1380	 0.7127	16.83	 0.10	 35.8	 1.81	 0.37	L	S	A	J2141-0001
220218.32-084648.0	 0.1613	 0.5011	17.13	 0.07	 36.6	 1.13	 0.34	L	S	X	J2202-0846
220956.93-075447.9	 0.1112	 0.2148	17.58	 0.09	 11.2	 0.71	 0.49	E	S	X	J2209-0754
222537.34+125957.6	 0.3103	 0.6571	18.09	 0.15	 66.2	 0.74	 0.75	E	S	X	J2225+1259
223840.20-075456.0	 0.1371	 0.7126	16.20	 0.07	 61.2	 2.33	 0.74	E	S	A	J2238-0754
224155.71+122814.0	 0.0998	 0.7173	15.92	 0.07	 40.9	 4.55	 0.54	L	S	X	J2241+1228
230053.15+002238.0	 0.2285	 0.4635	17.07	 0.10	 83.1	 1.83	 0.80	E	S	A	J2300+0022
230220.18-084049.5	 0.0901	 0.2224	15.53	 0.07	 47.4	 2.25	 0.80	E	S	A	J2302-0840
230321.72+142217.9	 0.1553	 0.5170	16.10	 0.35	112.9	 3.28	 0.64	E	S	A	J2303+1422
232120.93-093910.3	 0.0819	 0.5324	14.66	 0.05	 84.6	 4.11	 0.78	E	S	A	J2321-0939
234111.57+000018.7	 0.1860	 0.8070	16.36	 0.05	 98.7	 3.15	 0.59	E	S	A	J2341+0000
234728.08-000521.3	 0.4169	 0.7145	17.89	 0.06	145.3	 1.40	 0.71	E	S	B	J2347-0005

