#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:25:02 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:25:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/501/461/lens&-out=SLACS,MSalBC,E_MSalBC,e_MSalBC,MSalM,E_MSalM,e_MSalM,MChaBC,E_MChaBC,e_MChaBC,MKroM,E_MKroM,e_MKroM&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35010461
#Name: J/A+A/501/461
#Title: Photometric masses of early-type lens galaxies (Grillo+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/a+a/501/461	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/501/461	    IVOID of underlying data collection
#INFO	creator=Grillo C.	    First author or institution
#INFO	cites=bibcode:2009A&A...501..461G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/501/461	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35010461	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-05-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_501_461_lens:
#Name: J/A+A/501/461/lens
#Title: Spectroscopy, photometry, and lensing mass  measurements of the 57 early-type grade-A lens galaxies of  the SLACS survey
#Column	SLACS	(a10)	System name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	MSalBC	(I3)	Photometric mass from Sal,BC model (1)	[ucd=phys.mass]
#Column	E_MSalBC	(I2)	Error on MSalBC (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalBC	(I2)	Error on MSalBC (lower limit)	[ucd=stat.error]
#Column	MSalM	(I3)	Photometric mass from Sal,M model (1)	[ucd=phys.mass]
#Column	E_MSalM	(I2)	Error on MSalM (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalM	(I2)	Error on MSalM (lower limit)	[ucd=stat.error]
#Column	MChaBC	(I2)	Photometric mass from Cha,BC model (1)	[ucd=phys.mass]
#Column	E_MChaBC	(I2)	Error on MChaBC (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MChaBC	(I2)	Error on MChaBC (lower limit)	[ucd=stat.error]
#Column	MKroM	(I2)	Photometric mass from Kro,M model (1)	[ucd=phys.mass]
#Column	E_MKroM	(I2)	Error on MKroM (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MKroM	(I2)	Error on MKroM (lower limit)	[ucd=stat.error]
SLACS	MSalBC	E_MSalBC	e_MSalBC	MSalM	E_MSalM	e_MSalM	MChaBC	E_MChaBC	e_MChaBC	MKroM	E_MKroM	e_MKroM
J1403+0006	 23	 7	 8	 24	 4	15	14	 3	 6	14	 4	 8
J1416+5136	 56	 3	11	 46	 4	15	32	 1	 7	31	 2	10
J1420+6019	 12	 5	 4	 10	 7	 3	 7	 3	 2	 7	 5	 2
J1430+4105	 56	 8	18	 39	16	22	32	 4	11	29	 6	18
J1436-0000	 55	16	21	 25	38	 4	32	 8	13	16	24	 3
J1443+0304	 13	 4	 6	 12	 7	 5	 7	 2	 3	 8	 5	 4
J1451-0239	 29	 6	14	 28	12	14	18	 2	10	19	 8	10
J1525+3327	110	10	33	 86	 8	28	59	 6	16	57	 3	15
J1531-0105	 48	 9	 8	 48	15	16	29	 5	 5	30	11	10
J1538+5817	 20	 1	 4	 17	 2	 6	11	 1	 1	11	 1	 4
J1621+3931	 60	 8	19	 53	 6	16	34	 4	10	37	 1	15
J1627-0053	 37	 6	 7	 28	18	 7	21	 4	 3	18	12	 5
J1630+4520	 71	 3	 8	 63	 3	13	40	 1	 4	40	 2	11
J1636+4707	 27	 8	 5	 21	12	 4	16	 4	 4	13	10	 2
J2238-0754	 24	 9	 9	 27	 8	13	14	 5	 5	18	 6	 9
J2300+0022	 45	 2	 7	 37	 6	14	24	 2	 4	24	 3	10
J2303+1422	 53	10	 5	 57	 8	18	31	 5	 3	37	 8	13
J2321-0939	 41	11	 7	 44	11	16	24	 9	 4	29	 8	10
J2341+0000	 55	 8	20	 48	18	32	31	 5	14	32	12	22

