#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:08:41 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:08:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/851/48/table1&-out=Target,zL,zS,Imag,Ai,Reff,q,Class&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18510048
#Name: J/ApJ/851/48
#Title: SLACS. XIII. Galaxy-scale strong lens candidates (Shu+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/851/48	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/851/48	    IVOID of underlying data collection
#INFO	creator=Shu Y.	    First author or institution
#INFO	cites=bibcode:2017ApJ...851...48S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/851/48	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18510048	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-05-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_851_48_table1:
#Name: J/ApJ/851/48/table1
#Title: Selected properties of the Sloan Lens ACS (SLACS) Survey for the Masses (S4TM) sample
#Column	Target	(A14)	SDSS system name (SDSSJHHMM+DDMM)	[ucd=meta.id]
#Column	zL	(F7.4)	[0.04/0.45] Foreground lens redshift inferred from SDSS spectrum	[ucd=src.redshift]
#Column	zS	(F7.4)	[0.17/1.3] Background source redshift inferred from SDSS spectrum	[ucd=src.redshift;pos.heliocentric]
#Column	Imag	(F5.2)	[14.7/19.1] Apparent AB magnitude of the lens galaxy in the HST/ACS F814W band inferred from the de Vaucouleurs model (I_814_)	[ucd=phot.mag;em.opt.I]
#Column	Ai	(F5.2)	[0.01/0.3] Galactic dust extinction {Delta}I_814_ (1)	[ucd=phys.absorption.gal]
#Column	Reff	(F5.2)	[0.5/10] Effective radius	[ucd=phys.angSize]
#Column	q	(F5.2)	[0.4/1] Minor-to-major axis ratio	[ucd=phys.size.axisRatio]
#Column	Class	(A5)	Classification (2)	[ucd=meta.code.class]
Target	zL	zS	Imag	Ai	Reff	q	Class
SDSSJ0832+1334	 0.3968	 0.7437	16.98	 0.11	 3.97	 0.74	E-M-X
SDSSJ0844+2113	 0.1779	 0.3091	16.22	 0.07	 3.96	 0.74	E-S-X
SDSSJ0847+2348	 0.1551	 0.5327	17.00	 0.06	 1.54	 0.94	E-S-A
SDSSJ0847+2925	 0.1001	 0.2390	15.73	 0.08	 2.19	 0.71	E-S-C
SDSSJ0849+2031	 0.0844	 0.4059	15.95	 0.06	 1.97	 0.75	E-S-X
SDSSJ0851+0505	 0.1276	 0.6371	16.77	 0.11	 1.35	 0.90	E-S-A
SDSSJ0901+5541	 0.1163	 0.2467	16.59	 0.04	 2.13	 0.53	E-S-X
SDSSJ0902+5158	 0.1366	 0.2036	16.24	 0.04	 2.25	 0.77	E-S-X
SDSSJ0914+0508	 0.1355	 0.4034	15.44	 0.10	 5.60	 0.61	L-S-X
SDSSJ0920+3028	 0.2881	 0.3918	16.25	 0.05	 4.25	 0.93	E-S-A
SDSSJ0920+3605	 0.1844	 0.2731	16.32	 0.03	 3.68	 0.79	E-S-X
SDSSJ0926+0722	 0.0756	 0.2855	16.57	 0.10	 1.31	 0.81	E-S-C
SDSSJ0932+6153	 0.1235	 0.2623	16.74	 0.08	 1.84	 0.55	E-S-X
SDSSJ0948+3357	 0.0814	 1.0600	16.63	 0.02	 0.65	 0.57	E-S-B
SDSSJ0953+2248	 0.0761	 0.1743	15.87	 0.05	10.00	 0.82	U-S-X
SDSSJ0955+3014	 0.3214	 0.4671	17.26	 0.04	 2.95	 0.72	E-S-A
SDSSJ0956+5539	 0.1959	 0.8483	16.84	 0.02	 1.96	 0.98	E-S-A
SDSSJ1009+0153	 0.3352	 0.9278	17.23	 0.09	 5.09	 0.91	U-S-X
SDSSJ1010+3124	 0.1668	 0.4245	15.98	 0.05	 3.26	 0.75	E-S-A
SDSSJ1012+5531	 0.1711	 0.6973	16.78	 0.01	 1.57	 0.55	E-S-X
SDSSJ1024+4014	 0.0636	 0.3049	16.24	 0.02	 1.13	 0.60	E-S-B
SDSSJ1031+3026	 0.1671	 0.7469	17.01	 0.04	 1.04	 0.67	E-U-A
SDSSJ1031+4218	 0.1193	 0.3076	17.02	 0.02	 1.22	 0.55	E-S-X
SDSSJ1039+1555	 0.0837	 0.3236	15.79	 0.06	 1.63	 0.68	E-S-C
SDSSJ1040+3626	 0.1225	 0.2846	16.93	 0.04	 1.30	 0.66	E-U-A
SDSSJ1041+0112	 0.1006	 0.2172	16.08	 0.09	 2.50	 0.85	E-S-A
SDSSJ1048+1313	 0.1330	 0.6679	16.62	 0.07	 1.90	 0.62	E-S-A
SDSSJ1051+4439	 0.1634	 0.5380	17.06	 0.03	 1.66	 0.78	E-S-A
SDSSJ1056+4141	 0.1343	 0.8318	16.95	 0.02	 1.81	 0.87	E-S-A
SDSSJ1101+1523	 0.1780	 0.5169	17.22	 0.04	 0.89	 0.71	E-S-A
SDSSJ1102+3655	 0.0937	 0.1857	14.79	 0.04	 4.70	 0.64	E-S-X
SDSSJ1103+3625	 0.1567	 0.2655	15.77	 0.04	 2.77	 0.73	E-S-X
SDSSJ1116+0729	 0.1697	 0.6860	16.87	 0.07	 2.44	 0.81	E-S-A
SDSSJ1119+1357	 0.0678	 0.3851	14.88	 0.05	 4.37	 0.65	E-S-X
SDSSJ1121+5822	 0.1751	 0.3273	17.02	 0.03	 1.34	 0.94	E-S-X
SDSSJ1122+4748	 0.1092	 0.3451	16.71	 0.03	 4.42	 0.59	L-S-X
SDSSJ1127+2312	 0.1303	 0.3610	15.91	 0.03	 2.69	 0.89	E-S-A
SDSSJ1129+1953	 0.1323	 0.6981	16.93	 0.05	 1.45	 0.71	E-S-C
SDSSJ1137+1818	 0.1241	 0.4627	16.14	 0.05	 1.79	 0.89	E-S-A
SDSSJ1138+1134	 0.1821	 0.4773	17.01	 0.07	 1.60	 0.76	E-S-B
SDSSJ1142+2509	 0.1640	 0.6595	17.11	 0.04	 1.51	 0.90	E-S-A
SDSSJ1144+0436	 0.1036	 0.2551	16.97	 0.04	 1.22	 0.83	E-S-A
SDSSJ1148+3103	 0.1425	 0.2870	16.30	 0.05	 1.83	 0.60	E-S-X
SDSSJ1150+2944	 0.2354	 0.5710	16.55	 0.04	 2.86	 0.77	E-S-X
SDSSJ1203+1558	 0.2649	 0.4206	17.10	 0.06	 2.10	 0.67	E-S-B
SDSSJ1213+2930	 0.0906	 0.5954	15.82	 0.04	 1.73	 0.67	E-S-A
SDSSJ1229+1615	 0.1207	 0.7586	16.58	 0.05	 1.68	 0.74	E-S-X
SDSSJ1230+6519	 0.1274	 0.2725	16.70	 0.04	 1.63	 0.87	E-S-C
SDSSJ1235+3919	 0.0623	 0.1917	14.86	 0.03	 4.24	 0.68	E-S-X
SDSSJ1238+6709	 0.2312	 0.4447	16.40	 0.04	 6.58	 0.62	E-M-X
SDSSJ1242+0248	 0.2056	 0.8171	17.09	 0.06	 1.30	 0.80	E-S-X
SDSSJ1248+4458	 0.2628	 0.6706	17.08	 0.05	 2.88	 0.83	E-S-X
SDSSJ1258+3703	 0.0733	 0.4370	16.81	 0.03	 0.90	 0.71	E-S-B
SDSSJ1258-0259	 0.1111	 0.5068	16.86	 0.05	 1.56	 0.45	L-S-X
SDSSJ1301+0834	 0.0902	 0.5331	16.16	 0.05	 1.25	 0.55	E-S-A
SDSSJ1306+5545	 0.0650	 0.4872	15.96	 0.03	 1.78	 0.97	E-S-C
SDSSJ1310+0220	 0.0665	 0.5526	16.13	 0.07	10.00	 0.90	E-S-C
SDSSJ1328+0156	 0.1168	 0.5068	16.30	 0.05	 1.89	 0.72	L-S-X
SDSSJ1330+1750	 0.2074	 0.3717	16.20	 0.04	 2.85	 0.74	E-S-A
SDSSJ1356+0601	 0.1256	 1.0882	16.59	 0.05	 3.26	 0.90	E-S-X
SDSSJ1400+2933	 0.3407	 0.8087	17.46	 0.04	10.00	 0.66	E-S-X
SDSSJ1403+3309	 0.0625	 0.7720	15.56	 0.03	 2.00	 0.81	E-S-A
SDSSJ1405+1353	 0.1331	 0.2828	17.28	 0.04	 1.06	 0.67	E-S-X
SDSSJ1406+2528	 0.1193	 0.7285	16.96	 0.04	 1.47	 1.00	E-S-X
SDSSJ1422+0203	 0.1104	 0.5176	16.39	 0.07	 2.05	 0.72	E-S-C
SDSSJ1424+0109	 0.3042	 0.9287	16.56	 0.06	 5.19	 0.75	E-S-C
SDSSJ1425+0951	 0.1583	 0.4554	16.88	 0.05	 1.14	 0.74	E-S-C
SDSSJ1430+6104	 0.1688	 0.6537	16.72	 0.02	 2.24	 0.79	E-S-A
SDSSJ1433+2835	 0.0912	 0.4115	15.17	 0.03	 3.23	 0.95	E-S-A
SDSSJ1446+4943	 0.1731	 0.3414	16.98	 0.05	 1.64	 0.91	E-S-C
SDSSJ1451+2951	 0.1249	 0.2687	15.83	 0.03	 2.53	 0.74	E-S-X
SDSSJ1514+3003	 0.0923	 0.6977	15.80	 0.05	 2.43	 0.82	E-S-X
SDSSJ1514+3259	 0.1124	 0.7154	16.72	 0.03	 1.55	 0.62	E-S-X
SDSSJ1531+0652	 0.2085	 0.2959	16.40	 0.08	 4.19	 0.83	E-U-C
SDSSJ1541+3642	 0.1406	 0.7389	16.57	 0.04	 1.55	 0.94	E-S-A
SDSSJ1542+3214	 0.0924	 0.3510	16.02	 0.06	 3.22	 0.91	E-S-X
SDSSJ1543+2202	 0.2681	 0.3966	16.90	 0.11	 2.32	 0.80	E-S-A
SDSSJ1550+2020	 0.1351	 0.3501	16.29	 0.10	 1.68	 0.68	E-S-A
SDSSJ1553+3004	 0.1604	 0.5663	17.05	 0.06	 2.15	 0.92	E-S-A
SDSSJ1607+1545	 0.1422	 0.4105	16.96	 0.08	 2.09	 0.97	E-S-X
SDSSJ1607+2147	 0.2089	 0.4865	17.14	 0.16	 2.63	 0.90	E-S-A
SDSSJ1609+1805	 0.1497	 0.5222	16.38	 0.09	 2.18	 0.78	E-S-X
SDSSJ1610+4648	 0.0462	 0.3028	17.03	 0.02	10.00	 0.83	U-S-X
SDSSJ1621+0552	 0.1538	 0.4203	17.14	 0.12	 1.29	 0.85	E-U-C
SDSSJ1629+1331	 0.1223	 1.2196	16.84	 0.09	 1.39	 0.72	E-S-X
SDSSJ1633+1441	 0.1281	 0.5804	16.04	 0.11	 2.39	 0.83	E-S-A
SDSSJ2134+1043	 0.2290	 0.3963	16.33	 0.12	 3.43	 0.89	E-S-X
SDSSJ2157+0004	 0.1444	 0.3414	16.87	 0.11	 1.86	 0.67	E-S-X
SDSSJ2211-0843	 0.0684	 0.7277	16.12	 0.10	 2.16	 0.79	E-S-C
SDSSJ2309-0039	 0.2905	 1.0048	17.29	 0.07	 2.08	 0.96	E-S-A
SDSSJ2324+0105	 0.1899	 0.2775	17.19	 0.08	 1.10	 0.53	E-S-A
SDSSJ2356+1427	 0.1446	 0.2673	16.32	 0.08	 2.61	 0.65	E-S-X

