#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-29T01:02:52 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-29T01:02:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F26D%2Fcatalog&-out=UGC%2C_RAJ2000%2C_DEJ2000&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7026
#Name: VII/26D
#Title: Uppsala General Catalogue of Galaxies (UGC) (Nilson 1973)
#INFO	ivoid=ivo://cds.vizier/vii/26d	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/26d	    IVOID of underlying data collection
#INFO	creator=Nilson P.	    First author or institution
#INFO	cites=1973UGC...C......0N	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/26D	    Dataset landing page
#INFO	publication_date=2003-07-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_26D_catalog:
#Name: VII/26D/catalog
#Title: UGC catalogue
#Column	UGC	(I5)	[1/12921]+= UGC number	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
UGC	_RAJ2000	_DEJ2000
  143	003.8174	 +5.8945
  144	003.8456	+16.2278
  145	003.8710	+17.3278
  146	003.9247	+27.4444
  147	003.9256	+29.6611
  148	003.9457	+16.0778
  149	003.9701	+14.0611
  150	003.9906	 -0.2889
  151	004.0440	+10.3277
  152	004.1263	+29.9277
  153	004.1612	+47.9443
  154	004.1915	 +2.4610
  155	004.1930	 +7.0610
  156	004.1948	+12.3444
  157	004.2257	+27.8610
  158	004.2579	+42.1610
  159	004.2717	+17.5277
  160	004.2788	+34.4776
  161	004.2929	 +6.7277
  162	004.2967	+17.4277
  163	004.3180	 +6.7277
  164	004.3470	+18.0610
  165	004.3997	+24.6609
  166	004.4022	+30.2109
  167	004.4197	+11.4443
  168	004.5224	+18.2942
  169	004.5729	+19.3776
  170	004.5776	+30.0775
  171	004.5891	+48.7275
  172	004.5973	+17.8442
  173	004.6027	+30.0609
  174	004.6027	+30.0942
  175	004.6154	+49.9942
  176	004.6277	+30.0442
  177	004.7562	+79.7108
  178	004.6891	+48.0108
  179	004.7500	+23.4775
  180	004.7717	+15.7442
  181	004.7733	+19.3941
  182	004.8431	 +6.4441
  183	004.8895	+47.2441
  184	004.8959	+13.1941
  185	004.9034	+29.9441
  186	004.9505	+23.7774
  187	004.9943	 +9.1441
  188	004.9989	+19.9941
  189	005.0218	+15.1107
  190	005.0366	+42.5607
  191	005.0451	+10.8774
  192	005.0793	+59.3106
  193	005.0910	 +0.8274
  194	005.0910	 +0.8274
  195	005.0938	 +7.6940
  196	005.1410	+47.4440
  197	005.1993	+20.0273
  198	005.2252	+21.8773
  199	005.2461	+12.8606
  200	005.2483	+17.6940
  201	005.2689	 +7.6106
  202	005.2780	+27.2273
  203	005.3006	+22.3606
  204	005.3260	+23.1106
  205	005.3483	+17.3273
  206	005.3507	+22.4272
  207	005.3796	+29.6606
  208	005.4509	+22.4105
  209	005.5010	+22.4105
  210	005.5017	+23.7438
  211	005.5502	+20.6105
  212	005.5901	 -1.2895
  213	005.5935	 +6.4438
  214	005.5954	+10.4938
  215	005.6051	+29.4938
  216	005.6303	+29.7438
  217	005.6544	+28.1104
  218	005.7188	 +6.9771
  219	005.7483	+16.2437
  220	005.7668	 +2.4438
  221	005.8044	+27.4437
  222	005.8344	+35.1437
  223	005.8756	+20.2437
  224	005.8904	 -0.5063
  225	005.9009	+20.8437
  226	005.9478	+14.6770
  227	005.9545	+26.9436
  228	005.9780	+24.3103
  229	005.9804	+28.3270
  230	005.9984	+15.7770
  231	006.0238	+16.4769
  232	006.1592	+33.2602
  233	006.1731	+14.8269
  234	006.2068	+29.5602
  235	006.2193	+45.1601
  236	006.2429	+43.6601
  237	006.2440	 +6.6602
  238	006.2581	+31.3601
  239	006.2917	+42.0601
  240	006.3189	 +6.4935
  241	006.3473	+12.8935
  242	006.3514	+20.2101
  243	006.3708	+45.9267
  244	006.3792	+24.8268
  245	006.4685	 +5.4101
  246	006.4823	+29.2100
  247	006.4983	+14.3434
  248	006.5051	+25.7267
  249	006.5480	+13.6434
  250	006.5495	+16.4100
  251	006.5527	+21.8100
  252	006.5912	 +1.0267
  253	006.6190	 +6.2933
  254	006.6408	+39.4933
  255	006.7097	+31.6932
  256	006.7275	+50.0265
  257	006.7164	 +1.4766
  258	006.7792	+51.0932
  259	006.7647	 -1.7734
  260	006.7720	+11.5766
  261	006.8047	+24.1765
  262	006.8168	+39.7932
  263	006.8210	+44.0432
  264	006.8147	 -1.7734
  265	006.8271	+20.0599
  266	006.8467	+10.8265
  267	006.8648	 -1.5068
  268	006.8956	 +8.8765
  269	006.9180	 +4.2432
  270	006.9613	+32.7764
  271	006.9646	 -1.8068
  272	006.9650	 -1.1902
  273	006.9813	+26.0098
  274	006.9847	+30.6098
  275	006.9920	 +2.5098
  276	007.0099	+30.7597
  277	007.0675	 +3.2264
  278	007.0826	+27.3930
  279	007.0851	+30.8097
  280	007.0905	 -0.2236
  281	007.0921	 +2.5264
  282	007.0926	 +3.3931
  283	007.0949	 +7.3931
  284	007.1372	+33.2763
  285	007.2090	+28.9430
  286	007.2173	 +2.8263
  287	007.2216	+10.1430
  288	007.2473	+43.4263
  289	007.2502	+15.9596
  290	007.2752	+15.8929
  291	007.2876	+33.1263
  292	007.3173	 +2.8596
  293	007.3325	+26.4096
  294	007.3363	+31.3762
  295	007.3650	 -1.0904
  296	007.3979	+12.0429
  297	007.4041	+21.4762
  298	007.4424	 +2.9762
  299	007.4617	+31.3928
  300	007.5178	 +3.5262
  301	007.5419	 +2.0928
  302	007.5821	+25.0928
  303	007.6224	+42.0927
  304	007.6486	+12.6761
  305	007.6490	+13.3594
  306	007.7230	+42.1926
  307	007.7224	+10.6594
  308	007.7439	 +5.1760
  309	007.7721	+10.1927
  310	007.8107	+28.9926
  311	007.8373	+30.7926
  312	007.8460	 +8.4593
  313	007.8696	 +6.2093
  314	007.8710	 +8.3926
  315	007.8960	 +8.3926
  316	007.9002	+14.6092
  317	007.9162	 +0.9259
  318	007.9942	+37.6758
  319	008.0386	+31.6758
  320	008.1173	 +2.5758
  321	008.1320	+23.4091
  322	008.1416	 +1.4924
  323	008.2235	+11.7257
  324	008.2427	 +3.1757
  325	008.2563	+22.2257
  326	008.2840	+48.5089
  327	008.2960	 +7.9090
  328	008.3399	 -1.1077
  329	008.3924	 +2.6756
  330	008.4229	+39.5589
  331	008.4456	 +7.2422
  332	008.4640	+30.7255
  333	008.4857	+48.9421
  334	008.4897	+31.4422
  335	008.4956	 +7.2588
  336	008.5290	+44.1421
  337	008.5589	+24.6421
  338	008.5986	+39.6087
  339	008.5978	+10.1921
  340	008.5993	+12.2754
  341	008.6168	 +1.6754
  342	008.6181	 +3.5754
  343	008.6949	+53.4420
  344	008.6990	+39.5587
  345	008.7125	+28.4087
  346	008.7409	+31.9420
  347	008.7570	+45.5253
  348	008.8427	 +2.9253
  349	008.8430	 +3.3919
  350	008.8441	 +4.8753
  351	008.8973	 +9.1252
  352	008.9093	+24.2752
  353	008.9222	 +8.9919
  354	008.9842	+23.9751
  355	008.9916	+31.8751
  356	009.0092	+23.9585
  357	009.0322	+21.4751
  358	009.0419	 +1.7085
  359	009.0440	 +4.6418
  360	009.0610	+25.8084
  361	009.1143	+49.0084
  362	009.1430	+32.7584
  363	009.1564	+43.8083
  364	009.1825	+21.5583
  365	009.2097	+23.9916
  366	009.2143	+28.9083
  367	009.2614	+25.6916
  368	009.2757	+39.1082
  369	009.2921	 +1.9416
  370	009.3007	+13.0583
  371	009.3399	+29.1582
  372	009.3812	+42.9082
  373	009.3980	 +9.5582
  374	009.4236	+10.3582
  375	009.4367	+25.6415
  376	009.4439	+32.7248
  377	009.4437	 +4.0248
  378	009.4900	+48.2247
  379	009.4696	 +5.1415
  380	009.4973	 +8.6414
  381	009.5422	+30.8914
  382	009.5677	 +2.7247
  383	009.5725	 +8.7914
  384	009.5942	+32.6413
  385	009.6013	+13.4747
  386	009.6026	+15.0414
  387	009.6160	+29.5247
  388	009.6168	+30.2913
  389	009.6171	 +1.9747
  390	009.6181	 +3.1580
  391	009.6692	+50.0246
  392	010.0200	+83.2244
  393	009.6547	+17.4080
  394	009.6812	+41.9913
  395	009.7184	+31.5412
  396	009.7415	+48.3245
  397	009.7212	 +7.0413
  398	009.7374	+25.6412
  399	009.7704	 +6.0246
  400	009.8167	+29.6578
  401	009.8163	 +0.8579
  402	009.8188	 +3.9579
  403	009.8263	+13.1078
  404	009.8263	+13.1078
  405	009.8413	 +0.9079
  406	009.8413	 +0.9079
  407	009.8430	 +3.0245
  408	009.8433	 +3.3245
  409	009.8443	 +4.5578
  410	009.8460	 +6.7245
  411	009.8627	+25.6411
  412	009.8669	+29.7578
  413	009.8676	 +2.4412
  414	009.8678	 +2.7912
  415	009.8931	 +3.1245
  416	009.8938	 +3.9411
  417	009.8940	 +4.1911
  418	009.8979	 +8.9578
  419	009.9163	 +0.8578
  420	009.9179	 +2.8911
  421	009.9184	 +3.5245
  422	009.9229	 +8.9911
  423	009.9433	 +3.2911
  424	009.9831	+20.5410
  425	010.0352	+22.7077
  426	010.0824	+41.6909
  427	010.0973	+50.3409
  428	010.0923	+29.5576
  429	010.1213	 +6.9076
  430	010.1433	 +3.2409
  431	010.1682	+30.1575
  432	010.1653	 -0.3091
  433	010.2452	+31.7241
  434	010.2741	+50.7408
  435	010.2642	 -1.6258
  436	010.3048	+16.4741
  437	010.3435	 +3.4908
  438	010.3637	+25.4907
  439	010.3641	 -1.7092
  440	010.4264	+36.3573
  441	010.4249	+10.8240
  442	010.4723	+32.9906
  443	010.5230	+33.4072
  444	010.5274	+36.8072
  445	010.5695	+30.3072
  446	010.5729	+33.2072
  447	010.5750	+10.7406
  448	010.5938	+29.6405
  449	010.5938	+29.6905
  450	010.5913	 +0.8406
  451	010.6075	+18.8239
  452	010.6586	+40.8738
  453	010.6692	+29.8905
  454	010.6843	+41.2738
  455	010.6638	 -1.9928
  456	010.6643	 -1.5262
  457	010.6987	+33.5238
  458	010.7124	+23.5071
  459	010.7226	+32.5737
  460	010.8523	+50.6736
  461	010.8655	 -0.1263
  462	010.8682	 +2.9403
  463	010.8786	+14.3403
  464	010.9208	+30.5902
  465	010.9486	+32.8569
  466	010.9663	 +0.8236
  467	010.9939	+28.8735
  468	010.9922	 +1.8569
  469	011.0159	+26.1902
  470	011.0417	+26.8568
  471	011.1936	+45.4233
  472	011.2316	+16.9400
  473	011.2713	 +6.1399
  474	011.3254	+10.5232
  475	011.5577	+51.2230
  476	011.5140	 -1.7103
  477	011.5597	+19.4897
  478	011.5972	+30.2396
  479	011.6243	+31.8063
  480	011.6306	+36.3229
  481	012.1399	+83.7559
  482	011.6487	 +8.4729
  483	011.7179	+26.4895
  484	011.7258	+32.6728
  485	011.7728	+30.3394
  486	011.8587	+50.8894
  487	011.8233	 +7.9228
  488	011.8301	+14.7061
  489	011.8448	+27.8227
  490	011.9605	+19.5726
  491	011.9950	+27.6226
  492	012.0140	 -1.5441
  493	012.0238	 +8.3226
  494	012.0946	 +4.1058
  495	012.0979	 +7.3392
  496	012.1169	 +1.3558
  497	012.1454	+27.6891
  498	012.1576	+16.6224
  499	012.2012	+31.9724
  500	012.2021	+11.3724
  501	012.2464	+28.2223
  502	012.2754	+46.1889
  503	012.2701	 +4.5223
  504	012.3531	+12.1889
  505	012.3638	 -1.7444
  506	012.4152	+22.9388
  507	012.4167	 +1.1222
  508	012.4524	+32.2721
  509	012.4765	+31.6054
  510	012.4889	+21.7054
  511	012.5269	+31.7387
  512	012.5237	 +7.9221
  513	012.6028	+11.7220
  514	012.6410	 +0.4553
  515	012.6533	+12.1052
  516	012.6767	+10.6052
  517	012.6775	+11.3552
  518	012.7001	+30.1552
  519	012.6886	 -1.8781
  520	012.7847	+17.7384
  521	012.8034	+12.0218
  522	012.8674	+40.7217
  523	012.9181	+52.1049
  524	012.8996	+29.4050
  525	012.9001	+29.7216
  526	012.9189	 +3.1883
  527	012.9438	 +3.0883
  528	013.0070	+47.5549
  529	013.0253	+29.6715
  530	013.0502	+44.3381
  531	013.0432	 +2.4382
  532	013.0632	 -2.1952
  533	013.1065	+14.5214
  534	013.1184	+24.3547
  535	013.1207	+26.1381
  536	013.1500	+29.2047
  537	013.1471	 +6.0214
  538	013.1721	 +6.0547
  539	013.2212	+41.9713
  540	013.2249	+29.0213
  541	013.2906	+21.9212
  542	013.3506	+29.2712
  543	013.3719	 +5.7712
  544	013.3938	 +2.9378
  545	013.4047	+12.6878
  546	013.4111	+18.0711
  547	013.4697	+24.7710
  548	013.6049	+31.6709
  549	013.6634	+36.7708
  550	013.6658	+21.5208
  551	013.7041	+44.7541
  552	013.7241	+52.5041
  553	013.6720	 +5.7708
  554	013.7007	+28.7208
  555	013.7009	+28.8541
  556	013.7015	+29.2541
  557	013.7047	+31.3541
  558	013.7025	+10.5375
  559	013.7040	+11.8374
  560	013.7062	+13.6874
  561	013.7540	+30.8040
  562	013.7802	+31.5373
  563	013.7671	 +1.3874
  564	013.8116	+35.4373
  565	013.8305	+31.6706
  566	013.8306	+31.7206
  567	013.8306	+31.7373
  568	013.8144	 -1.0293
  569	013.8264	 +9.4540
  570	013.9895	 -0.8962
  571	014.0046	+12.1038
  572	014.0072	+14.2204
  573	014.0200	+24.1204
  574	014.0206	 +4.4038
  575	014.0553	+31.0870
  576	014.0958	+50.6203
  577	014.0963	+50.7703
  578	014.0956	+39.8203
  579	014.0641	 -1.2296
  580	014.0819	+13.8870
  581	014.1045	+11.8703
  582	014.1069	+13.9037
  583	014.1141	 -1.2297
  584	014.1385	 -1.7630
  585	014.1744	+27.0036
  586	014.2241	 +7.3202
  587	014.2391	 -1.1965
  588	014.2645	 -0.8465
  589	014.2744	 +7.5201
  590	014.2834	+14.9034
  591	014.3203	+23.8867
  592	014.3799	+30.2700
  593	014.4052	+43.7866
  594	014.4052	+43.7866
  595	014.4139	 -1.3634
  596	014.4252	 +8.0866
  597	014.4552	+30.3532
  598	014.4571	+31.4866
  599	014.4401	 -0.3967
  600	014.5931	+48.6531
  601	014.6002	+26.8697
  602	014.6167	+36.7364
  603	014.6046	+11.5697
  604	014.6592	+45.0197
  605	014.6437	+22.3030
  606	014.6800	+11.8196
  607	014.6811	+12.7530
  608	014.7422	+48.0196
  609	014.6991	 +7.1030
  610	014.7065	+12.9863
  611	014.7163	 +0.6029
  612	014.7461	+23.8529
  613	014.8511	+27.0528
  614	014.8904	+35.5694
  615	014.9097	+15.3360
  616	014.9144	+18.8527
  617	014.9383	+18.0193
  618	014.9417	 +0.9360
  619	014.9590	+14.7193
  620	015.0385	+18.0025
  621	015.0389	+18.2859
  622	015.1190	+47.9858
  623	015.1328	+30.8024
  624	015.1577	+30.6690
  625	015.2187	+47.6856
  626	015.1634	 -1.6976
  627	015.2327	+13.4690
  628	015.2408	+19.4856
  629	015.2562	+29.6023
  630	015.2568	+29.9523
  631	015.2528	 +9.7189
  632	015.2821	+30.1356
  633	015.3346	+31.5188
  634	015.3502	 +7.6188
  635	015.4170	+46.6687
  636	015.4228	+24.0521
  637	015.4694	 +3.0520
  638	015.5276	+26.9519
  639	015.5131	 -1.9147
  640	015.5772	 +9.1019
  641	015.6380	 -1.9315
  642	016.0880	+80.6681
  643	015.7750	+24.9849
  644	015.8091	+14.0516
  645	015.8210	+22.3515
  646	015.8624	+32.2348
  647	015.8636	 -1.4985
  648	015.8930	 +1.8848
  649	015.8989	 +6.4181
  650	015.9018	 +8.5515
  651	015.9149	 -0.4819
  652	015.9458	+22.0180
  653	015.9608	+31.2014
  654	015.9696	+21.2347
  655	016.0076	+41.8513
  656	015.9685	 +2.2847
  657	016.0142	+32.9680
  658	016.0200	+35.9513
  659	016.0660	+18.7012
  660	016.0743	 +6.6179
  661	016.0891	 -1.0488
  662	016.0895	 -0.7488
  663	016.1403	 -0.1655
  664	016.1538	 +9.9011
  665	016.2094	+42.2177
  666	016.1889	 -1.2323
  667	016.1980	 +5.6177
  668	016.2434	 +2.1510
  669	016.3127	+31.6842
  670	016.6906	+75.6005
  671	016.4896	+32.4173
  672	016.5429	+44.9839
  673	016.5378	+31.4006
  674	016.5459	+21.3839
  675	016.5416	 +0.7839
  676	016.5672	 +1.2339
  677	016.5858	+14.5839
  678	016.5954	 +3.5839
  679	016.7653	+32.3836
  680	016.7661	+32.8003
  681	016.7851	+13.9669
  682	016.8157	+32.4835
  683	016.8157	+32.5169
  684	016.8056	+10.8502
  685	016.8392	+16.6835
  686	016.8654	+32.2835
  687	016.8655	+32.3168
  688	016.8657	+32.4001
  689	016.8657	+32.4168
  690	016.8804	+39.4001
  691	016.8901	+32.0834
  692	016.8918	+32.9334
  693	016.8668	 +0.9335
  694	016.8935	 +2.1835
  695	016.9670	 +1.0667
  696	016.9963	+21.1000
  697	017.0182	+33.4499
  698	016.9941	 +2.5500
  699	017.0463	+21.0832
  700	017.0928	+33.1332
  701	017.0686	 +2.1999
  702	017.0773	 +8.3999
  703	017.1321	+39.6998
  704	017.0986	 +5.7498
  705	017.0996	 +6.4665
  706	017.1023	 +8.3332
  707	017.1571	+39.6497
  708	017.1399	+16.8831
  709	017.1424	 +1.3498
  710	017.1937	+33.4664
  711	017.1678	 +1.6497
  712	017.2422	+32.6330
  713	017.2784	+37.8496
  714	017.3165	+32.1495
  715	017.3177	+32.7495
  716	017.3346	+13.1828
  717	017.3363	+14.3495
  718	017.3740	+35.7161
  719	017.3614	+14.3661
  720	017.3437	 +2.2162
  721	017.3931	 +1.8328
  722	017.4348	+13.2994
  723	017.4716	+20.7660
  724	017.4924	+32.3493
  725	017.5423	+43.0992
  726	017.4880	 -1.7507
  727	017.5110	+13.9826
  728	017.6181	+43.2824
  729	017.5956	 +3.5158
  730	017.6444	+33.1157
  731	017.6876	+49.6157
  732	017.6704	+33.5657
  733	017.6652	+16.5990
  734	017.6651	 -0.2676
  735	017.7448	+33.1489
  736	017.7130	 -1.7510
  737	017.7158	 +0.1990
  738	017.7713	+33.8489
  739	017.7670	+17.6322
  740	017.7670	+17.6489
  741	017.7784	 +8.7655
  742	017.8171	+31.7321
  743	017.8174	+31.8821
  744	017.8199	+33.0988
  745	017.8778	+36.6820
  746	017.9121	+49.1153
  747	017.8424	 +1.2821
  748	017.9248	+35.2653
  749	017.8924	 +1.3320
  750	017.9395	 -0.6514
  751	017.9918	+17.2985
  752	018.0185	+32.1318
  753	018.0151	 -0.2515
  754	018.1437	+50.6150
  755	018.1581	+38.4983
  756	018.1707	+32.9816
  757	018.1409	 +0.2817
  758	018.2591	+38.7648
  759	018.2911	+49.6648
  760	018.2151	 -0.2851
  761	018.3199	+50.6814
  762	018.2400	 -0.3351
  763	018.2420	 +0.9815
  764	018.3004	+34.9814
  765	018.2651	 -0.2519
  766	018.3663	+49.6147
  767	018.2879	 -1.7186
  768	018.2939	 +2.2814
  769	018.3099	+12.7647
  770	018.3695	 +2.6480
  771	018.4154	 -0.0854
  772	018.4168	 +0.8813
  773	018.4441	 +2.3812
  774	018.4609	+13.2645
  775	018.4706	+19.1812
  776	018.5233	+33.7144
  777	018.5442	+42.2477
  778	018.5696	+50.2310
  779	018.4936	 +2.0645
  780	018.5582	+37.9477
  781	018.5586	+38.1310
  782	018.5983	+51.1643
  783	018.5953	+42.5476
  784	018.5379	 -1.7356
  785	018.5652	+15.8810
  786	018.6459	+50.4642
  787	018.5846	+12.3810
  788	018.5996	 +5.9310
  789	018.6639	 -1.0191
  790	018.6673	 +1.1809
  791	018.6683	 +1.8309
  792	018.7452	+31.9641
  793	018.7147	 -0.4859
  794	018.7219	 +4.1808
  795	018.7348	+12.3808
  796	018.7734	+33.3807
  797	018.7411	 +0.4308
  798	018.7917	+30.1973
  799	018.7761	 +6.8474
  800	018.8383	+28.4806
  801	018.8380	 -1.6194
  802	018.8519	 +7.3639
  803	018.8531	 +8.0972
  804	018.8980	+33.0638
  805	018.8762	 +6.8972
  806	018.8892	 -0.8528
  807	018.8892	 -0.8528
  808	018.9050	 +9.2972
  809	018.9499	+33.8138
  810	018.9690	+31.0804
  811	019.0090	+37.6470
  812	019.0176	+30.3470
  813	019.0601	+46.7469
  814	019.0433	+41.1636
  815	018.9986	 +5.1804
  816	019.0852	+46.7469
  817	019.0179	 +1.5637
  818	019.0222	 +4.2970
  819	019.0259	 +6.6470
  820	019.0692	+31.0302
  821	019.0405	 -0.0197
  822	019.1129	+39.0468
  823	019.1424	 +1.2135
  824	019.2363	+13.0133
  825	019.3946	+49.0131
  826	019.4018	+43.6297
  827	019.3643	+14.6964
  828	019.4261	+21.4130
  829	019.4319	+10.1963
  830	019.4624	 -1.9537
  831	019.5379	+38.4462
  832	019.5194	+17.5462
  833	019.5339	+11.3795
  834	019.5981	 +4.7461
  835	019.6708	+31.0460
