#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:23 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:23	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/716/198/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17160198
#Name: J/ApJ/716/198
#Title: The DiskMass survey. I. (Bershady+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	creator=Bershady M.A.	    First author or institution
#INFO	cites=bibcode:2010ApJ...716..198B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/716/198	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17160198	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-02-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_716_198_table2:
#Name: J/ApJ/716/198/table2
#Title: DiskMass sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	UGC number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Type	(a6)	Hubble morphological type	[ucd=src.morph.type]
#Column	f_Type	(I1)	[1/5]? additional classification (1)	[ucd=meta.code]
#Column	HRV	(I5)	NED heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.1)	NED distance (2)	[ucd=pos.distance;pos.heliocentric]
#Column	AB	(F5.2)	B-band Galactic extinction	[ucd=phys.absorption]
#Column	Bmag	(F4.1)	? Apparent B-band magnitude from RC3, with corrections applied	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F4.1)	? Bmag uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Ksmag	(F5.2)	? 2MASS Ks-band magnitude, with corrections applied	[ucd=phot.mag;em.IR.K]
#Column	e_Ksmag	(F5.2)	? Ksmag uncertainty	[ucd=stat.error;phot.mag;em.IR.K]
#Column	KMag	(F5.1)	? Absolute K-band magnitude applying distance modulus and Galactic extinction corrections	[ucd=phys.magAbs;em.IR.K]
#Column	B-K	(F4.1)	? Rest-frame B-K color index, corrected for Galactic extinction	[ucd=phot.color;em.opt.B;em.IR.K]
#Column	e_B-K	(F4.1)	? B-K uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	mu0	(F4.1)	Estimated disk central surface brightness from POSS images, calibrated to R band	[ucd=phot.mag.sb]
#Column	hR	(F4.1)	Estimated disk radial scale length	[ucd=phys.angSize;src]
#Column	r23.5	(F4.1)	Apparent isophotal radius where {mu}_R_=23.5mag/arcsec2	[ucd=phys.angSize]
#Column	Sel	(a6)	Disk-mass Phase-A sample selection (3)	[ucd=meta.code]
#Column	Ha	(A3)	H{alpha} IFU observations (D=DensePak or S=SparsePak)	[ucd=meta.code]
#Column	f_Ha	(A1)	[g] incomplete H{alpha} observation (4)	[ucd=meta.code]
#Column	sigma	(a5)	Stellar line-of-site velocity dispersion (IFS) observations ({sigma}^LOS^_*_) (5)	[ucd=meta.code]
#Column	n_sigma	(A1)	[g] incomplete sigma observation (4)	[ucd=meta.note]
#Column	Spz	(A1)	[y/ ] Spitzer/IRAC or MIPS imaging?	[ucd=meta.code]
#Column	HI	(a5)	21cm aperture-synthesis observations (V: VLA, W: Westerbork and/or G: GMRT)	[ucd=meta.code]
#Column	2M	(A2)	Display the 2MASS extended data within 15" (Cat. VII/233)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	UGC	RAJ2000	DEJ2000	Type	f_Type	HRV	Dist	AB	Bmag	e_Bmag	Ksmag	e_Ksmag	KMag	B-K	e_B-K	mu0	hR	r23.5	Sel	Ha	f_Ha	sigma	n_sigma	Spz	HI	2M	Simbad	NED
      81	 5202	09 45 09.2	+68 35 40	SABab 	1	 4429	 64.6	 0.43	13.7	 0.2	 9.18	 0.03	-24.9	 4.1	 0.2	19.9	14.0	39.2	4     	   	 	     	 	 	     	2M	Simbad	NED
      82	 5277	09 51 40.1	+65 29 27	SBbc  	 	 3365	 50.6	 0.71	14.6	 0.3	10.28	 0.08	-23.3	 3.6	 0.3	20.6	11.7	30.5	4,d   	S,D	 	     	 	 	     	2M	Simbad	NED
      83	 5302	09 54 21.8	+68 19 57	Sdm   	 	 4386	 64.1	 0.46	14.3	 0.4	11.12	 0.06	-23.0	 2.8	 0.4	21.1	19.3	42.1	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      84	 5319	09 56 12.3	+75 51 59	SBc   	 	 2457	 38.2	 0.16	13.7	 0.2	10.38	 0.06	-22.5	 3.2	 0.2	21.1	18.7	41.7	4     	   	 	     	 	 	     	2M	Simbad	NED
      85	 5474	10 09 01.5	+32 29 32	SABcd 	 	 5893	 85.9	 0.08	14.4	 0.3	     	     	     	    	    	21.2	11.3	24.3	4     	   	 	     	 	 	     	2M	Simbad	NED
      86	 5544	10 16 34.1	+21 07 22	Sb    	 	 1302	 23.0	 0.10	13.0	 0.2	 9.19	 0.01	-22.6	 3.7	 0.2	19.4	 9.6	35.8	4     	S  	 	     	 	 	     	2M	Simbad	NED
      87	 5577	10 20 04.4	+38 36 59	Sm    	2	 2007	 33.4	 0.08	14.2	 0.2	10.78	 0.08	-21.8	 3.3	 0.2	20.3	 9.2	27.6	p     	S  	g	     	 	 	     	2M	Simbad	NED
      88	 5674	10 28 27.3	+12 42 14	SABbc 	 	 9689	138.5	 0.18	13.9	 0.2	10.48	 0.06	-25.2	 3.3	 0.2	20.6	11.9	31.4	4     	   	 	     	 	 	     	2M	Simbad	NED
      89	 5730	10 32 47.6	+15 51 40	Scd   	 	 5779	 85.4	 0.17	14.1	 0.2	10.80	 0.08	-23.9	 3.2	 0.2	20.7	 9.2	23.6	p     	D  	 	     	 	 	     	2M	Simbad	NED
      90	 5857	10 44 51.8	+06 35 48	SABc  	5	 8290	120.1	 0.13	13.5	 0.2	10.09	 0.06	-25.3	 3.3	 0.2	19.8	 8.3	28.1	4     	   	 	     	 	 	     	2M	Simbad	NED
      91	 5868	10 45 47.0	+37 12 41	Sb    	 	 7229	104.5	 0.08	14.5	 0.2	10.32	 0.05	-24.8	 4.1	 0.2	20.2	10.0	29.4	4,d   	S  	g	     	 	 	     	2M	Simbad	NED
      92	 5889	10 47 22.3	+14 04 15	SABm  	 	  573	  5.6	 0.15	13.6	 0.4	     	     	     	    	    	21.9	19.9	29.6	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      93	 5890	10 48 29.9	+72 25 30	SABc  	 	 2731	 42.3	 0.41	13.7	 0.2	 9.98	 0.06	-23.2	 3.3	 0.2	19.6	10.3	36.1	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      94	 5912	10 48 27.2	+26 35 02	Sc    	 	 6295	 92.4	 0.16	14.0	 0.2	10.44	 0.07	-24.4	 3.4	 0.2	20.3	10.6	31.5	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      95	 5980	10 51 58.1	+03 47 32	Sb    	2	 3636	 55.9	 0.20	13.0	 0.2	 9.67	 0.05	-24.1	 3.1	 0.2	20.6	15.4	37.6	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      96	 6077	11 00 02.4	+14 50 30	SBb   	 	 1434	 26.3	 0.09	12.7	 0.2	 9.40	 0.04	-22.7	 3.2	 0.2	19.3	13.5	50.1	p,4   	S  	 	M    	 	y	G    	2M	Simbad	NED
      97	 6105	11 03 06.5	+75 06 57	Sbc   	 	 7166	101.6	 0.27	13.7	 0.2	10.12	 0.06	-24.9	 3.3	 0.2	19.9	 9.2	29.9	4     	S  	 	     	 	 	     	2M	Simbad	NED
      98	 6109	11 02 35.0	+50 34 58	SABc  	 	 6705	 97.0	 0.07	14.6	 0.3	11.05	 0.09	-23.9	 3.5	 0.3	20.7	11.2	27.5	4     	   	 	     	 	 	     	2M	Simbad	NED
      99	 6128	11 04 02.8	+28 02 14	SABc  	 	 1376	 25.9	 0.12	13.0	 0.2	 9.57	 0.03	-22.5	 3.3	 0.2	19.4	10.8	39.7	4,d   	S  	 	M    	 	y	G    	2M	Simbad	NED
     100	 6135	11 04 37.0	+45 07 30	S     	 	 6479	 94.3	 0.03	13.4	 0.3	 9.86	 0.03	-25.0	 3.5	 0.3	19.8	 8.8	29.1	p     	D  	 	     	 	 	     	2M	Simbad	NED
     101	 6155	11 06 02.4	+04 25 46	SABbc 	 	 6425	 95.2	 0.29	13.9	 0.2	10.72	 0.10	-24.2	 2.9	 0.2	20.8	11.8	29.1	4     	   	 	     	 	 	     	2M	Simbad	NED
     102	 6157	11 06 25.3	+17 30 29	Sdm   	 	 2958	 46.9	 0.09	13.9	 0.4	     	     	     	    	    	21.1	15.4	33.4	4     	S  	 	     	 	 	     	2M	Simbad	NED
     103	 6180	11 07 31.6	+00 46 59	SABb  	 	11856	169.1	 0.17	14.0	 0.2	10.11	 0.08	-26.0	 3.8	 0.2	20.5	12.1	32.8	4,d   	   	 	     	 	 	     	2M	Simbad	NED
     104	 6249	11 13 20.8	+59 54 31	Scd   	 	 1058	 20.5	 0.05	14.1	 0.2	     	     	     	    	    	21.1	13.7	28.1	4,d   	S  	g	     	 	 	     	2M	Simbad	NED
     105	 6257	11 13 45.0	+48 16 23	SBab  	 	 5336	 78.8	 0.06	14.2	 0.2	10.54	 0.07	-23.9	 3.6	 0.2	20.0	 8.8	29.0	4     	   	 	     	 	 	     	2M	Simbad	NED
     106	 6311	11 17 55.0	-02 05 32	SABc  	1	 7414	109.1	 0.19	13.8	 0.2	10.45	 0.08	-24.8	 3.1	 0.2	21.0	15.3	31.8	4     	S  	g	     	 	 	     	2M	Simbad	NED
     107	 6335	11 19 45.9	+59 16 50	Scd   	 	 2927	 45.8	 0.04	14.4	 0.3	11.94	 0.14	-21.4	 2.4	 0.3	21.2	12.6	28.3	4,d   	   	 	     	 	 	     	2M	Simbad	NED
     108	 6425	11 24 44.8	+23 36 54	Sbc   	 	 6745	 99.3	 0.08	14.4	 0.3	10.61	 0.08	-24.4	 3.7	 0.3	21.4	12.3	24.0	4     	   	 	     	 	 	     	2M	Simbad	NED
     109	 6429	11 25 19.2	+63 43 47	Sc    	 	 3726	 56.3	 0.05	13.8	 0.2	10.75	 0.08	-23.0	 3.0	 0.2	20.7	16.3	39.5	4,d   	   	 	     	 	 	     	2M	Simbad	NED
     110	 6445	11 26 29.9	+16 51 49	SABbc 	4	 1239	 24.9	 0.11	12.4	 0.2	 9.69	 0.01	-22.3	 2.6	 0.2	20.0	15.2	47.5	p,4   	S  	 	M,C  	g	y	G    	2M	Simbad	NED
     111	 6463	11 28 00.6	+29 30 39	SABbc 	 	 2507	 41.1	 0.10	12.9	 0.2	10.48	 0.07	-22.6	 2.4	 0.2	20.2	12.7	38.9	4,d   	S  	 	P,M,C	g	y	W    	2M	Simbad	NED
     112	 6510	11 31 32.1	-02 18 33	SABcd 	 	 4745	 72.4	 0.13	13.3	 0.2	10.11	 0.08	-24.2	 3.1	 0.2	21.2	17.2	36.5	4,d   	S  	g	     	 	 	     	2M	Simbad	NED
     113	 6528	11 32 44.1	+61 49 37	Sc    	 	 3250	 50.1	 0.07	14.0	 0.2	10.65	 0.12	-22.9	 3.3	 0.2	20.8	14.9	29.5	d     	   	 	     	 	 	     	2M	Simbad	NED
     114	 6582	11 36 58.1	+55 09 44	SABbc 	1	 5785	 84.7	 0.06	14.2	 0.2	10.45	 0.05	-24.2	 3.7	 0.2	20.0	 9.1	28.2	4     	   	 	     	 	 	     	2M	Simbad	NED
     115	 6616	11 39 21.6	+58 16 07	Scd   	2	 1154	 22.2	 0.05	13.7	 0.3	12.07	 0.17	-19.7	 1.6	 0.3	21.2	19.4	38.8	d     	S  	g	     	 	 	     	2M	Simbad	NED
     116	 6641	11 40 46.7	+17 47 45	SABb  	 	 3495	 54.9	 0.13	14.0	 0.2	10.90	 0.07	-22.8	 2.9	 0.2	20.9	11.9	28.7	4,d   	S  	g	     	 	 	     	2M	Simbad	NED
     117	 6663	11 42 09.1	+20 18 56	SABab 	 	 5788	 86.7	 0.09	13.6	 0.2	 9.99	 0.03	-24.7	 3.5	 0.2	20.6	13.0	33.9	4     	   	 	     	 	 	     	2M	Simbad	NED
     118	 6693	11 43 31.5	+22 43 32	SBbc  	 	 6909	101.9	 0.10	13.5	 0.2	 9.96	 0.08	-25.1	 3.4	 0.2	19.8	13.0	42.5	p     	S  	 	M,C  	 	y	G    	2M	Simbad	NED
     119	 6716	11 44 41.7	+35 58 04	Sbc   	 	11203	159.4	 0.08	14.4	 0.3	10.41	 0.08	-25.6	 3.9	 0.3	21.1	13.3	29.3	4,d   	   	 	     	 	 	     	2M	Simbad	NED
     120	 6743	11 45 55.6	+21 01 32	SABbc 	 	 6750	 99.8	 0.10	14.0	 0.3	10.42	 0.07	-24.6	 3.4	 0.3	20.8	11.7	29.2	4,d   	   	 	     	 	 	     	2M	Simbad	NED
     121	 6758	11 47 06.5	+13 42 24	S     	 	 3108	 49.4	 0.22	13.7	 0.2	10.50	 0.08	-23.0	 3.0	 0.2	20.9	15.8	37.7	4     	   	 	     	 	 	     	2M	Simbad	NED
     122	 6771	11 48 00.2	+04 29 18	SABab 	 	 5964	 89.7	 0.10	13.6	 0.2	 9.69	 0.09	-25.1	 3.8	 0.2	20.6	15.6	40.8	d     	   	 	     	 	 	     	2M	Simbad	NED
     123	 6784	11 48 59.6	+35 00 57	Sbc   	 	 6411	 94.6	 0.08	13.8	 0.3	10.02	 0.04	-24.9	 3.7	 0.3	20.7	16.1	39.2	4,d   	   	 	     	 	 	     	2M	Simbad	NED
     124	 6813	11 50 39.0	+55 21 14	Scd   	 	  954	 19.2	 0.05	13.6	 0.3	10.48	 0.06	-20.9	 3.1	 0.3	21.2	20.4	37.7	p     	S  	 	     	 	 	     	2M	Simbad	NED
     125	 6821	11 51 01.2	+20 23 56	Sbc   	 	 6438	 95.7	 0.21	14.0	 0.2	10.47	 0.09	-24.5	 3.3	 0.2	20.3	 9.7	28.8	4     	   	 	     	 	 	     	2M	Simbad	NED
     126	 6849	11 52 39.1	+50 02 16	Sm    	 	  995	 19.9	 0.08	14.7	 0.5	     	     	     	    	    	21.8	19.3	28.1	4,d   	   	 	     	 	 	     	2M	Simbad	NED
     127	 6883	11 54 58.5	+26 12 10	SABcd 	 	 5150	 77.9	 0.09	14.4	 0.2	11.81	 0.15	-22.7	 2.5	 0.3	21.3	10.7	20.1	4     	   	 	     	 	 	     	2M	Simbad	NED
     128	 6903	11 55 37.0	+01 14 14	SBcd  	 	 1892	 31.3	 0.09	13.1	 0.3	10.77	 0.11	-21.7	 2.3	 0.3	21.4	26.9	52.9	p     	S  	 	P    	g	y	G    	2M	Simbad	NED
     129	 6909	11 56 07.2	+55 23 28	Sab   	 	 5807	 85.1	 0.06	14.2	 0.3	10.31	 0.06	-24.3	 3.8	 0.3	20.3	10.1	24.4	4     	   	 	     	 	 	     	2M	Simbad	NED
     130	 6910	11 56 10.3	+60 31 22	SABbc 	2	 9978	141.2	 0.09	13.3	 0.2	 9.87	 0.06	-25.9	 3.3	 0.2	19.6	 9.9	35.1	4     	   	 	     	 	 	     	2M	Simbad	NED
     131	 6918	11 56 28.2	+55 07 31	SABb  	5	 1109	 21.8	 0.06	12.0	 0.2	 8.83	 0.02	-22.9	 3.1	 0.2	18.6	10.1	44.3	p,4   	S  	 	P,M,C	 	y	V,W,G	2M	Simbad	NED
     132	 6958	11 58 23.9	-02 16 39	SABbc 	 	 5904	 89.2	 0.13	13.8	 0.2	10.08	 0.07	-24.7	 3.6	 0.2	19.7	 9.8	34.3	4     	   	 	     	 	 	     	2M	Simbad	NED
     133	 6995	12 00 33.0	+20 04 25	Im    	 	 1269	 28.5	 0.15	12.8	 0.1	10.22	 0.07	-22.1	 2.4	 0.1	20.1	12.6	40.1	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     134	 7020	12 02 36.6	+41 03 14	Sbc   	 	 6132	 90.6	 0.09	13.9	 0.3	10.33	 0.06	-24.5	 3.5	 0.3	20.3	11.7	32.0	4     	S  	 	     	 	 	     	2M	Simbad	NED
     135	 7025	12 02 50.8	+48 38 12	Sb    	 	 3410	 53.3	 0.10	13.1	 0.2	 9.14	 0.02	-24.5	 3.8	 0.2	19.9	14.4	47.1	4     	S  	 	     	 	 	     	2M	Simbad	NED
     136	 7072	12 05 12.7	+28 46 55	Sdm   	 	 3154	 50.5	 0.08	13.9	 0.4	11.30	 0.09	-22.2	 2.5	 0.4	21.2	12.0	24.7	4     	D  	 	     	 	 	     	2M	Simbad	NED
     137	 7163	12 10 18.3	+26 25 51	SABab 	 	 6520	 96.8	 0.10	13.6	 0.2	 9.82	 0.03	-25.1	 3.7	 0.2	19.9	10.6	35.1	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     138	 7169	12 10 37.6	+16 02 01	SABc  	3	 2167	 14.1	 0.14	12.7	 0.1	 9.55	 0.02	-21.2	 3.0	 0.1	19.8	12.7	42.4	p,4,d 	S  	 	     	 	 	     	2M	Simbad	NED
     139	 7205	12 12 14.9	+56 10 42	S     	 	 9274	132.1	 0.06	14.1	 0.2	 9.76	 0.03	-25.9	 4.3	 0.2	20.1	10.5	30.7	4     	   	 	     	 	 	     	2M	Simbad	NED
     140	 7208	12 12 28.0	+39 06 39	S     	 	 7078	103.6	 0.13	14.3	 0.2	10.70	 0.06	-24.4	 3.4	 0.2	20.3	 8.6	23.4	4     	D  	 	     	 	 	     	2M	Simbad	NED
     141	 7244	12 14 18.2	+59 36 56	SBcd  	 	 4350	 65.4	 0.09	14.6	 0.4	11.59	 0.16	-22.5	 3.0	 0.4	21.2	12.4	26.8	4,d   	S  	 	P    	 	y	W    	2M	Simbad	NED
     142	 7309	12 17 09.0	+03 40 53	SBm   	 	 2027	 13.6	 0.08	13.4	 0.1	10.73	 0.05	-19.9	 2.6	 0.1	19.6	10.8	38.2	d     	   	 	     	 	 	     	2M	Simbad	NED
     143	 7357	12 19 13.4	+22 25 53	SABc  	 	 6682	 99.3	 0.12	14.2	 0.4	11.28	 0.09	-23.7	 2.8	 0.4	20.7	10.1	25.1	4     	   	 	     	 	 	     	2M	Simbad	NED
     144	 7385	12 20 07.6	+07 41 30	Sc    	2	 2618	 42.2	 0.12	13.5	 0.1	10.40	 0.10	-22.7	 3.0	 0.2	20.5	14.4	39.0	4     	   	 	     	 	 	     	2M	Simbad	NED
     145	 7414	12 21 40.7	+11 30 12	SABdm 	 	  232	  1.3	 0.14	12.9	 0.1	11.52	 0.21	-14.0	 1.2	 0.2	19.3	10.7	39.1	d     	S  	 	     	 	 	     	2M	Simbad	NED
     146	 7415	12 21 38.8	+15 44 43	SAB0/a	 	 1267	 14.1	 0.09	14.4	 0.2	10.65	 0.09	-20.1	 3.7	 0.2	20.9	13.6	30.2	d     	S  	g	     	 	 	     	2M	Simbad	NED
     147	 7416	12 21 39.2	+40 50 56	SBb   	 	 6901	101.2	 0.09	13.9	 0.2	10.15	 0.05	-24.9	 3.7	 0.2	20.3	13.6	37.8	4     	S  	 	M,C  	 	y	W    	2M	Simbad	NED
     148	 7439	12 22 27.2	+04 33 58	SABcd 	 	 1273	 13.6	 0.10	13.6	 0.2	10.75	 0.10	-19.9	 2.8	 0.2	20.4	12.1	35.4	4     	   	 	     	 	 	     	2M	Simbad	NED
     149	 7474	12 24 05.6	+07 02 28	Scd   	 	 1231	 13.7	 0.10	14.0	 0.1	10.58	 0.10	-20.1	 3.3	 0.2	20.6	12.5	32.6	4,d   	   	 	     	 	 	     	2M	Simbad	NED
     150	 7536	12 26 36.0	+03 57 55	SBbc  	1	 2294	 13.6	 0.08	13.2	 0.1	 9.57	 0.05	-21.1	 3.5	 0.1	19.4	11.3	41.3	d     	   	 	     	 	 	     	2M	Simbad	NED
     151	 7537	12 26 30.1	+08 52 21	SBc   	 	 1281	 13.8	 0.11	13.5	 0.2	     	     	     	    	    	21.3	21.0	45.9	4     	   	 	     	 	 	     	2M	Simbad	NED
     152	 7541	12 26 46.8	+07 55 09	SBcd  	3	 1392	 13.8	 0.11	13.1	 0.1	10.59	 0.07	-20.1	 2.4	 0.1	20.4	16.2	40.4	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     153	 7690	12 32 27.0	+42 42 15	Im    	2	  537	  8.9	 0.13	13.5	 0.2	11.31	 0.07	-18.4	 2.1	 0.2	20.8	14.3	31.3	d     	   	 	     	 	 	     	2M	Simbad	NED
     154	 7715	12 33 55.7	+03 32 48	Im    	 	 1138	 13.5	 0.11	14.6	 0.2	     	     	     	    	    	21.2	14.1	29.2	d     	   	 	     	 	 	     	2M	Simbad	NED
     155	 7768	12 36 08.2	+19 19 21	SBcd  	 	 1407	 14.1	 0.11	13.2	 0.1	10.35	 0.07	-20.4	 2.7	 0.1	19.8	12.9	42.6	d     	S  	 	     	 	 	     	2M	Simbad	NED
     156	 7856	12 41 44.7	+35 03 47	SBb   	1	 6927	102.2	 0.07	13.5	 0.2	 9.78	 0.03	-25.3	 3.7	 0.2	18.9	 7.6	31.9	4     	   	 	     	 	 	     	2M	Simbad	NED
     157	 7861	12 41 52.8	+41 16 27	SABm  	1	  609	 10.2	 0.08	13.0	 0.2	     	     	     	    	    	19.9	13.0	41.0	d     	S  	 	     	 	 	     	2M	Simbad	NED
     158	 7917	12 44 26.2	+37 07 17	SBbc  	 	 6985	102.9	 0.09	13.8	 0.2	 9.68	 0.05	-25.4	 4.0	 0.2	20.6	16.4	41.9	4,d   	S  	 	P,M  	 	y	W    	2M	Simbad	NED
     159	 7943	12 46 45.8	+05 57 19	Scd   	 	  836	 13.6	 0.11	13.6	 0.3	     	     	     	    	    	20.8	17.4	42.8	4     	   	 	     	 	 	     	2M	Simbad	NED
     160	 8022	12 53 50.9	+09 42 37	SBbc  	3	 2830	 45.7	 0.09	13.0	 0.2	 9.76	 0.06	-23.5	 3.2	 0.2	20.2	18.9	50.7	4     	   	 	     	 	 	     	2M	Simbad	NED
     161	 8099	12 59 09.0	+37 18 38	Sab   	 	 4665	 71.5	 0.06	13.1	 0.2	 9.45	 0.02	-24.8	 3.6	 0.2	19.6	11.4	37.4	4     	S  	 	     	 	 	     	2M	Simbad	NED
     162	 8128	13 00 56.2	+27 47 27	SABbc 	 	 7985	117.2	 0.04	13.6	 0.2	     	     	     	    	    	20.5	12.3	29.6	d     	   	 	     	 	 	     	2M	Simbad	NED
     163	 8150	13 02 37.8	+50 26 19	Sc    	 	 7088	103.4	 0.10	14.2	 0.2	10.66	 0.09	-24.4	 3.4	 0.2	20.8	11.3	24.5	4     	   	 	     	 	 	     	2M	Simbad	NED
     164	 8196	13 06 04.5	+55 39 22	Sb    	 	 8329	119.7	 0.07	14.0	 0.2	 9.96	 0.04	-25.4	 4.0	 0.2	20.3	10.7	29.9	4,d   	S  	 	P    	 	y	W    	2M	Simbad	NED
     165	 8230	13 08 41.8	+52 46 27	SABab 	 	 7152	104.1	 0.08	14.5	 0.2	10.14	 0.08	-25.0	 4.3	 0.2	20.0	 9.7	30.1	4     	S  	 	M    	 	y	W    	2M	Simbad	NED
     166	 8319	13 14 32.4	+30 42 22	Scd   	 	 7477	110.2	 0.06	13.6	 0.2	10.38	 0.05	-24.8	 3.2	 0.2	20.7	10.8	29.1	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     167	 8360	13 18 10.1	-01 14 38	SABcd 	1	 5733	 87.8	 0.11	13.8	 0.2	10.43	 0.13	-24.3	 3.2	 0.2	19.3	 7.9	30.6	4     	   	 	     	 	 	     	2M	Simbad	NED
     168	 8447	13 26 28.6	+36 00 38	Scd   	 	 5579	 84.2	 0.07	14.3	 0.2	10.77	 0.06	-23.9	 3.5	 0.2	20.9	14.0	28.9	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     169	 8523	13 32 49.2	+07 10 11	Sa    	 	 6866	103.1	 0.16	13.8	 0.2	 9.60	 0.05	-25.5	 4.1	 0.2	20.5	14.8	39.8	d     	   	 	     	 	 	     	2M	Simbad	NED
     170	 8573	13 35 32.0	+13 40 33	Sc    	 	 6852	102.7	 0.11	12.9	 0.2	 9.72	 0.05	-25.3	 3.1	 0.2	19.8	16.9	51.4	p,4   	S  	 	     	 	 	     	2M	Simbad	NED
     171	 8589	13 36 26.2	+07 22 11	SBbc  	 	 7018	105.5	 0.17	13.6	 0.3	10.05	 0.11	-25.1	 3.4	 0.3	20.7	13.8	38.7	d     	   	 	     	 	 	     	2M	Simbad	NED
     172	 8611	13 36 49.4	+44 52 52	SABcd 	 	 2640	 43.7	 0.08	14.6	 0.4	     	     	     	    	    	20.8	11.5	30.0	4,d   	S  	g	     	 	 	     	2M	Simbad	NED
     173	 8740	13 49 38.9	+04 14 18	SABab 	 	 7034	105.6	 0.11	13.8	 0.2	 9.40	 0.04	-25.7	 4.3	 0.2	20.0	12.0	37.5	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     174	 8768	13 52 04.2	-02 12 21	SABb  	 	 4364	 68.4	 0.23	13.5	 0.2	 9.79	 0.05	-24.4	 3.5	 0.2	20.0	11.2	36.5	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     175	 8775	13 51 47.3	+50 58 42	Scd   	 	 4055	 62.6	 0.05	14.1	 0.2	10.50	 0.08	-23.5	 3.5	 0.2	20.1	 9.8	30.4	4     	S  	 	     	 	 	     	2M	Simbad	NED
     176	 8909	13 58 38.0	+60 47 48	SABcd 	 	 1670	 29.8	 0.06	14.3	 0.2	     	     	     	    	    	21.0	13.6	30.1	4     	S  	g	     	 	 	     	2M	Simbad	NED
     177	 9149	14 17 59.6	+25 08 12	S0/a  	5	 5149	 79.1	 0.09	13.0	 0.1	 9.34	 0.02	-25.2	 3.6	 0.1	20.4	14.4	41.7	d     	   	 	     	 	 	     	2M	Simbad	NED
     178	 9177	14 20 30.5	+10 25 56	Scd   	 	 9009	132.4	 0.14	14.0	 0.2	11.01	 0.11	-24.6	 2.8	 0.2	20.8	11.4	28.4	d     	S  	 	P    	 	y	G    	2M	Simbad	NED
     179	 9216	14 22 56.6	+40 25 02	Scd   	 	 5517	 83.2	 0.05	14.4	 0.3	10.81	 0.07	-23.8	 3.6	 0.3	20.2	10.8	31.9	d     	S  	 	     	 	 	     	2M	Simbad	NED
     180	 9317	14 30 11.2	+27 31 55	SBc   	 	 4496	 70.1	 0.09	14.3	 0.2	11.40	 0.10	-22.8	 2.8	 0.2	21.2	11.0	23.6	4     	S  	 	     	 	 	     	2M	Simbad	NED
     181	 9318	14 30 10.5	+31 12 56	Sb    	2	 3562	 57.0	 0.06	13.0	 0.3	 9.14	 0.02	-24.6	 3.9	 0.3	20.3	13.0	37.7	d     	S  	 	     	 	 	     	2M	Simbad	NED
