#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/table7&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8m-1v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_276_59_table7:
#Name: J/ApJS/276/59/table7
#Title: H{alpha} data table for individual fiber measurements
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	R	(A3)	Run code (1)	[ucd=meta.id;obs]
#Column	N	(I1)	[1/5] Night during the observing run	[ucd=meta.note]
#Column	P	(I1)	[1/4] SparsePak pointing	[ucd=obs.field]
#Column	A	(I2)	[1/82] SparsePak fiber aperture	[ucd=instr.fov]
#Column	C	(I1)	[1/9] Fitting code (2)	[ucd=meta.code]
#Column	oRA	(F5.1)	[-70.5/38.7] East-West offset of fiber aperture (3)	[ucd=pos.eq.ra;arith.diff]
#Column	oDE	(F5.1)	[-47/62.5] North-South offset of fiber aperture (3)	[ucd=pos.eq.dec;arith.diff]
#Column	EWg	(F6.1)	[-0.2/1167]? H{alpha} emission equivalent width from sum of Gaussian line parameters	[ucd=spect.line.eqWidth]
#Column	EWsum	(F7.1)	[-0.2/29060]? H{alpha} emission equivalent width from zeroth moment of line emission	[ucd=spect.line.eqWidth]
#Column	logmuN	(F6.2)	[-16.6/-13] Log H{alpha} narrow component surface-brightness (flux within the 4.7" diameter fiber aperture); in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuN	(F5.2)	[0/73] Uncertainty in logmuN	[ucd=stat.error;phot.mag.sb]
#Column	VelN	(F6.1)	[-382/348] Narrow component velocity relative to kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelN	(F6.1)	[0/5579] Uncertainty in VelN	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaN	(F5.1)	[2.9/142] Narrow component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaN	(F5.1)	[0/999] Uncertainty in sigmaN	[ucd=stat.error;phys.veloc.dispersion]
#Column	logmuB	(F6.2)	[-99/-13]? Log H{alpha} broad component surface-brightness; in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuB	(F5.2)	[0/13.4]? Uncertainty in logmuB	[ucd=stat.error;phot.mag.sb]
#Column	VelB	(F6.1)	[-487/340]? Broad component velocity relative to the kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelB	(F6.1)	[0/1174]? Uncertainty in VelB	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaB	(F5.1)	[0/888]? Broad component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaB	(F5.1)	[0/999]? Uncertainty in sigmaB	[ucd=stat.error;phys.veloc.dispersion]
recno	UGC	R	N	P	A	C	oRA	oDE	EWg	EWsum	logmuN	e_logmuN	VelN	e_VelN	sigmaN	e_sigmaN	logmuB	e_logmuB	VelB	e_VelB	sigmaB	e_sigmaB
      25	   16	R1 	2	1	39	3	-11.4	 33.3	  26.4	   25.2	-15.42	 0.03	  83.8	   0.8	 14.4	  0.7	-15.57	 0.06	  91.0	   4.8	 37.3	  3.9
      26	   16	R1 	2	1	40	1	 -6.4	 24.8	   7.3	    6.1	-15.45	 0.04	  78.7	   1.9	 21.3	  1.5	      	     	      	      	     	
      27	   16	R1 	2	1	41	1	  3.4	  8.0	   5.8	    5.6	-14.96	 0.02	  48.4	   0.7	 20.7	  0.5	      	     	      	      	     	
      28	   16	R1 	2	1	42	1	 -1.5	 16.4	   5.2	    5.3	-15.42	 0.03	  80.6	   1.4	 20.0	  1.2	      	     	      	      	     	
      29	   16	R1 	2	1	43	1	 -6.4	  2.3	   3.7	    3.5	-14.93	 0.01	  53.8	   0.5	 21.7	  0.4	      	     	      	      	     	
      30	   16	R1 	2	1	44	1	 -1.5	 10.8	   8.8	    8.8	-14.96	 0.01	  75.6	   0.6	 19.9	  0.5	      	     	      	      	     	
      31	   16	R1 	2	1	45	1	-11.4	 -0.5	   2.5	    2.1	-15.42	 0.04	  36.4	   1.3	 17.6	  1.1	      	     	      	      	     	
      32	   16	R1 	2	1	46	1	  3.4	 -3.3	   1.1	    0.9	-15.36	 0.03	 -58.9	   1.5	 20.4	  1.2	      	     	      	      	     	
      33	   16	R1 	2	1	47	1	 -1.5	  5.1	   1.0	    0.9	-15.47	 0.04	  70.5	   1.8	 18.7	  1.4	      	     	      	      	     	
      34	   16	R1 	2	1	48	1	 -1.5	-11.7	  12.9	   12.9	-14.76	 0.01	 -70.9	   0.4	 22.2	  0.3	      	     	      	      	     	
      35	   16	R1 	2	1	49	2	 -6.4	-25.8	   8.7	    8.4	-15.93	 0.09	 -65.6	   1.5	  8.2	  1.2	-15.49	 0.06	 -68.3	   3.5	 28.5	  2.8
      36	   16	R1 	2	1	50	1	-11.4	-34.3	  10.2	   11.6	-15.53	 0.04	 -57.6	   1.7	 19.3	  1.4	      	     	      	      	     	
      37	   16	R1 	2	1	51	1	 -6.4	 -8.9	   9.3	    9.6	-14.90	 0.01	 -41.7	   0.6	 21.8	  0.5	      	     	      	      	     	
      38	   16	R1 	2	1	53	7	 -1.5	-34.3	  -0.2	    3.9	-15.81	 0.10	 -71.3	   4.4	 19.7	  3.6	      	     	      	      	     	
      39	   16	R1 	2	1	56	1	-11.4	 16.4	   7.2	    7.6	-15.38	 0.03	  80.9	   1.2	 17.8	  1.0	      	     	      	      	     	
      40	   16	R1 	2	1	58	1	-16.3	 24.8	  12.1	   11.7	-15.32	 0.03	  86.0	   1.0	 17.8	  0.8	      	     	      	      	     	
      41	   16	R1 	2	1	60	1	-21.2	 16.4	  32.7	   35.5	-15.00	 0.02	  75.6	   0.7	 21.1	  0.6	      	     	      	      	     	
      42	   16	R1 	2	1	61	1	-26.1	 -8.9	   7.3	    7.7	-15.50	 0.05	   4.3	   2.0	 20.0	  1.6	      	     	      	      	     	
      43	   16	R1 	2	1	62	3	 -6.4	  8.0	  13.2	   13.0	-14.89	 0.01	  76.9	   0.4	 16.0	  0.4	-14.96	 0.02	  75.1	   1.6	 34.0	  1.3
      44	   16	R1 	2	1	63	1	-16.3	  8.0	  11.8	   12.6	-15.13	 0.02	  64.5	   0.7	 16.9	  0.6	      	     	      	      	     	
      45	   16	R1 	2	1	64	1	-16.3	 -8.9	   6.1	    6.4	-15.34	 0.03	  -4.1	   1.0	 17.0	  0.8	      	     	      	      	     	
      46	   16	R1 	2	1	65	1	-26.1	  8.0	  14.5	   15.7	-15.56	 0.05	  52.3	   1.9	 16.3	  1.5	      	     	      	      	     	
      47	   16	R1 	2	1	66	1	 -6.4	 -3.3	   3.5	    3.3	-15.02	 0.02	  -5.0	   0.8	 21.2	  0.6	      	     	      	      	     	
      48	   16	R1 	2	1	67	1	-16.3	-25.8	  16.0	   14.9	-15.12	 0.02	 -42.1	   1.0	 19.1	  0.8	      	     	      	      	     	
      49	   16	R1 	2	1	68	3	-21.2	-17.4	  40.2	   39.4	-14.80	 0.01	 -18.3	   0.4	 17.7	  0.3	-15.08	 0.03	  -8.9	   2.0	 33.7	  1.6
      50	   16	R1 	2	1	71	1	-11.4	-17.4	   9.1	    8.6	-15.27	 0.03	 -46.4	   1.6	 22.1	  1.3	      	     	      	      	     	
      51	   16	R1 	2	1	73	7	-31.1	 -0.5	  -0.2	    0.0	-16.02	 0.14	  31.4	   3.6	 11.9	  2.9	      	     	      	      	     	
      52	   16	R1 	2	1	75	1	-31.1	 16.4	  23.5	   25.2	-15.72	 0.09	  66.7	   5.2	 26.3	  4.2	      	     	      	      	     	
      53	   16	R1 	2	1	78	1	-36.0	-25.8	  11.6	   11.8	-15.72	 0.10	  -7.3	   3.9	 17.7	  3.2	      	     	      	      	     	
      54	   16	R1 	2	1	79	1	 -1.5	-17.4	   6.7	    6.2	-15.35	 0.04	 -70.6	   1.3	 17.4	  1.1	      	     	      	      	     	
      55	   16	R1 	2	1	82	1	-21.2	 -0.5	   5.8	    5.5	-15.35	 0.04	  31.9	   1.3	 15.7	  1.1	      	     	      	      	     	
      56	   16	R1 	2	2	 1	1	  8.6	 -5.2	   4.4	    4.1	-15.17	 0.03	 -60.4	   1.4	 18.9	  1.1	      	     	      	      	     	
      57	   16	R1 	2	2	 4	1	 23.4	  3.2	   6.7	    8.0	-15.57	 0.07	 -24.5	   3.3	 21.2	  2.7	      	     	      	      	     	
      58	   16	R1 	2	2	 5	1	 28.3	 11.7	  37.1	   36.8	-14.95	 0.02	   2.0	   0.8	 20.7	  0.6	      	     	      	      	     	
      59	   16	R1 	2	2	 7	1	 23.4	 20.1	  23.2	   23.3	-15.29	 0.04	  25.3	   1.7	 20.4	  1.4	      	     	      	      	     	
      60	   16	R1 	2	2	 9	1	 33.2	  3.2	  13.1	   17.0	-15.70	 0.11	 -27.4	   5.6	 22.8	  4.6	      	     	      	      	     	
      61	   16	R1 	2	2	13	1	 33.2	-13.6	  -0.2	   52.6	-15.86	 0.12	 -48.4	   4.3	 17.5	  3.5	      	     	      	      	     	
      62	   16	R1 	2	2	15	1	 23.4	-13.6	   6.5	    6.2	-15.70	 0.08	 -71.3	   3.6	 22.3	  2.9	      	     	      	      	     	
      63	   16	R1 	2	2	17	1	 18.4	 28.6	  -0.2	  857.6	-15.28	 0.03	  43.8	   1.3	 19.4	  1.1	      	     	      	      	     	
      64	   16	R1 	2	2	18	1	  3.7	 20.1	  12.8	   11.9	-15.42	 0.04	  70.0	   1.6	 18.3	  1.3	      	     	      	      	     	
      65	   16	R1 	2	2	19	1	  8.6	 28.6	  11.8	   12.1	-15.30	 0.04	  63.1	   1.6	 19.5	  1.3	      	     	      	      	     	
      66	   16	R1 	2	2	20	1	 13.5	 20.1	  39.3	   39.3	-15.21	 0.03	  40.7	   1.2	 19.4	  0.9	      	     	      	      	     	
      67	   16	R1 	2	2	21	1	  8.6	 11.7	  17.6	   17.2	-14.85	 0.01	  40.2	   0.6	 21.1	  0.5	      	     	      	      	     	
      68	   16	R1 	2	2	23	1	 13.5	  3.2	   9.1	    9.0	-14.98	 0.02	 -24.3	   0.9	 23.6	  0.8	      	     	      	      	     	
      69	   16	R1 	2	2	24	1	 13.5	-13.6	   8.0	    7.7	-15.28	 0.03	 -75.8	   1.3	 20.4	  1.0	      	     	      	      	     	
      70	   16	R1 	2	2	25	1	  3.7	-13.6	  11.8	   11.6	-15.01	 0.02	 -81.6	   0.7	 21.8	  0.6	      	     	      	      	     	
      71	   16	R1 	2	2	26	1	  3.7	 -2.4	   0.6	    0.5	-15.59	 0.06	 -65.1	   3.1	 22.8	  2.5	      	     	      	      	     	
      72	   16	R1 	2	2	27	1	 18.4	 11.7	   8.0	    8.5	-15.40	 0.03	   8.1	   1.2	 17.3	  1.0	      	     	      	      	     	
      73	   16	R1 	2	2	28	1	 18.4	 -5.2	   7.8	    5.9	-15.39	 0.07	 -47.4	   3.3	 23.4	  2.7	      	     	      	      	     	
      74	   16	R1 	2	2	31	3	 -1.3	-10.8	  13.8	   13.3	-14.85	 0.01	 -65.1	   0.4	 19.0	  0.3	-15.46	 0.05	 -85.2	   3.3	 30.9	  2.7
      75	   16	R1 	2	2	33	1	  8.6	-22.1	  15.0	   14.9	-15.06	 0.02	 -87.8	   0.7	 19.4	  0.6	      	     	      	      	     	
      76	   16	R1 	2	2	35	1	 18.4	-39.0	  20.9	   21.2	-15.53	 0.04	 -84.5	   2.0	 20.8	  1.6	      	     	      	      	     	
      77	   16	R1 	2	2	36	1	-21.0	 28.6	  16.9	   15.4	-15.44	 0.03	  86.5	   1.4	 19.6	  1.1	      	     	      	      	     	
      78	   16	R1 	2	2	38	1	 -1.3	 28.6	   9.5	    9.9	-15.43	 0.04	  77.4	   1.2	 15.6	  1.0	      	     	      	      	     	
      79	   16	R1 	2	2	39	3	-11.1	 28.6	  63.4	   64.2	-14.75	 0.01	  86.4	   0.3	 17.8	  0.2	-15.04	 0.02	  81.0	   1.2	 31.5	  1.0
      80	   16	R1 	2	2	40	1	 -6.2	 20.1	   6.5	    5.8	-15.44	 0.04	  78.4	   2.0	 21.8	  1.6	      	     	      	      	     	
      81	   16	R1 	2	2	41	1	  3.7	  3.2	   0.6	    0.6	-15.55	 0.06	  14.0	   3.2	 23.6	  2.6	      	     	      	      	     	
      82	   16	R1 	2	2	42	1	 -1.3	 11.7	   9.1	    8.8	-14.94	 0.01	  77.6	   0.5	 19.7	  0.4	      	     	      	      	     	
      83	   16	R1 	2	2	43	1	 -6.2	 -2.4	   3.4	    3.2	-15.02	 0.02	  -3.2	   0.9	 24.2	  0.7	      	     	      	      	     	
      84	   16	R1 	2	2	44	1	 -1.3	  6.1	   1.8	    1.6	-15.26	 0.03	  73.1	   1.1	 20.3	  0.9	      	     	      	      	     	
      85	   16	R1 	2	2	45	1	-11.1	 -5.2	   5.8	    5.8	-15.18	 0.02	  -6.9	   1.0	 20.8	  0.8	      	     	      	      	     	
      86	   16	R1 	2	2	46	2	  3.7	 -8.0	   9.6	    9.3	-14.83	 0.01	 -72.7	   0.4	 16.6	  0.3	-15.39	 0.06	 -75.7	   5.1	 41.2	  4.2
      87	   16	R1 	2	2	47	1	 -1.3	  0.4	   0.1	    0.2	-15.71	 0.10	 -10.5	   2.5	 12.0	  2.0	      	     	      	      	     	
      88	   16	R1 	2	2	48	1	 -1.3	-16.5	   5.1	    4.7	-15.45	 0.04	 -69.4	   1.5	 17.7	  1.2	      	     	      	      	     	
      89	   16	R1 	2	2	49	1	 -6.2	-30.5	  18.7	   18.0	-15.13	 0.02	 -63.2	   0.8	 18.9	  0.6	      	     	      	      	     	
      90	   16	R1 	2	2	51	1	 -6.2	-13.6	   5.6	    5.9	-15.37	 0.03	 -49.2	   1.1	 17.9	  0.9	      	     	      	      	     	
      91	   16	R1 	2	2	52	1	 -1.3	 -5.2	   1.8	    1.6	-15.25	 0.03	 -48.1	   1.4	 20.4	  1.1	      	     	      	      	     	
      92	   16	R1 	2	2	55	1	-25.9	 20.1	  16.2	   15.1	-15.35	 0.03	  76.6	   1.2	 19.0	  1.0	      	     	      	      	     	
      93	   16	R1 	2	2	56	1	-11.1	 11.7	  10.2	   10.6	-15.11	 0.02	  82.7	   0.7	 18.5	  0.6	      	     	      	      	     	
      94	   16	R1 	2	2	58	1	-16.1	 20.1	  15.8	   15.8	-15.09	 0.02	  81.2	   0.7	 19.6	  0.6	      	     	      	      	     	
      95	   16	R1 	2	2	60	1	-21.0	 11.7	  13.2	   12.5	-15.33	 0.03	  63.9	   1.2	 18.2	  1.0	      	     	      	      	     	
      96	   16	R1 	2	2	61	1	-25.9	-13.6	  11.7	   11.6	-15.38	 0.04	  -5.9	   1.7	 22.0	  1.4	      	     	      	      	     	
      97	   16	R1 	2	2	62	1	 -6.2	  3.2	   5.2	    5.2	-14.84	 0.01	  55.6	   0.6	 22.1	  0.5	      	     	      	      	     	
      98	   16	R1 	2	2	63	1	-16.1	  3.2	  10.2	   10.3	-15.14	 0.02	  52.2	   0.8	 19.3	  0.6	      	     	      	      	     	
      99	   16	R1 	2	2	64	1	-16.1	-13.6	  12.5	   12.4	-15.07	 0.02	 -20.4	   0.6	 18.1	  0.5	      	     	      	      	     	
     100	   16	R1 	2	2	65	1	-25.9	  3.2	  26.5	   25.3	-15.12	 0.02	  35.9	   0.7	 17.8	  0.6	      	     	      	      	     	
     101	   16	R1 	2	2	66	1	 -6.2	 -8.0	  10.5	    9.9	-14.90	 0.01	 -38.6	   0.6	 22.5	  0.5	      	     	      	      	     	
     102	   16	R1 	2	2	68	1	-21.0	-22.1	  12.4	   12.1	-15.41	 0.04	 -30.6	   1.7	 20.7	  1.4	      	     	      	      	     	
     103	   16	R1 	2	2	71	1	-11.1	-22.1	  11.9	   12.1	-15.32	 0.03	 -45.6	   1.1	 17.5	  0.9	      	     	      	      	     	
     104	   16	R1 	2	2	72	1	-30.8	-39.0	   6.4	    7.0	-15.78	 0.09	 -40.7	   2.2	 11.8	  1.8	      	     	      	      	     	
     105	   16	R1 	2	2	73	7	-30.8	 -5.2	  -0.2	    5.0	-15.80	 0.12	  15.1	   6.1	 24.5	  5.0	      	     	      	      	     	
     106	   16	R1 	2	2	74	1	-35.8	-13.6	  12.3	   13.4	-15.35	 0.05	  11.2	   2.0	 20.3	  1.6	      	     	      	      	     	
     107	   16	R1 	2	2	75	1	-30.8	 11.7	  33.1	   41.3	-15.84	 0.12	  59.3	   3.4	 14.0	  2.8	      	     	      	      	     	
     108	   16	R1 	2	2	76	1	-35.8	  3.2	  10.9	    8.5	-15.97	 0.13	  51.8	   3.6	 13.3	  2.9	      	     	      	      	     	
     109	   16	R1 	2	2	78	1	-35.8	-30.5	  33.6	   42.3	-15.60	 0.08	 -24.3	   3.1	 17.4	  2.5	      	     	      	      	     	
     110	   16	R1 	2	2	79	1	 -1.3	-22.1	   6.4	    6.2	-15.49	 0.06	 -67.3	   2.7	 20.7	  2.2	      	     	      	      	     	
     111	   16	R1 	2	2	81	1	-25.9	-30.5	  16.0	   17.9	-15.50	 0.05	 -35.9	   1.7	 14.8	  1.4	      	     	      	      	     	
     112	   16	R1 	2	2	82	1	-21.0	 -5.2	  17.9	   18.7	-14.86	 0.01	  18.3	   0.5	 19.3	  0.4	      	     	      	      	     	
     113	   16	R1 	2	3	 1	1	  3.7	 -2.6	   0.6	    0.6	-15.61	 0.08	 -56.1	   2.6	 14.5	  2.1	      	     	      	      	     	
     114	   16	R1 	2	3	 3	7	 28.3	 22.7	  -0.2	    0.0	-16.06	 0.17	   9.3	   3.2	  8.7	  2.6	      	     	      	      	     	
