#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/703/894/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17030894
#Name: J/ApJ/703/894
#Title: PNe in 5 nearby galaxies (Herrmann+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apj/703/894	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/703/894	    IVOID of underlying data collection
#INFO	creator=Herrmann K.A.	    First author or institution
#INFO	cites=bibcode:2009ApJ...703..894H	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/703/894	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17030894	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_703_894_table4:
#Name: J/ApJ/703/894/table4
#Title: Planetary nebula identifications
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(a10)	Source identification (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	m5007	(F5.2)	The [O III] (5007) emission line magnitude	[ucd=phot.mag;em.line.OIII]
#Column	l_R	(A1)	Limit flag on R	[ucd=meta.code.error]
#Column	R	(F5.2)	? I({lambda}5007)_0_/I(H{alpha}+[N II])_0_ ratio	[ucd=phot.flux;arith.ratio]
#Column	e_R	(F5.2)	? The 1{sigma} error in R	[ucd=stat.error]
#Column	n_R	(A4)	? Type of R value given (L, Phot, Spect)	[ucd=meta.note]
#Column	Ntrg	(I1)	? Number of Hydra+MRS setups where PN was targeted	[ucd=meta.number]
#Column	Ndet	(I1)	? Number of Hydra+MRS setups where PN was detected	[ucd=meta.number]
#Column	RV	(F6.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F4.1)	? The 1{sigma} error in RV	[ucd=stat.error]
#Column	Rem	(A3)	Remarks (2)	[ucd=meta.note]
#Column	File	(a26)	Name of the FITS file of the spectrum	[ucd=meta.id;meta.fits]
#Column	File2	(a26)	Name of the second FITS file of the spectrum	[ucd=meta.id;meta.file]
#Column	Sp	(A3)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	ID	RAJ2000	DEJ2000	m5007	l_R	R	e_R	n_R	Ntrg	Ndet	RV	e_RV	Rem	File	File2	Sp
      34	IC 342-34 	03 46 25.81	+68 02 54.6	25.80	 	 3.07	 1.02	Phot	4	3	 -36.6	11.9	   	IC342/PN_IC342_034.fits   	                          	1 2
      35	IC 342-35 	03 45 58.68	+68 00 54.2	25.82	 	 3.62	 1.39	Phot	6	6	 -41.7	 5.0	   	IC342/PN_IC342_035.fits   	                          	1 2
      36	IC 342-36 	03 46 37.64	+68 02 51.2	25.82	 	 1.58	     	Spec	1	1	 -78.6	10.4	   	IC342/PN_IC342_036.fits   	                          	1 2
      37	IC 342-37 	03 46 44.59	+68 09 13.7	25.83	 	 3.06	 0.86	Phot	1	1	  99.0	 7.4	   	IC342/PN_IC342_037.fits   	                          	1 2
      38	IC 342-38 	03 46 40.90	+68 06 35.9	25.83	 	 1.66	 0.35	Phot	1	1	  -5.5	 7.8	   	IC342/PN_IC342_038.fits   	                          	1 2
      39	IC 342-39 	03 46 52.60	+68 05 20.6	25.84	 	 2.73	 0.83	Phot	3	3	  52.7	 7.6	   	IC342/PN_IC342_039.fits   	                          	1 2
      40	IC 342-40 	03 46 57.31	+68 05 22.3	25.88	 	 2.74	 0.98	Phot	1	0	      	    	   	                          	                          	1 2
      41	IC 342-41 	03 47 12.11	+68 08 37.3	25.90	>	 1.88	     	Phot	2	2	 128.4	 4.2	   	IC342/PN_IC342_041.fits   	                          	1 2
      42	IC 342-42 	03 47 18.43	+68 05 25.6	25.92	 	 2.00	 0.53	Phot	7	3	 -46.0	 9.7	   	IC342/PN_IC342_042.fits   	                          	1 2
      43	IC 342-43 	03 46 36.05	+68 03 14.9	25.94	 	 3.03	     	Spec	1	1	 -34.2	 8.2	   	IC342/PN_IC342_043.fits   	                          	1 2
      44	IC 342-44 	03 46 32.18	+68 04 56.3	25.94	 	 2.23	 0.70	Phot	2	1	  34.1	 8.2	   	IC342/PN_IC342_044.fits   	                          	1 2
      45	IC 342-45 	03 46 48.57	+68 08 29.6	25.96	 	 1.45	 0.28	Phot	4	1	  43.5	 5.3	   	IC342/PN_IC342_045.fits   	                          	1 2
      46	IC 342-46 	03 46 45.24	+68 06 04.2	25.96	 	 3.03	 1.19	Phot	3	3	-116.4	 5.9	   	IC342/PN_IC342_046.fits   	                          	1 2
      47	IC 342-47 	03 46 47.03	+68 04 40.2	25.96	 	 2.25	 1.05	Phot	3	2	 -99.4	10.3	   	IC342/PN_IC342_047.fits   	                          	1 2
      48	IC 342-48 	03 47 21.96	+68 07 23.8	25.97	 	 3.60	     	Spec	1	1	  51.4	 5.7	   	IC342/PN_IC342_048.fits   	                          	1 2
      49	IC 342-49 	03 47 22.68	+68 06 38.0	25.98	>	 1.70	     	Phot	3	2	  66.0	 7.4	   	IC342/PN_IC342_049.fits   	                          	1 2
      50	IC 342-50 	03 47 21.55	+68 09 03.9	26.00	 	 1.60	 0.37	Phot	0	0	      	    	   	                          	                          	1 2
      51	IC 342-51 	03 47 23.98	+68 06 10.3	26.01	 	 1.53	 0.37	Phot	3	2	  55.7	 4.6	   	IC342/PN_IC342_051.fits   	                          	1 2
      52	IC 342-52 	03 47 02.42	+68 08 40.7	26.01	 	 3.52	     	Spec	5	3	 130.4	 6.4	   	IC342/PN_IC342_052.fits   	                          	1 2
      53	IC 342-53 	03 46 54.97	+68 05 23.0	26.02	 	 1.45	 0.34	Phot	2	1	  37.1	 8.0	   	IC342/PN_IC342_053.fits   	                          	1 2
      54	IC 342-54 	03 46 27.52	+68 03 52.0	26.05	 	 2.93	 1.07	Phot	1	1	 -65.8	12.3	   	IC342/PN_IC342_054.fits   	                          	1 2
      55	IC 342-55 	03 46 19.72	+68 06 01.3	26.06	>	 1.78	     	Phot	4	0	      	    	   	                          	                          	1 2
      56	IC 342-56 	03 47 10.78	+68 01 38.1	26.08	 	 1.32	     	Spec	2	2	  -2.1	 8.4	H  	IC342/PN_IC342_056_H.fits 	                          	1 2
      57	IC 342-57 	03 47 31.24	+68 10 15.0	26.08	 	 1.44	 0.34	Phot	3	2	 114.6	 7.7	   	IC342/PN_IC342_057.fits   	                          	1 2
      58	IC 342-58 	03 46 19.66	+68 07 49.2	26.09	 	 4.49	     	Spec	2	2	 -25.0	 5.9	   	IC342/PN_IC342_058.fits   	                          	1 2
      59	IC 342-59 	03 46 22.59	+68 01 26.8	26.09	 	 2.77	     	Spec	1	1	 -65.1	 4.3	   	IC342/PN_IC342_059.fits   	                          	1 2
      60	IC 342-60 	03 46 10.69	+68 04 01.3	26.09	 	 2.26	 0.77	Phot	3	2	 -33.9	 7.0	   	IC342/PN_IC342_060.fits   	                          	1 2
      61	IC 342-61 	03 47 37.76	+68 04 12.5	26.10	>	 1.52	     	Phot	4	2	 -15.3	10.5	   	IC342/PN_IC342_061.fits   	                          	1 2
      62	IC 342-62 	03 47 21.45	+68 03 12.2	26.12	 	 2.90	 1.03	Phot	4	4	 -21.8	 7.0	   	IC342/PN_IC342_062.fits   	                          	1 2
      63	IC 342-63 	03 46 08.53	+68 05 23.0	26.12	 	 1.90	 0.53	Phot	3	2	  -1.8	 9.8	   	IC342/PN_IC342_063.fits   	                          	1 2
      64	IC 342-64 	03 46 24.94	+68 06 31.6	26.13	>	 1.51	     	Phot	3	2	 -18.1	 5.3	   	IC342/PN_IC342_064.fits   	                          	1 2
      65	IC 342-65 	03 47 08.92	+68 02 45.5	26.13	>	 1.52	     	Phot	1	1	  35.5	 8.1	   	IC342/PN_IC342_065.fits   	                          	1 2
      66	IC 342-66 	03 46 08.34	+68 02 03.6	26.14	>	 1.61	     	Phot	5	2	 -26.7	 4.8	   	IC342/PN_IC342_066.fits   	                          	1 2
      67	IC 342-67 	03 46 29.10	+68 05 12.2	26.14	>	 1.65	     	Phot	3	3	 -45.3	10.2	H  	IC342/PN_IC342_067_H.fits 	                          	1 2
      68	IC 342-68 	03 46 30.44	+68 10 17.2	26.16	 	 2.87	 1.19	Phot	4	3	  73.9	 7.2	   	IC342/PN_IC342_068.fits   	                          	1 2
      69	IC 342-69 	03 46 51.03	+68 05 17.1	26.16	 	 1.70	 0.69	Phot	0	0	      	    	   	                          	                          	1 2
      70	IC 342-70 	03 46 54.40	+68 09 51.4	26.16	 	 3.54	 1.77	Phot	3	0	      	    	   	                          	                          	1 2
      71	IC 342-71 	03 46 57.61	+68 01 26.7	26.16	>	 1.63	     	Phot	3	2	 -15.9	10.0	   	IC342/PN_IC342_071.fits   	                          	1 2
      72	IC 342-72 	03 46 43.29	+68 05 35.1	26.16	 	 1.98	     	Spec	1	0	      	    	   	                          	                          	1 2
      73	IC 342-73 	03 46 16.75	+68 06 40.6	26.16	 	 1.33	 0.61	Phot	0	0	      	    	   	                          	                          	1 2
      74	IC 342-74 	03 47 36.70	+68 04 46.7	26.17	 	 1.30	 0.28	Phot	5	3	  21.2	10.7	   	IC342/PN_IC342_074.fits   	                          	1 2
      75	IC 342-75 	03 47 09.17	+68 01 46.8	26.17	 	 1.43	     	Spec	4	0	      	    	   	                          	                          	1 2
      76	IC 342-76 	03 47 13.22	+68 01 49.7	26.18	 	 1.16	 0.23	Phot	4	2	 -13.8	10.2	   	IC342/PN_IC342_076.fits   	                          	1 2
      77	IC 342-77 	03 46 10.25	+68 03 16.1	26.19	 	 1.25	 0.21	Phot	7	0	      	    	   	                          	                          	1 2
      78	IC 342-78 	03 46 31.44	+68 08 27.8	26.19	>	 1.40	     	Phot	2	1	 -35.3	11.6	S  	IC342/PN_IC342_078_S0.fits	IC342/PN_IC342_078_S1.fits	1 2
      79	IC 342-79 	03 46 05.51	+68 10 12.2	26.20	 	 1.41	 0.29	Phot	3	3	  43.2	 7.5	   	IC342/PN_IC342_079.fits   	                          	1 2
      80	IC 342-80 	03 47 38.85	+68 05 08.7	26.21	 	 1.40	 0.37	Phot	5	1	  61.4	14.5	   	IC342/PN_IC342_080.fits   	                          	1 2
      81	IC 342-81 	03 47 03.15	+68 05 28.4	26.22	 	 2.23	     	Spec	1	1	  62.6	 8.6	   	IC342/PN_IC342_081.fits   	                          	1 2
      82	IC 342-82 	03 46 31.88	+68 07 55.3	26.23	 	 2.31	 0.84	Phot	1	0	      	    	   	                          	                          	1 2
      83	IC 342-83 	03 46 55.11	+68 05 12.9	26.23	 	 1.49	 0.41	Phot	0	0	      	    	   	                          	                          	1 2
      84	IC 342-84 	03 46 54.38	+68 00 57.2	26.24	 	 2.05	 0.49	Phot	7	5	 -59.1	 7.1	   	IC342/PN_IC342_084.fits   	                          	1 2
      85	IC 342-85 	03 46 44.91	+68 09 22.2	26.24	 	 3.17	     	Spec	3	1	  90.1	 6.4	   	IC342/PN_IC342_085.fits   	                          	1 2
      86	IC 342-86 	03 46 03.32	+68 09 16.1	26.24	 	 1.42	 0.45	Phot	2	1	 -12.4	 7.3	   	IC342/PN_IC342_086.fits   	                          	1 2
      87	IC 342-87 	03 47 01.51	+68 03 49.6	26.26	 	 1.71	 0.48	Phot	1	1	  33.9	 7.7	   	IC342/PN_IC342_087.fits   	                          	1 2
      88	IC 342-88 	03 46 22.16	+68 08 36.7	26.26	 	 2.13	     	Spec	3	2	  14.6	 7.0	   	IC342/PN_IC342_088.fits   	                          	1 2
      89	IC 342-89 	03 46 37.67	+68 07 58.8	26.26	 	 1.63	 0.43	Phot	4	2	  68.1	 7.4	   	IC342/PN_IC342_089.fits   	                          	1 2
      90	IC 342-90 	03 46 28.07	+68 04 22.9	26.26	 	 1.51	 0.38	Phot	1	0	      	    	   	                          	                          	1 2
      91	IC 342-91 	03 46 58.71	+68 08 33.7	26.27	 	 0.87	     	Spec	3	1	  42.2	11.4	   	IC342/PN_IC342_091.fits   	                          	1 2
      92	IC 342-92 	03 46 05.09	+68 04 53.1	26.28	 	 1.66	     	Spec	1	0	      	    	   	                          	                          	1 2
      93	IC 342-93 	03 46 08.56	+68 05 21.0	26.28	 	 1.26	 0.32	Phot	2	1	 -19.4	10.0	   	IC342/PN_IC342_093.fits   	                          	1 2
      94	IC 342-94 	03 46 47.37	+68 03 36.7	26.29	 	 1.01	 0.23	Phot	1	0	      	    	   	                          	                          	1 2
      95	IC 342-95 	03 46 06.28	+68 07 46.9	26.31	 	 1.15	     	Spec	4	2	 -18.8	12.1	   	IC342/PN_IC342_095.fits   	                          	1 2
      96	IC 342-96 	03 47 13.62	+68 09 34.0	26.32	 	 1.07	 0.28	Phot	3	1	  61.5	13.6	   	IC342/PN_IC342_096.fits   	                          	1 2
      97	IC 342-97 	03 47 23.87	+68 02 26.2	26.37	>	 1.19	     	Phot	3	3	  65.1	 4.8	   	IC342/PN_IC342_097.fits   	                          	1 2
      98	IC 342-98 	03 46 09.90	+68 08 04.2	26.38	 	 1.80	 0.52	Phot	3	2	  89.8	 9.8	   	IC342/PN_IC342_098.fits   	                          	1 2
      99	IC 342-99 	03 46 22.67	+68 04 32.9	26.38	>	 1.20	     	Phot	0	0	      	    	   	                          	                          	1 2
     100	IC 342-100	03 46 36.25	+68 03 09.0	26.39	>	 1.45	     	Phot	0	0	      	    	   	                          	                          	1 2
     101	IC 342-101	03 46 57.09	+68 01 28.8	26.40	>	 1.43	     	Phot	1	0	      	    	   	                          	                          	1 2
     102	IC 342-102	03 47 14.47	+68 10 35.5	26.40	 	 2.74	     	Spec	4	2	  85.2	 8.0	   	IC342/PN_IC342_102.fits   	                          	1 2
     103	IC 342-103	03 46 06.06	+68 04 54.6	26.42	>	 1.37	     	Phot	2	1	 -38.8	15.7	U  	IC342/PN_IC342_103_U.fits 	                          	1 2
     104	IC 342-104	03 46 49.62	+68 03 26.1	26.42	 	 1.54	 0.51	Phot	0	0	      	    	   	                          	                          	1 2
     105	IC 342-105	03 46 50.04	+68 07 56.1	26.43	 	 1.90	     	Spec	3	1	  66.8	 8.7	P  	IC342/PN_IC342_105_P.fits 	                          	1 2
     106	IC 342-106	03 46 55.52	+68 05 13.4	26.44	 	 1.17	 0.35	Phot	0	0	      	    	   	                          	                          	1 2
     107	IC 342-107	03 47 13.07	+68 06 00.3	26.45	 	 0.93	 0.25	Phot	6	5	  67.1	 7.6	   	IC342/PN_IC342_107.fits   	                          	1 2
     108	IC 342-108	03 46 30.98	+68 03 31.9	26.45	 	 1.17	 0.33	Phot	1	1	 -22.2	11.9	   	IC342/PN_IC342_108.fits   	                          	1 2
     109	IC 342-109	03 46 24.48	+68 01 04.7	26.46	 	 3.07	 1.53	Phot	3	3	 -32.6	 6.7	   	IC342/PN_IC342_109.fits   	                          	1 2
     110	IC 342-110	03 46 50.60	+68 02 32.0	26.46	>	 1.09	     	Phot	4	1	 -47.7	 8.7	   	IC342/PN_IC342_110.fits   	                          	1 2
     111	IC 342-111	03 47 14.23	+68 02 28.7	26.46	 	 1.10	 0.27	Phot	4	3	 118.1	 7.6	   	IC342/PN_IC342_111.fits   	                          	1 2
     112	IC 342-112	03 45 57.48	+68 10 34.7	26.46	>	 1.09	     	Phot	4	1	 -28.7	 9.9	   	IC342/PN_IC342_112.fits   	                          	1 2
     113	IC 342-113	03 46 23.93	+68 09 40.7	26.48	 	 1.98	 0.92	Phot	3	2	  80.8	12.5	   	IC342/PN_IC342_113.fits   	                          	1 2
     114	IC 342-114	03 46 06.95	+68 02 47.7	26.48	 	 1.28	 0.38	Phot	2	0	      	    	   	                          	                          	1 2
     115	IC 342-115	03 47 31.02	+68 08 16.5	26.49	 	 1.30	 0.40	Phot	5	3	 124.9	 8.2	   	IC342/PN_IC342_115.fits   	                          	1 2
     116	IC 342-116	03 46 59.61	+68 07 38.3	26.53	>	 1.02	     	Phot	2	2	 131.4	10.4	   	IC342/PN_IC342_116.fits   	                          	1 2
     117	IC 342-117	03 46 59.31	+68 03 19.1	26.55	 	 1.12	 0.34	Phot	2	1	 -40.0	15.6	U  	IC342/PN_IC342_117_U.fits 	                          	1 2
     118	IC 342-118	03 47 05.56	+68 02 12.5	26.56	>	 1.00	     	Phot	0	0	      	    	   	                          	                          	1 2
     119	IC 342-119	03 46 08.38	+68 03 51.5	26.56	>	 1.20	     	Phot	2	0	      	    	   	                          	                          	1 2
     120	IC 342-120	03 46 25.11	+68 01 47.9	26.57	 	 1.06	 0.22	Phot	4	2	 -77.3	13.0	H  	IC342/PN_IC342_120_H.fits 	                          	1 2
     121	IC 342-121	03 45 58.44	+68 04 37.9	26.57	>	 0.98	     	Phot	3	0	      	    	   	                          	                          	1 2
     122	IC 342-122	03 46 45.61	+68 06 28.1	26.57	>	 0.88	     	Phot	1	0	      	    	   	                          	                          	1 2
     123	IC 342-123	03 46 30.45	+68 06 37.3	26.58	 	 1.51	 0.48	Phot	1	0	      	    	   	                          	                          	1 2
     124	IC 342-124	03 46 40.37	+68 08 13.6	26.58	>	 1.00	     	Phot	3	1	  36.0	15.0	   	IC342/PN_IC342_124.fits   	                          	1 2
     125	IC 342-125	03 46 42.06	+68 10 08.6	26.59	 	 1.49	 0.53	Phot	7	3	  48.7	10.5	   	IC342/PN_IC342_125.fits   	                          	1 2
     126	IC 342-126	03 46 31.67	+68 03 51.2	26.59	>	 0.97	     	Phot	0	0	      	    	   	                          	                          	1 2
     127	IC 342-127	03 47 12.94	+68 07 43.4	26.61	 	 1.35	 0.50	Phot	2	0	      	    	   	                          	                          	1 2
     128	IC 342-128	03 46 03.07	+68 07 17.8	26.61	 	 1.54	 0.58	Phot	0	0	      	    	   	                          	                          	1 2
