#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:21:44 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:21:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/370/765/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33700765
#Name: J/A+A/370/765
#Title: HI synthesis observations in UMa cluster (Verheijen+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	creator=Verheijen M.A.W.	    First author or institution
#INFO	cites=bibcode:2001A&A...370..765V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/370/765	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33700765	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_370_765_table2:
#Name: J/A+A/370/765/table2
#Title: Photometry of all galaxies in the UMa cluster brighter than M_b,i_(B)=-16.8 and more inclined than 45 degrees
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(A2)	Samples (G1)	[ucd=meta.code]
#Column	Name	(A7)	Galaxy name (U for UGC, N for NGC)	[ucd=meta.id;meta.main]
#Column	n_Name	(A1)	[fi] Note on the galaxy (2)	[ucd=meta.note]
#Column	Bmag	(F5.2)	Total B magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	Rmag	(F5.2)	Total R magnitude (3)	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F5.2)	Total I magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	K'mag	(F5.2)	? Total K'mag magnitude (3)	[ucd=phot.mag;em.IR.K]
#Column	WHI	(I3)	? Corrected HI line width at the 20% level, used to calculate the internal extinction	[ucd=spect.line.width]
#Column	AB	(F5.2)	Calculated internal extinction corrections in the B passband (4)	[ucd=phys.absorption]
#Column	AR	(F5.2)	Calculated internal extinction corrections in the R passband (4)	[ucd=phys.absorption]
#Column	AI	(F5.2)	Calculated internal extinction corrections in the I passband (4)	[ucd=phys.absorption]
#Column	AK'	(F5.2)	Calculated internal extinction corrections in the K' passband (4)	[ucd=phys.absorption]
#Column	BMAG	(F6.2)	Ttal absolute B magnitude (5)	[ucd=phys.magAbs;em.opt.B]
#Column	RMAG	(F6.2)	Total absolute R magnitude (5)	[ucd=phys.magAbs;em.opt.R]
#Column	IMAG	(F6.2)	Total absolute I magnitude (5)	[ucd=phys.magAbs;em.opt.I]
#Column	K'MAG	(F6.2)	? Total absolute K' magnitude (5)	[ucd=phys.magAbs;em.IR.K]
#Column	D25	(F5.2)	Diameter of the 25th mag/arcsec^2^ blue isophote (6)	[ucd=phys.angSize;em.opt.B]
recno	Sample	Name	n_Name	Bmag	Rmag	Imag	K'mag	WHI	AB	AR	AI	AK'	BMAG	RMAG	IMAG	K'MAG	D25
      22	FH	N4051  	 	10.98	 9.88	 9.37	 7.86	308	 0.28	 0.21	 0.17	 0.04	-20.71	-21.72	-22.18	-23.54	 5.45
      23	FH	N4085  	 	13.09	11.87	11.28	 9.20	247	 0.78	 0.58	 0.46	 0.11	-19.12	-20.11	-20.57	-22.27	 2.08
      24	FH	N4088  	 	11.23	10.00	 9.37	 7.46	362	 0.74	 0.54	 0.43	 0.10	-20.95	-21.94	-22.45	-24.00	 4.40
      25	FH	N4100  	 	11.91	10.62	10.00	 8.02	386	 0.97	 0.70	 0.57	 0.14	-20.51	-21.49	-21.97	-23.48	 4.07
      26	FH	N4102  	 	12.04	10.54	 9.93	 7.86	393	 0.46	 0.34	 0.27	 0.07	-19.86	-21.20	-21.73	-23.57	 2.69
      27	FH	N4157  	 	12.12	10.60	 9.88	 7.52	399	 1.40	 1.02	 0.82	 0.20	-20.72	-21.83	-22.33	-24.04	 4.64
      28	FH	N4183  	 	12.96	11.99	11.51	 9.76	228	 1.01	 0.76	 0.59	 0.14	-19.46	-20.16	-20.46	-21.74	 3.13
      29	FH	N4217  	 	12.15	10.62	 9.84	 7.61	381	 1.05	 0.76	 0.62	 0.15	-20.33	-21.54	-22.16	-23.90	 4.29
      30	FH	N4389  	 	12.56	11.33	10.87	 9.12	212	 0.20	 0.15	 0.12	 0.03	-19.05	-20.21	-20.63	-22.27	 2.31
      31	PH	N3718  	 	11.28	 9.95	 9.29	 7.47	476	 0.77	 0.55	 0.45	 0.11	-20.90	-21.99	-22.54	-24.00	 6.30
      32	PH	N3729  	 	12.31	10.94	10.30	 8.60	296	 0.25	 0.18	 0.15	 0.03	-19.34	-20.62	-21.22	-22.78	 2.60
      33	PH	U6773  	 	14.42	13.61	13.15	11.23	112	 0.09	 0.08	 0.05	 0.01	-17.09	-17.87	-18.28	-20.14	 1.35
      34	PH	U6818  	 	14.43	13.62	13.15	11.70	151	 0.39	 0.31	 0.22	 0.05	-17.40	-18.10	-18.46	-19.71	 1.69
      35	PH	U6894  	 	15.27	14.31	14.00	12.40	124	 0.37	 0.31	 0.21	 0.05	-16.51	-17.39	-17.59	-19.01	 1.13
      36	PH	N3985  	 	13.25	12.26	11.81	10.19	180	 0.18	 0.14	 0.10	 0.02	-18.39	-19.30	-19.69	-21.19	 1.29
      37	PH	N4013  	 	12.44	10.79	 9.95	 7.68	377	 1.10	 0.80	 0.64	 0.15	-20.08	-21.40	-22.07	-23.83	 3.61
      38	PH	U7089  	 	13.73	12.77	12.36	11.11	138	 0.42	 0.34	 0.24	 0.05	-18.11	-18.96	-19.26	-20.30	 2.46
      39	PH	U7094  	 	14.74	13.70	13.22	11.58	 76	 0.00	 0.00	 0.00	 0.00	-16.67	-17.69	-18.16	-19.78	 1.29
      40	PH	N4117  	 	14.05	12.47	11.81	 9.98	285	 0.00	 0.00	 0.00	 0.00	-17.36	-18.92	-19.57	-21.38	 1.29
      41	PH	N4138  	 	12.27	10.72	10.09	 8.19	374	 0.36	 0.26	 0.21	 0.05	-19.50	-20.93	-21.50	-23.22	 2.22
      42	PH	N4218  	 	13.69	12.83	12.41	10.83	150	 0.15	 0.12	 0.09	 0.02	-17.88	-18.68	-19.06	-20.55	 1.06
      43	PH	N4220  	 	12.34	10.79	10.03	 8.36	399	 0.94	 0.68	 0.55	 0.13	-20.03	-21.29	-21.91	-23.13	 2.85
      44	CH	1135+48	 	14.95	14.05	13.61	11.98	111	 0.17	 0.15	 0.09	 0.02	-16.67	-17.51	-17.88	-19.40	 0.97
      45	CH	N3896  	 	13.75	12.96	12.47	11.35	 83	 0.00	 0.00	 0.00	 0.00	-17.69	-18.45	-18.92	-20.01	 1.49
      46	NH	N3870  	 	13.67	12.71	12.16	10.73	127	 0.08	 0.06	 0.04	 0.01	-17.83	-18.74	-19.26	-20.64	 1.06
      47	NH	N3990  	 	13.53	12.08	11.36	 9.54	   	 0.00	 0.00	 0.00	 0.00	-17.89	-19.31	-20.02	-21.82	 1.28
      48	NH	N4026  	 	11.71	10.25	 9.57	 7.65	   	 0.00	 0.00	 0.00	 0.00	-19.74	-21.16	-21.82	-23.71	 3.32
      49	NH	N4111  	 	11.40	 9.95	 9.25	 7.60	   	 0.00	 0.00	 0.00	 0.00	-20.01	-21.44	-22.13	-23.76	 3.24
      50	NH	U7129  	 	14.13	12.80	12.19	     	   	 0.08	 0.06	 0.04	 0.01	-17.36	-18.65	-19.23	      	 1.19
      51	NH	N4143  	 	12.06	10.55	 9.84	 7.86	   	 0.00	 0.00	 0.00	 0.00	-19.35	-20.83	-21.54	-23.50	 2.30
      52	NH	N4346  	 	12.14	10.69	 9.96	 8.21	   	 0.00	 0.00	 0.00	 0.00	-19.27	-20.70	-21.42	-23.15	 2.75

