#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:31:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:31:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/674/A37/vprgb&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36740037
#Name: J/A+A/674/A37
#Title: Gaia DR3. MW asymmetric disc mapping (Gaia Coll.+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/a+a/674/a37	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/674/a37	    IVOID of underlying data collection
#INFO	creator=Gaia Collaboration	    First author or institution
#INFO	cites=bibcode:2023A&A...674..A37G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/674/A37	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36740037	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_674_A37_vprgb:
#Name: J/A+A/674/A37/vprgb
#Title: Velocity profiles of the RGB stars from Fig. 17 of the paper
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Radius	(F4.1)	Galactocentric radius	[ucd=phys.angSize;src]
#Column	vphimin	(F7.3)	Azimuthal velocity at 16th percentile	[ucd=phys.veloc;pos.cartesian.y]
#Column	vphi	(F7.3)	Azimuthal velocity at 50th percentile	[ucd=phys.veloc;pos.cartesian.y]
#Column	vphimax	(F7.3)	Azimuthal velocity at 84th percentile	[ucd=phys.veloc;pos.cartesian.y]
#Column	sigvRmin	(F6.3)	Radial velocity dispersion at 16th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvR	(F6.3)	Radial velocity dispersion at 50th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvRmax	(F6.3)	Radial velocity dispersion at 84th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvphimin	(F6.3)	Azimuthal velocity dispersion at 16th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvphi	(F6.3)	Azimuthal velocity dispersion at 50th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvphimax	(F6.3)	Azimuthal velocity dispersion at 84th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvZmin	(F6.3)	Vertical velocity dispersion at 16th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvZ	(F6.3)	Vertical velocity dispersion at 50th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvZmax	(F6.3)	Vertical velocity dispersion at 84th percentile	[ucd=phys.veloc.dispersion]
#Column	npix	(I3)	Number of pixel in the radial bin of the velocity map	[ucd=meta.number]
recno	Radius	vphimin	vphi	vphimax	sigvRmin	sigvR	sigvRmax	sigvphimin	sigvphi	sigvphimax	sigvZmin	sigvZ	sigvZmax	npix
      28	 5.5	206.245	207.137	208.447	47.059	47.339	47.546	41.963	42.271	42.696	30.416	30.655	30.832	295
      29	 5.7	209.360	210.251	211.197	45.755	45.971	46.129	40.909	41.247	41.940	29.247	29.478	29.637	302
      30	 5.9	212.631	213.276	213.930	44.814	45.181	45.439	40.013	40.379	40.667	28.151	28.336	28.455	305
      31	 6.1	213.312	214.649	216.021	43.694	43.898	44.156	38.729	38.889	39.217	27.285	27.380	27.617	312
      32	 6.3	214.662	215.659	216.824	43.106	43.336	43.575	37.277	37.801	38.056	26.163	26.402	26.637	317
      33	 6.5	215.938	216.885	217.750	41.684	41.839	42.026	35.249	35.683	36.268	25.022	25.177	25.384	324
      34	 6.7	217.299	217.930	218.888	40.567	40.829	41.130	34.334	34.658	35.012	23.925	24.017	24.138	340
      35	 6.9	217.774	218.277	218.796	39.935	40.312	40.555	33.537	33.813	34.200	23.556	23.685	23.808	346
      36	 7.1	219.636	220.458	220.972	39.994	40.129	40.270	32.179	32.382	32.746	23.041	23.113	23.201	355
      37	 7.3	220.337	221.300	221.459	39.473	39.660	39.879	31.432	31.568	31.801	22.592	22.713	22.782	345
      38	 7.5	221.473	222.205	222.766	39.443	39.614	39.795	30.481	30.656	30.920	22.038	22.120	22.292	356
      39	 7.7	221.294	221.764	222.401	38.666	38.866	39.061	29.858	29.990	30.114	21.529	21.636	21.774	366
      40	 7.9	220.967	221.294	221.427	37.936	38.278	38.466	29.606	29.700	29.852	21.026	21.081	21.201	377
      41	 8.1	220.947	221.582	222.124	37.470	37.610	37.808	28.864	29.103	29.432	20.787	20.853	20.931	373
      42	 8.3	221.472	221.869	222.004	37.196	37.416	37.596	28.622	28.786	29.007	20.193	20.287	20.427	388
      43	 8.5	221.966	222.301	222.719	36.699	36.936	37.103	28.108	28.317	28.579	19.869	19.981	20.101	374
      44	 8.7	221.982	222.312	222.582	36.427	36.595	36.771	27.548	27.947	28.247	19.489	19.594	19.656	381
      45	 8.9	222.279	222.599	222.746	35.887	36.183	36.324	27.064	27.459	27.675	19.302	19.403	19.517	383
      46	 9.1	222.348	222.552	222.766	35.375	35.589	35.833	26.451	26.777	27.079	18.801	18.892	18.971	377
      47	 9.3	221.821	222.225	222.482	34.823	35.013	35.147	25.617	25.892	26.178	18.497	18.536	18.694	373
      48	 9.5	221.745	222.032	222.226	33.742	33.939	34.177	24.502	24.697	24.904	18.116	18.197	18.292	370
      49	 9.7	221.428	221.650	221.854	33.462	33.652	33.849	23.678	23.874	24.219	17.924	18.020	18.065	341
      50	 9.9	220.536	220.758	221.010	33.213	33.397	33.560	22.641	22.806	22.973	17.383	17.489	17.626	329
      51	10.1	220.625	220.857	221.235	32.997	33.293	33.395	22.121	22.227	22.478	17.336	17.456	17.577	327
      52	10.3	219.724	220.025	220.367	32.394	32.551	32.668	21.519	21.937	22.376	17.178	17.297	17.436	319
      53	10.5	219.321	219.542	219.737	31.763	31.993	32.248	21.199	21.475	21.662	16.823	16.895	16.977	313
      54	10.7	218.433	218.704	218.863	31.256	31.435	31.633	21.266	21.370	21.570	16.553	16.683	16.728	305
      55	10.9	217.977	218.203	218.445	30.460	30.635	30.847	21.318	21.474	21.790	16.428	16.514	16.677	295
      56	11.1	217.846	218.027	218.375	29.967	30.066	30.238	21.477	21.677	21.783	16.205	16.282	16.346	275
      57	11.3	218.356	218.624	218.908	29.549	29.703	29.825	21.437	21.600	21.752	15.893	15.953	15.988	285
      58	11.5	218.702	218.976	219.246	28.594	28.772	29.026	21.036	21.146	21.295	15.839	15.910	16.038	288
      59	11.7	219.058	219.343	219.563	27.708	27.969	28.331	20.288	20.433	20.578	15.440	15.572	15.663	273
      60	11.9	219.208	219.648	219.993	27.643	27.840	27.975	20.008	20.206	20.355	15.199	15.268	15.393	263
      61	12.1	219.941	220.168	220.424	27.061	27.236	27.474	19.453	19.637	19.759	14.790	14.979	15.142	247
      62	12.3	219.132	219.468	219.963	26.275	26.586	26.836	18.970	19.125	19.328	14.798	15.134	15.334	236
      63	12.5	219.009	219.377	219.639	26.142	26.356	26.423	17.918	18.265	18.619	14.393	14.613	14.725	235
      64	12.7	219.223	219.657	220.015	24.817	25.136	25.458	17.111	17.242	17.438	14.601	14.904	15.085	207
      65	12.9	218.575	218.804	219.007	25.137	25.425	25.582	16.774	17.115	17.381	14.638	14.822	15.008	187
      66	13.1	217.476	218.229	218.783	25.085	25.243	25.729	16.370	16.737	17.131	14.295	14.508	15.005	126
      67	13.3	216.654	218.138	218.930	23.802	24.740	25.303	14.945	16.027	16.582	14.357	14.558	15.111	 55
      68	13.5	214.665	215.664	215.935	24.614	25.357	26.940	14.200	15.567	16.881	15.439	16.352	17.419	 14

