#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:21:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:21:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/370/765/table1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33700765
#Name: J/A+A/370/765
#Title: HI synthesis observations in UMa cluster (Verheijen+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	creator=Verheijen M.A.W.	    First author or institution
#INFO	cites=bibcode:2001A&A...370..765V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/370/765	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33700765	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_A_370_765_table1:
#Name: J/A+A/370/765/table1
#Title: All galaxies in the UMa cluster brighter than Mb,i(B)=-16.8 and more inclined than 45 degrees
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(A2)	Samples (G1)	[ucd=meta.code]
#Column	Name	(A7)	Galaxy name (U for UGC, N for NGC)	[ucd=meta.id;meta.main]
#Column	n_Name	(A1)	[fi] Note on the galaxy (2)	[ucd=meta.note]
#Column	RAB1950	(A10)	Right ascension (B1950)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Declination (B1950)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	MType	(A4)	Morphological type	[ucd=src.morph.type]
#Column	D25(B)	(F5.2)	Observed major axis diameter of the 25th mag/arcsec^2^ blue isophote	[ucd=phys.angSize]
#Column	PA	(I3)	Position angle of the receding side of the galaxy (3)	[ucd=pos.posAng]
#Column	1-b/a	(F5.2)	Observed ellipticity of the optical galaxy image	[ucd=src.ellipticity;obs.image]
#Column	iopt	(I2)	Inclination as derived from the observed axis ratio (b/a).	[ucd=src.orbital.inclination]
#Column	iadopt	(I2)	Adopted inclination angle as derived from several methods	[ucd=src.orbital.inclination]
#Column	e_iadopt	(I1)	rms uncertainty on iadopt	[ucd=stat.error]
#Column	SB	(A3)	Low (LSB) or high surface brightness (HSB) galaxy, according to Paper II	[ucd=meta.code;phot.mag.sb]
#Column	[BH]	(F5.2)	Galactic extinction in the B-band according to Burstein & Heiles (1984ApJS...54...33B)	[ucd=phys.absorption]
#Column	[SFD]	(F5.2)	Galactic extinction in the B-band according to Schlegel et al. (1998ApJ...500..525S)	[ucd=phys.absorption]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
recno	Sample	Name	n_Name	RAB1950	DEB1950	GLON	GLAT	MType	D25(B)	PA	1-b/a	iopt	iadopt	e_iadopt	SB	[BH]	[SFD]	_RA.icrs	_DE.icrs
      21	FH	U6983  	 	11 56 34.9	+52 59 08	140.27	62.62	SBcd	 3.20	270	 0.34	50	49	1	LSB	 0.01	 0.12	11 59 09.5	+52 42 26
      22	FH	N4051  	 	12 00 36.4	+44 48 36	148.88	70.08	SBbc	 5.90	311	 0.34	50	49	3	HSB	 0.00	 0.06	12 03 09.6	+44 31 54
      23	FH	N4085  	 	12 02 50.4	+50 37 54	140.59	65.17	Sc  	 2.80	255	 0.76	82	82	2	HSB	 0.01	 0.08	12 05 22.7	+50 21 12
      24	FH	N4088  	 	12 03 02.0	+50 49 03	140.33	65.01	Sbc 	 5.37	231	 0.63	71	69	2	HSB	 0.01	 0.09	12 05 34.2	+50 32 21
      25	FH	N4100  	 	12 03 36.4	+49 51 41	141.11	65.92	Sbc 	 5.23	344	 0.71	77	73	2	HSB	 0.03	 0.10	12 06 08.5	+49 34 59
      26	FH	N4102  	 	12 03 51.3	+52 59 22	138.08	63.07	SBab	 3.00	 38	 0.44	58	56	2	HSB	 0.01	 0.09	12 06 23.1	+52 42 40
      27	FH	N4157  	 	12 08 34.2	+50 45 47	138.47	65.41	Sb  	 6.73	 63	 0.83	90	82	3	HSB	 0.02	 0.09	12 11 04.5	+50 29 06
      28	FH	N4183  	 	12 10 46.5	+43 58 33	145.39	71.73	Scd 	 4.77	346	 0.86	90	82	2	LSB	 0.00	 0.06	12 13 16.9	+43 41 52
      29	FH	N4217  	 	12 13 21.6	+47 22 11	139.90	68.85	Sb  	 5.67	230	 0.74	80	86	2	HSB	 0.00	 0.08	12 15 50.8	+47 05 31
      30	FH	N4389  	 	12 23 08.8	+45 57 41	136.73	70.74	SBbc	 2.50	276	 0.34	50	50	4	HSB	 0.00	 0.06	12 25 35.3	+45 41 05
      31	PH	N3718  	 	11 29 49.9	+53 20 39	147.01	60.22	Sa  	 7.53	195	 0.58	68	69	3	HSB	 0.00	 0.06	11 32 34.8	+53 04 05
      32	PH	N3729  	 	11 31 04.9	+53 24 08	146.64	60.28	SBab	 2.80	164	 0.32	48	49	3	HSB	 0.00	 0.05	11 33 49.4	+53 07 33
      33	PH	U6773  	 	11 45 22.1	+50 05 12	146.89	64.27	Sm  	 1.53	341	 0.47	60	58	3	LSB	 0.00	 0.07	11 48 00.5	+49 48 32
      34	PH	U6818  	 	11 48 10.1	+46 05 09	151.76	67.78	Sd  	 2.20	 77	 0.72	79	75	3	LSB	 0.00	 0.09	11 50 47.0	+45 48 28
      35	PH	U6894  	 	11 52 47.3	+54 56 08	139.52	60.63	Scd 	 1.67	269	 0.84	90	83	3	LSB	 0.00	 0.06	11 55 23.5	+54 39 26
      36	PH	N3985  	 	11 54 06.4	+48 36 48	145.94	66.27	Sm  	 1.40	 70	 0.37	53	51	3	HSB	 0.05	 0.11	11 56 41.7	+48 20 06
      37	PH	N4013  	 	11 55 56.8	+44 13 31	151.86	70.09	Sb  	 4.87	245	 0.76	88	90	1	HSB	 0.00	 0.07	11 58 31.3	+43 56 49
      38	PH	U7089  	 	12 03 25.4	+43 25 18	149.90	71.52	Sdm 	 3.50	215	 0.81	90	80	3	LSB	 0.00	 0.07	12 05 57.9	+43 08 36
      39	PH	U7094  	 	12 03 38.5	+43 14 05	150.14	71.70	Sdm 	 1.60	 39	 0.64	72	70	3	LSB	 0.00	 0.06	12 06 10.9	+42 57 23
      40	PH	N4117  	 	12 05 14.2	+43 24 17	149.07	71.72	S0  	 1.53	 21	 0.56	67	68	3	LSB	 0.00	 0.06	12 07 46.2	+43 07 35
      41	PH	N4138  	 	12 06 58.6	+43 57 49	147.29	71.40	Sa  	 2.43	151	 0.37	53	53	3	HSB	 0.00	 0.06	12 09 30.0	+43 41 08
      42	PH	N4218  	 	12 13 17.4	+48 24 36	138.88	67.88	Sm  	 1.17	316	 0.40	55	53	3	HSB	 0.00	 0.07	12 15 46.4	+48 07 56
      43	PH	N4220  	 	12 13 42.8	+48 09 41	138.94	68.13	Sa  	 3.63	140	 0.69	76	78	3	HSB	 0.00	 0.08	12 16 11.7	+47 53 01
      44	CH	1135+48	 	11 35 09.2	+48 09 31	152.71	64.77	Sm  	 1.23	114	 0.69	76	73	3	LSB	 0.01	 0.10	11 37 50.6	+47 52 54
      45	CH	N3896  	 	11 46 18.6	+48 57 10	148.10	65.29	Sm  	 1.60	308	 0.33	49	48	3	LSB	 0.02	 0.09	11 48 56.5	+48 40 29
      46	NH	N3870  	 	11 43 17.5	+50 28 40	147.02	63.75	S0a 	 1.13	 17	 0.31	47	48	3	HSB	 0.00	 0.07	11 45 56.7	+50 12 00
      47	NH	N3990  	 	11 55 00.3	+55 44 13	138.25	60.04	S0  	 1.47	 40	 0.50	62	63	3	HSB	 0.00	 0.07	11 57 35.6	+55 27 31
      48	NH	N4026  	 	11 56 50.7	+51 14 24	141.94	64.20	S0  	 4.37	177	 0.74	80	84	3	HSB	 0.04	 0.10	11 59 25.1	+50 57 42
      49	NH	N4111  	 	12 04 31.0	+43 20 40	149.53	71.69	S0  	 4.47	150	 0.78	84	90	3	HSB	 0.00	 0.06	12 07 03.2	+43 03 58
      50	NH	U7129  	 	12 06 23.6	+42 01 08	151.00	72.99	Sa  	 1.27	 72	 0.31	47	48	3	HSB	 0.00	 0.06	12 08 55.4	+41 44 27
      51	NH	N4143  	 	12 07 04.6	+42 48 44	149.18	72.40	S0  	 2.60	143	 0.46	59	60	3	HSB	 0.00	 0.06	12 09 36.1	+42 32 03
      52	NH	N4346  	 	12 21 01.2	+47 16 15	136.57	69.39	S0  	 3.47	 98	 0.67	75	77	3	HSB	 0.00	 0.06	12 23 28.0	+46 59 38

