#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T03:10:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T03:10:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/896/70/fig2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18960070
#Name: J/ApJ/896/70
#Title: Radial acceleration relation in CLASH galaxy clusters (Tian+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/896/70	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/896/70	    IVOID of underlying data collection
#INFO	creator=Tian Y.	    First author or institution
#INFO	cites=bibcode:2020ApJ...896...70T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/896/70	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18960070	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-12-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_896_70_fig2:
#Name: J/ApJ/896/70/fig2
#Title: Radial acceleration relation (RAR) in 20 CLASH galaxy clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	AName	(A8)	Abbreviated cluster name	[ucd=meta.id]
#Column	Rad	(F5.1)	[14.3/600] Spherical radius (r)	[ucd=phys.size.radius]
#Column	log(gbar)	(F7.3)	[-10.9/-9.6] Log baryonic mass acceleration, g_bar_(r)	[ucd=phys.mass]
#Column	log(gtot)	(F7.3)	[-10.02/-9.1] Log total acceleration, g_tot_(r)	[ucd=phys.acceleration;arith.zp]
#Column	e_log(gbar)	(F6.3)	[0.001/0.05] Standard error in log(gbar)	[ucd=stat.error]
#Column	e_log(gtot)	(F6.3)	[0.04/0.3] Standard error in log(gtot)	[ucd=stat.error]
recno	AName	Rad	log(gbar)	log(gtot)	e_log(gbar)	e_log(gtot)
      35	RXJ1347 	100.0	 -9.987	 -9.362	 0.001	 0.096
      36	RXJ1532 	100.0	-10.127	 -9.500	 0.002	 0.222
      37	RXJ2129 	100.0	-10.390	 -9.494	 0.004	 0.086
      38	RXJ2248 	100.0	-10.313	 -9.449	 0.005	 0.119
      39	A209    	200.0	-10.744	 -9.695	 0.009	 0.068
      40	A383    	200.0	-10.677	 -9.567	 0.004	 0.068
      41	A611    	200.0	-10.622	 -9.538	 0.005	 0.080
      42	A2261   	200.0	-10.538	 -9.495	 0.003	 0.068
      43	MACS0329	200.0	-10.487	 -9.445	 0.004	 0.066
      44	MACS0416	200.0	-10.727	 -9.688	 0.034	 0.069
      45	MACS0429	200.0	-10.526	 -9.558	 0.006	 0.081
      46	MACS0647	200.0	-10.456	 -9.477	 0.007	 0.095
      47	MACS0717	200.0	-10.699	 -9.632	 0.006	 0.064
      48	MACS0744	200.0	-10.443	 -9.445	 0.006	 0.087
      49	MACS1115	200.0	-10.445	 -9.607	 0.003	 0.077
      50	MACS1149	200.0	-10.614	 -9.598	 0.012	 0.085
      51	MACS1206	200.0	-10.432	 -9.487	 0.005	 0.086
      52	MACS1720	200.0	-10.531	 -9.515	 0.004	 0.080
      53	MACS1931	200.0	-10.387	 -9.507	 0.002	 0.095
      54	MS2137  	200.0	-10.511	 -9.692	 0.003	 0.105
      55	RXJ1347 	200.0	-10.172	 -9.420	 0.001	 0.080
      56	RXJ1532 	200.0	-10.354	 -9.643	 0.002	 0.191
      57	RXJ2129 	200.0	-10.561	 -9.631	 0.004	 0.065
      58	RXJ2248 	200.0	-10.354	 -9.526	 0.003	 0.093
      59	A209    	400.0	-10.764	 -9.803	 0.005	 0.056
      60	A383    	400.0	-10.883	 -9.772	 0.004	 0.059
      61	A611    	400.0	-10.767	 -9.683	 0.004	 0.060
      62	A2261   	400.0	-10.687	 -9.621	 0.003	 0.051
      63	MACS0416	400.0	-10.722	 -9.820	 0.035	 0.058
      64	MACS0717	400.0	-10.566	 -9.709	 0.004	 0.055
      65	MACS0744	400.0	-10.568	 -9.592	 0.005	 0.064
      66	MACS1149	400.0	-10.618	 -9.686	 0.008	 0.070
      67	MACS1206	400.0	-10.523	 -9.627	 0.004	 0.064
      68	MACS1720	400.0	-10.693	 -9.670	 0.005	 0.059
      69	MACS1931	400.0	-10.589	 -9.668	 0.002	 0.069
      70	RXJ1347 	400.0	-10.377	 -9.529	 0.001	 0.061
      71	RXJ1532 	400.0	-10.602	 -9.857	 0.002	 0.157
      72	RXJ2129 	400.0	-10.738	 -9.843	 0.003	 0.057
      73	RXJ2248 	400.0	-10.431	 -9.661	 0.003	 0.065
      74	A209    	600.0	-10.845	 -9.896	 0.006	 0.052
      75	A611    	600.0	-10.876	 -9.801	 0.004	 0.056
      76	A2261   	600.0	-10.785	 -9.726	 0.003	 0.044
      77	MACS0717	600.0	-10.543	 -9.778	 0.003	 0.050
      78	MACS0744	600.0	-10.667	 -9.709	 0.005	 0.057
      79	MACS1206	600.0	-10.610	 -9.744	 0.004	 0.054
      80	MACS1931	600.0	-10.728	 -9.793	 0.003	 0.070
      81	RXJ1347 	600.0	-10.510	 -9.623	 0.001	 0.052
      82	RXJ1532 	600.0	-10.754	-10.014	 0.002	 0.138
      83	RXJ2129 	600.0	-10.854	-10.002	 0.003	 0.062
      84	RXJ2248 	600.0	-10.525	 -9.773	 0.003	 0.058
