#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/501/2279&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75012279
#Name: J/MNRAS/501/2279
#Title: Stars in the Sagittarius stream (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.501.2279V	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/501/2279	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75012279	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-06-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_501_2279_catalog:
#Name: J/MNRAS/501/2279/catalog
#Title: Catalogue of stars in the Sagittarius stream
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F8.4)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	plx	(F6.3)	Gaia DR2 parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	Error on plx	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F6.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F5.2)	Gaia DR2 G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BPmag	(F5.2)	Gaia DR2 BP-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	Jmag	(F5.2)	2MASS J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F5.2)	2MASS H-band magnitude	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F5.2)	2MASS K-band magnitude	[ucd=phot.mag;em.IR.K]
#Column	E(B-V)	(F5.2)	Reddening from Schlegel, Finkbeiner & Davis (1998ApJ...500..525S)	[ucd=phot.color.excess]
#Column	Dist	(F5.2)	Estimate of the distance from nearby RR Lyrae stars	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	Error on Dist	[ucd=stat.error]
#Column	vLOS	(F7.2)	? Heliocentric line-of-sight velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_vLOS	(F5.2)	? Error on vLOS	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Fe/H abundance ratio	[ucd=phys.abund.Fe;arith.ratio]
#Column	e_[Fe/H]	(F5.2)	? Error on [Fe/H]	[ucd=stat.error;phys.abund.Fe]
#Column	Ref	(I1)	? Reference for the spectroscopic data (1)	[ucd=meta.ref;pos.frame]
#Column	Lambda	(F8.3)	{Lambda} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	Beta	(F7.3)	{Beta} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
recno	RAJ2000	DEJ2000	plx	e_plx	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	BPmag	Jmag	Hmag	Kmag	E(B-V)	Dist	e_Dist	vLOS	e_vLOS	[Fe/H]	e_[Fe/H]	Ref	Lambda	Beta	SimbadName
      18	000.3909	-12.8880	-0.005	 0.075	-1.366	 0.126	-3.104	 0.083	16.11	 1.34	14.37	13.78	13.62	 0.03	21.83	 2.66	       	     	     	     	0	 -71.924	 -4.526	Gaia DR2 2421142819320597376
      19	000.3970	-21.1779	 0.014	 0.034	-1.145	 0.048	-2.983	 0.037	14.47	 1.66	12.45	11.66	11.52	 0.02	22.73	 0.45	       	     	     	     	0	 -68.407	  2.983	Gaia DR2 2341377580052227072
      20	000.3981	-16.5468	 0.028	 0.036	-0.957	 0.056	-2.948	 0.035	14.23	 1.87	11.93	11.12	10.94	 0.03	21.38	 3.39	       	     	     	     	0	 -70.374	 -1.211	Gaia DR2 2415654435231611776
      21	000.4081	-30.7718	 0.009	 0.033	-2.365	 0.061	-4.096	 0.045	14.62	 1.46	12.72	12.03	11.92	 0.01	24.76	 1.03	       	     	     	     	0	 -64.271	 11.657	Gaia DR2 2314752012632151168
      22	000.4084	-14.8279	 0.085	 0.057	-1.689	 0.078	-3.621	 0.061	15.54	 1.33	13.85	13.22	13.16	 0.03	23.67	 2.04	       	     	     	     	0	 -71.113	 -2.763	Gaia DR2 2417610913093897088
      23	000.4185	-17.2428	-0.010	 0.040	-1.630	 0.055	-3.530	 0.041	14.62	 1.73	12.46	11.67	11.57	 0.03	21.38	 4.14	       	     	     	     	0	 -70.096	 -0.572	Gaia DR2 2414797743874619136
      24	000.4452	-26.0465	 0.047	 0.223	-1.726	 0.184	-3.260	 0.207	17.15	 1.13	15.88	15.22	15.14	 0.02	23.63	 3.93	       	     	     	     	0	 -66.363	  7.406	Gaia DR2 2334768858038090880
      25	000.4681	-21.1498	-0.129	 0.110	-1.614	 0.147	-2.890	 0.111	16.85	 1.21	15.26	14.71	14.66	 0.02	22.73	 0.45	       	     	     	     	0	 -68.479	  2.985	Gaia DR2 2341468564639205760
      26	000.4846	-22.1243	 0.071	 0.106	-1.071	 0.153	-2.875	 0.131	17.09	 1.26	15.47	14.94	14.87	 0.02	22.73	 2.00	       	     	     	     	0	 -68.078	  3.874	Gaia DR2 2340544734353584256
      27	000.5006	-27.4920	 0.012	 0.057	-1.516	 0.120	-3.036	 0.080	15.89	 1.33	14.22	13.62	13.55	 0.02	24.96	 0.31	       	     	     	     	0	 -65.783	  8.733	Gaia DR2 2333735218324677760
      28	000.5358	-21.5526	-0.099	 0.114	-1.276	 0.214	-3.223	 0.152	17.36	 1.08	16.25	15.61	15.44	 0.02	22.43	 0.45	       	     	     	     	0	 -68.365	  3.377	Gaia DR2 2340596338384834304
      29	000.5422	-30.9121	 0.024	 0.131	-1.636	 0.211	-3.414	 0.180	17.75	 1.10	16.49	15.73	15.68	 0.02	24.76	 1.03	       	     	     	     	0	 -64.315	 11.833	Gaia DR2 2314559593802307584
      30	000.5508	-17.1782	 0.005	 0.042	-1.123	 0.066	-2.499	 0.051	15.13	 1.68	13.11	12.32	12.16	 0.02	21.38	 4.14	       	     	     	     	0	 -70.238	 -0.577	Gaia DR2 2414798946465482112
      31	000.5716	-05.9837	 0.032	 0.044	-1.642	 0.065	-3.598	 0.040	14.19	 1.65	12.18	11.40	11.27	 0.04	19.33	 1.32	       	     	     	     	0	 -75.073	-10.688	Gaia DR2 2442863156130978304
      32	000.5972	-19.5808	 0.033	 0.060	-1.210	 0.110	-2.736	 0.070	16.24	 1.40	14.49	13.85	13.67	 0.02	22.91	 0.72	       	     	     	     	0	 -69.256	  1.617	Gaia DR2 2365829997099387776
      33	000.6089	-17.4583	-0.037	 0.044	-1.058	 0.077	-3.046	 0.051	15.33	 1.56	13.42	12.68	12.54	 0.02	21.38	 4.14	       	     	     	     	0	 -70.169	 -0.300	Gaia DR2 2414778639860113920
      34	000.6116	-13.7426	 0.027	 0.060	-1.000	 0.105	-2.500	 0.065	16.03	 1.40	14.30	13.66	13.54	 0.04	22.35	 3.43	       	     	     	     	0	 -71.754	 -3.661	Gaia DR2 2420830351859458560
      35	000.6453	-26.4054	-0.037	 0.130	-1.613	 0.235	-3.350	 0.162	17.74	 1.10	16.38	15.61	15.34	 0.02	23.63	 3.93	       	     	     	     	0	 -66.372	  7.807	Gaia DR2 2334700413439834240
      36	000.6903	-20.8378	 0.000	 0.044	-1.693	 0.068	-3.787	 0.055	15.51	 1.37	13.77	13.10	12.98	 0.02	22.73	 0.45	       	     	     	     	0	 -68.800	  2.791	Gaia DR2 2341483064448846208
      37	000.7003	-20.3727	-0.012	 0.058	-1.224	 0.097	-3.028	 0.080	15.93	 1.28	14.35	13.74	13.60	 0.02	22.73	 0.45	       	     	     	     	0	 -69.007	  2.374	Gaia DR2 2341581951775888128
      38	000.7108	-31.4034	 0.057	 0.044	-1.299	 0.080	-2.806	 0.085	15.17	 1.43	13.42	12.73	12.65	 0.01	24.56	 1.32	       	     	     	     	0	 -64.229	 12.339	Gaia DR2 2314463081592010496
      39	000.7532	-18.9952	-0.049	 0.049	-1.106	 0.075	-2.692	 0.057	15.40	 1.56	13.47	12.70	12.62	 0.02	22.82	 0.59	       	     	     	     	0	 -69.639	  1.149	Gaia DR2 2365932629637913856
      40	000.7592	-18.2886	 0.089	 0.078	-1.386	 0.114	-2.786	 0.082	16.27	 1.12	14.85	14.28	14.24	 0.02	21.38	 2.13	       	     	     	     	0	 -69.945	  0.512	Gaia DR2 2414103883318062592
      41	000.8007	-13.5891	-0.073	 0.064	-1.232	 0.100	-2.964	 0.084	15.12	 1.62	13.10	12.40	12.24	 0.03	22.35	 3.43	       	     	     	     	0	 -71.986	 -3.722	Gaia DR2 2420838941794071936
      42	000.8049	-29.0989	 0.023	 0.117	-1.643	 0.168	-3.256	 0.122	16.87	 1.16	15.46	14.79	14.72	 0.01	24.96	 0.31	       	     	     	     	0	 -65.325	 10.298	Gaia DR2 2333009403211501312
      43	000.8303	-20.7019	-0.056	 0.083	-1.292	 0.154	-2.644	 0.093	16.73	 1.27	15.19	14.54	14.38	 0.02	22.73	 0.45	       	     	     	     	0	 -68.977	  2.724	Gaia DR2 2341508593734465024
      44	000.8329	-30.9111	-0.014	 0.034	-1.746	 0.051	-3.476	 0.048	14.65	 1.61	12.67	11.92	11.75	 0.02	24.76	 1.03	       	     	     	     	0	 -64.545	 11.941	Gaia DR2 2314550561485875584
      45	000.8665	-10.4744	 0.031	 0.044	-1.335	 0.080	-3.398	 0.047	15.19	 1.33	13.50	12.88	12.80	 0.04	20.04	 2.66	       	     	     	     	0	 -73.383	 -6.509	Gaia DR2 2422635612513377920
      46	000.9028	-36.7479	 0.050	 0.031	-1.123	 0.054	-2.864	 0.039	14.48	 1.52	12.57	11.92	11.79	 0.01	18.29	 3.86	       	     	     	     	0	 -61.939	 17.206	Gaia DR2 2307793718936096256
      47	000.9227	-22.7097	 0.038	 0.042	-0.993	 0.083	-2.599	 0.045	15.22	 1.54	13.29	12.58	12.47	 0.02	22.73	 3.04	       	     	     	     	0	 -68.195	  4.576	Gaia DR2 2340274220133226880
      48	000.9314	-32.7290	-0.075	 0.102	-1.304	 0.182	-2.817	 0.130	17.16	 1.10	15.69	15.10	15.00	 0.01	18.29	 9.58	       	     	     	     	0	 -63.807	 13.612	Gaia DR2 2313502795624198528
      49	000.9392	-37.2506	 0.009	 0.045	-2.016	 0.109	-3.434	 0.065	15.59	 1.32	13.93	13.34	13.20	 0.01	17.40	 2.54	       	     	     	     	0	 -61.731	 17.668	Gaia DR2 2307726167690367488
      50	000.9701	-19.6797	 0.028	 0.033	-0.922	 0.060	-2.675	 0.036	14.42	 2.03	12.02	11.16	11.01	 0.02	22.43	 2.93	 -56.92	     	     	     	4	 -69.532	  1.856	Gaia DR2 2365836869047099648
      51	000.9858	-10.5041	 0.018	 0.048	-1.485	 0.082	-3.237	 0.056	15.48	 1.27	13.87	13.28	13.23	 0.04	20.04	 2.66	       	     	     	     	0	 -73.477	 -6.432	Gaia DR2 2422631832942159104
      52	001.0382	-05.4996	 0.044	 0.050	-1.146	 0.093	-2.808	 0.045	14.48	 1.59	12.51	11.76	11.60	 0.04	19.85	 2.09	       	     	     	     	0	 -75.713	-10.922	Gaia DR2 2444405942743272192
      53	001.0499	-23.2463	 0.097	 0.036	-2.389	 0.072	-4.343	 0.046	14.30	 1.44	12.46	11.79	11.68	 0.02	22.73	 3.04	       	     	     	     	0	 -68.070	  5.111	Gaia DR2 2339822836250596096
      54	001.0595	-14.9538	-0.049	 0.048	-1.176	 0.082	-2.656	 0.051	15.55	 1.35	13.86	13.24	13.19	 0.03	23.67	 2.04	       	     	     	     	0	 -71.629	 -2.381	Gaia DR2 2417406025973956480
      55	001.0753	-34.0388	 0.051	 0.130	-2.314	 0.218	-3.684	 0.167	17.63	 1.09	16.21	15.46	15.36	 0.01	18.29	 3.86	       	     	     	     	0	 -63.322	 14.841	Gaia DR2 2312804395286880128
      56	001.1075	-04.3271	-0.026	 0.166	-1.702	 0.262	-3.629	 0.135	16.92	 1.11	15.51	14.93	14.83	 0.04	19.85	 2.09	       	     	     	     	0	 -76.298	-11.947	Gaia DR2 2444824783657924224
      57	001.1629	-11.4475	-0.011	 0.072	-1.368	 0.126	-2.768	 0.077	16.36	 1.18	14.84	14.31	14.24	 0.03	21.83	 2.66	       	     	     	     	0	 -73.227	 -5.505	Gaia DR2 2421753769828176256
      58	001.1772	-21.4857	-0.031	 0.045	-1.656	 0.075	-3.339	 0.061	15.69	 1.24	14.13	13.55	13.46	 0.02	22.43	 0.45	       	     	     	     	0	 -68.934	  3.571	Gaia DR2 2340685506201671040
      59	001.1773	-18.2032	 0.073	 0.085	-0.945	 0.118	-2.594	 0.089	16.43	 1.34	14.71	14.08	14.02	 0.03	20.73	 5.45	       	     	     	     	0	 -70.341	  0.605	Gaia DR2 2414119379560101248
      60	001.1860	-02.3248	 0.081	 0.049	-1.866	 0.095	-4.072	 0.058	15.22	 1.39	13.45	12.79	12.68	 0.03	22.18	 1.38	       	     	     	     	0	 -77.271	-13.712	Gaia DR2 2448602606828178816
      61	001.2057	-24.8679	-0.038	 0.040	-1.887	 0.068	-3.437	 0.047	14.89	 1.59	12.92	12.20	12.03	 0.02	23.63	 3.93	       	     	     	     	0	 -67.498	  6.636	Gaia DR2 2336373389100693376
      62	001.2542	-18.0759	-0.052	 0.114	-1.351	 0.171	-3.467	 0.120	17.13	 1.06	15.81	15.21	15.11	 0.03	20.73	 5.45	       	     	     	     	0	 -70.461	  0.521	Gaia DR2 2414122605080012544
      63	001.2829	-16.6146	-0.013	 0.037	-1.385	 0.064	-2.898	 0.042	15.02	 1.73	12.89	12.12	11.96	 0.02	18.59	 3.18	       	     	     	     	0	 -71.112	 -0.788	Gaia DR2 2414936351059262976
      64	001.2960	-28.8428	-0.010	 0.034	-1.655	 0.058	-3.474	 0.040	14.23	 1.82	12.04	11.22	11.00	 0.01	24.76	 0.42	       	     	     	     	0	 -65.831	 10.254	Gaia DR2 2321038642162638208
      65	001.3155	-25.7378	-0.002	 0.049	-1.758	 0.071	-3.117	 0.058	15.36	 1.37	13.63	12.96	12.89	 0.02	23.63	 3.93	       	     	     	     	0	 -67.210	  7.464	Gaia DR2 2336248667545923968
      66	001.3164	-10.3387	 0.088	 0.042	-1.110	 0.097	-3.228	 0.045	15.23	 1.38	13.46	12.83	12.72	 0.04	20.04	 2.66	       	     	     	     	0	 -73.844	 -6.441	Gaia DR2 2428598538948719360
      67	001.3334	-14.6602	-0.052	 0.060	-1.294	 0.097	-2.738	 0.057	15.70	 1.51	13.82	13.06	12.99	 0.03	23.67	 2.04	       	     	     	     	0	 -71.994	 -2.532	Gaia DR2 2417443684247230720
      68	001.3346	-30.3798	 0.034	 0.042	-2.311	 0.057	-4.108	 0.043	14.94	 1.42	13.19	12.50	12.41	 0.02	24.76	 1.03	       	     	     	     	0	 -65.178	 11.651	Gaia DR2 2320605297142470912
      69	001.4467	-04.3652	 0.001	 0.083	-1.145	 0.134	-2.727	 0.071	15.69	 1.45	13.86	13.22	13.10	 0.04	19.85	 2.98	       	     	     	     	0	 -76.591	-11.765	Gaia DR2 2444780601330692992
      70	001.4628	-16.7340	 0.005	 0.060	-1.585	 0.095	-3.108	 0.079	15.76	 1.36	14.08	13.43	13.35	 0.03	18.59	 3.18	       	     	     	     	0	 -71.217	 -0.606	Gaia DR2 2414921851249676928
      71	001.4729	-32.7729	-0.326	 0.191	-1.898	 0.384	-3.720	 0.268	18.02	 1.03	16.71	15.98	15.72	 0.02	18.29	 9.58	       	     	     	     	0	 -64.208	 13.852	Gaia DR2 2313396379218610816
      72	001.4729	-19.4566	-0.020	 0.060	-1.241	 0.094	-2.735	 0.061	15.50	 1.50	13.63	12.91	12.75	 0.02	22.43	 2.51	       	     	     	     	0	 -70.056	  1.857	Gaia DR2 2365750145067037184
      73	001.4828	-19.0239	 0.008	 0.076	-1.308	 0.122	-2.877	 0.086	16.28	 1.23	14.74	14.14	14.03	 0.02	22.43	 2.51	       	     	     	     	0	 -70.250	  1.470	Gaia DR2 2365966989376122880
      74	001.4831	-22.0758	 0.045	 0.056	-1.321	 0.099	-3.312	 0.075	15.81	 1.36	14.18	13.51	13.38	 0.02	22.73	 3.04	       	     	     	     	0	 -68.937	  4.226	Gaia DR2 2340416125853349760
      75	001.4851	-13.3525	 0.016	 0.039	-1.468	 0.067	-2.944	 0.038	14.77	 1.50	12.92	12.18	12.08	 0.03	22.35	 3.43	       	     	     	     	0	 -72.690	 -3.650	Gaia DR2 2417865518755134208
      76	001.5554	-21.4183	-0.017	 0.035	-1.542	 0.050	-3.876	 0.038	14.10	 1.60	12.11	11.37	11.24	 0.02	22.43	 0.45	       	     	     	     	0	 -69.281	  3.661	Gaia DR2 2340659942556383488
      77	001.5605	-27.8082	 0.044	 0.048	-1.910	 0.067	-4.305	 0.057	15.28	 1.41	13.47	12.83	12.71	 0.02	24.76	 1.04	       	     	     	     	0	 -66.501	  9.424	Gaia DR2 2333488962079671808
      78	001.5850	-19.9646	-0.023	 0.160	-1.965	 0.216	-4.037	 0.172	17.69	 1.06	16.44	15.78	15.71	 0.02	20.73	 2.52	       	     	     	     	0	 -69.933	  2.361	Gaia DR2 2365577173848372736
      79	001.5916	-09.6784	-0.033	 0.031	-1.094	 0.054	-2.591	 0.037	14.51	 1.65	12.46	11.74	11.60	 0.04	19.33	 2.21	       	     	     	     	0	 -74.377	 -6.920	Gaia DR2 2428795317170122112
      80	001.6015	-08.2360	 0.051	 0.066	-1.284	 0.119	-3.040	 0.100	15.79	 1.45	13.92	13.22	13.06	 0.03	19.33	 2.21	       	     	     	     	0	 -75.017	 -8.215	Gaia DR2 2429513126464683008
      81	001.6395	-11.3388	-0.004	 0.072	-1.548	 0.140	-3.644	 0.072	16.28	 1.26	14.64	14.05	13.99	 0.03	21.83	 2.66	       	     	     	     	0	 -73.698	 -5.402	Gaia DR2 2421730095968497920
