#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/144/4/refs&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51440004
#Name: J/AJ/144/4
#Title: Properties of dwarf galaxies in the Local Group (McConnachie+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/aj/144/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/144/4	    IVOID of underlying data collection
#INFO	creator=McConnachie A.W.	    First author or institution
#INFO	cites=bibcode:2012AJ....144....4M	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/144/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51440004	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_144_4_refs:
#Name: J/AJ/144/4/refs
#Title: References
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Ref	(A3)	Reference code	[ucd=meta.note]
#Column	BibCode	(A19)	Bibliographic code	[ucd=meta.bib.bibcode]
#Column	Aut	(a38)	Author's name	[ucd=meta.bib.author]
#Column	Com	(a257)	Comments	[ucd=meta.note]
recno	Ref	BibCode	Aut	Com
      32	32 	2009ApJ...699L.125M	Moretti et al.                        	
      33	33 	2008ApJ...675L..73G	Greco et al.                          	
      34	34 	2008ApJ...686L..83B	Belokurov et al.                      	
      35	35 	2010ApJ...712L.103B	Belokurov et al.                      	
      36	36 	2008ApJ...672L..13M	Martin et al.                         	
      37	37 	2005MNRAS.360..185B	Bellazzini et al.                     	
      38	38 	2004MNRAS.354..708B	Bellazzini et al.                     	
      39	39 	2008ApJ...675..201M	Mateo et al.                          	
      40	40 	2005MNRAS.356..979M	McConnachie et al.                    	
      41	41 	1991rc3..book.....D	de Vaucouleurs et al.                 	
      42	42 	2010ApJ...708..817F	Fiorentino et al.                     	
      43	43 	1999ApJS..121..287H	Huchra et al.                         	
      44	44 	2010MNRAS.407.2411C	Collins et al.                        	
      45	45 	2006AJ....131..332G	Geha et al.                           	
      46	46 	2008ApJ...676L..17I	Irwin et al.                          	
      47	47 	2010ApJ...711..671K	Kalirai et al.                        	
      48	48 	2011ApJ...732...76R	Richardson et al.                     	
      49	49 	2000ApJ...540L...9E	Evans et al.                          	
      50	50 	2007ApJ...659L..21Z	Zucker et al.                         	
      51	51 	2008ApJ...688.1009M	McConnachie et al.                    	
      52	52 	2010ApJ...711..361G	Geha et al.                           	
      53	53 	2009ApJ...705..758M	Martin et al.                         	
      54	54 	2007ApJ...670L...9M	Majewski et al.                       	
      55	55 	2007ApJ...671.1591I	Ibata et al.                          	
      56	56 	2009MNRAS.400.1472L	Letarte et al.                        	
      57	57 	2011ApJ...742L..15B	Bell et al.                           	
      58	58 	1997ApJ...479..244C	Corbelli & Schneider                  	
      59	59 	2006AJ....132..729T	Tully et al.                          	
      60	60 	1997ApJ...490..710Y	Young & Lo                            	
      61	61 	2011ApJ...742L..14S	Slater et al.                         	
      62	62 	2010ApJ...712.1259B	Bernard et al.                        	
      63	63 	1996ApJS..105..269H	Hoffman et al.                        	
      64	64 	2009ApJ...705..704H	Hidalgo et al.                        	
      65	65 	2002MNRAS.336..643I	Irwin & Tolstoy                       	
      66	66 	2006ApJ...647.1056G	Gieren et al.                         	
      67	67 	2004AJ....128...16K	Koribalski et al.                     	
      68	68 	2007MNRAS.375.1364L	Lewis et al.                          	
      69	69 	2003ApJ...592..111Y	Young et al.                          	
      70	70 	2007ApJ...656L..13I	Irwin et al.                          	
      71	71 	2009ApJ...699....1L	Leaman et al.                         	
      72	72 	2002AJ....123.3154D	Dolphin et al.                        	
      73	73 	2007ApJ...658L..95B	Brown et al.                          	
      74	74 	2009ApJ...699.1742B	Bernard et al.                        	
      75	75 	2009A&A...499..121F	Fraternali et al.                     	
      76	76 	2002A&A...384..393M	Momany et al.                         	
      77	77 	2011AJ....141..106J	Jacobs et al.                         	
      78	78 	2008MNRAS.387L..45K	Kopylov et al.                        	
      79	79 	2006ApJ...648..375S	Soszynski et al.                      	
      80	80 	2001AJ....122..825B	Barnes & de Blok                      	
      81	81 	2005ApJ...623..148S	Silva et al.                          	
      82	82 	2005MNRAS.359L..53B	Begum et al.                          	
      83	83 	2003A&A...401..483H	Huchtmeier et al.                     	
      84	84 	2008ApJ...672..266G	Gieren et al.                         	
      85	85 	1998AJ....116.2873J	Jerjen et al.                         	
      86	86 	1998AJ....116....1D	da Costa et al.                       	
      87	87 	2006MNRAS.365.1220B	Begum et al.                          	
      88	88 	2009ApJS..183...67D	Dalcanton et al.                      	
      89	89 	2008MNRAS.386.1667B	Begum et al.                          	
      90	90 	2002A&A...389..812K	Karachentsev et al.                   	
      91	91 	2006AJ....131.1361K	Karachentsev et al.                   	
      92	92 	1998AJ....115...62H	Haynes et al.                         	
      93	93 	1995ApJS...99..391H	Huchra et al.                         	
      94	101	2006MNRAS.366..865B	Bellazzini et al.                     	
      95	102	2007AJ....133.2274B	Butler et al.                         	
      96	103	1998ARA&A..36..435M	Mateo et al.                          	
      97	104	2003ApJ...599.1082M	Majewski et al.                       	
      98	105	2008ApJ...684.1075M	Martin et al.                         	
      99	106	2009MNRAS.397.1748B	Belokurov et al.                      	
     100	107	2009MNRAS.397L..26C	Correnti et al.                       	
     101	108	1991rc3..book.....D	de Vaucouleurs et al.                 	
     102	109	1995MNRAS.277.1354I	Irwin & Hatzidimitriou                	
     103	110	2010ApJ...710.1664D	de Jong et al.                        	
     104	111	2010ApJ...712L.103B	Belokurov et al.                      	
     105	112	2002AJ....124..310C	Choi et al.                           	
     106	114	                   	Collins                               	2011, PhD thesis, University of Cambridge, Institute of Astronomy
     107	115	2011ApJ...729...23B	Brasseur et al.                       	
     108	116	2006MNRAS.365.1263M	McConnachie & Irwin                   	
     109	117	2011ApJ...732...76R	Richardson et al.                     	
     110	118	2008ApJ...688.1009M	McConnachie et al.                    	
     111	119	2009ApJ...705..758M	Martin et al.                         	
     112	120	2007ApJ...670L...9M	Majewski et al.                       	
     113	121	2007ApJ...671.1591I	Ibata et al.                          	
     114	122	2011ApJ...742L..15B	Bell et al.                           	
     115	123	2010ApJ...722L.244S	Sanna et al.                          	
     116	124	1995AJ....110.1129L	Lee                                   	
     117	125	2011ApJ...742L..14S	Slater et al.                         	
     118	126	1991AJ....102..130V	van de Rydt et al.                    	
     119	127	1999AJ....118..862M	Martinez-Delgado et al.               	
     120	128	2007ApJ...655..863D	Dale et al.                           	
     121	129	2008ApJ...680.1112D	de Jong et al.                        	
     122	130	2004ApJ...611L..93V	Vansevicius et al.                    	
     123	131	2006MNRAS.373..715M	McConnachie et al.                    	
     124	132	1996A&A...315...40S	Saviane et al.                        	
     125	133	2000AJ....119..777L	Lee & Kim                             	
     126	134	2011A&A...527A..58B	Bellazzini et al.                     	
     127	135	2008AJ....136.2332H	Hidalgo et al.                        	
     128	136	2008MNRAS.384.1544S	Sharina et al.                        	
     129	137	1997AJ....114.1447A	Aparicio et al.                       	
     130	138	2010ApJ...716..792F	Fingerhut et al.                      	
     131	139	2001A&A...379..407K	Karachentsev et al.                   	
     132	140	1996MNRAS.278.1025L	Loveday                               	
     133	141	1999AJ....118..817L	Lee & Byun                            	
     134	142	1999A&AS..139..491M	Makarova                              	
     135	143	2005AJ....130.1593V	Vaduvescu et al.                      	
     136	144	1997A&AS..124..559K	Karachentsev et al.                   	
     137	145	2000AJ....119.2183A	Aparicio & Tikhonov                   	
     138	201	2005MNRAS.362..906M	Martin et al.                         	
     139	202	1994Natur.370..194I	Ibata et al.                          	
     140	203	1997AJ....113..634I	Ibata et al.                          	
     141	204	2011ApJ...727L...2P	Penarrubia et al.                     	
     142	205	2009ApJ...696..385G	Grcevich & Putman                     	
     143	206	2011ApJ...733...46S	Simon et al.                          	
     144	207	2007ApJ...670..313S	Simon & Geha                          	
     145	208	2009ApJ...690..453K	Koch et al.                           	
     146	209	2009MNRAS.397.1748B	Belokurov et al.                      	
     147	210	2007MNRAS.380..281M	Martin et al.                         	
     148	211	2009ApJ...702L...9C	Carlin et al.                         	
     149	212	1998ApJ...503..674K	Kim et al.                            	
     150	213	2002AJ....124.2639V	van der Marel et al.                  	
     151	214	2005A&A...432...45B	Bruns et al.                          	
     152	215	2006AJ....131.2514H	Harris & Zaritsky                     	
     153	216	2004ApJ...604..176S	Stanimirovic et al.                   	
     154	217	2011ApJ...736..146K	Koposov et al.                        	
     155	218	2007ApJ...667L..53W	Walker et al.                         	
     156	219	2004ApJ...611L..21W	Wilkinson et al.                      	
     157	220	2009ApJ...704.1274W	Walker et al.                         	
     158	221	2009AJ....137.3100W	Walker et al.                         	
     159	222	2008ApJ...688L..75W	Walker et al.                         	
     160	223	1998AJ....116.1690C	Carignan et al.                       	
     161	224	2009A&A...506.1147A	Aden et al.                           	
     162	225	2006AJ....131.2913B	Bouchard et al.                       	
     163	226	2008ApJ...686L..83B	Belokurov et al.                      	
     164	227	2009ApJ...694L.144W	Walker et al.                         	
     165	228	2008ApJ...675..201M	Mateo et al.                          	
     166	229	1996ApJ...464L.123B	Bender et al.                         	
     167	231	2006AJ....131..332G	Geha et al.                           	
     168	232	1997ApJ...476..127Y	Young & Lo                            	
     169	233	2010ApJ...711..671K	Kalirai et al.                        	
     170	234	2000ApJ...541..675B	Blitz & Robishaw                      	
     171	235	2011MNRAS.417.1170C	Collins et al.                        	
     172	236	2010ApJ...711..361G	Geha et al.                           	
     173	237	2009MNRAS.400.1472L	Letarte et al.                        	
     174	238	1989A&A...214...33S	Shostak & Skillman                    	
     175	239	1998AJ....116.2363W	Wilcots & Miller                      	
     176	240	1999PASP..111..306C	Cook et al.                           	
     177	241	1997ApJ...490..710Y	Young & Lo                            	
     178	242	1989AJ.....98.1274L	Lake & Skillman                       	
     179	243	2006A&A...448..123S	Silich et al.                         	
     180	244	2007ApJ...659..331Y	Young et al.                          	
     181	245	2004AJ....128...16K	Koribalski et al.                     	
     182	246	2003MNRAS.340...12W	Weldrake et al.                       	
     183	247	2007MNRAS.375.1364L	Lewis et al.                          	
     184	248	2003ApJ...592..111Y	Young et al.                          	
     185	249	1996ApJS..105..269H	Hoffman et al.                        	
     186	250	2008MNRAS.384..535R	Ryan-Weber et al.                     	
     187	251	2007AJ....133.2242K	Kepley et al.                         	
     188	252	2009ApJ...699....1L	Leaman et al.                         	
     189	253	2007ApJ...658L..95B	Brown et al.                          	
     190	254	1996ApJ...462..203Y	Young & Lo                            	
     191	255	2009A&A...499..121F	Fraternali et al.                     	
     192	256	2011A&A...527A..58B	Bellazzini et al.                     	
     193	257	1990AJ....100..648J	Jobin & Carignan                      	
     194	258	2001AJ....122..825B	Barnes & de Blok                      	
     195	259	2001AJ....121.1952B	Blais-Ouellette et al.                	
     196	260	2008MNRAS.388..500E	Epinat et al.                         	
     197	261	1988A&A...198...33S	Skillman et al.                       	
     198	262	2005MNRAS.359L..53B	Begum et al.                          	
     199	263	2005AJ....130.2058B	Bouchard et al.                       	
     200	264	1991AJ....101..447P	Puche et al.                          	
     201	265	2011MNRAS.410.2217W	Westmeier et al.                      	
     202	266	2011MNRAS.416..509H	Hlavacek-Larrondo et al.              	
     203	267	2008MNRAS.386.1667B	Begum et al.                          	
     204	268	1982MNRAS.200..325L	Longmore et al.                       	
     205	269	2006MNRAS.365.1220B	Begum et al.                          	
     206	270	2008MNRAS.386..138B	Begum et al.                          	
     207	271	2002A&A...389...29S	Stil & Israel                         	
     208	272	2002A&A...389...42S	Stil & Israel                         	
     209	273	2005ApJ...625..130S	Stil et al.                           	
     210	274	2001A&A...366..428K	Karachentsev et al.                   	
     211	275	2000AJ....120.2975S	Simpson & Gottesman                   	
     212	276	1986A&AS...63..323H	Huchtmeier & Richter                  	
     213	300	2004MNRAS.348...12M	Martin et al.                         	
     214	301	1994Natur.370..194I	Ibata et al.                          	
     215	302	2007ApJ...654..897B	Belokurov et al.                      	
     216	303	2006ApJ...650L..41Z	Zucker et al.                         	
     217	304	2007ApJ...662L..83W	Walsh et al.                          	
     218	305	2009MNRAS.397.1748B	Belokurov et al.                      	Cat. J/MNRAS/397/1748
     219	305	2005AJ....129.2692W	Willman et al.                        	
     220	307	2009ApJ...693.1118G	Grillmair                             	
     221	308	2006ApJ...647L.111B	Belokurov et al.                      	
     222	309	1955PASP...67...27W	Wilson                                	
     223	310	1938BHarO.908....1S	Shapley                               	
     224	311	1990MNRAS.244P..16I	Irwin et al.                          	
     225	312	2005ApJ...626L..85W	Willman et al.                        	
     226	313	1977MNRAS.180P..81C	Cannon et al.                         	
     227	314	1938Natur.142..715S	Shapley                               	
     228	315	2006ApJ...653L..29S	Sakamoto & Hasegawa                   	
     229	316	2008ApJ...686L..83B	Belokurov et al.                      	
     230	317	2010ApJ...712L.103B	Belokurov et al.                      	
     231	318	2006ApJ...643L.103Z	Zucker et al.                         	
     232	319	1950PASP...62..118H	Harrington & Wilson                   	
     233	320	                   	Legentil                              	1755, Sav. etrangers, Vol. II (Paris: Academie Royale des Sciences), 137
     234	321	2004ApJ...612L.121Z	Zucker et al.                         	
     235	322	                   	Messier                               	1798, Connaissance des Temps, 1801, 461
     236	323	2008ApJ...676L..17I	Irwin et al.                          	
     237	324	1972ApJ...171L..31V	van den Bergh                         	
     238	325	2011ApJ...732...76R	Richardson et al.                     	
     239	326	2006MNRAS.371.1983M	Martin et al.                         	
     240	327	1998AJ....116.2287A	Armandroff et al.                     	
     241	328	2007ApJ...659L..21Z	Zucker et al.                         	
     242	329	2008ApJ...688.1009M	McConnachie et al.                    	
     243	330	                   	Herschel                              	1833, Phil. Trans. R. Soc. I, 123, 359
     244	331	2009ApJ...705..758M	Martin et al.                         	
     245	332	2007ApJ...670L...9M	Majewski et al.                       	
     246	333	2007ApJ...671.1591I	Ibata et al.                          	
     247	334	                   	Herschel                              	1789, Phil. Trans. R. Soc. I, 79, 212
     248	335	2011ApJ...742L..15B	Bell et al.                           	
     249	336	1999A&A...341..355K	Karachentsev & Karachentseva          	
     250	337	1888AN....120...33S	Swift                                 	
     251	338	1976SoSAO..18...42K	Karachentseva                         	
     252	339	1978IAUC.3305....2K	Kowal et al.                          	
     253	340	1999AJ....118.1220A	Armandroff et al.                     	
     254	341	2011ApJ...742L..14S	Slater et al.                         	
     255	342	                   	Wolf                                  	1906, MNRAS, 67, 91
     256	343	1976A&A....49..129S	Schuster & West                       	Originally thought to be a globular cluster. Canterna & Flower (1977ApJ...212L..57C) subsequently identified its galactic nature.
     257	344	1884AN....110..125B	Barnard                               	
     258	345	1999AJ....118.2767W	Whiting et al.                        	
     259	346	1950MeLu2.128....1H	Holmberg                              	
     260	347	2007ApJ...656L..13I	Irwin et al.                          	
     261	348	2010MNRAS.406.1220W	Wolf                                  	
     262	349	1926MNRAS..86..636M	Melotte                               	Including K. E. Lundmark
     263	350	1942PhRv...61..489Z	Zwicky                                	
     264	351	1959PDDO....2..147V	van den Bergh                         	
     265	352	1990IAUC.5139....2L	Lavery                                	This author first suggested that this object is a member of the Local Group, but it had previously been cataloged by Corwin et al. (1985sgcc.book.....C).
     266	353	1977A&A....61L..31C	Cesarsky et al.                       	
     267	354	1978MNRAS.183P..97L	Longmore et al.                       	
     268	355	2008MNRAS.387L..45K	Kopylov et al.                        	These authors calculate a new distance to UGC 4879and show that it is on the periphery of the Local Group. While included in Vorontsov-Velyaminov (1959VV....C......0V), earlier references to this object have not been found.
     269	356	1847QB3.H52........	Herschel                              	
     270	357	1997AJ....114..996W	Whiting et al.                        	These authors rediscovered this galaxy and showed that it was in the periphery of the Local Group, but it had earlier been cataloged by Corwin et al. (1985sgcc.book.....C), Feitzinger & Galinski (1985A&AS...61..503F), and Arp & Madore (1987cspg.book.....A).
     271	358	2000AJ....119.2686H	Henning et al.                        	HIZSS 3 resolved into two sources by Begum et al. (2005MNRAS.359L..53B). Position corresponds to the "HIZSS3 system".
     272	359	2001A&A...379..407K	Karachentsev et al.                   	
     273	360	1982euse.book.....L	Lauberts                              	Cat. VII/34C
     274	361	1982MNRAS.200..325L	Longmore et al.                       	
     275	362	1828RSPT..118..113D	Dunlop                                	
     276	363	1899ApJ.....9..173P	Pickering                             	D. Stewart. Reported in Pickering (1899ApJ.....9..173P)
     277	364	2001A&A...366..428K	Karachentsev et al.                   	Cat. J/A+A/366/428
     278	365	1998A&AS..127..409K	Karachentseva & Karachentsev          	Cat. J/A+AS/127/409. See also Karachentseva et al. (1999A&AS..135..221K)
     279	366	1956AJ.....61...69R	Reaves                                	Discovered on inspection of photographic plates from a survey discussed in Shane (1947PASP...59..182S). C. D. Shane speculated that some of the nebulae that were visible could be Local Group dwarf galaxies.
     280	367	1962TrSht..32..207V	Vorontsov-Vel'Yaminov & Krasnogorskaya	
     281	368	1908AnHar..60..147P	Pickering                             	D. Stewart. Reported in Pickering (1908AnHar..60..147P)
     282	369	1974UppOR...5....0N	Nilson                                	
     283	370	1902MNRAS..62..468L	Lunt                                  	R. Innes. Reported in Lunt (1902MNRAS..62..468L)
     284	400	2004MNRAS.354.1263B	Bellazzini et al.                     	
     285	401	2007ApJ...670..346C	Chou et al.                           	Cat. J/ApJ/670/346
     286	402	2010ApJ...723.1632N	Norris et al.                         	Cat. J/ApJ/723/1632
     287	403	2008ApJ...685L..43K	Kirby et al.                          	
     288	404	2011ApJ...727...78K	Kirby et al.                          	
     289	405	2009ApJ...690..453K	Koch et al.                           	
     290	406	2011AJ....142..128W	Willman et al.                        	
     291	407	2009ApJ...702L...9C	Carlin et al.                         	
     292	408	2008AJ....135..836C	Carrera et al.                        	Cat. J/AJ/135/836
     293	409	2010AJ....139.1168P	Parisi et al.                         	Cat. J/AJ/139/1168
     294	410	2009ApJ...705..328K	Kirby et al.                          	Cat. J/ApJ/705/328
     295	411	2006AJ....131..895K	Koch et al.                           	Cat. J/AJ/131/895
     296	412	2010ApJ...710.1664D	de Jong et al.                        	Cat. J/ApJ/710/1664
     297	413	1996AJ....112.1975G	Grillmair et al.                      	
     298	415	2005MNRAS.356..979M	McConnachie et al.                    	
     299	416	2011ApJ...729...23B	Brasseur et al.                       	
     300	417	2010ApJ...711..671K	Kalirai et al.                        	
     301	419	2010ApJ...711..361G	Geha et al.                           	Cat. J/ApJ/711/361
     302	420	2009MNRAS.400.1472L	Letarte et al.                        	
     303	421	2009AstL...35..748T	Tikhonov & Galazutdinova              	Cat. J/PAZh/35/829
     304	422	1995AJ....110.1129L	Lee                                   	
     305	423	2010ApJ...712.1259B	Bernard et al.                        	Cat. J/ApJ/712/1259
     306	424	1999AJ....118..862M	Martinez-Delgado et al.               	
     307	425	2001MNRAS.327..918T	Tolstoy et al.                        	Cat. J/MNRAS/327/918
     308	426	2007MNRAS.375.1364L	Lewis et al.                          	
     309	427	2009ApJ...699....1L	Leaman et al.                         	
     310	428	2007ApJ...659L..17C	Cole et al.                           	
     311	429	2006MNRAS.373..715M	McConnachie et al.                    	
     312	430	2009A&A...499..121F	Fraternali et al.                     	
     313	431	2002A&A...384..393M	Momany et al.                         	
     314	432	2011A&A...527A..58B	Bellazzini et al.                     	
     315	433	2008AJ....136.2332H	Hidalgo et al.                        	
     316	434	1997AJ....114.1447A	Aparicio et al.                       	
     317	435	1996ApJ...461..713S	Sakai et al.                          	
     318	436	2008MNRAS.384.1544S	Sharina et al.                        	Cat. J/MNRAS/384/1544
     319	437	2000AJ....119.2183A	Aparicio & Tikhonov                   	

