#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:58 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/418/244&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74180244
#Name: J/MNRAS/418/244
#Title: SDSS-based Polar Ring Catalogue (Moiseev+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/418/244	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/418/244	    IVOID of underlying data collection
#INFO	creator=Moiseev A.V.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.418..244M	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/418/244	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74180244	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_418_244_table1:
#Name: J/MNRAS/418/244/table1
#Title: Catalogue of galaxies with polar rings (PRG) candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Type	(A1)	[BGRP] Type of candidate: B=Best, G=Good, R=Related ojbect, P=possible face-on ring	[ucd=meta.code]
#Column	Seq	(I3)	SPRC (SDSS-based Polar Ring Catalogue) sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	rmag	(F5.2)	SDSS r magnitude	[ucd=phot.mag;em.opt.R]
#Column	u_rmag	(A1)	Uncertainty flag on rmag	[ucd=meta.code.error]
#Column	cz	(I5)	? Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	OName	(a18)	Other name(s)	[ucd=meta.id;meta.main]
#Column	Sloan	(a5)	Display the SDSS data for this galaxy	[ucd=meta.ref.url]
#Column	Zoo	(A3)	Display the Morphology as classified in the Galaxy Zoo (Lintott et al. 2011, Cat. J/MNRAS/410/166)	[ucd=meta.ref.url]
#Column	DR7	(A3)	Details from the SDSS-DR7, Cat. II/294	[ucd=meta.ref.url]
recno	Type	Seq	RAJ2000	DEJ2000	rmag	u_rmag	cz	OName	Sloan	Zoo	DR7
      65	B	 65	16 16 00.16	+24 21 05.6	16.28	 	20038	                  	Sloan	Zoo	DR7
      66	B	 66	16 31 58.73	+48 17 22.6	15.91	 	26207	                  	Sloan	Zoo	DR7
      67	B	 67	17 17 44.13	+40 41 52.0	14.25	 	 8325	CGCG 225-097      	Sloan	Zoo	DR7
      68	B	 68	17 50 57.21	+51 25 19.2	16.46	 	     	                  	Sloan	Zoo	DR7
      69	B	 69	20 48 05.67	+00 04 07.8	15.36	 	 7396	II Zw 092         	Sloan	Zoo	DR7
      70	B	 70	23 42 33.22	+13 33 25.6	17.39	 	20595	                  	Sloan	Zoo	DR7
      71	G	 71	00 05 20.62	+14 34 11.1	17.23	 	12459	                  	Sloan	Zoo	DR7
      72	G	 72	00 13 03.07	+14 24 35.9	13.85	 	 2031	UGC 0119          	Sloan	Zoo	DR7
      73	G	 73	00 32 09.80	+01 08 36.6	15.80	 	17714	                  	Sloan	Zoo	DR7
      74	G	 74	00 48 12.18	-00 12 55.6	15.87	 	16925	                  	Sloan	Zoo	DR7
      75	G	 75	01 07 00.15	+28 45 33.8	15.41	 	     	                  	Sloan	Zoo	DR7
      76	G	 76	01 21 29.32	+00 37 28.7	16.83	 	13058	                  	Sloan	Zoo	DR7
      77	G	 77	01 58 58.39	-00 29 23.3	17.47	 	24318	                  	Sloan	Zoo	DR7
      78	G	 78	07 32 08.78	+27 27 41.2	17.36	 	     	                  	Sloan	Zoo	DR7
      79	G	 79	07 33 21.06	+20 21 12.4	16.94	 	     	                  	Sloan	Zoo	DR7
      80	G	 80	07 47 15.86	+43 35 04.7	16.70	 	32568	                  	Sloan	Zoo	DR7
      81	G	 81	07 48 20.90	+36 04 34.1	16.03	 	41043	                  	Sloan	Zoo	DR7
      82	G	 82	07 52 41.21	+19 43 20.2	16.91	 	27861	                  	Sloan	Zoo	DR7
      83	G	 83	08 00 23.93	+17 31 26.9	15.76	 	 2061	                  	Sloan	Zoo	DR7
      84	G	 84	08 11 17.51	+29 30 32.2	13.91	 	 5970	CGCG 149-001      	Sloan	Zoo	DR7
      85	G	 85	08 14 07.20	+25 14 48.5	16.00	 	 7445	KUG 0811+253      	Sloan	Zoo	DR7
      86	G	 86	08 23 23.98	+30 53 18.3	17.45	 	48506	                  	Sloan	Zoo	DR7
      87	G	 87	08 42 00.51	+13 12 29.7	17.48	 	36845	                  	Sloan	Zoo	DR7
      88	G	 88	08 56 04.40	+34 42 34.9	17.68	 	26498	                  	Sloan	Zoo	DR7
      89	G	 89	09 07 56.24	+28 26 33.7	17.83	 	50245	                  	Sloan	Zoo	DR7
      90	G	 90	09 43 02.33	-00 48 50.0	15.94	 	20270	                  	Sloan	Zoo	DR7
      91	G	 91	09 57 31.05	+35 33 22.8	17.46	 	63206	                  	Sloan	Zoo	DR7
      92	G	 92	09 58 44.65	+12 59 20.9	16.75	 	57802	                  	Sloan	Zoo	DR7
      93	G	 93	09 59 05.51	+02 38 09.9	15.02	 	23743	                  	Sloan	Zoo	DR7
      94	G	 94	09 59 39.90	+11 24 22.3	17.81	 	23908	                  	Sloan	Zoo	DR7
      95	G	 95	10 05 57.71	+64 40 54.6	17.53	 	17211	                  	Sloan	Zoo	DR7
      96	G	 96	10 06 13.91	+63 13 21.9	17.20	 	34875	                  	Sloan	Zoo	DR7
      97	G	 97	10 17 30.50	+21 21 01.9	16.96	 	 6291	                  	Sloan	Zoo	DR7
      98	G	 98	10 18 00.74	+01 21 16.3	17.28	 	37897	                  	Sloan	Zoo	DR7
      99	G	 99	10 34 35.22	+44 46 23.0	17.40	 	50688	                  	Sloan	Zoo	DR7
     100	G	100	10 35 42.04	+26 07 33.0	14.39	 	 1391	CGCG 124-041      	Sloan	Zoo	DR7
     101	G	101	10 36 02.78	+13 10 27.7	17.55	 	     	                  	Sloan	Zoo	DR7
     102	G	102	10 41 09.76	+06 49 12.2	14.53	 	 9998	VIII Zw 102       	Sloan	Zoo	DR7
     103	G	103	10 43 31.49	+32 15 05.1	17.35	 	24904	                  	Sloan	Zoo	DR7
     104	G	104	10 45 22.03	+55 57 40.0	14.05	 	  944	NGC 3353          	Sloan	Zoo	DR7
     105	G	105	10 48 44.73	+38 46 36.2	16.63	 	 7462	                  	Sloan	Zoo	DR7
     106	G	106	10 52 22.48	+18 07 11.1	16.80	 	39593	                  	Sloan	Zoo	DR7
     107	G	107	10 54 24.16	+44 30 02.0	16.89	 	 2419	                  	Sloan	Zoo	DR7
     108	G	108	10 55 00.95	+46 30 48.5	16.60	 	16159	                  	Sloan	Zoo	DR7
     109	G	109	11 08 54.49	+02 40 38.6	14.69	 	10756	VIII Zw 126       	Sloan	Zoo	DR7
     110	G	110	11 09 29.00	-00 00 08.2	16.62	 	 7914	2dFGRS N368Z105   	Sloan	Zoo	DR7
     111	G	111	11 17 21.04	+31 14 48.5	15.44	 	 2126	KUG 1114+315B     	Sloan	Zoo	DR7
     112	G	112	11 19 41.61	+41 01 40.4	17.64	 	21383	                  	Sloan	Zoo	DR7
     113	G	113	11 35 13.68	+65 01 41.7	18.35	 	44831	                  	Sloan	Zoo	DR7
     114	G	114	11 35 14.67	+59 49 09.5	17.41	 	33255	                  	Sloan	Zoo	DR7
     115	G	115	11 43 46.46	+33 42 16.7	17.34	 	 9381	                  	Sloan	Zoo	DR7
     116	G	116	11 45 12.95	+35 05 10.4	16.36	 	20189	                  	Sloan	Zoo	DR7
     117	G	117	11 51 36.04	+16 39 51.4	15.93	 	 4044	KUG 1149+169      	Sloan	Zoo	DR7
     118	G	118	11 52 07.90	+38 01 57.6	17.49	 	61622	                  	Sloan	Zoo	DR7
     119	G	119	11 52 44.10	+55 43 53.5	16.36	 	18126	                  	Sloan	Zoo	DR7
     120	G	120	12 03 46.23	+10 27 43.7	17.13	 	20091	                  	Sloan	Zoo	DR7
     121	G	121	12 15 03.35	+67 02 27.8	17.46	 	39752	                  	Sloan	Zoo	DR7
     122	G	122	12 18 11.16	+44 09 30.5	17.69	 	 7446	UGC 07340 NED01   	Sloan	Zoo	DR7
     123	G	123	12 46 56.39	+51 36 49.3	13.74	 	  501	UGC 07950         	Sloan	Zoo	DR7
     124	G	124	12 50 20.69	+37 56 56.2	15.19	 	10531	IC 3828           	Sloan	Zoo	DR7
     125	G	125	12 57 44.58	+02 41 30.2	19.33	 	  926	UGC 08074         	Sloan	Zoo	DR7
     126	G	126	12 58 18.63	+27 18 38.9	15.98	 	 7446	KUG 1255+275      	Sloan	Zoo	DR7
     127	G	127	12 58 27.84	+28 58 26.8	15.00	 	 7139	                  	Sloan	Zoo	DR7
     128	G	128	13 18 43.75	+47 43 09.9	16.83	 	18555	                  	Sloan	Zoo	DR7
     129	G	129	13 23 58.77	-01 45 52.7	17.80	 	48476	                  	Sloan	Zoo	DR7
     130	G	130	13 33 46.77	+31 34 59.5	17.64	 	18679	                  	Sloan	Zoo	DR7
     131	G	131	13 34 43.26	+13 02 02.9	15.31	 	22073	                  	Sloan	Zoo	DR7
     132	G	132	13 45 31.77	+02 58 59.3	16.24	 	23292	                  	Sloan	Zoo	DR7
     133	G	133	13 47 11.08	+32 53 08.1	16.56	 	30776	                  	Sloan	Zoo	DR7
     134	G	134	13 50 59.06	+33 43 15.3	16.09	 	27981	                  	Sloan	Zoo	DR7
     135	G	135	13 57 25.69	+47 27 07.9	16.48	 	39584	                  	Sloan	Zoo	DR7
     136	G	136	14 04 54.74	+12 42 16.9	14.59	 	 4183	UGC 09002 = VV328 	Sloan	Zoo	DR7
     137	G	137	14 09 21.48	+21 48 02.3	17.62	 	35306	                  	Sloan	Zoo	DR7
     138	G	138	14 10 46.45	+11 51 29.9	15.46	 	26663	                  	Sloan	Zoo	DR7
     139	G	139	14 11 18.56	+07 23 52.8	16.74	 	31072	                  	Sloan	Zoo	DR7
     140	G	140	14 11 42.58	+18 40 03.8	17.59	 	23911	                  	Sloan	Zoo	DR7
     141	G	141	14 20 44.19	+50 00 40.1	16.97	 	21141	                  	Sloan	Zoo	DR7
     142	G	142	14 22 25.37	+21 08 35.5	17.80	 	31076	                  	Sloan	Zoo	DR7
     143	G	143	14 24 43.86	+53 51 50.6	16.11	 	     	                  	Sloan	Zoo	DR7
     144	G	144	14 25 03.87	+27 29 10.4	16.83	 	42238	                  	Sloan	Zoo	DR7
     145	G	145	14 28 16.47	+00 00 08.3	16.99	 	15915	                  	Sloan	Zoo	DR7
     146	G	146	14 32 31.17	+15 29 43.8	16.24	 	18161	                  	Sloan	Zoo	DR7
     147	G	147	14 41 19.18	+07 47 34.8	15.71	 	 1770	KUG 1438+080      	Sloan	Zoo	DR7
     148	G	148	14 41 32.86	+23 42 55.2	17.00	 	11202	                  	Sloan	Zoo	DR7
     149	G	149	14 46 45.71	+58 30 50.8	16.70	 	24013	                  	Sloan	Zoo	DR7
     150	G	150	14 48 17.26	+60 18 34.3	15.93	 	15205	                  	Sloan	Zoo	DR7
     151	G	151	14 51 26.30	+18 01 38.5	17.17	 	     	                  	Sloan	Zoo	DR7
     152	G	152	14 53 16.45	+16 32 45.1	16.77	 	13235	                  	Sloan	Zoo	DR7
     153	G	153	14 54 02.24	+36 17 41.4	17.89	 	55856	                  	Sloan	Zoo	DR7
     154	G	154	14 57 10.71	+27 56 30.6	16.67	 	17963	                  	Sloan	Zoo	DR7
     155	G	155	15 06 39.12	+27 00 24.2	16.82	 	17525	                  	Sloan	Zoo	DR7
     156	G	156	15 16 21.58	+08 06 04.7	15.07	 	 9275	CGCG 049-084      	Sloan	Zoo	DR7
     157	G	157	15 24 46.34	+33 48 26.2	16.20	 	24675	                  	Sloan	Zoo	DR7
     158	G	158	15 25 28.59	+02 46 44.2	17.03	 	34733	                  	Sloan	Zoo	DR7
     159	G	159	15 30 04.63	+14 57 55.8	17.35	 	45142	                  	Sloan	Zoo	DR7
     160	G	160	15 33 22.82	+33 29 33.4	16.66	 	23050	                  	Sloan	Zoo	DR7
     161	G	161	15 36 19.28	+33 46 27.7	17.19	 	22364	                  	Sloan	Zoo	DR7
     162	G	162	15 37 03.02	+59 06 58.5	17.35	 	27065	                  	Sloan	Zoo	DR7
     163	G	163	15 44 42.15	+11 21 59.9	16.89	 	14333	                  	Sloan	Zoo	DR7
     164	G	164	15 47 07.11	+34 25 36.1	16.95	 	 1438	                  	Sloan	Zoo	DR7
     165	G	165	15 49 53.86	+64 14 03.7	17.40	 	     	                  	Sloan	Zoo	DR7
     166	G	166	15 52 36.10	+33 11 37.5	17.40	 	22519	                  	Sloan	Zoo	DR7
     167	G	167	15 56 42.98	+48 02 53.1	14.52	 	 5492	                  	Sloan	Zoo	DR7
     168	G	168	15 57 14.20	+26 28 54.3	16.38	 	21630	                  	Sloan	Zoo	DR7
     169	G	169	16 00 13.82	+17 50 53.8	16.43	 	 2049	                  	Sloan	Zoo	DR7
     170	G	170	16 02 09.77	+06 38 51.4	16.26	 	22026	                  	Sloan	Zoo	DR7
     171	G	171	16 05 14.60	+41 11 18.3	16.36	 	 2123	                  	Sloan	Zoo	DR7
     172	G	172	16 18 11.02	+56 44 09.0	16.65	 	     	                  	Sloan	Zoo	DR7
     173	G	173	16 21 28.25	+28 38 24.8	14.23	 	  890	UGC 10351         	Sloan	Zoo	DR7
     174	G	174	16 22 02.63	+48 01 38.4	16.52	 	 2448	                  	Sloan	Zoo	DR7
     175	G	175	16 27 30.74	+49 06 00.8	17.12	 	57192	                  	Sloan	Zoo	DR7
     176	G	176	16 32 02.04	+43 11 49.0	16.32	 	 9269	                  	Sloan	Zoo	DR7
     177	G	177	16 33 47.53	+22 48 35.6	17.39	 	83807	                  	Sloan	Zoo	DR7
     178	G	178	16 36 52.00	+34 15 04.3	17.14	 	28935	                  	Sloan	Zoo	DR7
     179	G	179	17 03 08.79	+46 22 25.1	13.66	 	 9610	CGCG 252-017      	Sloan	Zoo	DR7
     180	G	180	17 04 06.73	+38 52 57.6	16.11	 	10604	                  	Sloan	Zoo	DR7
     181	G	181	17 08 17.84	+29 53 40.0	17.04	 	44791	                  	Sloan	Zoo	DR7
     182	G	182	19 33 27.34	+35 49 30.1	15.26	 	 4490	                  	Sloan	Zoo	DR7
     183	G	183	21 37 48.61	-07 40 28.1	16.10	 	17439	                  	Sloan	Zoo	DR7
     184	G	184	22 08 21.70	+18 27 15.1	14.80	 	 1141	II Zw 166         	Sloan	Zoo	DR7
     185	G	185	23 12 32.10	-00 06 37.0	14.86	 	 8342	                  	Sloan	Zoo	DR7
     186	R	186	00 48 09.60	-00 54 44.2	14.64	 	10182	                  	Sloan	Zoo	DR7
     187	R	187	01 12 30.14	-02 50 52.1	14.47	 	19241	                  	Sloan	Zoo	DR7
     188	R	188	03 34 06.08	+01 05 40.0	15.37	 	14235	                  	Sloan	Zoo	DR7
     189	R	189	07 29 09.07	+26 24 03.9	14.15	 	 4957	CGCG 117-045      	Sloan	Zoo	DR7
     190	R	190	07 41 54.78	+38 29 53.8	16.23	 	 3513	                  	Sloan	Zoo	DR7
     191	R	191	08 19 55.44	+55 07 56.1	17.56	 	16523	                  	Sloan	Zoo	DR7
     192	R	192	08 23 01.20	+32 00 53.5	15.02	 	19246	                  	Sloan	Zoo	DR7
     193	R	193	08 31 25.79	+40 57 22.4	13.35	 	 7309	UGC 04449         	Sloan	Zoo	DR7
     194	R	194	08 39 37.31	+37 15 50.3	16.50	 	48491	                  	Sloan	Zoo	DR7
     195	R	195	09 08 17.46	+21 26 36.0	12.43	 	 2720	NGC 2764          	Sloan	Zoo	DR7
     196	R	196	09 43 12.00	+31 55 43.3	11.42	 	 1566	NGC 2968          	Sloan	Zoo	DR7
     197	R	197	10 39 26.88	+47 56 49.6	14.09	 	  858	UGC 05791         	Sloan	Zoo	DR7
     198	R	198	10 41 09.76	+06 49 12.2	14.53	 	 9998	VIII Zw 102       	Sloan	Zoo	DR7
     199	R	199	10 45 46.87	-01 12 01.0	15.85	 	25410	                  	Sloan	Zoo	DR7
     200	R	200	11 18 36.19	+24 52 02.9	14.57	 	 7503	CGCG 126-026      	Sloan	Zoo	DR7
     201	R	201	11 23 38.82	+53 50 31.7	12.40	 	 2889	NGC 3656          	Sloan	Zoo	DR7
     202	R	202	11 35 07.51	+29 53 27.7	14.43	 	13868	UGC 06557         	Sloan	Zoo	DR7
     203	R	203	11 37 53.79	+21 58 52.3	13.05	 	 8726	NGC 3753          	Sloan	Zoo	DR7
     204	R	204	11 54 43.08	+33 32 12.4	14.73	 	 9617	UGC 06882         	Sloan	Zoo	DR7
     205	R	205	11 55 38.34	+43 02 45.1	13.29	 	 7130	UGC 06901         	Sloan	Zoo	DR7
     206	R	206	12 00 04.42	+58 36 21.0	14.75	 	     	MCG +10-17-123    	Sloan	Zoo	DR7
     207	R	207	12 15 02.93	+35 57 32.2	13.93	 	  941	UGC 07257         	Sloan	Zoo	DR7
     208	R	208	12 16 02.45	+06 04 18.0	17.34	 	30411	                  	Sloan	Zoo	DR7
     209	R	209	12 40 30.88	+05 52 10.6	16.05	 	     	                  	Sloan	Zoo	DR7
     210	R	210	12 44 26.53	-06 31 51.2	14.57	 	15483	                  	Sloan	Zoo	DR7
     211	R	211	12 47 11.44	+19 27 51.6	12.67	 	 6789	NGC 4685          	Sloan	Zoo	DR7
