#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/281/19&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22810019
#Name: J/ApJS/281/19
#Title: Stellar counterrotation in galaxies using MaNGA (Gasymov+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	creator=Gasymov D.	    First author or institution
#INFO	cites=bibcode:2025ApJS..281...19G	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/281/19	    Dataset landing page
#INFO	publication_date=2026-08-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_281_19_table2:
#Name: J/ApJS/281/19/table2
#Title: reliable galaxies with stellar counterrotation
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MANGAID	(A8)	"MaNGA-ID" object identifier	[ucd=meta.id;meta.main]
#Column	f_MANGAID	(a5)	Flag on MANGAID (G1)	[ucd=meta.code]
#Column	RAJ2000	(F9.5)	[28/332.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-1.2/55.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(a5)	Morphology from MVM-VAC (Vazquez-Mata+ 2022MNRAS.512.2222V)	[ucd=src.morph]
#Column	logM	(F6.3)	[9.5/11.2] Log of stellar mass (G2)	[ucd=phys.mass]
#Column	z	(F8.5)	[0.017/0.075] Spectroscopic redshift	[ucd=src.redshift]
#Column	Features	(a25)	Kinematic classification (G3)	[ucd=src.morph.param]
#Column	CRConfig	(A7)	Location of CR disk (inner, outer, undef or unclear)	[ucd=meta.note]
#Column	Env	(a11)	Environmental properties (G4)	[ucd=meta.note]
#Column	Morph	(a11)	Morphological features (G5)	[ucd=src.morph]
#Column	Refs	(a7)	Reference codes (G6)	[ucd=meta.ref;pos.frame]
#Column	DR15	(I3)	Display data from ManGA DR15 (Wake+ 2017, J/AJ/154/86)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	MANGAID	f_MANGAID	RAJ2000	DEJ2000	TType	logM	z	Features	CRConfig	Env	Morph	Refs	DR15	Simbad	NED
      20	1-300092	     	135.19805	+29.99028	Sa   	10.744	 0.05406	CR-GS  Srot              	outer  	F, G       	T, Sh      	       	  0	Simbad	NED
      21	1-137890	d    	137.21934	+44.93225	Sb   	 9.894	 0.02656	2sigma  CR-GS, Srot      	inner  	F, G, O    	E          	1,2,3  	  1	Simbad	NED
      22	1-386932	d    	137.84448	+30.09642	Sa   	 9.873	 0.02648	2sigma  CR-GS, NRR       	inner  	F, G       	           	3      	  0	Simbad	NED
      23	1-232087	d    	142.72474	+35.43978	SABa 	10.276	 0.02765	2sigma  Srot             	outer  	F, G       	           	       	  0	Simbad	NED
      24	1-78381 	d    	148.00297	+04.15077	Sa   	10.963	 0.03061	2sigma  Srot             	outer  	F, G       	Sh         	       	  0	Simbad	NED
      25	1-182730	d,b,*	154.59849	+05.73613	S0   	11.048	 0.07428	Srot  sigma-elong.       	inner  	V, G       	           	       	  0	Simbad	NED
      26	1-586725	d    	156.03193	+00.14192	SABa 	10.374	 0.02340	2sigma  CR-GS            	inner  	Sh, P, G   	T, LSB, C  	       	  0	Simbad	NED
      27	1-274545	     	157.68589	+40.05744	S0a  	 9.691	 0.02311	2sigma  Srot, CR-GS      	unclear	F, G       	           	2      	  1	Simbad	NED
      28	1-255220	     	157.84582	+42.27717	S0a  	 9.867	 0.02239	2sigma  CR-GS, Srot      	inner  	F, G, O    	E          	1,2    	  1	Simbad	NED
      29	1-148987	d    	164.55152	+50.21345	Sa   	10.337	 0.02350	2sigma                   	inner  	Cl  G, O   	E          	       	  1	Simbad	NED
      30	1-188530	d,b  	175.81782	+55.27769	S0a  	10.656	 0.05488	CR-GS, Srot              	inner  	F, O       	E          	2,3    	  1	Simbad	NED
      31	1-174947	d    	176.35873	+49.87903	SBab 	10.683	 0.03331	2sigma  Srot             	outer  	F, G, O    	B, Sp      	2,3    	  1	Simbad	NED
      32	1-139814	     	179.34796	+04.54305	Sa   	10.175	 0.02019	2sigma                   	unclear	F  G       	           	       	  0	Simbad	NED
      33	1-519907	d    	179.64465	+24.11716	Sb   	10.091	 0.02979	2sigma  gas-polar, NRR   	outer  	Sh, G      	E, C       	       	  0	Simbad	NED
      34	1-189376	     	181.01400	+55.20492	S0   	 9.880	 0.01940	CR-GS  2sigma, Srot      	inner  	F, G       	           	       	  0	Simbad	NED
      35	1-623416	d,*  	194.47474	+28.49979	S0a  	10.159	 0.02435	2sigma, Srot             	outer  	Cl, G      	           	       	  0	Simbad	NED
      36	1-456884	d,*  	194.57992	+27.76210	Sa   	 9.541	 0.01817	2sigma, Srot             	inner  	Cl, G      	E          	       	  0	Simbad	NED
      37	1-456672	d,*  	195.07957	+27.55372	SB0  	10.130	 0.01964	2sigma, Srot             	outer  	Cl, G      	B, T       	       	  0	Simbad	NED
      38	1-456645	d    	195.77473	+26.53112	SABa 	 9.955	 0.01913	2sigma  NRR              	outer  	Cl, G      	LSB        	       	  0	Simbad	NED
      39	1-419257	d    	201.14051	+31.54637	SB0a 	10.312	 0.02316	2sigma  CR-GS, Srot      	inner  	F, G, O    	B          	2      	  1	Simbad	NED
      40	1-457547	     	201.92065	+26.06163	SABab	 9.862	 0.02405	2sigma                   	unclear	F  G, O    	           	2      	  1	Simbad	NED
      41	1-244115	d    	204.50613	+55.18764	Sa   	10.145	 0.02505	2sigma  CR-GS, NRR       	inner  	Cl, G      	E          	       	  0	Simbad	NED
      42	1-260823	d,b  	208.29183	+40.11920	S0   	10.467	 0.05098	2sigma, NRR              	outer  	Sh, G, O   	           	       	  1	Simbad	NED
      43	1-245235	d    	211.42454	+55.77690	Sab  	10.148	 0.04092	2sigma  CR-GS, Srot      	inner  	F, G       	           	       	  0	Simbad	NED
      44	1-245301	d    	212.53193	+54.91992	SABa 	10.749	 0.03954	2sigma  CR-GS            	outer  	Cl, G      	LSB, Sh    	       	  0	Simbad	NED
      45	1-593328	d    	219.65707	+46.66312	Sa   	11.197	 0.03689	2sigma  CR-GS, Srot      	inner  	Cl, G      	           	2      	  1	Simbad	NED
      46	1-13736 	d,b  	223.08091	-00.26919	S0   	10.081	 0.04351	2sigma, CR-GS, Srot      	inner  	Cl, G      	           	       	  0	Simbad	NED
      47	1-566335	     	226.28280	+08.10735	SABa 	10.327	 0.04659	2sigma  Srot             	outer  	F          	           	3      	  0	Simbad	NED
      48	1-333770	*    	226.30677	+08.79660	Edc  	11.063	 0.04492	2sigma  Srot             	unclear	F, G       	T, Sh      	       	  0	Simbad	NED
      49	1-633000	d    	233.23196	+42.43825	SAB0 	10.063	 0.01970	2sigma  CR-GS, Srot      	inner  	Cl, G, O   	           	2,3    	  1	Simbad	NED
      50	1-199775	     	240.84773	+39.98574	S0   	10.223	 0.03016	2sigma  CR-GS, NRR       	inner  	F, G       	           	3      	  0	Simbad	NED
      51	1-210611	d,b  	244.39053	+41.68854	SAB0 	10.299	 0.02696	CR-GS, sigma-elong.      	inner  	F, G, O    	           	       	  2	Simbad	NED
      52	1-248869	d    	244.69082	+39.33443	S0a  	10.848	 0.03164	2sigma  CR-GS            	outer  	F, G, O    	           	2      	  1	Simbad	NED
      53	1-323764	     	246.05404	+31.87586	Sbc  	 9.706	 0.02081	2sigma  NRR              	unclear	V, G, O    	           	2      	  1	Simbad	NED
      54	1-135190	d,b  	246.75332	+40.81052	S0   	10.473	 0.03050	CR-GS, sigma-elong.      	inner  	Cl, P, G   	           	       	  0	Simbad	NED
      55	1-135503	*    	247.88212	+39.89765	Sa   	10.721	 0.02965	2sigma  star-polar       	undef  	Cl, G, O   	Sh, P      	       	  1	Simbad	NED
      56	1-94773 	d,b  	249.30241	+44.08551	SB0a 	10.178	 0.03265	2sigma, CR-GS            	inner  	F, G, O    	B          	1,2    	  1	Simbad	NED
      57	1-211561	d    	250.19502	+37.04204	Sa   	10.266	 0.03047	2sigma  CR-GS, NRR       	inner  	F, G       	           	3      	  0	Simbad	NED
      58	1-135767	d    	250.22938	+37.90431	Sab  	10.552	 0.03079	2sigma  Srot             	outer  	F, G       	LSB, Sh, Sp	       	  0	Simbad	NED
      59	1-94690 	d    	251.37791	+43.58163	S0a  	10.225	 0.03145	2sigma  CR-GS            	inner  	F, G, O    	E          	2      	  1	Simbad	NED
      60	1-136248	d    	253.79391	+36.90631	Sa   	10.521	 0.02356	2sigma  Srot             	outer  	F, O       	           	1,2,3  	  1	Simbad	NED
      61	1-178027	d,b  	258.74267	+29.13849	SABab	10.438	 0.04489	2sigma, CR-GS            	outer  	F, G       	LSB, C, Sp 	       	  0	Simbad	NED
      62	1-635506	d    	319.10317	+10.27338	SB0  	10.213	 0.01726	CR-GS  2sigma            	inner  	V, G       	B          	       	  1	Simbad	NED
      63	1-179561	d    	319.75115	-00.96398	S0   	10.095	 0.01950	2sigma  CR-GS, Srot      	inner  	V, P, G    	C          	1,2,3,5	  1	Simbad	NED
      64	1-26197 	d,b  	330.72378	-00.78460	S0a  	10.927	 0.06366	2sigma, CR-GS, Srot      	outer  	V, G       	           	3      	  0	Simbad	NED
      65	1-115097	d    	332.20346	+13.36474	Sab  	10.227	 0.02745	2sigma  CR-GS, Srot      	inner  	V, G       	E          	2,3    	  1	Simbad	NED

#Table	J_ApJS_281_19_table3:
#Name: J/ApJS/281/19/table3
#Title: probable galaxies with stellar counterrotation
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MANGAID	(A8)	"MaNGA-ID" object identifier	[ucd=meta.id;meta.main]
#Column	f_MANGAID	(a5)	Flag on MANGAID (G1)	[ucd=meta.code]
#Column	RAJ2000	(F9.5)	[7.8/358.5] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-0.5/55.6] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(a5)	Morphology from MVM-VAC (Vazquez-Mata+ 2022MNRAS.512.2222V)	[ucd=src.morph]
#Column	logM	(F6.3)	[9.22/11.22] Log of stellar mass (G2)	[ucd=phys.mass]
#Column	z	(F8.5)	[0.015/0.084] Spectroscopic redshift	[ucd=src.redshift]
#Column	Features	(a25)	Kinematic classification (G3)	[ucd=src.morph.param]
#Column	CRConfig	(A7)	Location of CR disk	[ucd=meta.note]
#Column	Env	(a11)	Environmental properties (G4)	[ucd=meta.note]
#Column	Morph	(a11)	Morphological features (G5)	[ucd=src.morph]
#Column	Refs	(A3)	Reference codes (G6)	[ucd=meta.ref;pos.frame]
#Column	DR15	(I3)	Display data from ManGA DR15 (Wake+ 2017, J/AJ/154/86)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	MANGAID	f_MANGAID	RAJ2000	DEJ2000	TType	logM	z	Features	CRConfig	Env	Morph	Refs	DR15	Simbad	NED
 	 	 	deg	deg	 	[Msun]	 	 	 	 	 	 	 	 	
--------	--------	-----	---------	---------	-----	------	--------	-------------------------	-------	-----------	-----------	---	---	------	---
       1	1-600853	     	007.80039	-00.40735	Sa   	10.349	 0.01944	2sigma?  CR-GS, KDC      	inner  	V, G       	           	3  	  0	Simbad	NED
       2	1-40771 	     	017.78462	+14.22280	Sa   	11.202	 0.05378	2sigma?  CR-GS, Srot     	unclear	V, G       	T, Sh      	   	  0	Simbad	NED
       3	1-41072 	     	020.40106	+14.45287	SABa 	10.649	 0.05232	CR-GS  Srot              	unclear	V, G       	T, Sh      	   	  0	Simbad	NED
       4	1-34036 	     	021.37140	-00.05730	S0   	 9.835	 0.02096	CR-GS  Srot, 2sigma?     	inner  	V, G       	           	   	  0	Simbad	NED
       5	1-41752 	     	031.95306	+13.60960	Sa   	10.870	 0.06497	2sigma  CR-GS            	inner  	V, G       	T, Sh      	   	  0	Simbad	NED
       6	1-38062 	     	049.22885	-00.04201	S0   	10.195	 0.02311	2sigma  Srot             	unclear	V, G       	           	   	  1	Simbad	NED
       7	1-217842	     	117.66982	+23.49431	S0   	10.354	 0.01854	CR-GS  2sigma            	inner  	Sh, G      	           	   	  0	Simbad	NED
       8	1-382697	     	119.20758	+17.38030	S0   	10.561	 0.03641	CR-GS  2sigma?           	inner  	Sh, G      	E          	   	  0	Simbad	NED
       9	1-382818	     	119.93042	+18.46772	Sb   	 9.952	 0.03784	2sigma  CR-GS            	inner  	Sh, P, G, O	E          	   	  1	Simbad	NED
      10	1-153127	     	120.80520	+33.13233	Sab  	 9.811	 0.01758	2sigma  CR-GS            	unclear	Cl, G      	LSB        	   	  0	Simbad	NED
      11	1-298482	     	122.55075	+22.77227	SABa 	 9.566	 0.01558	CR-GS  2sigma?           	inner  	Cl, P, G   	           	   	  0	Simbad	NED
      12	1-386154	     	133.57511	+26.50612	SB0a 	 9.931	 0.02717	2sigma  CR-GS            	inner  	Sh, G, O   	B          	   	  1	Simbad	NED
      13	1-77006 	     	135.58828	+03.61574	S0   	10.026	 0.02391	2sigma  CR-GS            	unclear	V, G       	           	   	  0	Simbad	NED
      14	1-386394	     	135.69407	+29.28824	Sa   	 9.937	 0.04154	CR-GS  2sigma?           	unclear	Sh, P, G   	           	   	  0	Simbad	NED
      15	1-166613	*    	144.51600	+42.97431	S0a  	11.073	 0.04681	Srot                     	unclear	F  G, O    	           	1,2	  1	Simbad	NED
      16	1-181720	     	146.09107	+06.07547	Sa   	10.896	 0.06182	Srot  sigma-elong.       	unclear	Cl, G      	T, C       	   	  0	Simbad	NED
      17	1-167079	     	147.80178	+44.00931	Sab  	 9.509	 0.01570	2sigma                   	unclear	V  G, O    	           	   	  1	Simbad	NED
      18	1-78858 	     	151.50901	+04.52213	S0a  	10.196	 0.02300	CR-GS  2sigma?           	inner  	F, G       	           	   	  0	Simbad	NED
      19	1-274440	     	155.70867	+39.36893	S0   	 9.547	 0.02614	2sigma                   	unclear	F  G, O    	           	2  	  1	Simbad	NED
      20	1-255878	     	163.21911	+43.42839	S0   	10.022	 0.02424	CR-GS  NRR?, 2sigma??    	inner  	Cl, P, G, O	T, LSB     	3  	  1	Simbad	NED
      21	1-277289	     	165.27502	+45.29330	S0a  	 9.863	 0.03722	2sigma                   	unclear	Cl  G, O   	E          	   	  1	Simbad	NED
      22	1-279554	*    	171.62846	+46.99842	SB0a 	10.433	 0.02545	2sigma?                  	unclear	F  G, O    	B, E       	   	  1	Simbad	NED
      23	1-174429	     	173.34594	+49.03804	Sc   	10.105	 0.03136	2sigma                   	outer  	Cl  G, O   	E          	   	  1	Simbad	NED
      24	1-188177	     	176.12968	+53.68272	S0a  	10.296	 0.02728	CR-GS  2sigma            	inner  	F, P, G, O 	           	2  	  1	Simbad	NED
      25	1-189197	     	176.94401	+55.39001	S0   	10.154	 0.02646	2sigma  NRR              	unclear	Sh, G, O   	           	   	  1	Simbad	NED
      26	1-280716	*    	177.39660	+47.83121	S0   	10.388	 0.02497	Srot  2sigma             	unclear	F, G       	           	   	  0	Simbad	NED
      27	1-281935	     	183.13151	+43.36703	Sbc  	 9.684	 0.02369	2sigma??  NRR??          	unclear	F, G       	           	   	  0	Simbad	NED
      28	1-151418	d,b  	186.99159	+53.04283	Sab  	10.037	 0.03020	CR-GS, 2sigma?           	unclear	F, G       	LSB, Sh    	   	  0	Simbad	NED
      29	1-283130	     	189.06018	+42.63674	S0a  	 9.830	 0.02848	2sigma  Srot             	unclear	Sh, G      	           	   	  0	Simbad	NED
      30	1-456775	*    	194.02685	+27.64801	S0a  	10.055	 0.02535	2sigma?                  	unclear	Cl  G      	E          	   	  0	Simbad	NED
      31	1-152010	     	194.45314	+52.77925	Sa   	 9.717	 0.02756	CR-GS  2sigma            	inner  	F, G       	           	3  	  0	Simbad	NED
      32	1-456731	*    	194.50317	+27.45396	S0   	 9.649	 0.02562	Srot  KDC?               	unclear	Cl, G      	           	   	  0	Simbad	NED
      33	1-284335	     	196.82087	+45.72816	S0a  	 9.709	 0.03486	2sigma  CR-GS            	inner  	F, G, O    	E          	   	  1	Simbad	NED
      34	1-421145	*    	200.92834	+31.51548	S0   	10.097	 0.01755	2sigma  Srot, KDC?       	unclear	F, P, G, O 	E          	   	  1	Simbad	NED
      35	1-523154	     	204.59712	+23.97213	S0a  	10.203	 0.02817	CR-GS  2sigma            	inner  	F, G, O    	           	   	  1	Simbad	NED
      36	1-418253	     	206.15434	+37.17163	SB0  	10.501	 0.02661	CR-GS  sigma-elong.      	unclear	F, G, O    	B, T, Sh   	   	  1	Simbad	NED
      37	1-537081	     	206.94885	+23.36724	S0a  	11.033	 0.08361	2sigma  NRR              	unclear	Cl, G      	T, Sh      	   	  0	Simbad	NED
      38	1-251198	     	209.63978	+41.72417	Sab  	10.101	 0.04276	2sigma  CR-GS            	inner  	V, G, O    	E          	2  	  1	Simbad	NED
      39	1-245176	     	209.89761	+55.59254	Sa   	10.156	 0.04111	2sigma  NRR              	unclear	F, G       	Sh         	   	  0	Simbad	NED
      40	1-251783	*    	215.31147	+39.65253	E    	10.177	 0.02555	Srot  2sigma??           	unclear	F, G, O    	           	1,2	  1	Simbad	NED
      41	1-266244	     	216.54660	+42.71123	S0a  	 9.220	 0.01703	2sigma?  Srot            	unclear	F, G, O    	T, LSB     	1,2	  1	Simbad	NED
      42	1-235983	     	223.63645	+42.38544	S0   	 9.791	 0.01844	gas-polar  Srot, KDC?    	unclear	F, G, O    	           	1,2	  1	Simbad	NED
      43	1-246484	     	223.86622	+51.04774	S0a  	 9.724	 0.03027	gas-polar  2sigma        	unclear	F, G, O    	E          	   	  1	Simbad	NED
      44	1-134361	d,b  	240.22395	+47.19702	Sa   	10.418	 0.04617	2sigma                   	outer  	Sh, G      	E          	   	  0	Simbad	NED
      45	1-248410	     	241.20852	+42.03580	Sa   	 9.589	 0.02503	2sigma  NRR?             	outer  	F, G, O    	E          	2  	  1	Simbad	NED
      46	1-318513	     	244.03604	+24.07953	S0a  	 9.845	 0.03214	2sigma                   	outer  	Cl  G, O   	E          	2  	  1	Simbad	NED
      47	1-323886	     	245.14186	+32.93492	Sab  	10.031	 0.04148	2sigma                   	outer  	Sh  G, O   	E          	   	  1	Simbad	NED
      48	1-323766	     	246.17599	+32.06436	E    	 9.881	 0.02157	CR-GS  Srot, sigma-elong.	inner  	V, G, O    	           	2,3	  1	Simbad	NED
      49	1-543599	d,b  	250.28053	+26.06085	Sab  	10.599	 0.05463	2sigma?                  	outer  	F, G       	           	   	  0	Simbad	NED
      50	1-113405	     	316.84130	+11.06641	Sa   	10.109	 0.04247	2sigma  CR-GS            	inner  	V, G       	E          	   	  1	Simbad	NED
      51	1-635590	d,*,b	321.05441	+01.11837	S0   	11.215	 0.04944	2sigma  NRR?             	unclear	V, G       	           	2  	  1	Simbad	NED
      52	1-180900	*    	325.36926	+00.60824	Edc  	10.735	 0.05505	2sigma  Srot             	unclear	V, G       	           	   	  0	Simbad	NED
      53	1-106664	     	347.26196	+00.26695	SBbc 	10.156	 0.03251	2sigma                   	unclear	V  G       	B, E, T, Sh	   	  0	Simbad	NED
      54	1-29728 	     	355.82513	+00.44247	Sab  	 9.873	 0.03717	CR-GS  2sigma            	unclear	V, G       	E          	   	  1	Simbad	NED
      55	1-29809 	     	358.46881	-00.09872	S0a  	 9.559	 0.02195	2sigma?  CR-GS, Srot?    	inner  	V, G       	           	3  	  1	Simbad	NED

#Table	J_ApJS_281_19_table9:
#Name: J/ApJS/281/19/table9
#Title: kinematically decoupled galaxies (excluding stellar counterrotation)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MANGAID	(A9)	"MaNGA-ID" object identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	[6.4/356] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-7.7/64.5] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(a8)	Morphology from MVM-VAC (Vazquez-Mata+ 2022MNRAS.512.2222V)	[ucd=src.morph]
#Column	logM	(F6.3)	[9.1/11.7] Log of stellar mass (G2)	[ucd=phys.mass]
#Column	z	(F8.5)	[0.01/0.14] Spectroscopic redshift	[ucd=src.redshift]
#Column	Features	(a23)	Kinematic classification (G3)	[ucd=src.morph.param]
#Column	Env	(a11)	Environmental properties (G4)	[ucd=meta.note]
#Column	Morph	(a11)	Morphological features (G5)	[ucd=src.morph]
