#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:30:00 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:30:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/823/157/table5&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18230157
#Name: J/ApJ/823/157
#Title: LOS velocities & [Fe/H] of Pal 5 tidal stream (Ishigaki+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/823/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/823/157	    IVOID of underlying data collection
#INFO	creator=Ishigaki M.N.	    First author or institution
#INFO	cites=bibcode:2016ApJ...823..157I	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/823/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18230157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-01-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_823_157_table5:
#Name: J/ApJ/823/157/table5
#Title: Stars in the DEIMOS fields selected by the CMD, [Fe/H] and proper motion criteria
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Field	(A4)	Keck/DEIMOS field name (FD1 to FD10)	[ucd=meta.id.part;meta.main]
#Column	Name	(I3)	[1/80] Star name within the field	[ucd=meta.id.part;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	gmag0	(F5.2)	[17/20.9] Extinction corrected SDSS g band magnitude	[ucd=phot.mag;em.opt.B]
#Column	HRV	(F6.1)	[-306/341] Heliocentric line-of-sight velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(F4.1)	[1/10] Error in HRV	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	[-2.1/-0.6] Metallicity	[ucd=phys.abund.Z]
#Column	LOS	(A1)	[ny] Status of line-of-sight velocity criterion (1)	[ucd=meta.code]
#Column	f_Name	(A1)	[K] Flag on FD3-008 (2)	[ucd=meta.code]
#Column	DR9	(A3)	Display the SDSS-DR9 data (Adelman-McCarthy+, 2012, V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
recno	Field	Name	RAJ2000	DEJ2000	gmag0	HRV	e_HRV	[Fe/H]	LOS	f_Name	DR9	Sloan
      42	FD4 	 39	228.67314	-00.2815	18.04	  83.5	 1.2	-0.69	n	 	DR9	Sloan
      43	FD4 	 44	228.65875	-00.2444	18.98	  36.1	 1.6	-0.68	n	 	DR9	Sloan
      44	FD4 	 47	228.69430	-00.1277	20.02	   3.0	 3.6	-1.01	n	 	DR9	Sloan
      45	FD4 	 55	228.68840	-00.2493	19.96	-175.4	 3.1	-1.25	n	 	DR9	Sloan
      46	FD4 	 63	228.70297	-00.1437	20.57	-251.4	 6.5	-1.96	n	 	DR9	Sloan
      47	FD4 	 65	228.65441	-00.1506	18.27	 -23.2	 1.8	-1.08	y	 	DR9	Sloan
      48	FD4 	 73	228.65783	-00.2586	20.65	  73.3	 3.6	-1.71	n	 	DR9	Sloan
      49	FD4 	 74	228.64799	-00.2160	18.85	  -6.5	 1.7	-0.69	n	 	DR9	Sloan
      50	FD4 	 78	228.71698	-00.1784	19.41	  83.0	 1.7	-1.36	n	 	DR9	Sloan
      51	FD5 	  2	229.30587	+00.2104	20.29	-152.7	 2.4	-1.67	n	 	DR9	Sloan
      52	FD5 	  7	229.37722	+00.3133	17.83	  33.5	 2.7	-2.05	n	 	DR9	Sloan
      53	FD5 	 11	229.31059	+00.1795	20.73	 -21.8	 3.4	-1.01	y	 	DR9	Sloan
      54	FD5 	 12	229.34318	+00.3069	20.02	  57.3	 3.7	-1.83	n	 	DR9	Sloan
      55	FD5 	 13	229.24709	+00.1680	17.39	 -39.6	 5.7	-0.73	y	 	DR9	Sloan
      56	FD5 	 17	229.29036	+00.1824	19.36	 -80.5	 4.7	-1.29	y	 	DR9	Sloan
      57	FD5 	 32	229.24072	+00.2043	18.32	  41.0	 1.5	-1.54	n	 	DR9	Sloan
      58	FD5 	 34	229.27407	+00.2331	19.05	 -51.3	 1.6	-1.70	y	 	DR9	Sloan
      59	FD5 	 37	229.35921	+00.3025	18.12	 -36.5	 1.8	-1.38	y	 	DR9	Sloan
      60	FD5 	 39	229.37050	+00.3339	20.36	-305.9	 3.0	-1.27	n	 	DR9	Sloan
      61	FD5 	 41	229.31590	+00.1907	18.35	 -28.3	 1.2	-0.87	y	 	DR9	Sloan
      62	FD5 	 47	229.30833	+00.2257	18.03	  -7.9	 1.6	-1.49	n	 	DR9	Sloan
      63	FD5 	 52	229.26158	+00.1810	20.57	 -52.8	 8.1	-1.78	y	 	DR9	Sloan
      64	FD6 	  1	230.70693	+01.3739	19.73	  38.5	 1.3	-0.67	n	 	DR9	Sloan
      65	FD6 	  6	230.61178	+01.3668	18.42	 -65.9	 4.5	-0.60	y	 	DR9	Sloan
      66	FD6 	 11	230.64254	+01.3749	17.33	  -5.8	 1.4	-0.67	n	 	DR9	Sloan
      67	FD6 	 17	230.72297	+01.4026	17.83	   9.6	 1.6	-1.70	n	 	DR9	Sloan
      68	FD6 	 19	230.74874	+01.4526	17.33	  20.5	 1.7	-1.31	n	 	DR9	Sloan
      69	FD6 	 24	230.62234	+01.3803	17.49	  58.5	 1.5	-0.74	n	 	DR9	Sloan
      70	FD6 	 25	230.70253	+01.3634	17.12	 -79.8	 1.5	-1.88	y	 	DR9	Sloan
      71	FD6 	 26	230.78639	+01.5059	17.88	 -69.9	 2.0	-1.02	y	 	DR9	Sloan
      72	FD6 	 39	230.73622	+01.4142	20.25	 -61.8	 2.7	-1.23	y	 	DR9	Sloan
      73	FD6 	 48	230.62956	+01.3551	20.81	 128.2	 7.0	-1.32	n	 	DR9	Sloan
      74	FD6 	 49	230.72575	+01.4437	20.25	   0.2	 2.0	-1.12	n	 	DR9	Sloan
      75	FD6 	 52	230.77535	+01.4896	20.17	 -49.2	 5.0	-1.72	y	 	DR9	Sloan
      76	FD6 	 55	230.61931	+01.3953	19.39	   8.4	 2.2	-0.85	n	 	DR9	Sloan
      77	FD6 	 56	230.70333	+01.3943	18.80	 -48.5	 1.4	-0.64	y	 	DR9	Sloan
      78	FD6 	 61	230.63102	+01.3479	18.27	 102.3	 3.0	-1.51	n	 	DR9	Sloan
      79	FD6 	 62	230.80330	+01.5051	17.53	 160.0	 5.5	-1.37	n	 	DR9	Sloan
      80	FD7 	  5	231.77439	+02.2477	19.06	 -69.3	 6.0	-1.71	y	 	DR9	Sloan
      81	FD7 	  9	231.65939	+02.0706	17.20	 -16.1	 6.7	-1.03	n	 	DR9	Sloan
      82	FD7 	 17	231.74310	+02.2615	17.97	  76.8	 1.5	-0.80	n	 	DR9	Sloan
      83	FD7 	 22	231.78550	+02.2270	17.36	  31.2	 2.5	-1.49	n	 	DR9	Sloan
      84	FD7 	 25	231.63995	+02.1147	19.97	 -62.0	 2.8	-1.34	y	 	DR9	Sloan
      85	FD7 	 30	231.74559	+02.1961	17.16	 -33.6	 6.6	-1.68	y	 	DR9	Sloan
      86	FD7 	 34	231.71938	+02.1724	18.85	 177.8	 6.0	-1.73	n	 	DR9	Sloan
      87	FD7 	 35	231.66860	+02.0835	17.21	  32.2	 7.0	-1.64	n	 	DR9	Sloan
      88	FD7 	 38	231.75014	+02.1991	20.46	 -34.3	 4.3	-1.17	y	 	DR9	Sloan
      89	FD7 	 39	231.67485	+02.1613	18.13	 -46.6	 6.2	-1.66	y	 	DR9	Sloan
      90	FD7 	 50	231.66724	+02.1042	17.06	 -23.5	 8.2	-1.35	y	 	DR9	Sloan
      91	FD7 	 52	231.69548	+02.0841	18.49	   5.5	 3.7	-0.99	n	 	DR9	Sloan
      92	FD7 	 58	231.68504	+02.1023	17.90	 -48.9	 3.6	-0.86	y	 	DR9	Sloan
      93	FD7 	 62	231.70830	+02.1743	19.01	 165.8	 2.1	-1.60	n	 	DR9	Sloan
      94	FD8 	  1	234.77992	+03.8145	19.62	 -86.4	 2.2	-0.75	y	 	DR9	Sloan
      95	FD8 	  3	234.73765	+03.8190	19.94	  41.4	 2.1	-1.53	n	 	DR9	Sloan
      96	FD8 	 14	234.89040	+03.8234	17.91	  31.2	 6.2	-1.22	n	 	DR9	Sloan
      97	FD8 	 15	234.81328	+03.8508	18.42	   0.8	 2.1	-1.62	n	 	DR9	Sloan
      98	FD8 	 20	234.84492	+03.8373	18.16	 -16.6	 3.5	-0.81	n	 	DR9	Sloan
      99	FD8 	 28	234.88192	+03.8472	19.33	 -28.3	 4.9	-0.61	y	 	DR9	Sloan
     100	FD8 	 62	234.70834	+03.8126	17.74	  -0.6	 2.8	-1.73	n	 	DR9	Sloan
     101	FD8 	 66	234.75860	+03.8225	19.05	  -8.6	 2.1	-1.28	n	 	DR9	Sloan
     102	FD8 	 67	234.64032	+03.8090	19.26	  47.5	 5.3	-1.22	n	 	DR9	Sloan
     103	FD9 	 16	237.63664	+04.9043	20.14	 -29.2	 2.5	-1.49	y	 	DR9	Sloan
     104	FD9 	 17	237.60880	+04.9143	17.51	 -22.5	 2.0	-1.82	y	 	DR9	Sloan
     105	FD9 	 23	237.55387	+04.8402	17.74	   3.7	 1.3	-0.96	n	 	DR9	Sloan
     106	FD9 	 30	237.54102	+04.8928	18.64	 -92.6	 1.2	-1.11	y	 	DR9	Sloan
     107	FD9 	 31	237.60747	+04.8685	17.24	 -38.5	 1.2	-0.86	y	 	DR9	Sloan
     108	FD9 	 33	237.63798	+04.9547	17.39	 -37.2	 1.3	-0.63	y	 	DR9	Sloan
     109	FD9 	 41	237.47689	+04.8217	17.09	 -88.0	 9.6	-1.12	y	 	DR9	Sloan
     110	FD9 	 47	237.58817	+04.8982	17.62	 -73.0	 1.0	-0.62	y	 	DR9	Sloan
     111	FD9 	 55	237.55599	+04.8507	19.17	 -33.3	 1.6	-0.90	y	 	DR9	Sloan
     112	FD9 	 58	237.49898	+04.8291	19.60	 -87.0	 2.7	-1.03	y	 	DR9	Sloan
     113	FD9 	 64	237.58355	+04.8562	17.93	 -17.4	 1.4	-1.53	n	 	DR9	Sloan
     114	FD9 	 71	237.60447	+04.8904	19.95	  92.2	 4.0	-2.02	n	 	DR9	Sloan
     115	FD9 	 75	237.54866	+04.8817	19.25	 -56.8	 2.5	-1.57	y	 	DR9	Sloan
     116	FD10	  1	241.59073	+06.4582	18.02	-245.8	 3.8	-1.66	n	 	DR9	Sloan
     117	FD10	  2	241.59983	+06.5212	19.54	 -28.4	 2.0	-0.72	y	 	DR9	Sloan
     118	FD10	  6	241.65790	+06.5521	17.07	 -72.5	 1.3	-0.75	y	 	DR9	Sloan
     119	FD10	 21	241.58841	+06.3863	18.68	  40.5	 1.3	-0.67	n	 	DR9	Sloan
     120	FD10	 24	241.59041	+06.3801	20.58	 -67.0	 6.6	-1.88	y	 	DR9	Sloan
     121	FD10	 32	241.61496	+06.4216	18.29	 178.7	 1.3	-1.34	n	 	DR9	Sloan
     122	FD10	 52	241.64663	+06.5493	20.59	 -26.6	 3.9	-1.56	y	 	DR9	Sloan
     123	FD10	 55	241.67312	+06.5791	18.88	 340.7	 7.8	-1.79	n	 	DR9	Sloan
     124	FD10	 56	241.60878	+06.4850	20.51	 -97.0	 4.8	-1.69	y	 	DR9	Sloan
     125	FD10	 59	241.58552	+06.4712	19.67	 -68.4	 3.7	-1.70	y	 	DR9	Sloan
     126	FD10	 64	241.60563	+06.4329	20.00	  10.7	 2.6	-1.80	n	 	DR9	Sloan
     127	FD10	 65	241.56075	+06.3868	17.20	 -44.0	 6.7	-0.62	y	 	DR9	Sloan
     128	FD10	 74	241.58172	+06.4347	20.45	 -16.9	 3.4	-1.51	n	 	DR9	Sloan
     129	FD10	 75	241.63299	+06.5887	19.09	  48.3	 6.7	-1.39	n	 	DR9	Sloan
     130	FD10	 80	241.54884	+06.4219	17.93	-240.7	 2.1	-1.72	n	 	DR9	Sloan

