#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:40 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/382/488&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33820488
#Name: J/A+A/382/488
#Title: Stellar and ionized gas kinematics in NGC 2855 (Corsini+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/382/488	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/382/488	    IVOID of underlying data collection
#INFO	creator=Corsini E.M.	    First author or institution
#INFO	cites=bibcode:2002A&A...382..488C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/382/488	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33820488	    Dataset identifier that can be used for citation
#INFO	publication_date=2002-02-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_382_488_table3:
#Name: J/A+A/382/488/table3
#Title: NGC 2855 stellar kinematics
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	r	(F5.1)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	Velocity dispersion error	[ucd=stat.error]
#Column	PA	(I3)	Slit position angle	[ucd=pos.posAng]
#Column	Run	(I1)	? Observing run (1 = 1999; 2 = 2001) (in table4.dat only)	[ucd=meta.id;obs]
recno	r	HRV	e_HRV	sigma	e_sigma	PA	Run
     101	 -9.3	 -12	 7	 38	 8	 30	2
     102	 -8.0	 -12	14	 40	14	 30	2
     103	 -6.6	   2	11	 46	12	 30	2
     104	 -5.3	 -14	 9	 53	10	 30	2
     105	 -3.9	  -2	10	 66	11	 30	2
     106	 -2.6	  77	10	111	11	 30	2
     107	 -1.8	  76	 5	 88	 5	 30	2
     108	 -1.5	  52	 1	 75	 1	 30	2
     109	 -1.2	  51	 2	 92	 3	 30	2
     110	 -1.0	  25	 2	143	 2	 30	2
     111	 -0.7	   0	 1	137	 1	 30	2
     112	 -0.4	  -5	 1	142	 1	 30	2
     113	 -0.2	 -18	 1	148	 1	 30	2
     114	  0.1	 -17	 1	148	 1	 30	2
     115	  0.4	 -19	 1	144	 1	 30	2
     116	  0.6	 -22	 1	139	 1	 30	2
     117	  0.9	 -34	 1	131	 2	 30	2
     118	  1.2	 -48	 3	116	 3	 30	2
     119	  1.5	 -41	 5	110	 4	 30	2
     120	  2.0	 -72	10	120	11	 30	2
     121	  2.8	 -62	 7	 66	 7	 30	2
     122	  3.3	 -11	 5	 43	 5	 30	2
     123	  4.7	 -13	 7	 47	 7	 30	2
     124	  6.0	 -21	10	 48	11	 30	2
     125	  7.4	 -13	12	 49	13	 30	2
     126	  8.7	 -12	 8	 33	 7	 30	2

