#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	[0/1]? Apparent axial ratio (1)	[ucd=phys.angSize;arith.ratio]
#Column	AB	(F5.2)	[0.01/7.88]? Galactic extinction in B band (2)	[ucd=phys.absorption.gal]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	f_Kmag	(A1)	[*] Estimated Kmag (7)	[ucd=meta.code]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	ABi	(F5.2)	[0/1.25]? Internal B band extinction (15)	[ucd=phys.absorption;em.opt.B]
#Column	BMag	(F5.1)	[-21.8/-0.6]? Absolute B band magnitude (16)	[ucd=phys.magAbs;em.opt.B]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	Tij	(F5.2)	[-2.7/2.4]? Ks-density index {Theta}_j_ (25)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Name	Nd	RAJ2000	DEJ2000	a26	b/a	AB	l_FUV	FUV	Bmag	l_Hamag	Hamag	Kmag	f_Kmag	l_HImag	HImag	W50	TT	Mcl	Tdw	HRV	Dist	f_Dist	A26	i	vAmp	ABi	BMag	<Bmu>	KLum	M26	l_MHI	MHI	Vlg	Ti1	MD	Ti5	Tij	K+04	SimbadName	NEDname
      17	Sc22              	  5	00 23 51.7	-24 42 18	  0.93	 0.78	 0.07	 	22.75	17.73	>	25.92	13.57	*	>	 21.50	   	-3	Sph  	L	    	 4.21	TRGB	 1.15	48	   	 0.00	-10.5	26.2	 7.14	     	<	 4.98	    	 1.1	NGC0253        	 1.1	 1.82	  1	[CFC97] Sc 22                	[CFC97] Sc 22
      18	Cetus             	  6	00 26 11.0	-11 02 40	  4.79	 0.67	 0.12	>	23.00	14.40	>	22.12	10.19	*	>	 19.84	   	-1	Tr   	L	 -87	 0.78	TRGB	 1.10	55	   	 0.00	-10.2	26.3	 7.02	     	<	 4.18	  26	 0.3	MESSIER031     	 0.5	 1.74	  1	CETUS DWARF GALAXY           	CETUS DWARF GALAXY
      19	ESO294-010        	  8	00 26 33.3	-41 51 20	  1.51	 0.64	 0.02	 	18.06	15.53	 	21.05	14.08	 	 	 18.56	 23	10	Tr   	N	 107	 1.92	TRGB	 0.84	58	  3	 0.00	-10.9	25.0	 6.25	 5.93	 	 5.48	  71	 0.4	NGC0055        	 0.5	 0.55	  1	ESO294-010                   	ESO294-010
      20	UGC00288          	  7	00 29 04.0	+43 25 54	  1.07	 0.62	 0.33	 	17.57	15.64	 	19.67	12.99	*	 	 15.78	 36	10	Ir   	N	 187	 6.73	BS  	 2.21	60	 15	 0.00	-13.8	24.2	 7.78	 7.76	 	 7.68	 463	-1.9	NGC0891        	-1.4	-2.15	  1	UGC00288                     	UGC00288
      21	And XXV           	  4	00 30 08.9	+46 51 07	  4.80	 0.75	 0.42	>	23.00	15.90	 	     	11.42	*	 	      	   	-3	Sph  	X	-108	 0.81	HB  	 1.27	52	   	 0.00	 -9.1	27.8	 6.58	     	 	     	 170	 2.9	MESSIER031     	 2.9	 1.74	  0	And XXV                      	And XXV
      22	ESO473-024        	  7	00 31 22.5	-22 45 57	  1.55	 0.59	 0.08	 	16.92	16.38	 	19.06	13.96	*	 	 15.37	 48	10	Ir   	N	 530	 9.90	TF  	 4.44	63	 22	 0.00	-13.7	25.9	 7.72	 8.40	 	 8.18	 584	-1.1	NGC0024        	-0.8	 0.74	  0	ESO473-024                   	ESO473-024
      23	NGC0147           	  7	00 33 11.6	+48 30 28	 13.49	 0.61	 0.75	>	23.00	10.36	 	24.43	 7.20	 	>	 20.87	   	-3	Sph  	N	-193	 0.76	TRGB	 3.63	70	   	 0.00	-14.8	24.3	 8.21	     	<	 3.74	  85	 2.8	MESSIER031     	 2.8	 1.74	  1	NGC0147                      	NGC0147
      24	And III           	  6	00 35 33.8	+36 29 52	  3.63	 0.48	 0.10	>	23.00	15.20	 	23.76	11.01	*	>	 16.33	   	-3	Sph  	L	-346	 0.75	TRGB	 0.79	90	   	 0.00	 -9.3	26.5	 6.66	     	<	 5.55	 -82	 3.2	MESSIER031     	 3.2	 1.74	  1	And III                      	And III
      25	And XXX           	  2	00 36 34.9	+49 38 48	      	     	 0.71	 	     	     	 	     	     	*	 	      	   	  	     	 	-141	 0.68	TRGB	     	  	   	     	     	    	     	     	 	     	 136	 2.3	MESSIER031     	 2.4	 1.74	  0	And XXX                      	And XXX
      26	And XVII          	  5	00 37 07.0	+44 19 20	  1.90	 0.80	 0.32	 	21.19	17.70	 	     	13.31	*	>	 16.34	   	-2	Sph  	X	-251	 0.74	HB  	 0.44	43	   	 0.00	 -7.0	27.6	 5.74	     	<	 5.54	  22	 3.6	MESSIER031     	 3.6	 1.74	  0	And XVII                     	And XVII
      27	And XXVII         	  4	00 37 27.1	+45 23 13	  2.80	 0.60	 0.34	>	23.00	17.60	 	     	13.19	*	 	      	   	-3	Sph  	X	-535	 0.83	HB  	 0.73	71	   	 0.00	 -7.3	28.3	 5.88	     	 	     	-261	 3.0	MESSIER031     	 3.1	 1.74	  0	And XXVII                    	And XXVII
      28	NGC0185           	  7	00 38 58.0	+48 20 10	 12.30	 0.85	 0.79	 	     	 9.99	 	20.17	 6.56	 	 	 17.23	 36	-3	dE   	N	-203	 0.61	TRGB	 2.76	39	 21	 0.00	-14.7	23.8	 8.29	 8.14	 	 5.02	  73	 2.0	MESSIER031     	 2.0	 1.74	  1	NGC0185                      	NGC0185
      29	NGC0205           	  8	00 40 22.5	+41 41 11	 19.50	 0.61	 0.27	 	14.99	 8.72	>	27.87	 5.59	 	 	 16.41	 42	-2	dE   	N	-221	 0.82	TRGB	 4.92	64	 18	 0.00	-16.1	23.6	 8.92	 8.28	 	 5.60	  47	 3.6	MESSIER031     	 3.6	 1.74	  1	NGC0205                      	NGC0205
      30	And IV            	  7	00 42 30.1	+40 34 33	  1.00	 0.77	 0.27	 	17.89	17.18	 	21.06	14.54	*	 	 14.02	 90	10	Ir   	L	 237	 6.31	TRGB	 1.93	45	 56	 0.04	-12.1	25.6	 7.11	 8.84	 	 8.32	 503	-1.9	NGC0891        	-1.4	-1.47	  1	And IV                       	And IV
      31	MESSIER032        	  7	00 42 42.1	+40 51 59	  8.91	 0.71	 0.26	 	16.27	 8.89	 	23.24	 5.10	 	>	 14.27	   	-2	dEem 	H	-202	 0.49	TRGB	 1.33	53	   	 0.00	-14.8	22.1	 8.65	     	<	 6.00	  64	 1.4	MESSIER031     	 1.5	 1.74	  1	MESSIER032                   	MESSIER032
      32	MESSIER031        	  8	00 42 44.5	+41 16 09	190.55	 0.33	 0.27	 	     	 4.29	 	13.81	 0.99	 	 	  5.95	510	 3	     	 	-296	 0.77	Cep 	43.45	78	249	 0.98	-21.4	23.1	10.73	11.50	 	 9.73	 -29	 1.8	NGC0205        	 1.8	 1.40	  1	MESSIER031                   	MESSIER031
      33	DDO226            	  8	00 43 03.8	-22 15 01	  2.24	 0.36	 0.07	 	16.69	14.90	 	19.26	12.48	 	 	 15.47	 37	10	Ir   	N	 359	 4.92	TRGB	 3.12	90	 14	 0.00	-13.6	25.2	 7.71	 7.82	 	 7.53	 409	 0.1	NGC0253        	 0.1	-0.52	  1	DDO226                       	DDO226
      34	And I             	  6	00 45 40.0	+38 02 14	  2.88	 0.78	 0.23	 	22.11	13.90	 	24.61	 9.59	*	>	 16.32	   	-3	Sph  	L	-376	 0.73	TRGB	 0.65	48	   	 0.00	-10.7	24.7	 7.21	     	<	 5.53	-116	 3.4	MESSIER031     	 3.4	 1.74	  1	And I                        	And I
      35	And XI            	  5	00 46 20.0	+33 48 05	  1.10	 0.85	 0.35	 	21.23	18.50	 	     	14.08	*	>	 16.33	   	-3	Sph  	X	-419	 0.73	RR  	 0.26	39	   	 0.00	 -6.2	27.2	 5.42	     	<	 5.53	-167	 2.7	MESSIER031     	 2.7	 1.74	  0	And XI                       	And XI
      36	NGC0247           	  8	00 47 08.3	-20 45 36	 25.12	 0.32	 0.08	 	11.53	 9.86	 	13.16	 7.43	 	 	 10.74	207	 7	     	 	 161	 3.65	TRGB	25.91	74	 96	 0.49	-18.5	24.9	 9.48	10.44	 	 9.16	 216	 1.2	NGC0253        	 1.2	 1.78	  1	NGC0247                      	NGC0247
      37	And XII           	  5	00 47 27.0	+34 22 29	  1.90	 0.90	 0.49	>	23.00	18.70	 	     	14.15	*	>	 16.33	   	-3	Sph  	X	-556	 0.83	TRGB	 0.53	31	   	 0.00	 -6.4	28.5	 5.51	     	<	 5.64	-303	 2.6	MESSIER031     	 2.6	 1.74	  0	And XII                      	And XII
      38	NGC0253           	  8	00 47 34.3	-25 17 32	 37.15	 0.22	 0.08	 	11.31	 7.92	 	11.84	 3.77	 	 	 10.94	407	 5	     	 	 243	 3.94	TRGB	40.83	85	192	 1.15	-21.3	23.1	11.04	11.24	 	 9.15	 276	-0.4	NGC0247        	-0.3	 0.70	  1	NGC0253                      	NGC0253
      39	KDG002            	  7	00 49 21.1	-18 04 28	  1.23	 0.92	 0.10	 	19.47	16.37	>	25.92	13.93	*	 	 18.61	 26	10	Tr   	L	 224	 3.40	TRGB	 1.24	26	 11	 0.00	-11.4	25.4	 6.81	 7.24	 	 5.95	 290	 0.5	NGC0253        	 0.7	 1.79	  1	KDG002                       	KDG002
      40	DDO006            	  8	00 49 49.3	-21 00 58	  2.29	 0.41	 0.07	 	16.91	15.30	 	20.55	13.26	 	 	 15.86	 19	10	Ir   	N	 292	 3.34	TRGB	 2.18	90	  3	 0.00	-12.4	25.6	 7.06	 6.20	 	 7.04	 344	 0.6	NGC0253        	 0.7	 1.79	  1	DDO006                       	DDO006
      41	ESO540-032        	  7	00 50 24.6	-19 54 25	  1.51	 0.92	 0.09	 	19.70	16.44	 	24.10	14.01	*	 	 18.55	 17	10	Ir   	L	 228	 3.42	TRGB	 1.53	26	  6	 0.00	-11.3	25.9	 6.78	 6.78	 	 5.98	 285	 0.7	NGC0253        	 0.9	 1.79	  1	ESO540-032                   	ESO540-032
