#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:45 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/768/172/table3&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17680172
#Name: J/ApJ/768/172
#Title: Kinematic analysis of red giant in M31 dSphs (Collins+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	creator=Collins M.L.M.	    First author or institution
#INFO	cites=bibcode:2013ApJ...768..172C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/768/172	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17680172	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_768_172_table3:
#Name: J/ApJ/768/172/table3
#Title: Details of probable dSph members
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a10)	Field (dwarf spheroidal) name	[ucd=meta.id.parent]
#Column	m_Gal	(A1)	[ab] Index in case of multiple observations	[ucd=meta.code.multip]
#Column	ID	(I3)	[1/172] Star identifier in Gal	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	gmag	(F6.3)	[21.4/25] The CFHT/MegaCam g-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	imag	(F6.3)	[20.3/24] The CFHT/MegaCam i-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	HRV	(F7.2)	[-604.5/918.2] Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(F6.2)	[1.2/227] Error in HRV	[ucd=stat.error]
#Column	S/N	(F6.3)	[0.3/17] Signal-to-noise (per Angstrom)	[ucd=stat.snr]
#Column	Pi	(F6.3)	[0/1] Likelihood of membership (1)	[ucd=stat.likelihood]
#Column	Obs	(A3)	Details of this observation	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Gal	m_Gal	ID	RAJ2000	DEJ2000	gmag	imag	HRV	e_HRV	S/N	Pi	Obs	Simbad
      23	And VI    	 	 34	23 51 45.23	+24 33 00.7	22.165	20.770	-341.35	  2.01	 5.384	 0.474	Obs	Simbad
      24	And VI    	 	 41	23 51 52.41	+24 33 34.7	22.830	21.627	-340.42	  2.14	 4.036	 0.048	Obs	Simbad
      25	And VI    	 	 45	23 51 46.91	+24 33 53.0	23.694	22.698	-314.51	  6.52	 1.886	 0.866	Obs	Simbad
      26	And VI    	 	 46	23 51 50.74	+24 33 57.7	23.764	22.651	-340.84	  2.36	 4.569	 0.279	Obs	Simbad
      27	And VI    	 	 48	23 51 43.30	+24 34 06.8	24.723	23.518	-351.22	  2.14	 4.248	 0.974	Obs	Simbad
      28	And VI    	 	 50	23 51 44.38	+24 34 16.1	22.599	21.412	-350.49	  3.40	 2.601	 0.966	Obs	Simbad
      29	And VI    	 	 50	23 51 44.38	+24 34 16.1	24.057	23.279	-350.49	  3.40	 2.601	 0.992	Obs	Simbad
      30	And VI    	 	 56	23 51 43.17	+24 34 47.4	24.801	23.704	-334.28	  6.60	 1.254	 0.996	Obs	Simbad
      31	And VI    	 	 60	23 51 46.70	+24 35 16.5	24.089	23.488	-354.44	 11.69	 1.327	 0.991	Obs	Simbad
      32	And VI    	 	 65	23 51 46.94	+24 35 40.7	22.332	21.191	-326.74	  3.01	 3.808	 0.957	Obs	Simbad
      33	And VI    	 	 66	23 51 44.13	+24 35 45.1	23.366	22.436	-332.82	  8.19	 1.387	 0.996	Obs	Simbad
      34	And VI    	 	 67	23 51 54.79	+24 35 50.3	22.880	21.960	-328.10	  7.15	 1.863	 0.102	Obs	Simbad
      35	And VI    	 	 70	23 51 45.55	+24 36 03.8	22.147	21.092	-324.21	  2.57	 4.380	 0.980	Obs	Simbad
      36	And VI    	 	 73	23 51 50.85	+24 36 18.5	22.456	21.176	-336.70	  2.58	 3.549	 0.665	Obs	Simbad
      37	And VI    	 	 74	23 51 51.52	+24 36 23.5	22.463	21.292	-345.70	  3.48	 3.843	 0.549	Obs	Simbad
      38	And VI    	 	 75	23 51 41.55	+24 36 28.1	23.272	22.437	-320.62	 14.57	 0.867	 0.999	Obs	Simbad
      39	And VI    	 	 76	23 51 41.15	+24 36 33.0	22.376	21.287	-341.16	  3.32	 3.575	 0.998	Obs	Simbad
      40	And VI    	 	 78	23 51 54.23	+24 36 42.8	22.805	21.941	-351.77	 12.16	 1.431	 0.176	Obs	Simbad
      41	And VI    	 	 79	23 51 45.61	+24 36 47.1	22.921	21.960	-362.91	  8.38	 1.109	 0.984	Obs	Simbad
      42	And VI    	 	 84	23 51 46.60	+24 37 11.9	22.351	21.275	-323.01	  2.88	 3.562	 0.940	Obs	Simbad
      43	And VI    	 	 86	23 51 44.42	+24 37 26.3	23.376	22.464	-348.25	  6.95	 1.455	 0.986	Obs	Simbad
      44	And VI    	 	 88	23 51 46.21	+24 37 37.1	23.606	22.908	-347.09	  5.88	 2.087	 0.981	Obs	Simbad
      45	And VI    	 	 88	23 51 46.21	+24 37 37.1	22.746	21.874	-347.09	  5.88	 2.087	 0.959	Obs	Simbad
      46	And VI    	 	 89	23 51 41.12	+24 37 43.5	22.998	22.088	-308.26	  8.37	 1.997	 0.984	Obs	Simbad
      47	And VI    	 	 90	23 51 44.45	+24 37 48.8	22.122	20.959	-347.25	  1.73	 5.018	 0.952	Obs	Simbad
      48	And VI    	 	 94	23 51 41.76	+24 38 10.2	23.091	22.321	-346.71	  8.86	 1.621	 0.988	Obs	Simbad
      49	And VI    	 	 96	23 51 44.02	+24 38 22.3	23.012	22.204	-324.32	  8.52	 1.868	 0.958	Obs	Simbad
      50	And VI    	 	 98	23 51 40.55	+24 38 35.9	23.286	22.541	-352.03	  5.92	 1.322	 0.974	Obs	Simbad
      51	And VI    	 	 99	23 51 43.55	+24 38 45.9	22.335	21.234	-348.19	  2.40	 4.312	 0.879	Obs	Simbad
      52	And VI    	 	101	23 51 46.73	+24 38 59.0	22.442	21.506	-344.67	  4.61	 2.659	 0.681	Obs	Simbad
      53	And VI    	 	106	23 51 48.47	+24 39 39.6	22.968	21.965	-350.56	  4.26	 1.988	 0.198	Obs	Simbad
      54	And VI    	 	108	23 51 42.43	+24 39 55.9	23.328	22.464	-311.04	  7.02	 1.389	 0.476	Obs	Simbad
      55	And IX    	 	  5	00 53 15.36	+43 14 11.1	23.059	21.834	-209.27	  6.13	 3.196	 0.038	Obs	Simbad
      56	And IX    	 	 10	00 52 45.74	+43 12 53.6	22.859	21.230	-198.12	  3.34	 2.553	 0.290	Obs	Simbad
      57	And IX    	 	 13	00 52 53.18	+43 12 48.2	22.746	21.330	-207.02	  2.68	 4.688	 0.772	Obs	Simbad
      58	And IX    	 	 16	00 52 58.04	+43 11 40.6	22.888	21.242	-199.36	 19.30	 2.650	 0.198	Obs	Simbad
      59	And IX    	 	 17	00 52 58.96	+43 13 39.1	22.814	21.367	-214.10	 10.60	 2.548	 0.146	Obs	Simbad
      60	And IX    	 	 21	00 52 53.35	+43 12 41.3	22.874	21.373	-197.34	 14.75	 3.105	 0.685	Obs	Simbad
      61	And IX    	 	 29	00 52 52.30	+43 12 41.1	22.867	21.485	-209.22	  6.07	 3.714	 0.811	Obs	Simbad
      62	And IX    	 	 46	00 52 50.32	+43 11 54.4	23.256	21.919	-201.70	  4.56	 2.489	 0.973	Obs	Simbad
      63	And XI    	 	  9	00 46 22.65	+33 46 21.6	22.599	20.954	-431.84	  3.06	16.729	 0.377	Obs	Simbad
      64	And XI    	 	 10	00 46 19.10	+33 48 04.1	22.893	21.139	-424.40	  4.17	13.552	 0.996	Obs	Simbad
      65	And XI    	 	 12	00 46 15.14	+33 48 26.7	23.077	21.662	-420.77	  8.90	 8.567	 0.849	Obs	Simbad
      66	And XI    	 	 14	00 46 16.96	+33 48 03.8	23.489	22.165	-460.94	  5.29	 6.046	 0.913	Obs	Simbad
      67	And XI    	 	 15	00 46 21.56	+33 48 22.4	23.436	21.909	-426.52	  5.80	 7.698	 0.993	Obs	Simbad
      68	And XII   	 	  8	00 47 31.07	+34 24 11.1	23.057	21.646	-557.20	  9.57	 8.563	 0.912	Obs	Simbad
      69	And XII   	 	  9	00 47 24.73	+34 22 22.9	23.147	21.661	-565.80	  5.42	10.071	 0.997	Obs	Simbad
      70	And XII   	 	 10	00 47 27.85	+34 22 06.3	24.600	23.439	-556.90	  4.44	11.442	 0.998	Obs	Simbad
      71	And XII   	 	 12	00 47 28.67	+34 22 42.1	23.396	21.966	-561.00	  6.64	 9.770	 0.998	Obs	Simbad
      72	And XII   	 	 13	00 47 31.37	+34 22 56.7	23.538	22.145	-555.00	  8.30	 7.321	 0.988	Obs	Simbad
      73	And XII   	 	 15	00 47 26.69	+34 23 21.8	23.902	22.540	-548.10	  8.73	 6.167	 0.988	Obs	Simbad
      74	And XII   	 	 16	00 47 27.21	+34 23 52.5	23.918	22.540	-550.40	  5.52	 5.429	 0.969	Obs	Simbad
      75	And XIII  	 	 11	00 51 52.97	+33 00 18.4	23.102	21.536	-206.55	  6.15	 9.902	 0.647	Obs	Simbad
      76	And XIII  	 	 12	00 51 48.73	+33 00 34.5	23.272	21.900	-216.13	 11.25	 7.353	 0.415	Obs	Simbad
      77	And XIII  	 	 13	00 51 50.59	+32 59 01.4	23.630	21.875	-136.60	  4.51	 6.225	 0.001	Obs	Simbad
      78	And XIII  	 	 14	00 51 52.30	+32 58 05.4	23.746	22.419	-186.91	 12.64	 4.758	 0.012	Obs	Simbad
      79	And XIII  	 	 16	00 51 49.78	+33 00 41.3	23.965	22.779	-197.76	  9.60	 3.292	 0.791	Obs	Simbad
      80	And XV    	 	  5	01 14 26.41	+38 05 06.4	22.222	20.524	-351.31	 11.67	 8.801	 0.096	Obs	Simbad
      81	And XV    	 	  6	01 14 16.28	+38 05 49.6	22.774	21.255	-357.70	  7.50	 6.258	 0.613	Obs	Simbad
      82	And XV    	 	  8	01 14 20.70	+38 05 58.9	23.230	21.921	-358.76	  6.53	 3.806	 0.858	Obs	Simbad
      83	And XV    	 	  9	01 14 16.34	+38 06 08.2	22.532	20.856	-361.50	  8.33	 8.741	 0.467	Obs	Simbad
      84	And XV    	 	 12	01 14 16.30	+38 06 25.9	22.601	21.183	-315.40	  2.02	 6.268	 0.093	Obs	Simbad
      85	And XV    	 	 18	01 14 23.83	+38 08 43.3	23.495	22.307	-351.10	  7.37	 2.865	 0.702	Obs	Simbad
      86	And XV    	 	 20	01 14 14.65	+38 09 43.4	23.579	22.447	-353.58	 17.95	 2.285	 0.455	Obs	Simbad
      87	And XVI   	 	  4	00 59 23.24	+32 21 40.2	22.626	21.507	-403.30	 11.37	 3.689	 0.588	Obs	Simbad
      88	And XVI   	 	 10	00 59 43.05	+32 22 30.0	23.897	22.978	-405.80	  3.85	 1.098	 0.308	Obs	Simbad
      89	And XVI   	 	 11	00 59 46.40	+32 22 34.5	21.874	20.389	-398.08	  6.12	 9.103	 0.057	Obs	Simbad
      90	And XVI   	 	 13	00 59 27.45	+32 22 37.9	22.830	21.670	-367.02	 13.38	 2.589	 0.970	Obs	Simbad
      91	And XVI   	 	 14	00 59 28.44	+32 22 52.8	23.887	22.919	-366.51	  5.59	 0.824	 0.993	Obs	Simbad
      92	And XVI   	 	 18	00 59 36.69	+32 23 03.2	23.003	21.932	-357.36	  5.55	 2.621	 0.746	Obs	Simbad
      93	And XVI   	 	 25	00 59 04.96	+32 21 30.4	24.192	23.416	-377.42	 15.48	 0.925	 0.123	Obs	Simbad
      94	And XVII  	 	 12	00 37 16.20	+44 18 40.2	23.271	22.072	-258.20	  5.21	 2.118	 0.234	Obs	Simbad
      95	And XVII  	 	 14	00 37 15.26	+44 19 37.6	23.544	22.185	-282.79	 11.30	 1.621	 0.014	Obs	Simbad
      96	And XVII  	 	 15	00 37 16.59	+44 20 01.5	22.971	21.212	-251.27	  2.48	 5.006	 0.108	Obs	Simbad
      97	And XVII  	 	 16	00 37 14.10	+44 20 03.9	22.903	21.454	-262.07	  3.87	 3.447	 0.101	Obs	Simbad
      98	And XVII  	 	 18	00 37 15.93	+44 17 45.6	22.914	21.454	-256.19	  3.04	 3.907	 0.089	Obs	Simbad
      99	And XVII  	 	 24	00 37 24.46	+44 17 57.2	23.039	21.779	-250.27	  6.79	 2.652	 0.008	Obs	Simbad
     100	And XVII  	 	 27	00 37 10.48	+44 17 17.0	23.667	22.586	-257.24	  8.10	 1.326	 0.277	Obs	Simbad
     101	And XVIII 	 	 13	00 02 20.62	+45 05 53.9	23.787	22.309	-350.81	  5.81	 2.161	 0.873	Obs	Simbad
     102	And XVIII 	 	 14	00 02 12.78	+45 05 29.7	23.788	22.441	-342.88	  4.65	 2.132	 0.996	Obs	Simbad
     103	And XVIII 	 	 15	00 02 21.11	+45 05 41.3	24.013	22.292	-346.42	  5.51	 1.238	 0.778	Obs	Simbad
     104	And XVIII 	 	 16	00 02 11.86	+45 05 20.5	24.028	22.328	-349.43	  5.93	 2.552	 0.976	Obs	Simbad
     105	And XIX   	a	  1	00 19 22.69	+35 02 15.3	23.181	21.926	-107.13	  4.92	 2.151	 0.337	Obs	Simbad
     106	And XIX   	a	  2	00 19 30.73	+35 02 45.8	23.242	21.808	-108.41	  4.61	 3.020	 0.119	Obs	Simbad
     107	And XIX   	a	  9	00 19 39.97	+35 04 07.4	23.187	22.080	 -88.36	  7.56	 2.224	 0.008	Obs	Simbad
     108	And XIX   	a	 10	00 20 01.22	+35 04 13.9	23.037	21.427	-104.78	  2.88	 4.079	 0.011	Obs	Simbad
     109	And XIX   	a	 12	00 19 27.24	+35 04 28.9	23.609	22.374	-110.54	  6.23	 1.704	 0.298	Obs	Simbad
     110	And XIX   	a	 16	00 19 54.24	+35 04 57.2	23.336	22.091	-103.95	  4.93	 2.414	 0.282	Obs	Simbad
     111	And XIX   	a	 17	00 19 49.36	+35 05 09.6	23.462	22.237	-116.16	  6.36	 2.203	 0.226	Obs	Simbad
     112	And XIX   	a	 18	00 19 39.43	+35 05 23.6	23.372	22.188	 -97.84	  5.14	 1.904	 0.155	Obs	Simbad
     113	And XIX   	a	 21	00 19 40.71	+35 05 59.5	23.619	22.405	-119.19	  8.59	 1.646	 0.422	Obs	Simbad
     114	And XIX   	a	 22	00 19 38.57	+35 06 17.9	23.105	21.767	-101.00	  4.41	 3.106	 0.154	Obs	Simbad
     115	And XIX   	a	 23	00 19 35.34	+35 06 36.9	22.940	21.467	-116.15	  3.38	 3.957	 0.180	Obs	Simbad
     116	And XIX   	a	 26	00 20 06.60	+35 04 08.1	22.970	21.464	-111.63	  2.88	 4.186	 0.102	Obs	Simbad
     117	And XIX   	a	 29	00 20 02.53	+35 03 29.2	23.841	22.783	-133.31	 11.53	 0.963	 0.255	Obs	Simbad
     118	And XIX   	a	 35	00 19 42.13	+35 04 04.4	23.663	22.525	-117.15	  6.08	 1.387	 0.467	Obs	Simbad
     119	And XIX   	a	 49	00 19 52.69	+35 05 59.6	23.589	22.571	-117.30	  9.82	 1.832	 0.094	Obs	Simbad
     120	And XIX   	a	 51	00 19 17.58	+35 06 24.6	23.939	22.826	-105.27	 22.76	 0.316	 0.312	Obs	Simbad
     121	And XIX   	a	 96	00 19 40.97	+35 05 17.9	23.388	22.102	-122.15	  7.92	 2.139	 0.277	Obs	Simbad
     122	And XIX   	b	  2	00 19 22.69	+35 02 15.3	23.181	21.926	-109.03	  4.59	 2.727	 0.356	Obs	Simbad
     123	And XIX   	b	 10	00 19 32.85	+35 05 36.7	23.590	22.405	-108.71	  5.85	 1.922	 0.404	Obs	Simbad
     124	And XIX   	b	 12	00 19 24.17	+35 07 17.5	23.675	22.467	-118.65	  9.44	 1.746	 0.392	Obs	Simbad
     125	And XIX   	b	 38	00 19 25.18	+35 08 34.4	24.015	23.064	-119.37	  9.88	 0.901	 0.277	Obs	Simbad
     126	And XIX   	b	 40	00 19 28.46	+35 09 28.0	24.061	23.028	-108.65	 12.06	 0.781	 0.536	Obs	Simbad
     127	And XIX   	b	 42	00 19 36.84	+35 10 54.9	23.748	22.852	-110.57	 13.94	 0.957	 0.098	Obs	Simbad
     128	And XIX   	b	 43	00 19 29.71	+35 11 11.7	23.839	22.726	 -91.57	 16.10	 0.853	 0.094	Obs	Simbad
     129	And XIX   	b	 44	00 19 15.31	+35 12 28.0	23.958	22.851	-128.36	 16.41	 0.563	 0.187	Obs	Simbad
     130	And XIX   	b	 46	00 19 30.63	+35 14 46.3	23.766	22.614	-120.47	  8.55	 1.146	 0.091	Obs	Simbad
     131	And XIX   	b	 65	00 19 26.84	+35 03 48.9	23.294	21.305	 -96.27	  2.58	 4.938	 0.001	Obs	Simbad
     132	And XX    	 	  9	00 07 29.85	+35 07 41.5	22.842	21.336	-451.75	  2.35	 6.285	 0.892	Obs	Simbad
     133	And XX    	 	 10	00 07 32.46	+35 07 33.1	23.190	21.804	-449.48	  3.28	 3.814	 0.693	Obs	Simbad
     134	And XX    	 	 12	00 07 28.18	+35 07 32.5	23.276	22.009	-466.02	  3.85	 3.305	 0.670	Obs	Simbad
     135	And XX    	 	 15	00 07 26.96	+35 07 59.7	23.685	22.470	-465.93	  6.34	 2.235	 0.583	Obs	Simbad
     136	And XXI   	 	  4	23 54 51.69	+42 29 59.4	23.081	21.597	-339.01	 13.17	 1.265	 0.846	Obs	Simbad
     137	And XXI   	 	  7	23 54 45.71	+42 29 56.5	23.310	21.788	-362.97	  2.87	 3.895	 0.988	Obs	Simbad
     138	And XXI   	 	 13	23 55 00.16	+42 25 45.3	23.011	21.386	-368.11	  2.37	 5.363	 0.767	Obs	Simbad
     139	And XXI   	 	 14	23 54 52.84	+42 24 57.8	23.067	21.400	-357.34	  1.93	 5.963	 0.786	Obs	Simbad
     140	And XXI   	 	 16	23 54 51.09	+42 26 36.8	23.072	21.586	-368.61	  2.22	 4.360	 0.972	Obs	Simbad
     141	And XXI   	 	 19	23 54 59.37	+42 26 42.9	23.170	21.809	-363.47	  3.54	 3.393	 0.900	Obs	Simbad
     142	And XXI   	 	 20	23 54 52.91	+42 27 51.0	23.198	21.688	-354.41	  5.00	 2.435	 0.987	Obs	Simbad
     143	And XXI   	 	 23	23 54 44.25	+42 25 18.2	23.287	21.994	-369.81	  3.81	 3.435	 0.745	Obs	Simbad
     144	And XXI   	 	 26	23 54 54.45	+42 26 34.9	23.366	21.978	-368.45	  4.55	 3.042	 0.901	Obs	Simbad
     145	And XXI   	 	 33	23 54 49.42	+42 28 05.9	23.658	22.307	-362.06	  4.19	 2.708	 0.999	Obs	Simbad
     146	And XXI   	 	 34	23 54 57.53	+42 25 24.0	23.658	22.323	-351.29	  4.23	 2.624	 0.552	Obs	Simbad
     147	And XXI   	 	 35	23 54 46.88	+42 28 03.7	23.670	22.351	-368.01	  4.48	 2.531	 1.000	Obs	Simbad
     148	And XXI   	 	 42	23 54 50.39	+42 33 06.5	23.063	21.330	-363.27	  1.83	 5.499	 0.661	Obs	Simbad
     149	And XXI   	 	 43	23 54 55.93	+42 33 32.2	23.191	21.571	-359.53	  3.27	 3.861	 0.620	Obs	Simbad
     150	And XXI   	 	 46	23 54 42.57	+42 31 42.5	23.450	22.160	-361.83	  4.65	 2.880	 0.863	Obs	Simbad
     151	And XXI   	 	 49	23 54 40.34	+42 33 53.2	23.743	22.481	-366.46	  5.34	 1.824	 0.493	Obs	Simbad
     152	And XXI   	 	 55	23 55 06.08	+42 25 10.0	23.111	21.714	-365.20	  3.45	 3.559	 0.754	Obs	Simbad
     153	And XXI   	 	 56	23 55 02.89	+42 25 29.7	23.144	21.585	-361.63	  2.71	 4.510	 0.885	Obs	Simbad
     154	And XXI   	 	 62	23 55 05.16	+42 34 35.5	23.710	22.473	-370.26	  8.80	 1.745	 0.201	Obs	Simbad
     155	And XXI   	 	 63	23 54 40.47	+42 29 44.8	23.730	22.692	-368.05	  7.37	 1.857	 0.852	Obs	Simbad
     156	And XXI   	 	 66	23 54 42.70	+42 30 27.7	23.950	22.665	-355.61	  7.26	 1.643	 0.909	Obs	Simbad
     157	And XXI   	 	 68	23 54 56.92	+42 31 23.3	23.985	22.660	-353.55	  5.80	 1.490	 0.637	Obs	Simbad
     158	And XXI   	 	 71	23 54 57.20	+42 29 48.8	24.069	22.910	-367.28	  7.68	 1.496	 0.938	Obs	Simbad
     159	And XXI   	 	 73	23 54 48.50	+42 33 16.2	24.122	22.854	-358.83	  7.84	 1.329	 0.584	Obs	Simbad
     160	And XXI   	 	 77	23 54 43.88	+42 32 02.3	24.363	23.242	-344.25	 10.44	 1.077	 0.560	Obs	Simbad
