StreamName	TrackName	InfoFlags	Imp	On	Length_deg	RA_i_deg	DEC_i_deg	D_i_kpc	RA_f_deg	DEC_f_deg	D_f_kpc	TRefs	DRefs
Hermus	Hermus-G14	1100	st	1	47.6	245.4	5.0	18.9	253.2	50.0	14.9	22	22
Hrid	Hrid-I21	1110	st	1	61.7	278.6	15.2	3.2	288.9	76.7	3.9	32	32
Hyllus	Hyllus-G14	1100	st	1	23.5	249.1	11.0	23.0	246.9	34.0	18.5	22,27	22
Indus	Indus-S19	1010	st	1	18.2	324.1	-52.0	16.6	350.3	-64.2	16.6	61,60	60
Jet	Jet-F22	1110	st	1	30.3	129.0	-34.5	33.3	148.5	-10.1	27.3	13	34
Jet	Jet-J18	0000	ep	0	12.5	133.8	-27.7	28.6	142.0	-17.8	28.6	34	34
Jhelum-a	Jhelum-a-B19	1010	st	1	30.0	7.3	-52.2	13.0	321.5	-46.2	13.0	09	60
Jhelum-a	Jhelum-a-S19	1010	st	0	24.6	323.0	-46.9	13.2	0.5	-51.5	13.2	61,60	60
Jhelum-b	Jhelum-b-B19	1010	st	1	30.0	7.1	-51.3	13.0	322.1	-45.4	13.0	09	09
Jhelum-b	Jhelum-b-S19	1010	st	0	13.4	341.9	-50.8	13.2	3.1	-50.6	13.2	61,60	09
Jhelum	Jhelum-I21	1110	st	0	27.7	10.4	-49.9	10.9	327.4	-48.6	11.2	32	60
Kshir	Kshir-I21	1110	st	1	17.4	193.4	65.6	10.1	237.7	67.3	11.0	32	32
Kwando	Kwando-G17	1000	st	0	12.5	19.0	-23.9	20.0	31.0	-29.4	20.0	24	24
Kwando	Kwando-I21	1110	st	1	20.6	14.9	-14.0	8.2	29.3	-29.6	7.0	32	24
Leiptr	Leiptr-I21	1110	st	1	70.4	57.9	3.4	8.9	115.8	-44.5	6.0	32	30
Lethe	Lethe-G09	0000	ep	1	81.2	171.0	18.0	13.0	258.0	20.0	13.0	20	20
LMS-1	LMS1-M21	1011	st	0	49.6	195.2	13.4	19.0	245.2	31.4	19.0	42	73
LMS-1	LMS1-Y20	1111	st	1	179.2	145.2	-0.1	16.2	315.9	-5.6	16.2	73	73
M2	M2-G22	1010	st	0	73.3	281.1	-16.2	11.7	347.4	-9.7	11.7	26,04	15
M2	M2-I21	1110	st	1	22.6	310.4	-5.0	10.6	331.6	2.6	12.2	32	15
M30	M30-S20	1000	st	1	8.8	320.8	-25.4	8.5	328.3	-20.6	8.5	65,28	65
M5	M5-G19	1010	st	1	41.4	226.8	3.8	15.9	188.1	21.0	12.3	25	25
M5	M5-I21	1110	st	0	8.1	195.8	17.4	7.5	203.8	15.0	7.5	32	25
M5	M5-S20	1000	st	0	4.9	228.0	3.0	7.5	231.7	0.3	7.5	65,28	25
M68	M68-I21	1110	st	0	15.4	186.3	-43.8	4.1	191.0	-29.0	4.1	32	53
M68-Fjorm	Fjorm-I21	1110	st	0	141.4	189.3	-47.2	0.0	292.2	65.3	7.2	32	53,30
M68-Fjorm	M68-P19	1210	st	1	133.5	190.1	-47.3	8.3	273.5	66.5	4.7	53	53,30
M92	M92-I21	1110	st	1	21.1	246.9	43.0	9.2	273.2	38.4	7.0	32	65,67,32
M92	M92-S20	1000	st	0	9.3	254.4	41.4	8.5	264.6	41.0	8.5	65,28	65,67,32
M92	M92-T20	1000	st	0	18.2	250.3	39.3	8.3	271.3	38.6	8.3	67	65,67,32
Molonglo	Molonglo-G17	1000	st	1	19.4	10.3	-24.5	20.0	354.6	-12.0	20.0	24	24
Monoceros	Monoceros-R21	1110	st	1	46.9	78.5	71.7	10.6	116.1	30.6	10.6	59	49
Murrumbidgee	Murrumbidgee-G17	1000	st	1	123.6	124.3	-65.6	20.0	358.6	16.0	20.0	24	24
NGC1261	NGC1261-I21	1110	st	1	17.4	41.7	-62.6	16.5	56.5	-47.5	22.7	32	32,60
NGC1851	NGC1851-I21	1110	st	1	15.8	84.0	-50.6	14.7	78.4	-36.5	13.5	32	32,60
NGC2298	NGC2298-I21	1110	st	1	11.8	93.3	-32.2	12.4	105.6	-38.1	11.0	32	02,65,32
NGC2298	NGC2298-S20	1000	st	0	4.7	104.5	-37.7	9.8	100.6	-34.6	9.8	65,28	02,65,32
NGC2808	NGC2808-I21	1110	st	0	19.5	124.2	-57.3	1.9	157.0	-71.0	6.5	32	32
NGC288	NGC288-S20	1000	st	0	10.3	12.2	-24.2	9.0	13.2	-31.1	9.0	65,28	15,60,65,32
NGC288	NGC288-I21	1110	st	1	12.1	5.9	-20.0	11.5	15.3	-28.4	10.6	32	15,60,65,32
NGC3201	NGC3201-I21	1110	st	0	11.9	146.9	-45.5	5.4	164.0	-47.2	5.4	32	54,30
NGC3201-Gjoll	NGC3201-P21	1110	st	1	136.9	42.3	20.8	5.3	178.4	-46.7	3.2	54	54,30
NGC3201-Gjoll	Gjoll-I21	1110	st	0	57.5	64.9	2.4	3.9	112.2	-34.1	3.3	32	54,30
NGC5466	NGC5466-G06	1000	st	0	45.3	228.8	20.5	16.6	180.9	39.6	16.6	16	05,16
NGC5466	NGC5466-I21	1110	st	0	16.8	208.8	29.6	15.6	224.7	21.0	14.1	32	05,16
NGC5466	NGC5466-J21	1110	st	1	30.9	192.8	35.5	26.8	224.6	21.8	14.3	33	05,16
NGC6101	NGC6101-I21	1110	st	0	10.5	242.9	-72.8	14.8	270.4	-67.7	16.0	32	32
NGC6362	NGC6362-S20	1000	st	1	4.5	258.7	-64.6	7.6	264.2	-67.9	7.6	65,28	65
NGC6397	NGC6397-I21	1110	st	1	18.3	257.7	-54.5	2.4	288.3	-53.1	2.6	32	32
OmegaCen-Fimbulthul	OmegaCen-I21	1110	st	1	43.4	198.7	-52.9	5.1	213.2	-19.3	2.9	32	31,30
OmegaCen-Fimbulthul	OmegaCen-S20	1000	st	0	8.6	196.1	-45.2	5.4	207.4	-48.7	5.4	65,28	31,30
Ophiuchus	Ophiuchus-B14	0000	po	0	2.4	240.6	-7.2	9.5	243.0	-6.7	9.5	06	06
Ophiuchus	Ophiuchus-C20	1010	st	1	6.8	241.0	-7.2	8.3	247.6	-7.3	8.3	11	06
Orinoco	Orinoco-G17	1000	st	1	21.4	0.0	-25.5	20.6	22.7	-28.4	20.6	24	24
Orphan-Chenab	Orphan-I21	1110	st	0	86.7	145.5	40.0	30.4	177.2	-41.7	14.5	32	19,60,37
Orphan-Chenab	Orphan-K19	1111	st	1	230.6	341.0	-13.7	100.0	136.4	60.3	55.4	37	19,60,37
Orphan-Chenab	Chenab-S19	1010	st	0	10.1	322.1	-59.0	39.8	328.6	-49.6	39.8	61,60	19,60,37
PS1-A	PS1-A-B16	0000	po	1	4.9	28.4	-6.5	7.9	30.1	-1.9	7.9	07	07
PS1-B	PS1-B-B16	0000	po	1	9.9	145.6	-15.3	14.5	151.1	-7.0	14.5	07	07
PS1-C	PS1-C-B16	0000	po	1	7.9	330.2	11.7	17.4	334.9	18.2	17.4	07	07
PS1-D	PS1-D-B16	0000	po	1	44.9	138.7	-21.6	22.9	140.7	23.3	22.9	07	07
PS1-E	PS1-E-B16	0000	po	1	24.9	160.1	46.2	12.6	193.0	62.9	12.6	07	07
Pal13	Pal13-S20	0000	ep	1	10.9	344.3	8.9	23.6	350.2	18.2	23.6	62	60
Pal15	Pal15-M17	1000	st	1	1.5	255.3	-1.5	38.4	254.8	-0.1	38.4	48,28	48
Pal5	Pal5-S20	1000	st	0	27.2	240.3	5.2	22.5	220.6	-12.0	22.5	66	52
Pal5	Pal5-I21	1110	st	0	22.3	223.1	-7.5	17.8	240.2	6.1	20.4	32	52
Pal5	Pal5-PW19	1110	st	1	21.4	242.1	6.9	22.0	224.7	-4.8	19.1	56,10	52
Palca	Palca-S18	0000	ep	1	57.3	30.3	-53.7	36.3	16.2	2.4	36.3	60	60
Parallel	Parallel-W18	1100	st	1	37.7	192.8	0.0	14.8	156.2	8.7	16.5	69	64
Pegasus	Pegasus-P19	1000	st	1	8.6	328.3	20.9	18.0	333.4	28.1	18.0	55	55
Perpendicular	Perpendicular-W18	1100	st	1	21.3	186.0	7.5	15.1	184.3	27.5	15.6	69	69
Phlegethon	Phlegethon-I21	1110	st	1	63.6	313.7	-48.5	3.5	325.5	14.0	4.1	32	30
Phoenix	Phoenix-S19	1010	st	1	11.8	19.8	-55.1	17.5	27.0	-44.3	17.5	61,03	03
Ravi	Ravi-S18	0020	ep	1	16.6	334.8	-44.1	22.9	344.0	-59.7	22.9	60,61	60,47
Sagittarius	Sagittarius-A20	1110	st	1	280.0	62.8	16.0	37.3	149.8	27.8	19.4	01,58	45,46,29,40
Sangarius	Sangarius-G17	0000	po	1	50.1	134.0	-17.6	21.0	131.5	32.4	21.0	23	23
Scamander	Scamander-G17	0000	po	1	65.2	151.6	-20.5	21.0	143.6	44.3	21.0	23	23
Slidr	Slidr-I21	1110	st	1	34.2	149.2	17.6	2.4	178.9	2.0	3.9	32	30
Styx	Styx-G09	0000	ep	1	60.4	194.0	20.0	45.0	259.0	21.0	45.0	20	20
Svol	Svol-I21	1110	st	1	34.7	220.6	27.8	8.9	258.0	21.4	6.3	32	30
Sylgr	Sylgr-I21	1110	st	1	26.1	165.3	-11.6	2.4	188.1	0.4	5.8	32	30
Tri-Pis	Tri-Pis-B12	1001	st	1	13.5	21.0	36.1	26.0	24.0	22.9	26.0	08,43	08,43
TucanaIII	TucanaIII-S19	1010	st	1	4.3	354.6	-59.8	23.4	3.0	-59.5	26.9	61,60,38	12
Turbio	Turbio-S18	0020	ep	1	15.0	28.0	-61.0	16.6	27.9	-46.0	16.6	60,61	60
Turranburra	Turranburra-S19	1010	st	1	13.7	59.7	-18.6	27.5	72.6	-25.3	27.5	61,60	60
Wambelong	Wambelong-S18	0020	ep	1	14.2	90.5	-45.6	15.1	79.3	-34.3	15.1	60,61	60
Willka_Yaku	Willka_Yaku-S18	0020	ep	1	6.4	36.1	-64.6	34.7	38.4	-58.3	34.7	60,61	60
Ylgr	Ylgr-I21	1110	st	1	44.8	163.8	2.4	8.6	181.7	-39.2	10.0	32	30
