#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:32 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:32	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table8&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table8:
#Name: J/ApJ/933/47/table8
#Title: Unconfirmed/possible candidate satellites
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[9/289] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-65/57] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	D-Host	(F5.2)	[3.5/11.9] Host distance	[ucd=pos.distance]
#Column	Tel	(a8)	SBF Source for attempt	[ucd=meta.ref]
recno	Name	RAJ2000	DEJ2000	Host	D-Host	Tel
      32	dw1045p1315   	161.279	+13.265	NGC3379	10.70	
      33	dw1045p1413   	161.484	+14.227	NGC3379	10.70	
      34	dw1045p1332   	161.493	+13.548	NGC3379	10.70	CFHT
      35	dw1046p1342   	161.627	+13.701	NGC3379	10.70	CFHT
      36	dw1046p1358   	161.682	+13.972	NGC3379	10.70	
      37	dw1046p1118   	161.708	+11.304	NGC3379	10.70	
      38	dw1047p1117   	161.784	+11.285	NGC3379	10.70	
      39	dw1047p1145   	161.949	+11.762	NGC3379	10.70	HSC
      40	dw1048p1121   	162.096	+11.352	NGC3379	10.70	CFHT
      41	dw1049p1121   	162.404	+11.351	NGC3379	10.70	
      42	dw1049p1057   	162.417	+10.956	NGC3379	10.70	
      43	dw1049p1146   	162.479	+11.780	NGC3379	10.70	
      44	dw1050p1352   	162.515	+13.889	NGC3379	10.70	CFHT
      45	dw1050p1353   	162.585	+13.896	NGC3379	10.70	CFHT
      46	dw1051p1359   	162.746	+13.993	NGC3379	10.70	
      47	dw1051p1101   	162.766	+11.020	NGC3379	10.70	
      48	dw1051p1310   	162.974	+13.169	NGC3379	10.70	
      49	dw1054p1217   	163.721	+12.297	NGC3379	10.70	
      50	dw1104p0033   	166.207	+00.551	NGC3521	11.20	HSC
      51	dw1104p5534   	166.166	+55.574	NGC3556	 9.55	
      52	dw1108p5520   	167.248	+55.341	NGC3556	 9.55	
      53	dw1109p5447   	167.305	+54.786	NGC3556	 9.55	
      54	dw1110p5429   	167.647	+54.497	NGC3556	 9.55	
      55	dw1111p5631   	167.947	+56.532	NGC3556	 9.55	
      56	dw1111p5547   	167.986	+55.799	NGC3556	 9.55	
      57	dw1113p5529   	168.280	+55.493	NGC3556	 9.55	
      58	dw1113p5541   	168.293	+55.689	NGC3556	 9.55	
      59	dw1113p5644   	168.400	+56.735	NGC3556	 9.55	
      60	dw1116p5551   	169.032	+55.862	NGC3556	 9.55	
      61	dw1116p5537   	169.172	+55.617	NGC3556	 9.55	
      62	dw1122p5515   	170.742	+55.262	NGC3556	 9.55	
      63	dw1123p5602   	170.832	+56.049	NGC3556	 9.55	
      64	dw1114p1307   	168.713	+13.132	NGC3627	10.50	
      65	dw1116p1356   	169.032	+13.941	NGC3627	10.50	
      66	dw1116p1324   	169.097	+13.410	NGC3627	10.50	
      67	dw1117p1250   	169.435	+12.837	NGC3627	10.50	CFHT
      68	dw1118p1330   	169.566	+13.514	NGC3627	10.50	HSC
      69	dw1119p1210   	169.900	+12.177	NGC3627	10.50	CFHT
      70	dw1120p1223   	170.221	+12.392	NGC3627	10.50	CFHT
      71	dw1121p1129   	170.265	+11.487	NGC3627	10.50	
      72	dw1121p1411   	170.372	+14.197	NGC3627	10.50	HSC
      73	dw1123p1346   	170.985	+13.778	NGC3627	10.50	CFHT
      74	dw1125p1316   	171.479	+13.269	NGC3627	10.50	
      75	dw1126p1246   	171.589	+12.771	NGC3627	10.50	
      76	dw1223p4644   	185.954	+46.749	NGC4258	 7.20	
      77	dw1234p2618   	188.740	+26.314	NGC4565	11.90	CFHT
      78	dw1235p2616   	188.843	+26.271	NGC4565	11.90	CFHT
      79	dw1236p2634   	189.244	+26.579	NGC4565	11.90	CFHT
      80	dw1237p2605   	189.362	+26.086	NGC4565	11.90	CFHT
      81	dw1237p2637   	189.428	+26.624	NGC4565	11.90	CFHT
      82	dw1238m1122   	189.640	-11.368	M104   	 9.55	CFHT
      83	dw1238m1102   	189.743	-11.036	M104   	 9.55	CFHT
      84	dw1242m1116   	190.683	-11.274	M104   	 9.55	CFHT
      85	dw1242m1129   	190.707	-11.489	M104   	 9.55	CFHT
      86	dw1247p3313   	191.908	+33.233	NGC4631	 7.40	
      87	dw1234p3952   	188.593	+39.879	NGC4736	 4.20	
      88	dw1241p4103   	190.254	+41.053	NGC4736	 4.20	
      89	dw1242p4115   	190.547	+41.252	NGC4736	 4.20	
      90	dw1303p4222   	195.810	+42.373	NGC4736	 4.20	
      91	dw1305p4206   	196.499	+42.106	NGC4736	 4.20	
      92	dw1308p4054   	197.191	+40.901	NGC4736	 4.20	
      93	dw1311p4051   	197.922	+40.863	NGC4736	 4.20	
      94	dw1245p2309   	191.259	+23.166	NGC4826	 5.30	
      95	dw1251p2324   	192.868	+23.401	NGC4826	 5.30	
      96	dw1305p4206-n2	196.499	+42.106	NGC5055	 8.87	
      97	dw1308p4054-n2	197.191	+40.901	NGC5055	 8.87	
      98	dw1311p4051-n2	197.922	+40.863	NGC5055	 8.87	
      99	dw1315p4304   	198.752	+43.085	NGC5055	 8.87	
     100	dw1323p4058   	200.935	+40.973	NGC5055	 8.87	
     101	dw1859m6402   	284.861	-64.040	NGC6744	 8.95	DECAM
     102	dw1901m6315   	285.373	-63.259	NGC6744	 8.95	DECAM
     103	dw1903m6449   	285.843	-64.828	NGC6744	 8.95	DECAM
     104	dw1903m6405   	285.915	-64.099	NGC6744	 8.95	DECAM
     105	dw1909m6341   	287.285	-63.685	NGC6744	 8.95	DECAM
     106	dw1912m6432   	288.095	-64.542	NGC6744	 8.95	DECAM

