#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/527/7438&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75277438
#Name: J/MNRAS/527/7438
#Title: MaNGA kinematic catalogue (Ristea+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/mnras/527/7438	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/527/7438	    IVOID of underlying data collection
#INFO	creator=Ristea A.	    First author or institution
#INFO	cites=bibcode:2024MNRAS.527.7438R	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/527/7438	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75277438	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-05-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_527_7438_catalog:
#Name: J/MNRAS/527/7438/catalog
#Title: Catalogue of the kinematic properties of MaNGA DR17 galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Plateifu	(A11)	Plate-ifu of the observation, the same as in drpall_v3_1_1 (plateifu)	[ucd=obs.field]
#Column	MaNGA	(A9)	MaNGA ID of the galaxy, the same as in drpall_v3_1_1 (mangaid)	[ucd=meta.id.parent]
#Column	RAJ2000	(F15.11)	Right ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	logMstar	(F6.3)	log of the stellar mass (log_Mstar)	[ucd=phys.mass]
#Column	logSFR	(F6.3)	log of the star formation rate (log_SFR)	[ucd=meta.id;meta.main]
#Column	VelST1Re	(F19.15)	? Stellar rotational velocity at 1Re from the centred and inclination-corrected rotation curve (Vel_ST_1Re)	[ucd=phys.veloc.rotat]
#Column	e_VelST1Re	(F20.16)	? Error in stellar rotational velocity at 1Re, accounting for the uncertainty in the rotation curve centering (err_Vel_ST_1Re)	[ucd=stat.error]
#Column	VelST1.3Re	(F19.15)	? Stellar rotational velocity at 1.3Re from the centred and inclination-corrected rotation curve (Vel_ST_1.3Re)	[ucd=phys.veloc.rotat]
#Column	e_VelST1.3Re	(F19.16)	? Error in stellar rotational velocity at 1.3Re, accounting for the uncertainty in the rotation curve centering(err_Vel_ST_1.3Re)	[ucd=stat.error]
#Column	VelST2Re	(F19.15)	? Stellar rotational velocity at 2Re from the centred and inclination-corrected rotation curve (Vel_ST_2Re)	[ucd=phys.veloc.rotat]
#Column	e_VelST2Re	(F19.16)	? Error in stellar rotational velocity at 2Re, accounting for the uncertainty in the rotation curve centering (err_Vel_ST_2Re)	[ucd=stat.error]
#Column	VsigST1Re	(F19.16)	? Stellar rotational velocity to dispersion ratio integrated within 1Re (Vsig_ST_1Re)	[ucd=phys.veloc;arith.diff]
#Column	VsigST1.3Re	(F19.16)	? Stellar rotational velocity to dispersion ratio integrated within 1Re (Vsig_ST_1.3Re)	[ucd=phys.veloc;arith.diff]
#Column	VsigST2Re	(F19.16)	? Stellar rotational velocity to dispersion ratio integrated within 1Re (Vsig_ST_2Re)	[ucd=phys.veloc;arith.diff]
#Column	VelG1Re	(F19.15)	? Ionised gas rotational velocity at 1Re, from the centred and inclination-corrected rotation curve (Vel_G_1Re)	[ucd=phys.veloc.rotat]
#Column	e_VelG1Re	(F19.16)	? Error in ionised gas rotational velocity at 1Re, accounting for the uncertainty in the rotation curve centering (err_Vel_G_1Re)	[ucd=stat.error]
#Column	VelG1.3Re	(F19.15)	? Ionised gas rotational velocity at 1.3Re, from the centred and inclination-corrected rotation curve (Vel_G_1.3Re)	[ucd=phys.veloc.rotat]
#Column	e_VelG1.3Re	(F19.16)	? Error in ionised gas rotational velocity at 1.3Re, accounting for the uncertainty in the rotation curve centering (err_Vel_G_1.3Re)	[ucd=stat.error]
#Column	VelG2Re	(F19.15)	? Ionised gas rotational velocity at 2Re, from the centred and inclination-corrected rotation curve (Vel_G_2Re)	[ucd=phys.veloc.rotat]
#Column	e_VelG2Re	(F19.16)	? Error in ionised gas rotational velocity at 2Re, accounting for the uncertainty in the rotation curve centering (err_Vel_G_2Re)	[ucd=stat.error]
#Column	VsigG1Re	(D23.16)	? Ionised gas rotational velocity to dispersion ratio integrated within 1Re (Vsig_G_1Re)	[ucd=phys.veloc;arith.diff]
#Column	VsigG1.3Re	(F20.17)	? Ionised gas rotational velocity to dispersion ratio integrated within 1.3Re (Vsig_G_1.3Re)	[ucd=phys.veloc;arith.diff]
#Column	VsigG2Re	(F20.17)	? Ionised gas rotational velocity to dispersion ratio integrated within 2Re (Vsig_G_2Re)	[ucd=phys.veloc;arith.diff]
#Column	Sample	(I1)	[1/4] Sample (Sample) (1)	[ucd=src.sample]
#Column	RmaxST	(F4.1)	? The maximum radius in multiples of Re (out of 1Re, 1.3Re and 2Re) reached by the stellar rotation curve (Rmax_ST)	[ucd=phys.size.radius;stat.max]
#Column	RmaxG	(F4.1)	? The maximum radius in multiples of Re (out of 1Re, 1.3Re and 2Re) reached by the gas rotation curve (Rmax_G)	[ucd=phys.size.radius;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Plateifu	MaNGA	RAJ2000	DEJ2000	logMstar	logSFR	VelST1Re	e_VelST1Re	VelST1.3Re	e_VelST1.3Re	VelST2Re	e_VelST2Re	VsigST1Re	VsigST1.3Re	VsigST2Re	VelG1Re	e_VelG1Re	VelG1.3Re	e_VelG1.3Re	VelG2Re	e_VelG2Re	VsigG1Re	VsigG1.3Re	VsigG2Re	Sample	RmaxST	RmaxG	Simbad
      18	 11983-1901	  1-22648	257.07746129200	+64.57592363160	10.259	-0.840	 78.970208218303100	 46.0004340933460156	 92.826200324388367	46.7990119408122354	126.661271950685176	51.1633382174929849	 0.2317872987331501	 0.3516420104469169	 0.5318197586765449	122.645003531429126	 7.0000000000000000	130.515138247653198	 7.0000000000000000	150.157060330342119	 7.0000000000000000	 6.6365094430305671e-01	 1.01212592249506783	 1.57394340502155794	3	 2.0	 2.0	Simbad
      19	  8310-3703	 1-516559	180.11574765300	+23.62538532780	10.769	-1.901	 45.998517821745139	 24.5627028322747165	 56.338326938651157	29.3657795647092428	 47.871243012258276	38.8964098120392805	 0.0639718446165254	 0.0780183137606163	 0.1037784052778762	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      20	  8481-3703	  1-91747	238.94512967900	+56.12555007470	10.270	-1.960	110.282809234550129	 20.4133609293735034	126.353419279127067	20.9210405003211797	157.621586705978416	23.8445861196498257	 0.3802908519586589	 0.4568575932605743	 0.6202834521453866	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      21	 12087-3703	 1-117781	348.41835107000	+14.98145046680	10.009	-0.022	 68.428237189914825	 36.2266369805619846	 74.794759579374258	37.0324916647803164	                   	                   	 0.3401217604476333	 0.4434264125088001	                   	 87.653929549500134	 8.0677271397097066	101.124153002195811	 8.0677271397097066	109.565879162204766	 8.0677271397097066	 1.0745379354281068e+00	 1.47036834613847445	 1.93169193585210985	3	 1.3	 2.0	Simbad
      22	 10505-3701	 1-300705	139.38787871300	+33.14041508610	11.012	-1.080	177.332005159878861	 15.5906529680352328	185.458919837253006	17.6742530021696140	171.936924202373859	31.1961514706768099	 0.2863850776858576	 0.3339534301030857	 0.3903118294621063	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      23	  8568-3702	 1-392862	155.35623659700	+36.37099319930	10.684	-2.203	104.725824844642830	 16.7392035001591708	136.135496187344273	18.3536042385159277	164.070247149041165	20.8726744378963218	 0.2634190974937448	 0.3653914084244086	 0.5232475031135374	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      24	 12620-3704	 1-395713	202.45645732400	+29.11420933790	 9.798	-1.273	                   	                    	                   	                   	                   	                   	                   	                   	                   	 97.040119200084618	10.9043020837186067	105.868734039736651	10.9043020837186067	133.507167424169182	13.4045595666592749	 1.4499684905159993e+00	 1.67828169693958706	 1.96112745247849185	2	    	 2.0	Simbad
      25	 11752-3703	  1-54970	144.02561785400	 +1.46074122874	10.560	-2.548	                   	                    	                   	                   	                   	                   	                   	                   	                   	245.995744987284525	29.1933839720334447	267.844175416443818	27.0378378794037815	244.479989154734426	32.5113934050962428	 6.0036116798775263e-01	 0.78371667650445709	 0.94168722069856048	2	    	 2.0	Simbad
      26	 11969-3701	 1-560594	228.38313706500	 +7.52130454562	10.638	-2.456	143.854222445687583	 11.7626050592984051	161.825622592469387	12.1049648069564189	195.192779571868471	13.7686121888042656	 0.2736750978534166	 0.3561746526727434	 0.5532732048811203	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      27	  8097-3702	  1-42463	 26.74532371630	+14.14493902550	10.369	-2.513	106.717539877953925	  9.0738661913079994	116.955817375590115	 9.6934959121563438	135.494540197627401	13.8293254499715790	 0.4275064911871703	 0.5594912451892975	 0.7592293237708713	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      28	  8719-1901	 1-548191	121.17614047300	+46.73342395370	 9.820	-1.164	 53.374875774731265	 26.7436388460842736	 81.180349492542547	30.9508717493877796	111.805938555941054	34.1526574936027458	 0.1421602299479357	 0.1992183485124447	 0.3254019098215177	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      29	  9035-3701	 1-247714	236.21415639100	+43.69746369820	 9.814	-0.067	 41.956268392501315	 35.5918591357615384	 54.930238002530253	38.1096047997635665	                   	                   	 0.2492208501122811	 0.2686653962655425	                   	 71.686999333379404	 7.9223296314965772	 78.786582109787190	 7.9223296314965772	 82.068481005014604	 9.7846244796206427	 7.5653279059099343e-01	 0.85320416414613454	 0.96479265154500105	3	 1.3	 2.0	Simbad
      30	  9492-3702	 1-297924	116.76927177000	+18.59063062700	10.478	-0.274	144.839037013731570	 12.1120082608488371	165.569686255641045	12.5644910962984273	196.435436403044747	15.6174387851123910	 0.3472921010424350	 0.4533245960708136	 0.7149831306737463	 50.354873087087554	36.8356392512193338	 66.298178066162890	37.1334741648279447	                   	                   	 1.6032805679987266e-01	 0.21667888402129976	                    	3	 2.0	 1.3	Simbad
      31	  7957-1902	 1-547135	256.77565585000	+35.63997803060	10.546	-1.463	121.190136817524404	 41.9047754309063336	165.325739614927897	43.0841127337326952	204.921460563987949	45.2996222277971867	 0.2015471292499766	 0.2588088623202713	 0.4282601372343174	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      32	 12622-1902	 1-420769	202.33196254500	+32.00472243270	 9.973	 0.368	 92.446734362960726	 41.1158274559370795	120.385931738412239	43.0422278815726003	114.024238602328239	50.3662603013731029	 0.2508988898459073	 0.3430589163123069	 0.4930347470988691	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      33	  8097-3704	  1-42273	 27.26330385110	+12.87360317580	 9.548	-0.646	                   	                    	                   	                   	                   	                   	                   	                   	                   	 61.237097635520357	 7.3851403404619322	 55.745612306085405	 7.7989831151824127	                   	                   	 9.1335105541639749e-01	 1.01837313854931732	                    	2	    	 1.3	Simbad
      34	 11981-3702	 1-294260	254.02211708900	+20.56065706740	 9.595	-0.435	                   	                    	                   	                   	                   	                   	                   	                   	                   	 87.955109105092404	 7.0000000000000000	 94.028125535229591	 7.0000000000000000	 76.973391253165261	10.1019250638670144	 1.1477659085502889e+00	 1.34509997192821684	 1.57048366536468542	2	    	 2.0	Simbad
      35	  8617-3701	 1-180614	324.27073188300	 +0.47894338091	10.777	-1.620	148.721173759991302	 10.4005454548497518	165.510195356120846	10.8205746907046816	192.521559484274292	14.6275102685910952	 0.3142869128699651	 0.3663589996219161	 0.5005172030168482	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      36	  9035-3703	 1-247871	235.64976607200	+44.67325662990	 9.471	-0.206	                   	                    	                   	                   	                   	                   	                   	                   	                   	 49.811094006567814	 7.6973433376710672	 52.648131309488470	 7.6973433376710672	 45.065845813713324	11.7449992016688043	 6.7232148296801852e-01	 0.82554980899862396	 0.96223527100972428	2	    	 2.0	Simbad
      37	  8553-3704	  1-91019	234.97035233900	+56.36832329090	10.066	 0.510	                   	                    	                   	                   	                   	                   	                   	                   	                   	134.151750996469843	 8.1455989068892016	156.340883524543727	 8.1455989068892016	178.398343125728331	 8.1455989068892016	 1.1427221499975719e+00	 1.31953224851529893	 1.52163517229557077	2	    	 2.0	Simbad
      38	  8447-3703	 1-260823	208.29184613100	+40.11919716360	10.683	-0.269	                   	                    	                   	                   	                   	                   	                   	                   	                   	230.328732892451683	 9.1997363083595189	255.890284782376909	 9.1997363083595189	269.196127832493858	 9.1997363083595189	 1.6892887585187839e+00	 2.15186863819625529	 2.98798296406544761	2	    	 2.0	Simbad
      39	  9088-3703	 1-265618	241.20267373300	+26.41335263110	10.585	-1.656	127.231159176076218	 14.2128967166345159	141.041488008436289	15.0037723010473929	161.574017909520649	19.0742416128544221	 0.3555927609371076	 0.4544938604449268	 0.6228569362577643	103.070021678700726	46.0350571853954449	123.283070443144155	46.0350571853954449	160.968776353480564	46.0350571853954449	 4.0399792091258541e-01	 0.56726247857758283	 0.83286718363030565	3	 2.0	 2.0	Simbad
      40	  7963-3701	 1-178906	313.57073990100	 -1.24917520529	10.689	-0.646	189.230056395998417	 32.9271784318532639	208.343952708203972	34.9349179773399499	                   	                   	 0.3296544185377164	 0.4253176786977720	                   	214.813756618731446	93.2529005272458704	                   	                   	                   	                   	 4.1797290878497445e-01	                    	                    	3	 1.3	 1.0	Simbad
      41	 11011-3704	 1-197647	219.29251013200	+48.80658131830	10.779	-1.344	142.967785212367232	  9.6348166962016890	166.109895099729556	10.4451514717086784	184.758156261084594	11.6384641711749985	 0.3498220578863211	 0.4447930425730043	 0.5908109666768933	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      42	  8568-3701	 1-392010	154.63616322400	+36.26215187000	10.676	-1.761	107.953528023939469	 13.1746865613375626	128.286488436004419	15.5804409915516615	130.939107384786354	21.8370862550769935	 0.2607145736107532	 0.3180587902463477	 0.3976010438274738	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
