#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/511/139&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75110139
#Name: J/MNRAS/511/139
#Title: CRDs galaxies candidates in SDSS-IV MaNGA (Bevacqua+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	creator=Bevacqua D.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.511..139B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/511/139	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75110139	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-07-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_511_139_table1:
#Name: J/MNRAS/511/139/table1
#Title: Properties of Counter-Rotating stellar Disks galaxy candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MaNGAId	(A8)	MaNGA-ID associated with a unique MaNGA galaxy (MaNGA-ID)	[ucd=meta.id;meta.main]
#Column	DR15	(A4)	Link to see the MaNGA DR15 catalog	[ucd=meta.ref.url]
#Column	n_MaNGAId	(I1)	[1/2]? Note on MaNGAId objects (1)	[ucd=meta.note]
#Column	Mtype	(A2)	Galaxy Hubble morphology (Morphology) (2)	[ucd=src.morph.type]
#Column	logM*	(F5.2)	Stellar mass taken from Graham et al. 2019arXiv191005139G (log10M*)	[ucd=phys.mass]
#Column	Pth50	(F5.2)	Elliptical Petrosian 50 per cent light radius in SDSS r-band (Re)	[ucd=phys]
#Column	DPA	(F5.1)	? Difference of the kinematic position angles between the stellar and the gas velocity fields ({Delta}PA) (3)	[ucd=pos.posAng]
#Column	n_DPA	(A5)	Note on DPA (star/gas_alignment) (4)	[ucd=meta.note]
#Column	Pop	(A5)	[young old nan] Correspond to the corotation of the gaseous disk with the younger or older disk (star/gas_vs.pop)	[ucd=src.class]
#Column	logAge	(F5.2)	Luminosity weighted mean age within 1 R_e_ as in the equation 8 of the section 4.1 Stellar population maps (log10<Age>)	[ucd=phys.luminosity;stat.mean]
#Column	[M/H]	(F5.2)	Luminosity weighted mean metallicity within 1 R_e_ as in the equation 9 of the section 4.1 Stellar population maps (<[M/H]>)	[ucd=phys.luminosity;stat.mean]
#Column	GradAge	(F5.2)	Gradient of Age (GradAge) (5)	[ucd=time.age]
#Column	Grad[M/H]	(F5.2)	Gradient of metallicity (Grad[M/H]) (5)	[ucd=arith.grad;phys.abund]
#Column	Modality	(A5)	Modality of the weights maps from regularized fits (Modality) (6)	[ucd=src.class]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (declination part)	[ucd=pos.eq.dec;meta.main]
recno	MaNGAId	DR15	n_MaNGAId	Mtype	logM*	Pth50	DPA	n_DPA	Pop	logAge	[M/H]	GradAge	Grad[M/H]	Modality	Simbad	_RA	_DE
      25	1-246175	DR15	 	S0	10.35	 2.81	  8.5	outer	young	 9.85	-0.58	-0.16	 0.10	multi	Simbad	219.54619	+53.46257
      26	1-210728	DR15	 	E 	10.77	 3.08	     	nan  	nan  	10.04	-0.17	-0.06	-0.23	multi	Simbad	247.27996	+39.49573
      27	1-248869	DR15	2	E 	11.24	 3.31	 26.5	outer	nan  	10.02	 0.12	 0.03	-0.24	uni  	Simbad	244.69082	+39.33444
      28	1-136248	DR15	2	S0	10.84	 4.04	  1.0	outer	young	 9.93	-0.03	-0.10	-0.33	multi	Simbad	253.79391	+36.90631
      29	1-179561	DR15	 	E 	10.48	 1.53	  1.5	inner	young	 9.39	-0.56	 0.18	-0.12	sf   	Simbad	319.75116	-00.96399
      30	1-635590	DR15	2	E 	11.64	 4.94	     	nan  	nan  	10.07	 0.14	 0.04	-0.36	uni  	Simbad	321.05441	+01.11838
      31	1-113698	DR15	1	S0	 9.38	 1.10	 10.5	inner	young	 9.20	-0.81	-0.10	 0.12	multi	Simbad	319.19404	+11.54001
      32	1-44722 	DR15	 	E 	 9.88	 4.68	     	nan  	nan  	10.05	-0.47	-0.12	-0.35	nan  	Simbad	120.91890	+46.72739
      33	1-45016 	DR15	 	E 	11.67	 6.27	     	nan  	nan  	10.04	 0.04	 0.06	-0.14	uni  	Simbad	122.25628	+44.86853
      34	1-163594	DR15	 	E 	11.53	 2.89	108.5	mis  	nan  	 9.89	 0.07	 0.10	-0.33	multi	Simbad	115.49432	+23.17638
      35	1-248410	DR15	 	S0	 9.94	 1.31	  2.5	outer	old  	 9.61	-0.49	 0.17	-0.12	sf   	Simbad	241.20852	+42.03581
      36	1-235983	DR15	 	E 	10.04	 0.75	 95.5	mis  	nan  	10.01	-0.14	 0.04	-0.18	multi	Simbad	223.63646	+42.38544
      37	1-236144	DR15	 	S 	10.92	 5.77	 19.0	outer	nan  	 9.92	-0.35	-0.01	-0.39	multi	Simbad	226.21185	+42.73448
      38	1-174947	DR15	2	S0	11.00	 5.64	  2.0	outer	young	10.05	-0.06	-0.02	-0.55	nan  	Simbad	176.35873	+49.87904
      39	1-278079	DR15	 	E 	11.96	 7.53	     	nan  	nan  	 9.98	 0.16	 0.06	-0.08	uni  	Simbad	166.08657	+46.05610
      40	1-188530	DR15	 	E 	11.00	 3.69	164.0	inner	nan  	10.19	-0.34	-0.04	-0.07	uni  	Simbad	175.81782	+55.27770
      41	1-149172	DR15	1	S0	 9.49	 1.12	 38.0	mis  	nan  	 9.26	-0.70	-0.12	 0.02	sf   	Simbad	170.53953	+51.13043
      42	1-94773 	DR15	 	E 	10.56	 1.60	     	nan  	nan  	 9.72	-0.22	 0.02	-0.01	multi	Simbad	249.30243	+44.08551
      43	1-94690 	DR15	2	S0	10.56	 2.63	  6.0	inner	young	 9.84	-0.28	-0.03	-0.20	multi	Simbad	251.37791	+43.58164
      44	1-323766	DR15	 	E 	10.16	 1.04	  0.5	inner	nan  	 9.82	-0.32	 0.16	-0.24	multi	Simbad	246.17600	+32.06437
      45	1-323764	DR15	1	S0	 9.94	 2.18	  7.5	outer	young	 9.42	-0.52	-0.36	-0.41	sf   	Simbad	246.05405	+31.87586
      46	1-135244	DR15	2	E 	11.19	 2.53	     	nan  	nan  	 9.99	 0.06	-0.04	-0.19	multi	Simbad	246.90712	+42.63823
      47	1-549076	DR15	2	U 	11.40	 5.21	     	nan  	nan  	10.01	 0.09	-0.05	-0.12	uni  	Simbad	232.23514	+28.28955
      48	1-314719	DR15	 	E 	11.91	15.51	     	nan  	nan  	 9.96	 0.12	 0.13	-0.46	uni  	Simbad	226.23181	+31.12498
      49	1-299176	DR15	 	E 	11.66	 6.79	     	nan  	nan  	 9.99	 0.14	-0.01	-0.26	uni  	Simbad	129.03256	+26.81206
      50	1-298940	DR15	 	E 	10.63	 2.74	     	nan  	nan  	 9.94	-0.24	-0.11	-0.18	multi	Simbad	127.03681	+26.09499
      51	1-593328	DR15	2	E 	11.71	 6.99	  0.0	inner	nan  	10.02	 0.11	-0.14	-0.27	uni  	Simbad	219.65708	+46.66312
      52	1-322291	DR15	 	S0	10.20	 2.56	     	nan  	nan  	 9.76	-0.22	 0.07	-0.37	multi	Simbad	229.79559	+43.20456
      53	1-633000	DR15	 	S0	10.27	 1.62	 31.5	mis  	nan  	 9.37	-0.47	 0.18	 0.20	sf   	Simbad	233.23196	+42.43826
      54	1-251198	DR15	 	S0	10.64	 2.47	 17.0	inner	young	 9.87	-0.35	 0.11	 0.02	multi	Simbad	209.63979	+41.72418
      55	1-266244	DR15	1	S0	 9.63	 1.18	     	nan  	nan  	 9.30	-0.80	-0.13	 0.07	sf   	Simbad	216.54660	+42.71124
      56	1-234115	DR15	 	E 	10.53	 2.13	  3.5	inner	nan  	10.07	-0.25	-0.03	-0.26	nan  	Simbad	197.44581	+48.89959
      57	1-457547	DR15	 	S0	10.24	 1.56	 13.0	outer	young	 9.66	-0.31	-0.14	-0.24	sf   	Simbad	201.92066	+26.06163
      58	1-188177	DR15	2	E 	10.59	 3.17	 22.5	outer	nan  	 9.89	-0.26	-0.15	-0.49	multi	Simbad	176.12969	+53.68272
      59	1-269227	DR15	2	E 	10.76	 1.54	     	nan  	nan  	10.04	 0.07	 0.02	-0.13	uni  	Simbad	242.66982	+30.25514
      60	1-318513	DR15	 	S0	10.24	 1.39	  3.0	outer	nan  	 9.75	-0.60	 0.02	-0.05	multi	Simbad	244.03604	+24.07953
      61	1-42660 	DR15	1	S0	10.75	 2.84	  6.0	outer	young	 9.68	-0.33	-0.31	-0.50	multi	Simbad	028.18505	+13.19255
      62	1-121871	DR15	 	S0	10.41	 2.72	 10.5	outer	nan  	 9.61	-0.29	 0.02	-0.22	sf   	Simbad	120.76670	+36.26449
      63	1-297822	DR15	 	E 	10.90	 2.18	     	nan  	nan  	 9.67	-0.12	 0.04	-0.12	multi	Simbad	117.20692	+18.38357
      64	1-386322	DR15	 	E 	10.22	 1.56	  4.0	outer	nan  	 9.87	-0.20	 0.06	-0.24	multi	Simbad	134.21395	+27.27010

#Table	J_MNRAS_511_139_tableg18:
#Name: J/MNRAS/511/139/tableg18
#Title: Galaxy properties estimated in Graham et al. 2019arXiv191005139G
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MaNGAId	(A9)	MaNGA-ID associated with a unique MaNGA galaxy (MaNGA-ID)	[ucd=meta.id;meta.main]
#Column	DR15	(A4)	Link to see the MaNGA DR15 catalog	[ucd=meta.ref.url]
#Column	Clean	(A1)	[Y N] In clean sample? (CleanSample?) (1)	[ucd=src.class]
#Column	Mtype	(A4)	Hubble classification type as in Section 3.6 of Graham et al. 2018MNRAS.477.4711G, Cat. J/MNRAS/477/4711 (HubbleGroup) (2)	[ucd=meta.code.class;src.morph.type]
#Column	Rotator	(A1)	[F S] Whether the galaxy is a fast 3900 sources or slow rotator 560 sources (F/SRotator)	[ucd=src.class]
#Column	Classkin	(A4)	Kinematic classification as described in Section 3.4 of Graham et al. 2018MNRAS.477.4711G, Cat. J/MNRAS/477/4711 (KClass) (3)	[ucd=src.class]
#Column	LambdaRe	(F6.3)	? The spin parameter measured within the effective radius from Graham et al. 2018MNRAS.477.4711G, Cat. J/MNRAS/477/4711 ,also defined in the equation 1 of our work (lambda_Re)	[ucd=phys.size.radius;arith.ratio]
#Column	Ell	(F6.3)	Ellipticity 1-b/a where a/b=semi-major/minor axes taken from either the MGE fit, the photometric fit from find galaxy or the NSA catalogue (ellipticity)	[ucd=src.ellipticity]
#Column	logM*	(F5.2)	Stellar mass either calculated from the absolute K_S_ using equation 2 of Cappellari 2013ApJ...778L...2C or taken from the NSA catalogue and scaled to 2MASS (log10M*)	[ucd=phys.mass]
#Column	sigma	(F5.2)	? Effective velocity dispersion calculated using equation 29 of Cappellari et al. 2013MNRAS.432.1709C (log10sigma_e)	[ucd=phys.veloc.dispersion;meta.modelled]
#Column	_RA	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (declination part)	[ucd=pos.eq.dec;meta.main]
recno	MaNGAId	DR15	Clean	Mtype	Rotator	Classkin	LambdaRe	Ell	logM*	sigma	_RA	_DE
 	 	 	 	 	 	 	 	 	[Msun]	km/s	deg	deg
--------	---------	----	-	----	-	----	------	------	-----	-----	---------	---------
       1	12-98126 	DR15	Y	E   	F	R   	 0.731	 0.337	10.36	 1.84	230.50746	+43.53234
       2	12-84674 	DR15	N	U   	F	R   	 0.770	 0.048	11.10	 1.80	231.36070	+43.16990
       3	12-193481	DR15	N	M/CP	F	R   	 0.425	 0.250	11.33	 2.11	229.52558	+42.74584
       4	12-84627 	DR15	Y	S0  	F	R   	 0.880	 0.586	11.20	 2.11	230.15302	+41.96044
       5	1-322161 	DR15	Y	U   	F	R   	 0.610	 0.412	10.08	 1.76	231.20531	+42.17256
       6	1-322159 	DR15	N	S0  	F	R   	 0.344	 0.235	 9.78	 1.90	231.04263	+42.06872
       7	1-322172 	DR15	Y	I   	F	NR  	 0.201	 0.444	 9.45	 1.63	230.57439	+42.28701
       8	12-84670 	DR15	Y	E   	S	NR  	 0.024	 0.032	11.84	 2.31	230.59834	+43.36778
       9	12-180451	DR15	N	E   	S	F   	      	 0.121	 9.30	     	232.16734	+43.02268
      10	12-84617 	DR15	N	E   	F	R   	 0.169	 0.423	 9.49	 1.92	231.47876	+41.90977
      11	12-84726 	DR15	Y	S0  	F	R   	 0.567	 0.315	 9.53	 1.77	231.57732	+41.29463
      12	12-180432	DR15	Y	S   	F	R   	 0.649	 0.364	10.98	 1.99	231.60670	+42.35403
      13	12-84665 	DR15	Y	S0  	F	R   	 0.481	 0.548	 9.98	 1.92	230.23367	+42.77554
      14	12-84677 	DR15	Y	E   	F	R   	 0.701	 0.250	11.71	 2.18	232.15807	+42.44202
      15	12-84660 	DR15	Y	S   	F	R   	 0.711	 0.348	10.92	 1.78	229.24684	+42.59826
      16	12-84679 	DR15	Y	E   	S	R   	 0.156	 0.320	11.83	 2.44	232.01386	+42.81367
      17	12-129612	DR15	Y	S   	F	R   	 0.899	 0.775	11.05	 2.07	205.07482	+26.34956
      18	1-458515 	DR15	N	S0  	F	R   	 0.922	 0.522	10.88	 2.01	206.47067	+26.77516
      19	1-458395 	DR15	Y	S0  	F	R   	 0.759	 0.208	10.72	 2.04	205.44092	+27.10634
      20	1-458396 	DR15	Y	S   	F	R   	 0.902	 0.418	11.17	 2.06	205.43841	+27.00474
      21	12-110746	DR15	Y	E   	F	R   	 0.219	 0.174	10.31	 2.06	205.53997	+27.57037
      22	12-129608	DR15	Y	S0  	F	R   	 0.881	 0.481	10.06	 1.77	205.04477	+26.84104
      23	12-129446	DR15	Y	S0  	F	R   	 0.754	 0.138	11.50	 2.08	203.94354	+26.10179
      24	12-192149	DR15	Y	S0  	F	R   	 0.791	 0.689	10.18	 1.89	205.00799	+26.97890
      25	12-110756	DR15	Y	S0  	F	R   	 0.961	 0.728	 9.92	 1.74	205.24333	+27.72628
      26	12-129434	DR15	Y	S0  	F	R   	 0.514	 0.289	 9.51	 1.90	203.78377	+25.49544
      27	12-192116	DR15	Y	I   	F	R   	 0.368	 0.233	 9.40	 1.75	204.51286	+26.33821
      28	12-129534	DR15	Y	S0  	F	R   	 0.708	 0.744	 9.77	 1.82	204.69273	+26.49877
      29	12-129610	DR15	Y	I   	F	R   	 0.357	 0.065	 9.54	 1.90	204.88484	+27.10715
      30	1-458359 	DR15	Y	S0  	F	R   	 0.897	 0.500	10.53	 1.96	204.66850	+26.73067
      31	12-129609	DR15	Y	S0  	F	R   	 0.867	 0.296	10.57	 1.98	204.88452	+26.77754
      32	1-113469 	DR15	Y	S0  	F	R   	 0.625	 0.551	10.06	 1.84	317.94353	+09.27749
      33	1-113403 	DR15	Y	S0  	F	R   	 0.885	 0.354	10.91	 1.98	316.96428	+11.26232
      34	1-113418 	DR15	Y	S0  	F	R   	 0.822	 0.662	11.29	 2.14	319.35376	+10.23162
      35	1-635503 	DR15	Y	S   	F	R   	 0.698	 0.007	11.15	 1.98	318.99045	+09.54308
      36	1-113468 	DR15	Y	S   	F	R   	 0.794	 0.234	11.62	 2.23	317.91828	+09.34565
      37	1-113540 	DR15	Y	S   	F	R   	 0.592	 0.099	10.73	 1.92	317.90320	+11.49694
      38	1-113585 	DR15	Y	E   	S	R   	 0.092	 0.256	11.62	 2.31	319.11343	+10.76762
      39	1-113651 	DR15	Y	S0  	F	R   	 0.637	 0.106	11.21	 2.15	319.23395	+09.63757
      40	1-113379 	DR15	Y	S0  	F	R   	 0.442	 0.720	 9.39	 1.83	316.54157	+10.34542
      41	1-113668 	DR15	N	M/CP	S	CR  	 0.146	 0.085	11.64	 2.39	318.82774	+10.49681
      42	1-113521 	DR15	Y	S0  	F	R   	 0.654	 0.064	11.69	 2.07	317.38874	+11.50292
      43	1-113712 	DR15	Y	S   	F	R   	 0.524	 0.237	11.36	 2.71	319.19310	+11.04374
      44	1-113375 	DR15	Y	S   	F	R   	 0.887	 0.479	10.23	 1.88	316.63966	+10.75122
      45	1-113219 	DR15	Y	S0  	F	R   	 0.829	 0.537	10.03	 1.71	317.37475	+10.05194
      46	1-546816 	DR15	N	S0  	F	R   	 0.583	 0.099	10.12	 1.27	256.87409	+35.92429
      47	1-547131 	DR15	Y	S   	F	R   	 0.768	 0.654	10.83	 2.00	256.69374	+35.65818
      48	1-547210 	DR15	Y	S0  	F	R   	 0.877	 0.347	11.84	 2.38	258.19022	+36.27886
      49	1-546807 	DR15	Y	S   	F	R   	 0.586	 0.346	10.25	 1.82	257.42743	+36.41495
      50	1-547159 	DR15	Y	S0  	F	R   	 0.815	 0.073	11.46	 2.08	257.63066	+35.50673
      51	1-136306 	DR15	Y	S0  	F	R   	 0.956	 0.380	 9.97	 1.15	255.86993	+36.43666
      52	1-634477 	DR15	Y	S0  	F	R   	 0.532	 0.237	10.23	 1.96	255.89528	+36.40154
      53	1-547135 	DR15	Y	S0  	F	R   	 0.498	 0.285	10.97	 2.11	256.77566	+35.63998
      54	1-547107 	DR15	Y	S0  	F	R   	 0.468	 0.372	 9.98	 1.93	256.56580	+35.41715
      55	1-634538 	DR15	Y	E   	F	R   	 0.454	 0.163	11.40	 2.33	256.36966	+35.63467
      56	1-547180 	DR15	Y	S0  	F	R   	 0.776	 0.224	 9.90	 1.60	257.59430	+36.33960
      57	1-546813 	DR15	Y	S0  	F	R   	 0.748	 0.133	 9.64	 1.60	257.44943	+36.53725
      58	1-561020 	DR15	Y	E   	S	R   	 0.078	 0.102	11.35	 2.24	256.79195	+34.26975
      59	1-546834 	DR15	Y	E   	F	R   	 0.495	 0.139	11.35	 2.27	256.67349	+35.86958
      60	1-177296 	DR15	Y	S0  	F	R   	 0.622	 0.456	 9.99	 1.76	256.94449	+35.13414
      61	1-561039 	DR15	Y	S0  	F	R   	 0.797	 0.691	10.75	 2.02	258.27109	+35.26862
      62	1-595044 	DR15	Y	S   	F	R   	 0.639	 0.667	10.28	 1.91	258.22041	+35.09316
      63	1-547185 	DR15	Y	S   	F	R   	 0.670	 0.263	10.58	 1.85	258.10358	+35.44552
      64	1-177285 	DR15	Y	S0  	F	R   	 0.591	 0.527	 9.76	 1.82	256.95711	+34.43981
      65	1-177745 	DR15	Y	S0  	F	R   	 0.716	 0.666	10.10	 1.80	257.83363	+32.87433
      66	1-547415 	DR15	Y	S0  	F	F   	 0.804	 0.748	10.50	 2.27	259.05540	+34.05541
      67	1-546966 	DR15	Y	S   	F	R   	 0.830	 0.710	10.44	 1.89	258.14722	+34.69247
      68	1-177762 	DR15	Y	S   	F	R   	 0.618	 0.428	10.09	 1.71	258.15238	+32.87563
      69	1-177236 	DR15	N	E   	S	NR  	 0.048	 0.052	10.37	 1.83	256.39893	+34.74642
