#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:38 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:38	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/374/394&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33740394
#Name: J/A+A/374/394
#Title: Gas and stars kinematics in disc galaxies (Vega Beltran+ 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/374/394	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/374/394	    IVOID of underlying data collection
#INFO	creator=Vega Beltran J.C.	    First author or institution
#INFO	cites=bibcode:2001A&A...374..394V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/374/394	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33740394	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_374_394_galaxies:
#Name: J/A+A/374/394/galaxies
#Title: Summary of galaxies studied
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	Simbad	(A6)	ask the SIMBAD data-base about this object	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A10)	Right Ascension J2000 (hours) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000 (degrees) (1)	[ucd=pos.eq.dec;meta.main]
#Column	ONames	(a31)	Other name(s)	[ucd=meta.id]
recno	Name	Simbad	NED	RAJ2000	DEJ2000	ONames
 	 	 	 	"h:m:s"	"d:m:s"	
--------	-------	------	---	----------	---------	-------------------------------
       1	NGC0224	Simbad	NED	00 42 44.3	+41 16 09	M 31
       2	NGC0470	Simbad	NED	01 19 45.0	+03 24 35	UGC 858
       3	NGC0949	Simbad	NED	02 30 48.9	+37 08 12	UGC 1983 = EQ 0227+369
       4	NGC0980	Simbad	NED	02 35 18.6	+40 55 35	UGC 2063 = MCG+07-06-038
       5	NGC1160	Simbad	NED	03 01 13.5	+44 57 18	UGC 2475 = IRAS 02579+4445
       6	NGC2541	Simbad	NED	08 14 40.4	+49 03 42	UGC 4284 = IRAS F08109+4912
       7	NGC2683	Simbad	NED	08 52 41.7	+33 25 10	UGC 4641 = 87GB 084932.5+333654
       8	NGC2841	Simbad	NED	09 22 02.0	+50 58 40	UGC 4966 = 2E 0918.5+5111
       9	NGC3031	Simbad	NED	09 55 33.2	+69 03 55	M 81
      10	NGC3200	Simbad	NED	10 18 36.5	-17 58 57	UGCA 210 = ESO 567- 45
      11	NGC3368	Simbad	NED	10 46 45.8	+11 49 10	M 96 = NGC 3368
      12	NGC3705	Simbad	NED	11 30 07.6	+09 16 36	UGC 6498 = IRAS F11275+0933
      13	NGC3810	Simbad	NED	11 40 58.9	+11 28 17	UGC 6644 = 87GB 113827.0+114446
      14	NGC4419	Simbad	NED	12 26 56.6	+15 02 49	UGC 7551 = EQ 1224+153
      15	NGC5064	Simbad	NED	13 19 00.3	-47 54 40	ESO 220- 2 = AGC 29455
      16	NGC5854	Simbad	NED	15 07 47.7	+02 34 06	UGC 9726 = MCG+01-39-001
      17	NGC7331	Simbad	NED	22 37 04.3	+34 24 59	UGC 12113 = 2E 4630

#Table	J_A_A_374_394_table5:
#Name: J/A+A/374/394/table5
#Title: Stellar kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	Rad	(F5.1)	[-89/59] Radius (G1)	[ucd=pos.angDistance]
#Column	Vel	(I4)	Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_Vel	(I2)	Velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	Velocity dispersion error	[ucd=stat.error]
#Column	h3	(F5.2)	? h3 Gauss-Hermite coefficient	[ucd=stat.fit.param]
#Column	e_h3	(F5.2)	? h3 Gauss-Hermite coefficient error	[ucd=stat.error]
#Column	h4	(F5.2)	? h4 Gauss-Hermite coefficient	[ucd=stat.fit.param]
#Column	e_h4	(F5.2)	? h4 Gauss-Hermite coefficient error	[ucd=stat.error]
recno	Name	PA	Rad	Vel	e_Vel	sigma	e_sigma	h3	e_h3	h4	e_h4
      54	NGC0224	 55	  7.2	-244	12	146	  7	-0.19	 0.03	 0.04	 0.03
      55	NGC0224	 55	  7.9	-259	12	148	 11	-0.14	 0.05	 0.02	 0.05
      56	NGC0224	 55	  8.8	-251	12	147	  6	-0.20	 0.03	 0.00	 0.03
      57	NGC0224	 55	  9.7	-243	12	131	  5	-0.21	 0.02	 0.04	 0.02
      58	NGC0224	 55	 10.6	-264	12	177	 14	-0.20	 0.05	 0.04	 0.05
      59	NGC0224	 55	 11.5	-256	14	187	 25	-0.21	 0.07	 0.09	 0.07
      60	NGC0224	 55	 12.4	-241	12	156	 10	-0.24	 0.05	 0.00	 0.05
      61	NGC0224	 55	 13.3	-237	12	155	 13	-0.21	 0.04	 0.09	 0.04
      62	NGC0224	 55	 14.4	-256	12	154	 11	-0.14	 0.06	-0.01	 0.06
      63	NGC0224	 55	 15.5	-253	12	161	  9	-0.22	 0.04	 0.04	 0.04
      64	NGC0224	 55	 16.7	-247	12	154	 14	-0.14	 0.07	 0.00	 0.07
      65	NGC0224	 55	 18.1	-232	12	145	 14	-0.20	 0.05	 0.07	 0.05
      66	NGC0224	 55	 19.6	-248	12	134	  9	-0.18	 0.04	 0.02	 0.04
      67	NGC0224	 55	 21.1	-253	12	150	 10	-0.14	 0.04	 0.06	 0.04
      68	NGC0224	 55	 22.7	-255	12	141	  3	-0.14	 0.03	-0.08	 0.03
      69	NGC0224	 55	 24.7	-265	12	147	  0	-0.11	 0.01	-0.18	 0.01
      70	NGC0224	 55	 26.9	-249	12	146	  6	-0.14	 0.04	-0.04	 0.04
      71	NGC0224	 55	 29.5	-253	12	163	  4	-0.08	 0.02	 0.00	 0.02
      72	NGC0224	 55	 32.6	-256	12	182	 10	-0.07	 0.03	 0.09	 0.03
      73	NGC0224	 55	 36.8	-254	12	167	 12	-0.05	 0.04	 0.04	 0.04
      74	NGC0470	155	-41.9	2564	 5	 17	 26	     	     	     	
      75	NGC0470	155	-37.5	2554	 4	 20	  8	     	     	     	
      76	NGC0470	155	-32.8	2560	 8	 48	  9	     	     	     	
      77	NGC0470	155	-27.1	2552	 1	 44	  9	     	     	     	
      78	NGC0470	155	-23.2	2557	12	 20	  5	     	     	     	
      79	NGC0470	155	-18.1	2525	15	 48	 11	     	     	     	
      80	NGC0470	155	-10.6	2457	10	 49	  1	     	     	     	
      81	NGC0470	155	 -7.1	2450	18	 50	  9	     	     	     	
      82	NGC0470	155	 -4.9	2466	10	 34	 19	     	     	     	
      83	NGC0470	155	 -3.1	2458	 3	 30	  2	     	     	     	
      84	NGC0470	155	 -2.2	2440	13	 85	 30	     	     	     	
      85	NGC0470	155	 -1.6	2458	17	 44	  4	     	     	     	
      86	NGC0470	155	 -1.0	2428	 2	 46	 25	     	     	     	
      87	NGC0470	155	 -0.4	2400	 2	 87	 22	     	     	     	
      88	NGC0470	155	  0.2	2381	 0	 41	 10	     	     	     	
      89	NGC0470	155	  1.1	2352	 9	 90	  3	     	     	     	
      90	NGC0470	155	  2.7	2289	 5	 41	  6	     	     	     	
      91	NGC0470	155	  4.5	2277	20	 48	  3	     	     	     	
      92	NGC0470	155	  6.3	2302	11	 96	 14	     	     	     	
      93	NGC0470	155	 10.5	2264	18	 39	 40	     	     	     	
      94	NGC0470	155	 14.0	2247	16	 28	 11	     	     	     	
      95	NGC0470	155	 17.9	2216	 1	 44	  7	     	     	     	
      96	NGC0470	155	 23.1	2228	 4	 23	 29	     	     	     	
      97	NGC0470	155	 27.3	2207	 9	 22	  1	     	     	     	
      98	NGC0470	155	 34.3	2212	 4	 49	  9	     	     	     	
      99	NGC0949	145	 19.0	 572	 6	 33	  5	     	     	     	
     100	NGC0949	145	 14.1	 556	12	 42	  0	     	     	     	
     101	NGC0949	145	  9.0	 581	12	 47	  0	     	     	     	
     102	NGC0949	145	  4.4	 594	12	 44	  0	     	     	     	
     103	NGC0949	145	  1.3	 607	12	 30	  0	     	     	     	
     104	NGC0949	145	 -0.7	 615	12	 33	  0	     	     	     	
     105	NGC0949	145	 -3.3	 623	12	 36	  0	     	     	     	
     106	NGC0949	145	 -8.7	 645	12	 38	  0	     	     	     	
     107	NGC0949	145	-28.8	 677	35	 52	 13	     	     	     	
     108	NGC0980	110	 36.3	5511	36	 54	 74	 0.00	 0.57	 0.00	 0.57
     109	NGC0980	110	 29.0	5504	12	 54	  4	 0.00	 0.09	 0.00	 0.09
     110	NGC0980	110	 23.8	5480	12	 63	 10	 0.53	 0.09	 0.08	 0.09
     111	NGC0980	110	 20.7	5483	12	 59	  4	 0.37	 0.10	-0.08	 0.10
     112	NGC0980	110	 17.8	5486	12	 60	  6	 0.43	 0.16	-0.17	 0.16
     113	NGC0980	110	 13.8	5493	12	 71	  2	 0.31	 0.02	 0.01	 0.02
     114	NGC0980	110	 11.8	5498	12	 73	  5	 0.22	 0.11	-0.17	 0.11
     115	NGC0980	110	  9.3	5494	12	 67	 22	 0.33	 0.11	 0.24	 0.11
     116	NGC0980	110	  8.4	5504	12	 73	  4	 0.29	 0.04	 0.05	 0.04
     117	NGC0980	110	  6.1	5548	12	128	  7	 0.24	 0.05	-0.04	 0.05
     118	NGC0980	110	  4.6	5604	12	166	  4	 0.04	 0.04	-0.08	 0.04
     119	NGC0980	110	  3.5	5631	12	168	  5	-0.01	 0.03	-0.05	 0.03
     120	NGC0980	110	  2.8	5652	12	175	  4	 0.01	 0.04	-0.16	 0.04
     121	NGC0980	110	  2.2	5650	12	193	  8	 0.04	 0.03	 0.00	 0.03
     122	NGC0980	110	  1.8	5683	12	175	 14	 0.12	 0.05	 0.02	 0.05
     123	NGC0980	110	  1.5	5702	17	250	 20	 0.09	 0.06	 0.00	 0.06
     124	NGC0980	110	  1.2	5701	13	228	 13	 0.06	 0.05	-0.03	 0.05
     125	NGC0980	110	  0.9	5717	12	208	  9	 0.08	 0.04	-0.03	 0.04
     126	NGC0980	110	  0.6	5744	14	227	 13	 0.04	 0.05	-0.05	 0.05
     127	NGC0980	110	  0.3	5757	12	234	 20	-0.06	 0.05	 0.09	 0.05
     128	NGC0980	110	  0.0	5781	12	226	 12	-0.07	 0.05	-0.03	 0.05
     129	NGC0980	110	 -0.3	5804	12	231	 13	-0.01	 0.04	 0.01	 0.04
     130	NGC0980	110	 -0.6	5812	12	204	 12	 0.04	 0.05	-0.02	 0.05
     131	NGC0980	110	 -0.9	5838	12	205	  6	-0.09	 0.05	-0.12	 0.05
     132	NGC0980	110	 -1.2	5871	15	203	 19	-0.04	 0.07	 0.00	 0.07
     133	NGC0980	110	 -1.5	5881	14	180	 17	-0.09	 0.07	 0.01	 0.07
     134	NGC0980	110	 -2.0	5884	12	206	  6	-0.02	 0.03	-0.02	 0.03
     135	NGC0980	110	 -2.6	5874	12	175	  6	 0.06	 0.04	-0.08	 0.04
     136	NGC0980	110	 -3.2	5883	12	173	 14	-0.04	 0.06	-0.01	 0.06
     137	NGC0980	110	 -3.9	5905	12	190	 11	 0.04	 0.04	 0.01	 0.04
     138	NGC0980	110	 -5.1	5942	12	147	  2	-0.02	 0.03	-0.15	 0.03
     139	NGC0980	110	 -6.9	5980	12	126	  2	-0.14	 0.03	-0.09	 0.03
     140	NGC0980	110	 -8.6	6003	12	142	 10	 0.02	 0.04	 0.03	 0.04
     141	NGC0980	110	-10.0	6007	12	104	  3	-0.01	 0.05	-0.11	 0.05
     142	NGC0980	110	-12.6	6011	12	120	 10	-0.14	 0.04	 0.08	 0.04
     143	NGC0980	110	-16.2	6027	12	 99	 10	-0.17	 0.05	 0.14	 0.05
     144	NGC0980	110	-22.5	6036	12	 60	  4	 0.00	 0.07	 0.00	 0.07
     145	NGC0980	110	-40.8	6045	12	 77	  6	 0.00	 0.12	 0.00	 0.12
     146	NGC1160	 50	-33.2	2369	30	 45	 45	     	     	     	
     147	NGC1160	 50	-16.9	2386	12	 37	  1	     	     	     	
     148	NGC1160	 50	 -8.4	2449	12	 37	  0	     	     	     	
     149	NGC1160	 50	 -4.4	2473	12	 28	  1	     	     	     	
     150	NGC1160	 50	 -1.3	2482	12	 34	  0	     	     	     	
     151	NGC1160	 50	  1.2	2529	12	 15	  0	     	     	     	
     152	NGC1160	 50	  4.3	2529	12	 13	  0	     	     	     	
     153	NGC1160	 50	  7.6	2539	12	 72	  8	     	     	     	
     154	NGC1160	 50	 11.7	2577	12	  8	  0	     	     	     	
     155	NGC1160	 50	 16.8	2609	12	 52	  0	     	     	     	
     156	NGC2541	165	-14.8	 510	19	 48	  9	     	     	     	
     157	NGC2541	165	 -8.6	 539	 1	 44	 15	     	     	     	
     158	NGC2541	165	 -0.2	 544	 5	 53	  6	     	     	     	
     159	NGC2541	165	  7.9	 573	 5	 24	  5	     	     	     	
     160	NGC2541	165	 14.4	 585	12	 70	  5	     	     	     	
     161	NGC2683	 44	-20.3	 383	12	102	  0	     	     	     	
     162	NGC2683	 44	-13.6	 438	12	 78	  0	     	     	     	
     163	NGC2683	 44	 -8.8	 411	12	 65	  0	     	     	     	
     164	NGC2683	 44	 -5.5	 435	12	 90	  0	     	     	     	
     165	NGC2683	 44	 -3.1	 444	12	103	  1	     	     	     	
     166	NGC2683	 44	 -1.6	 425	12	110	  1	     	     	     	
     167	NGC2683	 44	 -0.6	 432	12	 90	  1	     	     	     	
     168	NGC2683	 44	  0.3	 441	12	 80	  1	     	     	     	
     169	NGC2683	 44	  1.3	 473	12	102	  0	     	     	     	
     170	NGC2683	 44	  2.8	 491	12	 86	  0	     	     	     	
     171	NGC2683	 44	  4.9	 484	12	 95	  1	     	     	     	
     172	NGC2683	 44	  8.2	 494	12	 89	  0	     	     	     	
     173	NGC2683	 44	 13.2	 499	12	 60	  1	     	     	     	
     174	NGC2683	 44	 24.3	 545	12	106	  0	     	     	     	
     175	NGC2841	147	 48.7	 454	39	119	119	 0.12	 0.28	 0.30	 0.28
     176	NGC2841	147	 39.9	 513	31	144	 18	-0.20	 0.19	-0.23	 0.19
     177	NGC2841	147	 34.8	 486	16	144	  9	-0.06	 0.10	-0.22	 0.10
     178	NGC2841	147	 30.8	 504	12	143	  7	-0.07	 0.07	-0.36	 0.07
     179	NGC2841	147	 28.0	 520	12	133	  6	-0.12	 0.07	-0.32	 0.07
     180	NGC2841	147	 25.8	 511	12	 74	 22	-0.14	 0.08	 0.38	 0.08
     181	NGC2841	147	 23.8	 517	12	125	  6	-0.20	 0.08	-0.19	 0.08
     182	NGC2841	147	 21.5	 538	12	137	  8	-0.10	 0.07	-0.07	 0.07
     183	NGC2841	147	 18.6	 546	12	 86	 20	 0.05	 0.06	 0.31	 0.06
     184	NGC2841	147	 16.2	 563	12	136	  8	-0.09	 0.06	-0.06	 0.06
     185	NGC2841	147	 14.2	 557	12	133	 10	-0.12	 0.07	-0.05	 0.07
     186	NGC2841	147	 12.6	 571	12	125	  8	-0.04	 0.06	-0.05	 0.06
     187	NGC2841	147	 11.2	 565	12	127	 15	-0.01	 0.07	 0.04	 0.07
     188	NGC2841	147	  9.2	 557	16	135	 16	 0.01	 0.10	-0.03	 0.10
     189	NGC2841	147	  7.5	 552	29	156	 34	 0.01	 0.16	 0.00	 0.16
     190	NGC2841	147	  6.1	 542	20	163	 25	 0.04	 0.11	 0.00	 0.11
     191	NGC2841	147	  5.1	 550	28	176	 38	-0.02	 0.14	 0.02	 0.14
     192	NGC2841	147	  4.2	 542	20	167	 29	 0.08	 0.11	 0.03	 0.11
     193	NGC2841	147	  3.5	 549	37	180	 41	 0.08	 0.18	-0.02	 0.18
     194	NGC2841	147	  2.8	 553	21	164	 27	 0.04	 0.11	 0.01	 0.11
     195	NGC2841	147	  2.2	 561	18	168	 27	 0.07	 0.09	 0.05	 0.09
     196	NGC2841	147	  1.6	 577	31	174	 42	 0.08	 0.15	 0.03	 0.15
     197	NGC2841	147	  1.2	 588	26	162	 45	 0.03	 0.14	 0.09	 0.14
     198	NGC2841	147	  0.9	 607	29	183	 38	 0.06	 0.14	 0.02	 0.14
     199	NGC2841	147	  0.6	 617	24	183	 34	 0.04	 0.11	 0.04	 0.11
     200	NGC2841	147	  0.3	 624	19	181	 23	 0.07	 0.09	 0.00	 0.09
     201	NGC2841	147	  0.0	 636	16	197	 18	 0.03	 0.07	-0.01	 0.07
     202	NGC2841	147	 -0.3	 649	32	203	 32	 0.02	 0.14	-0.03	 0.14
