#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:25 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/237/pgc&-out.all&-out.max=unlimited&PGC=1952,18880,66669,67782,8279,2081,5139,6110,8974,9747,9988,10060,10330,11527,11638,12342,12626,13108,13166,16044,23028,24111,25237,25955,26034,26100,27074,27635,27723,28805,30176,32605,34232,34325,34561,35294,36138,36304,37483,38031,38802,40284,40490,41083,44017,44025,45643,48767,48815,49112,49342,49604,49618,49820,50031,50670,51055,51275,51340,51471,51620,51953,52116,52273,52266,52735,53043,53499,53630,54111,54119,54234,55588,56337,57345,58470,59426,64725,66318,66566,66934,67146,67532,67663,67817,68312,69349,69677,70025,70419,70795,71883,72001,72009,72060,73163,279,13646,68743,4948,26246	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7237
#Name: VII/237
#Title: HYPERLEDA. I. Catalog of galaxies (Paturel+, 2003)
#INFO	ivoid=ivo://cds.vizier/vii/237	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/237	    IVOID of underlying data collection
#INFO	creator=Paturel G.	    First author or institution
#INFO	cites=bibcode:2003A&A...412...45P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/237	    Dataset landing page
#INFO	publication_date=2017-09-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_237_pgc:
#Name: VII/237/pgc
#Title: Catalog of galaxies (table 5 in the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	PGC	(I7)	PGC number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	OType	(A2)	[GM ] Object type (1)	[ucd=src.class]
#Column	MType	(a5)	Provisional morphological type from LEDA according to the RC2 code.	[ucd=src.morph.type]
#Column	logD25	(F5.2)	? Apparent diameter (2)	[ucd=phys.angSize;src]
#Column	e_logD25	(F5.2)	? Actual error of logD25	[ucd=stat.error]
#Column	logR25	(F5.2)	? Axis ratio in log scale (log of major axis to minor axis)	[ucd=phys.size;arith.ratio]
#Column	e_logR25	(F5.2)	? Actual error on logR25	[ucd=stat.error]
#Column	PA	(F4)	? Adopted 1950-position angle (3)	[ucd=pos.posAng]
#Column	e_PA	(F4)	? rms uncertainty on PA	[ucd=stat.error]
#Column	o_ANames	(I2)	Number of alternate names.	[ucd=meta.number]
#Column	ANames	(a255)	Alternate names (4)	[ucd=meta.id]
#Column	LEDA	(A4)	Data from the current data-base	[ucd=meta.ref]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	PGC	RAJ2000	DEJ2000	OType	MType	logD25	e_logD25	logR25	e_logR25	PA	e_PA	o_ANames	ANames	LEDA	Simbad	NED
  196248	  12342	03 18 49.8	-01 58 25	G 	SO   	 1.26	 0.06	 0.23	 0.05	  97	   3	 5	NGC1289               IC314                 UGC2666               MCG0-09-054           CGCG390-55                                                                                                                                                             	LEDA	Simbad	NED
  199348	  12626	03 22 06.5	-15 24 02	G 	Sbc  	 1.38	 0.06	 0.03	 0.04	    	    	 3	NGC1309               MCG-3-09-028          IRAS03197-1534                                                                                                                                                                                                     	LEDA	Simbad	NED
  208110	  13108	03 32 03.1	-20 49 04	G 	SBb  	 1.58	 0.05	 0.39	 0.04	 138	   1	 6	NGC1353               ESO548-31             MCG-4-09-022          UGCA76                ESO-LV5480310         IRAS03298-2059                                                                                                                                   	LEDA	Simbad	NED
  209306	  13166	03 33 17.0	-13 39 49	G 	Sab  	 1.52	 0.04	 0.11	 0.04	  79	   6	 3	NGC1357               MCG-2-10-001          IRAS03309-1349                                                                                                                                                                                                     	LEDA	Simbad	NED
  218533	  13646	03 42 55.8	-12 54 57	G 	Sc   	 1.52	 0.04	 0.89	 0.10	  34	   1	 3	MCG-2-10-009          FGC445                IRAS03405-1304                                                                                                                                                                                                     	LEDA	Simbad	NED
  267113	  16044	04 48 17.0	-05 25 39	G 	SO   	 1.28	 0.05	 0.25	 0.04	  72	  34	 3	NGC1665               MCG-1-13-009          NPM1G-05.0218                                                                                                                                                                                                      	LEDA	Simbad	NED
  311226	  18880	06 21 38.3	-59 44 25	G 	SBbc 	 1.43	 0.07	 0.14	 0.04	 112	   5	 4	ESO121-26             ESO-LV1210260         IRAS06210-5942        IRASF06209-5942                                                                                                                                                                              	LEDA	Simbad	NED
  356436	  23028	08 12 58.0	+36 15 16	GM	     	 1.39	 0.06	 0.27	 0.08	  45	   9	10	NGC2543               IC2232                UGC4273               MCG6-18-014           CGCG178-35            KUG0809+364           KPG157A               KPG157                IRAS08096+3624        IRASF08097+3624                                          	LEDA	Simbad	NED
  368216	  24111	08 35 17.2	+28 28 26	G 	SBb  	 1.32	 0.05	 0.25	 0.08	  61	   3	 7	NGC2608               UGC4484               MCG5-20-027           CGCG149-55            KUG0832+286           ARP12                 IRAS08322+2838                                                                                                             	LEDA	Simbad	NED
  380266	  25237	08 59 05.9	+53 46 16	G 	SBc  	 1.31	 0.07	 0.15	 0.05	  24	   2	 5	NGC2701               UGC4695               MCG9-15-063           CGCG264-43            IRAS08554+5357                                                                                                                                                         	LEDA	Simbad	NED
  386338	  25955	09 12 24.4	+35 01 41	G 	E    	 1.11	 0.07	 0.12	 0.03	  48	   8	 4	NGC2778               UGC4840               MCG6-20-043           CGCG180-54                                                                                                                                                                                   	LEDA	Simbad	NED
  387026	  26034	09 14 05.3	+40 06 47	G 	SBa  	 1.54	 0.05	 0.15	 0.07	    	    	 8	NGC2782               UGC4862               MCG7-19-036           CGCG209-31            KUG0910+403           ARP215                IRAS09108+4019        IRASF09109+4019                                                                                      	LEDA	Simbad	NED
  387533	  26100	09 15 15.4	+40 55 01	G 	Irr  	 1.17	 0.09	 0.45	 0.09	 120	   6	 5	NGC2785               UGC4876               MCG7-19-042           CGCG209-35            IRAS09120+4107                                                                                                                                                         	LEDA	Simbad	NED
  388583	  26246	09 17 40.2	+52 59 35	G 	Sa   	 1.29	 0.06	 0.59	 0.06	  48	   5	 5	UGC4906               MCG9-15-114           CGCG264-91            [RC2]A0914+53         IRAS09141+5312                                                                                                                                                         	LEDA	Simbad	NED
  394963	  27074	09 32 06.3	+08 26 29	G 	Sc   	 1.14	 0.08	 0.23	 0.05	  75	  10	 5	NGC2906               UGC5081               MCG2-25-001           CGCG63-1              IRAS09294+0839                                                                                                                                                         	LEDA	Simbad	NED
  399087	  27635	09 40 54.0	+05 09 57	G 	SO-a 	 1.40	 0.07	 0.26	 0.07	   2	   2	 4	NGC2962               UGC5167               MCG1-25-011           CGCG35-28                                                                                                                                                                                    	LEDA	Simbad	NED
  399663	  27723	09 42 03.3	+00 20 11	G 	Sc   	 1.38	 0.06	 0.03	 0.02	    	    	 5	NGC2967               UGC5180               MCG0-25-007           CGCG7-20              IRAS09394+0033                                                                                                                                                         	LEDA	Simbad	NED
  409000	  28805	09 58 21.3	+32 22 12	G 	SBab 	 1.35	 0.07	 0.47	 0.06	 107	   1	 7	NGC3067               UGC5351               MCG6-22-046           CGCG182-51            KUG0955+326           [RC2]A0955+32         IRAS09554+3236                                                                                                             	LEDA	Simbad	NED
  424257	  30176	10 19 33.3	+58 12 19	G 	SO-a 	 1.28	 0.07	 0.08	 0.06	 155	  27	 4	NGC3182               UGC5568               MCG10-15-062          CGCG290-27                                                                                                                                                                                   	LEDA	Simbad	NED
  451348	  32605	10 52 03.8	+10 08 53	G 	Sc   	 1.45	 0.07	 0.02	 0.03	    	    	 4	NGC3433               UGC5981               MCG2-28-023           CGCG66-48                                                                                                                                                                                    	LEDA	Simbad	NED
  469867	  34232	11 14 11.1	+48 19 04	G 	SBb  	 1.35	 0.04	 0.23	 0.05	 134	   9	 5	NGC3583               UGC6263               MCG8-21-008           CGCG242-12            IRAS11113+4835                                                                                                                                                         	LEDA	Simbad	NED
  471058	  34325	11 15 25.5	+47 26 49	G 	E-SO 	 1.18	 0.08	 0.38	 0.06	 176	   7	 4	NGC3595               UGC6280               MCG8-21-009           CGCG242-14                                                                                                                                                                                   	LEDA	Simbad	NED
  473816	  34561	11 18 21.5	+45 44 53	G 	Sc   	 1.50	 0.11	 0.18	 0.04	  87	  13	 5	NGC3614               UGC6318               MCG8-21-015           CGCG242-19            IRAS11155+4601                                                                                                                                                         	LEDA	Simbad	NED
  483254	  35294	11 28 11.2	+25 39 39	G 	SBc  	 1.17	 0.06	 0.18	 0.04	  97	  12	 4	NGC3689               UGC6467               MCG4-27-037           CGCG126-57                                                                                                                                                                                   	LEDA	Simbad	NED
  494493	  36138	11 39 22.2	+56 16 17	G 	Sc   	 1.43	 0.04	 0.08	 0.03	  90	   0	 5	NGC3780               UGC6615               MCG9-19-150           CGCG292-14            IRAS11366+5632                                                                                                                                                         	LEDA	Simbad	NED
  497127	  36304	11 41 57.4	-06 09 21	G 	E    	 1.37	 0.06	 0.17	 0.07	  96	  10	 3	NGC3818               MCG-1-30-023          UGCA243                                                                                                                                                                                                            	LEDA	Simbad	NED
  511078	  37483	11 55 57.1	+06 44 55	G 	SBb  	 1.51	 0.03	 0.53	 0.04	  53	   0	 5	NGC3976               UGC6906               MCG1-31-001           CGCG41-6              IRAS11533+0701                                                                                                                                                         	LEDA	Simbad	NED
  517337	  38031	12 02 42.3	+01 58 37	G 	SBa  	 1.43	 0.05	 0.21	 0.04	  91	   3	 6	NGC4045               NGC4046               UGC7021               MCG0-31-022           CGCG13-46             IRAS12001+0215                                                                                                                                   	LEDA	Simbad	NED
  524777	  38802	12 11 10.2	+20 10 31	G 	Sb   	 1.19	 0.08	 0.10	 0.04	  77	  22	 5	NGC4158               UGC7182               MCG3-31-060           CGCG98-84             IRAS12086+2027                                                                                                                                                         	LEDA	Simbad	NED
  536295	  40284	12 23 53.9	-03 26 36	G 	Sbc  	 1.47	 0.05	 0.68	 0.06	  18	  33	 5	NGC4348               MCG0-32-003           CGCG14-23             KIG527                IRAS12213-0310                                                                                                                                                         	LEDA	Simbad	NED
  537564	  40490	12 25 18.1	+04 55 32	G 	Sa   	 1.38	 0.08	 0.03	 0.05	    	    	 6	NGC4378               UGC7497               MCG1-32-052           CGCG42-92             VCC785                IRASF12227+0512                                                                                                                                  	LEDA	Simbad	NED
  540604	  41083	12 28 50.7	-01 56 22	G 	SO-a 	 1.35	 0.06	 0.04	 0.03	    	    	 5	NGC4454               UGC7606               MCG0-32-014           CGCG14-48             IRASF12262-0139                                                                                                                                                        	LEDA	Simbad	NED
  563724	  44017	12 55 15.6	+02 53 46	G 	Sbc  	 1.13	 0.08	 0.36	 0.06	  91	   7	 5	NGC4799               UGC8043               MCG1-33-025           CGCG43-66             IRAS12526+0310                                                                                                                                                         	LEDA	Simbad	NED
  563816	  44025	12 55 22.0	+58 20 39	G 	Sb   	 1.47	 0.07	 0.14	 0.05	 135	  16	 7	NGC4814               UGC8051               MCG10-19-003          CGCG294-3             CGCG293-44            IRAS12532+5836        IRASF12532+5836                                                                                                            	LEDA	Simbad	NED
  579211	  45643	13 09 40.9	-07 49 56	G 	SBb  	 1.40	 0.04	 0.19	 0.04	  94	   9	 4	NGC4995               MCG-1-34-007          UGCA329               IRAS13070-0734                                                                                                                                                                               	LEDA	Simbad	NED
  617864	  48767	13 45 19.2	+41 42 45	G 	Sbc  	 1.54	 0.07	 0.58	 0.07	  95	   5	 6	NGC5290               UGC8700               MCG7-28-061           CGCG218-43            IRAS13432+4157        IRAS13432+4157                                                                                                                                   	LEDA	Simbad	NED
  618919	  48815	13 46 23.6	+43 52 20	GM	     	 1.66	 0.09	 0.65	 0.08	 146	   2	 7	NGC5297               UGC8709               MCG7-28-063           CGCG218-45            KPG394B               IRAS13442+4407        IRAS13443+4407                                                                                                             	LEDA	Simbad	NED
  623209	  49112	13 50 20.5	+41 21 57	G 	SBc  	 1.37	 0.14	 0.29	 0.03	  19	   1	 6	NGC5320               UGC8749               MCG7-28-076           CGCG218-56            CGCG219-1             IRAS13482+4136                                                                                                                                   	LEDA	Simbad	NED
  626420	  49342	13 53 17.9	+33 29 28	GM	SBab 	 1.21	 0.04	 0.13	 0.03	 121	   9	 6	NGC5347               UGC8805               MCG6-31-007           CGCG191-7             KUG1351+337A          IRAS13510+3344                                                                                                                                   	LEDA	Simbad	NED
  630074	  49604	13 56 56.3	+29 09 48	G 	SBab 	 1.44	 0.07	 0.12	 0.05	   0	   0	 7	NGC5375               UGC8865               MCG5-33-027           CGCG162-35            KUG1354+294           KIG605                IRASF13546+2924                                                                                                            	LEDA	Simbad	NED
  630213	  49618	13 57 04.9	+41 50 47	G 	SBb  	 1.42	 0.07	 0.11	 0.04	 107	  22	 7	NGC5383               UGC8875               MCG7-29-023           CGCG219-33            KUG1355+420           MRK281                IRAS13550+4205                                                                                                             	LEDA	Simbad	NED
  632855	  49820	13 59 50.8	+38 10 58	GM	SBb  	 1.44	 0.04	 0.53	 0.08	 144	   1	 6	NGC5403               UGC8919               MCG6-31-041           CGCG191-29            (VV310)               IRAS13577+3825                                                                                                                                   	LEDA	Simbad	NED
  635493	  50031	14 02 50.2	+49 10 20	G 	SBa  	 1.58	 0.04	 0.29	 0.06	 115	   9	 5	NGC5448               UGC8969               MCG8-26-003           CGCG247-4             IRAS14009+4924                                                                                                                                                         	LEDA	Simbad	NED
  642742	  50670	14 11 29.3	-05 02 38	G 	SO   	 1.34	 0.06	 0.08	 0.06	  66	  34	 3	NGC5493               MCG-1-36-013          UGCA386                                                                                                                                                                                                            	LEDA	Simbad	NED
  647860	  51055	14 17 40.2	-07 25 04	M 	     	 1.16	 0.08	 0.07	 0.07	  30	  38	 5	NGC5534               MCG-1-36-014          VV615                 MRK1379               IRASF14150-0711                                                                                                                                                        	LEDA	Simbad	NED
  650819	  51275	14 21 03.8	+03 16 15	G 	E    	 1.45	 0.04	 0.18	 0.03	  92	   3	 4	NGC5576               UGC9183               MCG1-37-007           CGCG47-20                                                                                                                                                                                    	LEDA	Simbad	NED
  651870	  51340	14 22 18.9	+50 30 03	G 	Sa   	 1.16	 0.09	 0.28	 0.05	 166	   9	 4	NGC5602               UGC9210               MCG9-24-002           CGCG273-4                                                                                                                                                                                    	LEDA	Simbad	NED
  653872	  51471	14 24 42.8	-03 12 45	G 	Sa   	 1.26	 0.04	 0.29	 0.05	 160	   9	 4	NGC5604               MCG0-37-003           CGCG19-16             IRAS14221-0259                                                                                                                                                                               	LEDA	Simbad	NED
  656145	  51620	14 27 28.5	+46 08 49	G 	Sb   	 1.17	 0.13	 0.20	 0.06	   5	   9	 7	NGC5633               UGC9271               MCG8-26-034           CGCG247-30            KIG631                IZw89                 IRAS14255+4622                                                                                                             	LEDA	Simbad	NED
  660128	  51953	14 32 25.8	+08 04 46	G 	SBc  	 1.30	 0.05	 0.21	 0.03	 146	   1	 8	NGC5665               UGC9352               MCG1-37-024           CGCG47-84             KUG1429+082           ARP49                 VV412                 IRAS14299+0817                                                                                       	LEDA	Simbad	NED
  662187	  52116	14 34 52.3	+54 28 32	G 	E-SO 	 1.50	 0.10	 0.21	 0.07	 105	  11	 5	NGC5687               UGC9395               MCG9-24-020           CGCG273-14            KIG637                                                                                                                                                                 	LEDA	Simbad	NED
  664259	  52266	14 37 30.9	+51 33 41	G 	Sab  	 1.38	 0.07	 0.72	 0.10	  35	   5	 4	NGC5707               UGC9428               MCG9-24-023           CGCG273-15                                                                                                                                                                                   	LEDA	Simbad	NED
  664393	  52273	14 37 41.2	+02 17 21	G 	Sc   	 1.51	 0.04	 0.51	 0.03	 166	  34	 7	NGC5690               UGC9416               MCG0-37-019           CGCG19-72             CGCG47-119            KIG638                IRAS14351+0230                                                                                                             	LEDA	Simbad	NED
  670945	  52735	14 46 11.1	-00 13 24	G 	SO-a 	 1.45	 0.06	 0.29	 0.06	  79	  22	 5	NGC5750               UGC9512               MCG0-38-006           CGCG20-13             IRAS14436+0000                                                                                                                                                         	LEDA	Simbad	NED
  674979	  53043	14 51 19.0	+58 58 40	G 	Sb   	 1.47	 0.03	 0.81	 0.09	 144	   0	 7	NGC5777               UGC9568               MCG10-21-034          CGCG296-18            FGC1822               IRAS14499+5910        IRAS14500+5910                                                                                                             	LEDA	Simbad	NED
  680171	  53499	14 58 22.5	-01 05 25	G 	SBb  	 1.85	 0.07	 0.52	 0.12	  88	   6	 6	NGC5792               UGC9631               MCG0-38-012           CGCG20-38             IRAS14557-0053        IRASF14558-0053                                                                                                                                  	LEDA	Simbad	NED
  681958	  53630	15 00 55.6	-07 27 26	G 	E    	 1.42	 0.04	 0.06	 0.04	 100	  29	 3	NGC5812               MCG-1-38-016          UGCA398                                                                                                                                                                                                            	LEDA	Simbad	NED
  688562	  54111	15 09 33.4	+03 03 08	G 	SO   	 1.41	 0.07	 0.51	 0.06	  68	   6	 4	NGC5864               UGC9740               MCG1-39-002           CGCG49-15                                                                                                                                                                                    	LEDA	Simbad	NED
  688734	  54119	15 09 49.5	+00 28 11	GM	SO   	 1.36	 0.04	 0.19	 0.03	 102	  30	 6	(NGC5865)             NGC5869               UGC9742               MCG0-39-006           CGCG21-22             KPG456B                                                                                                                                          	LEDA	Simbad	NED
  690108	  54234	15 11 40.8	+59 48 28	G 	SBd  	 1.48	 0.05	 0.85	 0.08	  13	   4	 5	NGC5894               UGC9768               MCG10-22-004          CGCG297-6             IRAS15105+5959                                                                                                                                                         	LEDA	Simbad	NED
  705656	  55588	15 36 31.7	+16 36 28	G 	Sc   	 1.43	 0.06	 0.18	 0.03	 107	   2	 5	NGC5962               UGC9926               MCG3-40-011           CGCG107-12            IRASF15342+1646                                                                                                                                                        	LEDA	Simbad	NED
  713382	  56337	15 54 19.1	+00 32 35	G 	SO-a 	 1.41	 0.18	 0.64	 0.07	  94	  13	 4	NGC6010               UGC10081              MCG0-40-013           CGCG22-48                                                                                                                                                                                    	LEDA	Simbad	NED
  722636	  57345	16 09 58.9	+00 42 34	G 	Sc   	 1.50	 0.06	 0.28	 0.03	  73	  31	 5	NGC6070               UGC10230              MCG0-41-004           CGCG23-17             IRAS16074+0050                                                                                                                                                         	LEDA	Simbad	NED
  733095	  58470	16 32 20.9	+19 49 38	G 	SBc  	 1.38	 0.04	 0.37	 0.04	 177	   1	 6	NGC6181               UGC10439              MCG3-42-020           CGCG109-31            IRAS16301+1955        GIN798                                                                                                                                           	LEDA	Simbad	NED
  742515	  59426	17 00 50.4	+23 00 40	G 	SO   	 1.25	 0.06	 0.30	 0.03	 128	   2	 4	NGC6278               UGC10656              MCG4-40-011           CGCG139-29                                                                                                                                                                                   	LEDA	Simbad	NED
  812203	  64725	20 27 38.6	-47 01 34	G 	E    	 1.40	 0.05	 0.28	 0.03	  69	   1	 3	NGC6909               ESO285-12             ESO-LV2850120                                                                                                                                                                                                      	LEDA	Simbad	NED
  836999	  66318	21 11 52.3	-49 16 58	G 	E    	 1.42	 0.09	 0.23	 0.04	  67	   4	 3	NGC7029               ESO235-72             ESO-LV2350720                                                                                                                                                                                                      	LEDA	Simbad	NED
  842363	  66566	21 19 51.2	-08 47 01	G 	Sa   	 1.10	 0.04	 0.10	 0.05	 159	  21	 3	NGC7051               MCG-2-54-004          IRAS21171-0859                                                                                                                                                                                                     	LEDA	Simbad	NED
  844451	  66669	21 23 14.0	-45 46 18	G 	Sbc  	 1.54	 0.07	 0.59	 0.05	  44	  25	 4	ESO287-13             ESO-LV2870130         [RC2]A2120-46         IRAS21199-4559                                                                                                                                                                               	LEDA	Simbad	NED
  850871	  66934	21 32 35.0	-44 04 00	G 	SO   	 1.36	 0.08	 0.21	 0.05	  78	   4	 4	NGC7079               ESO287-36             MCG-7-44-022          ESO-LV2870360                                                                                                                                                                                	LEDA	Simbad	NED
