#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/414/888&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74140888
#Name: J/MNRAS/414/888
#Title: ATLAS3D project. III. (Emsellem+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/414/888	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/414/888	    IVOID of underlying data collection
#INFO	creator=Emsellem E.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.414..888E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/414/888	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74140888	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_414_888_tableb1:
#Name: J/MNRAS/414/888/tableb1
#Title: Ellipticities, {lambda}_R_ and V/{sigma} tabulated values for the ATLAS3D sample of 260 ETGs
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a10)	Galaxy name from the principal designation from the LEDA database	[ucd=meta.id;meta.main]
#Column	Rmax	(F5.2)	Largest equivalent aperture radius reached by the SAURON maps, in units of the effective radius Re	[ucd=phys.angSize;src]
#Column	epse	(F6.3)	Moment ellipticity measured within one effective radius R, {epsilon}_e_ (1)	[ucd=src.ellipticity]
#Column	epse/2	(F6.3)	Moment ellipticity measured within one-half effective radius Re/2, {epsilon}_e/2_ (1)	[ucd=src.ellipticity]
#Column	Band	(A1)	[GRSC] Source of the radial ellipticity profiles (2)	[ucd=meta.code]
#Column	V/sige	(F6.3)	V/{sigma} as measured within 1Re	[ucd=phys.veloc]
#Column	V/sige/2	(F6.3)	V/{sigma} as measured within Re/2	[ucd=phys.veloc]
#Column	lamRe	(F6.3)	{lambda}_R_ parameter measured within 1Re (3)	[ucd=stat.fit.param]
#Column	lamRe/2	(F6.3)	{lambda}_R_ parameter measured within Re/2 (3)	[ucd=stat.fit.param]
#Column	F/S	(A1)	[F/S] Fast (F) or Slow (S) rotator according to the {lambda}_R_ and {epsilon} values at Re	[ucd=meta.code]
#Column	F/S2	(A1)	[F/S] Fast (F) or Slow (S) rotator according to the {lambda}_R_ and {epsilon} values at Re/2	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Gal	Rmax	epse	epse/2	Band	V/sige	V/sige/2	lamRe	lamRe/2	F/S	F/S2	Simbad	NED	LEDA	_RA	_DE
      24	NGC1266   	 0.88	 0.193	 0.207	G	 0.775	 0.589	 0.638	 0.517	F	F	Simbad	NED	LEDA	049.00317	-02.42734
      25	NGC1289   	 0.90	 0.393	 0.380	G	 0.172	 0.154	 0.178	 0.154	S	S	Simbad	NED	LEDA	049.70759	-01.97335
      26	NGC1665   	 0.65	 0.491	 0.440	G	 0.669	 0.478	 0.658	 0.511	F	F	Simbad	NED	LEDA	072.07110	-05.42766
      27	NGC2481   	 1.26	 0.684	 0.467	G	 0.686	 0.399	 0.678	 0.428	F	F	Simbad	NED	LEDA	119.30718	+23.76769
      28	NGC2549   	 0.88	 0.587	 0.488	G	 0.623	 0.563	 0.572	 0.523	F	F	Simbad	NED	LEDA	124.74311	+57.80311
      29	NGC2577   	 1.13	 0.471	 0.421	G	 0.874	 0.733	 0.696	 0.623	F	F	Simbad	NED	LEDA	125.68114	+22.55304
      30	NGC2592   	 1.39	 0.208	 0.210	G	 0.529	 0.422	 0.549	 0.431	F	F	Simbad	NED	LEDA	126.78367	+25.97034
      31	NGC2594   	 2.92	 0.403	 0.433	G	 0.455	 0.450	 0.404	 0.444	F	F	Simbad	NED	LEDA	126.82161	+25.87894
      32	NGC2679   	 0.46	 0.368	 0.368	G	 0.185	 0.185	 0.193	 0.193	F	F	Simbad	NED	LEDA	132.88719	+30.86542
      33	NGC2685   	 0.90	 0.612	 0.592	G	 0.840	 0.734	 0.691	 0.632	F	F	Simbad	NED	LEDA	133.89479	+58.73441
      34	NGC2695   	 1.04	 0.293	 0.225	G	 0.582	 0.422	 0.575	 0.406	F	F	Simbad	NED	LEDA	133.61278	-03.06710
      35	NGC2698   	 1.27	 0.516	 0.267	S	 0.569	 0.331	 0.593	 0.345	F	F	Simbad	NED	LEDA	133.90222	-03.18388
      36	NGC2699   	 1.39	 0.143	 0.202	G	 0.450	 0.393	 0.444	 0.398	F	F	Simbad	NED	LEDA	133.95342	-03.12751
      37	NGC2764   	 1.25	 0.614	 0.662	G	 0.783	 0.568	 0.658	 0.535	F	F	Simbad	NED	LEDA	137.07298	+21.44345
      38	NGC2768   	 0.35	 0.472	 0.472	G	 0.236	 0.236	 0.253	 0.253	F	F	Simbad	NED	LEDA	137.90627	+60.03721
      39	NGC2778   	 1.05	 0.224	 0.201	G	 0.574	 0.419	 0.572	 0.435	F	F	Simbad	NED	LEDA	138.10164	+35.02742
      40	NGC2824   	 2.49	 0.162	 0.107	G	 0.534	 0.407	 0.492	 0.370	F	F	Simbad	NED	LEDA	139.75927	+26.27000
      41	NGC2852   	 2.60	 0.135	 0.043	G	 0.320	 0.186	 0.368	 0.201	F	F	Simbad	NED	LEDA	140.81068	+40.16388
      42	NGC2859   	 0.60	 0.089	 0.057	G	 0.410	 0.408	 0.359	 0.361	F	F	Simbad	NED	LEDA	141.07729	+34.51338
      43	NGC2880   	 0.81	 0.282	 0.208	G	 0.627	 0.508	 0.581	 0.482	F	F	Simbad	NED	LEDA	142.39424	+62.49062
      44	NGC2950   	 1.11	 0.362	 0.237	G	 0.488	 0.472	 0.436	 0.428	F	F	Simbad	NED	LEDA	145.64632	+58.85122
      45	NGC2962   	 0.64	 0.484	 0.319	G	 0.376	 0.298	 0.430	 0.329	F	F	Simbad	NED	LEDA	145.22461	+05.16582
      46	NGC2974   	 0.53	 0.407	 0.403	R	 0.813	 0.811	 0.663	 0.664	F	F	Simbad	NED	LEDA	145.63861	-03.69912
      47	NGC3032   	 1.32	 0.102	 0.176	G	 0.267	 0.173	 0.344	 0.201	F	F	Simbad	NED	LEDA	148.03412	+29.23628
      48	NGC3073   	 1.24	 0.124	 0.162	G	 0.136	 0.092	 0.145	 0.086	F	S	Simbad	NED	LEDA	150.21684	+55.61894
      49	NGC3098   	 1.20	 0.553	 0.440	S	 0.744	 0.446	 0.635	 0.422	F	F	Simbad	NED	LEDA	150.56946	+24.71109
      50	NGC3156   	 0.96	 0.478	 0.469	G	 0.771	 0.611	 0.648	 0.559	F	F	Simbad	NED	LEDA	153.17169	+03.12932
      51	NGC3182   	 0.79	 0.166	 0.195	G	 0.372	 0.405	 0.306	 0.369	F	F	Simbad	NED	LEDA	154.88756	+58.20582
      52	NGC3193   	 0.57	 0.129	 0.143	G	 0.208	 0.208	 0.195	 0.197	F	F	Simbad	NED	LEDA	154.60368	+21.89398
      53	NGC3226   	 0.53	 0.168	 0.159	G	 0.273	 0.275	 0.251	 0.257	F	F	Simbad	NED	LEDA	155.86255	+19.89844
      54	NGC3230   	 0.81	 0.550	 0.360	G	 0.617	 0.393	 0.609	 0.403	F	F	Simbad	NED	LEDA	155.93309	+12.56788
      55	NGC3245   	 0.62	 0.442	 0.444	G	 0.624	 0.579	 0.626	 0.592	F	F	Simbad	NED	LEDA	156.82652	+28.50744
      56	NGC3248   	 1.09	 0.374	 0.290	G	 0.514	 0.380	 0.511	 0.350	F	F	Simbad	NED	LEDA	156.93927	+22.84717
      57	NGC3301   	 0.81	 0.507	 0.324	G	 0.676	 0.550	 0.603	 0.461	F	F	Simbad	NED	LEDA	159.23346	+21.88217
      58	NGC3377   	 0.42	 0.503	 0.503	G	 0.564	 0.564	 0.522	 0.522	F	F	Simbad	NED	LEDA	161.92667	+13.98564
      59	NGC3379   	 0.50	 0.104	 0.104	G	 0.152	 0.152	 0.157	 0.157	F	F	Simbad	NED	LEDA	161.95667	+12.58163
      60	NGC3384   	 0.54	 0.065	 0.058	G	 0.456	 0.449	 0.407	 0.397	F	F	Simbad	NED	LEDA	162.07042	+12.62858
      61	NGC3400   	 1.02	 0.437	 0.437	C	 0.764	 0.480	 0.664	 0.470	F	F	Simbad	NED	LEDA	162.68959	+28.46893
      62	NGC3412   	 0.51	 0.441	 0.441	C	 0.375	 0.371	 0.406	 0.403	F	F	Simbad	NED	LEDA	162.72214	+13.41214
      63	NGC3414   	 0.67	 0.194	 0.193	G	 0.106	 0.107	 0.073	 0.070	S	S	Simbad	NED	LEDA	162.81767	+27.97497
      64	NGC3457   	 1.28	 0.033	 0.032	S	 0.109	 0.091	 0.104	 0.086	F	F	Simbad	NED	LEDA	163.70259	+17.62116
      65	NGC3458   	 1.61	 0.231	 0.114	G	 0.438	 0.245	 0.461	 0.250	F	F	Simbad	NED	LEDA	164.00604	+57.11697
      66	NGC3489   	 0.77	 0.262	 0.221	G	 0.687	 0.621	 0.589	 0.552	F	F	Simbad	NED	LEDA	165.07745	+13.90126
      67	NGC3499   	 2.03	 0.139	 0.143	G	 0.323	 0.236	 0.318	 0.227	F	F	Simbad	NED	LEDA	165.79628	+56.22166
      68	NGC3522   	 1.75	 0.361	 0.262	S	 0.080	 0.091	 0.058	 0.074	S	S	Simbad	NED	LEDA	166.66855	+20.08562
      69	NGC3530   	 1.91	 0.642	 0.555	G	 0.741	 0.554	 0.656	 0.537	F	F	Simbad	NED	LEDA	167.16841	+57.23016
      70	NGC3595   	 1.10	 0.507	 0.376	G	 0.456	 0.278	 0.510	 0.301	F	F	Simbad	NED	LEDA	168.85646	+47.44715
      71	NGC3599   	 0.65	 0.080	 0.080	C	 0.273	 0.241	 0.282	 0.239	F	F	Simbad	NED	LEDA	168.86230	+18.11037
      72	NGC3605   	 0.95	 0.409	 0.353	R	 0.415	 0.336	 0.434	 0.347	F	F	Simbad	NED	LEDA	169.19426	+18.01714
      73	NGC3607   	 0.60	 0.185	 0.194	G	 0.283	 0.294	 0.209	 0.228	F	F	Simbad	NED	LEDA	169.22774	+18.05181
      74	NGC3608   	 0.49	 0.190	 0.190	G	 0.054	 0.054	 0.043	 0.043	S	S	Simbad	NED	LEDA	169.24570	+18.14853
      75	NGC3610   	 1.10	 0.381	 0.400	G	 0.642	 0.639	 0.530	 0.539	F	F	Simbad	NED	LEDA	169.60532	+58.78625
      76	NGC3613   	 0.59	 0.460	 0.423	G	 0.202	 0.176	 0.222	 0.191	F	F	Simbad	NED	LEDA	169.65054	+57.99992
      77	NGC3619   	 0.62	 0.173	 0.176	G	 0.285	 0.274	 0.293	 0.283	F	F	Simbad	NED	LEDA	169.84009	+57.75768
      78	NGC3626   	 0.57	 0.591	 0.583	G	 0.728	 0.681	 0.660	 0.620	F	F	Simbad	NED	LEDA	170.01581	+18.35679
      79	NGC3630   	 1.04	 0.665	 0.371	G	 0.639	 0.404	 0.648	 0.421	F	F	Simbad	NED	LEDA	170.07079	+02.96417
      80	NGC3640   	 0.76	 0.191	 0.224	G	 0.370	 0.315	 0.377	 0.320	F	F	Simbad	NED	LEDA	170.27855	+03.23476
      81	NGC3641   	 1.84	 0.125	 0.215	G	 0.331	 0.353	 0.243	 0.328	F	F	Simbad	NED	LEDA	170.28662	+03.19449
      82	NGC3648   	 1.24	 0.421	 0.326	G	 0.711	 0.479	 0.684	 0.496	F	F	Simbad	NED	LEDA	170.63120	+39.87697
      83	NGC3658   	 0.91	 0.243	 0.148	G	 0.462	 0.336	 0.546	 0.398	F	F	Simbad	NED	LEDA	170.99270	+38.56242
      84	NGC3665   	 0.77	 0.216	 0.176	G	 0.463	 0.439	 0.410	 0.388	F	F	Simbad	NED	LEDA	171.18179	+38.76279
      85	NGC3674   	 1.28	 0.568	 0.342	G	 0.491	 0.292	 0.541	 0.308	F	F	Simbad	NED	LEDA	171.61087	+57.04829
      86	NGC3694   	 1.71	 0.268	 0.208	G	 0.269	 0.203	 0.256	 0.191	F	F	Simbad	NED	LEDA	172.22557	+35.41386
      87	NGC3757   	 2.06	 0.153	 0.153	C	 0.119	 0.096	 0.126	 0.098	F	S	Simbad	NED	LEDA	174.26177	+58.41565
      88	NGC3796   	 1.53	 0.361	 0.398	G	 0.164	 0.111	 0.171	 0.119	S	S	Simbad	NED	LEDA	175.12977	+60.29896
      89	NGC3838   	 1.42	 0.605	 0.385	S	 0.743	 0.536	 0.676	 0.509	F	F	Simbad	NED	LEDA	176.05720	+57.94810
      90	NGC3941   	 0.66	 0.251	 0.251	C	 0.439	 0.352	 0.468	 0.373	F	F	Simbad	NED	LEDA	178.23067	+36.98638
      91	NGC3945   	 0.74	 0.090	 0.230	G	 0.717	 0.741	 0.524	 0.561	F	F	Simbad	NED	LEDA	178.30719	+60.67556
      92	NGC3998   	 0.87	 0.170	 0.164	G	 0.415	 0.326	 0.454	 0.342	F	F	Simbad	NED	LEDA	179.48404	+55.45356
      93	NGC4026   	 0.75	 0.556	 0.438	G	 0.540	 0.451	 0.548	 0.442	F	F	Simbad	NED	LEDA	179.85495	+50.96169
      94	NGC4036   	 0.53	 0.555	 0.540	G	 0.818	 0.803	 0.685	 0.678	F	F	Simbad	NED	LEDA	180.36205	+61.89570
      95	NGC4078   	 2.00	 0.561	 0.510	S	 0.575	 0.524	 0.523	 0.496	F	F	Simbad	NED	LEDA	181.19845	+10.59554
      96	NGC4111   	 1.25	 0.582	 0.498	S	 0.720	 0.663	 0.619	 0.567	F	F	Simbad	NED	LEDA	181.76303	+43.06539
      97	NGC4119   	 0.61	 0.598	 0.563	G	 0.895	 0.808	 0.701	 0.660	F	F	Simbad	NED	LEDA	182.04017	+10.37872
      98	NGC4143   	 0.73	 0.390	 0.324	G	 0.504	 0.369	 0.538	 0.398	F	F	Simbad	NED	LEDA	182.40036	+42.53422
      99	NGC4150   	 0.98	 0.328	 0.274	G	 0.514	 0.337	 0.513	 0.338	F	F	Simbad	NED	LEDA	182.64023	+30.40149
     100	NGC4168   	 0.46	 0.129	 0.129	G	 0.047	 0.047	 0.040	 0.040	S	S	Simbad	NED	LEDA	183.07181	+13.20535
     101	NGC4179   	 0.77	 0.591	 0.501	G	 0.589	 0.470	 0.587	 0.480	F	F	Simbad	NED	LEDA	183.21709	+01.29967
     102	NGC4191   	 1.54	 0.269	 0.092	G	 0.105	 0.073	 0.107	 0.059	S	S	Simbad	NED	LEDA	183.45992	+07.20084
     103	NGC4203   	 0.59	 0.154	 0.180	G	 0.281	 0.255	 0.305	 0.275	F	F	Simbad	NED	LEDA	183.77093	+33.19724
     104	NGC4215   	 0.83	 0.702	 0.444	G	 0.516	 0.363	 0.553	 0.370	F	F	Simbad	NED	LEDA	183.97714	+06.40113
     105	NGC4233   	 1.15	 0.277	 0.162	G	 0.578	 0.401	 0.564	 0.390	F	F	Simbad	NED	LEDA	184.28204	+07.62443
     106	NGC4249   	 1.32	 0.048	 0.040	G	 0.204	 0.142	 0.194	 0.127	F	F	Simbad	NED	LEDA	184.49765	+05.59872
     107	NGC4251   	 0.79	 0.508	 0.387	G	 0.637	 0.503	 0.584	 0.466	F	F	Simbad	NED	LEDA	184.53461	+28.17530
     108	NGC4255   	 1.34	 0.434	 0.127	S	 0.622	 0.374	 0.606	 0.370	F	F	Simbad	NED	LEDA	184.73410	+04.78592
     109	NGC4259   	 1.93	 0.553	 0.450	G	 0.231	 0.081	 0.237	 0.068	F	S	Simbad	NED	LEDA	184.84247	+05.37624
     110	NGC4261   	 0.44	 0.222	 0.222	G	 0.090	 0.090	 0.085	 0.085	S	S	Simbad	NED	LEDA	184.84673	+05.82492
     111	NGC4262   	 1.39	 0.117	 0.117	C	 0.297	 0.254	 0.309	 0.250	F	F	Simbad	NED	LEDA	184.87742	+14.87772
     112	NGC4264   	 1.26	 0.191	 0.191	C	 0.541	 0.355	 0.499	 0.341	F	F	Simbad	NED	LEDA	184.89908	+05.84680
     113	NGC4267   	 0.53	 0.079	 0.079	C	 0.260	 0.241	 0.282	 0.253	F	F	Simbad	NED	LEDA	184.93867	+12.79836
     114	NGC4268   	 0.93	 0.552	 0.348	G	 0.491	 0.333	 0.492	 0.330	F	F	Simbad	NED	LEDA	184.94676	+05.28365
     115	NGC4270   	 0.96	 0.543	 0.424	G	 0.378	 0.289	 0.406	 0.294	F	F	Simbad	NED	LEDA	184.95598	+05.46337
     116	NGC4278   	 0.72	 0.103	 0.134	G	 0.201	 0.208	 0.178	 0.203	F	F	Simbad	NED	LEDA	185.02844	+29.28075
     117	NGC4281   	 0.69	 0.535	 0.502	G	 0.757	 0.702	 0.651	 0.621	F	F	Simbad	NED	LEDA	185.08969	+05.38643
     118	NGC4283   	 1.44	 0.033	 0.031	G	 0.172	 0.155	 0.171	 0.151	F	F	Simbad	NED	LEDA	185.08661	+29.31090
     119	NGC4324   	 0.83	 0.434	 0.197	G	 0.639	 0.407	 0.592	 0.389	F	F	Simbad	NED	LEDA	185.77572	+05.25049
     120	NGC4339   	 0.55	 0.060	 0.060	G	 0.311	 0.302	 0.325	 0.312	F	F	Simbad	NED	LEDA	185.89560	+06.08171
     121	NGC4340   	 0.62	 0.227	 0.237	G	 0.499	 0.481	 0.458	 0.442	F	F	Simbad	NED	LEDA	185.89714	+16.72219
     122	NGC4342   	 2.45	 0.442	 0.263	S	 0.537	 0.307	 0.528	 0.306	F	F	Simbad	NED	LEDA	185.91260	+07.05394
     123	NGC4346   	 0.77	 0.533	 0.360	G	 0.571	 0.428	 0.576	 0.439	F	F	Simbad	NED	LEDA	185.86642	+46.99388
     124	NGC4350   	 0.77	 0.674	 0.550	G	 0.658	 0.460	 0.638	 0.480	F	F	Simbad	NED	LEDA	185.99089	+16.69336
     125	NGC4365   	 0.33	 0.254	 0.254	G	 0.114	 0.114	 0.088	 0.088	S	S	Simbad	NED	LEDA	186.11762	+07.31752
     126	NGC4371   	 0.51	 0.309	 0.313	G	 0.541	 0.541	 0.482	 0.482	F	F	Simbad	NED	LEDA	186.23096	+11.70429
     127	NGC4374   	 0.44	 0.147	 0.147	G	 0.026	 0.026	 0.024	 0.024	S	S	Simbad	NED	LEDA	186.26560	+12.88698
     128	NGC4377   	 1.30	 0.157	 0.228	S	 0.443	 0.314	 0.473	 0.338	F	F	Simbad	NED	LEDA	186.30128	+14.76222
     129	NGC4379   	 0.90	 0.224	 0.258	G	 0.386	 0.294	 0.398	 0.300	F	F	Simbad	NED	LEDA	186.31139	+15.60750
     130	NGC4382   	 0.34	 0.202	 0.202	G	 0.174	 0.174	 0.163	 0.163	F	F	Simbad	NED	LEDA	186.35022	+18.19108
     131	NGC4387   	 1.10	 0.373	 0.351	G	 0.391	 0.315	 0.399	 0.317	F	F	Simbad	NED	LEDA	186.42381	+12.81036
     132	NGC4406   	 0.24	 0.211	 0.211	G	 0.090	 0.090	 0.052	 0.052	S	S	Simbad	NED	LEDA	186.54922	+12.94597
     133	NGC4417   	 0.89	 0.566	 0.418	G	 0.542	 0.395	 0.548	 0.392	F	F	Simbad	NED	LEDA	186.71094	+09.58412
     134	NGC4425   	 0.62	 0.676	 0.587	G	 0.438	 0.363	 0.454	 0.384	F	F	Simbad	NED	LEDA	186.80566	+12.73480
     135	NGC4429   	 0.48	 0.402	 0.402	G	 0.455	 0.455	 0.396	 0.396	F	F	Simbad	NED	LEDA	186.86066	+11.10754
     136	NGC4434   	 1.15	 0.058	 0.082	G	 0.249	 0.186	 0.288	 0.199	F	F	Simbad	NED	LEDA	186.90283	+08.15431
     137	NGC4435   	 0.52	 0.468	 0.465	G	 0.672	 0.667	 0.599	 0.597	F	F	Simbad	NED	LEDA	186.91876	+13.07902
