#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/433/2812&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74332812
#Name: J/MNRAS/433/2812
#Title: ATLAS3D project. XXIII. (Krajnovic+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/mnras/433/2812	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/433/2812	    IVOID of underlying data collection
#INFO	creator=Krajnovic D.	    First author or institution
#INFO	cites=bibcode:2013MNRAS.433.2812K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/433/2812	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74332812	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_433_2812_tablec1:
#Name: J/MNRAS/433/2812/tablec1
#Title: *Fitting parameters for ATLAS3D galaxies.
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(A9)	Galaxy name	[ucd=meta.id;meta.main]
#Column	f_Galaxy	(A1)	[+d] Flag (1)	[ucd=meta.code]
#Column	Src	(A2)	Source (2)	[ucd=meta.ref;pos.frame]
#Column	Class	(A1)	[clp] Class code (3)	[ucd=meta.code.class]
#Column	Filter	(A5)	Filter of images analysed in this work (F475W, F555W, F606W, F702W, or F814W)	[ucd=meta.id;instr.filter]
#Column	theta	(F6.2)	Nuker fit parameter {Theta} (5)	[ucd=stat.fit.param]
#Column	mu	(F5.2)	Nuker fit parameter {mu} (5)	[ucd=stat.fit.param]
#Column	alpha	(F5.2)	Nuker fit parameter {alpha} (5)	[ucd=stat.fit.param]
#Column	beta	(F5.2)	Nuker fit parameter {beta} (5)	[ucd=stat.fit.param;meta.modelled]
#Column	gamma	(F5.2)	Nuker fit parameter {gamma} (5)	[ucd=stat.fit.param]
#Column	gamma'	(F5.2)	Nuker fit parameter {gamma}' (5)	[ucd=stat.fit.param]
#Column	rms	(F5.2)	? root-mean-square of Nuker-law fits done in this work (5)	[ucd=stat.error]
#Column	l_rg	(A1)	Limit flag on Rgamma	[ucd=meta.code.error]
#Column	rg	(F5.2)	Cusp radius (r_{gamma}_) (5)	[ucd=phys.angSize;src]
#Column	l_Rg	(A1)	Limit flag on Rg	[ucd=meta.code.error]
#Column	Rg	(F6.2)	Cusp radius (r_{gamma}_) in pc	[ucd=phys.size.radius]
#Column	R/F	(A1)	[F/S] Classification into fast (F) or slow (S) rotators, from Paper III	[ucd=meta.code]
#Column	Gr	(A1)	kinematic group from Paper II (4)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Galaxy	f_Galaxy	Src	Class	Filter	theta	mu	alpha	beta	gamma	gamma'	rms	l_rg	rg	l_Rg	Rg	R/F	Gr	Simbad	_RA	_DE
      22	NGC 3379 	 	c 	c	F475W	  2.41	16.84	 1.34	 1.72	 0.15	 0.17	 0.01	 	 0.95	 	 47.40	F	e	Simbad	161.95667	+12.58163
      23	NGC 3384 	 	b1	p	     	  3.15	16.44	15.30	 1.81	 0.71	 0.71	     	 	 0.04	 	  2.19	F	e	Simbad	162.07040	+12.62930
      24	NGC 3412 	 	d 	p	F606W	  3.39	18.18	 1.24	 2.76	 0.64	 0.67	 0.02	<	 0.10	<	  5.33	F	e	Simbad	162.72214	+13.41214
      25	NGC 3414 	 	d 	p	F555W	  0.23	15.79	 5.00	 1.15	 0.64	 0.64	 0.03	<	 0.10	<	 11.80	S	c	Simbad	162.81767	+27.97497
      26	NGC 3458 	 	d 	p	F606W	  1.73	18.06	 1.40	 2.40	 0.56	 0.59	 0.02	<	 0.10	<	 14.90	F	e	Simbad	164.00604	+57.11697
      27	NGC 3489 	 	c 	p	F814W	  0.41	14.00	 0.64	 4.84	-1.17	 0.57	 0.05	 	 0.09	 	  5.23	F	e	Simbad	165.07745	+13.90126
      28	NGC 3595 	 	b2	p	     	  2.30	18.04	 2.30	 1.52	 0.75	 0.76	     	<	 0.10	<	 16.80	F	e	Simbad	168.85646	+47.44715
      29	NGC 3599 	 	b1	p	     	  1.25	17.45	50.00	 1.45	 0.75	 0.75	     	 	 0.04	 	  3.84	F	e	Simbad	168.86230	+18.11037
      30	NGC 3605 	 	b1	p	     	  0.97	17.21	 2.40	 1.27	 0.59	 0.60	     	 	 0.04	 	  3.90	F	e	Simbad	169.19426	+18.01714
      31	NGC 3608 	 	b1	c	     	  0.48	15.73	 0.90	 1.50	 0.09	 0.17	     	 	 0.18	 	 19.27	S	c	Simbad	169.24570	+18.14853
      32	NGC 3610 	 	b1	p	     	  2.84	16.39	48.50	 1.86	 0.76	 0.76	     	 	 0.02	 	  2.02	F	e	Simbad	169.60532	+58.78625
      33	NGC 3613 	 	d 	c	F702W	  0.33	15.80	 1.65	 1.10	 0.01	 0.14	 0.01	 	 0.29	 	 40.05	F	e	Simbad	169.65054	+57.99992
      34	NGC 3640 	+	d 	l	F555W	  4.05	18.00	 1.12	 2.17	 0.46	 0.48	 0.01	 	 0.14	 	 18.45	F	e	Simbad	170.27855	+03.23476
      35	NGC 3796 	 	d 	p	F814W	  0.20	14.00	 3.24	 1.48	 0.66	 0.74	 0.01	<	 0.10	<	 11.00	S	d	Simbad	175.12977	+60.29896
      36	NGC 3945 	 	b1	p	     	  7.38	18.62	 0.30	 2.56	-0.06	 0.57	     	 	 0.10	 	 10.80	F	e	Simbad	178.30719	+60.67556
      37	NGC 3998 	 	c 	l	F814W	  0.28	14.00	 2.77	 6.32	 0.15	 0.49	 0.03	 	 0.10	 	  6.74	F	e	Simbad	179.48389	+55.45359
      38	NGC 4026 	 	b1	p	     	  0.63	15.23	 0.40	 1.78	 0.15	 0.65	     	 	 0.02	 	  1.58	F	e	Simbad	179.85495	+50.96169
      39	NGC 4143 	 	b3	p	     	  3.11	17.11	 1.30	 2.18	 0.59	 0.61	     	<	 0.10	<	  7.51	F	e	Simbad	182.40036	+42.53422
      40	NGC 4150 	 	b3	p	     	  0.63	15.80	 1.20	 1.67	 0.58	 0.68	     	<	 0.10	<	  6.49	F	e	Simbad	182.64023	+30.40149
      41	NGC 4168 	 	b2	c	     	  2.02	18.06	 1.40	 1.39	 0.17	 0.17	     	 	 0.99	 	148.98	S	c	Simbad	183.07181	+13.20535
      42	NGC 4203 	 	d 	p	F555W	  4.52	19.13	 1.61	 2.56	 0.73	 0.74	 0.07	<	 0.10	<	  7.12	F	e	Simbad	183.77093	+33.19724
      43	NGC 4261 	 	b3	c	     	  1.62	16.43	 2.40	 1.43	 0.00	 0.00	     	 	 1.25	 	186.79	S	b	Simbad	184.84673	+05.82492
      44	NGC 4262 	 	a 	p	F475W	  2.59	17.07	 5.00	 1.96	 0.76	 0.76	 0.03	<	 0.10	<	  7.46	F	e	Simbad	184.87742	+14.87772
      45	NGC 4267 	 	a 	p	F475W	  2.97	17.52	 2.29	 1.90	 0.71	 0.71	 0.01	<	 0.10	<	  7.66	F	e	Simbad	184.93867	+12.79836
      46	NGC 4270 	 	d 	l	F606W	  0.73	17.48	 2.21	 1.29	 0.43	 0.44	 0.02	 	 0.24	 	 41.61	F	e	Simbad	184.95598	+05.46337
      47	NGC 4278 	 	b1	c	     	  1.26	16.20	 1.40	 1.46	 0.06	 0.10	     	 	 0.72	 	 54.58	F	e	Simbad	185.02844	+29.28075
      48	NGC 4281 	 	d 	p	F606W	  0.09	15.23	 3.59	 0.89	 0.06	 0.56	 0.01	 	 0.09	 	 11.01	F	e	Simbad	185.08969	+05.38643
      49	NGC 4283 	 	c 	p	F475W	  4.81	19.44	 2.32	 2.35	 0.80	 0.80	 0.04	<	 0.10	<	  7.41	F	e	Simbad	185.08661	+29.31090
      50	NGC 4339 	 	d 	p	F606W	 23.29	24.00	 1.08	 5.93	 0.80	 0.81	 0.03	<	 0.10	<	  7.75	F	e	Simbad	185.89560	+06.08171
      51	NGC 4340 	 	a 	p	F475W	  1.91	17.45	 4.27	 1.44	 0.68	 0.68	 0.03	<	 0.10	<	  8.92	F	e	Simbad	185.89714	+16.72219
      52	NGC 4342 	 	d 	p	F555W	  8.38	24.00	 0.56	 8.53	-0.12	 0.55	 0.02	 	 0.09	 	  6.92	F	e	Simbad	185.91260	+07.05394
      53	NGC 4350 	 	a 	l	F475W	  0.94	15.71	 5.00	 1.24	 0.47	 0.47	 0.06	 	 0.50	 	 36.97	F	e	Simbad	185.99089	+16.69336
      54	NGC 4365 	 	a 	c	F475W	  2.07	16.71	 1.53	 1.50	-0.01	 0.00	 0.00	 	 1.33	 	150.58	S	c	Simbad	186.11762	+07.31752
      55	NGC 4371 	 	a 	l	F475W	  0.53	16.26	 3.45	 0.81	 0.27	 0.27	 0.02	 	 0.49	 	 40.06	F	e	Simbad	186.23096	+11.70429
      56	NGC 4374 	 	a 	c	F475W	  2.10	16.20	 3.73	 1.21	 0.25	 0.25	 0.01	 	 1.59	 	142.37	S	a	Simbad	186.26560	+12.88698
      57	NGC 4377 	 	a 	l	F475W	  1.49	16.80	 0.83	 2.20	 0.22	 0.41	 0.01	 	 0.17	 	 14.64	F	e	Simbad	186.30128	+14.76222
      58	NGC 4379 	 	a 	p	F475W	 59.50	23.24	 0.39	 4.15	 0.16	 0.46	 0.02	 	 0.14	 	 10.37	F	e	Simbad	186.31139	+15.60750
      59	NGC 4382 	 	a 	c	F475W	  0.90	14.00	 0.80	 1.56	-0.21	 0.05	 0.01	 	 0.55	 	 47.33	F	e	Simbad	186.35022	+18.19108
      60	NGC 4387 	 	a 	p	F475W	 18.17	20.90	 1.40	 3.61	 0.63	 0.63	 0.01	<	 0.10	<	  8.67	F	e	Simbad	186.42381	+12.81036
      61	NGC 4406 	 	a 	c	F475W	  1.05	16.00	 3.43	 1.11	-0.02	-0.02	 0.01	 	 1.00	 	 81.63	S	c	Simbad	186.54922	+12.94597
      62	NGC 4417 	 	a 	p	F475W	  1.94	16.72	 5.00	 1.48	 0.68	 0.68	 0.01	<	 0.10	<	  7.75	F	e	Simbad	186.71094	+09.58412
      63	NGC 4429 	 	d 	p	F606W	  0.06	14.61	 5.00	 1.14	 0.31	 1.07	 0.01	 	 0.05	 	  3.76	F	e	Simbad	186.86066	+11.10754
      64	NGC 4434 	 	a 	p	F475W	  6.89	19.63	 0.49	 3.01	 0.22	 0.54	 0.03	 	 0.08	 	  8.51	F	e	Simbad	186.90283	+08.15431
      65	NGC 4442 	 	a 	p	F475W	 55.80	21.73	 0.54	 3.79	 0.41	 0.52	 0.02	 	 0.07	 	  5.28	F	e	Simbad	187.01622	+09.80362
      66	NGC 4452 	 	a 	l	F475W	  4.91	18.87	 5.00	 1.55	 0.39	 0.39	 0.04	 	 3.13	 	236.49	F	e	Simbad	187.18045	+11.75503
      67	NGC 4458 	+	a 	l	F475W	  0.16	14.58	 2.11	 1.54	 0.01	 0.44	 0.00	 	 0.11	 	  8.91	S	c	Simbad	187.23972	+13.24192
      68	NGC 4459 	 	a 	p	F475W	  0.46	15.00	 3.64	 1.32	 0.48	 0.49	 0.01	 	 0.17	 	 12.94	F	e	Simbad	187.25011	+13.97858
      69	NGC 4472 	 	a 	c	F475W	  2.82	16.62	 1.14	 1.43	-0.15	-0.11	 0.02	 	 2.06	 	170.75	S	c	Simbad	187.44499	+08.00041
      70	NGC 4473 	d	a 	c	F475W	  2.66	16.47	 0.86	 2.10	-0.02	 0.10	 0.02	 	 0.72	 	 53.40	F	d	Simbad	187.45366	+13.42932
      71	NGC 4474 	 	a 	p	F475W	  3.65	18.16	 2.03	 1.74	 0.57	 0.57	 0.01	<	 0.10	<	  7.56	F	e	Simbad	187.47310	+14.06867
      72	NGC 4476 	d	a 	l	F475W	  3.85	17.92	 5.00	 2.00	 0.34	 0.34	 0.03	 	 2.46	 	209.97	S	e	Simbad	187.49617	+12.34867
      73	NGC 4477 	 	d 	l	F606W	  4.89	22.31	 1.48	10.00	 0.35	 0.38	 0.01	 	 0.30	 	 23.72	F	e	Simbad	187.50905	+13.63644
      74	NGC 4478 	+	a 	p	F475W	  0.47	15.86	 3.69	 1.01	 0.35	 0.35	 0.01	 	 0.34	 	 27.80	F	e	Simbad	187.57266	+12.32858
      75	NGC 4483 	 	a 	p	F475W	 83.07	24.00	 0.61	 3.25	 0.84	 0.88	 0.02	<	 0.10	<	  8.09	F	e	Simbad	187.66925	+09.01566
      76	NGC 4486 	 	a 	c	F475W	  8.19	17.90	 2.32	 1.51	 0.23	 0.23	 0.00	 	 4.64	 	386.74	S	a	Simbad	187.70593	+12.39112
      77	NGC 4486A	 	a 	p	F475W	 13.38	21.14	 1.03	 4.34	 0.70	 0.72	 0.60	<	 0.10	<	  8.87	F	e	Simbad	187.74054	+12.27036
      78	NGC 4489 	 	a 	p	F475W	  1.89	18.13	 1.05	 2.21	 0.57	 0.64	 0.01	<	 0.10	<	  7.46	F	c	Simbad	187.71767	+16.75870
      79	NGC 4494 	 	b1	p	     	  2.82	17.19	 0.70	 1.88	 0.52	 0.55	     	 	 0.04	 	  3.22	F	e	Simbad	187.85014	+25.77498
      80	NGC 4503 	 	b2	p	     	  1.65	17.14	 1.80	 1.30	 0.64	 0.65	     	<	 0.10	<	  7.99	F	e	Simbad	188.02580	+11.17643
      81	NGC 4528 	 	a 	p	F475W	 51.50	24.00	 1.16	 5.90	 0.97	 0.97	 0.10	<	 0.10	<	  7.66	S	d	Simbad	188.52502	+11.32192
      82	NGC 4546 	 	d 	p	F606W	  2.07	17.21	 1.44	 1.68	 0.78	 0.79	 0.01	<	 0.10	<	  6.64	F	e	Simbad	188.87294	-03.79323
      83	NGC 4550 	 	a 	l	F475W	  9.32	18.52	 5.00	 1.83	 0.57	 0.57	 0.03	<	 0.10	<	  7.51	S	d	Simbad	188.87755	+12.22096
      84	NGC 4551 	 	a 	p	F475W	 54.71	24.00	 1.09	 5.91	 0.75	 0.76	 0.02	<	 0.10	<	  7.80	F	e	Simbad	188.90825	+12.26401
      85	NGC 4552 	 	a 	c	F475W	  0.10	14.69	 0.26	 2.91	-3.00	-0.03	 0.03	 	 0.42	 	 32.17	S	b	Simbad	188.91618	+12.55604
      86	NGC 4564 	 	a 	p	F475W	100.00	23.97	 0.79	 4.92	 0.79	 0.81	 0.09	<	 0.10	<	  7.66	F	e	Simbad	189.11247	+11.43932
      87	NGC 4570 	 	a 	p	F475W	  4.53	17.51	 3.22	 1.56	 0.85	 0.85	 0.02	<	 0.10	<	  8.29	F	e	Simbad	189.22250	+07.24666
      88	NGC 4578 	 	a 	p	F475W	  3.95	18.39	 4.75	 1.55	 0.89	 0.89	 0.02	<	 0.10	<	  7.90	F	e	Simbad	189.37727	+09.55512
      89	NGC 4596 	 	d 	p	F555W	  5.30	19.40	 2.99	 2.70	 0.77	 0.77	 0.09	<	 0.10	<	  7.99	F	e	Simbad	189.98306	+10.17603
      90	NGC 4612 	 	a 	p	F475W	  1.77	17.14	 4.46	 1.71	 0.64	 0.64	 0.01	<	 0.10	<	  8.04	F	e	Simbad	190.38649	+07.31478
      91	NGC 4621 	 	a 	p	F475W	  7.95	18.09	 0.06	 5.47	-3.00	 0.68	 0.04	 	 0.02	 	  1.66	F	e	Simbad	190.50967	+11.64693
      92	NGC 4623 	 	a 	p	F475W	 10.18	20.06	 0.75	 0.10	 2.12	 2.06	 0.85	<	 0.10	<	  8.43	F	e	Simbad	190.54460	+07.67693
      93	NGC 4636 	d	d 	c	F814W	 10.00	19.75	 2.00	 6.45	 0.26	 0.26	 0.07	 	 2.01	 	139.24	S	a	Simbad	190.70778	+02.68778
      94	NGC 4638 	 	a 	p	F475W	  6.84	18.07	 5.00	 1.99	 0.77	 0.77	 0.04	<	 0.10	<	  8.48	F	e	Simbad	190.69763	+11.44246
      95	NGC 4649 	 	a 	c	F475W	  5.05	17.16	 1.66	 1.60	 0.14	 0.14	 0.01	 	 2.58	 	216.12	F	e	Simbad	190.91670	+11.55261
      96	NGC 4660 	 	b1	p	     	  1.76	16.34	 5.61	 1.50	 0.91	 0.91	     	 	 0.04	 	  2.91	F	e	Simbad	191.13321	+11.19053
      97	NGC 4697 	 	c 	p	F475W	  2.35	17.35	 0.07	 0.00	 1.47	 0.82	 0.09	<	 0.10	<	  5.52	F	e	Simbad	192.14961	-05.80085
      98	NGC 4733 	 	d 	l	F555W	  3.94	20.56	 1.82	 1.95	 0.35	 0.35	 0.03	 	 1.13	 	 79.63	F	a	Simbad	192.77826	+10.91210
      99	NGC 4754 	 	a 	p	F475W	100.00	23.83	 0.44	 4.48	 0.42	 0.60	 0.03	 	 0.01	 	  1.09	F	e	Simbad	193.07318	+11.31366
     100	NGC 4762 	 	a 	p	F475W	 75.32	24.00	 0.47	 5.56	 0.16	 0.40	 0.02	 	 0.24	 	 26.40	F	e	Simbad	193.23354	+11.23080
     101	NGC 5173 	 	d 	p	F702W	  0.79	16.25	 3.61	 1.35	 0.52	 0.52	 0.02	<	 0.10	<	 18.60	F	e	Simbad	202.10530	+46.59157
     102	NGC 5198 	 	b2	c	     	  0.16	15.40	 2.60	 1.13	 0.23	 0.26	     	 	 0.12	 	 22.17	S	b	Simbad	202.54755	+46.67083
     103	NGC 5273 	 	d 	p	F606W	  0.10	14.95	 5.00	 2.84	 0.54	 1.66	 0.02	<	 0.10	<	  7.80	F	e	Simbad	205.53494	+35.65424
     104	NGC 5308 	 	c 	p	F475W	  0.56	16.15	 1.34	 1.19	 0.78	 0.82	 0.02	<	 0.10	<	 15.20	F	e	Simbad	206.75163	+60.97304
     105	NGC 5322 	 	d 	c	F555W	 13.87	21.23	 0.79	 5.22	 0.05	 0.15	 0.05	 	 0.71	 	104.00	S	c	Simbad	207.31350	+60.19050
     106	NGC 5422 	 	d 	l	F814W	 47.48	24.00	 0.40	 5.52	 0.02	 0.45	 0.04	 	 0.13	 	 20.04	F	e	Simbad	210.17526	+55.16448
     107	NGC 5475 	 	c 	l	F475W	  1.50	19.86	 2.29	10.00	 0.38	 0.40	 0.07	 	 0.22	 	 30.83	F	e	Simbad	211.30144	+55.74180
     108	NGC 5485 	 	c 	c	F814W	  0.73	16.22	 4.21	 1.01	 0.19	 0.19	 0.03	 	 0.65	 	 79.24	F	b	Simbad	211.79713	+55.00152
     109	NGC 5557 	 	b1	c	     	  0.80	16.40	 0.80	 1.68	 0.02	 0.07	     	 	 0.26	 	 48.89	S	b	Simbad	214.60712	+36.49369
     110	NGC 5576 	d	d 	l	F555W	  6.00	18.38	 0.41	 3.01	 0.00	 0.47	 0.01	 	 0.12	 	 14.10	S	b	Simbad	215.26538	+03.27105
     111	NGC 5813 	 	b1	c	     	  1.15	16.82	 1.60	 1.60	 0.05	 0.06	     	 	 0.66	 	 99.82	S	c	Simbad	225.29694	+01.70197
     112	NGC 5831 	 	d 	p	F702W	 36.56	24.00	 0.96	 7.41	 0.77	 0.79	 0.02	<	 0.10	<	 12.70	S	c	Simbad	226.02927	+01.21992
